time,Cleveland,pts.away,score,pts.home,Detroit
6:58.0,,,14-14,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson)
6:39.0,Turnover by K. Love (bad pass; steal by R. Jackson),,14-14,,
6:30.0,,,14-14,,E. Ilyasova misses 2-pt shot from 19 ft
6:30.0,Defensive rebound by T. Mozgov,,14-14,,
6:14.0,M. Williams misses 3-pt shot from 26 ft,,14-14,,
6:13.0,,,14-14,,Defensive rebound by A. Drummond
6:07.0,,,14-16,2,R. Jackson makes 2-pt shot from 4 ft
6:02.0,Cleveland full timeout,,14-16,,
5:57.0,,,14-16,,Personal foul by M. Morris (drawn by L. James)
5:47.0,M. Williams makes 2-pt shot from 6 ft,2,16-16,,
5:22.0,,,16-19,3,R. Jackson makes 3-pt shot from 23 ft (assist by E. Ilyasova)
5:06.0,Offensive foul by T. Mozgov,,16-19,,
5:06.0,Turnover by T. Mozgov (offensive foul),,16-19,,
5:06.0,M. Dellavedova enters the game for M. Williams,,16-19,,
5:06.0,T. Thompson enters the game for T. Mozgov,,16-19,,
4:51.0,,,16-22,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson)
4:37.0,L. James misses 3-pt shot from 25 ft,,16-22,,
4:37.0,,,16-22,,Defensive rebound by Team
4:23.0,,,16-22,,R. Jackson misses 2-pt shot at rim
4:23.0,,,16-22,,Offensive rebound by A. Drummond
4:18.0,,,16-24,2,A. Drummond makes 2-pt shot at rim
4:05.0,L. James makes 2-pt shot from 1 ft,2,18-24,,
3:49.0,,,18-26,2,E. Ilyasova makes 2-pt shot at rim (assist by R. Jackson)
3:33.0,L. James misses 2-pt shot from 1 ft,,18-26,,
3:33.0,Offensive rebound by T. Thompson,,18-26,,
3:28.0,T. Thompson misses 2-pt shot from 3 ft,,18-26,,
3:28.0,,,18-26,,Defensive rebound by A. Drummond
3:19.0,,,18-26,,R. Jackson misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by K. Love,,18-26,,
3:06.0,L. James makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,21-26,,
2:55.0,,,21-26,,Detroit full timeout
2:55.0,,,21-26,,S. Johnson enters the game for M. Morris
2:55.0,R. Jefferson enters the game for L. James,,21-26,,
2:55.0,J. Jones enters the game for K. Love,,21-26,,
2:52.0,,,21-26,,Turnover by A. Drummond (bad pass)
2:39.0,J. Jones misses 3-pt shot from 25 ft,,21-26,,
2:38.0,,,21-26,,Defensive rebound by E. Ilyasova
2:18.0,,,21-26,,R. Jackson misses 2-pt shot at rim
2:17.0,Defensive rebound by J. Jones,,21-26,,
2:06.0,,,21-26,,A. Tolliver enters the game for E. Ilyasova
2:06.0,,,21-26,,S. Dinwiddie enters the game for R. Jackson
1:59.0,J. Smith makes 2-pt shot from 15 ft (assist by R. Jefferson),2,23-26,,
1:41.0,,,23-29,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by A. Tolliver)
1:27.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,25-29,,
1:09.0,,,25-29,,Shooting foul by J. Jones (drawn by K. Caldwell-Pope)
1:09.0,,,25-30,1,K. Caldwell-Pope makes free throw 1 of 2
1:09.0,J. Cunningham enters the game for J. Smith,,25-30,,
1:09.0,,,25-31,1,K. Caldwell-Pope makes free throw 2 of 2
0:56.0,M. Dellavedova misses 3-pt shot from 26 ft,,25-31,,
0:56.0,,,25-31,,Defensive rebound by S. Johnson
0:32.0,,,25-31,,K. Caldwell-Pope misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by T. Thompson,,25-31,,
0:24.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,27-31,,
0:05.0,,,27-31,,Shooting foul by R. Jefferson (drawn by A. Drummond)
0:05.0,,,27-31,,A. Drummond misses free throw 1 of 2
0:05.0,,,27-31,,Offensive rebound by Team
0:05.0,,,27-31,,A. Drummond misses free throw 2 of 2
0:04.0,Defensive rebound by T. Thompson,,27-31,,
0:01.0,R. Jefferson misses 3-pt shot from 25 ft,,27-31,,
0:00.0,Offensive rebound by Team,,27-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Cunningham misses 2-pt shot from 18 ft,,27-31,,
11:37.0,,,27-31,,Defensive rebound by S. Johnson
11:19.0,,,27-31,,S. Johnson misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by J. Jones,,27-31,,
11:10.0,J. Jones makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,30-31,,
10:53.0,,,30-31,,A. Baynes misses 2-pt shot from 9 ft
10:51.0,Defensive rebound by J. Jones,,30-31,,
10:46.0,Turnover by M. Dellavedova (bad pass; steal by A. Baynes),,30-31,,
10:45.0,Personal foul by J. Jones (drawn by S. Johnson),,30-31,,
10:45.0,L. James enters the game for J. Cunningham,,30-31,,
10:30.0,,,30-31,,Turnover by S. Johnson (lost ball; steal by T. Thompson)
10:29.0,Shooting foul by S. Dinwiddie (drawn by L. James),,30-31,,
10:29.0,L. James makes free throw 1 of 2,1,31-31,,
10:29.0,L. James makes free throw 2 of 2,1,32-31,,
10:06.0,,,32-31,,S. Dinwiddie misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by T. Thompson,,32-31,,
9:43.0,M. Dellavedova misses 3-pt shot from 26 ft,,32-31,,
9:40.0,,,32-31,,Defensive rebound by S. Johnson
9:30.0,,,32-33,2,S. Dinwiddie makes 2-pt shot from 16 ft
9:01.0,L. James makes 3-pt shot from 24 ft,3,35-33,,
8:42.0,,,35-35,2,S. Johnson makes 2-pt shot from 4 ft (assist by R. Bullock)
8:17.0,L. James misses 2-pt shot from 13 ft,,35-35,,
8:17.0,,,35-35,,Defensive rebound by A. Baynes
8:04.0,,,35-35,,Turnover by S. Dinwiddie (bad pass)
8:04.0,Official timeout,,35-35,,
8:04.0,K. Love enters the game for T. Thompson,,35-35,,
8:04.0,T. Mozgov enters the game for J. Jones,,35-35,,
7:56.0,L. James makes 2-pt shot at rim (assist by K. Love),2,37-35,,
7:56.0,Shooting foul by S. Johnson (drawn by L. James),,37-35,,
7:56.0,L. James makes free throw 1 of 1,1,38-35,,
7:37.0,,,38-35,,R. Bullock misses 2-pt shot from 6 ft
7:36.0,,,38-35,,Offensive rebound by A. Baynes
7:35.0,,,38-35,,A. Baynes misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by K. Love,,38-35,,
7:27.0,L. James makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,41-35,,
7:16.0,,,41-35,,S. Dinwiddie misses 2-pt shot from 5 ft
7:16.0,Defensive rebound by K. Love,,41-35,,
7:16.0,,,41-35,,Personal foul by S. Dinwiddie (drawn by K. Love)
7:16.0,,,41-35,,A. Drummond enters the game for S. Johnson
7:16.0,,,41-35,,M. Morris enters the game for S. Dinwiddie
7:16.0,,,41-35,,R. Jackson enters the game for A. Baynes
7:02.0,M. Dellavedova misses 3-pt shot from 25 ft,,41-35,,
7:01.0,,,41-35,,Defensive rebound by M. Morris
6:51.0,,,41-37,2,A. Drummond makes 2-pt shot from 1 ft (assist by M. Morris)
6:31.0,,,41-37,,K. Caldwell-Pope enters the game for R. Bullock
6:31.0,M. Williams enters the game for M. Dellavedova,,41-37,,
6:31.0,J. Smith enters the game for R. Jefferson,,41-37,,
6:25.0,T. Mozgov misses 2-pt shot from 20 ft,,41-37,,
6:25.0,,,41-37,,Defensive rebound by A. Drummond
6:04.0,,,41-39,2,A. Drummond makes 2-pt shot from 5 ft
5:45.0,M. Williams makes 2-pt shot from 8 ft,2,43-39,,
5:27.0,,,43-41,2,R. Jackson makes 2-pt shot from 13 ft
5:17.0,M. Williams makes 2-pt shot from 16 ft,2,45-41,,
5:03.0,,,45-43,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:36.0,T. Mozgov makes 2-pt shot at rim (assist by M. Williams),2,47-43,,
4:21.0,,,47-43,,K. Caldwell-Pope misses 2-pt shot from 20 ft
4:19.0,Defensive rebound by L. James,,47-43,,
3:58.0,L. James makes 2-pt shot at rim,2,49-43,,
3:35.0,,,49-43,,A. Drummond misses 2-pt shot from 1 ft
3:34.0,,,49-43,,Offensive rebound by A. Drummond
3:30.0,,,49-45,2,A. Drummond makes 2-pt shot at rim
3:29.0,Cleveland full timeout,,49-45,,
3:29.0,,,49-45,,E. Ilyasova enters the game for A. Tolliver
3:29.0,Violation by Team (delay of game),,49-45,,
3:16.0,Shooting foul by E. Ilyasova (drawn by K. Love),,49-45,,
3:16.0,K. Love makes free throw 1 of 2,1,50-45,,
3:16.0,K. Love makes free throw 2 of 2,1,51-45,,
3:09.0,Personal foul by L. James (drawn by M. Morris),,51-45,,
2:59.0,,,51-45,,R. Jackson misses 2-pt shot from 1 ft (block by J. Smith)
2:58.0,Defensive rebound by T. Mozgov,,51-45,,
2:56.0,Turnover by T. Mozgov (bad pass; steal by K. Caldwell-Pope),,51-45,,
2:45.0,,,51-47,2,K. Caldwell-Pope makes 2-pt shot at rim
2:32.0,K. Love makes 3-pt shot from 26 ft (assist by M. Williams),3,54-47,,
2:17.0,,,54-47,,Shooting foul by K. Love (drawn by E. Ilyasova)
2:17.0,,,54-47,,Detroit full timeout
2:17.0,T. Thompson enters the game for T. Mozgov,,54-47,,
2:17.0,,,54-48,1,E. Ilyasova makes free throw 1 of 2
2:17.0,,,54-49,1,E. Ilyasova makes free throw 2 of 2
2:01.0,L. James misses 2-pt shot from 20 ft,,54-49,,
2:01.0,,,54-49,,Defensive rebound by E. Ilyasova
1:54.0,,,54-49,,K. Caldwell-Pope misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by K. Love,,54-49,,
1:37.0,,,54-49,,Violation by A. Drummond (def goaltending)
1:37.0,K. Love makes 2-pt shot from 1 ft (assist by M. Williams),2,56-49,,
1:19.0,,,56-49,,M. Morris misses 2-pt shot from 17 ft
1:18.0,Defensive rebound by M. Williams,,56-49,,
1:12.0,Turnover by M. Williams (bad pass; steal by M. Morris),,56-49,,
1:11.0,Personal foul by K. Love (drawn by M. Morris),,56-49,,
1:11.0,J. Jones enters the game for K. Love,,56-49,,
0:51.0,,,56-49,,M. Morris misses 2-pt shot from 10 ft
0:51.0,,,56-49,,Offensive rebound by Team
0:48.0,,,56-51,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Ilyasova)
0:38.0,L. James misses 3-pt shot from 25 ft,,56-51,,
0:37.0,,,56-51,,Defensive rebound by A. Drummond
0:34.0,,,56-51,,Shooting foul by J. Smith (drawn by R. Jackson)
0:34.0,,,56-52,1,R. Jackson makes free throw 1 of 2
0:34.0,,,56-53,1,R. Jackson makes free throw 2 of 2
0:14.0,T. Thompson misses 2-pt shot from 5 ft,,56-53,,
0:14.0,,,56-53,,Defensive rebound by M. Morris
0:02.0,,,56-53,,M. Morris misses 3-pt shot from 26 ft
0:01.0,,,56-53,,Offensive rebound by A. Drummond
0:00.0,,,56-55,2,A. Drummond makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,L. James misses 2-pt shot at rim (block by A. Drummond),,56-55,,
11:46.0,,,56-55,,Defensive rebound by M. Morris
11:39.0,,,56-55,,E. Ilyasova misses 3-pt shot from 24 ft
11:38.0,,,56-55,,Offensive rebound by K. Caldwell-Pope
11:32.0,,,56-55,,K. Caldwell-Pope misses 2-pt shot from 4 ft
11:32.0,Defensive rebound by T. Mozgov,,56-55,,
11:26.0,J. Smith misses 3-pt shot from 23 ft,,56-55,,
11:25.0,,,56-55,,Defensive rebound by A. Drummond
11:20.0,,,56-55,,Turnover by A. Drummond (lost ball; steal by K. Love)
11:15.0,K. Love makes 2-pt shot at rim,2,58-55,,
11:01.0,,,58-55,,Turnover by R. Jackson (bad pass; steal by T. Mozgov)
10:53.0,M. Williams makes 2-pt shot from 12 ft,2,60-55,,
10:36.0,,,60-55,,R. Jackson misses 2-pt shot from 3 ft
10:36.0,Defensive rebound by T. Mozgov,,60-55,,
10:27.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Love),3,63-55,,
10:27.0,,,63-55,,Detroit full timeout
10:07.0,,,63-55,,Turnover by M. Morris (bad pass; steal by T. Mozgov)
10:00.0,Shooting foul by R. Jackson (drawn by T. Mozgov),,63-55,,
10:00.0,T. Mozgov makes free throw 1 of 2,1,64-55,,
10:00.0,T. Mozgov makes free throw 2 of 2,1,65-55,,
9:41.0,,,65-57,2,K. Caldwell-Pope makes 2-pt shot from 7 ft
9:28.0,T. Mozgov makes 2-pt shot from 19 ft (assist by M. Williams),2,67-57,,
9:10.0,,,67-57,,M. Morris misses 2-pt shot from 4 ft
9:08.0,,,67-57,,Offensive rebound by E. Ilyasova
9:08.0,,,67-57,,E. Ilyasova misses 2-pt shot at rim (block by T. Mozgov)
9:06.0,Defensive rebound by M. Williams,,67-57,,
8:55.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Williams),3,70-57,,
8:41.0,,,70-60,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson)
8:19.0,K. Love misses 2-pt shot from 11 ft,,70-60,,
8:18.0,,,70-60,,Defensive rebound by R. Jackson
8:12.0,,,70-60,,M. Morris misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by M. Williams,,70-60,,
8:05.0,,,70-60,,Violation by K. Caldwell-Pope (kicked ball)
7:58.0,M. Williams misses 3-pt shot from 25 ft,,70-60,,
7:58.0,,,70-60,,Defensive rebound by A. Drummond
7:50.0,,,70-62,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by R. Jackson)
7:47.0,Cleveland full timeout,,70-62,,
7:26.0,L. James misses 2-pt shot from 15 ft,,70-62,,
7:26.0,,,70-62,,Defensive rebound by R. Jackson
7:20.0,,,70-64,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
7:03.0,M. Williams makes 3-pt shot from 24 ft (assist by L. James),3,73-64,,
6:56.0,,,73-64,,Turnover by R. Jackson (bad pass; steal by J. Smith)
6:54.0,Shooting foul by K. Caldwell-Pope (drawn by J. Smith),,73-64,,
6:54.0,J. Smith misses free throw 1 of 2,,73-64,,
6:54.0,Offensive rebound by Team,,73-64,,
6:54.0,J. Smith misses free throw 2 of 2,,73-64,,
6:52.0,,,73-64,,Defensive rebound by R. Jackson
6:31.0,,,73-64,,K. Caldwell-Pope misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by K. Love,,73-64,,
6:24.0,T. Mozgov makes 2-pt shot at rim (assist by M. Williams),2,75-64,,
6:01.0,,,75-64,,A. Drummond misses 2-pt shot from 3 ft
6:01.0,,,75-64,,Offensive rebound by R. Jackson
6:01.0,,,75-64,,R. Jackson misses 2-pt shot at rim
6:00.0,Defensive rebound by L. James,,75-64,,
5:52.0,K. Love misses 2-pt shot from 3 ft,,75-64,,
5:52.0,Offensive rebound by T. Mozgov,,75-64,,
5:48.0,M. Williams misses 3-pt shot from 23 ft,,75-64,,
5:47.0,,,75-64,,Defensive rebound by A. Drummond
5:42.0,,,75-66,2,M. Morris makes 2-pt shot at rim
5:42.0,,,75-66,,Shooting foul by K. Love (drawn by M. Morris)
5:42.0,J. Jones enters the game for K. Love,,75-66,,
5:42.0,,,75-67,1,M. Morris makes free throw 1 of 1
5:32.0,Shooting foul by M. Morris (drawn by T. Mozgov),,75-67,,
5:32.0,T. Mozgov misses free throw 1 of 2,,75-67,,
5:32.0,Offensive rebound by Team,,75-67,,
5:32.0,T. Mozgov misses free throw 2 of 2,,75-67,,
5:31.0,,,75-67,,Defensive rebound by Team
5:31.0,Loose ball foul by J. Jones (drawn by E. Ilyasova),,75-67,,
5:05.0,,,75-67,,Turnover by A. Drummond (lost ball; steal by J. Jones)
4:58.0,L. James makes 2-pt shot at rim,2,77-67,,
4:48.0,,,77-70,3,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson)
4:48.0,,,77-70,,Shooting foul by L. James (drawn by M. Morris)
4:48.0,T. Thompson enters the game for T. Mozgov,,77-70,,
4:48.0,,,77-71,1,M. Morris makes free throw 1 of 1
4:32.0,M. Williams makes 3-pt shot from 24 ft (assist by J. Jones),3,80-71,,
4:14.0,,,80-71,,K. Caldwell-Pope misses 3-pt shot from 24 ft
4:13.0,Defensive rebound by L. James,,80-71,,
4:02.0,,,80-71,,Personal foul by M. Morris (drawn by L. James)
4:02.0,R. Jefferson enters the game for L. James,,80-71,,
4:02.0,,,80-71,,S. Johnson enters the game for M. Morris
4:02.0,,,80-71,,A. Tolliver enters the game for E. Ilyasova
3:55.0,T. Thompson misses 2-pt shot from 12 ft,,80-71,,
3:54.0,,,80-71,,Defensive rebound by S. Johnson
3:45.0,,,80-71,,A. Drummond misses 2-pt shot at rim
3:44.0,,,80-71,,Offensive rebound by A. Tolliver
3:41.0,,,80-71,,Turnover by R. Jackson (offensive foul)
3:41.0,,,80-71,,Offensive foul by R. Jackson
3:19.0,M. Williams misses 3-pt shot from 26 ft,,80-71,,
3:18.0,,,80-71,,Defensive rebound by A. Drummond
3:06.0,,,80-71,,R. Jackson misses 2-pt shot from 12 ft
3:06.0,Defensive rebound by Team,,80-71,,
2:53.0,J. Smith misses 2-pt shot from 9 ft,,80-71,,
2:53.0,,,80-71,,Defensive rebound by R. Jackson
2:41.0,,,80-71,,S. Johnson misses 2-pt shot from 5 ft
2:41.0,Defensive rebound by Team,,80-71,,
2:41.0,,,80-71,,S. Dinwiddie enters the game for R. Jackson
2:41.0,M. Dellavedova enters the game for M. Williams,,80-71,,
2:20.0,M. Dellavedova misses 2-pt shot from 5 ft,,80-71,,
2:19.0,,,80-71,,Defensive rebound by S. Dinwiddie
2:01.0,,,80-71,,Turnover by S. Johnson (bad pass; steal by J. Jones)
1:53.0,Shooting foul by A. Drummond (drawn by J. Jones),,80-71,,
1:53.0,J. Jones misses free throw 1 of 3,,80-71,,
1:53.0,Offensive rebound by Team,,80-71,,
1:53.0,J. Jones misses free throw 2 of 3,,80-71,,
1:53.0,Offensive rebound by Team,,80-71,,
1:53.0,J. Jones makes free throw 3 of 3,1,81-71,,
1:33.0,,,81-71,,Shooting foul by T. Thompson (drawn by S. Dinwiddie)
1:33.0,,,81-72,1,S. Dinwiddie makes free throw 1 of 2
1:33.0,,,81-72,,S. Dinwiddie misses free throw 2 of 2
1:32.0,Defensive rebound by T. Thompson,,81-72,,
1:10.0,R. Jefferson misses 2-pt shot from 18 ft,,81-72,,
1:09.0,,,81-72,,Defensive rebound by S. Johnson
1:05.0,,,81-72,,Shooting foul by J. Jones (drawn by A. Drummond)
1:05.0,,,81-73,1,A. Drummond makes free throw 1 of 2
1:05.0,M. Williams enters the game for J. Smith,,81-73,,
1:05.0,,,81-73,,A. Drummond misses free throw 2 of 2
1:04.0,,,81-73,,Offensive rebound by A. Tolliver
0:52.0,,,81-73,,S. Dinwiddie misses 2-pt shot from 17 ft
0:51.0,,,81-73,,Offensive rebound by A. Drummond
0:44.0,,,81-73,,S. Johnson misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by R. Jefferson,,81-73,,
0:35.0,M. Williams misses 2-pt shot from 19 ft,,81-73,,
0:34.0,,,81-73,,Defensive rebound by A. Drummond
0:30.0,,,81-75,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Dinwiddie)
0:10.0,Turnover by M. Williams (bad pass; steal by A. Drummond),,81-75,,
0:01.0,,,81-75,,S. Johnson misses 2-pt shot from 7 ft
0:00.0,,,81-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,81-75,,M. Morris misses 2-pt shot from 17 ft
11:46.0,Defensive rebound by K. Love,,81-75,,
11:31.0,R. Jefferson misses 3-pt shot from 26 ft,,81-75,,
11:31.0,,,81-75,,Defensive rebound by S. Johnson
11:21.0,,,81-75,,S. Dinwiddie misses 2-pt shot at rim
11:20.0,Defensive rebound by T. Thompson,,81-75,,
10:59.0,K. Love makes 2-pt shot from 8 ft (assist by L. James),2,83-75,,
10:37.0,,,83-75,,S. Dinwiddie misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by T. Thompson,,83-75,,
10:13.0,L. James misses 3-pt shot from 25 ft,,83-75,,
10:12.0,,,83-75,,Defensive rebound by A. Tolliver
9:59.0,,,83-75,,M. Morris misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by K. Love,,83-75,,
9:57.0,Turnover by K. Love (bad pass; steal by S. Dinwiddie),,83-75,,
9:53.0,Personal foul by K. Love (drawn by S. Dinwiddie),,83-75,,
9:42.0,,,83-75,,A. Tolliver misses 3-pt shot from 26 ft
9:41.0,Defensive rebound by T. Thompson,,83-75,,
9:24.0,K. Love makes 2-pt shot from 6 ft,2,85-75,,
8:59.0,,,85-77,2,S. Johnson makes 2-pt shot at rim
8:43.0,M. Dellavedova makes 2-pt shot at rim,2,87-77,,
8:22.0,,,87-79,2,A. Baynes makes 2-pt shot from 6 ft (assist by S. Johnson)
8:00.0,Turnover by R. Jefferson (bad pass; steal by S. Johnson),,87-79,,
7:58.0,Personal foul by M. Dellavedova (drawn by S. Johnson),,87-79,,
7:58.0,Official timeout,,87-79,,
7:58.0,,,87-79,,A. Drummond enters the game for S. Dinwiddie
7:58.0,,,87-79,,R. Jackson enters the game for A. Baynes
7:58.0,T. Mozgov enters the game for T. Thompson,,87-79,,
7:58.0,J. Smith enters the game for R. Jefferson,,87-79,,
7:45.0,,,87-79,,A. Tolliver misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by T. Mozgov,,87-79,,
7:29.0,K. Love misses 3-pt shot from 25 ft,,87-79,,
7:28.0,,,87-79,,Defensive rebound by A. Drummond
7:21.0,,,87-79,,Shooting foul by J. Smith (drawn by M. Morris)
7:21.0,,,87-80,1,M. Morris makes free throw 1 of 2
7:21.0,,,87-80,,E. Ilyasova enters the game for A. Tolliver
7:21.0,,,87-80,,K. Caldwell-Pope enters the game for S. Johnson
7:21.0,,,87-81,1,M. Morris makes free throw 2 of 2
6:59.0,L. James makes 2-pt shot from 12 ft,2,89-81,,
6:48.0,,,89-83,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
6:22.0,M. Dellavedova misses 3-pt shot from 24 ft,,89-83,,
6:21.0,,,89-83,,Defensive rebound by E. Ilyasova
6:11.0,,,89-85,2,M. Morris makes 2-pt shot from 18 ft (assist by R. Jackson)
6:01.0,,,89-85,,Personal foul by M. Morris (drawn by L. James)
5:46.0,L. James misses 2-pt shot from 13 ft,,89-85,,
5:45.0,,,89-85,,Defensive rebound by A. Drummond
5:26.0,,,89-88,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
5:26.0,Cleveland full timeout,,89-88,,
5:26.0,M. Williams enters the game for M. Dellavedova,,89-88,,
5:10.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James),2,91-88,,
4:55.0,,,91-88,,R. Jackson misses 2-pt shot at rim
4:55.0,Defensive rebound by M. Williams,,91-88,,
4:54.0,Shooting foul by E. Ilyasova (drawn by L. James),,91-88,,
4:54.0,L. James makes free throw 1 of 2,1,92-88,,
4:54.0,L. James misses free throw 2 of 2,,92-88,,
4:53.0,,,92-88,,Defensive rebound by E. Ilyasova
4:38.0,,,92-88,,R. Jackson misses 2-pt shot at rim
4:37.0,,,92-88,,Offensive rebound by A. Drummond
4:35.0,,,92-90,2,A. Drummond makes 2-pt shot at rim
4:20.0,Shooting foul by R. Jackson (drawn by M. Williams),,92-90,,
4:20.0,M. Williams misses free throw 1 of 2,,92-90,,
4:20.0,Offensive rebound by Team,,92-90,,
4:20.0,M. Williams makes free throw 2 of 2,1,93-90,,
4:06.0,,,93-90,,E. Ilyasova misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by L. James,,93-90,,
3:49.0,K. Love makes 2-pt shot from 10 ft,2,95-90,,
3:43.0,Personal foul by M. Williams (drawn by R. Jackson),,95-90,,
3:37.0,,,95-92,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
3:37.0,,,95-92,,Shooting foul by L. James (drawn by A. Drummond)
3:37.0,,,95-93,1,A. Drummond makes free throw 1 of 1
3:24.0,K. Love misses 3-pt shot from 27 ft,,95-93,,
3:24.0,,,95-93,,Defensive rebound by Team
3:13.0,,,95-93,,R. Jackson misses 2-pt shot from 7 ft
3:13.0,Defensive rebound by L. James,,95-93,,
3:01.0,Shooting foul by M. Morris (drawn by K. Love),,95-93,,
3:01.0,K. Love makes free throw 1 of 2,1,96-93,,
3:01.0,K. Love makes free throw 2 of 2,1,97-93,,
2:58.0,Personal take foul by J. Smith (drawn by A. Drummond),,97-93,,
2:58.0,,,97-93,,Detroit full timeout
2:58.0,,,97-94,1,A. Drummond makes free throw 1 of 2
2:58.0,,,97-95,1,A. Drummond makes free throw 2 of 2
2:45.0,Turnover by K. Love (lost ball; steal by A. Drummond),,97-95,,
2:29.0,,,97-97,2,R. Jackson makes 2-pt shot from 14 ft
2:09.0,M. Williams misses 3-pt shot from 27 ft,,97-97,,
2:09.0,,,97-97,,Defensive rebound by M. Morris
2:07.0,Personal take foul by T. Mozgov (drawn by A. Drummond),,97-97,,
2:07.0,,,97-98,1,A. Drummond makes free throw 1 of 2
2:07.0,,,97-98,,A. Drummond misses free throw 2 of 2
