time,Houston,pts.away,score,pts.home,Charlotte
8:28.0,Defensive rebound by Team,,31-42,,
8:28.0,Official timeout,,31-42,,
8:28.0,,,31-42,,C. Zeller enters the game for A. Jefferson
8:13.0,D. Howard makes 2-pt shot from 2 ft (assist by M. Harrell),2,33-42,,
8:13.0,Shooting foul by C. Zeller (drawn by D. Howard),,33-42,,
8:13.0,D. Howard misses free throw 1 of 1,,33-42,,
8:12.0,,,33-42,,Defensive rebound by N. Batum
7:53.0,,,33-42,,N. Batum misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by P. Beverley,,33-42,,
7:43.0,Turnover by D. Howard (lost ball; steal by J. Lin),,33-42,,
7:37.0,,,33-44,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by C. Zeller)
7:15.0,J. Terry misses 3-pt shot from 24 ft,,33-44,,
7:13.0,Offensive rebound by J. Terry,,33-44,,
7:09.0,P. Beverley misses 3-pt shot from 24 ft,,33-44,,
7:08.0,Offensive rebound by D. Howard,,33-44,,
7:08.0,Shooting foul by J. Lamb (drawn by D. Howard),,33-44,,
7:08.0,D. Howard makes 2-pt shot from 1 ft,2,35-44,,
7:08.0,,,35-44,,C. Lee enters the game for J. Lamb
7:08.0,D. Howard misses free throw 1 of 1,,35-44,,
7:08.0,Offensive rebound by Team,,35-44,,
7:08.0,,,35-44,,Loose ball foul by C. Zeller
6:55.0,P. Beverley misses 2-pt shot from 13 ft,,35-44,,
6:54.0,,,35-44,,Defensive rebound by J. Lin
6:50.0,Personal foul by J. Terry,,35-44,,
6:36.0,,,35-46,2,C. Zeller makes 2-pt shot from 5 ft (assist by N. Batum)
6:24.0,J. Terry makes 2-pt shot at rim,2,37-46,,
6:24.0,Shooting foul by C. Zeller (drawn by J. Terry),,37-46,,
6:24.0,,,37-46,,A. Jefferson enters the game for C. Zeller
6:24.0,J. Terry makes free throw 1 of 1,1,38-46,,
6:14.0,Personal foul by D. Howard,,38-46,,
6:14.0,,,38-46,,K. Walker enters the game for N. Batum
6:05.0,,,38-48,2,J. Lin makes 2-pt shot from 10 ft
5:52.0,C. Brewer misses 2-pt shot from 18 ft,,38-48,,
5:52.0,,,38-48,,Defensive rebound by Team
5:52.0,Loose ball foul by M. Harrell,,38-48,,
5:52.0,,,38-48,,Charlotte full timeout
5:52.0,J. Harden enters the game for P. Beverley,,38-48,,
5:52.0,T. Ariza enters the game for C. Brewer,,38-48,,
