time,Atlanta,pts.away,score,pts.home,Sacramento
7:01.0,D. Schroder misses 2-pt shot from 20 ft,,31-32,,
7:00.0,,,31-32,,Defensive rebound by O. Casspi
6:53.0,,,31-34,2,D. Collison makes 2-pt shot from 9 ft
6:39.0,A. Horford misses 2-pt shot from 14 ft,,31-34,,
6:38.0,,,31-34,,Defensive rebound by D. Cousins
6:27.0,,,31-34,,Turnover by D. Cousins (lost ball)
6:27.0,,,31-34,,R. Rondo enters the game for M. Belinelli
6:27.0,J. Teague enters the game for A. Horford,,31-34,,
6:27.0,T. Splitter enters the game for T. Sefolosha,,31-34,,
6:27.0,K. Bazemore enters the game for D. Schroder,,31-34,,
6:27.0,K. Korver enters the game for T. Hardaway,,31-34,,
6:08.0,,,31-34,,Personal foul by D. Cousins (drawn by T. Splitter)
6:01.0,K. Bazemore misses 3-pt shot from 24 ft,,31-34,,
6:01.0,,,31-34,,Defensive rebound by W. Cauley-Stein
5:54.0,,,31-34,,D. Collison misses 2-pt shot from 6 ft
5:52.0,Defensive rebound by T. Splitter,,31-34,,
5:49.0,K. Bazemore makes 2-pt shot from 3 ft,2,33-34,,
5:29.0,,,33-34,,D. Cousins misses 2-pt shot from 19 ft
5:29.0,Defensive rebound by J. Teague,,33-34,,
5:25.0,,,33-34,,Sacramento full timeout
5:25.0,,,33-34,,B. McLemore enters the game for D. Collison
5:25.0,P. Millsap enters the game for M. Scott,,33-34,,
5:17.0,Shooting foul by R. Rondo (drawn by T. Splitter),,33-34,,
5:17.0,T. Splitter makes free throw 1 of 2,1,34-34,,
5:17.0,T. Splitter misses free throw 2 of 2,,34-34,,
5:16.0,,,34-34,,Defensive rebound by W. Cauley-Stein
4:56.0,,,34-36,2,D. Cousins makes 2-pt shot from 6 ft
4:42.0,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap),3,37-36,,
4:30.0,,,37-38,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by R. Rondo)
4:21.0,Turnover by K. Bazemore (traveling),,37-38,,
4:07.0,,,37-38,,R. Rondo misses 2-pt shot from 7 ft
4:06.0,Defensive rebound by K. Bazemore,,37-38,,
4:04.0,Turnover by K. Bazemore (bad pass; steal by D. Cousins),,37-38,,
3:59.0,,,37-38,,B. McLemore misses 3-pt shot from 22 ft
3:58.0,,,37-38,,Offensive rebound by R. Rondo
3:49.0,,,37-40,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore)
3:39.0,Shooting foul by B. McLemore (drawn by T. Splitter),,37-40,,
3:39.0,T. Splitter makes free throw 1 of 2,1,38-40,,
3:39.0,T. Splitter misses free throw 2 of 2,,38-40,,
3:37.0,Offensive rebound by Team,,38-40,,
3:30.0,K. Korver misses 3-pt shot from 26 ft,,38-40,,
3:30.0,,,38-40,,Defensive rebound by R. Rondo
3:24.0,,,38-40,,R. Rondo misses 2-pt shot from 1 ft
3:23.0,Defensive rebound by K. Bazemore,,38-40,,
3:15.0,K. Bazemore misses 3-pt shot from 26 ft,,38-40,,
3:15.0,Offensive rebound by P. Millsap,,38-40,,
3:14.0,P. Millsap makes 2-pt shot from 2 ft,2,40-40,,
2:52.0,,,40-40,,O. Casspi misses 2-pt shot from 8 ft
2:51.0,,,40-40,,Offensive rebound by D. Cousins
2:51.0,,,40-40,,D. Cousins misses 2-pt shot at rim
2:50.0,,,40-40,,Offensive rebound by W. Cauley-Stein
2:50.0,,,40-42,2,W. Cauley-Stein makes 2-pt shot from 3 ft
2:41.0,Atlanta full timeout,,40-42,,
2:41.0,A. Horford enters the game for T. Splitter,,40-42,,
2:41.0,,,40-42,,K. Koufos enters the game for W. Cauley-Stein
2:34.0,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague),2,42-42,,
2:19.0,Personal foul by P. Millsap (drawn by D. Cousins),,42-42,,
2:06.0,,,42-42,,K. Koufos misses 2-pt shot from 2 ft
2:05.0,Defensive rebound by P. Millsap,,42-42,,
1:57.0,P. Millsap misses 2-pt shot from 4 ft,,42-42,,
1:56.0,,,42-42,,Defensive rebound by K. Koufos
1:44.0,,,42-45,3,B. McLemore makes 3-pt shot from 22 ft (assist by D. Cousins)
1:34.0,A. Horford misses 2-pt shot from 19 ft,,42-45,,
1:34.0,,,42-45,,Defensive rebound by O. Casspi
1:25.0,,,42-45,,Turnover by R. Rondo (bad pass; steal by P. Millsap)
