time,Denver,pts.away,score,pts.home,Chicago
5:43.0,Turnover by E. Mudiay (bad pass; steal by T. Gibson),,35-41,,
5:37.0,,,35-43,2,D. McDermott makes 2-pt shot from 3 ft (assist by D. Rose)
5:18.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Barton),2,37-43,,
5:18.0,Shooting foul by J. Butler (drawn by K. Faried),,37-43,,
5:18.0,,,37-43,,Chicago full timeout
5:18.0,,,37-43,,P. Gasol enters the game for J. Noah
5:18.0,D. Gallinari enters the game for M. Miller,,37-43,,
5:18.0,K. Faried misses free throw 1 of 1,,37-43,,
5:14.0,,,37-43,,Defensive rebound by P. Gasol
4:55.0,,,37-43,,D. Rose misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by W. Barton,,37-43,,
4:47.0,W. Barton misses 2-pt shot from 2 ft,,37-43,,
4:46.0,Offensive rebound by E. Mudiay,,37-43,,
4:40.0,N. Jokic misses 2-pt shot from 14 ft,,37-43,,
4:37.0,Offensive rebound by K. Faried,,37-43,,
4:21.0,E. Mudiay misses 3-pt shot from 24 ft,,37-43,,
4:20.0,,,37-43,,Defensive rebound by P. Gasol
4:13.0,,,37-43,,D. Rose misses 2-pt shot from 3 ft
4:12.0,,,37-43,,Offensive rebound by T. Gibson
4:12.0,,,37-45,2,T. Gibson makes 2-pt shot from 1 ft
3:45.0,D. Gallinari misses 2-pt shot from 14 ft,,37-45,,
3:44.0,Offensive rebound by K. Faried,,37-45,,
3:35.0,W. Barton makes 2-pt shot from 1 ft (assist by D. Gallinari),2,39-45,,
3:30.0,,,39-45,,Shooting foul by N. Jokic (drawn by J. Butler)
3:30.0,,,39-46,1,J. Butler makes free throw 1 of 2
3:30.0,J. Hickson enters the game for N. Jokic,,39-46,,
3:30.0,,,39-46,,T. Snell enters the game for D. Rose
3:30.0,,,39-46,,A. Brooks enters the game for D. McDermott
3:30.0,,,39-46,,J. Noah enters the game for T. Gibson
3:30.0,,,39-47,1,J. Butler makes free throw 2 of 2
3:07.0,J. Hickson misses 2-pt shot from 15 ft,,39-47,,
3:06.0,,,39-47,,Defensive rebound by J. Butler
2:49.0,,,39-47,,Turnover by A. Brooks (bad pass)
2:49.0,Denver full timeout,,39-47,,
2:49.0,R. Foye enters the game for W. Barton,,39-47,,
2:35.0,Shooting foul by T. Snell (drawn by J. Hickson),,39-47,,
2:35.0,J. Hickson misses free throw 1 of 2,,39-47,,
2:35.0,Offensive rebound by Team,,39-47,,
2:35.0,J. Hickson makes free throw 2 of 2,1,40-47,,
2:17.0,,,40-47,,Shooting foul by R. Foye (drawn by A. Brooks)
2:17.0,,,40-47,,A. Brooks misses free throw 1 of 3
2:17.0,,,40-47,,Offensive rebound by Team
2:17.0,,,40-48,1,A. Brooks makes free throw 2 of 3
2:17.0,,,40-49,1,A. Brooks makes free throw 3 of 3
2:00.0,E. Mudiay misses 2-pt shot from 7 ft,,40-49,,
1:58.0,,,40-49,,Defensive rebound by T. Snell
1:50.0,,,40-49,,A. Brooks misses 2-pt shot from 4 ft (block by E. Mudiay)
1:50.0,,,40-49,,Offensive rebound by Team
1:41.0,,,40-51,2,J. Butler makes 2-pt shot from 17 ft (assist by A. Brooks)
1:27.0,K. Faried makes 2-pt shot at rim (assist by D. Gallinari),2,42-51,,
1:13.0,,,42-51,,Turnover by J. Noah (bad pass; steal by J. Hickson)
1:07.0,Turnover by K. Faried (bad pass; steal by J. Butler),,42-51,,
1:01.0,,,42-51,,T. Snell misses 3-pt shot from 22 ft
1:00.0,Defensive rebound by J. Hickson,,42-51,,
0:56.0,Shooting foul by A. Brooks (drawn by R. Foye),,42-51,,
0:56.0,R. Foye makes free throw 1 of 2,1,43-51,,
0:56.0,R. Foye makes free throw 2 of 2,1,44-51,,
0:36.0,,,44-51,,Turnover by P. Gasol (bad pass; steal by E. Mudiay)
0:27.0,K. Faried makes 2-pt shot from 8 ft (assist by E. Mudiay),2,46-51,,
0:06.0,,,46-51,,J. Butler misses 2-pt shot from 20 ft
0:05.0,Defensive rebound by K. Faried,,46-51,,
0:01.0,,,46-51,,Shooting block foul by A. Brooks (drawn by E. Mudiay)
0:01.0,E. Mudiay misses free throw 1 of 2,,46-51,,
0:01.0,Offensive rebound by Team,,46-51,,
0:01.0,E. Mudiay misses free throw 2 of 2,,46-51,,
0:00.0,,,46-51,,Defensive rebound by A. Brooks
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Gallinari misses 2-pt shot from 1 ft,,46-51,,
11:47.0,Offensive rebound by J. Hickson,,46-51,,
11:47.0,J. Hickson misses 2-pt shot from 1 ft,,46-51,,
11:45.0,,,46-51,,Defensive rebound by D. Rose
11:37.0,,,46-51,,Turnover by J. Noah (traveling)
11:22.0,,,46-51,,Personal foul by J. Butler (drawn by D. Gallinari)
11:17.0,E. Mudiay makes 2-pt shot at rim,2,48-51,,
10:54.0,,,48-51,,P. Gasol misses 2-pt shot from 11 ft
10:52.0,,,48-51,,Offensive rebound by J. Butler
10:49.0,,,48-54,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Butler)
10:33.0,K. Faried makes 2-pt shot from 5 ft (assist by E. Mudiay),2,50-54,,
10:12.0,,,50-54,,Turnover by D. Rose (bad pass; steal by J. Hickson)
10:06.0,D. Gallinari misses 3-pt shot from 26 ft,,50-54,,
10:05.0,Offensive rebound by J. Hickson,,50-54,,
9:56.0,R. Foye makes 3-pt shot from 24 ft (assist by E. Mudiay),3,53-54,,
9:49.0,,,53-54,,Shooting foul by R. Foye (drawn by J. Butler)
9:49.0,,,53-55,1,J. Butler makes free throw 1 of 2
9:49.0,,,53-56,1,J. Butler makes free throw 2 of 2
9:36.0,Shooting foul by D. Rose (drawn by D. Gallinari),,53-56,,
9:36.0,D. Gallinari misses free throw 1 of 2,,53-56,,
9:36.0,Offensive rebound by Team,,53-56,,
9:36.0,D. Gallinari makes free throw 2 of 2,1,54-56,,
9:30.0,Personal foul by J. Hickson (drawn by P. Gasol),,54-56,,
9:21.0,,,54-56,,D. Rose misses 2-pt shot from 11 ft
9:19.0,,,54-56,,Offensive rebound by J. Noah
9:19.0,,,54-58,2,J. Noah makes 2-pt shot at rim
8:52.0,R. Foye misses 2-pt shot from 21 ft,,54-58,,
8:50.0,,,54-58,,Defensive rebound by P. Gasol
8:46.0,,,54-58,,D. Rose misses 2-pt shot from 2 ft (block by K. Faried)
8:45.0,,,54-58,,Offensive rebound by J. Butler
8:35.0,,,54-60,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah)
8:14.0,E. Mudiay misses 2-pt shot from 10 ft (block by P. Gasol),,54-60,,
8:12.0,,,54-60,,Defensive rebound by J. Noah
8:10.0,,,54-60,,Shooting foul by D. Gallinari (drawn by J. Butler)
8:10.0,,,54-61,1,J. Butler makes free throw 1 of 2
8:10.0,Denver full timeout,,54-61,,
8:10.0,,,54-62,1,J. Butler makes free throw 2 of 2
7:55.0,D. Gallinari makes 2-pt shot from 16 ft (assist by J. Hickson),2,56-62,,
7:36.0,,,56-62,,Turnover by J. Noah (bad pass; steal by J. Hickson)
7:33.0,D. Gallinari makes 3-pt shot from 24 ft (assist by E. Mudiay),3,59-62,,
7:18.0,,,59-62,,P. Gasol misses 2-pt shot from 20 ft
7:16.0,Defensive rebound by J. Hickson,,59-62,,
7:04.0,K. Faried misses 2-pt shot from 2 ft (block by J. Noah),,59-62,,
7:02.0,,,59-62,,Defensive rebound by P. Gasol
6:53.0,,,59-65,3,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose)
6:31.0,R. Foye misses 3-pt shot from 24 ft,,59-65,,
6:31.0,,,59-65,,Defensive rebound by J. Noah
6:23.0,,,59-65,,P. Gasol misses 2-pt shot from 8 ft
6:21.0,Defensive rebound by D. Gallinari,,59-65,,
6:17.0,,,59-65,,Violation by J. Butler (kicked ball)
5:59.0,K. Faried makes 2-pt shot at rim (assist by R. Foye),2,61-65,,
5:54.0,,,61-65,,Chicago full timeout
5:29.0,,,61-65,,T. Snell misses 2-pt shot from 20 ft
5:28.0,Defensive rebound by E. Mudiay,,61-65,,
5:14.0,D. Gallinari misses 2-pt shot from 21 ft,,61-65,,
5:12.0,,,61-65,,Defensive rebound by J. Noah
5:06.0,,,61-65,,P. Gasol misses 2-pt shot from 4 ft
5:05.0,Defensive rebound by J. Hickson,,61-65,,
4:57.0,E. Mudiay misses 2-pt shot from 6 ft,,61-65,,
4:55.0,,,61-65,,Defensive rebound by J. Noah
4:47.0,,,61-65,,D. Rose misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by D. Gallinari,,61-65,,
4:40.0,Shooting foul by P. Gasol (drawn by D. Gallinari),,61-65,,
4:40.0,D. Gallinari makes free throw 1 of 2,1,62-65,,
4:40.0,,,62-65,,T. Gibson enters the game for P. Gasol
4:40.0,,,62-65,,D. McDermott enters the game for T. Snell
4:40.0,D. Arthur enters the game for J. Hickson,,62-65,,
4:40.0,J. Lauvergne enters the game for K. Faried,,62-65,,
4:40.0,D. Gallinari misses free throw 2 of 2,,62-65,,
4:38.0,Offensive rebound by D. Gallinari,,62-65,,
4:35.0,D. Gallinari misses 2-pt shot from 6 ft,,62-65,,
4:33.0,,,62-65,,Defensive rebound by J. Butler
4:20.0,,,62-65,,J. Butler misses 2-pt shot from 2 ft (block by D. Arthur)
4:18.0,Defensive rebound by J. Lauvergne,,62-65,,
4:08.0,D. Arthur makes 2-pt shot from 18 ft (assist by R. Foye),2,64-65,,
3:48.0,,,64-65,,J. Butler misses 2-pt shot from 15 ft
3:47.0,Defensive rebound by J. Lauvergne,,64-65,,
3:27.0,D. Arthur makes 2-pt shot from 18 ft (assist by D. Gallinari),2,66-65,,
3:12.0,,,66-68,3,J. Butler makes 3-pt shot from 25 ft (assist by D. Rose)
2:55.0,J. Lauvergne misses 2-pt shot from 7 ft,,66-68,,
2:54.0,,,66-68,,Defensive rebound by T. Gibson
2:44.0,,,66-68,,Turnover by D. Rose (bad pass; steal by E. Mudiay)
2:38.0,E. Mudiay misses 2-pt shot from 3 ft (block by J. Butler),,66-68,,
2:35.0,Offensive rebound by D. Arthur,,66-68,,
2:35.0,D. Arthur makes 2-pt shot at rim,2,68-68,,
2:13.0,,,68-68,,J. Butler misses 2-pt shot from 19 ft
2:12.0,,,68-68,,Offensive rebound by J. Butler
2:04.0,,,68-68,,D. McDermott misses 3-pt shot from 22 ft
2:03.0,Defensive rebound by D. Gallinari,,68-68,,
1:56.0,Denver full timeout,,68-68,,
1:56.0,J. Nelson enters the game for R. Foye,,68-68,,
1:56.0,W. Barton enters the game for E. Mudiay,,68-68,,
1:56.0,,,68-68,,E. Moore enters the game for D. Rose
1:46.0,D. Arthur makes 2-pt shot from 20 ft (assist by W. Barton),2,70-68,,
1:25.0,,,70-68,,Turnover by J. Butler (bad pass)
1:11.0,D. Gallinari misses 2-pt shot from 2 ft (block by J. Noah),,70-68,,
1:08.0,,,70-68,,Defensive rebound by E. Moore
1:07.0,,,70-68,,Turnover by E. Moore (bad pass)
0:50.0,W. Barton makes 2-pt shot from 3 ft,2,72-68,,
0:27.0,,,72-68,,Turnover by T. Gibson (lost ball; steal by D. Gallinari)
0:07.0,J. Nelson misses 3-pt shot from 25 ft,,72-68,,
0:06.0,,,72-68,,Defensive rebound by Team
0:03.0,Personal foul by W. Barton (drawn by J. Butler),,72-68,,
0:00.0,,,72-68,,J. Butler misses 3-pt shot from 24 ft
0:00.0,,,72-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,72-68,,Shooting foul by W. Barton (drawn by D. Rose)
11:52.0,,,72-69,1,D. Rose makes free throw 1 of 2
11:52.0,,,72-70,1,D. Rose makes free throw 2 of 2
11:39.0,D. Arthur misses 2-pt shot from 19 ft,,72-70,,
11:38.0,,,72-70,,Defensive rebound by P. Gasol
11:31.0,,,72-70,,Turnover by E. Moore (bad pass)
11:15.0,W. Barton misses 2-pt shot from 15 ft,,72-70,,
11:14.0,,,72-70,,Defensive rebound by P. Gasol
11:12.0,,,72-70,,Turnover by P. Gasol (bad pass; steal by D. Arthur)
11:09.0,J. Lauvergne misses 2-pt shot from 4 ft (block by P. Gasol),,72-70,,
11:07.0,,,72-70,,Defensive rebound by P. Gasol
11:04.0,,,72-70,,Turnover by D. McDermott (traveling)
10:40.0,W. Barton makes 2-pt shot from 20 ft,2,74-70,,
10:23.0,,,74-73,3,E. Moore makes 3-pt shot from 23 ft (assist by D. Rose)
10:05.0,J. Nelson misses 2-pt shot from 7 ft,,74-73,,
10:04.0,Offensive rebound by J. Lauvergne,,74-73,,
10:04.0,Shooting foul by T. Gibson (drawn by J. Lauvergne),,74-73,,
10:04.0,J. Lauvergne makes free throw 1 of 2,1,75-73,,
10:04.0,J. Lauvergne makes free throw 2 of 2,1,76-73,,
9:49.0,,,76-75,2,P. Gasol makes 2-pt shot from 16 ft (assist by D. Rose)
9:48.0,,,76-75,,Violation by Team (delay of game)
9:38.0,Shooting foul by T. Gibson (drawn by J. Lauvergne),,76-75,,
9:38.0,J. Lauvergne makes free throw 1 of 2,1,77-75,,
9:38.0,J. Lauvergne makes free throw 2 of 2,1,78-75,,
9:23.0,,,78-75,,E. Moore misses 3-pt shot from 23 ft
9:22.0,Defensive rebound by W. Barton,,78-75,,
9:11.0,J. Lauvergne misses 2-pt shot from 13 ft,,78-75,,
9:10.0,,,78-75,,Defensive rebound by D. Rose
9:00.0,,,78-77,2,T. Gibson makes 2-pt shot at rim (assist by P. Gasol)
8:39.0,Shooting foul by T. Gibson (drawn by J. Lauvergne),,78-77,,
8:39.0,Denver full timeout,,78-77,,
8:39.0,,,78-77,,J. Butler enters the game for E. Moore
8:39.0,D. Arthur misses free throw 1 of 2,,78-77,,
8:39.0,Offensive rebound by Team,,78-77,,
8:39.0,D. Arthur makes free throw 2 of 2,1,79-77,,
8:17.0,,,79-77,,J. Butler misses 2-pt shot from 11 ft
8:15.0,,,79-77,,Offensive rebound by P. Gasol
8:15.0,,,79-79,2,P. Gasol makes 2-pt shot from 1 ft
7:52.0,J. Lauvergne misses 2-pt shot from 6 ft,,79-79,,
7:51.0,,,79-79,,Defensive rebound by T. Gibson
7:40.0,,,79-79,,D. Rose misses 2-pt shot from 17 ft
7:39.0,,,79-79,,Offensive rebound by D. McDermott
7:37.0,,,79-82,3,D. McDermott makes 3-pt shot from 24 ft
7:37.0,Denver full timeout,,79-82,,
7:24.0,W. Barton makes 2-pt shot from 11 ft,2,81-82,,
7:04.0,,,81-82,,J. Butler misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by W. Barton,,81-82,,
6:46.0,J. Lauvergne misses 2-pt shot from 11 ft,,81-82,,
6:45.0,,,81-82,,Defensive rebound by T. Gibson
6:33.0,,,81-82,,D. Rose misses 2-pt shot from 11 ft
6:31.0,Defensive rebound by M. Miller,,81-82,,
6:21.0,J. Lauvergne misses 2-pt shot from 8 ft,,81-82,,
6:20.0,,,81-82,,Defensive rebound by T. Gibson
6:07.0,,,81-82,,D. Rose misses 2-pt shot from 3 ft
6:05.0,,,81-82,,Offensive rebound by T. Gibson
6:05.0,,,81-82,,T. Gibson misses 2-pt shot at rim
6:04.0,Defensive rebound by J. Lauvergne,,81-82,,
5:48.0,J. Lauvergne misses 2-pt shot from 9 ft,,81-82,,
5:47.0,,,81-82,,Defensive rebound by T. Gibson
5:41.0,,,81-84,2,J. Butler makes 2-pt shot from 2 ft
5:41.0,,,81-84,,Shooting foul by J. Nelson (drawn by J. Butler)
5:41.0,,,81-84,,J. Noah enters the game for T. Gibson
5:41.0,D. Gallinari enters the game for J. Lauvergne,,81-84,,
5:41.0,J. Hickson enters the game for D. Arthur,,81-84,,
5:41.0,K. Faried enters the game for J. Nelson,,81-84,,
5:41.0,E. Mudiay enters the game for M. Miller,,81-84,,
5:41.0,,,81-85,1,J. Butler makes free throw 1 of 1
5:22.0,J. Hickson misses 2-pt shot from 8 ft,,81-85,,
5:21.0,,,81-85,,Defensive rebound by P. Gasol
5:10.0,,,81-87,2,P. Gasol makes 2-pt shot from 20 ft (assist by J. Butler)
4:53.0,Offensive foul by J. Hickson,,81-87,,
4:53.0,Turnover by J. Hickson (offensive foul),,81-87,,
4:31.0,,,81-89,2,P. Gasol makes 2-pt shot from 10 ft
4:11.0,E. Mudiay misses 2-pt shot from 14 ft,,81-89,,
4:10.0,,,81-89,,Defensive rebound by J. Noah
