time,Phoenix,pts.away,score,pts.home,Miami
2:51.0,,,17-23,,G. Dragic enters the game for D. Wade
2:51.0,M. Teletovic makes free throw 1 of 2,1,18-23,,
2:51.0,M. Teletovic misses free throw 2 of 2,,18-23,,
2:50.0,,,18-23,,Defensive rebound by H. Whiteside
2:33.0,,,18-23,,J. Johnson misses 2-pt shot from 3 ft
2:32.0,Defensive rebound by J. Jenkins,,18-23,,
2:17.0,M. Teletovic misses 3-pt shot from 25 ft,,18-23,,
2:16.0,,,18-23,,Defensive rebound by H. Whiteside
2:08.0,,,18-23,,J. Richardson misses 2-pt shot from 1 ft
2:07.0,Defensive rebound by A. Len,,18-23,,
2:00.0,D. Booker misses 2-pt shot from 4 ft,,18-23,,
1:59.0,,,18-23,,Defensive rebound by J. Winslow
1:52.0,,,18-25,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. Richardson)
1:39.0,,,18-25,,Personal foul by J. Winslow (drawn by M. Teletovic)
1:39.0,,,18-25,,G. Green enters the game for J. Johnson
1:39.0,J. Leuer enters the game for A. Len,,18-25,,
1:34.0,J. Jenkins misses 3-pt shot from 25 ft,,18-25,,
1:33.0,,,18-25,,Defensive rebound by G. Dragic
1:30.0,,,18-25,,Turnover by G. Dragic (bad pass)
1:24.0,D. Booker makes 3-pt shot from 24 ft (assist by A. Goodwin),3,21-25,,
1:11.0,,,21-25,,Offensive foul by H. Whiteside
1:11.0,,,21-25,,Turnover by H. Whiteside (offensive foul)
1:00.0,A. Goodwin misses 2-pt shot from 1 ft (block by H. Whiteside),,21-25,,
0:59.0,,,21-25,,Defensive rebound by G. Green
0:55.0,,,21-27,2,G. Dragic makes 2-pt shot from 2 ft (assist by J. Richardson)
0:48.0,D. Booker misses 2-pt shot from 2 ft,,21-27,,
0:47.0,,,21-27,,Defensive rebound by H. Whiteside
0:37.0,,,21-29,2,H. Whiteside makes 2-pt shot from 18 ft
0:15.0,A. Goodwin misses 2-pt shot from 19 ft,,21-29,,
0:14.0,,,21-29,,Defensive rebound by H. Whiteside
0:02.0,,,21-29,,J. Richardson misses 3-pt shot from 24 ft
0:00.0,,,21-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,21-29,,Shooting foul by J. Leuer (drawn by H. Whiteside)
11:49.0,,,21-31,2,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Winslow)
11:49.0,,,21-32,1,H. Whiteside makes free throw 1 of 1
11:37.0,M. Teletovic misses 2-pt shot from 3 ft (block by H. Whiteside),,21-32,,
11:36.0,Offensive rebound by Team,,21-32,,
11:29.0,J. Leuer misses 2-pt shot from 4 ft,,21-32,,
11:28.0,,,21-32,,Defensive rebound by J. Winslow
11:14.0,,,21-32,,H. Whiteside misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by S. Weems,,21-32,,
11:08.0,,,21-32,,Violation by J. Winslow (def goaltending)
11:08.0,J. Jenkins makes 2-pt shot from 1 ft (assist by S. Weems),2,23-32,,
10:55.0,,,23-32,,Turnover by H. Whiteside (lost ball; steal by M. Teletovic)
10:49.0,M. Teletovic misses 3-pt shot from 24 ft,,23-32,,
10:48.0,,,23-32,,Defensive rebound by J. Richardson
10:37.0,,,23-32,,G. Green misses 3-pt shot from 23 ft
10:36.0,Defensive rebound by A. Goodwin,,23-32,,
10:31.0,Shooting foul by G. Dragic (drawn by A. Goodwin),,23-32,,
10:31.0,A. Goodwin misses free throw 1 of 2,,23-32,,
10:31.0,Offensive rebound by Team,,23-32,,
10:31.0,A. Goodwin makes free throw 2 of 2,1,24-32,,
10:19.0,,,24-34,2,G. Green makes 2-pt shot at rim (assist by H. Whiteside)
9:58.0,Turnover by M. Teletovic (lost ball; steal by G. Dragic),,24-34,,
9:53.0,,,24-36,2,G. Dragic makes 2-pt shot from 1 ft
9:44.0,J. Jenkins misses 2-pt shot from 8 ft (block by H. Whiteside),,24-36,,
9:43.0,,,24-36,,Defensive rebound by H. Whiteside
9:33.0,,,24-39,3,G. Dragic makes 3-pt shot from 24 ft (assist by J. Richardson)
9:27.0,Phoenix full timeout,,24-39,,
9:27.0,R. Price enters the game for J. Leuer,,24-39,,
9:27.0,A. Len enters the game for S. Weems,,24-39,,
9:27.0,,,24-39,,L. Deng enters the game for J. Richardson
9:18.0,Turnover by A. Len (3 sec),,24-39,,
9:05.0,,,24-39,,Turnover by G. Green (traveling)
8:50.0,A. Len misses 2-pt shot from 5 ft,,24-39,,
8:49.0,,,24-39,,Defensive rebound by G. Dragic
8:41.0,,,24-39,,H. Whiteside misses 2-pt shot from 6 ft
8:40.0,Defensive rebound by A. Len,,24-39,,
8:34.0,A. Goodwin makes 2-pt shot at rim,2,26-39,,
8:23.0,,,26-41,2,G. Green makes 2-pt shot from 6 ft
8:05.0,Turnover by A. Len (lost ball; steal by H. Whiteside),,26-41,,
7:59.0,,,26-43,2,G. Dragic makes 2-pt shot at rim
7:43.0,R. Price misses 3-pt shot from 23 ft,,26-43,,
7:42.0,,,26-43,,Defensive rebound by H. Whiteside
7:40.0,Personal foul by M. Teletovic (drawn by G. Green),,26-43,,
7:40.0,P. Tucker enters the game for M. Teletovic,,26-43,,
7:30.0,,,26-43,,G. Dragic misses 2-pt shot from 6 ft
7:28.0,Defensive rebound by Team,,26-43,,
7:28.0,,,26-43,,Loose ball foul by G. Dragic (drawn by A. Goodwin)
7:28.0,,,26-43,,J. Richardson enters the game for G. Green
7:28.0,,,26-43,,D. Wade enters the game for G. Dragic
7:15.0,A. Len misses 2-pt shot from 17 ft,,26-43,,
7:14.0,,,26-43,,Defensive rebound by L. Deng
7:13.0,Personal foul by A. Goodwin (drawn by L. Deng),,26-43,,
7:06.0,T. Chandler enters the game for A. Goodwin,,26-43,,
7:06.0,D. Booker enters the game for J. Jenkins,,26-43,,
6:52.0,,,26-45,2,D. Wade makes 2-pt shot from 13 ft
6:30.0,A. Len makes 2-pt shot at rim,2,28-45,,
6:30.0,Shooting foul by H. Whiteside (drawn by A. Len),,28-45,,
6:30.0,A. Len makes free throw 1 of 1,1,29-45,,
6:10.0,,,29-48,3,J. Richardson makes 3-pt shot from 25 ft (assist by D. Wade)
5:58.0,P. Tucker misses 3-pt shot from 23 ft,,29-48,,
5:57.0,,,29-48,,Defensive rebound by L. Deng
5:49.0,,,29-50,2,D. Wade makes 2-pt shot from 1 ft (assist by L. Deng)
5:43.0,Phoenix full timeout,,29-50,,
5:43.0,Official timeout,,29-50,,
5:36.0,A. Len makes 2-pt shot from 2 ft (assist by D. Booker),2,31-50,,
5:15.0,,,31-50,,D. Wade misses 2-pt shot from 5 ft
5:14.0,,,31-50,,Offensive rebound by Team
5:14.0,Loose ball foul by T. Chandler (drawn by H. Whiteside),,31-50,,
5:07.0,,,31-50,,J. Richardson misses 2-pt shot from 17 ft
5:06.0,Defensive rebound by P. Tucker,,31-50,,
4:53.0,R. Price makes 2-pt shot from 19 ft,2,33-50,,
4:25.0,,,33-50,,J. Richardson misses 3-pt shot from 24 ft
4:24.0,,,33-50,,Offensive rebound by Team
4:24.0,,,33-50,,Turnover by Team (shot clock)
4:24.0,,,33-50,,J. Johnson enters the game for J. Winslow
4:08.0,,,33-50,,Personal foul by J. Johnson (drawn by D. Booker)
4:08.0,D. Booker makes free throw 1 of 2,1,34-50,,
4:08.0,D. Booker makes free throw 2 of 2,1,35-50,,
3:54.0,,,35-50,,D. Wade misses 2-pt shot from 6 ft
3:53.0,,,35-50,,Offensive rebound by D. Wade
3:51.0,,,35-52,2,D. Wade makes 2-pt shot at rim
3:23.0,A. Len misses 2-pt shot from 2 ft (block by H. Whiteside),,35-52,,
3:22.0,Offensive rebound by A. Len,,35-52,,
3:22.0,Turnover by Team (shot clock),,35-52,,
3:03.0,,,35-52,,D. Wade misses 2-pt shot from 18 ft
3:02.0,Defensive rebound by R. Price,,35-52,,
3:00.0,Shooting foul by J. Richardson (drawn by D. Booker),,35-52,,
3:00.0,D. Booker makes free throw 1 of 2,1,36-52,,
3:00.0,D. Booker makes free throw 2 of 2,1,37-52,,
2:39.0,,,37-52,,L. Deng misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by T. Chandler,,37-52,,
2:30.0,T. Chandler misses 2-pt shot from 1 ft,,37-52,,
2:29.0,,,37-52,,Defensive rebound by D. Wade
2:23.0,,,37-52,,D. Wade misses 2-pt shot at rim
2:22.0,Defensive rebound by A. Len,,37-52,,
2:09.0,D. Booker misses 3-pt shot from 23 ft,,37-52,,
2:08.0,,,37-52,,Defensive rebound by H. Whiteside
2:03.0,Personal foul by R. Price (drawn by J. Richardson),,37-52,,
2:03.0,,,37-52,,Miami full timeout
2:03.0,,,37-52,,J. Richardson misses free throw 1 of 2
2:03.0,,,37-52,,Offensive rebound by Team
2:03.0,,,37-53,1,J. Richardson makes free throw 2 of 2
1:49.0,D. Booker makes 2-pt shot at rim,2,39-53,,
1:36.0,,,39-53,,Turnover by J. Richardson (bad pass; steal by P. Tucker)
1:33.0,,,39-53,,Violation by J. Richardson (def goaltending)
1:33.0,P. Tucker makes 2-pt shot at rim,2,41-53,,
1:10.0,,,41-53,,L. Deng misses 2-pt shot from 17 ft
1:09.0,Defensive rebound by A. Len,,41-53,,
1:05.0,Shooting foul by L. Deng (drawn by A. Len),,41-53,,
1:05.0,A. Len makes free throw 1 of 2,1,42-53,,
1:05.0,,,42-53,,A. Stoudemire enters the game for H. Whiteside
1:05.0,A. Len makes free throw 2 of 2,1,43-53,,
0:59.0,Personal foul by R. Price (drawn by A. Stoudemire),,43-53,,
0:59.0,,,43-54,1,A. Stoudemire makes free throw 1 of 2
0:59.0,A. Goodwin enters the game for R. Price,,43-54,,
0:59.0,,,43-55,1,A. Stoudemire makes free throw 2 of 2
0:37.0,A. Len misses 2-pt shot from 7 ft,,43-55,,
0:36.0,,,43-55,,Defensive rebound by Team
0:27.0,,,43-55,,D. Wade misses 2-pt shot from 11 ft
0:26.0,Defensive rebound by P. Tucker,,43-55,,
0:23.0,Turnover by P. Tucker (bad pass; steal by J. Richardson),,43-55,,
0:05.0,Personal block foul by P. Tucker (drawn by D. Wade),,43-55,,
0:05.0,,,43-56,1,D. Wade makes free throw 1 of 2
0:05.0,,,43-56,,J. Winslow enters the game for J. Richardson
0:05.0,P. Pressey enters the game for T. Chandler,,43-56,,
0:05.0,,,43-57,1,D. Wade makes free throw 2 of 2
0:00.0,A. Goodwin misses 2-pt shot from 2 ft,,43-57,,
0:00.0,Offensive rebound by Team,,43-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Personal foul by P. Tucker (drawn by J. Johnson),,43-57,,
11:36.0,,,43-57,,G. Dragic misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by A. Len,,43-57,,
11:20.0,Turnover by D. Booker (bad pass; steal by L. Deng),,43-57,,
11:08.0,,,43-60,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
10:48.0,,,43-60,,Personal foul by A. Stoudemire (drawn by A. Len)
10:41.0,R. Price misses 3-pt shot from 24 ft,,43-60,,
10:40.0,,,43-60,,Defensive rebound by A. Stoudemire
10:27.0,,,43-63,3,L. Deng makes 3-pt shot from 22 ft (assist by D. Wade)
10:12.0,,,43-63,,Personal foul by J. Johnson (drawn by T. Chandler)
10:10.0,,,43-63,,Personal foul by J. Johnson (drawn by T. Chandler)
10:00.0,D. Booker makes 2-pt shot from 16 ft,2,45-63,,
9:45.0,Personal foul by P. Tucker (drawn by A. Stoudemire),,45-63,,
9:43.0,,,45-63,,Turnover by D. Wade (bad pass; steal by P. Tucker)
9:39.0,P. Tucker makes 2-pt shot from 1 ft,2,47-63,,
9:22.0,,,47-63,,Shooting foul by D. Booker (drawn by D. Wade)
9:22.0,,,47-64,1,D. Wade makes free throw 1 of 2
9:22.0,,,47-65,1,D. Wade makes free throw 2 of 2
9:07.0,D. Booker misses 2-pt shot from 17 ft,,47-65,,
9:06.0,,,47-65,,Defensive rebound by A. Stoudemire
8:54.0,,,47-65,,L. Deng misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by A. Len,,47-65,,
8:42.0,P. Tucker makes 2-pt shot from 2 ft,2,49-65,,
8:24.0,,,49-67,2,D. Wade makes 2-pt shot from 19 ft (assist by G. Dragic)
8:14.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,51-67,,
8:14.0,Shooting foul by A. Stoudemire (drawn by T. Chandler),,51-67,,
8:14.0,T. Chandler makes free throw 1 of 1,1,52-67,,
7:55.0,,,52-67,,G. Dragic misses 2-pt shot from 16 ft
7:54.0,Defensive rebound by A. Len,,52-67,,
7:37.0,P. Tucker misses 2-pt shot from 1 ft (block by A. Stoudemire),,52-67,,
7:36.0,,,52-67,,Defensive rebound by Team
7:14.0,,,52-69,2,G. Dragic makes 2-pt shot from 2 ft
6:56.0,P. Tucker misses 3-pt shot from 24 ft,,52-69,,
6:55.0,,,52-69,,Defensive rebound by A. Stoudemire
6:43.0,,,52-71,2,D. Wade makes 2-pt shot from 8 ft
6:32.0,Offensive charge foul by A. Len,,52-71,,
6:32.0,Turnover by A. Len (offensive foul),,52-71,,
6:18.0,,,52-71,,Turnover by G. Dragic (bad pass; steal by R. Price)
6:06.0,D. Booker misses 2-pt shot from 11 ft,,52-71,,
6:05.0,Offensive rebound by T. Chandler,,52-71,,
6:04.0,T. Chandler misses 2-pt shot from 1 ft,,52-71,,
6:03.0,Offensive rebound by Team,,52-71,,
6:00.0,Shooting foul by A. Stoudemire (drawn by T. Chandler),,52-71,,
6:00.0,T. Chandler misses free throw 1 of 2,,52-71,,
6:00.0,Offensive rebound by Team,,52-71,,
6:00.0,,,52-71,,J. Richardson enters the game for G. Dragic
6:00.0,P. Pressey enters the game for R. Price,,52-71,,
6:00.0,T. Chandler makes free throw 2 of 2,1,53-71,,
5:38.0,,,53-71,,L. Deng misses 2-pt shot from 1 ft
5:37.0,Defensive rebound by P. Tucker,,53-71,,
5:31.0,P. Tucker makes 2-pt shot at rim,2,55-71,,
5:16.0,,,55-73,2,J. Richardson makes 2-pt shot from 1 ft (assist by L. Deng)
4:56.0,D. Booker misses 3-pt shot from 24 ft,,55-73,,
4:55.0,,,55-73,,Defensive rebound by J. Johnson
4:33.0,,,55-75,2,A. Stoudemire makes 2-pt shot from 4 ft (assist by L. Deng)
4:23.0,Phoenix full timeout,,55-75,,
4:23.0,J. Jenkins enters the game for T. Chandler,,55-75,,
4:23.0,M. Teletovic enters the game for D. Booker,,55-75,,
4:23.0,,,55-75,,H. Whiteside enters the game for A. Stoudemire
4:23.0,,,55-75,,J. Winslow enters the game for D. Wade
4:16.0,M. Teletovic misses 2-pt shot from 2 ft (block by H. Whiteside),,55-75,,
4:15.0,,,55-75,,Defensive rebound by H. Whiteside
4:01.0,,,55-75,,Turnover by H. Whiteside (bad pass; steal by P. Pressey)
3:58.0,Shooting foul by J. Richardson (drawn by J. Jenkins),,55-75,,
3:58.0,J. Jenkins misses free throw 1 of 2,,55-75,,
3:58.0,Offensive rebound by Team,,55-75,,
3:58.0,A. Goodwin enters the game for P. Pressey,,55-75,,
3:58.0,,,55-75,,G. Dragic enters the game for J. Richardson
3:58.0,J. Jenkins makes free throw 2 of 2,1,56-75,,
3:38.0,,,56-75,,L. Deng misses 2-pt shot from 19 ft
3:37.0,Defensive rebound by M. Teletovic,,56-75,,
3:28.0,M. Teletovic makes 3-pt shot from 27 ft (assist by A. Goodwin),3,59-75,,
3:05.0,,,59-78,3,J. Johnson makes 3-pt shot from 24 ft (assist by G. Dragic)
2:44.0,M. Teletovic misses 2-pt shot from 8 ft,,59-78,,
2:43.0,,,59-78,,Defensive rebound by J. Winslow
2:33.0,,,59-78,,H. Whiteside misses 2-pt shot from 8 ft
2:32.0,Defensive rebound by M. Teletovic,,59-78,,
2:29.0,,,59-78,,Personal foul by G. Dragic (drawn by M. Teletovic)
2:29.0,,,59-78,,Miami full timeout
2:29.0,J. Leuer enters the game for A. Len,,59-78,,
2:29.0,M. Teletovic makes free throw 1 of 2,1,60-78,,
2:29.0,M. Teletovic makes free throw 2 of 2,1,61-78,,
2:02.0,,,61-78,,J. Johnson misses 2-pt shot from 18 ft
2:01.0,Defensive rebound by J. Jenkins,,61-78,,
1:50.0,J. Jenkins misses 2-pt shot from 19 ft,,61-78,,
1:49.0,,,61-78,,Defensive rebound by G. Dragic
1:37.0,,,61-78,,Shooting foul by J. Leuer (drawn by L. Deng)
1:37.0,,,61-78,,L. Deng misses free throw 1 of 2
1:37.0,,,61-78,,Offensive rebound by Team
1:37.0,,,61-78,,L. Deng misses free throw 2 of 2
1:36.0,Defensive rebound by M. Teletovic,,61-78,,
1:24.0,J. Leuer misses 3-pt shot from 25 ft,,61-78,,
1:23.0,,,61-78,,Defensive rebound by J. Winslow
1:12.0,,,61-78,,J. Johnson misses 2-pt shot from 17 ft
1:11.0,,,61-78,,Offensive rebound by H. Whiteside
1:10.0,,,61-80,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
0:54.0,J. Leuer makes 2-pt shot from 4 ft,2,63-80,,
0:40.0,,,63-80,,Shooting foul by A. Goodwin (drawn by L. Deng)
0:40.0,,,63-81,1,L. Deng makes free throw 1 of 2
0:40.0,,,63-81,,G. Green enters the game for J. Johnson
0:40.0,D. Booker enters the game for P. Tucker,,63-81,,
0:40.0,,,63-82,1,L. Deng makes free throw 2 of 2
0:35.0,D. Booker makes 2-pt shot from 13 ft,2,65-82,,
0:35.0,Shooting foul by H. Whiteside (drawn by D. Booker),,65-82,,
0:35.0,D. Booker makes free throw 1 of 1,1,66-82,,
0:22.0,,,66-84,2,G. Dragic makes 2-pt shot from 2 ft
0:00.0,D. Booker makes 2-pt shot from 16 ft,2,68-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by D. Booker (bad pass),,68-84,,
11:38.0,,,68-84,,G. Green misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by J. Leuer,,68-84,,
11:23.0,Offensive foul by D. Booker,,68-84,,
11:23.0,Turnover by D. Booker (offensive foul),,68-84,,
11:07.0,,,68-84,,G. Dragic misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by J. Leuer,,68-84,,
10:58.0,A. Goodwin misses 3-pt shot from 23 ft,,68-84,,
10:57.0,Offensive rebound by J. Leuer,,68-84,,
10:57.0,,,68-84,,Personal foul by J. McRoberts (drawn by J. Leuer)
10:49.0,J. Leuer misses 3-pt shot from 25 ft,,68-84,,
10:48.0,,,68-84,,Defensive rebound by H. Whiteside
10:39.0,,,68-84,,J. McRoberts misses 2-pt shot from 3 ft (block by M. Teletovic)
10:38.0,,,68-84,,Offensive rebound by Team
10:34.0,,,68-84,,G. Green misses 2-pt shot at rim
10:33.0,,,68-84,,Offensive rebound by H. Whiteside
10:30.0,,,68-84,,G. Green misses 2-pt shot from 19 ft
10:29.0,,,68-84,,Offensive rebound by Team
10:29.0,A. Len enters the game for J. Leuer,,68-84,,
10:21.0,,,68-86,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. McRoberts)
10:09.0,D. Booker makes 2-pt shot from 1 ft,2,70-86,,
9:43.0,,,70-88,2,H. Whiteside makes 2-pt shot from 9 ft (assist by G. Green)
9:40.0,,,70-88,,Personal foul by J. Winslow (drawn by D. Booker)
9:33.0,J. Jenkins makes 2-pt shot from 17 ft,2,72-88,,
9:15.0,,,72-88,,G. Green misses 2-pt shot from 9 ft
9:14.0,Defensive rebound by A. Goodwin,,72-88,,
9:09.0,A. Goodwin makes 2-pt shot at rim,2,74-88,,
8:54.0,,,74-88,,H. Whiteside misses 2-pt shot from 18 ft
8:53.0,Defensive rebound by M. Teletovic,,74-88,,
8:46.0,A. Goodwin makes 2-pt shot from 2 ft,2,76-88,,
8:46.0,Shooting foul by H. Whiteside (drawn by A. Goodwin),,76-88,,
8:46.0,Official timeout,,76-88,,
8:46.0,,,76-88,,J. Richardson enters the game for G. Green
8:46.0,,,76-88,,D. Wade enters the game for J. McRoberts
8:46.0,A. Goodwin makes free throw 1 of 1,1,77-88,,
8:27.0,,,77-91,3,J. Winslow makes 3-pt shot from 22 ft (assist by D. Wade)
8:10.0,D. Booker makes 2-pt shot from 8 ft,2,79-91,,
7:42.0,,,79-91,,G. Dragic misses 2-pt shot from 17 ft
7:41.0,Defensive rebound by A. Len,,79-91,,
7:29.0,A. Goodwin makes 2-pt shot from 1 ft,2,81-91,,
7:06.0,,,81-93,2,J. Winslow makes 2-pt shot from 18 ft
6:52.0,M. Teletovic misses 3-pt shot from 25 ft,,81-93,,
6:51.0,,,81-93,,Defensive rebound by G. Dragic
6:45.0,,,81-93,,D. Wade misses 2-pt shot from 3 ft
6:44.0,,,81-93,,Offensive rebound by G. Dragic
6:42.0,,,81-95,2,G. Dragic makes 2-pt shot from 2 ft
6:41.0,Phoenix full timeout,,81-95,,
6:41.0,R. Price enters the game for A. Goodwin,,81-95,,
6:41.0,,,81-95,,A. Stoudemire enters the game for H. Whiteside
6:28.0,A. Len misses 2-pt shot from 1 ft,,81-95,,
6:27.0,,,81-95,,Defensive rebound by J. Richardson
6:15.0,,,81-95,,J. Winslow misses 2-pt shot from 7 ft
6:14.0,Defensive rebound by A. Len,,81-95,,
6:02.0,D. Booker misses 2-pt shot from 8 ft,,81-95,,
6:01.0,,,81-95,,Defensive rebound by J. Winslow
5:55.0,,,81-97,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
5:31.0,D. Booker makes 3-pt shot from 25 ft (assist by R. Price),3,84-97,,
5:15.0,,,84-97,,Shooting foul by R. Price (drawn by G. Dragic)
5:15.0,,,84-97,,G. Dragic misses free throw 1 of 2
5:15.0,,,84-97,,Offensive rebound by Team
5:15.0,P. Tucker enters the game for R. Price,,84-97,,
5:15.0,,,84-97,,J. Johnson enters the game for J. Richardson
5:15.0,,,84-97,,G. Dragic misses free throw 2 of 2
5:15.0,Defensive rebound by P. Tucker,,84-97,,
4:58.0,D. Booker makes 2-pt shot from 13 ft,2,86-97,,
