time,Phoenix,pts.away,score,pts.home,San Antonio
2:44.0,,,30-36,,M. Ginobili enters the game for D. Green
2:33.0,,,30-36,,K. Leonard misses 2-pt shot from 4 ft (block by J. Leuer)
2:33.0,,,30-36,,Offensive rebound by Team
2:33.0,Violation by B. Knight (kicked ball),,30-36,,
2:28.0,,,30-38,2,M. Ginobili makes 2-pt shot from 1 ft (assist by T. Duncan)
2:12.0,J. Leuer misses 2-pt shot from 3 ft,,30-38,,
2:11.0,Offensive rebound by M. Morris,,30-38,,
2:11.0,M. Morris makes 2-pt shot at rim,2,32-38,,
1:58.0,,,32-38,,Turnover by M. Ginobili (lost ball; steal by P. Tucker)
1:54.0,Turnover by P. Tucker (bad pass; steal by P. Mills),,32-38,,
1:39.0,,,32-41,3,P. Mills makes 3-pt shot from 24 ft
1:10.0,J. Leuer makes 2-pt shot at rim (assist by M. Morris),2,34-41,,
0:50.0,,,34-41,,Shooting foul by J. Leuer (drawn by T. Duncan)
0:50.0,,,34-42,1,T. Duncan makes free throw 1 of 2
0:50.0,,,34-43,1,T. Duncan makes free throw 2 of 2
0:29.0,,,34-43,,Personal foul by J. Simmons (drawn by P. Tucker)
0:24.0,M. Morris misses 2-pt shot from 19 ft,,34-43,,
0:21.0,Offensive rebound by P. Tucker,,34-43,,
0:18.0,P. Tucker misses 2-pt shot from 3 ft,,34-43,,
0:17.0,,,34-43,,Defensive rebound by T. Duncan
0:17.0,Personal foul by J. Leuer (drawn by T. Duncan),,34-43,,
0:17.0,,,34-44,1,T. Duncan makes free throw 1 of 2
0:17.0,D. Booker enters the game for M. Morris,,34-44,,
0:17.0,M. Teletovic enters the game for P. Tucker,,34-44,,
0:17.0,T. Warren enters the game for A. Goodwin,,34-44,,
0:17.0,,,34-44,,D. Green enters the game for P. Mills
0:17.0,,,34-44,,T. Duncan misses free throw 2 of 2
0:16.0,Defensive rebound by J. Leuer,,34-44,,
0:03.0,B. Knight misses 3-pt shot from 26 ft,,34-44,,
0:02.0,,,34-44,,Defensive rebound by D. Green
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,34-44,,T. Duncan misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by T. Chandler,,34-44,,
11:20.0,M. Morris makes 2-pt shot from 15 ft,2,36-44,,
10:58.0,,,36-44,,D. Green misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by M. Morris,,36-44,,
10:54.0,Offensive charge foul by D. Booker,,36-44,,
10:54.0,Turnover by D. Booker (offensive foul),,36-44,,
10:37.0,,,36-44,,T. Duncan misses 2-pt shot from 4 ft
10:36.0,Defensive rebound by M. Morris,,36-44,,
10:22.0,M. Morris makes 2-pt shot from 18 ft,2,38-44,,
10:13.0,,,38-44,,T. Parker misses 2-pt shot from 11 ft
10:12.0,,,38-44,,Offensive rebound by T. Duncan
9:57.0,,,38-47,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
9:41.0,B. Knight misses 2-pt shot from 18 ft,,38-47,,
9:40.0,,,38-47,,Defensive rebound by D. West
9:32.0,,,38-47,,Turnover by D. Green (lost ball; steal by D. Booker)
9:32.0,,,38-47,,Personal foul by D. Green (drawn by D. Booker)
9:32.0,T. Warren enters the game for D. Booker,,38-47,,
9:15.0,Offensive foul by M. Morris,,38-47,,
9:15.0,Turnover by M. Morris (offensive foul),,38-47,,
8:54.0,,,38-47,,Turnover by T. Duncan (3 sec)
8:37.0,M. Morris makes 3-pt shot from 24 ft (assist by B. Knight),3,41-47,,
8:24.0,,,41-49,2,K. Leonard makes 2-pt shot from 2 ft
8:13.0,Turnover by B. Knight (lost ball; steal by D. West),,41-49,,
7:59.0,,,41-49,,Turnover by D. West (lost ball; steal by T. Chandler)
7:46.0,Turnover by M. Morris (bad pass; steal by D. West),,41-49,,
7:38.0,,,41-51,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
7:23.0,Turnover by M. Morris (lost ball; steal by D. West),,41-51,,
7:17.0,,,41-53,2,K. Leonard makes 2-pt shot from 1 ft (assist by D. Green)
7:16.0,Phoenix full timeout,,41-53,,
7:16.0,Technical foul by Team,,41-53,,
7:16.0,,,41-54,1,K. Leonard makes technical free throw
7:04.0,,,41-54,,Personal take foul by D. Green (drawn by T. Warren)
6:51.0,M. Morris misses 2-pt shot from 8 ft,,41-54,,
6:50.0,,,41-54,,Defensive rebound by K. Leonard
6:42.0,,,41-54,,D. West misses 2-pt shot from 16 ft
6:41.0,Defensive rebound by M. Morris,,41-54,,
6:25.0,T. Warren misses 3-pt shot from 24 ft,,41-54,,
6:24.0,,,41-54,,Defensive rebound by K. Leonard
6:15.0,,,41-54,,K. Leonard misses 2-pt shot from 19 ft
6:14.0,Defensive rebound by M. Morris,,41-54,,
6:05.0,B. Knight misses 2-pt shot from 15 ft,,41-54,,
6:04.0,,,41-54,,Defensive rebound by T. Duncan
5:53.0,,,41-56,2,T. Parker makes 2-pt shot from 16 ft
5:27.0,T. Warren misses 2-pt shot from 10 ft,,41-56,,
5:26.0,,,41-56,,Defensive rebound by K. Leonard
5:17.0,,,41-59,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
4:58.0,M. Morris makes 2-pt shot from 1 ft (assist by B. Knight),2,43-59,,
4:40.0,,,43-59,,K. Leonard misses 2-pt shot from 7 ft
4:39.0,,,43-59,,Offensive rebound by K. Leonard
4:28.0,,,43-61,2,T. Parker makes 2-pt shot from 17 ft
4:18.0,T. Warren makes 2-pt shot from 3 ft (assist by B. Knight),2,45-61,,
4:03.0,,,45-63,2,T. Parker makes 2-pt shot from 7 ft
3:52.0,,,45-63,,Personal foul by T. Parker (drawn by M. Morris)
3:52.0,,,45-63,,M. Ginobili enters the game for D. Green
3:52.0,,,45-63,,B. Diaw enters the game for D. West
3:52.0,,,45-63,,P. Mills enters the game for T. Parker
3:52.0,R. Price enters the game for P. Tucker,,45-63,,
3:52.0,M. Teletovic enters the game for T. Chandler,,45-63,,
3:44.0,R. Price misses 3-pt shot from 23 ft,,45-63,,
3:43.0,,,45-63,,Defensive rebound by M. Ginobili
3:37.0,,,45-63,,Turnover by B. Diaw (lost ball; steal by M. Teletovic)
3:32.0,M. Morris makes 3-pt shot from 25 ft (assist by M. Teletovic),3,48-63,,
3:32.0,,,48-63,,San Antonio full timeout
3:32.0,,,48-63,,D. Green enters the game for T. Duncan
3:23.0,,,48-63,,Turnover by P. Mills (bad pass; steal by R. Price)
3:21.0,Shooting foul by P. Mills (drawn by T. Warren),,48-63,,
3:21.0,T. Warren makes 2-pt shot from 1 ft,2,50-63,,
3:21.0,T. Warren makes free throw 1 of 1,1,51-63,,
3:04.0,,,51-65,2,K. Leonard makes 2-pt shot from 1 ft
2:48.0,M. Teletovic makes 3-pt shot from 26 ft (assist by R. Price),3,54-65,,
2:28.0,,,54-65,,K. Leonard misses 2-pt shot from 18 ft
2:27.0,Defensive rebound by M. Morris,,54-65,,
2:19.0,T. Warren makes 2-pt shot from 8 ft (assist by R. Price),2,56-65,,
2:05.0,,,56-65,,D. Green misses 3-pt shot from 24 ft
2:04.0,,,56-65,,Offensive rebound by K. Leonard
1:54.0,,,56-65,,Offensive foul by B. Diaw
1:54.0,,,56-65,,Turnover by B. Diaw (offensive foul)
1:54.0,,,56-65,,K. Anderson enters the game for B. Diaw
1:39.0,T. Warren makes 2-pt shot from 1 ft (assist by M. Morris),2,58-65,,
1:26.0,,,58-65,,M. Ginobili misses 2-pt shot from 1 ft
1:25.0,Defensive rebound by M. Teletovic,,58-65,,
1:13.0,M. Morris makes 2-pt shot from 2 ft,2,60-65,,
0:54.0,Personal foul by T. Warren (drawn by M. Ginobili),,60-65,,
0:49.0,,,60-65,,M. Ginobili misses 2-pt shot from 6 ft (block by T. Warren)
0:49.0,,,60-65,,Offensive rebound by Team
0:47.0,,,60-65,,K. Anderson misses 2-pt shot from 9 ft
0:46.0,Defensive rebound by M. Teletovic,,60-65,,
0:36.0,Turnover by B. Knight (lost ball; steal by K. Anderson),,60-65,,
0:31.0,,,60-67,2,K. Anderson makes 2-pt shot at rim
0:10.0,R. Price misses 3-pt shot from 25 ft,,60-67,,
0:07.0,Offensive rebound by T. Warren,,60-67,,
0:05.0,T. Warren misses 2-pt shot from 4 ft,,60-67,,
0:03.0,Offensive rebound by M. Teletovic,,60-67,,
0:03.0,M. Teletovic misses 2-pt shot from 2 ft,,60-67,,
0:01.0,Offensive rebound by M. Teletovic,,60-67,,
0:01.0,M. Teletovic misses 2-pt shot from 1 ft,,60-67,,
0:00.0,Offensive rebound by T. Warren,,60-67,,
0:00.0,T. Warren misses 2-pt shot from 2 ft,,60-67,,
0:00.0,Offensive rebound by Team,,60-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,T. Warren misses 2-pt shot from 12 ft,,60-67,,
11:44.0,Offensive rebound by T. Warren,,60-67,,
11:39.0,R. Price misses 2-pt shot from 3 ft,,60-67,,
11:38.0,,,60-67,,Defensive rebound by T. Duncan
11:31.0,,,60-67,,Turnover by T. Parker (lost ball; steal by J. Leuer)
11:22.0,B. Knight misses 3-pt shot from 24 ft,,60-67,,
11:22.0,,,60-67,,Defensive rebound by M. Ginobili
11:21.0,Personal foul by T. Warren (drawn by M. Ginobili),,60-67,,
11:05.0,,,60-67,,T. Duncan misses 2-pt shot from 2 ft
11:04.0,,,60-67,,Offensive rebound by T. Duncan
11:04.0,,,60-69,2,T. Duncan makes 2-pt shot from 2 ft
10:46.0,Turnover by B. Knight (bad pass; steal by M. Ginobili),,60-69,,
10:37.0,,,60-71,2,T. Parker makes 2-pt shot from 8 ft
10:36.0,Phoenix full timeout,,60-71,,
