time,Oklahoma City,pts.away,score,pts.home,San Antonio
8:14.0,Turnover by R. Westbrook (bad pass),,6-12,,
7:56.0,,,6-15,3,D. Green makes 3-pt shot from 22 ft (assist by L. Aldridge)
7:36.0,K. Durant misses 2-pt shot from 6 ft,,6-15,,
7:35.0,,,6-15,,Defensive rebound by T. Duncan
7:32.0,,,6-17,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
7:32.0,Oklahoma City full timeout,,6-17,,
7:24.0,A. Roberson misses 3-pt shot from 23 ft,,6-17,,
7:22.0,Offensive rebound by S. Adams,,6-17,,
7:16.0,Turnover by K. Durant (lost ball; steal by D. Green),,6-17,,
7:10.0,,,6-19,2,K. Leonard makes 2-pt shot from 1 ft
6:55.0,,,6-19,,Personal foul by K. Leonard
6:48.0,R. Westbrook misses 2-pt shot from 2 ft,,6-19,,
6:47.0,Offensive rebound by S. Adams,,6-19,,
6:47.0,S. Adams makes 2-pt shot at rim,2,8-19,,
6:28.0,,,8-21,2,T. Parker makes 2-pt shot from 19 ft (assist by T. Duncan)
6:15.0,S. Ibaka misses 2-pt shot from 20 ft,,8-21,,
6:15.0,Offensive rebound by Team,,8-21,,
6:15.0,,,8-21,,Loose ball foul by T. Duncan
6:15.0,Turnover by A. Roberson (bad pass),,8-21,,
6:00.0,,,8-21,,T. Parker misses 2-pt shot from 14 ft
5:58.0,Defensive rebound by K. Durant,,8-21,,
5:44.0,R. Westbrook misses 2-pt shot from 3 ft (block by L. Aldridge),,8-21,,
5:43.0,Offensive rebound by S. Adams,,8-21,,
5:42.0,S. Adams misses 2-pt shot from 2 ft (block by L. Aldridge),,8-21,,
5:42.0,Offensive rebound by Team,,8-21,,
5:34.0,K. Durant misses 3-pt shot from 26 ft,,8-21,,
5:33.0,,,8-21,,Defensive rebound by K. Leonard
5:20.0,,,8-21,,L. Aldridge misses 2-pt shot from 8 ft
5:19.0,Defensive rebound by K. Durant,,8-21,,
5:11.0,S. Ibaka makes 2-pt shot from 15 ft (assist by K. Durant),2,10-21,,
5:10.0,,,10-21,,San Antonio full timeout
4:56.0,,,10-23,2,K. Leonard makes 2-pt shot from 22 ft (assist by T. Parker)
4:45.0,K. Durant misses 2-pt shot from 2 ft (block by D. Green),,10-23,,
4:43.0,,,10-23,,Defensive rebound by L. Aldridge
4:35.0,,,10-26,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
4:18.0,S. Adams misses 2-pt shot from 5 ft,,10-26,,
4:17.0,,,10-26,,Defensive rebound by D. Green
4:17.0,Personal foul by R. Westbrook,,10-26,,
4:17.0,K. Singler enters the game for K. Durant,,10-26,,
4:17.0,D. Waiters enters the game for A. Roberson,,10-26,,
4:15.0,,,10-26,,M. Ginobili enters the game for D. Green
4:03.0,,,10-28,2,L. Aldridge makes 2-pt shot from 17 ft (assist by M. Ginobili)
3:50.0,R. Westbrook misses 3-pt shot from 25 ft,,10-28,,
3:48.0,,,10-28,,Defensive rebound by L. Aldridge
3:42.0,,,10-30,2,K. Leonard makes 2-pt shot at rim (assist by M. Ginobili)
3:27.0,,,10-30,,Personal foul by K. Leonard
3:27.0,E. Kanter enters the game for S. Adams,,10-30,,
3:27.0,,,10-30,,K. Anderson enters the game for K. Leonard
3:27.0,,,10-30,,D. West enters the game for T. Duncan
3:22.0,Shooting foul by M. Ginobili (drawn by R. Westbrook),,10-30,,
3:22.0,R. Westbrook makes free throw 1 of 2,1,11-30,,
3:22.0,R. Westbrook makes free throw 2 of 2,1,12-30,,
3:05.0,,,12-32,2,L. Aldridge makes 2-pt shot from 17 ft (assist by K. Anderson)
2:53.0,D. Waiters misses 3-pt shot from 24 ft,,12-32,,
2:51.0,Offensive rebound by S. Ibaka,,12-32,,
2:50.0,C. Payne enters the game for R. Westbrook,,12-32,,
2:50.0,,,12-32,,P. Mills enters the game for T. Parker
2:50.0,K. Durant enters the game for K. Singler,,12-32,,
2:50.0,,,12-32,,D. Green enters the game for K. Anderson
2:33.0,S. Ibaka makes 2-pt shot from 9 ft (assist by K. Durant),2,14-32,,
2:22.0,,,14-34,2,L. Aldridge makes 2-pt shot from 2 ft (assist by M. Ginobili)
2:22.0,,,14-34,,Shooting foul by D. Waiters (drawn by L. Aldridge)
2:22.0,N. Collison enters the game for S. Ibaka,,14-34,,
2:22.0,,,14-35,1,L. Aldridge makes free throw 1 of 1
2:00.0,K. Durant misses 3-pt shot from 24 ft (block by D. Green),,14-35,,
1:58.0,Offensive rebound by K. Durant,,14-35,,
1:55.0,K. Durant makes 2-pt shot from 12 ft,2,16-35,,
1:35.0,,,16-35,,Shooting foul by K. Durant (drawn by M. Ginobili)
1:35.0,,,16-35,,Technical foul by D. West
1:35.0,K. Durant makes technical free throw,1,17-35,,
1:35.0,,,17-36,1,M. Ginobili makes free throw 1 of 3
1:35.0,,,17-37,1,M. Ginobili makes free throw 2 of 3
1:35.0,,,17-38,1,M. Ginobili makes free throw 3 of 3
1:19.0,C. Payne makes 3-pt shot from 23 ft (assist by D. Waiters),3,20-38,,
1:05.0,,,20-40,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
0:50.0,K. Durant misses 2-pt shot from 1 ft,,20-40,,
0:49.0,Offensive rebound by N. Collison,,20-40,,
0:45.0,E. Kanter misses 3-pt shot from 23 ft,,20-40,,
0:44.0,,,20-40,,Defensive rebound by L. Aldridge
0:40.0,,,20-43,3,M. Ginobili makes 3-pt shot from 24 ft
0:23.0,E. Kanter misses 2-pt shot from 2 ft (block by D. West),,20-43,,
0:22.0,,,20-43,,Defensive rebound by P. Mills
0:00.0,,,20-43,,P. Mills misses 3-pt shot from 23 ft
0:00.0,,,20-43,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by D. Waiters (offensive foul),,20-43,,
11:44.0,Offensive charge foul by D. Waiters,,20-43,,
11:31.0,,,20-43,,Turnover by P. Mills (lost ball; steal by D. Waiters)
11:25.0,K. Durant makes 2-pt shot from 3 ft (assist by C. Payne),2,22-43,,
11:08.0,,,22-43,,Shooting foul by C. Payne (drawn by P. Mills)
11:08.0,,,22-44,1,P. Mills makes free throw 1 of 3
11:08.0,,,22-44,,P. Mills misses free throw 2 of 3
11:08.0,,,22-44,,Offensive rebound by Team
11:08.0,,,22-44,,P. Mills misses free throw 3 of 3
11:07.0,Defensive rebound by E. Kanter,,22-44,,
10:50.0,Turnover by C. Payne (lost ball; steal by P. Mills),,22-44,,
10:32.0,,,22-44,,D. West misses 2-pt shot from 15 ft
10:31.0,Defensive rebound by K. Durant,,22-44,,
10:19.0,D. Waiters misses 3-pt shot from 25 ft,,22-44,,
10:18.0,,,22-44,,Defensive rebound by D. West
10:09.0,,,22-47,3,D. Green makes 3-pt shot from 25 ft (assist by B. Diaw)
10:09.0,,,22-47,,Shooting foul by K. Durant (drawn by D. Green)
10:09.0,R. Westbrook enters the game for C. Payne,,22-47,,
10:09.0,,,22-47,,K. Leonard enters the game for M. Ginobili
10:09.0,,,22-48,1,D. Green makes free throw 1 of 1
9:57.0,R. Westbrook makes 2-pt shot from 20 ft,2,24-48,,
9:41.0,,,24-50,2,D. West makes 2-pt shot from 19 ft (assist by K. Leonard)
9:21.0,R. Westbrook misses 2-pt shot from 1 ft,,24-50,,
9:20.0,,,24-50,,Defensive rebound by K. Leonard
9:14.0,,,24-53,3,D. Green makes 3-pt shot from 24 ft (assist by K. Leonard)
9:14.0,Oklahoma City full timeout,,24-53,,
9:14.0,,,24-53,,K. Anderson enters the game for D. Green
9:14.0,R. Foye enters the game for D. Waiters,,24-53,,
9:14.0,S. Ibaka enters the game for N. Collison,,24-53,,
9:05.0,E. Kanter makes 2-pt shot from 4 ft (assist by R. Westbrook),2,26-53,,
8:48.0,,,26-53,,P. Mills misses 3-pt shot from 24 ft
8:47.0,Defensive rebound by R. Foye,,26-53,,
8:34.0,K. Durant misses 2-pt shot from 17 ft,,26-53,,
8:33.0,,,26-53,,Defensive rebound by B. Diaw
8:28.0,,,26-53,,Turnover by K. Leonard (lost ball; steal by R. Westbrook)
8:15.0,S. Ibaka makes 2-pt shot from 22 ft (assist by R. Foye),2,28-53,,
7:56.0,,,28-53,,P. Mills misses 2-pt shot from 19 ft
7:55.0,Defensive rebound by K. Durant,,28-53,,
7:42.0,S. Ibaka misses 2-pt shot from 21 ft,,28-53,,
7:39.0,,,28-53,,Defensive rebound by K. Anderson
7:24.0,,,28-56,3,K. Leonard makes 3-pt shot from 25 ft (assist by B. Diaw)
7:10.0,Turnover by E. Kanter (lost ball),,28-56,,
7:10.0,,,28-56,,T. Parker enters the game for P. Mills
7:10.0,,,28-56,,L. Aldridge enters the game for D. West
6:58.0,,,28-58,2,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker)
6:41.0,R. Westbrook misses 2-pt shot from 17 ft,,28-58,,
6:39.0,,,28-58,,Defensive rebound by K. Leonard
6:28.0,,,28-58,,K. Leonard misses 2-pt shot from 17 ft
6:27.0,,,28-58,,Offensive rebound by K. Anderson
6:24.0,,,28-58,,K. Anderson misses 2-pt shot from 9 ft
6:22.0,Defensive rebound by R. Westbrook,,28-58,,
6:17.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,30-58,,
6:17.0,,,30-58,,San Antonio full timeout
6:17.0,S. Adams enters the game for E. Kanter,,30-58,,
5:56.0,,,30-58,,L. Aldridge misses 2-pt shot from 17 ft
5:55.0,,,30-58,,Offensive rebound by Team
5:55.0,K. Singler enters the game for R. Foye,,30-58,,
5:52.0,,,30-60,2,K. Leonard makes 2-pt shot from 18 ft (assist by T. Parker)
5:38.0,R. Westbrook misses 2-pt shot from 2 ft,,30-60,,
5:37.0,,,30-60,,Defensive rebound by B. Diaw
5:26.0,,,30-62,2,L. Aldridge makes 2-pt shot from 16 ft (assist by B. Diaw)
5:12.0,K. Durant makes 2-pt shot from 14 ft,2,32-62,,
4:53.0,,,32-62,,L. Aldridge misses 2-pt shot from 5 ft
4:52.0,Defensive rebound by K. Singler,,32-62,,
4:39.0,K. Durant misses 2-pt shot from 16 ft,,32-62,,
4:38.0,,,32-62,,Defensive rebound by B. Diaw
4:21.0,,,32-62,,Turnover by L. Aldridge (lost ball; steal by S. Ibaka)
4:16.0,R. Westbrook makes 2-pt shot at rim (assist by K. Durant),2,34-62,,
3:54.0,,,34-62,,Shooting foul by K. Singler (drawn by K. Leonard)
3:54.0,,,34-63,1,K. Leonard makes free throw 1 of 3
3:54.0,,,34-64,1,K. Leonard makes free throw 2 of 3
3:54.0,,,34-65,1,K. Leonard makes free throw 3 of 3
3:40.0,K. Durant misses 2-pt shot from 2 ft,,34-65,,
3:39.0,,,34-65,,Defensive rebound by T. Parker
3:20.0,,,34-65,,Turnover by L. Aldridge (lost ball; steal by R. Westbrook)
3:16.0,R. Westbrook makes 2-pt shot at rim,2,36-65,,
2:54.0,,,36-65,,K. Leonard misses 2-pt shot from 22 ft
2:53.0,Defensive rebound by S. Ibaka,,36-65,,
2:36.0,S. Adams makes 2-pt shot from 6 ft (assist by K. Durant),2,38-65,,
2:28.0,,,38-65,,San Antonio full timeout
2:28.0,Official timeout,,38-65,,
2:28.0,,,38-65,,T. Duncan enters the game for B. Diaw
2:28.0,,,38-65,,D. Green enters the game for K. Leonard
2:28.0,D. Waiters enters the game for K. Singler,,38-65,,
2:15.0,,,38-67,2,L. Aldridge makes 2-pt shot from 12 ft
1:59.0,S. Ibaka misses 3-pt shot from 24 ft,,38-67,,
1:58.0,,,38-67,,Defensive rebound by K. Anderson
1:44.0,,,38-69,2,L. Aldridge makes 2-pt shot from 6 ft
1:26.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,40-69,,
1:10.0,,,40-71,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
1:00.0,Turnover by R. Westbrook (lost ball; steal by K. Anderson),,40-71,,
0:45.0,,,40-73,2,T. Duncan makes 2-pt shot from 5 ft (assist by K. Anderson)
0:38.0,R. Westbrook misses 3-pt shot from 28 ft,,40-73,,
0:37.0,,,40-73,,Defensive rebound by K. Anderson
0:26.0,,,40-73,,T. Parker misses 2-pt shot from 15 ft
0:25.0,Defensive rebound by K. Durant,,40-73,,
0:01.0,S. Ibaka misses 2-pt shot from 11 ft,,40-73,,
0:01.0,Offensive rebound by R. Westbrook,,40-73,,
0:01.0,R. Westbrook misses 2-pt shot from 10 ft (block by K. Anderson),,40-73,,
0:01.0,,,40-73,,Defensive rebound by D. Green
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,43-73,,
11:21.0,,,43-75,2,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Leonard)
11:01.0,K. Durant makes 2-pt shot from 3 ft (assist by R. Westbrook),2,45-75,,
10:37.0,,,45-75,,T. Duncan misses 2-pt shot from 1 ft
10:36.0,,,45-75,,Offensive rebound by L. Aldridge
10:33.0,,,45-75,,L. Aldridge misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by A. Roberson,,45-75,,
10:22.0,R. Westbrook misses 3-pt shot from 23 ft,,45-75,,
10:22.0,,,45-75,,Defensive rebound by K. Leonard
10:12.0,,,45-77,2,K. Leonard makes 2-pt shot from 1 ft
9:54.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Durant),3,48-77,,
9:32.0,,,48-79,2,L. Aldridge makes 2-pt shot from 18 ft (assist by K. Leonard)
9:11.0,R. Westbrook misses 2-pt shot from 1 ft,,48-79,,
9:10.0,,,48-79,,Defensive rebound by L. Aldridge
8:57.0,,,48-79,,D. Green misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by S. Adams,,48-79,,
8:37.0,Turnover by S. Adams (3 sec),,48-79,,
8:24.0,,,48-79,,K. Leonard misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by S. Adams,,48-79,,
8:13.0,,,48-79,,Personal block foul by K. Leonard
8:08.0,Shooting foul by D. Green (drawn by K. Durant),,48-79,,
8:08.0,K. Durant makes free throw 1 of 3,1,49-79,,
8:08.0,K. Durant makes free throw 2 of 3,1,50-79,,
8:08.0,K. Durant makes free throw 3 of 3,1,51-79,,
7:43.0,,,51-82,3,L. Aldridge makes 3-pt shot from 24 ft (assist by K. Leonard)
7:32.0,R. Westbrook makes 2-pt shot from 2 ft,2,53-82,,
7:26.0,Technical foul by R. Westbrook,,53-82,,
7:26.0,,,53-83,1,K. Leonard makes technical free throw
7:19.0,,,53-83,,T. Duncan misses 2-pt shot from 2 ft (block by S. Adams)
7:18.0,Defensive rebound by S. Adams,,53-83,,
7:17.0,,,53-83,,Personal foul by T. Parker
7:11.0,R. Westbrook misses 2-pt shot from 1 ft (block by T. Duncan),,53-83,,
7:09.0,,,53-83,,Defensive rebound by T. Duncan
6:52.0,Personal foul by K. Durant,,53-83,,
6:40.0,,,53-85,2,K. Leonard makes 2-pt shot from 16 ft
6:40.0,Oklahoma City full timeout,,53-85,,
6:40.0,,,53-85,,M. Ginobili enters the game for K. Leonard
6:30.0,R. Westbrook misses 2-pt shot at rim,,53-85,,
6:29.0,,,53-85,,Defensive rebound by M. Ginobili
6:20.0,,,53-87,2,T. Duncan makes 2-pt shot from 1 ft (assist by T. Parker)
6:20.0,,,53-87,,Shooting foul by S. Adams (drawn by T. Duncan)
6:20.0,,,53-87,,T. Duncan misses free throw 1 of 1
6:18.0,Defensive rebound by K. Durant,,53-87,,
6:07.0,Shooting foul by L. Aldridge (drawn by R. Westbrook),,53-87,,
6:07.0,R. Westbrook makes free throw 1 of 2,1,54-87,,
6:07.0,R. Westbrook makes free throw 2 of 2,1,55-87,,
5:48.0,,,55-89,2,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili)
5:39.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,57-89,,
5:11.0,,,57-91,2,T. Duncan makes 2-pt shot from 1 ft (assist by D. Green)
5:00.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,60-91,,
4:43.0,,,60-93,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
4:27.0,A. Roberson misses 3-pt shot from 25 ft,,60-93,,
4:27.0,,,60-93,,Defensive rebound by D. Green
4:22.0,Personal foul by S. Ibaka,,60-93,,
4:11.0,,,60-93,,M. Ginobili misses 2-pt shot from 16 ft
4:10.0,Defensive rebound by S. Adams,,60-93,,
4:04.0,Shooting foul by D. Green (drawn by S. Adams),,60-93,,
4:04.0,S. Adams misses free throw 1 of 2,,60-93,,
4:04.0,Offensive rebound by Team,,60-93,,
4:04.0,S. Adams makes free throw 2 of 2,1,61-93,,
3:47.0,,,61-93,,T. Duncan misses 2-pt shot from 9 ft
3:44.0,Defensive rebound by S. Adams,,61-93,,
3:35.0,S. Ibaka misses 3-pt shot from 23 ft,,61-93,,
3:33.0,,,61-93,,Defensive rebound by T. Parker
3:25.0,,,61-95,2,D. Green makes 2-pt shot from 1 ft (assist by T. Parker)
3:02.0,R. Westbrook makes 2-pt shot from 18 ft,2,63-95,,
2:42.0,,,63-97,2,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker)
2:21.0,S. Ibaka misses 2-pt shot from 18 ft,,63-97,,
2:21.0,,,63-97,,Defensive rebound by L. Aldridge
2:15.0,,,63-100,3,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili)
1:48.0,S. Ibaka makes 2-pt shot from 10 ft (assist by K. Durant),2,65-100,,
1:38.0,,,65-100,,San Antonio full timeout
1:38.0,,,65-100,,P. Mills enters the game for L. Aldridge
1:38.0,,,65-100,,B. Diaw enters the game for T. Duncan
1:38.0,,,65-100,,D. West enters the game for T. Parker
1:38.0,,,65-100,,K. Anderson enters the game for M. Ginobili
1:38.0,N. Collison enters the game for K. Durant,,65-100,,
1:38.0,E. Kanter enters the game for S. Ibaka,,65-100,,
1:38.0,C. Payne enters the game for S. Adams,,65-100,,
1:38.0,D. Waiters enters the game for R. Westbrook,,65-100,,
1:33.0,,,65-100,,Shooting foul by N. Collison (drawn by D. West)
1:33.0,,,65-100,,D. West misses free throw 1 of 2
1:33.0,,,65-100,,Offensive rebound by Team
1:33.0,,,65-100,,K. Martin enters the game for D. Green
1:33.0,,,65-101,1,D. West makes free throw 2 of 2
1:18.0,,,65-101,,Shooting block foul by B. Diaw (drawn by D. Waiters)
1:18.0,D. Waiters misses free throw 1 of 2,,65-101,,
1:18.0,Offensive rebound by Team,,65-101,,
1:18.0,D. Waiters makes free throw 2 of 2,1,66-101,,
0:59.0,,,66-103,2,D. West makes 2-pt shot from 9 ft (assist by K. Martin)
0:44.0,C. Payne misses 2-pt shot from 14 ft,,66-103,,
0:41.0,,,66-103,,Defensive rebound by K. Anderson
0:32.0,,,66-105,2,B. Diaw makes 2-pt shot from 16 ft (assist by P. Mills)
0:19.0,Turnover by C. Payne (lost ball; steal by K. Martin),,66-105,,
0:02.0,,,66-105,,Turnover by K. Martin (lost ball; steal by D. Waiters)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,66-107,2,P. Mills makes 2-pt shot from 1 ft (assist by B. Diaw)
11:23.0,C. Payne misses 2-pt shot from 8 ft,,66-107,,
11:22.0,,,66-107,,Defensive rebound by D. West
11:12.0,,,66-109,2,B. Diaw makes 2-pt shot at rim (assist by D. West)
10:58.0,D. Waiters makes 2-pt shot at rim (assist by C. Payne),2,68-109,,
10:58.0,Shooting foul by K. Anderson (drawn by D. Waiters),,68-109,,
10:58.0,,,68-109,,A. Miller enters the game for P. Mills
10:58.0,D. Waiters makes free throw 1 of 1,1,69-109,,
10:42.0,,,69-109,,Turnover by B. Diaw (lost ball; steal by N. Collison)
10:28.0,,,69-109,,Personal foul by K. Anderson
10:21.0,D. Waiters makes 2-pt shot at rim,2,71-109,,
10:00.0,,,71-109,,K. Martin misses 2-pt shot at rim
9:58.0,Defensive rebound by N. Collison,,71-109,,
9:49.0,E. Kanter misses 2-pt shot from 15 ft,,71-109,,
9:48.0,,,71-109,,Defensive rebound by B. Diaw
9:36.0,,,71-109,,K. Martin misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by C. Payne,,71-109,,
9:27.0,Shooting foul by D. West (drawn by D. Waiters),,71-109,,
9:27.0,D. Waiters misses free throw 1 of 2,,71-109,,
9:27.0,Offensive rebound by Team,,71-109,,
9:27.0,D. Waiters makes free throw 2 of 2,1,72-109,,
9:10.0,,,72-109,,K. Martin misses 2-pt shot from 7 ft
9:09.0,Defensive rebound by D. Waiters,,72-109,,
9:05.0,,,72-109,,Shooting block foul by A. Miller (drawn by D. Waiters)
9:05.0,D. Waiters makes free throw 1 of 2,1,73-109,,
9:05.0,D. Waiters makes free throw 2 of 2,1,74-109,,
8:44.0,,,74-111,2,B. Diaw makes 2-pt shot from 5 ft
8:32.0,D. Waiters misses 2-pt shot from 3 ft,,74-111,,
8:31.0,Offensive rebound by D. Waiters,,74-111,,
8:29.0,Turnover by D. Waiters (lost ball; steal by K. Anderson),,74-111,,
8:05.0,,,74-111,,Turnover by Team (shot clock)
8:05.0,Official timeout,,74-111,,
8:05.0,,,74-111,,B. Marjanovic enters the game for D. West
7:48.0,D. Waiters makes 2-pt shot from 18 ft,2,76-111,,
7:31.0,,,76-111,,K. Martin misses 2-pt shot at rim
7:29.0,,,76-111,,Offensive rebound by B. Marjanovic
7:26.0,,,76-113,2,B. Marjanovic makes 2-pt shot from 2 ft
7:09.0,K. Singler misses 3-pt shot from 25 ft,,76-113,,
7:08.0,Offensive rebound by E. Kanter,,76-113,,
7:06.0,E. Kanter misses 2-pt shot from 1 ft (block by B. Marjanovic),,76-113,,
7:04.0,,,76-113,,Defensive rebound by B. Marjanovic
6:53.0,R. Foye enters the game for D. Waiters,,76-113,,
6:44.0,,,76-113,,B. Diaw misses 2-pt shot from 1 ft
6:43.0,Defensive rebound by E. Kanter,,76-113,,
6:36.0,C. Payne misses 2-pt shot from 1 ft,,76-113,,
6:33.0,Offensive rebound by E. Kanter,,76-113,,
6:31.0,E. Kanter makes 2-pt shot from 1 ft,2,78-113,,
6:11.0,,,78-115,2,K. Anderson makes 2-pt shot from 10 ft (assist by B. Marjanovic)
5:53.0,R. Foye misses 3-pt shot from 25 ft,,78-115,,
5:53.0,,,78-115,,Defensive rebound by B. Marjanovic
5:35.0,,,78-117,2,K. Martin makes 2-pt shot from 17 ft (assist by B. Marjanovic)
5:16.0,N. Collison makes 2-pt shot from 1 ft (assist by R. Foye),2,80-117,,
4:53.0,,,80-117,,K. Anderson misses 2-pt shot from 6 ft
4:53.0,,,80-117,,Offensive rebound by B. Marjanovic
4:42.0,,,80-117,,K. Martin misses 2-pt shot from 16 ft
4:42.0,Defensive rebound by Team,,80-117,,
4:42.0,,,80-117,,Loose ball foul by B. Marjanovic
4:42.0,,,80-117,,San Antonio full timeout
4:42.0,A. Morrow enters the game for K. Singler,,80-117,,
4:42.0,,,80-117,,D. West enters the game for B. Diaw
4:42.0,E. Kanter misses free throw 1 of 2,,80-117,,
4:42.0,Offensive rebound by Team,,80-117,,
4:42.0,E. Kanter misses free throw 2 of 2,,80-117,,
4:41.0,,,80-117,,Defensive rebound by K. Anderson
4:16.0,,,80-117,,K. Anderson misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by R. Foye,,80-117,,
4:13.0,,,80-117,,Personal foul by K. Martin
4:13.0,A. Morrow makes free throw 1 of 2,1,81-117,,
4:13.0,N. Mohammed enters the game for E. Kanter,,81-117,,
4:13.0,A. Morrow makes free throw 2 of 2,1,82-117,,
3:55.0,,,82-119,2,A. Miller makes 2-pt shot from 1 ft (assist by D. West)
3:37.0,N. Mohammed makes 2-pt shot from 1 ft (assist by C. Payne),2,84-119,,
3:16.0,,,84-119,,D. West misses 2-pt shot from 20 ft
3:15.0,Defensive rebound by R. Foye,,84-119,,
3:06.0,C. Payne misses 3-pt shot from 27 ft,,84-119,,
3:05.0,,,84-119,,Defensive rebound by A. Miller
2:44.0,,,84-119,,A. Miller misses 2-pt shot from 16 ft (block by N. Mohammed)
2:44.0,,,84-119,,Offensive rebound by Team
2:44.0,Oklahoma City full timeout,,84-119,,
2:43.0,,,84-119,,Shooting foul by N. Collison (drawn by B. Marjanovic)
2:43.0,,,84-120,1,B. Marjanovic makes free throw 1 of 2
2:43.0,,,84-121,1,B. Marjanovic makes free throw 2 of 2
2:29.0,A. Morrow makes 3-pt shot from 25 ft (assist by C. Payne),3,87-121,,
2:09.0,,,87-121,,Turnover by B. Marjanovic (3 sec)
1:55.0,R. Foye makes 3-pt shot from 23 ft (assist by C. Payne),3,90-121,,
1:42.0,,,90-121,,B. Marjanovic misses 2-pt shot from 11 ft
1:40.0,Defensive rebound by N. Mohammed,,90-121,,
1:31.0,C. Payne misses 3-pt shot from 25 ft,,90-121,,
1:31.0,,,90-121,,Defensive rebound by K. Anderson
1:07.0,,,90-121,,K. Martin misses 2-pt shot from 16 ft
1:06.0,,,90-121,,Offensive rebound by B. Marjanovic
0:49.0,,,90-121,,K. Anderson misses 2-pt shot from 16 ft
0:48.0,Defensive rebound by N. Collison,,90-121,,
0:39.0,R. Foye misses 2-pt shot at rim (block by B. Marjanovic),,90-121,,
0:38.0,,,90-121,,Defensive rebound by D. West
0:18.0,,,90-124,3,A. Miller makes 3-pt shot from 27 ft
0:04.0,R. Foye makes 2-pt shot from 19 ft,2,92-124,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
