time,Boston,pts.away,score,pts.home,Phoenix
11:44.0,,,81-75,,Offensive foul by M. Teletovic
11:44.0,,,81-75,,Turnover by M. Teletovic (offensive foul)
11:27.0,I. Thomas makes 3-pt shot from 24 ft (assist by E. Turner),3,84-75,,
11:15.0,,,84-75,,Shooting foul by J. Jerebko (drawn by M. Teletovic)
11:15.0,,,84-76,1,M. Teletovic makes free throw 1 of 2
11:15.0,,,84-76,,M. Teletovic misses free throw 2 of 2
11:15.0,Defensive rebound by K. Olynyk,,84-76,,
11:00.0,I. Thomas misses 3-pt shot from 24 ft,,84-76,,
10:58.0,Offensive rebound by K. Olynyk,,84-76,,
10:56.0,K. Olynyk makes 2-pt shot from 1 ft,2,86-76,,
10:47.0,Personal block foul by M. Smart,,86-76,,
10:42.0,,,86-76,,P. Tucker misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by E. Turner,,86-76,,
10:36.0,Turnover by I. Thomas (traveling),,86-76,,
10:13.0,,,86-76,,M. Teletovic misses 2-pt shot from 7 ft
10:13.0,,,86-76,,Offensive rebound by Team
10:13.0,Loose ball foul by E. Turner,,86-76,,
10:09.0,,,86-76,,D. Booker misses 2-pt shot from 19 ft
10:07.0,,,86-76,,Offensive rebound by P. Tucker
10:05.0,,,86-78,2,P. Tucker makes 2-pt shot from 2 ft
9:42.0,,,86-78,,Personal foul by P. Tucker
9:37.0,K. Olynyk makes 2-pt shot from 11 ft (assist by I. Thomas),2,88-78,,
9:14.0,,,88-78,,R. Price misses 3-pt shot from 24 ft
9:12.0,Defensive rebound by E. Turner,,88-78,,
9:07.0,,,88-78,,Personal foul by C. Budinger
8:58.0,Turnover by K. Olynyk (3 sec),,88-78,,
8:58.0,Official timeout,,88-78,,
8:58.0,,,88-78,,J. Jenkins enters the game for D. Booker
8:58.0,,,88-78,,B. Knight enters the game for C. Budinger
8:58.0,T. Rozier enters the game for I. Thomas,,88-78,,
8:36.0,,,88-78,,Turnover by R. Price (lost ball; steal by T. Rozier)
8:25.0,E. Turner misses 2-pt shot from 17 ft,,88-78,,
8:23.0,,,88-78,,Defensive rebound by J. Jenkins
7:59.0,,,88-78,,R. Price misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by J. Jerebko,,88-78,,
7:44.0,M. Smart misses 3-pt shot from 24 ft,,88-78,,
7:42.0,,,88-78,,Defensive rebound by P. Tucker
7:28.0,,,88-78,,B. Knight misses 3-pt shot from 24 ft
7:27.0,,,88-78,,Offensive rebound by Team
7:27.0,Loose ball foul by E. Turner,,88-78,,
7:27.0,,,88-79,1,P. Tucker makes free throw 1 of 2
7:27.0,,,88-79,,A. Len enters the game for M. Teletovic
7:27.0,,,88-79,,D. Booker enters the game for R. Price
7:27.0,J. Sullinger enters the game for K. Olynyk,,88-79,,
7:27.0,,,88-80,1,P. Tucker makes free throw 2 of 2
7:18.0,Turnover by J. Sullinger (traveling),,88-80,,
7:02.0,,,88-82,2,B. Knight makes 2-pt shot from 19 ft
6:43.0,E. Turner misses 2-pt shot from 16 ft,,88-82,,
6:41.0,Offensive rebound by M. Smart,,88-82,,
6:34.0,J. Jerebko makes 3-pt shot from 24 ft (assist by M. Smart),3,91-82,,
6:16.0,,,91-82,,B. Knight misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by J. Sullinger,,91-82,,
6:03.0,J. Sullinger misses 2-pt shot from 19 ft,,91-82,,
6:01.0,,,91-82,,Defensive rebound by D. Booker
5:55.0,,,91-84,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
5:33.0,J. Sullinger misses 2-pt shot from 2 ft (block by P. Tucker),,91-84,,
5:30.0,Offensive rebound by M. Smart,,91-84,,
5:30.0,M. Smart makes 2-pt shot from 5 ft,2,93-84,,
5:21.0,,,93-84,,D. Booker misses 2-pt shot from 8 ft
5:17.0,Defensive rebound by J. Jerebko,,93-84,,
5:10.0,Turnover by E. Turner (lost ball; steal by J. Jenkins),,93-84,,
5:07.0,,,93-84,,Shooting foul by T. Rozier (drawn by D. Booker)
5:07.0,,,93-84,,Phoenix full timeout
5:07.0,A. Bradley enters the game for E. Turner,,93-84,,
5:07.0,I. Thomas enters the game for T. Rozier,,93-84,,
5:07.0,,,93-84,,M. Teletovic enters the game for J. Jenkins
5:07.0,,,93-85,1,D. Booker makes free throw 1 of 2
5:07.0,,,93-86,1,D. Booker makes free throw 2 of 2
4:51.0,Turnover by I. Thomas (lost ball),,93-86,,
4:36.0,,,93-86,,D. Booker misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by J. Jerebko,,93-86,,
4:24.0,J. Jerebko makes 3-pt shot from 24 ft (assist by I. Thomas),3,96-86,,
3:58.0,,,96-89,3,B. Knight makes 3-pt shot from 24 ft (assist by M. Teletovic)
3:37.0,I. Thomas misses 2-pt shot from 14 ft,,96-89,,
3:35.0,Offensive rebound by M. Smart,,96-89,,
3:15.0,Turnover by I. Thomas (lost ball; steal by D. Booker),,96-89,,
3:07.0,,,96-91,2,D. Booker makes 2-pt shot from 4 ft
3:07.0,Boston full timeout,,96-91,,
