time,Golden State,pts.away,score,pts.home,Denver
1:18.0,Defensive rebound by S. Curry,,55-51,,
1:06.0,H. Barnes makes 3-pt shot from 23 ft (assist by K. Thompson),3,58-51,,
1:00.0,,,58-51,,Denver full timeout
1:00.0,,,58-51,,D. Arthur enters the game for N. Jokic
0:49.0,,,58-51,,Shooting foul by K. Thompson (drawn by D. Gallinari)
0:49.0,,,58-52,1,D. Gallinari makes free throw 1 of 2
0:49.0,,,58-53,1,D. Gallinari makes free throw 2 of 2
0:36.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,61-53,,
0:19.0,,,61-55,2,E. Mudiay makes 2-pt shot from 11 ft
0:04.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,64-55,,
0:00.0,Shooting block foul by K. Thompson (drawn by W. Barton),,64-55,,
0:00.0,,,64-56,1,W. Barton makes free throw 1 of 3
0:00.0,,,64-57,1,W. Barton makes free throw 2 of 3
0:00.0,,,64-58,1,W. Barton makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,64-58,,Turnover by D. Gallinari (bad pass; steal by H. Barnes)
11:30.0,S. Curry makes 2-pt shot from 16 ft,2,66-58,,
11:13.0,,,66-58,,G. Harris misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by K. Thompson,,66-58,,
10:47.0,S. Curry makes 2-pt shot from 22 ft,2,68-58,,
10:39.0,,,68-58,,Offensive charge foul by D. Gallinari
10:39.0,,,68-58,,Turnover by D. Gallinari (offensive foul)
10:27.0,S. Curry misses 3-pt shot from 25 ft,,68-58,,
10:26.0,,,68-58,,Defensive rebound by N. Jokic
10:19.0,,,68-60,2,N. Jokic makes 2-pt shot from 5 ft (assist by E. Mudiay)
10:06.0,Turnover by D. Green (bad pass; steal by D. Gallinari),,68-60,,
10:04.0,Personal take foul by A. Bogut (drawn by D. Gallinari),,68-60,,
9:51.0,,,68-60,,E. Mudiay misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by H. Barnes,,68-60,,
9:45.0,K. Thompson misses 3-pt shot from 23 ft,,68-60,,
9:43.0,,,68-60,,Defensive rebound by N. Jokic
9:34.0,,,68-62,2,D. Arthur makes 2-pt shot from 7 ft (assist by E. Mudiay)
9:15.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,71-62,,
8:55.0,,,71-65,3,E. Mudiay makes 3-pt shot from 24 ft
8:28.0,K. Thompson makes 2-pt shot from 17 ft,2,73-65,,
8:16.0,,,73-65,,E. Mudiay misses 2-pt shot from 6 ft
8:15.0,Defensive rebound by A. Bogut,,73-65,,
8:07.0,K. Thompson misses 2-pt shot from 14 ft,,73-65,,
8:07.0,,,73-65,,Defensive rebound by D. Arthur
8:01.0,,,73-67,2,G. Harris makes 2-pt shot from 21 ft (assist by E. Mudiay)
7:46.0,D. Green makes 3-pt shot from 24 ft (assist by A. Bogut),3,76-67,,
7:46.0,,,76-67,,Denver full timeout
7:30.0,,,76-67,,D. Arthur misses 2-pt shot from 16 ft
7:30.0,Defensive rebound by S. Curry,,76-67,,
7:16.0,Offensive foul by A. Bogut,,76-67,,
7:16.0,Turnover by A. Bogut (offensive foul),,76-67,,
6:58.0,,,76-69,2,E. Mudiay makes 2-pt shot from 13 ft
6:37.0,Turnover by A. Bogut (lost ball; steal by N. Jokic),,76-69,,
6:36.0,Personal take foul by D. Green (drawn by D. Gallinari),,76-69,,
6:27.0,,,76-69,,E. Mudiay misses 2-pt shot from 18 ft
6:26.0,Defensive rebound by A. Bogut,,76-69,,
6:20.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Green),2,78-69,,
6:20.0,Shooting foul by D. Gallinari (drawn by H. Barnes),,78-69,,
6:20.0,H. Barnes makes free throw 1 of 1,1,79-69,,
5:55.0,,,79-69,,D. Gallinari misses 2-pt shot from 16 ft
5:54.0,,,79-69,,Offensive rebound by D. Arthur
5:47.0,,,79-69,,G. Harris misses 2-pt shot at rim
5:47.0,,,79-69,,Offensive rebound by G. Harris
5:47.0,,,79-69,,G. Harris misses 2-pt shot at rim (block by A. Bogut)
5:45.0,,,79-69,,Offensive rebound by G. Harris
5:31.0,,,79-69,,Turnover by D. Arthur (bad pass; steal by S. Curry)
5:26.0,S. Curry misses 2-pt shot from 1 ft,,79-69,,
5:25.0,,,79-69,,Defensive rebound by D. Arthur
5:22.0,,,79-69,,D. Arthur misses 2-pt shot from 2 ft
5:21.0,,,79-69,,Offensive rebound by D. Arthur
5:20.0,,,79-69,,Shooting foul by D. Green (drawn by D. Arthur)
5:20.0,,,79-70,1,D. Arthur makes free throw 1 of 2
5:20.0,A. Iguodala enters the game for D. Green,,79-70,,
5:20.0,,,79-71,1,D. Arthur makes free throw 2 of 2
5:06.0,Turnover by S. Curry (lost ball),,79-71,,
5:06.0,,,79-71,,W. Barton enters the game for D. Arthur
5:06.0,F. Ezeli enters the game for A. Bogut,,79-71,,
4:44.0,,,79-71,,E. Mudiay misses 2-pt shot from 1 ft
4:43.0,,,79-71,,Offensive rebound by E. Mudiay
4:43.0,,,79-73,2,E. Mudiay makes 2-pt shot from 1 ft
4:36.0,Offensive charge foul by F. Ezeli,,79-73,,
4:36.0,Turnover by F. Ezeli (offensive foul),,79-73,,
4:19.0,,,79-73,,E. Mudiay misses 2-pt shot from 20 ft
4:18.0,,,79-73,,Offensive rebound by D. Gallinari
4:13.0,,,79-73,,D. Gallinari misses 2-pt shot from 1 ft
4:12.0,,,79-73,,Offensive rebound by N. Jokic
4:06.0,,,79-73,,Turnover by G. Harris (lost ball; steal by A. Iguodala)
4:02.0,H. Barnes misses 2-pt shot from 1 ft (block by E. Mudiay),,79-73,,
4:01.0,Offensive rebound by Team,,79-73,,
4:01.0,Golden State full timeout,,79-73,,
4:01.0,Technical foul by Team,,79-73,,
4:01.0,,,79-73,,J. Nelson enters the game for E. Mudiay
4:01.0,,,79-73,,D. Gallinari misses technical free throw
