time,Detroit,pts.away,score,pts.home,Miami
5:03.0,R. Jackson misses 2-pt shot from 9 ft,,12-14,,
5:02.0,,,12-14,,Defensive rebound by J. Richardson
4:51.0,,,12-17,3,J. Richardson makes 3-pt shot from 24 ft (assist by D. Wade)
4:25.0,M. Morris misses 3-pt shot from 23 ft,,12-17,,
4:24.0,,,12-17,,Defensive rebound by L. Deng
4:13.0,,,12-17,,D. Wade misses 2-pt shot from 11 ft
4:11.0,Defensive rebound by T. Harris,,12-17,,
4:03.0,R. Jackson makes 3-pt shot from 25 ft (assist by T. Harris),3,15-17,,
4:03.0,,,15-17,,Miami full timeout
4:03.0,S. Johnson enters the game for M. Morris,,15-17,,
4:03.0,,,15-17,,J. Winslow enters the game for L. Deng
4:03.0,,,15-17,,G. Dragic enters the game for A. Stoudemire
4:03.0,,,15-17,,H. Whiteside enters the game for D. Wade
3:46.0,,,15-17,,J. Winslow misses 2-pt shot from 21 ft
3:45.0,Defensive rebound by A. Drummond,,15-17,,
3:35.0,R. Jackson misses 2-pt shot from 7 ft,,15-17,,
3:34.0,,,15-17,,Defensive rebound by H. Whiteside
3:22.0,,,15-17,,H. Whiteside misses 2-pt shot from 17 ft
3:21.0,Defensive rebound by R. Jackson,,15-17,,
3:17.0,Turnover by K. Caldwell-Pope (lost ball),,15-17,,
3:08.0,,,15-17,,G. Dragic misses 2-pt shot from 2 ft
3:07.0,Defensive rebound by T. Harris,,15-17,,
2:49.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,15-17,,
2:48.0,,,15-17,,Defensive rebound by J. Richardson
2:37.0,,,15-19,2,J. Richardson makes 2-pt shot from 11 ft
2:21.0,T. Harris makes 2-pt shot from 2 ft,2,17-19,,
2:05.0,,,17-19,,Shooting foul by T. Harris (drawn by J. Johnson)
2:05.0,Detroit full timeout,,17-19,,
2:05.0,S. Blake enters the game for R. Jackson,,17-19,,
2:05.0,,,17-19,,J. Johnson misses free throw 1 of 2
2:05.0,,,17-19,,Offensive rebound by Team
2:05.0,,,17-20,1,J. Johnson makes free throw 2 of 2
1:50.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,17-20,,
1:49.0,,,17-20,,Defensive rebound by G. Dragic
1:36.0,,,17-23,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
1:15.0,A. Drummond makes 2-pt shot from 8 ft (assist by T. Harris),2,19-23,,
1:03.0,,,19-23,,G. Dragic misses 2-pt shot from 14 ft
1:02.0,Defensive rebound by A. Drummond,,19-23,,
0:46.0,S. Johnson misses 3-pt shot from 22 ft,,19-23,,
0:45.0,,,19-23,,Defensive rebound by H. Whiteside
0:45.0,Personal block foul by S. Blake,,19-23,,
0:45.0,,,19-23,,L. Deng enters the game for J. Johnson
0:37.0,,,19-25,2,H. Whiteside makes 2-pt shot from 8 ft (assist by G. Dragic)
0:19.0,S. Johnson misses 2-pt shot from 1 ft,,19-25,,
0:18.0,,,19-25,,Defensive rebound by J. Winslow
0:02.0,,,19-25,,G. Dragic misses 2-pt shot from 8 ft
0:00.0,,,19-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Morris misses 2-pt shot from 2 ft (block by H. Whiteside),,19-25,,
11:47.0,,,19-25,,Defensive rebound by J. Winslow
11:36.0,,,19-25,,J. Winslow misses 2-pt shot from 7 ft
11:35.0,,,19-25,,Offensive rebound by H. Whiteside
11:33.0,,,19-25,,H. Whiteside misses 2-pt shot from 10 ft
11:32.0,Defensive rebound by A. Baynes,,19-25,,
11:26.0,Turnover by M. Morris (lost ball),,19-25,,
11:14.0,,,19-27,2,G. Dragic makes 2-pt shot from 1 ft
10:57.0,,,19-27,,Personal foul by J. Winslow
10:42.0,S. Johnson misses 3-pt shot from 24 ft,,19-27,,
10:41.0,,,19-27,,Defensive rebound by G. Dragic
10:35.0,,,19-27,,Turnover by G. Dragic (lost ball; steal by M. Morris)
10:30.0,S. Johnson misses 2-pt shot from 2 ft,,19-27,,
10:29.0,,,19-27,,Defensive rebound by L. Deng
10:22.0,,,19-27,,J. Winslow misses 2-pt shot from 20 ft
10:21.0,Defensive rebound by S. Johnson,,19-27,,
10:09.0,M. Morris misses 2-pt shot from 1 ft,,19-27,,
10:08.0,Offensive rebound by A. Baynes,,19-27,,
10:07.0,A. Baynes makes 2-pt shot at rim,2,21-27,,
9:46.0,,,21-27,,L. Deng misses 2-pt shot from 17 ft
9:45.0,Defensive rebound by A. Baynes,,21-27,,
9:37.0,A. Tolliver misses 3-pt shot from 23 ft,,21-27,,
9:36.0,,,21-27,,Defensive rebound by H. Whiteside
9:28.0,,,21-29,2,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic)
9:21.0,Detroit full timeout,,21-29,,
9:03.0,S. Johnson misses 2-pt shot from 17 ft,,21-29,,
9:00.0,Offensive rebound by A. Baynes,,21-29,,
8:58.0,A. Baynes makes 2-pt shot from 2 ft,2,23-29,,
8:38.0,,,23-29,,Turnover by G. Dragic (lost ball; steal by S. Johnson)
8:24.0,S. Blake makes 3-pt shot from 25 ft (assist by M. Morris),3,26-29,,
8:06.0,,,26-31,2,L. Deng makes 2-pt shot from 15 ft (assist by G. Dragic)
7:38.0,M. Morris misses 3-pt shot from 24 ft,,26-31,,
7:37.0,,,26-31,,Defensive rebound by J. Winslow
7:31.0,,,26-33,2,L. Deng makes 2-pt shot from 1 ft (assist by J. Winslow)
7:11.0,S. Johnson misses 2-pt shot from 6 ft,,26-33,,
7:10.0,,,26-33,,Defensive rebound by H. Whiteside
6:57.0,,,26-33,,H. Whiteside misses 2-pt shot from 20 ft
6:56.0,,,26-33,,Offensive rebound by L. Deng
6:52.0,,,26-33,,Shooting foul by M. Morris (drawn by J. Winslow)
6:52.0,,,26-33,,J. Winslow misses free throw 1 of 2
6:52.0,,,26-33,,Offensive rebound by Team
6:52.0,,,26-33,,D. Wade enters the game for G. Dragic
6:52.0,,,26-33,,U. Haslem enters the game for H. Whiteside
6:52.0,R. Jackson enters the game for S. Johnson,,26-33,,
6:52.0,K. Caldwell-Pope enters the game for S. Blake,,26-33,,
6:52.0,,,26-34,1,J. Winslow makes free throw 2 of 2
6:37.0,R. Jackson misses 3-pt shot from 24 ft,,26-34,,
6:36.0,,,26-34,,Defensive rebound by L. Deng
6:23.0,,,26-34,,L. Deng misses 3-pt shot from 24 ft
6:22.0,,,26-34,,Offensive rebound by J. Winslow
6:13.0,,,26-37,3,J. Richardson makes 3-pt shot from 24 ft (assist by L. Deng)
5:55.0,Turnover by K. Caldwell-Pope (lost ball; steal by D. Wade),,26-37,,
5:52.0,,,26-39,2,J. Winslow makes 2-pt shot from 1 ft
5:52.0,,,26-39,,Shooting foul by K. Caldwell-Pope (drawn by J. Winslow)
5:52.0,Official timeout,,26-39,,
5:52.0,,,26-39,,J. Johnson enters the game for L. Deng
5:52.0,A. Drummond enters the game for A. Tolliver,,26-39,,
5:52.0,T. Harris enters the game for A. Baynes,,26-39,,
5:52.0,,,26-40,1,J. Winslow makes free throw 1 of 1
5:30.0,T. Harris misses 2-pt shot from 6 ft,,26-40,,
5:29.0,Offensive rebound by T. Harris,,26-40,,
5:26.0,T. Harris makes 2-pt shot from 1 ft,2,28-40,,
5:09.0,,,28-40,,Shooting foul by K. Caldwell-Pope (drawn by D. Wade)
5:09.0,,,28-41,1,D. Wade makes free throw 1 of 2
5:09.0,,,28-42,1,D. Wade makes free throw 2 of 2
4:55.0,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson),2,30-42,,
4:38.0,,,30-42,,U. Haslem misses 2-pt shot from 15 ft
4:37.0,Defensive rebound by T. Harris,,30-42,,
4:28.0,M. Morris misses 2-pt shot from 8 ft,,30-42,,
4:27.0,,,30-42,,Defensive rebound by U. Haslem
4:14.0,,,30-44,2,U. Haslem makes 2-pt shot from 14 ft (assist by J. Johnson)
4:02.0,Offensive charge foul by T. Harris,,30-44,,
4:02.0,Turnover by T. Harris (offensive foul),,30-44,,
4:02.0,,,30-44,,H. Whiteside enters the game for U. Haslem
3:50.0,,,30-46,2,H. Whiteside makes 2-pt shot from 6 ft (assist by J. Johnson)
3:35.0,R. Jackson makes 2-pt shot from 2 ft,2,32-46,,
3:09.0,,,32-48,2,D. Wade makes 2-pt shot from 20 ft
2:54.0,R. Jackson misses 3-pt shot from 24 ft,,32-48,,
2:53.0,,,32-48,,Defensive rebound by H. Whiteside
2:34.0,,,32-48,,J. Richardson misses 2-pt shot from 15 ft
2:33.0,,,32-48,,Offensive rebound by H. Whiteside
2:28.0,,,32-48,,Miami full timeout
2:28.0,,,32-48,,L. Deng enters the game for J. Winslow
2:12.0,,,32-50,2,J. Johnson makes 2-pt shot from 13 ft
1:46.0,R. Jackson misses 2-pt shot from 7 ft,,32-50,,
1:45.0,,,32-50,,Defensive rebound by L. Deng
1:33.0,,,32-50,,D. Wade misses 2-pt shot from 7 ft
1:32.0,Defensive rebound by A. Drummond,,32-50,,
1:21.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,32-50,,
1:20.0,,,32-50,,Defensive rebound by L. Deng
1:09.0,,,32-50,,L. Deng misses 2-pt shot from 2 ft
1:07.0,,,32-50,,Offensive rebound by H. Whiteside
1:06.0,,,32-50,,H. Whiteside misses 2-pt shot from 5 ft
1:05.0,,,32-50,,Offensive rebound by J. Johnson
1:04.0,,,32-52,2,J. Johnson makes 2-pt shot at rim
0:40.0,R. Jackson misses 2-pt shot from 16 ft,,32-52,,
0:39.0,Offensive rebound by A. Drummond,,32-52,,
0:39.0,Shooting foul by H. Whiteside (drawn by A. Drummond),,32-52,,
0:39.0,A. Drummond makes free throw 1 of 2,1,33-52,,
0:39.0,A. Tolliver enters the game for T. Harris,,33-52,,
0:39.0,S. Johnson enters the game for K. Caldwell-Pope,,33-52,,
0:39.0,A. Drummond makes free throw 2 of 2,1,34-52,,
0:14.0,,,34-54,2,J. Johnson makes 2-pt shot from 14 ft
0:04.0,R. Jackson misses 2-pt shot from 2 ft,,34-54,,
0:01.0,Offensive rebound by A. Drummond,,34-54,,
0:00.0,A. Drummond makes 2-pt shot from 20 ft,2,36-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,T. Harris makes 2-pt shot from 2 ft,2,38-54,,
11:36.0,Shooting foul by L. Deng (drawn by T. Harris),,38-54,,
11:36.0,T. Harris makes free throw 1 of 1,1,39-54,,
11:10.0,,,39-54,,G. Dragic misses 2-pt shot from 11 ft
11:09.0,Defensive rebound by M. Morris,,39-54,,
11:06.0,Shooting foul by G. Dragic (drawn by R. Jackson),,39-54,,
11:06.0,R. Jackson makes free throw 1 of 2,1,40-54,,
11:06.0,R. Jackson makes free throw 2 of 2,1,41-54,,
10:45.0,,,41-54,,L. Deng misses 2-pt shot from 11 ft
10:44.0,Defensive rebound by M. Morris,,41-54,,
10:37.0,A. Drummond misses 2-pt shot from 5 ft,,41-54,,
10:36.0,,,41-54,,Defensive rebound by A. Stoudemire
10:16.0,,,41-56,2,A. Stoudemire makes 2-pt shot from 17 ft (assist by G. Dragic)
9:56.0,Shooting foul by A. Stoudemire (drawn by T. Harris),,41-56,,
9:56.0,T. Harris makes free throw 1 of 2,1,42-56,,
9:56.0,T. Harris makes free throw 2 of 2,1,43-56,,
9:46.0,,,43-58,2,D. Wade makes 2-pt shot from 13 ft
9:34.0,R. Jackson makes 2-pt shot from 8 ft,2,45-58,,
9:21.0,,,45-58,,Shooting foul by A. Drummond (drawn by D. Wade)
9:21.0,,,45-59,1,D. Wade makes free throw 1 of 2
9:21.0,,,45-60,1,D. Wade makes free throw 2 of 2
9:10.0,Turnover by M. Morris (lost ball),,45-60,,
9:10.0,Violation by Team (delay of game),,45-60,,
8:58.0,,,45-62,2,D. Wade makes 2-pt shot from 11 ft
8:39.0,Shooting foul by D. Wade (drawn by T. Harris),,45-62,,
8:39.0,T. Harris makes free throw 1 of 2,1,46-62,,
8:39.0,T. Harris makes free throw 2 of 2,1,47-62,,
8:22.0,,,47-62,,Turnover by D. Wade (bad pass)
8:10.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,47-62,,
8:09.0,,,47-62,,Defensive rebound by Team
7:50.0,,,47-64,2,A. Stoudemire makes 2-pt shot from 16 ft (assist by J. Johnson)
7:32.0,Turnover by M. Morris (lost ball; steal by D. Wade),,47-64,,
7:28.0,S. Johnson enters the game for M. Morris,,47-64,,
7:15.0,,,47-64,,Turnover by J. Johnson (lost ball; steal by T. Harris)
7:13.0,,,47-64,,Personal foul by L. Deng
7:13.0,R. Jackson makes free throw 1 of 2,1,48-64,,
7:13.0,R. Jackson makes free throw 2 of 2,1,49-64,,
7:03.0,,,49-66,2,G. Dragic makes 2-pt shot from 18 ft
6:47.0,K. Caldwell-Pope makes 2-pt shot from 10 ft,2,51-66,,
6:26.0,Personal foul by K. Caldwell-Pope,,51-66,,
6:11.0,,,51-66,,J. Johnson misses 2-pt shot from 16 ft
6:10.0,Defensive rebound by S. Johnson,,51-66,,
5:58.0,R. Jackson makes 2-pt shot from 16 ft,2,53-66,,
5:41.0,,,53-66,,Turnover by A. Stoudemire (lost ball)
5:41.0,,,53-66,,Miami full timeout
5:41.0,,,53-66,,J. Richardson enters the game for A. Stoudemire
5:41.0,,,53-66,,H. Whiteside enters the game for G. Dragic
5:33.0,R. Jackson misses 2-pt shot from 2 ft (block by H. Whiteside),,53-66,,
5:32.0,,,53-66,,Defensive rebound by D. Wade
5:22.0,Def 3 sec tech foul by A. Drummond,,53-66,,
5:22.0,,,53-67,1,D. Wade makes technical free throw
5:11.0,,,53-67,,Shooting foul by K. Caldwell-Pope (drawn by D. Wade)
5:11.0,,,53-68,1,D. Wade makes free throw 1 of 2
5:11.0,A. Tolliver enters the game for K. Caldwell-Pope,,53-68,,
5:11.0,,,53-68,,D. Wade misses free throw 2 of 2
5:10.0,Defensive rebound by A. Drummond,,53-68,,
4:55.0,Turnover by S. Johnson (lost ball; steal by L. Deng),,53-68,,
4:52.0,,,53-70,2,L. Deng makes 2-pt shot at rim
4:35.0,R. Jackson misses 2-pt shot from 18 ft,,53-70,,
4:34.0,Offensive rebound by R. Jackson,,53-70,,
4:19.0,A. Tolliver misses 3-pt shot from 24 ft,,53-70,,
4:18.0,,,53-70,,Defensive rebound by L. Deng
4:09.0,,,53-73,3,J. Richardson makes 3-pt shot from 24 ft (assist by D. Wade)
4:09.0,Detroit full timeout,,53-73,,
4:09.0,,,53-73,,J. Winslow enters the game for L. Deng
3:54.0,,,53-73,,Personal foul by H. Whiteside
3:54.0,R. Jackson makes free throw 1 of 2,1,54-73,,
3:54.0,R. Jackson makes free throw 2 of 2,1,55-73,,
3:32.0,,,55-73,,D. Wade misses 2-pt shot from 12 ft
3:31.0,Defensive rebound by A. Drummond,,55-73,,
3:21.0,T. Harris makes 2-pt shot from 7 ft,2,57-73,,
3:02.0,,,57-73,,J. Johnson misses 3-pt shot from 23 ft
3:01.0,Defensive rebound by A. Drummond,,57-73,,
2:50.0,R. Jackson makes 2-pt shot from 9 ft,2,59-73,,
2:30.0,,,59-75,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. Johnson)
2:16.0,,,59-75,,Personal foul by H. Whiteside
2:16.0,A. Drummond misses free throw 1 of 2,,59-75,,
2:16.0,Offensive rebound by Team,,59-75,,
2:16.0,D. Hilliard enters the game for S. Johnson,,59-75,,
2:16.0,,,59-75,,G. Dragic enters the game for D. Wade
2:16.0,A. Drummond misses free throw 2 of 2,,59-75,,
2:15.0,,,59-75,,Defensive rebound by H. Whiteside
2:00.0,,,59-75,,J. Johnson misses 2-pt shot from 7 ft
1:59.0,Defensive rebound by T. Harris,,59-75,,
1:53.0,R. Jackson makes 2-pt shot from 2 ft,2,61-75,,
1:32.0,,,61-75,,H. Whiteside misses 2-pt shot from 3 ft
1:31.0,Defensive rebound by T. Harris,,61-75,,
1:23.0,A. Drummond misses 2-pt shot from 9 ft,,61-75,,
1:21.0,,,61-75,,Defensive rebound by G. Dragic
1:12.0,,,61-75,,H. Whiteside misses 2-pt shot from 15 ft
1:11.0,Defensive rebound by D. Hilliard,,61-75,,
1:02.0,T. Harris misses 3-pt shot from 25 ft,,61-75,,
1:01.0,,,61-75,,Defensive rebound by Team
1:01.0,,,61-75,,L. Deng enters the game for J. Johnson
0:48.0,,,61-75,,J. Winslow misses 2-pt shot from 1 ft (block by R. Jackson)
0:47.0,,,61-75,,Offensive rebound by Team
0:41.0,,,61-77,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
0:36.0,A. Drummond makes 2-pt shot from 2 ft (assist by R. Jackson),2,63-77,,
0:25.0,,,63-79,2,G. Dragic makes 2-pt shot from 15 ft
0:19.0,,,63-79,,Personal take foul by G. Dragic
0:19.0,A. Drummond misses free throw 1 of 2,,63-79,,
0:19.0,Offensive rebound by Team,,63-79,,
0:19.0,A. Drummond misses free throw 2 of 2,,63-79,,
0:18.0,Offensive rebound by A. Tolliver,,63-79,,
0:11.0,R. Jackson misses 3-pt shot from 24 ft,,63-79,,
0:10.0,Offensive rebound by A. Drummond,,63-79,,
0:09.0,A. Drummond misses 2-pt shot from 3 ft (block by H. Whiteside),,63-79,,
0:08.0,,,63-79,,Defensive rebound by H. Whiteside
0:01.0,,,63-82,3,G. Dragic makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,63-82,,J. Winslow misses 2-pt shot from 9 ft
11:47.0,Defensive rebound by S. Blake,,63-82,,
11:38.0,D. Hilliard misses 3-pt shot from 24 ft,,63-82,,
11:37.0,Offensive rebound by A. Baynes,,63-82,,
11:25.0,A. Baynes misses 2-pt shot from 9 ft,,63-82,,
11:24.0,Offensive rebound by M. Morris,,63-82,,
11:23.0,M. Morris misses 2-pt shot from 1 ft,,63-82,,
11:22.0,,,63-82,,Defensive rebound by Team
10:57.0,,,63-82,,J. Winslow misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by D. Hilliard,,63-82,,
10:52.0,Shooting foul by J. Winslow (drawn by M. Morris),,63-82,,
10:52.0,M. Morris misses free throw 1 of 2,,63-82,,
10:52.0,Offensive rebound by Team,,63-82,,
10:52.0,M. Morris makes free throw 2 of 2,1,64-82,,
10:38.0,,,64-84,2,L. Deng makes 2-pt shot from 19 ft (assist by G. Dragic)
10:24.0,,,64-84,,Def 3 sec tech foul by H. Whiteside
10:24.0,S. Blake makes technical free throw,1,65-84,,
10:18.0,Offensive foul by M. Morris,,65-84,,
10:18.0,Turnover by M. Morris (offensive foul),,65-84,,
10:00.0,,,65-84,,J. Richardson misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by D. Hilliard,,65-84,,
9:47.0,S. Blake makes 3-pt shot from 25 ft,3,68-84,,
9:34.0,,,68-86,2,G. Dragic makes 2-pt shot from 1 ft
9:11.0,A. Baynes makes 2-pt shot from 12 ft (assist by D. Hilliard),2,70-86,,
8:51.0,,,70-89,3,G. Dragic makes 3-pt shot from 24 ft (assist by L. Deng)
8:34.0,Turnover by M. Morris (lost ball; steal by H. Whiteside),,70-89,,
8:22.0,Personal foul by S. Blake,,70-89,,
8:22.0,Official timeout,,70-89,,
8:20.0,S. Johnson enters the game for M. Morris,,70-89,,
8:08.0,,,70-92,3,G. Dragic makes 3-pt shot from 24 ft (assist by L. Deng)
7:50.0,A. Baynes misses 2-pt shot from 6 ft,,70-92,,
7:49.0,,,70-92,,Defensive rebound by H. Whiteside
7:38.0,,,70-92,,L. Deng misses 2-pt shot from 18 ft
7:37.0,Defensive rebound by S. Blake,,70-92,,
7:26.0,A. Tolliver makes 2-pt shot from 7 ft (assist by S. Blake),2,72-92,,
7:09.0,,,72-94,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
7:06.0,Detroit full timeout,,72-94,,
6:56.0,S. Johnson makes 2-pt shot from 18 ft (assist by S. Blake),2,74-94,,
6:41.0,,,74-97,3,G. Dragic makes 3-pt shot from 24 ft
6:16.0,Shooting foul by G. Dragic (drawn by A. Baynes),,74-97,,
6:16.0,A. Baynes makes free throw 1 of 2,1,75-97,,
6:16.0,A. Baynes makes free throw 2 of 2,1,76-97,,
6:05.0,,,76-97,,Turnover by G. Dragic (lost ball; steal by A. Baynes)
5:59.0,D. Hilliard makes 3-pt shot from 25 ft (assist by S. Johnson),3,79-97,,
5:58.0,,,79-97,,Miami full timeout
5:58.0,,,79-97,,Technical foul by Team
5:58.0,S. Blake makes technical free throw,1,80-97,,
5:33.0,,,80-100,3,J. Winslow makes 3-pt shot from 24 ft (assist by L. Deng)
5:15.0,S. Johnson misses 2-pt shot from 1 ft,,80-100,,
5:14.0,Offensive rebound by S. Johnson,,80-100,,
5:13.0,S. Johnson misses 2-pt shot from 1 ft,,80-100,,
5:12.0,,,80-100,,Defensive rebound by G. Dragic
5:00.0,,,80-100,,L. Deng misses 2-pt shot at rim
4:59.0,Defensive rebound by A. Baynes,,80-100,,
4:50.0,D. Hilliard makes 3-pt shot from 23 ft (assist by A. Tolliver),3,83-100,,
4:30.0,,,83-100,,G. Dragic misses 2-pt shot from 2 ft
4:29.0,,,83-100,,Offensive rebound by H. Whiteside
4:26.0,,,83-102,2,H. Whiteside makes 2-pt shot from 1 ft
4:11.0,A. Baynes makes 2-pt shot from 5 ft (assist by S. Blake),2,85-102,,
3:55.0,Personal foul by S. Johnson,,85-102,,
3:55.0,S. Dinwiddie enters the game for S. Johnson,,85-102,,
3:55.0,J. Anthony enters the game for S. Blake,,85-102,,
3:55.0,R. Bullock enters the game for A. Baynes,,85-102,,
3:55.0,,,85-102,,G. Green enters the game for L. Deng
3:41.0,,,85-102,,Turnover by G. Dragic (lost ball; steal by A. Tolliver)
3:33.0,D. Hilliard makes 2-pt shot from 18 ft,2,87-102,,
3:14.0,,,87-102,,J. Richardson misses 2-pt shot from 2 ft
3:13.0,Defensive rebound by J. Anthony,,87-102,,
3:06.0,S. Dinwiddie misses 2-pt shot from 9 ft,,87-102,,
3:05.0,Offensive rebound by S. Dinwiddie,,87-102,,
3:04.0,S. Dinwiddie misses 2-pt shot from 4 ft (block by H. Whiteside),,87-102,,
3:03.0,Offensive rebound by Team,,87-102,,
2:50.0,R. Bullock makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,89-102,,
2:25.0,,,89-104,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
2:11.0,Turnover by S. Dinwiddie (lost ball; steal by G. Green),,89-104,,
2:08.0,,,89-104,,Shooting foul by S. Dinwiddie (drawn by G. Green)
2:08.0,,,89-104,,G. Green misses free throw 1 of 2
2:08.0,,,89-104,,Offensive rebound by Team
2:08.0,,,89-104,,U. Haslem enters the game for H. Whiteside
2:08.0,,,89-104,,J. McRoberts enters the game for G. Dragic
2:08.0,,,89-105,1,G. Green makes free throw 2 of 2
2:01.0,,,89-105,,Personal foul by G. Green
1:54.0,D. Hilliard misses 3-pt shot from 24 ft,,89-105,,
1:52.0,,,89-105,,Defensive rebound by U. Haslem
1:32.0,,,89-105,,U. Haslem misses 2-pt shot from 16 ft
1:31.0,,,89-105,,Offensive rebound by Team
1:31.0,,,89-105,,Turnover by Team (shot clock)
1:19.0,D. Hilliard misses 2-pt shot from 1 ft,,89-105,,
1:18.0,,,89-105,,Defensive rebound by U. Haslem
0:56.0,,,89-105,,Turnover by J. McRoberts (lost ball; steal by S. Dinwiddie)
0:56.0,,,89-105,,Personal foul by J. Richardson
0:40.0,A. Tolliver misses 3-pt shot from 23 ft,,89-105,,
0:39.0,,,89-105,,Defensive rebound by J. Winslow
0:21.0,,,89-107,2,J. Richardson makes 2-pt shot from 16 ft
0:12.0,Turnover by S. Dinwiddie (lost ball),,89-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
