time,Detroit,pts.away,score,pts.home,Philadelphia
4:42.0,,,17-7,,Turnover by N. Stauskas (lost ball; steal by E. Ilyasova)
4:32.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by R. Jackson),3,20-7,,
4:15.0,,,20-7,,N. Stauskas misses 2-pt shot from 2 ft (block by E. Ilyasova)
4:15.0,,,20-7,,Offensive rebound by Team
4:15.0,,,20-7,,R. Holmes enters the game for N. Noel
4:12.0,,,20-7,,H. Thompson misses 2-pt shot from 20 ft
4:10.0,Defensive rebound by E. Ilyasova,,20-7,,
4:03.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by R. Jackson),3,23-7,,
3:59.0,,,23-7,,Turnover by H. Thompson (bad pass; steal by E. Ilyasova)
3:46.0,R. Jackson makes 2-pt shot at rim,2,25-7,,
3:46.0,,,25-7,,Philadelphia full timeout
3:46.0,S. Johnson enters the game for M. Morris,,25-7,,
3:46.0,,,25-7,,J. Okafor enters the game for R. Holmes
3:28.0,,,25-7,,Turnover by T. McConnell (bad pass; steal by K. Caldwell-Pope)
3:24.0,K. Caldwell-Pope makes 2-pt shot at rim,2,27-7,,
3:04.0,,,27-9,2,J. Okafor makes 2-pt shot from 13 ft
2:40.0,A. Drummond makes 2-pt shot from 6 ft,2,29-9,,
2:26.0,,,29-11,2,N. Stauskas makes 2-pt shot from 13 ft
2:09.0,R. Jackson makes 2-pt shot from 13 ft,2,31-11,,
1:59.0,,,31-11,,N. Stauskas misses 2-pt shot from 1 ft
1:57.0,Defensive rebound by E. Ilyasova,,31-11,,
1:46.0,E. Ilyasova misses 2-pt shot from 14 ft,,31-11,,
1:43.0,Offensive rebound by A. Drummond,,31-11,,
1:43.0,A. Drummond makes 2-pt shot at rim,2,33-11,,
1:38.0,,,33-11,,Offensive charge foul by J. Grant
1:38.0,,,33-11,,Turnover by J. Grant (offensive foul)
1:38.0,Detroit full timeout,,33-11,,
1:38.0,,,33-11,,I. Canaan enters the game for T. McConnell
1:38.0,,,33-11,,R. Covington enters the game for J. Grant
1:38.0,A. Tolliver enters the game for E. Ilyasova,,33-11,,
1:38.0,S. Blake enters the game for R. Jackson,,33-11,,
1:23.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,35-11,,
1:05.0,,,35-11,,Shooting foul by S. Blake (drawn by I. Canaan)
1:05.0,,,35-11,,J. Sampson enters the game for N. Stauskas
1:05.0,,,35-12,1,I. Canaan makes free throw 1 of 2
1:05.0,,,35-13,1,I. Canaan makes free throw 2 of 2
0:50.0,S. Johnson misses 2-pt shot from 18 ft,,35-13,,
0:48.0,,,35-13,,Defensive rebound by J. Sampson
0:34.0,Personal block foul by A. Tolliver (drawn by J. Sampson),,35-13,,
0:34.0,,,35-13,,J. Sampson misses free throw 1 of 2
0:34.0,,,35-13,,Offensive rebound by Team
0:34.0,,,35-14,1,J. Sampson makes free throw 2 of 2
0:21.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,35-14,,
0:19.0,,,35-14,,Defensive rebound by H. Thompson
0:02.0,,,35-14,,J. Okafor misses 2-pt shot from 2 ft
0:01.0,,,35-14,,Offensive rebound by J. Okafor
0:01.0,,,35-14,,J. Okafor misses 2-pt shot from 1 ft
0:00.0,,,35-14,,Offensive rebound by R. Covington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,35-17,3,R. Covington makes 3-pt shot from 24 ft (assist by I. Canaan)
11:23.0,A. Baynes misses 2-pt shot from 6 ft,,35-17,,
11:20.0,,,35-17,,Defensive rebound by J. Sampson
11:11.0,,,35-19,2,J. Okafor makes 2-pt shot from 2 ft
10:56.0,S. Johnson makes 2-pt shot at rim (assist by A. Baynes),2,37-19,,
10:42.0,,,37-21,2,J. Okafor makes 2-pt shot from 1 ft
10:26.0,S. Johnson misses 2-pt shot from 17 ft,,37-21,,
10:25.0,,,37-21,,Defensive rebound by J. Okafor
10:12.0,,,37-23,2,J. Sampson makes 2-pt shot at rim (assist by K. Marshall)
10:04.0,Detroit full timeout,,37-23,,
9:49.0,A. Baynes makes 2-pt shot at rim (assist by S. Blake),2,39-23,,
9:41.0,,,39-26,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Canaan)
9:22.0,S. Johnson misses 2-pt shot from 14 ft,,39-26,,
9:20.0,,,39-26,,Defensive rebound by J. Sampson
9:08.0,,,39-28,2,J. Okafor makes 2-pt shot from 1 ft
8:49.0,D. Hilliard misses 2-pt shot from 17 ft,,39-28,,
8:48.0,Offensive rebound by A. Baynes,,39-28,,
8:41.0,A. Tolliver misses 3-pt shot from 23 ft,,39-28,,
8:40.0,,,39-28,,Defensive rebound by I. Canaan
8:28.0,,,39-31,3,K. Marshall makes 3-pt shot from 25 ft (assist by J. Sampson)
8:02.0,Shooting foul by J. Sampson (drawn by A. Tolliver),,39-31,,
8:02.0,,,39-31,,T. McConnell enters the game for K. Marshall
8:02.0,A. Tolliver makes free throw 1 of 2,1,40-31,,
8:02.0,M. Morris enters the game for A. Baynes,,40-31,,
8:02.0,,,40-31,,N. Noel enters the game for J. Okafor
8:02.0,A. Drummond enters the game for S. Johnson,,40-31,,
8:02.0,A. Tolliver makes free throw 2 of 2,1,41-31,,
7:52.0,,,41-31,,R. Covington misses 3-pt shot from 26 ft (block by M. Morris)
7:51.0,,,41-31,,Offensive rebound by R. Covington
7:48.0,Personal foul by M. Morris (drawn by R. Covington),,41-31,,
7:39.0,,,41-31,,Turnover by T. McConnell (traveling)
7:24.0,Turnover by M. Morris (inbound),,41-31,,
7:08.0,,,41-31,,J. Sampson misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by S. Blake,,41-31,,
6:56.0,A. Tolliver misses 3-pt shot from 23 ft,,41-31,,
6:55.0,,,41-31,,Defensive rebound by T. McConnell
6:43.0,,,41-31,,J. Sampson misses 2-pt shot from 2 ft
6:41.0,Defensive rebound by A. Tolliver,,41-31,,
6:40.0,,,41-31,,J. Grant enters the game for J. Sampson
6:40.0,R. Jackson enters the game for S. Blake,,41-31,,
6:30.0,R. Jackson misses 2-pt shot from 19 ft,,41-31,,
6:28.0,,,41-31,,Defensive rebound by R. Covington
6:18.0,,,41-34,3,I. Canaan makes 3-pt shot from 25 ft (assist by T. McConnell)
6:01.0,D. Hilliard misses 2-pt shot from 22 ft,,41-34,,
6:00.0,,,41-34,,Defensive rebound by T. McConnell
5:55.0,,,41-34,,Philadelphia full timeout
5:55.0,K. Caldwell-Pope enters the game for D. Hilliard,,41-34,,
5:45.0,,,41-34,,Turnover by R. Covington (lost ball; steal by M. Morris)
5:43.0,Turnover by M. Morris (lost ball; steal by J. Grant),,41-34,,
5:38.0,,,41-36,2,J. Grant makes 2-pt shot from 3 ft
5:22.0,R. Jackson misses 2-pt shot from 1 ft,,41-36,,
5:20.0,Offensive rebound by A. Drummond,,41-36,,
5:20.0,A. Drummond makes 2-pt shot at rim,2,43-36,,
5:09.0,,,43-36,,Turnover by R. Covington (bad pass; steal by A. Drummond)
4:59.0,A. Drummond misses 2-pt shot from 2 ft,,43-36,,
4:57.0,Offensive rebound by A. Drummond,,43-36,,
4:57.0,,,43-36,,Personal foul by R. Covington (drawn by A. Drummond)
4:57.0,E. Ilyasova enters the game for A. Tolliver,,43-36,,
4:57.0,,,43-36,,H. Thompson enters the game for R. Covington
4:51.0,E. Ilyasova misses 3-pt shot from 25 ft,,43-36,,
4:49.0,,,43-36,,Defensive rebound by N. Noel
4:43.0,,,43-38,2,T. McConnell makes 2-pt shot from 9 ft
4:28.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,43-38,,
4:27.0,Offensive rebound by A. Drummond,,43-38,,
4:27.0,A. Drummond misses 2-pt shot from 1 ft,,43-38,,
4:27.0,Offensive rebound by A. Drummond,,43-38,,
4:27.0,Shooting foul by J. Grant (drawn by A. Drummond),,43-38,,
4:27.0,A. Drummond misses free throw 1 of 2,,43-38,,
4:27.0,Offensive rebound by Team,,43-38,,
4:27.0,A. Drummond makes free throw 2 of 2,1,44-38,,
4:17.0,,,44-40,2,J. Grant makes 2-pt shot from 7 ft (assist by T. McConnell)
3:58.0,M. Morris makes 2-pt shot from 11 ft,2,46-40,,
3:41.0,,,46-40,,Shooting foul by A. Drummond (drawn by N. Noel)
3:41.0,,,46-40,,N. Noel misses free throw 1 of 2
3:41.0,,,46-40,,Offensive rebound by Team
3:41.0,,,46-41,1,N. Noel makes free throw 2 of 2
3:25.0,E. Ilyasova misses 2-pt shot from 2 ft (block by J. Grant),,46-41,,
3:25.0,Offensive rebound by Team,,46-41,,
3:25.0,,,46-41,,J. Okafor enters the game for J. Grant
3:23.0,R. Jackson makes 2-pt shot from 2 ft (assist by M. Morris),2,48-41,,
3:00.0,,,48-43,2,J. Okafor makes 2-pt shot from 15 ft (assist by T. McConnell)
2:47.0,R. Jackson misses 2-pt shot from 9 ft,,48-43,,
2:46.0,Offensive rebound by R. Jackson,,48-43,,
2:41.0,Shooting foul by T. McConnell (drawn by K. Caldwell-Pope),,48-43,,
2:41.0,Official timeout,,48-43,,
2:41.0,K. Caldwell-Pope misses free throw 1 of 2,,48-43,,
2:41.0,Offensive rebound by Team,,48-43,,
2:41.0,A. Baynes enters the game for A. Drummond,,48-43,,
2:41.0,,,48-43,,N. Stauskas enters the game for T. McConnell
2:41.0,K. Caldwell-Pope makes free throw 2 of 2,1,49-43,,
2:21.0,,,49-43,,Offensive charge foul by N. Noel
2:21.0,,,49-43,,Turnover by N. Noel (offensive foul)
2:07.0,A. Baynes makes 2-pt shot from 2 ft (assist by M. Morris),2,51-43,,
1:41.0,,,51-43,,I. Canaan misses 3-pt shot from 28 ft
1:40.0,,,51-43,,Offensive rebound by N. Noel
1:40.0,,,51-43,,Shooting foul by E. Ilyasova (drawn by N. Noel)
1:40.0,,,51-43,,N. Noel misses free throw 1 of 2
1:40.0,,,51-43,,Offensive rebound by Team
1:40.0,,,51-43,,R. Covington enters the game for N. Stauskas
1:40.0,A. Tolliver enters the game for E. Ilyasova,,51-43,,
1:40.0,,,51-43,,N. Noel misses free throw 2 of 2
1:39.0,Defensive rebound by M. Morris,,51-43,,
1:28.0,R. Jackson makes 2-pt shot from 1 ft,2,53-43,,
1:09.0,,,53-43,,R. Covington misses 2-pt shot from 14 ft
1:08.0,Defensive rebound by K. Caldwell-Pope,,53-43,,
1:03.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,56-43,,
0:52.0,Personal foul by A. Baynes (drawn by I. Canaan),,56-43,,
0:52.0,,,56-44,1,I. Canaan makes free throw 1 of 2
0:52.0,,,56-45,1,I. Canaan makes free throw 2 of 2
0:41.0,A. Baynes makes 2-pt shot from 7 ft,2,58-45,,
0:28.0,,,58-45,,R. Covington misses 2-pt shot from 1 ft
0:25.0,,,58-45,,Offensive rebound by H. Thompson
0:25.0,,,58-45,,H. Thompson misses 2-pt shot at rim
0:24.0,,,58-45,,Offensive rebound by R. Covington
0:24.0,,,58-45,,R. Covington misses 2-pt shot from 2 ft (block by A. Baynes)
0:24.0,,,58-45,,Offensive rebound by J. Okafor
0:24.0,,,58-45,,Shooting foul by A. Baynes (drawn by J. Okafor)
0:24.0,,,58-45,,J. Okafor misses free throw 1 of 2
0:24.0,,,58-45,,Offensive rebound by Team
0:24.0,,,58-45,,J. Grant enters the game for H. Thompson
0:24.0,,,58-45,,J. Sampson enters the game for I. Canaan
0:24.0,,,58-46,1,J. Okafor makes free throw 2 of 2
0:01.0,R. Jackson misses 2-pt shot from 5 ft,,58-46,,
0:00.0,,,58-46,,Defensive rebound by N. Noel
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,58-46,,Turnover by R. Covington (traveling)
11:34.0,M. Morris misses 2-pt shot from 15 ft,,58-46,,
11:32.0,,,58-46,,Defensive rebound by T. McConnell
11:21.0,,,58-46,,Shooting foul by E. Ilyasova (drawn by N. Noel)
11:21.0,,,58-47,1,N. Noel makes free throw 1 of 2
11:21.0,,,58-47,,N. Noel misses free throw 2 of 2
11:20.0,Defensive rebound by M. Morris,,58-47,,
10:59.0,M. Morris misses 2-pt shot from 9 ft,,58-47,,
10:58.0,Offensive rebound by E. Ilyasova,,58-47,,
10:58.0,E. Ilyasova makes 2-pt shot at rim,2,60-47,,
10:41.0,,,60-49,2,J. Okafor makes 2-pt shot from 10 ft
10:31.0,R. Jackson misses 2-pt shot from 2 ft,,60-49,,
10:28.0,,,60-49,,Defensive rebound by J. Okafor
10:14.0,,,60-49,,I. Canaan misses 2-pt shot from 13 ft
10:11.0,,,60-49,,Offensive rebound by J. Okafor
10:11.0,,,60-49,,J. Okafor misses 2-pt shot at rim
10:08.0,Defensive rebound by M. Morris,,60-49,,
10:05.0,M. Morris makes 2-pt shot from 21 ft,2,62-49,,
9:37.0,,,62-49,,R. Covington misses 3-pt shot from 22 ft
9:35.0,,,62-49,,Offensive rebound by T. McConnell
9:34.0,,,62-49,,T. McConnell misses 2-pt shot from 3 ft
9:33.0,,,62-49,,Offensive rebound by N. Noel
9:33.0,,,62-51,2,N. Noel makes 2-pt shot at rim
9:15.0,Shooting foul by J. Okafor (drawn by M. Morris),,62-51,,
9:15.0,M. Morris makes free throw 1 of 2,1,63-51,,
9:15.0,,,63-51,,N. Stauskas enters the game for I. Canaan
9:15.0,M. Morris makes free throw 2 of 2,1,64-51,,
9:05.0,,,64-51,,Turnover by N. Noel (bad pass)
9:05.0,,,64-51,,J. Grant enters the game for N. Noel
8:52.0,R. Jackson makes 2-pt shot from 11 ft,2,66-51,,
8:39.0,,,66-51,,Turnover by T. McConnell (lost ball)
8:26.0,R. Jackson makes 2-pt shot from 14 ft,2,68-51,,
8:25.0,,,68-51,,Philadelphia full timeout
8:25.0,,,68-51,,K. Marshall enters the game for T. McConnell
8:12.0,,,68-51,,J. Okafor misses 2-pt shot from 2 ft (block by A. Drummond)
8:09.0,Defensive rebound by R. Jackson,,68-51,,
8:04.0,M. Morris makes 3-pt shot from 22 ft (assist by E. Ilyasova),3,71-51,,
7:44.0,,,71-51,,R. Covington misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by E. Ilyasova,,71-51,,
7:32.0,E. Ilyasova misses 3-pt shot from 27 ft,,71-51,,
7:30.0,,,71-51,,Defensive rebound by R. Covington
7:22.0,,,71-51,,K. Marshall misses 2-pt shot from 2 ft (block by A. Drummond)
7:20.0,Defensive rebound by R. Jackson,,71-51,,
7:16.0,E. Ilyasova misses 2-pt shot from 6 ft (block by J. Grant),,71-51,,
7:14.0,Offensive rebound by M. Morris,,71-51,,
7:10.0,M. Morris makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope),3,74-51,,
6:49.0,,,74-51,,R. Covington misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by R. Jackson,,74-51,,
6:39.0,E. Ilyasova misses 3-pt shot from 26 ft,,74-51,,
6:38.0,,,74-51,,Defensive rebound by Team
6:38.0,,,74-51,,J. Sampson enters the game for N. Stauskas
6:38.0,,,74-51,,H. Thompson enters the game for R. Covington
6:38.0,,,74-51,,N. Noel enters the game for J. Okafor
6:26.0,,,74-51,,Turnover by K. Marshall (bad pass)
6:06.0,R. Jackson misses 3-pt shot from 25 ft,,74-51,,
6:04.0,Offensive rebound by A. Drummond,,74-51,,
6:00.0,A. Drummond makes 2-pt shot from 4 ft,2,76-51,,
5:47.0,,,76-51,,Turnover by J. Sampson (offensive foul)
5:47.0,,,76-51,,Offensive charge foul by J. Sampson
5:37.0,Turnover by R. Jackson (bad pass; steal by N. Noel),,76-51,,
5:33.0,,,76-51,,Shooting foul by R. Jackson (drawn by J. Sampson)
5:33.0,,,76-53,2,J. Sampson makes 2-pt shot from 2 ft
5:33.0,,,76-53,,J. Sampson misses free throw 1 of 1
5:31.0,Defensive rebound by A. Drummond,,76-53,,
5:24.0,R. Jackson misses 2-pt shot from 4 ft,,76-53,,
5:22.0,Offensive rebound by R. Jackson,,76-53,,
5:17.0,E. Ilyasova misses 3-pt shot from 26 ft,,76-53,,
5:15.0,,,76-53,,Defensive rebound by N. Noel
5:15.0,Loose ball foul by A. Drummond (drawn by N. Noel),,76-53,,
5:03.0,,,76-55,2,N. Noel makes 2-pt shot from 3 ft (assist by K. Marshall)
4:47.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,76-55,,
4:45.0,,,76-55,,Defensive rebound by J. Sampson
4:40.0,,,76-55,,Offensive charge foul by J. Sampson
4:40.0,,,76-55,,Turnover by J. Sampson (offensive foul)
4:25.0,R. Jackson makes 2-pt shot at rim,2,78-55,,
4:14.0,,,78-57,2,K. Marshall makes 2-pt shot from 2 ft
3:48.0,M. Morris makes 3-pt shot from 28 ft,3,81-57,,
3:36.0,,,81-57,,K. Marshall misses 2-pt shot from 1 ft
3:34.0,,,81-57,,Offensive rebound by J. Sampson
3:33.0,,,81-57,,J. Sampson misses 2-pt shot from 4 ft
3:31.0,Defensive rebound by M. Morris,,81-57,,
3:26.0,A. Drummond makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,83-57,,
3:25.0,,,83-57,,Philadelphia full timeout
3:25.0,,,83-57,,I. Canaan enters the game for K. Marshall
3:25.0,,,83-57,,R. Covington enters the game for J. Sampson
3:25.0,S. Johnson enters the game for R. Jackson,,83-57,,
3:25.0,S. Blake enters the game for M. Morris,,83-57,,
3:02.0,,,83-57,,I. Canaan misses 2-pt shot from 3 ft (block by S. Johnson)
3:00.0,Defensive rebound by E. Ilyasova,,83-57,,
2:54.0,A. Drummond makes 2-pt shot from 6 ft,2,85-57,,
2:41.0,,,85-59,2,J. Grant makes 2-pt shot from 1 ft
2:24.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by S. Blake),3,88-59,,
2:11.0,Personal foul by S. Blake (drawn by J. Grant),,88-59,,
2:11.0,Detroit full timeout,,88-59,,
2:00.0,,,88-61,2,N. Noel makes 2-pt shot from 12 ft (assist by J. Grant)
1:43.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,88-61,,
1:42.0,,,88-61,,Defensive rebound by N. Noel
1:32.0,,,88-61,,J. Grant misses 2-pt shot from 3 ft (block by E. Ilyasova)
1:30.0,Defensive rebound by A. Drummond,,88-61,,
1:26.0,Shooting foul by R. Covington (drawn by A. Drummond),,88-61,,
1:26.0,A. Drummond misses free throw 1 of 2,,88-61,,
1:26.0,Offensive rebound by Team,,88-61,,
1:26.0,A. Drummond misses free throw 2 of 2,,88-61,,
1:23.0,,,88-61,,Defensive rebound by R. Covington
1:10.0,,,88-61,,I. Canaan misses 3-pt shot from 26 ft
1:08.0,Defensive rebound by K. Caldwell-Pope,,88-61,,
1:02.0,,,88-61,,Personal foul by I. Canaan (drawn by A. Drummond)
1:02.0,A. Drummond makes free throw 1 of 2,1,89-61,,
1:02.0,,,89-61,,T. McConnell enters the game for I. Canaan
1:02.0,A. Drummond misses free throw 2 of 2,,89-61,,
1:01.0,,,89-61,,Defensive rebound by N. Noel
0:51.0,,,89-61,,T. McConnell misses 2-pt shot from 8 ft
0:50.0,Defensive rebound by A. Drummond,,89-61,,
0:46.0,Turnover by A. Drummond (bad pass; steal by T. McConnell),,89-61,,
0:43.0,Shooting block foul by K. Caldwell-Pope (drawn by R. Covington),,89-61,,
0:43.0,,,89-63,2,R. Covington makes 2-pt shot from 3 ft (assist by T. McConnell)
0:43.0,A. Baynes enters the game for A. Drummond,,89-63,,
0:43.0,,,89-64,1,R. Covington makes free throw 1 of 1
0:28.0,Turnover by S. Blake (bad pass),,89-64,,
0:07.0,Shooting block foul by A. Baynes (drawn by N. Noel),,89-64,,
0:07.0,,,89-65,1,N. Noel makes free throw 1 of 2
0:07.0,,,89-65,,J. Sampson enters the game for H. Thompson
0:07.0,,,89-66,1,N. Noel makes free throw 2 of 2
0:01.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,89-66,,
0:00.0,Offensive rebound by Team,,89-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Turnover by S. Johnson (lost ball),,89-66,,
11:40.0,,,89-66,,K. Marshall enters the game for T. McConnell
11:36.0,Personal foul by S. Blake (drawn by K. Marshall),,89-66,,
11:36.0,K. Caldwell-Pope enters the game for S. Johnson,,89-66,,
11:24.0,,,89-66,,J. Sampson misses 3-pt shot from 27 ft
11:22.0,Defensive rebound by M. Morris,,89-66,,
11:05.0,S. Blake misses 3-pt shot from 25 ft,,89-66,,
11:03.0,,,89-66,,Defensive rebound by K. Marshall
10:55.0,,,89-68,2,R. Covington makes 2-pt shot from 1 ft (assist by K. Marshall)
10:38.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by A. Tolliver),3,92-68,,
10:28.0,Personal foul by S. Blake (drawn by K. Marshall),,92-68,,
10:28.0,,,92-68,,H. Thompson enters the game for J. Sampson
10:16.0,,,92-68,,J. Okafor misses 2-pt shot from 13 ft
10:14.0,Defensive rebound by A. Tolliver,,92-68,,
10:09.0,Shooting foul by J. Okafor (drawn by M. Morris),,92-68,,
10:09.0,M. Morris makes free throw 1 of 2,1,93-68,,
10:09.0,M. Morris makes free throw 2 of 2,1,94-68,,
10:09.0,,,94-68,,Philadelphia full timeout
9:52.0,,,94-68,,J. Okafor misses 2-pt shot from 7 ft
9:50.0,Defensive rebound by A. Tolliver,,94-68,,
9:28.0,Turnover by A. Baynes (bad pass; steal by R. Covington),,94-68,,
9:24.0,,,94-70,2,N. Stauskas makes 2-pt shot at rim (assist by R. Covington)
9:04.0,M. Morris makes 2-pt shot from 14 ft (assist by S. Blake),2,96-70,,
8:53.0,,,96-72,2,J. Okafor makes 2-pt shot from 2 ft (assist by K. Marshall)
8:53.0,,,96-72,,Shooting foul by A. Baynes (drawn by J. Okafor)
8:53.0,S. Johnson enters the game for K. Caldwell-Pope,,96-72,,
8:53.0,,,96-73,1,J. Okafor makes free throw 1 of 1
8:41.0,Turnover by M. Morris (traveling),,96-73,,
8:27.0,,,96-75,2,J. Okafor makes 2-pt shot from 5 ft (assist by K. Marshall)
8:08.0,S. Blake makes 2-pt shot from 16 ft,2,98-75,,
7:52.0,,,98-75,,R. Covington misses 2-pt shot from 4 ft
7:50.0,Defensive rebound by A. Baynes,,98-75,,
7:46.0,S. Johnson makes 2-pt shot at rim (assist by S. Blake),2,100-75,,
7:44.0,,,100-75,,Philadelphia full timeout
7:44.0,,,100-75,,T. McConnell enters the game for K. Marshall
7:44.0,R. Jackson enters the game for S. Blake,,100-75,,
7:32.0,,,100-75,,R. Covington misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by M. Morris,,100-75,,
7:17.0,Turnover by A. Baynes (offensive foul),,100-75,,
7:17.0,Offensive foul by A. Baynes,,100-75,,
7:03.0,,,100-75,,Shooting foul by M. Morris (drawn by R. Covington)
7:03.0,,,100-76,1,R. Covington makes free throw 1 of 2
7:03.0,A. Drummond enters the game for A. Baynes,,100-76,,
7:03.0,,,100-77,1,R. Covington makes free throw 2 of 2
6:49.0,S. Johnson misses 3-pt shot from 24 ft,,100-77,,
6:47.0,,,100-77,,Defensive rebound by R. Covington
6:35.0,,,100-79,2,J. Okafor makes 2-pt shot from 2 ft (assist by T. McConnell)
