time,San Antonio,pts.away,score,pts.home,Indiana
7:29.0,L. Aldridge makes 2-pt shot at rim (assist by T. Duncan),2,22-34,,
7:15.0,,,22-34,,Turnover by M. Turner (lost ball; steal by K. Anderson)
7:10.0,K. Anderson misses 2-pt shot from 1 ft (block by M. Ellis),,22-34,,
7:08.0,,,22-34,,Defensive rebound by M. Turner
6:59.0,,,22-34,,M. Turner misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by T. Duncan,,22-34,,
6:49.0,L. Aldridge misses 2-pt shot from 19 ft,,22-34,,
6:47.0,Offensive rebound by T. Duncan,,22-34,,
6:33.0,P. Mills misses 3-pt shot from 25 ft,,22-34,,
6:32.0,,,22-34,,Defensive rebound by J. Hill
6:23.0,,,22-36,2,M. Ellis makes 2-pt shot from 17 ft
6:07.0,L. Aldridge makes 2-pt shot at rim,2,24-36,,
6:07.0,,,24-36,,Indiana full timeout
6:07.0,,,24-36,,G. Hill enters the game for R. Stuckey
6:07.0,T. Parker enters the game for D. Green,,24-36,,
6:07.0,K. Leonard enters the game for P. Mills,,24-36,,
5:53.0,,,24-38,2,J. Hill makes 2-pt shot from 18 ft (assist by G. Hill)
5:29.0,,,24-38,,Violation by M. Turner (def goaltending)
5:29.0,L. Aldridge makes 2-pt shot at rim,2,26-38,,
5:16.0,,,26-38,,J. Hill misses 2-pt shot from 20 ft
5:14.0,Defensive rebound by K. Anderson,,26-38,,
5:04.0,Turnover by K. Leonard (bad pass),,26-38,,
5:04.0,M. Ginobili enters the game for K. Anderson,,26-38,,
4:48.0,,,26-38,,J. Hill misses 2-pt shot from 1 ft (block by L. Aldridge)
4:48.0,Defensive rebound by Team,,26-38,,
4:30.0,L. Aldridge misses 2-pt shot from 18 ft,,26-38,,
4:29.0,,,26-38,,Defensive rebound by G. Hill
4:21.0,,,26-40,2,M. Turner makes 2-pt shot from 3 ft (assist by M. Ellis)
4:10.0,Shooting foul by M. Ellis (drawn by T. Duncan),,26-40,,
4:10.0,T. Duncan makes free throw 1 of 2,1,27-40,,
4:10.0,,,27-40,,P. George enters the game for S. Hill
4:10.0,,,27-40,,I. Mahinmi enters the game for J. Hill
4:10.0,T. Duncan makes free throw 2 of 2,1,28-40,,
3:56.0,,,28-40,,M. Ellis misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by T. Duncan,,28-40,,
3:41.0,L. Aldridge misses 2-pt shot from 8 ft,,28-40,,
3:40.0,Offensive rebound by T. Duncan,,28-40,,
3:40.0,T. Duncan misses 2-pt shot at rim,,28-40,,
3:38.0,,,28-40,,Defensive rebound by G. Hill
3:24.0,Personal foul by T. Duncan (drawn by I. Mahinmi),,28-40,,
3:07.0,,,28-40,,G. Hill misses 2-pt shot from 21 ft
3:06.0,Defensive rebound by T. Duncan,,28-40,,
2:56.0,T. Duncan misses 2-pt shot from 1 ft (block by P. George),,28-40,,
2:54.0,,,28-40,,Defensive rebound by M. Turner
2:48.0,,,28-40,,G. Hill misses 3-pt shot from 24 ft
2:46.0,,,28-40,,Offensive rebound by M. Turner
2:46.0,,,28-40,,Shooting foul by L. Aldridge (drawn by M. Turner)
2:46.0,San Antonio full timeout,,28-40,,
2:46.0,,,28-40,,M. Turner misses free throw 1 of 2
2:46.0,,,28-40,,Offensive rebound by Team
2:46.0,,,28-41,1,M. Turner makes free throw 2 of 2
2:27.0,K. Leonard makes 2-pt shot at rim,2,30-41,,
2:09.0,,,30-43,2,P. George makes 2-pt shot from 19 ft (assist by M. Ellis)
1:50.0,M. Ginobili misses 3-pt shot from 24 ft,,30-43,,
1:49.0,,,30-43,,Defensive rebound by Team
1:49.0,,,30-43,,J. Hill enters the game for M. Turner
1:49.0,D. West enters the game for T. Duncan,,30-43,,
1:33.0,,,30-43,,I. Mahinmi misses 2-pt shot from 16 ft
1:32.0,Defensive rebound by L. Aldridge,,30-43,,
1:12.0,M. Ginobili makes 2-pt shot at rim (assist by T. Parker),2,32-43,,
0:56.0,,,32-43,,M. Ellis misses 2-pt shot from 19 ft
0:55.0,,,32-43,,Offensive rebound by I. Mahinmi
0:54.0,,,32-43,,Shooting foul by M. Ginobili (drawn by I. Mahinmi)
0:54.0,,,32-44,1,I. Mahinmi makes free throw 1 of 2
0:54.0,,,32-45,1,I. Mahinmi makes free throw 2 of 2
0:38.0,K. Leonard misses 2-pt shot from 1 ft,,32-45,,
0:37.0,,,32-45,,Defensive rebound by J. Hill
0:30.0,,,32-45,,P. George misses 2-pt shot from 16 ft
0:28.0,Defensive rebound by L. Aldridge,,32-45,,
0:06.0,D. West misses 2-pt shot from 21 ft,,32-45,,
0:05.0,,,32-45,,Defensive rebound by G. Hill
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,32-45,,Turnover by I. Mahinmi (lost ball; steal by T. Duncan)
11:40.0,D. Green makes 2-pt shot at rim (assist by T. Parker),2,34-45,,
11:22.0,,,34-45,,I. Mahinmi misses 2-pt shot from 6 ft
11:21.0,Defensive rebound by T. Duncan,,34-45,,
11:06.0,L. Aldridge makes 2-pt shot from 7 ft,2,36-45,,
10:54.0,,,36-45,,G. Hill misses 3-pt shot from 27 ft
10:53.0,Defensive rebound by T. Duncan,,36-45,,
10:47.0,T. Parker misses 2-pt shot at rim (block by M. Turner),,36-45,,
10:45.0,,,36-45,,Defensive rebound by P. George
10:30.0,,,36-45,,P. George misses 2-pt shot from 16 ft (block by T. Duncan)
10:30.0,Defensive rebound by Team,,36-45,,
10:10.0,T. Parker makes 2-pt shot at rim,2,38-45,,
10:09.0,,,38-45,,Turnover by I. Mahinmi (bad pass; steal by D. Green)
10:07.0,,,38-45,,Personal foul by I. Mahinmi (drawn by D. Green)
9:57.0,L. Aldridge misses 2-pt shot from 1 ft,,38-45,,
9:56.0,,,38-45,,Defensive rebound by M. Ellis
9:51.0,,,38-45,,Turnover by G. Hill (lost ball)
9:39.0,Turnover by T. Parker (bad pass),,38-45,,
9:21.0,,,38-45,,P. George misses 2-pt shot at rim
9:20.0,,,38-45,,Offensive rebound by P. George
9:20.0,,,38-45,,P. George misses 2-pt shot at rim
9:19.0,,,38-45,,Offensive rebound by I. Mahinmi
9:19.0,,,38-47,2,I. Mahinmi makes 2-pt shot at rim
9:04.0,Turnover by T. Duncan (bad pass; steal by P. George),,38-47,,
9:00.0,,,38-49,2,G. Hill makes 2-pt shot at rim (assist by P. George)
8:57.0,San Antonio full timeout,,38-49,,
8:47.0,K. Leonard makes 2-pt shot from 16 ft,2,40-49,,
8:30.0,,,40-49,,Turnover by M. Ellis (bad pass; steal by L. Aldridge)
8:16.0,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker),2,42-49,,
8:02.0,,,42-49,,G. Hill misses 2-pt shot from 1 ft (block by L. Aldridge)
8:00.0,Defensive rebound by T. Parker,,42-49,,
7:42.0,K. Leonard misses 2-pt shot at rim,,42-49,,
7:41.0,,,42-49,,Defensive rebound by M. Turner
7:35.0,,,42-49,,Shooting foul by L. Aldridge (drawn by M. Ellis)
7:35.0,,,42-50,1,M. Ellis makes free throw 1 of 2
7:35.0,,,42-51,1,M. Ellis makes free throw 2 of 2
7:26.0,L. Aldridge makes 2-pt shot at rim (assist by T. Duncan),2,44-51,,
7:08.0,Personal foul by T. Duncan (drawn by M. Ellis),,44-51,,
6:57.0,,,44-53,2,P. George makes 2-pt shot from 19 ft (assist by I. Mahinmi)
6:43.0,L. Aldridge makes 2-pt shot from 16 ft (assist by T. Parker),2,46-53,,
6:28.0,,,46-55,2,M. Turner makes 2-pt shot from 18 ft (assist by G. Hill)
6:15.0,T. Parker misses 2-pt shot from 20 ft,,46-55,,
6:13.0,Offensive rebound by T. Duncan,,46-55,,
6:13.0,T. Duncan makes 2-pt shot from 1 ft,2,48-55,,
6:13.0,Shooting foul by I. Mahinmi (drawn by T. Duncan),,48-55,,
6:13.0,T. Duncan makes free throw 1 of 1,1,49-55,,
6:01.0,,,49-55,,Shooting foul by T. Duncan (drawn by M. Ellis)
6:01.0,,,49-56,1,M. Ellis makes free throw 1 of 2
6:01.0,B. Diaw enters the game for T. Duncan,,49-56,,
6:01.0,,,49-57,1,M. Ellis makes free throw 2 of 2
5:36.0,K. Leonard misses 3-pt shot from 24 ft,,49-57,,
5:35.0,,,49-57,,Defensive rebound by Team
5:23.0,,,49-57,,P. George misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by B. Diaw,,49-57,,
5:11.0,L. Aldridge misses 2-pt shot from 7 ft,,49-57,,
5:11.0,,,49-57,,Defensive rebound by I. Mahinmi
5:04.0,,,49-59,2,M. Ellis makes 2-pt shot at rim
4:50.0,,,49-59,,Personal foul by P. George (drawn by K. Leonard)
4:50.0,,,49-59,,J. Hill enters the game for M. Turner
4:50.0,M. Ginobili enters the game for D. Green,,49-59,,
4:50.0,P. Mills enters the game for T. Parker,,49-59,,
4:40.0,Shooting foul by I. Mahinmi (drawn by L. Aldridge),,49-59,,
4:40.0,L. Aldridge makes free throw 1 of 2,1,50-59,,
4:40.0,,,50-59,,M. Turner enters the game for I. Mahinmi
4:40.0,,,50-59,,R. Stuckey enters the game for G. Hill
4:40.0,L. Aldridge makes free throw 2 of 2,1,51-59,,
4:25.0,,,51-59,,M. Turner misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by P. Mills,,51-59,,
4:09.0,K. Leonard makes 2-pt shot from 2 ft,2,53-59,,
3:52.0,Personal foul by M. Ginobili (drawn by R. Stuckey),,53-59,,
3:52.0,,,53-59,,Indiana full timeout
3:46.0,,,53-62,3,P. George makes 3-pt shot from 24 ft (assist by M. Turner)
3:28.0,P. Mills makes 3-pt shot from 23 ft (assist by B. Diaw),3,56-62,,
3:01.0,,,56-62,,R. Stuckey misses 2-pt shot from 21 ft
3:01.0,Defensive rebound by L. Aldridge,,56-62,,
2:45.0,P. Mills misses 3-pt shot from 26 ft,,56-62,,
2:44.0,,,56-62,,Defensive rebound by J. Hill
2:30.0,,,56-65,3,M. Ellis makes 3-pt shot from 23 ft (assist by R. Stuckey)
2:09.0,K. Leonard misses 3-pt shot from 26 ft,,56-65,,
2:09.0,,,56-65,,Defensive rebound by R. Stuckey
1:54.0,,,56-65,,M. Turner misses 2-pt shot from 12 ft
1:53.0,Defensive rebound by L. Aldridge,,56-65,,
1:38.0,B. Diaw misses 3-pt shot from 25 ft,,56-65,,
1:37.0,,,56-65,,Defensive rebound by J. Hill
1:30.0,Personal foul by M. Ginobili (drawn by P. George),,56-65,,
1:30.0,,,56-66,1,P. George makes free throw 1 of 2
1:30.0,D. West enters the game for L. Aldridge,,56-66,,
1:30.0,,,56-67,1,P. George makes free throw 2 of 2
1:15.0,P. Mills makes 3-pt shot from 22 ft (assist by M. Ginobili),3,59-67,,
1:01.0,Personal foul by K. Leonard (drawn by P. George),,59-67,,
1:01.0,,,59-68,1,P. George makes free throw 1 of 2
1:01.0,,,59-69,1,P. George makes free throw 2 of 2
0:54.0,Turnover by M. Ginobili (bad pass; steal by M. Ellis),,59-69,,
0:51.0,,,59-71,2,M. Ellis makes 2-pt shot at rim
0:38.0,B. Diaw misses 3-pt shot from 24 ft,,59-71,,
0:37.0,Offensive rebound by K. Leonard,,59-71,,
0:33.0,,,59-71,,Personal foul by P. George (drawn by K. Leonard)
0:33.0,K. Leonard misses free throw 1 of 2,,59-71,,
0:33.0,Offensive rebound by Team,,59-71,,
0:33.0,K. Leonard makes free throw 2 of 2,1,60-71,,
0:27.0,,,60-71,,Shooting foul by P. Mills (drawn by M. Ellis)
0:27.0,,,60-72,1,M. Ellis makes free throw 1 of 2
0:27.0,,,60-72,,S. Hill enters the game for M. Turner
0:27.0,,,60-73,1,M. Ellis makes free throw 2 of 2
0:04.0,M. Ginobili misses 3-pt shot from 25 ft,,60-73,,
0:03.0,Offensive rebound by B. Diaw,,60-73,,
0:00.0,K. Leonard misses 2-pt shot from 19 ft (block by M. Ellis),,60-73,,
0:00.0,Offensive rebound by D. West,,60-73,,
0:00.0,D. West makes 2-pt shot at rim,2,62-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,62-73,,Personal foul by R. Stuckey (drawn by P. Mills)
11:33.0,D. West makes 2-pt shot from 18 ft (assist by T. Parker),2,64-73,,
11:08.0,,,64-73,,R. Stuckey misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by K. Anderson,,64-73,,
10:56.0,Shooting foul by J. Hill (drawn by T. Parker),,64-73,,
10:56.0,T. Parker makes free throw 1 of 2,1,65-73,,
10:56.0,T. Parker makes free throw 2 of 2,1,66-73,,
10:37.0,,,66-73,,M. Turner misses 2-pt shot from 20 ft
10:37.0,,,66-73,,Offensive rebound by J. Hill
10:34.0,,,66-75,2,J. Hill makes 2-pt shot at rim
10:25.0,T. Parker misses 2-pt shot at rim,,66-75,,
10:25.0,,,66-75,,Defensive rebound by S. Hill
10:20.0,,,66-75,,Shooting foul by K. Anderson (drawn by M. Turner)
10:20.0,,,66-76,1,M. Turner makes free throw 1 of 2
10:20.0,T. Duncan enters the game for B. Diaw,,66-76,,
10:20.0,,,66-77,1,M. Turner makes free throw 2 of 2
10:05.0,T. Parker misses 2-pt shot from 19 ft,,66-77,,
10:04.0,,,66-77,,Defensive rebound by S. Hill
9:53.0,,,66-79,2,J. Hill makes 2-pt shot from 17 ft (assist by R. Stuckey)
9:41.0,Turnover by T. Parker (bad pass; steal by R. Stuckey),,66-79,,
9:33.0,,,66-82,3,S. Hill makes 3-pt shot from 26 ft (assist by G. Hill)
9:33.0,San Antonio full timeout,,66-82,,
9:33.0,K. Leonard enters the game for D. West,,66-82,,
9:33.0,D. Green enters the game for P. Mills,,66-82,,
9:33.0,L. Aldridge enters the game for K. Anderson,,66-82,,
9:20.0,L. Aldridge makes 2-pt shot from 8 ft (assist by K. Leonard),2,68-82,,
9:20.0,Shooting foul by M. Turner (drawn by L. Aldridge),,68-82,,
9:20.0,,,68-82,,I. Mahinmi enters the game for M. Turner
9:20.0,P. Mills enters the game for T. Parker,,68-82,,
9:20.0,L. Aldridge makes free throw 1 of 1,1,69-82,,
9:01.0,,,69-82,,J. Hill misses 2-pt shot from 1 ft
9:01.0,Defensive rebound by L. Aldridge,,69-82,,
8:54.0,K. Leonard misses 2-pt shot at rim (block by I. Mahinmi),,69-82,,
8:53.0,Offensive rebound by K. Leonard,,69-82,,
8:46.0,L. Aldridge misses 2-pt shot from 18 ft,,69-82,,
8:45.0,,,69-82,,Defensive rebound by I. Mahinmi
8:36.0,,,69-82,,S. Hill misses 3-pt shot from 25 ft
8:35.0,,,69-82,,Offensive rebound by Team
8:35.0,,,69-82,,P. George enters the game for S. Hill
8:26.0,,,69-84,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George)
8:13.0,T. Duncan makes 2-pt shot from 1 ft (assist by P. Mills),2,71-84,,
7:57.0,,,71-84,,R. Stuckey misses 2-pt shot from 11 ft
7:56.0,Defensive rebound by L. Aldridge,,71-84,,
7:45.0,P. Mills makes 3-pt shot from 26 ft (assist by K. Leonard),3,74-84,,
7:20.0,,,74-84,,P. George misses 2-pt shot from 20 ft
7:20.0,Defensive rebound by K. Leonard,,74-84,,
7:13.0,D. Green misses 3-pt shot from 24 ft,,74-84,,
7:11.0,,,74-84,,Defensive rebound by R. Stuckey
7:03.0,,,74-84,,M. Ellis enters the game for R. Stuckey
7:00.0,,,74-84,,M. Ellis misses 2-pt shot from 2 ft (block by T. Duncan)
6:59.0,Defensive rebound by T. Duncan,,74-84,,
6:56.0,P. Mills makes 2-pt shot at rim (assist by T. Duncan),2,76-84,,
6:55.0,,,76-84,,Indiana full timeout
6:35.0,,,76-86,2,P. George makes 2-pt shot from 15 ft
6:14.0,K. Leonard makes 2-pt shot from 11 ft,2,78-86,,
6:06.0,,,78-86,,P. George misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by T. Duncan,,78-86,,
5:56.0,Shooting foul by J. Hill (drawn by L. Aldridge),,78-86,,
5:56.0,L. Aldridge makes free throw 1 of 2,1,79-86,,
5:56.0,M. Ginobili enters the game for P. Mills,,79-86,,
5:56.0,L. Aldridge makes free throw 2 of 2,1,80-86,,
5:39.0,,,80-88,2,M. Ellis makes 2-pt shot from 17 ft
5:23.0,M. Ginobili misses 2-pt shot from 5 ft (block by I. Mahinmi),,80-88,,
5:22.0,Offensive rebound by T. Duncan,,80-88,,
5:19.0,T. Duncan makes 2-pt shot at rim,2,82-88,,
4:59.0,,,82-88,,M. Ellis misses 3-pt shot from 25 ft
4:58.0,,,82-88,,Offensive rebound by J. Hill
4:46.0,,,82-88,,Turnover by M. Ellis (traveling)
4:31.0,K. Leonard misses 3-pt shot from 26 ft,,82-88,,
4:31.0,,,82-88,,Defensive rebound by J. Hill
4:20.0,,,82-88,,Offensive foul by M. Ellis
4:20.0,,,82-88,,Turnover by M. Ellis (offensive foul)
4:20.0,D. West enters the game for T. Duncan,,82-88,,
4:20.0,,,82-88,,M. Turner enters the game for J. Hill
4:20.0,San Antonio full timeout,,82-88,,
4:04.0,Shooting foul by M. Turner (drawn by K. Leonard),,82-88,,
4:04.0,K. Leonard misses free throw 1 of 2,,82-88,,
4:04.0,Offensive rebound by Team,,82-88,,
4:04.0,K. Leonard makes free throw 2 of 2,1,83-88,,
3:48.0,,,83-88,,I. Mahinmi misses 2-pt shot from 8 ft
3:48.0,Defensive rebound by D. Green,,83-88,,
3:37.0,M. Ginobili misses 2-pt shot from 1 ft,,83-88,,
3:36.0,,,83-88,,Defensive rebound by M. Turner
3:28.0,,,83-88,,M. Ellis misses 2-pt shot from 17 ft
3:27.0,Defensive rebound by K. Leonard,,83-88,,
3:19.0,K. Leonard misses 2-pt shot from 9 ft,,83-88,,
3:19.0,,,83-88,,Defensive rebound by G. Hill
3:02.0,,,83-88,,M. Turner misses 2-pt shot from 19 ft
3:01.0,,,83-88,,Offensive rebound by I. Mahinmi
2:54.0,,,83-90,2,M. Ellis makes 2-pt shot from 1 ft (assist by I. Mahinmi)
2:39.0,,,83-90,,Personal foul by M. Ellis (drawn by K. Leonard)
2:39.0,Official timeout,,83-90,,
2:39.0,P. Mills enters the game for D. Green,,83-90,,
2:39.0,T. Duncan enters the game for D. West,,83-90,,
