time,Philadelphia,pts.away,score,pts.home,Denver
6:27.0,J. Grant misses 2-pt shot from 5 ft,,10-14,,
6:25.0,,,10-14,,Defensive rebound by N. Jokic
6:18.0,,,10-16,2,D. Arthur makes 2-pt shot from 20 ft
5:58.0,Shooting foul by J. Sampson (drawn by J. Grant),,10-16,,
5:58.0,J. Grant makes free throw 1 of 2,1,11-16,,
5:58.0,R. Holmes enters the game for C. Landry,,11-16,,
5:58.0,,,11-16,,W. Barton enters the game for J. Sampson
5:58.0,J. Grant makes free throw 2 of 2,1,12-16,,
5:48.0,,,12-18,2,N. Jokic makes 2-pt shot from 11 ft (assist by E. Mudiay)
5:48.0,Shooting block foul by R. Holmes (drawn by N. Jokic),,12-18,,
5:48.0,R. Covington enters the game for H. Thompson,,12-18,,
5:48.0,,,12-18,,N. Jokic misses free throw 1 of 1
5:46.0,Defensive rebound by R. Holmes,,12-18,,
5:33.0,J. Grant makes 2-pt shot from 3 ft (assist by R. Holmes),2,14-18,,
5:22.0,,,14-18,,E. Mudiay misses 2-pt shot from 1 ft
5:22.0,Defensive rebound by R. Holmes,,14-18,,
5:14.0,I. Canaan misses 3-pt shot from 23 ft,,14-18,,
5:13.0,Offensive rebound by I. Smith,,14-18,,
5:08.0,I. Canaan misses 3-pt shot from 24 ft,,14-18,,
5:08.0,,,14-18,,Defensive rebound by D. Arthur
4:58.0,,,14-18,,Turnover by D. Arthur (lost ball; steal by J. Grant)
4:50.0,R. Holmes misses 2-pt shot from 1 ft (block by D. Arthur),,14-18,,
4:49.0,,,14-18,,Defensive rebound by Team
4:49.0,N. Stauskas enters the game for I. Canaan,,14-18,,
4:38.0,,,14-20,2,E. Mudiay makes 2-pt shot from 2 ft
4:32.0,N. Stauskas makes 2-pt shot at rim (assist by I. Smith),2,16-20,,
4:07.0,,,16-22,2,N. Jokic makes 2-pt shot from 8 ft
3:54.0,R. Covington makes 2-pt shot from 1 ft,2,18-22,,
3:54.0,,,18-22,,Denver full timeout
3:54.0,T. McConnell enters the game for J. Grant,,18-22,,
3:54.0,S. Weems enters the game for I. Smith,,18-22,,
3:54.0,,,18-22,,A. Toupane enters the game for D. Arthur
3:54.0,,,18-22,,D. Augustin enters the game for N. Jokic
3:54.0,,,18-22,,J. Lauvergne enters the game for E. Mudiay
3:50.0,,,18-22,,Turnover by W. Barton (lost ball; steal by R. Covington)
3:45.0,R. Covington makes 2-pt shot from 1 ft,2,20-22,,
3:24.0,,,20-22,,G. Harris misses 2-pt shot from 1 ft
3:23.0,Defensive rebound by R. Covington,,20-22,,
3:13.0,S. Weems makes 3-pt shot from 25 ft (assist by T. McConnell),3,23-22,,
2:56.0,,,23-22,,W. Barton misses 2-pt shot from 18 ft
2:55.0,Defensive rebound by N. Stauskas,,23-22,,
2:48.0,R. Covington makes 3-pt shot from 23 ft (assist by N. Stauskas),3,26-22,,
2:28.0,,,26-22,,J. Lauvergne misses 2-pt shot from 19 ft
2:27.0,Defensive rebound by T. McConnell,,26-22,,
2:20.0,Shooting foul by D. Augustin (drawn by T. McConnell),,26-22,,
2:20.0,T. McConnell makes free throw 1 of 2,1,27-22,,
2:20.0,T. McConnell makes free throw 2 of 2,1,28-22,,
2:08.0,,,28-22,,Turnover by W. Barton (traveling)
1:52.0,S. Weems makes 3-pt shot from 24 ft (assist by T. McConnell),3,31-22,,
1:41.0,,,31-22,,Offensive foul by J. Lauvergne
1:41.0,,,31-22,,Turnover by J. Lauvergne (offensive foul)
1:24.0,T. McConnell makes 2-pt shot from 4 ft,2,33-22,,
1:22.0,,,33-22,,Denver full timeout
1:22.0,,,33-22,,E. Mudiay enters the game for G. Harris
1:02.0,,,33-24,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by D. Augustin)
0:48.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,35-24,,
0:30.0,,,35-24,,Turnover by D. Augustin (lost ball; steal by N. Stauskas)
0:24.0,R. Covington misses 3-pt shot from 25 ft,,35-24,,
0:23.0,,,35-24,,Defensive rebound by Team
0:09.0,Personal take foul by N. Stauskas,,35-24,,
0:09.0,,,35-24,,G. Harris enters the game for A. Toupane
0:03.0,,,35-24,,E. Mudiay misses 2-pt shot from 10 ft
0:02.0,Defensive rebound by R. Holmes,,35-24,,
0:01.0,R. Holmes misses 3-pt shot from 84 ft,,35-24,,
0:00.0,Offensive rebound by Team,,35-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Landry misses 2-pt shot from 1 ft,,35-24,,
11:44.0,,,35-24,,Defensive rebound by J. Nurkic
11:24.0,,,35-24,,J. Nurkic misses 2-pt shot from 1 ft
11:23.0,Defensive rebound by R. Covington,,35-24,,
11:13.0,S. Weems misses 2-pt shot from 2 ft (block by J. Nurkic),,35-24,,
11:12.0,,,35-24,,Defensive rebound by J. Nurkic
11:00.0,,,35-24,,W. Barton misses 2-pt shot from 2 ft (block by R. Covington)
11:00.0,,,35-24,,Offensive rebound by W. Barton
11:00.0,,,35-24,,Turnover by W. Barton (step out of bounds)
10:38.0,T. McConnell makes 2-pt shot from 10 ft,2,37-24,,
10:24.0,Shooting block foul by C. Landry (drawn by J. Nurkic),,37-24,,
10:24.0,,,37-25,1,J. Nurkic makes free throw 1 of 2
10:24.0,H. Thompson enters the game for R. Covington,,37-25,,
10:24.0,,,37-26,1,J. Nurkic makes free throw 2 of 2
10:07.0,C. Landry makes 2-pt shot at rim (assist by N. Stauskas),2,39-26,,
9:55.0,,,39-28,2,J. Nurkic makes 2-pt shot from 2 ft (assist by E. Mudiay)
9:39.0,N. Stauskas misses 2-pt shot from 2 ft (block by E. Mudiay),,39-28,,
9:38.0,,,39-28,,Defensive rebound by J. Nurkic
9:36.0,,,39-28,,Turnover by A. Toupane (lost ball; steal by T. McConnell)
9:31.0,N. Stauskas misses 3-pt shot from 24 ft,,39-28,,
9:30.0,,,39-28,,Defensive rebound by A. Toupane
9:21.0,,,39-30,2,D. Augustin makes 2-pt shot from 11 ft (assist by W. Barton)
9:13.0,Philadelphia full timeout,,39-30,,
9:13.0,J. Grant enters the game for S. Weems,,39-30,,
8:54.0,T. McConnell makes 2-pt shot from 17 ft (assist by C. Landry),2,41-30,,
8:38.0,,,41-30,,J. Nurkic misses 2-pt shot from 2 ft
8:36.0,Defensive rebound by C. Landry,,41-30,,
8:26.0,H. Thompson misses 2-pt shot from 6 ft,,41-30,,
8:25.0,,,41-30,,Defensive rebound by J. Nurkic
8:18.0,,,41-30,,Shooting foul by T. McConnell (drawn by D. Augustin)
8:18.0,,,41-31,1,D. Augustin makes free throw 1 of 2
8:18.0,I. Canaan enters the game for N. Stauskas,,41-31,,
8:18.0,,,41-31,,D. Arthur enters the game for A. Toupane
8:18.0,,,41-32,1,D. Augustin makes free throw 2 of 2
8:04.0,J. Grant misses 2-pt shot at rim (block by J. Nurkic),,41-32,,
8:03.0,,,41-32,,Defensive rebound by W. Barton
7:58.0,,,41-34,2,E. Mudiay makes 2-pt shot at rim (assist by W. Barton)
7:34.0,H. Thompson misses 2-pt shot from 7 ft,,41-34,,
7:31.0,,,41-34,,Defensive rebound by W. Barton
7:28.0,,,41-34,,Offensive charge foul by W. Barton
7:28.0,,,41-34,,Turnover by W. Barton (offensive foul)
7:28.0,I. Smith enters the game for T. McConnell,,41-34,,
7:15.0,C. Landry misses 2-pt shot from 8 ft,,41-34,,
7:15.0,,,41-34,,Defensive rebound by D. Arthur
7:05.0,,,41-36,2,D. Arthur makes 2-pt shot from 19 ft (assist by D. Augustin)
6:45.0,C. Landry makes 2-pt shot from 16 ft (assist by J. Grant),2,43-36,,
6:24.0,,,43-36,,E. Mudiay misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by Team,,43-36,,
6:08.0,J. Grant misses 2-pt shot at rim,,43-36,,
6:06.0,,,43-36,,Defensive rebound by D. Arthur
5:56.0,Personal foul by C. Landry,,43-36,,
5:56.0,Official timeout,,43-36,,
5:56.0,E. Brand enters the game for C. Landry,,43-36,,
5:56.0,,,43-36,,G. Harris enters the game for W. Barton
5:45.0,,,43-36,,D. Arthur misses 2-pt shot from 21 ft
5:44.0,Defensive rebound by I. Smith,,43-36,,
5:39.0,I. Smith misses 2-pt shot from 10 ft,,43-36,,
5:38.0,,,43-36,,Defensive rebound by D. Augustin
5:27.0,,,43-38,2,G. Harris makes 2-pt shot from 14 ft (assist by D. Augustin)
5:07.0,J. Grant misses 2-pt shot from 3 ft (block by J. Nurkic),,43-38,,
5:05.0,,,43-38,,Defensive rebound by D. Augustin
4:56.0,,,43-41,3,G. Harris makes 3-pt shot from 23 ft (assist by D. Augustin)
4:32.0,I. Canaan misses 3-pt shot from 24 ft,,43-41,,
4:31.0,,,43-41,,Defensive rebound by J. Nurkic
4:25.0,,,43-41,,D. Augustin misses 3-pt shot from 24 ft (block by I. Smith)
4:23.0,,,43-41,,Offensive rebound by G. Harris
4:18.0,,,43-41,,D. Augustin misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by H. Thompson,,43-41,,
4:05.0,H. Thompson misses 2-pt shot from 22 ft,,43-41,,
4:04.0,,,43-41,,Defensive rebound by Team
3:45.0,,,43-41,,J. Nurkic misses 2-pt shot from 6 ft
3:43.0,Defensive rebound by E. Brand,,43-41,,
3:41.0,Turnover by E. Brand (lost ball; steal by J. Nurkic),,43-41,,
3:33.0,,,43-41,,D. Arthur misses 2-pt shot at rim
3:32.0,Defensive rebound by E. Brand,,43-41,,
3:32.0,,,43-41,,Personal foul by J. Nurkic
3:32.0,,,43-41,,N. Jokic enters the game for J. Nurkic
3:20.0,E. Brand misses 2-pt shot from 16 ft,,43-41,,
3:19.0,,,43-41,,Defensive rebound by Team
3:04.0,,,43-43,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
2:53.0,I. Smith misses 2-pt shot from 17 ft,,43-43,,
2:52.0,,,43-43,,Defensive rebound by E. Mudiay
2:51.0,,,43-43,,Shooting foul by E. Brand (drawn by E. Mudiay)
2:51.0,,,43-43,,Denver full timeout
2:51.0,R. Covington enters the game for J. Grant,,43-43,,
2:51.0,R. Holmes enters the game for E. Brand,,43-43,,
2:51.0,,,43-44,1,E. Mudiay makes free throw 1 of 2
2:51.0,,,43-45,1,E. Mudiay makes free throw 2 of 2
2:42.0,I. Canaan misses 3-pt shot from 26 ft,,43-45,,
2:41.0,,,43-45,,Defensive rebound by D. Arthur
2:23.0,,,43-45,,D. Augustin misses 3-pt shot from 23 ft
2:22.0,Defensive rebound by I. Canaan,,43-45,,
2:08.0,R. Covington misses 3-pt shot from 26 ft,,43-45,,
2:07.0,,,43-45,,Defensive rebound by N. Jokic
1:55.0,,,43-45,,Shooting foul by H. Thompson (drawn by D. Augustin)
1:55.0,,,43-46,1,D. Augustin makes free throw 1 of 2
1:55.0,N. Stauskas enters the game for I. Canaan,,43-46,,
1:55.0,T. McConnell enters the game for I. Smith,,43-46,,
1:55.0,S. Weems enters the game for H. Thompson,,43-46,,
1:55.0,,,43-47,1,D. Augustin makes free throw 2 of 2
1:40.0,R. Covington misses 2-pt shot from 2 ft (block by D. Arthur),,43-47,,
1:38.0,,,43-47,,Defensive rebound by N. Jokic
1:35.0,,,43-47,,Turnover by N. Jokic (lost ball; steal by R. Holmes)
1:30.0,R. Covington misses 3-pt shot from 23 ft,,43-47,,
1:27.0,Offensive rebound by T. McConnell,,43-47,,
1:25.0,Turnover by T. McConnell (lost ball; steal by D. Augustin),,43-47,,
1:20.0,,,43-49,2,E. Mudiay makes 2-pt shot from 1 ft (assist by D. Augustin)
1:12.0,T. McConnell makes 2-pt shot from 11 ft,2,45-49,,
1:00.0,Personal foul by R. Holmes,,45-49,,
1:00.0,,,45-49,,N. Jokic misses free throw 1 of 2
1:00.0,,,45-49,,Offensive rebound by Team
1:00.0,,,45-50,1,N. Jokic makes free throw 2 of 2
0:46.0,S. Weems misses 2-pt shot from 14 ft,,45-50,,
0:45.0,,,45-50,,Defensive rebound by E. Mudiay
0:42.0,Violation by R. Holmes (def goaltending),,45-50,,
0:42.0,,,45-52,2,E. Mudiay makes 2-pt shot from 2 ft
0:42.0,,,45-52,,Shooting foul by N. Stauskas (drawn by E. Mudiay)
0:42.0,,,45-53,1,E. Mudiay makes free throw 1 of 1
0:31.0,R. Covington misses 3-pt shot from 25 ft,,45-53,,
0:30.0,,,45-53,,Defensive rebound by N. Jokic
0:08.0,,,45-53,,D. Augustin misses 3-pt shot from 25 ft
0:07.0,,,45-53,,Offensive rebound by Team
0:07.0,,,45-53,,Turnover by Team (shot clock)
0:07.0,Philadelphia full timeout,,45-53,,
0:07.0,,,45-53,,A. Toupane enters the game for D. Arthur
0:04.0,,,45-53,,Personal foul by A. Toupane
0:01.0,T. McConnell misses 2-pt shot from 17 ft,,45-53,,
0:00.0,,,45-53,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,C. Landry makes 2-pt shot from 2 ft (assist by I. Canaan),2,47-53,,
11:31.0,,,47-53,,D. Arthur misses 2-pt shot from 18 ft
11:30.0,Defensive rebound by C. Landry,,47-53,,
11:14.0,Turnover by J. Grant (lost ball; steal by N. Jokic),,47-53,,
11:13.0,Personal block foul by H. Thompson,,47-53,,
10:58.0,,,47-55,2,J. Sampson makes 2-pt shot from 19 ft
10:37.0,C. Landry makes 2-pt shot from 21 ft (assist by I. Smith),2,49-55,,
10:26.0,,,49-55,,Shooting foul by I. Smith (drawn by J. Sampson)
10:26.0,,,49-56,1,J. Sampson makes free throw 1 of 2
10:26.0,,,49-56,,J. Sampson misses free throw 2 of 2
10:25.0,,,49-56,,Offensive rebound by D. Arthur
10:25.0,,,49-58,2,D. Arthur makes 2-pt shot from 1 ft
10:00.0,I. Canaan makes 3-pt shot from 24 ft (assist by I. Smith),3,52-58,,
9:42.0,,,52-58,,D. Arthur misses 2-pt shot from 14 ft
9:41.0,Defensive rebound by I. Smith,,52-58,,
9:39.0,Shooting foul by J. Sampson (drawn by I. Smith),,52-58,,
9:39.0,I. Smith makes free throw 1 of 2,1,53-58,,
9:39.0,I. Smith makes free throw 2 of 2,1,54-58,,
9:32.0,,,54-58,,J. Sampson misses 2-pt shot from 9 ft (block by H. Thompson)
9:30.0,Defensive rebound by I. Canaan,,54-58,,
9:18.0,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith),3,57-58,,
8:53.0,,,57-58,,E. Mudiay misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by C. Landry,,57-58,,
8:42.0,I. Canaan misses 3-pt shot from 23 ft,,57-58,,
8:41.0,Offensive rebound by I. Smith,,57-58,,
8:34.0,J. Grant misses 3-pt shot from 23 ft,,57-58,,
8:33.0,,,57-58,,Defensive rebound by N. Jokic
8:32.0,Personal foul by H. Thompson,,57-58,,
8:18.0,,,57-60,2,G. Harris makes 2-pt shot from 1 ft
7:54.0,I. Smith misses 2-pt shot from 2 ft (block by J. Sampson),,57-60,,
7:52.0,,,57-60,,Defensive rebound by E. Mudiay
7:34.0,,,57-60,,E. Mudiay misses 2-pt shot from 2 ft
7:33.0,Defensive rebound by C. Landry,,57-60,,
7:27.0,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith),3,60-60,,
7:27.0,,,60-60,,Denver full timeout
7:27.0,R. Covington enters the game for J. Grant,,60-60,,
7:07.0,,,60-62,2,D. Arthur makes 2-pt shot at rim (assist by N. Jokic)
6:56.0,C. Landry misses 2-pt shot from 2 ft (block by J. Sampson),,60-62,,
6:54.0,,,60-62,,Defensive rebound by E. Mudiay
6:52.0,,,60-62,,Shooting foul by I. Canaan (drawn by E. Mudiay)
6:52.0,,,60-63,1,E. Mudiay makes free throw 1 of 2
6:52.0,,,60-63,,E. Mudiay misses free throw 2 of 2
6:51.0,Defensive rebound by R. Covington,,60-63,,
6:40.0,I. Canaan misses 3-pt shot from 25 ft,,60-63,,
6:39.0,,,60-63,,Defensive rebound by N. Jokic
6:25.0,,,60-63,,G. Harris misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by R. Covington,,60-63,,
6:04.0,Turnover by R. Covington (lost ball; steal by D. Arthur),,60-63,,
5:53.0,Def 3 sec tech foul by R. Covington,,60-63,,
5:53.0,,,60-64,1,G. Harris makes technical free throw
5:53.0,N. Stauskas enters the game for I. Canaan,,60-64,,
5:53.0,R. Holmes enters the game for C. Landry,,60-64,,
5:42.0,,,60-64,,D. Arthur misses 2-pt shot from 17 ft
5:40.0,,,60-64,,Offensive rebound by Team
5:29.0,,,60-64,,Shooting foul by R. Covington (drawn by J. Sampson)
5:29.0,,,60-65,1,J. Sampson makes free throw 1 of 2
5:29.0,,,60-66,1,J. Sampson makes free throw 2 of 2
5:12.0,Shooting foul by E. Mudiay (drawn by R. Holmes),,60-66,,
5:12.0,R. Holmes makes free throw 1 of 2,1,61-66,,
5:12.0,R. Holmes makes free throw 2 of 2,1,62-66,,
5:01.0,,,62-66,,E. Mudiay misses 2-pt shot from 15 ft
5:01.0,Defensive rebound by R. Covington,,62-66,,
4:53.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith),3,65-66,,
4:34.0,,,65-69,3,D. Arthur makes 3-pt shot from 23 ft (assist by E. Mudiay)
4:24.0,H. Thompson misses 3-pt shot from 24 ft,,65-69,,
4:23.0,Offensive rebound by R. Covington,,65-69,,
4:19.0,R. Covington makes 2-pt shot from 2 ft,2,67-69,,
4:02.0,,,67-69,,E. Mudiay misses 2-pt shot from 13 ft
4:00.0,Defensive rebound by R. Holmes,,67-69,,
3:45.0,I. Smith misses 2-pt shot from 20 ft,,67-69,,
3:43.0,,,67-69,,Defensive rebound by J. Sampson
3:26.0,,,67-69,,Offensive charge foul by D. Arthur
3:26.0,,,67-69,,Turnover by D. Arthur (offensive foul)
3:26.0,Philadelphia full timeout,,67-69,,
3:26.0,J. Grant enters the game for H. Thompson,,67-69,,
3:26.0,T. McConnell enters the game for I. Smith,,67-69,,
3:26.0,S. Weems enters the game for R. Holmes,,67-69,,
3:26.0,,,67-69,,D. Augustin enters the game for N. Jokic
3:26.0,,,67-69,,J. Nurkic enters the game for E. Mudiay
3:19.0,Offensive foul by J. Grant,,67-69,,
3:19.0,Turnover by J. Grant (offensive foul),,67-69,,
3:03.0,,,67-69,,Shooting foul by J. Grant (drawn by J. Nurkic)
3:03.0,,,67-69,,J. Nurkic misses free throw 1 of 2
3:03.0,,,67-69,,Offensive rebound by Team
3:03.0,,,67-70,1,J. Nurkic makes free throw 2 of 2
2:40.0,R. Covington misses 3-pt shot from 22 ft,,67-70,,
2:39.0,Offensive rebound by Team,,67-70,,
2:39.0,Turnover by Team (shot clock),,67-70,,
2:30.0,,,67-70,,Turnover by D. Arthur (lost ball; steal by J. Grant)
2:27.0,S. Weems misses 2-pt shot from 1 ft,,67-70,,
2:26.0,Offensive rebound by N. Stauskas,,67-70,,
2:25.0,N. Stauskas makes 2-pt shot from 1 ft,2,69-70,,
2:25.0,Shooting foul by J. Nurkic (drawn by N. Stauskas),,69-70,,
2:25.0,N. Stauskas makes free throw 1 of 1,1,70-70,,
2:12.0,,,70-70,,G. Harris misses 2-pt shot from 2 ft (block by N. Stauskas)
2:11.0,Defensive rebound by S. Weems,,70-70,,
2:00.0,N. Stauskas misses 3-pt shot from 24 ft,,70-70,,
1:59.0,Offensive rebound by R. Covington,,70-70,,
1:56.0,Turnover by T. McConnell (lost ball; steal by J. Nurkic),,70-70,,
1:47.0,Shooting block foul by J. Grant (drawn by G. Harris),,70-70,,
1:47.0,,,70-71,1,G. Harris makes free throw 1 of 2
1:47.0,,,70-71,,W. Barton enters the game for J. Sampson
1:47.0,,,70-71,,A. Toupane enters the game for D. Arthur
1:47.0,,,70-72,1,G. Harris makes free throw 2 of 2
1:29.0,J. Grant misses 2-pt shot from 16 ft,,70-72,,
1:28.0,,,70-72,,Defensive rebound by G. Harris
1:23.0,,,70-72,,Offensive foul by J. Nurkic
1:23.0,,,70-72,,Turnover by J. Nurkic (offensive foul)
1:14.0,R. Covington makes 3-pt shot from 27 ft (assist by T. McConnell),3,73-72,,
1:03.0,Personal foul by T. McConnell,,73-72,,
1:03.0,,,73-73,1,D. Augustin makes free throw 1 of 2
1:03.0,,,73-73,,D. Augustin misses free throw 2 of 2
1:02.0,Defensive rebound by J. Grant,,73-73,,
0:51.0,Turnover by S. Weems (lost ball; steal by D. Augustin),,73-73,,
0:49.0,,,73-73,,Shooting foul by N. Stauskas (drawn by D. Augustin)
0:49.0,,,73-74,1,D. Augustin makes free throw 1 of 2
0:49.0,,,73-75,1,D. Augustin makes free throw 2 of 2
0:32.0,R. Covington misses 2-pt shot from 2 ft (block by J. Nurkic),,73-75,,
0:31.0,,,73-75,,Defensive rebound by Team
0:06.0,,,73-75,,Offensive charge foul by D. Augustin
0:06.0,,,73-75,,Turnover by D. Augustin (offensive foul)
0:06.0,H. Thompson enters the game for J. Grant,,73-75,,
0:04.0,,,73-75,,Personal take foul by A. Toupane
0:04.0,,,73-75,,J. Sampson enters the game for J. Nurkic
0:02.0,R. Covington misses 3-pt shot from 30 ft,,73-75,,
0:00.0,Offensive rebound by Team,,73-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,73-75,,A. Toupane misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by T. McConnell,,73-75,,
11:27.0,T. McConnell makes 2-pt shot from 2 ft,2,75-75,,
11:03.0,,,75-78,3,A. Toupane makes 3-pt shot from 23 ft (assist by E. Mudiay)
10:46.0,H. Thompson makes 3-pt shot from 22 ft (assist by T. McConnell),3,78-78,,
10:44.0,,,78-78,,Denver full timeout
10:44.0,R. Covington enters the game for S. Weems,,78-78,,
10:42.0,,,78-78,,Shooting foul by R. Holmes (drawn by W. Barton)
10:42.0,,,78-79,1,W. Barton makes free throw 1 of 2
10:42.0,,,78-80,1,W. Barton makes free throw 2 of 2
10:21.0,R. Holmes makes 2-pt shot at rim (assist by H. Thompson),2,80-80,,
10:01.0,,,80-80,,Offensive foul by J. Nurkic
10:01.0,,,80-80,,Turnover by J. Nurkic (offensive foul)
9:47.0,T. McConnell misses 2-pt shot from 5 ft,,80-80,,
9:44.0,,,80-80,,Defensive rebound by A. Toupane
9:30.0,,,80-83,3,E. Mudiay makes 3-pt shot from 23 ft (assist by A. Toupane)
9:12.0,T. McConnell makes 3-pt shot from 25 ft,3,83-83,,
8:54.0,,,83-83,,A. Toupane misses 3-pt shot from 23 ft
8:53.0,Defensive rebound by N. Stauskas,,83-83,,
8:43.0,N. Stauskas misses 3-pt shot from 25 ft,,83-83,,
8:42.0,,,83-83,,Defensive rebound by Team
8:42.0,J. Grant enters the game for R. Holmes,,83-83,,
8:28.0,,,83-85,2,E. Mudiay makes 2-pt shot from 14 ft
8:12.0,H. Thompson makes 3-pt shot from 24 ft (assist by N. Stauskas),3,86-85,,
7:52.0,,,86-85,,A. Toupane misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by N. Stauskas,,86-85,,
7:44.0,,,86-85,,Personal foul by J. Nurkic
7:44.0,I. Canaan enters the game for N. Stauskas,,86-85,,
7:44.0,,,86-85,,N. Jokic enters the game for J. Nurkic
7:35.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Covington),3,89-85,,
7:17.0,,,89-88,3,E. Mudiay makes 3-pt shot from 24 ft
7:04.0,T. McConnell makes 2-pt shot from 14 ft,2,91-88,,
6:47.0,,,91-90,2,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton)
6:47.0,,,91-90,,Shooting foul by R. Covington (drawn by N. Jokic)
6:47.0,,,91-90,,G. Harris enters the game for A. Toupane
6:47.0,,,91-91,1,N. Jokic makes free throw 1 of 1
6:30.0,J. Grant misses 2-pt shot from 1 ft,,91-91,,
6:29.0,,,91-91,,Defensive rebound by W. Barton
6:16.0,,,91-91,,Turnover by W. Barton (lost ball; steal by T. McConnell)
6:11.0,T. McConnell misses 2-pt shot from 2 ft,,91-91,,
6:10.0,,,91-91,,Defensive rebound by E. Mudiay
6:10.0,Personal foul by R. Covington,,91-91,,
6:10.0,I. Smith enters the game for H. Thompson,,91-91,,
5:56.0,,,91-91,,W. Barton misses 3-pt shot from 25 ft
5:55.0,,,91-91,,Offensive rebound by N. Jokic
5:44.0,,,91-91,,Shooting foul by J. Grant (drawn by N. Jokic)
5:44.0,Official timeout,,91-91,,
5:44.0,C. Landry enters the game for T. McConnell,,91-91,,
5:44.0,,,91-92,1,N. Jokic makes free throw 1 of 2
5:44.0,,,91-93,1,N. Jokic makes free throw 2 of 2
5:34.0,C. Landry misses 2-pt shot from 21 ft,,91-93,,
5:32.0,,,91-93,,Defensive rebound by E. Mudiay
5:13.0,Personal foul by C. Landry,,91-93,,
