time,Toronto,pts.away,score,pts.home,Cleveland
4:57.0,,,34-52,,R. Jefferson misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by Team,,34-52,,
4:57.0,,,34-52,,K. Love enters the game for R. Jefferson
4:38.0,D. DeRozan makes 2-pt shot from 12 ft,2,36-52,,
4:15.0,,,36-54,2,K. Irving makes 2-pt shot from 16 ft (assist by L. James)
4:01.0,J. Johnson makes 2-pt shot at rim (assist by K. Lowry),2,38-54,,
3:47.0,,,38-54,,Offensive foul by K. Irving
3:47.0,,,38-54,,Turnover by K. Irving (offensive foul)
3:47.0,,,38-54,,I. Shumpert enters the game for L. James
3:32.0,D. DeRozan makes 2-pt shot from 14 ft (assist by P. Patterson),2,40-54,,
3:11.0,,,40-54,,K. Love misses 2-pt shot from 14 ft
3:11.0,Defensive rebound by J. Johnson,,40-54,,
2:58.0,P. Patterson makes 2-pt shot at rim (assist by J. Johnson),2,42-54,,
2:58.0,,,42-54,,Cleveland full timeout
2:58.0,Official timeout,,42-54,,
2:45.0,Personal foul by J. Johnson,,42-54,,
2:45.0,,,42-55,1,J. Smith makes free throw 1 of 2
2:45.0,C. Joseph enters the game for J. Johnson,,42-55,,
2:45.0,,,42-56,1,J. Smith makes free throw 2 of 2
2:32.0,Turnover by D. DeRozan (lost ball; steal by I. Shumpert),,42-56,,
2:23.0,Personal foul by P. Patterson,,42-56,,
2:23.0,,,42-57,1,K. Love makes free throw 1 of 2
2:23.0,,,42-57,,L. James enters the game for I. Shumpert
2:23.0,,,42-58,1,K. Love makes free throw 2 of 2
2:08.0,K. Lowry misses 3-pt shot from 26 ft,,42-58,,
2:07.0,,,42-58,,Defensive rebound by K. Irving
1:56.0,,,42-58,,T. Thompson misses 2-pt shot from 1 ft
1:56.0,,,42-58,,Offensive rebound by T. Thompson
1:56.0,,,42-58,,T. Thompson misses 2-pt shot from 1 ft
1:56.0,,,42-58,,Offensive rebound by T. Thompson
1:56.0,,,42-58,,Shooting foul by D. DeRozan (drawn by T. Thompson)
1:56.0,,,42-59,1,T. Thompson makes free throw 1 of 2
1:56.0,,,42-60,1,T. Thompson makes free throw 2 of 2
1:42.0,C. Joseph misses 2-pt shot from 10 ft,,42-60,,
1:40.0,,,42-60,,Defensive rebound by K. Love
1:32.0,,,42-62,2,K. Irving makes 2-pt shot from 1 ft
1:14.0,B. Biyombo makes 2-pt shot from 3 ft (assist by C. Joseph),2,44-62,,
1:03.0,,,44-62,,K. Irving misses 2-pt shot from 13 ft
1:01.0,Defensive rebound by K. Lowry,,44-62,,
0:54.0,C. Joseph misses 2-pt shot from 5 ft (block by K. Irving),,44-62,,
0:52.0,,,44-62,,Defensive rebound by K. Love
0:50.0,,,44-64,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
0:43.0,Toronto full timeout,,44-64,,
0:31.0,C. Joseph misses 3-pt shot from 25 ft,,44-64,,
0:30.0,,,44-64,,Defensive rebound by Team
0:12.0,,,44-66,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
0:00.0,K. Lowry misses 3-pt shot from 25 ft,,44-66,,
0:00.0,Offensive rebound by Team,,44-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,B. Biyombo makes 2-pt shot at rim (assist by P. Patterson),2,46-66,,
11:24.0,,,46-66,,J. Smith misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by B. Biyombo,,46-66,,
11:14.0,K. Lowry makes 2-pt shot from 15 ft,2,48-66,,
10:50.0,,,48-66,,K. Love misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by K. Lowry,,48-66,,
10:43.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,50-66,,
10:43.0,,,50-66,,Cleveland full timeout
10:33.0,,,50-66,,Flagrant foul type 1 by K. Love
10:33.0,,,50-66,,Turnover by K. Love (offensive foul)
10:33.0,P. Patterson makes flagrant free throw 1 of 2,1,51-66,,
10:33.0,P. Patterson misses flagrant free throw 2 of 2,,51-66,,
10:33.0,Offensive rebound by Team,,51-66,,
10:20.0,P. Patterson misses 2-pt shot from 13 ft,,51-66,,
10:20.0,,,51-66,,Defensive rebound by T. Thompson
9:58.0,,,51-66,,J. Smith misses 2-pt shot from 9 ft
9:58.0,,,51-66,,Offensive rebound by L. James
9:58.0,,,51-68,2,L. James makes 2-pt shot from 3 ft
9:58.0,,,51-68,,Shooting foul by D. Carroll (drawn by L. James)
9:58.0,,,51-69,1,L. James makes free throw 1 of 1
9:46.0,D. DeRozan misses 2-pt shot from 15 ft,,51-69,,
9:45.0,,,51-69,,Defensive rebound by Team
9:25.0,,,51-72,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
9:11.0,K. Lowry makes 2-pt shot from 13 ft,2,53-72,,
8:48.0,,,53-72,,K. Irving misses 2-pt shot from 6 ft
8:48.0,,,53-72,,Offensive rebound by Team
8:48.0,Loose ball foul by K. Lowry,,53-72,,
8:45.0,,,53-74,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
8:27.0,Turnover by K. Lowry (lost ball; steal by J. Smith),,53-74,,
8:25.0,,,53-74,,Shooting foul by D. Carroll (drawn by L. James)
8:25.0,J. Johnson enters the game for D. Carroll,,53-74,,
8:25.0,,,53-74,,L. James misses free throw 1 of 2
8:25.0,,,53-74,,Offensive rebound by Team
8:25.0,,,53-75,1,L. James makes free throw 2 of 2
8:10.0,Turnover by J. Johnson (lost ball; steal by L. James),,53-75,,
8:05.0,,,53-75,,L. James misses 2-pt shot at rim
8:01.0,,,53-75,,Offensive rebound by L. James
8:01.0,,,53-77,2,L. James makes 2-pt shot from 1 ft
7:47.0,K. Lowry misses 2-pt shot from 16 ft,,53-77,,
7:44.0,,,53-77,,Defensive rebound by J. Smith
7:39.0,,,53-77,,L. James misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by K. Lowry,,53-77,,
7:29.0,J. Johnson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,56-77,,
7:04.0,,,56-77,,Turnover by K. Irving (lost ball; steal by J. Johnson)
6:58.0,K. Lowry misses 3-pt shot from 24 ft,,56-77,,
6:58.0,,,56-77,,Defensive rebound by Team
6:49.0,,,56-77,,Turnover by L. James (lost ball; steal by B. Biyombo)
6:28.0,Turnover by D. DeRozan (lost ball),,56-77,,
6:13.0,,,56-77,,Offensive foul by L. James
6:13.0,,,56-77,,Turnover by L. James (offensive foul)
6:06.0,,,56-77,,Personal foul by L. James
5:59.0,Turnover by K. Lowry (lost ball; steal by K. Love),,56-77,,
5:53.0,,,56-79,2,K. Irving makes 2-pt shot at rim (assist by K. Love)
5:47.0,Turnover by J. Johnson (lost ball; steal by L. James),,56-79,,
5:41.0,,,56-79,,J. Smith misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by P. Patterson,,56-79,,
5:36.0,Toronto full timeout,,56-79,,
5:21.0,K. Lowry misses 3-pt shot from 25 ft,,56-79,,
5:20.0,Offensive rebound by Team,,56-79,,
5:09.0,Turnover by D. DeRozan (lost ball; steal by K. Irving),,56-79,,
5:04.0,,,56-81,2,L. James makes 2-pt shot at rim (assist by K. Irving)
4:49.0,J. Johnson makes 3-pt shot from 23 ft (assist by P. Patterson),3,59-81,,
4:26.0,,,59-83,2,K. Love makes 2-pt shot from 7 ft
4:13.0,Turnover by P. Patterson (lost ball; steal by T. Thompson),,59-83,,
4:09.0,,,59-83,,Shooting foul by B. Biyombo (drawn by T. Thompson)
4:09.0,L. Scola enters the game for P. Patterson,,59-83,,
4:09.0,C. Joseph enters the game for K. Lowry,,59-83,,
4:09.0,,,59-84,1,T. Thompson makes free throw 1 of 2
4:09.0,,,59-85,1,T. Thompson makes free throw 2 of 2
3:51.0,Shooting foul by K. Irving (drawn by C. Joseph),,59-85,,
3:51.0,C. Joseph makes free throw 1 of 2,1,60-85,,
3:51.0,,,60-85,,I. Shumpert enters the game for L. James
3:51.0,C. Joseph makes free throw 2 of 2,1,61-85,,
3:34.0,,,61-87,2,K. Irving makes 2-pt shot from 13 ft
3:18.0,Shooting foul by K. Love (drawn by L. Scola),,61-87,,
3:18.0,L. Scola makes free throw 1 of 2,1,62-87,,
3:18.0,T. Ross enters the game for J. Johnson,,62-87,,
3:18.0,L. Scola makes free throw 2 of 2,1,63-87,,
3:05.0,,,63-89,2,K. Love makes 2-pt shot from 7 ft (assist by K. Irving)
2:44.0,Shooting foul by T. Thompson (drawn by L. Scola),,63-89,,
2:44.0,L. Scola makes free throw 1 of 2,1,64-89,,
2:44.0,,,64-89,,M. Dellavedova enters the game for J. Smith
2:44.0,L. Scola makes free throw 2 of 2,1,65-89,,
2:33.0,,,65-89,,Shooting foul by C. Joseph (drawn by K. Irving)
2:33.0,,,65-90,1,K. Irving makes free throw 1 of 2
2:33.0,,,65-91,1,K. Irving makes free throw 2 of 2
2:18.0,Turnover by B. Biyombo (offensive goaltending),,65-91,,
2:04.0,,,65-91,,K. Irving misses 3-pt shot from 26 ft
2:04.0,,,65-91,,Offensive rebound by T. Thompson
2:00.0,,,65-91,,Turnover by I. Shumpert (bad pass)
1:36.0,D. DeRozan makes 2-pt shot from 7 ft (assist by C. Joseph),2,67-91,,
1:22.0,Personal block foul by L. Scola,,67-91,,
1:22.0,,,67-92,1,I. Shumpert makes free throw 1 of 2
1:22.0,,,67-92,,C. Frye enters the game for K. Love
1:22.0,,,67-92,,I. Shumpert misses free throw 2 of 2
1:21.0,Defensive rebound by L. Scola,,67-92,,
1:00.0,D. DeRozan misses 2-pt shot from 6 ft,,67-92,,
1:00.0,,,67-92,,Defensive rebound by I. Shumpert
0:40.0,,,67-95,3,C. Frye makes 3-pt shot from 25 ft (assist by I. Shumpert)
0:26.0,D. DeRozan misses 2-pt shot from 18 ft,,67-95,,
0:25.0,,,67-95,,Defensive rebound by C. Frye
0:03.0,,,67-95,,K. Irving misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by Team,,67-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,67-97,2,M. Dellavedova makes 2-pt shot from 8 ft
11:17.0,D. Carroll misses 3-pt shot from 24 ft,,67-97,,
11:17.0,,,67-97,,Defensive rebound by I. Shumpert
11:06.0,,,67-97,,I. Shumpert misses 2-pt shot from 15 ft
11:05.0,,,67-97,,Offensive rebound by T. Thompson
11:05.0,Personal foul by L. Scola,,67-97,,
11:04.0,,,67-97,,Turnover by R. Jefferson (lost ball; steal by C. Joseph)
10:59.0,C. Joseph makes 2-pt shot at rim,2,69-97,,
10:43.0,Personal foul by C. Joseph,,69-97,,
10:32.0,,,69-97,,C. Frye misses 2-pt shot from 7 ft
10:30.0,Defensive rebound by C. Joseph,,69-97,,
10:30.0,Shooting foul by M. Dellavedova (drawn by T. Ross),,69-97,,
10:30.0,T. Ross misses free throw 1 of 2,,69-97,,
10:30.0,Offensive rebound by Team,,69-97,,
10:30.0,T. Ross makes free throw 2 of 2,1,70-97,,
10:22.0,Personal foul by L. Scola,,70-97,,
10:16.0,Personal foul by D. Carroll,,70-97,,
10:15.0,,,70-97,,Offensive foul by M. Dellavedova
10:15.0,,,70-97,,Turnover by M. Dellavedova (offensive foul)
10:04.0,Shooting foul by R. Jefferson (drawn by C. Joseph),,70-97,,
10:04.0,C. Joseph misses free throw 1 of 2,,70-97,,
10:04.0,Offensive rebound by Team,,70-97,,
10:04.0,C. Joseph misses free throw 2 of 2,,70-97,,
10:02.0,,,70-97,,Defensive rebound by R. Jefferson
9:42.0,,,70-97,,M. Dellavedova misses 2-pt shot from 6 ft (block by D. Carroll)
9:42.0,Defensive rebound by L. Scola,,70-97,,
9:42.0,,,70-97,,Personal foul by C. Frye
9:42.0,D. Wright enters the game for K. Lowry,,70-97,,
9:42.0,J. Thompson enters the game for D. Carroll,,70-97,,
9:28.0,,,70-97,,Personal foul by C. Frye
9:11.0,J. Thompson misses 2-pt shot from 18 ft,,70-97,,
9:10.0,,,70-97,,Defensive rebound by T. Thompson
8:57.0,,,70-97,,Turnover by T. Thompson (3 sec)
8:57.0,Official timeout,,70-97,,
8:57.0,,,70-97,,M. Williams enters the game for T. Thompson
8:42.0,L. Scola makes 3-pt shot from 25 ft (assist by C. Joseph),3,73-97,,
8:29.0,Personal block foul by L. Scola,,73-97,,
8:29.0,,,73-97,,M. Williams misses free throw 1 of 2
8:29.0,,,73-97,,Offensive rebound by Team
8:29.0,,,73-98,1,M. Williams makes free throw 2 of 2
8:01.0,D. Wright makes 2-pt shot from 2 ft,2,75-98,,
7:42.0,,,75-100,2,R. Jefferson makes 2-pt shot from 1 ft
7:33.0,T. Ross misses 3-pt shot from 23 ft,,75-100,,
7:33.0,,,75-100,,Defensive rebound by M. Williams
7:15.0,,,75-103,3,I. Shumpert makes 3-pt shot from 25 ft (assist by R. Jefferson)
7:02.0,D. Wright misses 2-pt shot from 20 ft,,75-103,,
7:01.0,,,75-103,,Defensive rebound by R. Jefferson
6:50.0,,,75-105,2,C. Frye makes 2-pt shot from 18 ft (assist by M. Dellavedova)
6:28.0,T. Ross misses 2-pt shot from 18 ft,,75-105,,
6:28.0,,,75-105,,Defensive rebound by R. Jefferson
6:24.0,,,75-105,,Turnover by M. Dellavedova (lost ball; steal by D. Wright)
6:24.0,Shooting foul by C. Frye (drawn by D. Wright),,75-105,,
6:24.0,D. Wright misses free throw 1 of 2,,75-105,,
6:24.0,Offensive rebound by Team,,75-105,,
6:24.0,,,75-105,,J. Jones enters the game for I. Shumpert
6:24.0,,,75-105,,T. Mozgov enters the game for M. Dellavedova
6:24.0,,,75-105,,D. Jones enters the game for C. Frye
6:24.0,N. Powell enters the game for C. Joseph,,75-105,,
6:24.0,D. Wright makes free throw 2 of 2,1,76-105,,
6:08.0,,,76-105,,M. Williams misses 2-pt shot from 16 ft
6:07.0,Defensive rebound by N. Powell,,76-105,,
5:58.0,T. Ross misses 2-pt shot at rim,,76-105,,
5:56.0,,,76-105,,Defensive rebound by T. Mozgov
5:39.0,Personal foul by T. Ross,,76-105,,
5:39.0,,,76-105,,Cleveland full timeout
5:39.0,L. Nogueira enters the game for T. Ross,,76-105,,
5:39.0,J. Johnson enters the game for J. Thompson,,76-105,,
5:39.0,,,76-106,1,R. Jefferson makes free throw 1 of 2
5:39.0,,,76-107,1,R. Jefferson makes free throw 2 of 2
5:25.0,N. Powell misses 2-pt shot from 18 ft,,76-107,,
5:25.0,,,76-107,,Defensive rebound by R. Jefferson
5:12.0,,,76-107,,Turnover by M. Williams (bad pass)
4:51.0,L. Scola misses 2-pt shot from 8 ft (block by T. Mozgov),,76-107,,
4:49.0,,,76-107,,Defensive rebound by R. Jefferson
4:35.0,,,76-107,,M. Williams misses 2-pt shot from 15 ft
4:34.0,Defensive rebound by D. Wright,,76-107,,
4:31.0,Shooting foul by D. Jones (drawn by D. Wright),,76-107,,
4:31.0,D. Wright makes free throw 1 of 2,1,77-107,,
4:31.0,D. Wright makes free throw 2 of 2,1,78-107,,
4:09.0,,,78-107,,T. Mozgov misses 2-pt shot from 15 ft
4:09.0,,,78-107,,Offensive rebound by Team
3:49.0,,,78-107,,T. Mozgov misses 2-pt shot from 10 ft
3:47.0,,,78-107,,Offensive rebound by R. Jefferson
3:47.0,,,78-107,,R. Jefferson misses 2-pt shot from 1 ft
3:46.0,,,78-107,,Offensive rebound by R. Jefferson
3:46.0,,,78-109,2,R. Jefferson makes 2-pt shot from 1 ft
3:32.0,J. Johnson misses 2-pt shot from 20 ft,,78-109,,
3:31.0,,,78-109,,Defensive rebound by T. Mozgov
3:27.0,Personal foul by J. Johnson,,78-109,,
3:27.0,,,78-110,1,R. Jefferson makes free throw 1 of 2
3:27.0,,,78-111,1,R. Jefferson makes free throw 2 of 2
3:14.0,N. Powell misses 3-pt shot from 24 ft,,78-111,,
3:13.0,,,78-111,,Defensive rebound by T. Mozgov
3:02.0,,,78-113,2,M. Williams makes 2-pt shot from 15 ft
2:38.0,N. Powell makes 2-pt shot from 20 ft,2,80-113,,
2:27.0,,,80-113,,J. Jones misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by N. Powell,,80-113,,
2:12.0,N. Powell makes 2-pt shot from 1 ft,2,82-113,,
1:50.0,,,82-113,,R. Jefferson misses 2-pt shot from 1 ft
1:50.0,,,82-113,,Offensive rebound by T. Mozgov
1:50.0,,,82-115,2,T. Mozgov makes 2-pt shot at rim
1:50.0,Toronto full timeout,,82-115,,
1:50.0,J. Thompson enters the game for L. Scola,,82-115,,
1:29.0,L. Nogueira misses 2-pt shot from 16 ft,,82-115,,
1:28.0,,,82-115,,Defensive rebound by R. Jefferson
1:08.0,,,82-115,,R. Jefferson misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by L. Nogueira,,82-115,,
1:02.0,Shooting foul by T. Mozgov (drawn by D. Wright),,82-115,,
1:02.0,D. Wright makes free throw 1 of 2,1,83-115,,
1:02.0,D. Wright makes free throw 2 of 2,1,84-115,,
0:46.0,,,84-115,,D. Jones misses 3-pt shot from 24 ft
0:45.0,Defensive rebound by J. Johnson,,84-115,,
0:36.0,J. Johnson misses 2-pt shot from 15 ft,,84-115,,
0:35.0,,,84-115,,Defensive rebound by M. Williams
0:12.0,,,84-115,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
