time,Cleveland,pts.away,score,pts.home,Denver
2:18.0,T. Mozgov makes 2-pt shot at rim (assist by M. Williams),2,22-16,,
1:56.0,,,22-18,2,D. Arthur makes 2-pt shot from 21 ft (assist by J. Nelson)
1:40.0,M. Williams makes 2-pt shot from 15 ft,2,24-18,,
1:31.0,,,24-18,,W. Barton misses 2-pt shot from 20 ft
1:29.0,Defensive rebound by I. Shumpert,,24-18,,
1:20.0,I. Shumpert makes 2-pt shot from 2 ft,2,26-18,,
0:55.0,,,26-18,,G. Harris misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by Team,,26-18,,
0:53.0,,,26-18,,R. Foye enters the game for J. Nelson
0:53.0,L. James enters the game for J. Cunningham,,26-18,,
0:44.0,Offensive foul by M. Williams,,26-18,,
0:44.0,Turnover by M. Williams (offensive foul),,26-18,,
0:35.0,,,26-20,2,N. Jokic makes 2-pt shot from 2 ft (assist by R. Foye)
0:35.0,,,26-20,,Shooting foul by T. Mozgov (drawn by N. Jokic)
0:35.0,,,26-21,1,N. Jokic makes free throw 1 of 1
0:15.0,I. Shumpert misses 3-pt shot from 24 ft,,26-21,,
0:15.0,,,26-21,,Defensive rebound by W. Barton
0:04.0,,,26-21,,Turnover by W. Barton (bad pass)
0:02.0,T. Mozgov misses 3-pt shot from 30 ft,,26-21,,
0:00.0,Offensive rebound by Team,,26-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,L. James misses 2-pt shot at rim,,26-21,,
11:44.0,,,26-21,,Defensive rebound by R. Foye
11:36.0,,,26-21,,Turnover by N. Jokic (lost ball)
11:24.0,L. James misses 2-pt shot from 8 ft,,26-21,,
11:23.0,,,26-21,,Defensive rebound by W. Barton
11:17.0,,,26-23,2,N. Jokic makes 2-pt shot from 1 ft (assist by R. Foye)
10:59.0,Turnover by M. Williams (traveling),,26-23,,
10:46.0,,,26-25,2,D. Arthur makes 2-pt shot from 1 ft (assist by K. Papanikolaou)
10:30.0,,,26-25,,Personal foul by N. Jokic (drawn by T. Mozgov)
10:25.0,M. Williams makes 2-pt shot from 18 ft,2,28-25,,
9:57.0,,,28-25,,N. Jokic misses 2-pt shot from 14 ft
9:56.0,,,28-25,,Offensive rebound by K. Papanikolaou
9:55.0,Personal foul by R. Jefferson (drawn by K. Papanikolaou),,28-25,,
9:55.0,M. Dellavedova enters the game for M. Williams,,28-25,,
9:42.0,,,28-25,,D. Arthur misses 2-pt shot from 21 ft
9:42.0,Defensive rebound by L. James,,28-25,,
9:34.0,T. Mozgov misses 2-pt shot from 1 ft,,28-25,,
9:33.0,,,28-25,,Defensive rebound by N. Jokic
9:12.0,,,28-25,,R. Foye misses 3-pt shot from 24 ft
9:11.0,,,28-25,,Offensive rebound by N. Jokic
9:09.0,,,28-25,,Turnover by N. Jokic (lost ball)
9:09.0,K. Love enters the game for R. Jefferson,,28-25,,
8:50.0,T. Mozgov makes 2-pt shot from 15 ft (assist by L. James),2,30-25,,
8:27.0,,,30-27,2,N. Jokic makes 2-pt shot from 1 ft
8:04.0,M. Dellavedova misses 2-pt shot from 21 ft,,30-27,,
8:01.0,,,30-27,,Defensive rebound by D. Arthur
7:54.0,,,30-27,,Turnover by K. Papanikolaou (bad pass; steal by K. Love)
7:52.0,,,30-27,,Personal take foul by N. Jokic (drawn by M. Dellavedova)
7:52.0,Official timeout,,30-27,,
7:52.0,T. Thompson enters the game for T. Mozgov,,30-27,,
7:52.0,,,30-27,,J. Lauvergne enters the game for N. Jokic
7:39.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,33-27,,
7:19.0,,,33-27,,Turnover by J. Lauvergne (bad pass; steal by I. Shumpert)
7:16.0,I. Shumpert misses 2-pt shot at rim (block by W. Barton),,33-27,,
7:15.0,Offensive rebound by L. James,,33-27,,
7:14.0,L. James makes 2-pt shot from 1 ft,2,35-27,,
6:56.0,,,35-27,,K. Papanikolaou misses 3-pt shot from 25 ft
6:55.0,,,35-27,,Offensive rebound by J. Lauvergne
6:52.0,,,35-30,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Lauvergne)
6:34.0,L. James makes 2-pt shot at rim,2,37-30,,
6:34.0,,,37-30,,Denver full timeout
6:23.0,,,37-30,,R. Foye misses 2-pt shot from 18 ft
6:20.0,Defensive rebound by K. Love,,37-30,,
6:04.0,L. James makes 2-pt shot from 18 ft,2,39-30,,
5:48.0,,,39-30,,W. Barton misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by L. James,,39-30,,
5:34.0,L. James makes 2-pt shot from 21 ft,2,41-30,,
5:19.0,,,41-30,,J. Lauvergne misses 2-pt shot from 11 ft
5:18.0,Defensive rebound by T. Thompson,,41-30,,
5:11.0,L. James misses 2-pt shot from 22 ft,,41-30,,
5:08.0,,,41-30,,Defensive rebound by R. Foye
5:04.0,Personal foul by M. Dellavedova (drawn by K. Papanikolaou),,41-30,,
5:04.0,,,41-30,,K. Faried enters the game for D. Arthur
5:04.0,,,41-30,,J. Nelson enters the game for K. Papanikolaou
4:54.0,,,41-32,2,W. Barton makes 2-pt shot from 15 ft (assist by J. Nelson)
4:45.0,Cleveland full timeout,,41-32,,
4:45.0,J. Smith enters the game for L. James,,41-32,,
4:35.0,M. Dellavedova makes 2-pt shot from 11 ft,2,43-32,,
4:17.0,,,43-32,,W. Barton misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by J. Smith,,43-32,,
4:10.0,I. Shumpert makes 2-pt shot from 2 ft (assist by J. Smith),2,45-32,,
3:58.0,,,45-32,,R. Foye misses 2-pt shot from 8 ft
3:57.0,,,45-32,,Offensive rebound by J. Lauvergne
3:53.0,,,45-34,2,J. Lauvergne makes 2-pt shot from 5 ft
3:45.0,M. Dellavedova misses 2-pt shot from 10 ft,,45-34,,
3:44.0,Offensive rebound by Team,,45-34,,
3:44.0,,,45-34,,Loose ball foul by K. Faried (drawn by T. Thompson)
3:44.0,,,45-34,,G. Harris enters the game for R. Foye
3:29.0,J. Smith misses 2-pt shot from 20 ft,,45-34,,
3:28.0,,,45-34,,Defensive rebound by W. Barton
3:13.0,,,45-36,2,J. Lauvergne makes 2-pt shot from 3 ft (assist by G. Harris)
2:57.0,I. Shumpert makes 2-pt shot from 17 ft (assist by J. Smith),2,47-36,,
2:43.0,,,47-36,,G. Harris misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by M. Dellavedova,,47-36,,
2:38.0,K. Love makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,49-36,,
2:38.0,,,49-36,,Denver full timeout
2:12.0,,,49-36,,W. Barton misses 2-pt shot from 1 ft
2:11.0,,,49-36,,Offensive rebound by K. Faried
2:07.0,,,49-36,,K. Faried misses 2-pt shot from 6 ft
2:07.0,Defensive rebound by M. Dellavedova,,49-36,,
2:03.0,Turnover by K. Love (bad pass; steal by G. Harris),,49-36,,
2:01.0,Personal take foul by J. Smith (drawn by G. Harris),,49-36,,
1:55.0,Personal foul by M. Dellavedova (drawn by J. Nelson),,49-36,,
1:55.0,M. Williams enters the game for M. Dellavedova,,49-36,,
1:42.0,,,49-36,,K. Faried misses 2-pt shot from 2 ft
1:39.0,,,49-36,,Offensive rebound by J. Lauvergne
1:39.0,,,49-36,,J. Lauvergne misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by K. Love,,49-36,,
1:26.0,K. Love makes 2-pt shot at rim (assist by M. Williams),2,51-36,,
1:16.0,,,51-36,,J. Nelson misses 2-pt shot from 5 ft
1:15.0,,,51-36,,Offensive rebound by Team
1:15.0,Loose ball foul by K. Love (drawn by K. Faried),,51-36,,
1:15.0,,,51-36,,K. Faried misses free throw 1 of 2
1:15.0,,,51-36,,Offensive rebound by Team
1:15.0,,,51-37,1,K. Faried makes free throw 2 of 2
1:01.0,I. Shumpert misses 3-pt shot from 24 ft,,51-37,,
1:00.0,,,51-37,,Defensive rebound by J. Lauvergne
0:41.0,,,51-39,2,G. Harris makes 2-pt shot from 11 ft
0:27.0,M. Williams misses 2-pt shot from 20 ft,,51-39,,
0:26.0,,,51-39,,Defensive rebound by J. Lauvergne
0:05.0,,,51-42,3,W. Barton makes 3-pt shot from 24 ft (assist by J. Nelson)
0:00.0,I. Shumpert makes 2-pt shot at rim,2,53-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,T. Thompson makes 2-pt shot from 5 ft (assist by M. Dellavedova),2,55-42,,
11:38.0,Shooting foul by J. Nelson (drawn by T. Thompson),,55-42,,
11:38.0,T. Thompson misses free throw 1 of 1,,55-42,,
11:36.0,,,55-42,,Defensive rebound by K. Papanikolaou
11:19.0,,,55-44,2,K. Faried makes 2-pt shot from 3 ft (assist by J. Lauvergne)
11:02.0,,,55-44,,Personal foul by K. Faried (drawn by T. Thompson)
10:52.0,Turnover by M. Dellavedova (bad pass; steal by K. Faried),,55-44,,
10:46.0,,,55-44,,K. Faried misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by M. Dellavedova,,55-44,,
10:26.0,T. Thompson misses 2-pt shot from 6 ft,,55-44,,
10:26.0,,,55-44,,Defensive rebound by J. Lauvergne
10:04.0,,,55-44,,Turnover by G. Harris (lost ball; steal by J. Smith)
10:02.0,,,55-44,,Personal take foul by K. Papanikolaou (drawn by L. James)
9:55.0,L. James misses 2-pt shot from 2 ft,,55-44,,
9:55.0,,,55-44,,Defensive rebound by K. Papanikolaou
9:44.0,,,55-44,,J. Nelson misses 2-pt shot from 2 ft (block by T. Thompson)
9:43.0,,,55-44,,Offensive rebound by Team
9:30.0,,,55-44,,G. Harris misses 2-pt shot at rim
9:29.0,,,55-44,,Offensive rebound by K. Faried
9:28.0,,,55-46,2,K. Faried makes 2-pt shot at rim
9:12.0,,,55-46,,Personal foul by K. Papanikolaou (drawn by L. James)
9:09.0,Turnover by L. James (offensive foul),,55-46,,
9:09.0,Offensive foul by L. James,,55-46,,
8:59.0,,,55-46,,Turnover by J. Lauvergne (offensive goaltending)
8:45.0,Shooting foul by K. Faried (drawn by L. James),,55-46,,
8:45.0,L. James makes free throw 1 of 2,1,56-46,,
8:45.0,L. James makes free throw 2 of 2,1,57-46,,
8:23.0,,,57-46,,Turnover by J. Lauvergne (lost ball)
8:11.0,L. James makes 2-pt shot from 19 ft,2,59-46,,
7:58.0,,,59-46,,Turnover by G. Harris (bad pass; steal by T. Thompson)
7:52.0,J. Smith misses 3-pt shot from 25 ft,,59-46,,
7:50.0,,,59-46,,Defensive rebound by G. Harris
7:37.0,,,59-46,,G. Harris misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by T. Thompson,,59-46,,
7:28.0,L. James misses 3-pt shot from 25 ft,,59-46,,
7:27.0,,,59-46,,Defensive rebound by J. Nelson
7:19.0,,,59-46,,J. Nelson misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by M. Dellavedova,,59-46,,
7:16.0,L. James makes 2-pt shot at rim (assist by M. Dellavedova),2,61-46,,
7:16.0,,,61-46,,Denver full timeout
7:16.0,M. Williams enters the game for M. Dellavedova,,61-46,,
7:04.0,,,61-46,,G. Harris misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by J. Smith,,61-46,,
6:56.0,T. Thompson misses 2-pt shot from 2 ft (block by J. Nelson),,61-46,,
6:55.0,,,61-46,,Defensive rebound by K. Papanikolaou
6:50.0,,,61-46,,K. Papanikolaou misses 2-pt shot from 2 ft
6:50.0,Defensive rebound by K. Love,,61-46,,
6:44.0,Turnover by L. James (lost ball; steal by J. Nelson),,61-46,,
6:38.0,,,61-49,3,G. Harris makes 3-pt shot from 26 ft (assist by J. Nelson)
6:19.0,J. Smith makes 2-pt shot from 10 ft (assist by K. Love),2,63-49,,
5:57.0,,,63-51,2,J. Lauvergne makes 2-pt shot from 4 ft (assist by J. Nelson)
5:34.0,K. Love misses 2-pt shot from 14 ft,,63-51,,
5:33.0,,,63-51,,Defensive rebound by J. Nelson
5:19.0,,,63-53,2,J. Lauvergne makes 2-pt shot from 15 ft (assist by J. Nelson)
5:04.0,Turnover by M. Williams (lost ball; steal by J. Lauvergne),,63-53,,
4:49.0,,,63-53,,Turnover by J. Nelson (bad pass; steal by J. Smith)
4:48.0,,,63-53,,Personal take foul by J. Lauvergne (drawn by J. Smith)
4:48.0,J. Smith makes free throw 1 of 2,1,64-53,,
4:48.0,,,64-53,,N. Jokic enters the game for J. Lauvergne
4:48.0,,,64-53,,W. Barton enters the game for K. Papanikolaou
4:48.0,T. Mozgov enters the game for K. Love,,64-53,,
4:48.0,J. Smith makes free throw 2 of 2,1,65-53,,
4:31.0,,,65-53,,N. Jokic misses 2-pt shot from 4 ft
4:30.0,Defensive rebound by T. Mozgov,,65-53,,
4:19.0,J. Smith misses 3-pt shot from 23 ft,,65-53,,
4:19.0,,,65-53,,Defensive rebound by Team
4:19.0,,,65-53,,R. Foye enters the game for J. Nelson
4:19.0,I. Shumpert enters the game for J. Smith,,65-53,,
4:09.0,,,65-55,2,N. Jokic makes 2-pt shot from 20 ft
3:41.0,T. Mozgov misses 2-pt shot from 13 ft,,65-55,,
3:40.0,,,65-55,,Defensive rebound by K. Faried
3:31.0,,,65-55,,N. Jokic misses 2-pt shot from 1 ft
3:29.0,,,65-55,,Offensive rebound by G. Harris
3:16.0,,,65-57,2,W. Barton makes 2-pt shot from 20 ft
2:54.0,I. Shumpert makes 3-pt shot from 22 ft (assist by M. Williams),3,68-57,,
2:45.0,,,68-57,,W. Barton misses 2-pt shot from 21 ft
2:44.0,Defensive rebound by T. Thompson,,68-57,,
2:39.0,L. James misses 2-pt shot from 2 ft,,68-57,,
2:38.0,Offensive rebound by T. Mozgov,,68-57,,
2:32.0,I. Shumpert misses 3-pt shot from 25 ft,,68-57,,
2:32.0,Offensive rebound by L. James,,68-57,,
2:18.0,L. James misses 2-pt shot from 20 ft,,68-57,,
2:17.0,,,68-57,,Defensive rebound by G. Harris
2:16.0,Personal take foul by T. Mozgov (drawn by G. Harris),,68-57,,
2:16.0,Cleveland full timeout,,68-57,,
2:16.0,,,68-57,,D. Arthur enters the game for K. Faried
2:16.0,R. Jefferson enters the game for L. James,,68-57,,
2:16.0,J. Smith enters the game for T. Thompson,,68-57,,
2:08.0,,,68-57,,G. Harris misses 2-pt shot from 18 ft
2:07.0,Defensive rebound by T. Mozgov,,68-57,,
1:49.0,I. Shumpert misses 2-pt shot from 2 ft (block by N. Jokic),,68-57,,
1:46.0,Offensive rebound by I. Shumpert,,68-57,,
1:40.0,R. Jefferson misses 3-pt shot from 26 ft,,68-57,,
1:39.0,,,68-57,,Defensive rebound by G. Harris
1:33.0,,,68-59,2,W. Barton makes 2-pt shot from 19 ft
1:06.0,J. Smith makes 2-pt shot from 18 ft,2,70-59,,
1:04.0,,,70-59,,Shooting foul by M. Williams (drawn by G. Harris)
1:04.0,,,70-59,,G. Harris misses free throw 1 of 2
1:04.0,,,70-59,,Offensive rebound by Team
1:04.0,,,70-60,1,G. Harris makes free throw 2 of 2
0:50.0,J. Smith misses 3-pt shot from 24 ft,,70-60,,
0:49.0,,,70-60,,Defensive rebound by G. Harris
0:34.0,,,70-62,2,W. Barton makes 2-pt shot from 2 ft
0:12.0,J. Smith makes 2-pt shot from 6 ft (assist by M. Williams),2,72-62,,
0:00.0,,,72-62,,G. Harris misses 3-pt shot from 28 ft
0:00.0,,,72-62,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,72-62,,D. Arthur misses 3-pt shot from 24 ft
11:50.0,,,72-62,,Offensive rebound by M. Miller
11:48.0,,,72-62,,Turnover by M. Miller (bad pass; steal by M. Williams)
11:39.0,I. Shumpert misses 2-pt shot from 1 ft (block by W. Barton),,72-62,,
11:39.0,,,72-62,,Defensive rebound by Team
11:26.0,,,72-62,,N. Jokic misses 2-pt shot from 3 ft
11:25.0,Defensive rebound by T. Mozgov,,72-62,,
11:05.0,Shooting foul by R. Foye (drawn by M. Williams),,72-62,,
11:05.0,M. Williams misses free throw 1 of 2,,72-62,,
11:05.0,Offensive rebound by Team,,72-62,,
11:05.0,M. Williams makes free throw 2 of 2,1,73-62,,
10:54.0,Personal foul by T. Mozgov (drawn by N. Jokic),,73-62,,
10:46.0,,,73-62,,Shooting foul by T. Mozgov (drawn by N. Jokic)
10:46.0,,,73-62,,N. Jokic misses free throw 1 of 2
10:46.0,,,73-62,,Offensive rebound by Team
10:46.0,,,73-63,1,N. Jokic makes free throw 2 of 2
10:30.0,K. Love misses 2-pt shot from 2 ft (block by D. Arthur),,73-63,,
10:28.0,,,73-63,,Defensive rebound by N. Jokic
10:21.0,,,73-63,,W. Barton misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by K. Love,,73-63,,
10:06.0,K. Love misses 3-pt shot from 28 ft,,73-63,,
10:04.0,,,73-63,,Defensive rebound by N. Jokic
10:00.0,,,73-63,,R. Foye misses 2-pt shot from 2 ft (block by R. Jefferson)
10:00.0,,,73-63,,Offensive rebound by Team
10:00.0,M. Dellavedova enters the game for M. Williams,,73-63,,
10:00.0,L. James enters the game for R. Jefferson,,73-63,,
9:52.0,,,73-63,,N. Jokic misses 2-pt shot from 22 ft
9:49.0,Defensive rebound by K. Love,,73-63,,
9:42.0,L. James makes 2-pt shot from 18 ft,2,75-63,,
9:27.0,,,75-63,,Turnover by M. Miller (bad pass; steal by I. Shumpert)
9:24.0,I. Shumpert makes 2-pt shot at rim,2,77-63,,
9:24.0,,,77-63,,Denver full timeout
9:10.0,,,77-63,,D. Arthur misses 2-pt shot from 21 ft
9:09.0,,,77-63,,Offensive rebound by N. Jokic
8:58.0,,,77-63,,Turnover by D. Arthur (bad pass; steal by M. Dellavedova)
8:56.0,Turnover by T. Mozgov (bad pass; steal by N. Jokic),,77-63,,
8:55.0,,,77-65,2,R. Foye makes 2-pt shot at rim
8:31.0,K. Love misses 2-pt shot from 14 ft,,77-65,,
8:30.0,,,77-65,,Defensive rebound by N. Jokic
8:26.0,Personal foul by K. Love (drawn by N. Jokic),,77-65,,
8:26.0,T. Thompson enters the game for T. Mozgov,,77-65,,
8:09.0,,,77-65,,Shooting foul by I. Shumpert (drawn by W. Barton)
8:09.0,,,77-66,1,W. Barton makes free throw 1 of 2
8:09.0,,,77-67,1,W. Barton makes free throw 2 of 2
7:45.0,M. Dellavedova misses 2-pt shot from 17 ft,,77-67,,
7:44.0,Offensive rebound by L. James,,77-67,,
7:43.0,Shooting foul by R. Foye (drawn by L. James),,77-67,,
7:43.0,L. James makes free throw 1 of 2,1,78-67,,
7:43.0,L. James misses free throw 2 of 2,,78-67,,
7:41.0,,,78-67,,Defensive rebound by D. Arthur
7:27.0,,,78-69,2,R. Foye makes 2-pt shot from 20 ft
7:04.0,M. Dellavedova misses 3-pt shot from 25 ft,,78-69,,
7:04.0,,,78-69,,Defensive rebound by R. Foye
7:00.0,,,78-69,,Turnover by R. Foye (lost ball; steal by K. Love)
6:57.0,Shooting foul by N. Jokic (drawn by L. James),,78-69,,
6:57.0,L. James makes free throw 1 of 2,1,79-69,,
6:57.0,L. James makes free throw 2 of 2,1,80-69,,
6:40.0,,,80-71,2,W. Barton makes 2-pt shot at rim
6:25.0,L. James makes 2-pt shot from 18 ft,2,82-71,,
6:08.0,,,82-71,,N. Jokic misses 2-pt shot from 2 ft
6:06.0,,,82-71,,Offensive rebound by D. Arthur
6:06.0,,,82-73,2,D. Arthur makes 2-pt shot from 2 ft
5:56.0,K. Love misses 2-pt shot from 1 ft (block by D. Arthur),,82-73,,
5:55.0,,,82-73,,Defensive rebound by N. Jokic
5:44.0,,,82-73,,N. Jokic misses 2-pt shot from 3 ft (block by L. James)
5:42.0,Defensive rebound by K. Love,,82-73,,
5:41.0,Cleveland full timeout,,82-73,,
5:34.0,T. Thompson makes 2-pt shot from 2 ft (assist by I. Shumpert),2,84-73,,
5:34.0,Shooting foul by D. Arthur (drawn by T. Thompson),,84-73,,
5:34.0,T. Thompson misses free throw 1 of 1,,84-73,,
5:32.0,,,84-73,,Defensive rebound by W. Barton
5:14.0,,,84-73,,M. Miller misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by K. Love,,84-73,,
5:02.0,Turnover by L. James (bad pass; steal by D. Arthur),,84-73,,
4:53.0,,,84-73,,R. Foye misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by T. Thompson,,84-73,,
4:49.0,,,84-73,,G. Harris enters the game for M. Miller
4:49.0,Jump ball: N. Jokic vs. T. Thompson (L. James gains possession),,,,Jump ball: N. Jokic vs. T. Thompson (L. James gains possession)
4:29.0,Shooting foul by N. Jokic (drawn by K. Love),,84-73,,
4:29.0,K. Love misses free throw 1 of 2,,84-73,,
4:29.0,Offensive rebound by Team,,84-73,,
4:29.0,K. Love misses free throw 2 of 2,,84-73,,
4:27.0,,,84-73,,Defensive rebound by W. Barton
4:05.0,,,84-73,,W. Barton misses 2-pt shot from 2 ft
4:04.0,Defensive rebound by I. Shumpert,,84-73,,
3:51.0,Shooting foul by N. Jokic (drawn by L. James),,84-73,,
3:51.0,L. James makes free throw 1 of 2,1,85-73,,
3:51.0,,,85-73,,K. Faried enters the game for D. Arthur
3:51.0,L. James makes free throw 2 of 2,1,86-73,,
3:38.0,,,86-73,,R. Foye misses 2-pt shot from 2 ft
3:37.0,Defensive rebound by T. Thompson,,86-73,,
3:28.0,K. Love misses 3-pt shot from 24 ft,,86-73,,
3:28.0,,,86-73,,Defensive rebound by G. Harris
3:22.0,,,86-75,2,W. Barton makes 2-pt shot from 1 ft
3:07.0,,,86-75,,Personal take foul by G. Harris (drawn by T. Thompson)
3:07.0,T. Thompson makes free throw 1 of 2,1,87-75,,
3:07.0,T. Thompson misses free throw 2 of 2,,87-75,,
3:06.0,,,87-75,,Defensive rebound by K. Faried
2:47.0,,,87-78,3,W. Barton makes 3-pt shot from 24 ft
2:40.0,,,87-78,,Personal take foul by G. Harris (drawn by T. Thompson)
2:40.0,Official timeout,,87-78,,
2:40.0,T. Thompson misses free throw 1 of 2,,87-78,,
2:40.0,Offensive rebound by Team,,87-78,,
2:40.0,T. Thompson misses free throw 2 of 2,,87-78,,
2:38.0,,,87-78,,Defensive rebound by W. Barton
2:28.0,,,87-78,,W. Barton misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by K. Love,,87-78,,
2:23.0,Cleveland full timeout,,87-78,,
2:23.0,J. Smith enters the game for T. Thompson,,87-78,,
2:04.0,L. James misses 2-pt shot from 21 ft,,87-78,,
