time,Utah,pts.away,score,pts.home,Sacramento
0:00.0,D. Favors misses 2-pt shot from 19 ft,,61-45,,
0:00.0,Offensive rebound by Team,,61-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,61-45,,Shooting foul by R. Gobert (drawn by W. Cauley-Stein)
11:46.0,,,61-45,,W. Cauley-Stein misses free throw 1 of 2
11:46.0,,,61-45,,Offensive rebound by Team
11:46.0,T. Booker enters the game for R. Gobert,,61-45,,
11:46.0,,,61-45,,W. Cauley-Stein misses free throw 2 of 2
11:46.0,Defensive rebound by T. Booker,,61-45,,
11:31.0,G. Hayward misses 3-pt shot from 25 ft,,61-45,,
11:30.0,,,61-45,,Defensive rebound by D. Cousins
11:21.0,,,61-45,,R. Rondo misses 2-pt shot from 8 ft
11:20.0,Defensive rebound by R. Hood,,61-45,,
11:04.0,T. Booker misses 3-pt shot from 23 ft,,61-45,,
11:03.0,,,61-45,,Defensive rebound by W. Cauley-Stein
10:57.0,,,61-45,,R. Gay misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by D. Favors,,61-45,,
10:36.0,S. Mack misses 2-pt shot from 5 ft,,61-45,,
10:36.0,Offensive rebound by T. Booker,,61-45,,
10:35.0,,,61-45,,Personal foul by W. Cauley-Stein
10:27.0,R. Hood makes 2-pt shot from 4 ft (assist by D. Favors),2,63-45,,
10:08.0,,,63-45,,R. Rondo misses 2-pt shot from 4 ft (block by T. Booker)
10:06.0,Defensive rebound by T. Booker,,63-45,,
9:59.0,G. Hayward makes 2-pt shot from 2 ft (assist by S. Mack),2,65-45,,
9:36.0,,,65-45,,W. Cauley-Stein misses 2-pt shot from 14 ft
9:36.0,Defensive rebound by R. Hood,,65-45,,
9:22.0,S. Mack misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,65-45,,
9:20.0,,,65-45,,Defensive rebound by D. Cousins
9:16.0,,,65-45,,Turnover by D. Cousins (lost ball; steal by S. Mack)
9:11.0,R. Hood makes 2-pt shot at rim (assist by D. Favors),2,67-45,,
9:10.0,,,67-45,,Sacramento full timeout
8:48.0,,,67-47,2,D. Cousins makes 2-pt shot from 20 ft
8:25.0,S. Mack misses 2-pt shot from 21 ft,,67-47,,
8:24.0,,,67-47,,Defensive rebound by D. Cousins
8:11.0,,,67-47,,R. Gay misses 2-pt shot from 14 ft
8:11.0,,,67-47,,Offensive rebound by W. Cauley-Stein
8:03.0,,,67-49,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by D. Cousins)
7:37.0,T. Booker misses 2-pt shot from 8 ft,,67-49,,
7:37.0,Offensive rebound by Team,,67-49,,
7:37.0,,,67-49,,Loose ball foul by D. Cousins
7:21.0,D. Favors makes 2-pt shot from 4 ft (assist by S. Mack),2,69-49,,
7:01.0,,,69-51,2,S. Curry makes 2-pt shot from 6 ft (assist by R. Rondo)
6:47.0,R. Hood makes 2-pt shot from 16 ft (assist by S. Mack),2,71-51,,
6:29.0,,,71-51,,R. Rondo misses 3-pt shot from 22 ft
6:29.0,Defensive rebound by D. Favors,,71-51,,
6:08.0,G. Hayward misses 3-pt shot from 24 ft,,71-51,,
6:06.0,Offensive rebound by S. Mack,,71-51,,
6:01.0,D. Favors makes 2-pt shot at rim (assist by S. Mack),2,73-51,,
5:43.0,,,73-51,,D. Cousins misses 2-pt shot from 7 ft
5:42.0,,,73-51,,Offensive rebound by D. Cousins
5:40.0,,,73-51,,D. Cousins misses 2-pt shot from 1 ft (block by D. Favors)
5:39.0,Defensive rebound by D. Favors,,73-51,,
5:37.0,Turnover by D. Favors (lost ball; steal by W. Cauley-Stein),,73-51,,
5:36.0,,,73-51,,Turnover by R. Rondo (lost ball)
5:18.0,S. Mack makes 3-pt shot from 23 ft (assist by D. Favors),3,76-51,,
5:00.0,,,76-51,,S. Curry misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by D. Favors,,76-51,,
4:49.0,R. Hood misses 3-pt shot from 22 ft,,76-51,,
4:48.0,,,76-51,,Defensive rebound by D. Cousins
4:38.0,,,76-54,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Gay)
4:12.0,Turnover by S. Mack (lost ball),,76-54,,
4:12.0,C. Johnson enters the game for R. Hood,,76-54,,
4:12.0,T. Lyles enters the game for T. Booker,,76-54,,
4:12.0,,,76-54,,D. Collison enters the game for R. Rondo
4:12.0,,,76-54,,O. Casspi enters the game for D. Cousins
4:11.0,Jump ball: R. Gay vs. S. Mack (W. Cauley-Stein gains possession),,,,Jump ball: R. Gay vs. S. Mack (W. Cauley-Stein gains possession)
3:54.0,,,76-56,2,D. Collison makes 2-pt shot from 19 ft (assist by R. Gay)
3:49.0,G. Hayward makes 2-pt shot from 8 ft,2,78-56,,
3:49.0,Shooting foul by S. Curry (drawn by G. Hayward),,78-56,,
3:49.0,,,78-56,,K. Koufos enters the game for R. Gay
3:49.0,T. Burke enters the game for S. Mack,,78-56,,
3:49.0,G. Hayward makes free throw 1 of 1,1,79-56,,
3:40.0,,,79-56,,Shooting foul by T. Lyles (drawn by W. Cauley-Stein)
3:40.0,,,79-56,,W. Cauley-Stein misses free throw 1 of 2
3:40.0,,,79-56,,Offensive rebound by Team
3:40.0,,,79-56,,W. Cauley-Stein misses free throw 2 of 2
3:39.0,Defensive rebound by G. Hayward,,79-56,,
3:20.0,T. Lyles misses 3-pt shot from 24 ft,,79-56,,
3:19.0,,,79-56,,Defensive rebound by O. Casspi
3:04.0,,,79-58,2,O. Casspi makes 2-pt shot from 4 ft (assist by S. Curry)
2:57.0,Utah full timeout,,79-58,,
2:49.0,G. Hayward misses 2-pt shot from 23 ft,,79-58,,
2:49.0,,,79-58,,Defensive rebound by S. Curry
2:48.0,Personal foul by G. Hayward,,79-58,,
2:48.0,T. Booker enters the game for D. Favors,,79-58,,
2:28.0,,,79-60,2,K. Koufos makes 2-pt shot from 5 ft (assist by D. Collison)
2:08.0,T. Booker misses 3-pt shot from 22 ft,,79-60,,
2:07.0,,,79-60,,Defensive rebound by W. Cauley-Stein
1:59.0,,,79-60,,S. Curry misses 2-pt shot from 19 ft
1:58.0,Defensive rebound by T. Booker,,79-60,,
1:47.0,C. Johnson misses 2-pt shot from 6 ft,,79-60,,
1:46.0,,,79-60,,Defensive rebound by W. Cauley-Stein
1:40.0,,,79-62,2,K. Koufos makes 2-pt shot from 2 ft (assist by D. Collison)
1:23.0,C. Johnson makes 3-pt shot from 23 ft (assist by T. Burke),3,82-62,,
1:08.0,,,82-62,,O. Casspi misses 2-pt shot from 5 ft
1:07.0,,,82-62,,Offensive rebound by O. Casspi
1:06.0,,,82-64,2,O. Casspi makes 2-pt shot from 1 ft
1:00.0,G. Hayward misses 2-pt shot from 2 ft (block by K. Koufos),,82-64,,
0:58.0,,,82-64,,Defensive rebound by K. Koufos
0:50.0,,,82-64,,K. Koufos misses 2-pt shot from 4 ft
0:49.0,Defensive rebound by T. Lyles,,82-64,,
0:34.0,T. Burke makes 2-pt shot from 14 ft,2,84-64,,
0:28.0,,,84-67,3,O. Casspi makes 3-pt shot from 27 ft (assist by D. Collison)
0:06.0,Turnover by T. Lyles (lost ball; steal by S. Curry),,84-67,,
0:03.0,,,84-69,2,D. Collison makes 2-pt shot from 2 ft (assist by S. Curry)
0:00.0,T. Booker misses 3-pt shot from 25 ft,,84-69,,
0:00.0,Offensive rebound by Team,,84-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Offensive foul by T. Burke,,84-69,,
11:43.0,Turnover by T. Burke (offensive foul),,84-69,,
11:33.0,Personal foul by T. Lyles,,84-69,,
11:33.0,R. Gobert enters the game for T. Lyles,,84-69,,
11:19.0,,,84-69,,Q. Acy misses 2-pt shot from 20 ft
11:19.0,,,84-69,,Offensive rebound by Team
11:19.0,,,84-69,,Turnover by Team (shot clock)
11:09.0,,,84-69,,Personal foul by O. Casspi
11:09.0,,,84-69,,R. Rondo enters the game for S. Curry
11:08.0,Turnover by T. Burke (lost ball),,84-69,,
10:58.0,,,84-69,,O. Casspi misses 2-pt shot from 8 ft
10:57.0,Defensive rebound by D. Favors,,84-69,,
10:47.0,,,84-69,,Personal foul by R. Rondo
10:36.0,T. Burke makes 3-pt shot from 25 ft (assist by J. Ingles),3,87-69,,
10:25.0,Personal foul by J. Ingles,,87-69,,
10:12.0,,,87-69,,O. Casspi misses 2-pt shot from 9 ft
10:11.0,Defensive rebound by R. Gobert,,87-69,,
10:10.0,,,87-69,,Personal foul by Q. Acy
9:58.0,D. Favors misses 2-pt shot from 8 ft,,87-69,,
9:58.0,Offensive rebound by Team,,87-69,,
9:58.0,,,87-69,,Loose ball foul by K. Koufos
9:50.0,D. Favors misses 2-pt shot from 5 ft (block by K. Koufos),,87-69,,
9:48.0,,,87-69,,Defensive rebound by K. Koufos
9:39.0,,,87-71,2,R. Rondo makes 2-pt shot from 6 ft
9:18.0,R. Hood misses 2-pt shot from 8 ft,,87-71,,
9:16.0,Offensive rebound by D. Favors,,87-71,,
9:16.0,,,87-71,,Personal foul by K. Koufos
9:16.0,S. Mack enters the game for T. Burke,,87-71,,
9:16.0,D. Favors makes free throw 1 of 2,1,88-71,,
9:16.0,D. Favors makes free throw 2 of 2,1,89-71,,
9:05.0,,,89-71,,K. Koufos misses 2-pt shot from 11 ft
9:04.0,Defensive rebound by Team,,89-71,,
8:50.0,S. Mack makes 3-pt shot from 25 ft,3,92-71,,
8:49.0,,,92-71,,Sacramento full timeout
8:49.0,,,92-71,,W. Cauley-Stein enters the game for Q. Acy
8:49.0,,,92-71,,D. Cousins enters the game for K. Koufos
8:49.0,G. Hayward enters the game for R. Hood,,92-71,,
8:40.0,,,92-73,2,D. Cousins makes 2-pt shot from 3 ft
8:40.0,,,92-73,,Shooting foul by R. Gobert (drawn by D. Cousins)
8:40.0,T. Booker enters the game for R. Gobert,,92-73,,
8:40.0,,,92-74,1,D. Cousins makes free throw 1 of 1
8:21.0,D. Favors misses 2-pt shot from 5 ft (block by D. Cousins),,92-74,,
8:19.0,,,92-74,,Defensive rebound by D. Collison
8:18.0,,,92-74,,Shooting foul by S. Mack (drawn by D. Collison)
8:18.0,,,92-75,1,D. Collison makes free throw 1 of 2
8:18.0,,,92-76,1,D. Collison makes free throw 2 of 2
7:53.0,T. Booker misses 2-pt shot from 11 ft,,92-76,,
7:51.0,Offensive rebound by D. Favors,,92-76,,
7:48.0,,,92-76,,Personal foul by D. Collison
7:48.0,G. Hayward makes free throw 1 of 2,1,93-76,,
7:48.0,G. Hayward makes free throw 2 of 2,1,94-76,,
7:41.0,,,94-76,,Turnover by R. Rondo (lost ball; steal by D. Favors)
7:35.0,J. Ingles misses 3-pt shot from 23 ft,,94-76,,
7:34.0,,,94-76,,Defensive rebound by W. Cauley-Stein
7:25.0,,,94-79,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
7:00.0,T. Booker misses 2-pt shot from 7 ft,,94-79,,
6:59.0,,,94-79,,Defensive rebound by D. Cousins
6:52.0,,,94-81,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by R. Rondo)
6:51.0,Utah full timeout,,94-81,,
6:51.0,,,94-81,,R. Gay enters the game for O. Casspi
6:51.0,R. Hood enters the game for J. Ingles,,94-81,,
6:30.0,D. Favors misses 2-pt shot from 10 ft,,94-81,,
6:30.0,,,94-81,,Defensive rebound by D. Cousins
6:20.0,,,94-81,,D. Cousins misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by D. Favors,,94-81,,
6:16.0,Turnover by R. Hood (lost ball; steal by D. Collison),,94-81,,
6:15.0,,,94-81,,Shooting foul by R. Hood (drawn by D. Collison)
6:15.0,,,94-82,1,D. Collison makes free throw 1 of 2
6:15.0,,,94-83,1,D. Collison makes free throw 2 of 2
5:58.0,G. Hayward misses 3-pt shot from 24 ft,,94-83,,
5:57.0,,,94-83,,Defensive rebound by Team
5:41.0,Loose ball foul by T. Booker,,94-83,,
5:41.0,,,94-84,1,D. Cousins makes free throw 1 of 2
5:41.0,,,94-85,1,D. Cousins makes free throw 2 of 2
5:19.0,S. Mack misses 2-pt shot from 6 ft (block by D. Cousins),,94-85,,
5:19.0,Offensive rebound by Team,,94-85,,
5:16.0,Offensive foul by G. Hayward,,94-85,,
5:16.0,Turnover by G. Hayward (offensive foul),,94-85,,
5:16.0,R. Gobert enters the game for T. Booker,,94-85,,
5:06.0,,,94-85,,D. Cousins misses 2-pt shot from 2 ft
5:05.0,,,94-85,,Offensive rebound by D. Cousins
5:05.0,,,94-85,,D. Cousins misses 2-pt shot from 2 ft
5:04.0,,,94-85,,Offensive rebound by W. Cauley-Stein
5:02.0,,,94-85,,W. Cauley-Stein misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by R. Gobert,,94-85,,
4:41.0,R. Gobert misses 2-pt shot from 4 ft,,94-85,,
4:38.0,,,94-85,,Defensive rebound by R. Rondo
4:31.0,,,94-85,,R. Gay misses 2-pt shot from 8 ft
4:30.0,Defensive rebound by D. Favors,,94-85,,
4:08.0,Turnover by S. Mack (bad pass),,94-85,,
3:58.0,,,94-85,,Turnover by R. Rondo (lost ball; steal by D. Favors)
3:54.0,R. Hood makes 2-pt shot at rim (assist by S. Mack),2,96-85,,
3:54.0,,,96-85,,Sacramento full timeout
3:36.0,,,96-85,,D. Collison misses 3-pt shot from 24 ft
3:35.0,,,96-85,,Offensive rebound by R. Gay
3:33.0,,,96-87,2,R. Gay makes 2-pt shot from 2 ft
3:17.0,Offensive foul by R. Gobert,,96-87,,
3:17.0,Turnover by R. Gobert (offensive foul),,96-87,,
3:17.0,T. Booker enters the game for R. Gobert,,96-87,,
3:01.0,,,96-89,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Rondo)
2:38.0,R. Hood makes 2-pt shot from 8 ft,2,98-89,,
2:27.0,,,98-91,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Cousins)
2:03.0,S. Mack misses 3-pt shot from 25 ft,,98-91,,
2:01.0,Offensive rebound by D. Favors,,98-91,,
2:01.0,D. Favors makes 2-pt shot from 1 ft,2,100-91,,
1:52.0,,,100-91,,D. Cousins misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by T. Booker,,100-91,,
1:49.0,,,100-91,,Personal foul by R. Rondo
1:49.0,T. Booker makes free throw 1 of 2,1,101-91,,
1:49.0,T. Booker makes free throw 2 of 2,1,102-91,,
1:49.0,,,102-91,,Sacramento full timeout
1:49.0,,,102-91,,O. Casspi enters the game for W. Cauley-Stein
1:33.0,,,102-94,3,R. Rondo makes 3-pt shot from 24 ft (assist by D. Cousins)
1:09.0,Turnover by S. Mack (lost ball; steal by D. Cousins),,102-94,,
1:04.0,,,102-94,,D. Collison misses 3-pt shot from 25 ft
1:03.0,,,102-94,,Offensive rebound by R. Gay
1:02.0,,,102-96,2,R. Gay makes 2-pt shot from 4 ft
