time,Washington,pts.away,score,pts.home,Denver
8:32.0,,,5-9,1,K. Faried makes free throw 1 of 2
8:32.0,N. Hilario enters the game for M. Gortat,,5-9,,
8:32.0,,,5-10,1,K. Faried makes free throw 2 of 2
8:19.0,M. Morris makes 2-pt shot from 18 ft (assist by J. Wall),2,7-10,,
8:00.0,,,7-10,,Turnover by E. Mudiay (lost ball; steal by N. Hilario)
7:57.0,,,7-10,,Shooting block foul by J. Sampson (drawn by G. Temple)
7:57.0,G. Temple makes free throw 1 of 2,1,8-10,,
7:57.0,G. Temple makes free throw 2 of 2,1,9-10,,
7:46.0,,,9-12,2,E. Mudiay makes 2-pt shot from 1 ft (assist by G. Harris)
7:39.0,O. Porter misses 2-pt shot from 18 ft,,9-12,,
7:38.0,,,9-12,,Defensive rebound by J. Sampson
7:30.0,,,9-12,,Turnover by G. Harris (lost ball; steal by N. Hilario)
7:25.0,O. Porter makes 2-pt shot from 2 ft (assist by N. Hilario),2,11-12,,
7:17.0,,,11-12,,Denver full timeout
7:02.0,,,11-14,2,G. Harris makes 2-pt shot from 20 ft (assist by J. Sampson)
6:41.0,O. Porter misses 2-pt shot from 21 ft,,11-14,,
6:40.0,,,11-14,,Defensive rebound by N. Jokic
6:28.0,,,11-14,,G. Harris misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by J. Wall,,11-14,,
6:18.0,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall),3,14-14,,
6:05.0,,,14-14,,Turnover by J. Sampson (traveling)
6:05.0,,,14-14,,W. Barton enters the game for J. Sampson
5:52.0,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall),3,17-14,,
5:37.0,,,17-14,,Turnover by N. Jokic (bad pass)
5:26.0,J. Wall misses 2-pt shot from 3 ft,,17-14,,
5:26.0,,,17-14,,Defensive rebound by N. Jokic
5:17.0,,,17-14,,G. Harris misses 2-pt shot from 1 ft
5:15.0,,,17-14,,Offensive rebound by G. Harris
5:09.0,,,17-14,,E. Mudiay misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by G. Temple,,17-14,,
5:01.0,M. Morris misses 3-pt shot from 24 ft,,17-14,,
5:00.0,,,17-14,,Defensive rebound by N. Jokic
4:57.0,Personal foul by M. Morris,,17-14,,
4:57.0,,,17-14,,D. Arthur enters the game for K. Faried
4:57.0,R. Sessions enters the game for O. Porter,,17-14,,
4:48.0,,,17-16,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
4:35.0,Shooting foul by N. Jokic (drawn by N. Hilario),,17-16,,
4:35.0,N. Hilario misses free throw 1 of 2,,17-16,,
4:35.0,Offensive rebound by Team,,17-16,,
4:35.0,,,17-16,,J. Lauvergne enters the game for N. Jokic
4:35.0,N. Hilario misses free throw 2 of 2,,17-16,,
4:35.0,,,17-16,,Defensive rebound by D. Arthur
4:25.0,,,17-16,,Turnover by E. Mudiay (lost ball)
4:11.0,R. Sessions misses 3-pt shot from 23 ft,,17-16,,
4:09.0,,,17-16,,Defensive rebound by W. Barton
4:03.0,,,17-18,2,W. Barton makes 2-pt shot from 15 ft
3:44.0,N. Hilario misses 2-pt shot from 6 ft,,17-18,,
3:43.0,,,17-18,,Defensive rebound by J. Lauvergne
3:33.0,,,17-18,,D. Arthur misses 2-pt shot from 22 ft
3:33.0,,,17-18,,Offensive rebound by J. Lauvergne
3:30.0,,,17-18,,Turnover by J. Lauvergne (lost ball; steal by N. Hilario)
3:26.0,M. Morris misses 2-pt shot from 2 ft,,17-18,,
3:24.0,,,17-18,,Defensive rebound by W. Barton
3:18.0,,,17-20,2,D. Arthur makes 2-pt shot from 1 ft (assist by W. Barton)
3:12.0,Washington full timeout,,17-20,,
3:12.0,,,17-20,,D. Augustin enters the game for E. Mudiay
3:12.0,J. Dudley enters the game for M. Morris,,17-20,,
3:01.0,R. Sessions misses 3-pt shot from 26 ft,,17-20,,
3:00.0,,,17-20,,Defensive rebound by J. Lauvergne
2:34.0,,,17-20,,D. Arthur misses 2-pt shot from 4 ft
2:34.0,Defensive rebound by J. Dudley,,17-20,,
2:29.0,Turnover by R. Sessions (lost ball; steal by G. Harris),,17-20,,
2:24.0,,,17-22,2,G. Harris makes 2-pt shot from 1 ft
2:01.0,R. Sessions misses 2-pt shot from 2 ft,,17-22,,
2:00.0,,,17-22,,Defensive rebound by J. Lauvergne
1:52.0,,,17-22,,W. Barton misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by G. Temple,,17-22,,
1:34.0,N. Hilario makes 2-pt shot from 11 ft (assist by J. Dudley),2,19-22,,
1:15.0,,,19-24,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by D. Augustin)
1:09.0,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall),2,21-24,,
0:55.0,,,21-24,,Turnover by D. Augustin (lost ball; steal by J. Dudley)
0:50.0,J. Wall misses 2-pt shot at rim,,21-24,,
0:49.0,Offensive rebound by G. Temple,,21-24,,
0:48.0,Turnover by G. Temple (bad pass),,21-24,,
0:48.0,O. Porter enters the game for G. Temple,,21-24,,
0:42.0,M. Thornton enters the game for J. Wall,,21-24,,
0:38.0,,,21-27,3,D. Augustin makes 3-pt shot from 24 ft (assist by D. Arthur)
0:18.0,Turnover by N. Hilario (lost ball; steal by J. Lauvergne),,21-27,,
0:14.0,,,21-27,,Turnover by D. Arthur (lost ball; steal by O. Porter)
0:13.0,J. Dudley makes 2-pt shot from 2 ft (assist by O. Porter),2,23-27,,
0:01.0,,,23-27,,D. Augustin misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by Team,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,23-27,,D. Augustin misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by R. Sessions,,23-27,,
11:33.0,R. Sessions makes 2-pt shot from 2 ft,2,25-27,,
11:10.0,,,25-27,,W. Barton misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by J. Dudley,,25-27,,
10:51.0,Offensive charge foul by M. Thornton,,25-27,,
10:51.0,Turnover by M. Thornton (offensive foul),,25-27,,
10:42.0,,,25-29,2,W. Barton makes 2-pt shot from 17 ft
10:24.0,,,25-29,,Personal foul by A. Toupane
10:19.0,N. Hilario makes 2-pt shot from 4 ft,2,27-29,,
10:06.0,,,27-31,2,D. Arthur makes 2-pt shot from 2 ft (assist by W. Barton)
9:46.0,N. Hilario misses 2-pt shot from 10 ft,,27-31,,
9:46.0,,,27-31,,Defensive rebound by D. Arthur
9:30.0,,,27-31,,Turnover by D. Augustin (lost ball; steal by O. Porter)
9:26.0,O. Porter misses 2-pt shot from 2 ft (block by D. Arthur),,27-31,,
9:25.0,Offensive rebound by O. Porter,,27-31,,
9:24.0,O. Porter misses 2-pt shot from 2 ft (block by W. Barton),,27-31,,
9:23.0,,,27-31,,Defensive rebound by W. Barton
9:22.0,Personal foul by J. Dudley,,27-31,,
9:22.0,M. Gortat enters the game for N. Hilario,,27-31,,
9:15.0,,,27-31,,Turnover by D. Augustin (lost ball; steal by M. Thornton)
9:10.0,R. Sessions makes 2-pt shot at rim (assist by M. Thornton),2,29-31,,
8:52.0,,,29-31,,J. Lauvergne misses 2-pt shot from 3 ft
8:50.0,,,29-31,,Offensive rebound by D. Arthur
8:50.0,,,29-33,2,D. Arthur makes 2-pt shot from 1 ft
8:40.0,O. Porter misses 3-pt shot from 24 ft,,29-33,,
8:39.0,,,29-33,,Defensive rebound by J. Lauvergne
8:32.0,,,29-33,,D. Augustin misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by M. Thornton,,29-33,,
8:24.0,M. Thornton misses 2-pt shot from 6 ft,,29-33,,
8:23.0,Offensive rebound by M. Gortat,,29-33,,
8:22.0,M. Gortat misses 2-pt shot from 2 ft,,29-33,,
8:21.0,,,29-33,,Defensive rebound by Team
8:21.0,Official timeout,,29-33,,
8:21.0,,,29-33,,J. Nurkic enters the game for J. Lauvergne
8:07.0,,,29-35,2,W. Barton makes 2-pt shot from 6 ft
7:48.0,M. Gortat misses 2-pt shot from 2 ft (block by A. Toupane),,29-35,,
7:48.0,Offensive rebound by Team,,29-35,,
7:44.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Dudley),3,32-35,,
7:24.0,,,32-35,,D. Arthur misses 2-pt shot from 22 ft
7:24.0,Defensive rebound by R. Sessions,,32-35,,
7:18.0,Turnover by R. Sessions (lost ball; steal by A. Toupane),,32-35,,
7:15.0,Personal take foul by O. Porter,,32-35,,
7:07.0,,,32-35,,D. Augustin misses 3-pt shot from 25 ft
7:06.0,,,32-35,,Offensive rebound by J. Nurkic
7:00.0,,,32-35,,J. Nurkic misses 2-pt shot from 4 ft
6:59.0,Defensive rebound by R. Sessions,,32-35,,
6:49.0,M. Thornton misses 3-pt shot from 24 ft,,32-35,,
6:48.0,,,32-35,,Defensive rebound by J. Nurkic
6:34.0,,,32-35,,D. Arthur misses 2-pt shot from 4 ft
6:34.0,,,32-35,,Offensive rebound by Team
6:34.0,Loose ball foul by M. Gortat,,32-35,,
6:34.0,J. Wall enters the game for R. Sessions,,32-35,,
6:34.0,G. Temple enters the game for M. Thornton,,32-35,,
6:33.0,J. Hickson enters the game for M. Gortat,,32-35,,
6:22.0,,,32-38,3,D. Arthur makes 3-pt shot from 27 ft (assist by D. Augustin)
6:12.0,J. Dudley makes 2-pt shot from 2 ft (assist by J. Wall),2,34-38,,
5:48.0,,,34-38,,Turnover by J. Nurkic (kicked ball)
5:48.0,,,34-38,,Denver full timeout
5:48.0,,,34-38,,K. Faried enters the game for D. Arthur
5:38.0,J. Dudley misses 2-pt shot from 17 ft,,34-38,,
5:37.0,Offensive rebound by J. Hickson,,34-38,,
5:34.0,J. Hickson misses 2-pt shot from 5 ft (block by A. Toupane),,34-38,,
5:32.0,,,34-38,,Defensive rebound by D. Augustin
5:21.0,,,34-38,,Turnover by W. Barton (traveling)
5:21.0,M. Morris enters the game for J. Dudley,,34-38,,
5:10.0,J. Wall misses 2-pt shot from 15 ft,,34-38,,
5:09.0,,,34-38,,Defensive rebound by W. Barton
4:57.0,,,34-38,,Offensive charge foul by J. Nurkic
4:57.0,,,34-38,,Turnover by J. Nurkic (offensive foul)
4:57.0,,,34-38,,E. Mudiay enters the game for W. Barton
4:57.0,,,34-38,,G. Harris enters the game for A. Toupane
4:42.0,G. Temple misses 3-pt shot from 22 ft,,34-38,,
4:41.0,,,34-38,,Defensive rebound by K. Faried
4:32.0,,,34-38,,Turnover by K. Faried (lost ball; steal by O. Porter)
4:26.0,Shooting foul by J. Nurkic (drawn by J. Hickson),,34-38,,
4:26.0,J. Hickson makes free throw 1 of 2,1,35-38,,
4:26.0,J. Hickson makes free throw 2 of 2,1,36-38,,
4:06.0,,,36-40,2,D. Augustin makes 2-pt shot from 2 ft
3:51.0,J. Hickson makes 2-pt shot from 5 ft,2,38-40,,
3:51.0,Shooting foul by J. Nurkic (drawn by J. Hickson),,38-40,,
3:51.0,,,38-40,,N. Jokic enters the game for J. Nurkic
3:51.0,J. Hickson misses free throw 1 of 1,,38-40,,
3:50.0,Offensive rebound by Team,,38-40,,
3:49.0,Turnover by J. Hickson (traveling),,38-40,,
3:40.0,,,38-40,,Turnover by E. Mudiay (lost ball; steal by M. Morris)
3:36.0,O. Porter misses 2-pt shot from 2 ft,,38-40,,
3:35.0,Offensive rebound by G. Temple,,38-40,,
3:34.0,G. Temple makes 2-pt shot from 2 ft,2,40-40,,
3:34.0,,,40-40,,Denver full timeout
3:22.0,Technical foul by M. Morris,,40-40,,
3:22.0,,,40-41,1,G. Harris makes technical free throw
3:10.0,,,40-41,,G. Harris misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by J. Hickson,,40-41,,
3:01.0,,,40-41,,Technical foul by G. Harris
3:01.0,M. Morris makes technical free throw,1,41-41,,
2:54.0,O. Porter makes 2-pt shot from 4 ft (assist by M. Morris),2,43-41,,
2:35.0,,,43-41,,K. Faried misses 2-pt shot from 4 ft
2:34.0,Defensive rebound by J. Wall,,43-41,,
2:27.0,Turnover by M. Morris (traveling),,43-41,,
2:13.0,,,43-43,2,E. Mudiay makes 2-pt shot from 1 ft
2:00.0,M. Morris misses 2-pt shot from 19 ft,,43-43,,
1:59.0,,,43-43,,Defensive rebound by N. Jokic
1:46.0,,,43-43,,Shooting foul by O. Porter (drawn by D. Augustin)
1:46.0,,,43-44,1,D. Augustin makes free throw 1 of 2
1:46.0,M. Thornton enters the game for O. Porter,,43-44,,
1:46.0,,,43-44,,D. Arthur enters the game for N. Jokic
1:46.0,,,43-44,,D. Augustin misses free throw 2 of 2
1:44.0,Defensive rebound by J. Hickson,,43-44,,
1:31.0,Shooting foul by E. Mudiay (drawn by J. Wall),,43-44,,
1:31.0,J. Wall makes free throw 1 of 2,1,44-44,,
1:31.0,J. Wall makes free throw 2 of 2,1,45-44,,
1:17.0,,,45-44,,K. Faried misses 2-pt shot from 3 ft
1:17.0,,,45-44,,Offensive rebound by K. Faried
1:17.0,,,45-46,2,K. Faried makes 2-pt shot from 3 ft
1:02.0,M. Thornton makes 3-pt shot from 23 ft (assist by J. Wall),3,48-46,,
0:57.0,,,48-48,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
0:42.0,G. Temple misses 3-pt shot from 24 ft,,48-48,,
0:40.0,,,48-48,,Defensive rebound by G. Harris
0:35.0,,,48-50,2,G. Harris makes 2-pt shot from 1 ft (assist by D. Augustin)
0:31.0,J. Wall makes 2-pt shot from 2 ft,2,50-50,,
0:10.0,Violation by M. Morris (def goaltending),,50-50,,
0:10.0,,,50-52,2,K. Faried makes 2-pt shot from 4 ft (assist by E. Mudiay)
0:03.0,J. Wall misses 2-pt shot from 15 ft,,50-52,,
0:02.0,Offensive rebound by M. Morris,,50-52,,
0:02.0,M. Morris misses 2-pt shot at rim,,50-52,,
0:01.0,Offensive rebound by J. Hickson,,50-52,,
0:01.0,J. Hickson misses 2-pt shot from 2 ft,,50-52,,
0:00.0,Offensive rebound by Team,,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,50-52,,E. Mudiay misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by J. Wall,,50-52,,
11:23.0,M. Gortat misses 2-pt shot at rim,,50-52,,
11:22.0,,,50-52,,Defensive rebound by J. Sampson
11:19.0,,,50-52,,Turnover by G. Harris (lost ball)
11:05.0,,,50-52,,Personal foul by J. Sampson
10:55.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,52-52,,
10:40.0,,,52-52,,E. Mudiay misses 2-pt shot from 6 ft (block by J. Wall)
10:40.0,Jump ball: E. Mudiay vs. J. Wall (M. Gortat gains possession),,,,Jump ball: E. Mudiay vs. J. Wall (M. Gortat gains possession)
10:40.0,Offensive rebound by Team,,52-52,,
10:28.0,M. Morris makes 2-pt shot from 14 ft,2,54-52,,
10:17.0,Personal foul by M. Gortat,,54-52,,
10:17.0,N. Hilario enters the game for M. Gortat,,54-52,,
10:06.0,,,54-55,3,J. Sampson makes 3-pt shot from 24 ft (assist by N. Jokic)
9:52.0,J. Wall misses 3-pt shot from 25 ft,,54-55,,
9:50.0,Offensive rebound by N. Hilario,,54-55,,
9:40.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,57-55,,
9:21.0,,,57-55,,E. Mudiay misses 2-pt shot from 3 ft (block by M. Morris)
9:20.0,Defensive rebound by M. Morris,,57-55,,
9:19.0,,,57-55,,Loose ball foul by K. Faried
9:11.0,Turnover by J. Wall (bad pass),,57-55,,
8:50.0,,,57-57,2,K. Faried makes 2-pt shot from 17 ft (assist by G. Harris)
8:31.0,,,57-57,,Personal foul by N. Jokic
8:23.0,O. Porter makes 2-pt shot from 1 ft (assist by N. Hilario),2,59-57,,
8:23.0,,,59-57,,Denver full timeout
8:08.0,,,59-57,,J. Sampson misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by G. Temple,,59-57,,
7:58.0,M. Morris misses 2-pt shot from 17 ft,,59-57,,
7:55.0,,,59-57,,Defensive rebound by G. Harris
7:35.0,,,59-57,,G. Harris misses 2-pt shot from 2 ft
7:35.0,Defensive rebound by N. Hilario,,59-57,,
7:28.0,Turnover by J. Wall (lost ball; steal by E. Mudiay),,59-57,,
7:23.0,,,59-59,2,G. Harris makes 2-pt shot from 1 ft
6:58.0,N. Hilario misses 2-pt shot from 2 ft (block by G. Harris),,59-59,,
6:57.0,,,59-59,,Defensive rebound by Team
6:51.0,,,59-59,,Turnover by E. Mudiay (lost ball; steal by G. Temple)
6:50.0,,,59-59,,Loose ball foul by E. Mudiay
6:28.0,M. Morris makes 2-pt shot from 13 ft,2,61-59,,
6:09.0,,,61-59,,Shooting foul by M. Morris (drawn by J. Sampson)
6:09.0,,,61-59,,J. Sampson misses free throw 1 of 2
6:09.0,,,61-59,,Offensive rebound by Team
6:09.0,,,61-60,1,J. Sampson makes free throw 2 of 2
5:57.0,Shooting foul by G. Harris (drawn by N. Hilario),,61-60,,
5:57.0,N. Hilario misses free throw 1 of 2,,61-60,,
5:57.0,Offensive rebound by Team,,61-60,,
5:57.0,N. Hilario makes free throw 2 of 2,1,62-60,,
5:36.0,Personal foul by N. Hilario,,62-60,,
5:23.0,,,62-62,2,E. Mudiay makes 2-pt shot from 15 ft
5:08.0,Turnover by J. Wall (step out of bounds),,62-62,,
4:59.0,,,62-62,,Offensive foul by N. Jokic
4:59.0,,,62-62,,Turnover by N. Jokic (offensive foul)
4:59.0,,,62-62,,J. Lauvergne enters the game for N. Jokic
4:48.0,J. Wall makes 2-pt shot from 2 ft,2,64-62,,
4:48.0,Shooting foul by J. Lauvergne (drawn by J. Wall),,64-62,,
4:48.0,,,64-62,,W. Barton enters the game for J. Sampson
4:48.0,J. Wall makes free throw 1 of 1,1,65-62,,
4:25.0,,,65-62,,J. Lauvergne misses 2-pt shot from 21 ft
4:23.0,Defensive rebound by N. Hilario,,65-62,,
4:19.0,,,65-62,,Violation by K. Faried (def goaltending)
4:19.0,J. Wall makes 2-pt shot from 1 ft,2,67-62,,
4:04.0,,,67-62,,Turnover by K. Faried (lost ball; steal by N. Hilario)
4:01.0,O. Porter makes 2-pt shot from 1 ft,2,69-62,,
4:01.0,Shooting foul by J. Lauvergne (drawn by O. Porter),,69-62,,
4:01.0,,,69-62,,D. Arthur enters the game for K. Faried
4:01.0,,,69-62,,J. Nurkic enters the game for J. Lauvergne
4:01.0,O. Porter makes free throw 1 of 1,1,70-62,,
3:47.0,,,70-62,,W. Barton misses 2-pt shot from 2 ft (block by N. Hilario)
3:45.0,Defensive rebound by J. Wall,,70-62,,
3:31.0,G. Temple misses 2-pt shot from 16 ft,,70-62,,
3:31.0,Offensive rebound by O. Porter,,70-62,,
3:31.0,O. Porter makes 2-pt shot at rim,2,72-62,,
3:31.0,Shooting foul by E. Mudiay (drawn by O. Porter),,72-62,,
3:31.0,,,72-62,,D. Augustin enters the game for E. Mudiay
3:31.0,O. Porter misses free throw 1 of 1,,72-62,,
3:30.0,,,72-62,,Defensive rebound by W. Barton
3:20.0,Personal foul by N. Hilario,,72-62,,
3:20.0,M. Thornton enters the game for O. Porter,,72-62,,
3:20.0,J. Hickson enters the game for N. Hilario,,72-62,,
3:07.0,,,72-62,,D. Arthur misses 3-pt shot from 26 ft
3:06.0,,,72-62,,Offensive rebound by Team
3:06.0,Personal foul by J. Hickson,,72-62,,
3:06.0,,,72-62,,J. Nurkic misses free throw 1 of 2
3:06.0,,,72-62,,Offensive rebound by Team
3:06.0,J. Dudley enters the game for M. Morris,,72-62,,
3:06.0,,,72-63,1,J. Nurkic makes free throw 2 of 2
2:49.0,Shooting foul by W. Barton (drawn by J. Hickson),,72-63,,
2:49.0,Washington full timeout,,72-63,,
2:49.0,J. Hickson makes free throw 1 of 2,1,73-63,,
2:49.0,J. Hickson makes free throw 2 of 2,1,74-63,,
2:33.0,,,74-63,,J. Nurkic misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by J. Dudley,,74-63,,
2:30.0,,,74-63,,Violation by G. Harris (kicked ball)
2:22.0,M. Thornton misses 3-pt shot from 22 ft,,74-63,,
2:21.0,,,74-63,,Defensive rebound by G. Harris
2:16.0,,,74-65,2,G. Harris makes 2-pt shot from 2 ft
2:08.0,M. Thornton makes 2-pt shot from 13 ft,2,76-65,,
1:50.0,,,76-65,,W. Barton misses 2-pt shot from 17 ft
1:50.0,,,76-65,,Offensive rebound by Team
1:50.0,Loose ball foul by G. Temple,,76-65,,
1:50.0,,,76-66,1,J. Nurkic makes free throw 1 of 2
1:50.0,R. Sessions enters the game for G. Temple,,76-66,,
1:50.0,,,76-67,1,J. Nurkic makes free throw 2 of 2
1:33.0,J. Wall misses 2-pt shot from 18 ft,,76-67,,
1:32.0,,,76-67,,Defensive rebound by D. Arthur
1:23.0,,,76-67,,Shooting foul by J. Dudley (drawn by J. Nurkic)
1:23.0,,,76-68,1,J. Nurkic makes free throw 1 of 2
1:23.0,,,76-69,1,J. Nurkic makes free throw 2 of 2
1:11.0,J. Hickson makes 2-pt shot from 10 ft (assist by J. Wall),2,78-69,,
1:00.0,Personal foul by J. Hickson,,78-69,,
1:00.0,,,78-70,1,J. Nurkic makes free throw 1 of 2
1:00.0,,,78-71,1,J. Nurkic makes free throw 2 of 2
0:46.0,J. Hickson makes 2-pt shot from 1 ft (assist by R. Sessions),2,80-71,,
0:36.0,,,80-73,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Arthur)
0:32.0,Shooting foul by D. Arthur (drawn by J. Wall),,80-73,,
0:32.0,J. Wall misses free throw 1 of 2,,80-73,,
0:32.0,Offensive rebound by Team,,80-73,,
0:32.0,J. Wall makes free throw 2 of 2,1,81-73,,
0:21.0,,,81-73,,G. Harris misses 3-pt shot from 23 ft
0:18.0,,,81-73,,Offensive rebound by J. Nurkic
0:18.0,,,81-73,,J. Nurkic misses 2-pt shot from 1 ft
0:18.0,,,81-73,,Offensive rebound by D. Arthur
0:18.0,,,81-73,,Shooting foul by J. Dudley (drawn by D. Arthur)
0:18.0,,,81-74,1,D. Arthur makes free throw 1 of 2
0:18.0,,,81-75,1,D. Arthur makes free throw 2 of 2
0:18.0,Washington full timeout,,81-75,,
0:18.0,,,81-75,,J. Sampson enters the game for J. Nurkic
0:00.0,J. Wall makes 2-pt shot from 14 ft,2,83-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Hickson misses 2-pt shot from 2 ft (block by J. Nurkic),,83-75,,
11:42.0,,,83-75,,Defensive rebound by D. Augustin
11:38.0,,,83-75,,W. Barton misses 3-pt shot from 24 ft
11:37.0,Defensive rebound by Team,,83-75,,
11:24.0,Shooting foul by D. Arthur (drawn by J. Dudley),,83-75,,
11:24.0,J. Dudley misses free throw 1 of 2,,83-75,,
11:24.0,Offensive rebound by Team,,83-75,,
11:24.0,J. Dudley makes free throw 2 of 2,1,84-75,,
11:14.0,,,84-77,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Augustin)
10:52.0,J. Wall makes 2-pt shot from 17 ft,2,86-77,,
10:41.0,Personal foul by R. Sessions,,86-77,,
10:41.0,N. Hilario enters the game for J. Hickson,,86-77,,
10:35.0,,,86-80,3,W. Barton makes 3-pt shot from 24 ft (assist by D. Augustin)
10:21.0,J. Dudley misses 3-pt shot from 23 ft,,86-80,,
10:20.0,,,86-80,,Defensive rebound by Team
10:20.0,Personal foul by M. Thornton,,86-80,,
10:07.0,,,86-82,2,D. Augustin makes 2-pt shot from 2 ft
9:49.0,N. Hilario misses 2-pt shot from 17 ft,,86-82,,
9:48.0,,,86-82,,Defensive rebound by W. Barton
9:33.0,,,86-82,,D. Augustin misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by M. Thornton,,86-82,,
9:19.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Wall),3,89-82,,
9:00.0,,,89-85,3,D. Arthur makes 3-pt shot from 23 ft (assist by A. Toupane)
8:41.0,Offensive foul by N. Hilario,,89-85,,
8:41.0,Turnover by N. Hilario (offensive foul),,89-85,,
8:41.0,Official timeout,,89-85,,
8:41.0,G. Temple enters the game for R. Sessions,,89-85,,
8:30.0,Personal foul by G. Temple,,89-85,,
8:25.0,,,89-87,2,J. Nurkic makes 2-pt shot at rim (assist by D. Augustin)
7:58.0,Turnover by Team (shot clock),,89-87,,
7:38.0,,,89-89,2,J. Nurkic makes 2-pt shot at rim (assist by D. Augustin)
7:13.0,J. Wall misses 2-pt shot from 19 ft,,89-89,,
7:13.0,,,89-89,,Defensive rebound by W. Barton
7:09.0,,,89-91,2,W. Barton makes 2-pt shot from 1 ft
7:08.0,Washington full timeout,,89-91,,
7:08.0,M. Morris enters the game for J. Dudley,,89-91,,
7:08.0,O. Porter enters the game for M. Thornton,,89-91,,
6:58.0,Turnover by J. Wall (lost ball; steal by W. Barton),,89-91,,
6:44.0,,,89-94,3,D. Arthur makes 3-pt shot from 25 ft (assist by J. Nurkic)
6:28.0,Offensive foul by O. Porter,,89-94,,
6:28.0,Turnover by O. Porter (offensive foul),,89-94,,
6:14.0,,,89-96,2,D. Augustin makes 2-pt shot from 2 ft
5:56.0,Turnover by M. Morris (lost ball; steal by A. Toupane),,89-96,,
5:51.0,,,89-96,,Turnover by W. Barton (lost ball; steal by O. Porter)
5:47.0,Shooting foul by D. Augustin (drawn by O. Porter),,89-96,,
5:47.0,O. Porter makes free throw 1 of 2,1,90-96,,
5:47.0,O. Porter makes free throw 2 of 2,1,91-96,,
5:32.0,,,91-99,3,A. Toupane makes 3-pt shot from 23 ft (assist by D. Augustin)
5:15.0,,,91-99,,Personal foul by A. Toupane
