time,Charlotte,pts.away,score,pts.home,New York
7:06.0,S. Hawes misses free throw 2 of 2,,92-76,,
7:05.0,,,92-76,,Defensive rebound by R. Lopez
6:50.0,,,92-76,,L. Galloway misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by J. Lamb,,92-76,,
6:38.0,J. Lamb makes 2-pt shot from 2 ft,2,94-76,,
6:24.0,Personal foul by J. Lamb,,94-76,,
6:24.0,C. Lee enters the game for S. Hawes,,94-76,,
6:15.0,Violation by M. Williams (kicked ball),,94-76,,
6:15.0,K. Walker enters the game for J. Lamb,,94-76,,
6:05.0,,,94-78,2,S. Vujacic makes 2-pt shot from 16 ft (assist by R. Lopez)
5:42.0,Official timeout,,94-78,,
5:40.0,M. Williams misses 2-pt shot from 17 ft,,94-78,,
5:38.0,,,94-78,,Defensive rebound by C. Anthony
5:29.0,,,94-81,3,L. Galloway makes 3-pt shot from 23 ft (assist by S. Vujacic)
5:12.0,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Lin),2,96-81,,
4:58.0,,,96-81,,Turnover by R. Lopez (lost ball; steal by A. Jefferson)
4:48.0,Turnover by K. Walker (lost ball; steal by C. Anthony),,96-81,,
4:30.0,,,96-84,3,S. Vujacic makes 3-pt shot from 23 ft (assist by C. Anthony)
4:01.0,M. Williams makes 2-pt shot from 21 ft (assist by A. Jefferson),2,98-84,,
3:47.0,,,98-86,2,C. Anthony makes 2-pt shot from 17 ft
3:32.0,Shooting foul by R. Lopez (drawn by A. Jefferson),,98-86,,
3:32.0,,,98-86,,Technical foul by R. Lopez
3:32.0,K. Walker makes technical free throw,1,99-86,,
3:32.0,,,99-86,,Technical foul by R. Lopez
3:32.0,,,99-86,,K. O'Quinn enters the game for R. Lopez
3:32.0,K. Walker makes technical free throw,1,100-86,,
3:32.0,A. Jefferson makes free throw 1 of 2,1,101-86,,
3:32.0,A. Jefferson makes free throw 2 of 2,1,102-86,,
3:23.0,,,102-88,2,L. Galloway makes 2-pt shot from 2 ft (assist by A. Afflalo)
3:05.0,Turnover by K. Walker (lost ball; steal by L. Galloway),,102-88,,
2:57.0,,,102-88,,C. Anthony misses 3-pt shot from 25 ft
2:55.0,,,102-88,,Offensive rebound by S. Vujacic
2:54.0,,,102-90,2,S. Vujacic makes 2-pt shot from 2 ft
2:33.0,A. Jefferson misses 2-pt shot from 4 ft (block by K. O'Quinn),,102-90,,
2:31.0,,,102-90,,Defensive rebound by K. O'Quinn
2:21.0,,,102-93,3,A. Afflalo makes 3-pt shot from 23 ft (assist by L. Galloway)
2:20.0,Charlotte full timeout,,102-93,,
2:20.0,C. Zeller enters the game for A. Jefferson,,102-93,,
2:04.0,Turnover by J. Lin (lost ball; steal by L. Galloway),,102-93,,
1:59.0,,,102-95,2,L. Galloway makes 2-pt shot from 1 ft
1:40.0,K. Walker misses 2-pt shot from 15 ft,,102-95,,
1:36.0,Offensive rebound by Team,,102-95,,
1:22.0,K. Walker makes 3-pt shot from 25 ft,3,105-95,,
1:14.0,Personal foul by M. Williams,,105-95,,
1:04.0,,,105-97,2,C. Anthony makes 2-pt shot from 18 ft
0:50.0,K. Walker makes 2-pt shot from 2 ft,2,107-97,,
0:50.0,Shooting foul by K. O'Quinn (drawn by K. Walker),,107-97,,
0:50.0,K. Walker makes free throw 1 of 1,1,108-97,,
0:39.0,,,108-97,,A. Afflalo misses 3-pt shot from 24 ft
0:37.0,,,108-97,,Offensive rebound by C. Anthony
0:28.0,,,108-97,,C. Anthony misses 2-pt shot from 12 ft
0:26.0,Defensive rebound by C. Lee,,108-97,,
0:06.0,J. Lin makes 3-pt shot from 27 ft,3,111-97,,
0:02.0,,,111-97,,Turnover by S. Vujacic (lost ball; steal by C. Zeller)
0:00.0,End of 4th quarter,,,,End of 4th quarter
