time,Indiana,pts.away,score,pts.home,Golden State
3:44.0,,,13-27,,S. Curry misses 2-pt shot from 19 ft
3:44.0,Defensive rebound by Team,,13-27,,
3:44.0,,,13-27,,Loose ball foul by F. Ezeli (drawn by J. Hill)
3:28.0,P. George makes 2-pt shot from 10 ft,2,15-27,,
3:12.0,,,15-27,,Shooting foul by J. Hill (drawn by F. Ezeli)
3:12.0,,,15-28,1,F. Ezeli makes free throw 1 of 2
3:12.0,M. Turner enters the game for J. Hill,,15-28,,
3:12.0,,,15-28,,F. Ezeli misses free throw 2 of 2
3:12.0,Defensive rebound by M. Turner,,15-28,,
2:51.0,J. Young misses 2-pt shot from 13 ft,,15-28,,
2:51.0,,,15-28,,Defensive rebound by A. Iguodala
2:45.0,,,15-28,,Turnover by D. Green (lost ball; steal by J. Young)
2:39.0,J. Young makes 2-pt shot from 2 ft,2,17-28,,
2:26.0,,,17-30,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
2:04.0,P. George misses 2-pt shot from 19 ft,,17-30,,
2:03.0,,,17-30,,Defensive rebound by S. Curry
1:57.0,,,17-30,,S. Curry misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by Team,,17-30,,
1:57.0,,,17-30,,Golden State full timeout
1:57.0,L. Allen enters the game for G. Robinson,,17-30,,
1:43.0,J. Young misses 3-pt shot from 25 ft,,17-30,,
1:43.0,Offensive rebound by Team,,17-30,,
1:43.0,,,17-30,,Personal foul by F. Ezeli (drawn by M. Turner)
1:37.0,P. George misses 3-pt shot from 26 ft,,17-30,,
1:37.0,,,17-30,,Defensive rebound by L. Barbosa
1:20.0,,,17-30,,Turnover by A. Iguodala (bad pass; steal by M. Turner)
1:15.0,Shooting foul by F. Ezeli (drawn by L. Allen),,17-30,,
1:15.0,L. Allen makes free throw 1 of 2,1,18-30,,
1:15.0,,,18-30,,M. Speights enters the game for F. Ezeli
1:15.0,,,18-30,,H. Barnes enters the game for D. Green
1:15.0,C. Budinger enters the game for P. George,,18-30,,
1:15.0,L. Allen misses free throw 2 of 2,,18-30,,
1:14.0,,,18-30,,Defensive rebound by H. Barnes
0:59.0,,,18-30,,A. Iguodala misses 3-pt shot from 26 ft
0:58.0,,,18-30,,Offensive rebound by Team
0:54.0,,,18-32,2,L. Barbosa makes 2-pt shot from 2 ft (assist by M. Speights)
0:43.0,M. Turner misses 2-pt shot from 6 ft,,18-32,,
0:42.0,,,18-32,,Defensive rebound by S. Curry
0:26.0,,,18-32,,H. Barnes misses 2-pt shot from 14 ft
0:26.0,Defensive rebound by M. Turner,,18-32,,
0:03.0,M. Turner misses 3-pt shot from 24 ft,,18-32,,
0:01.0,,,18-32,,Defensive rebound by M. Speights
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,18-32,,Shooting foul by M. Ellis (drawn by L. Barbosa)
11:49.0,,,18-33,1,L. Barbosa makes free throw 1 of 2
11:49.0,J. Young enters the game for M. Ellis,,18-33,,
11:49.0,,,18-34,1,L. Barbosa makes free throw 2 of 2
11:39.0,,,18-34,,Personal foul by M. Speights (drawn by L. Allen)
11:31.0,M. Turner makes 2-pt shot from 2 ft (assist by C. Budinger),2,20-34,,
11:15.0,,,20-34,,M. Speights misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by J. Young,,20-34,,
11:06.0,J. Young makes 2-pt shot from 18 ft,2,22-34,,
10:49.0,,,22-34,,H. Barnes misses 2-pt shot from 1 ft (block by M. Turner)
10:48.0,Defensive rebound by C. Miles,,22-34,,
10:39.0,Turnover by J. Young (bad pass; steal by S. Livingston),,22-34,,
10:38.0,Personal foul by C. Budinger (drawn by S. Livingston),,22-34,,
10:26.0,,,22-34,,S. Livingston misses 2-pt shot from 12 ft
10:25.0,Defensive rebound by C. Miles,,22-34,,
10:09.0,M. Turner makes 2-pt shot from 13 ft (assist by C. Budinger),2,24-34,,
9:54.0,,,24-34,,Turnover by L. Barbosa (lost ball; steal by L. Allen)
9:48.0,,,24-34,,Flagrant foul type 1 by M. Speights (drawn by C. Budinger)
9:48.0,C. Budinger misses flagrant free throw 1 of 2,,24-34,,
9:48.0,Offensive rebound by Team,,24-34,,
9:48.0,C. Budinger makes flagrant free throw 2 of 2,1,25-34,,
9:48.0,,,25-34,,K. Thompson enters the game for L. Barbosa
9:36.0,Shooting foul by A. Iguodala (drawn by C. Miles),,25-34,,
9:36.0,C. Miles misses free throw 1 of 2,,25-34,,
9:36.0,Offensive rebound by Team,,25-34,,
9:36.0,C. Miles makes free throw 2 of 2,1,26-34,,
9:23.0,,,26-34,,M. Speights misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by C. Budinger,,26-34,,
9:11.0,M. Turner misses 2-pt shot from 13 ft,,26-34,,
9:10.0,,,26-34,,Defensive rebound by H. Barnes
8:58.0,,,26-34,,Turnover by A. Iguodala (bad pass)
8:58.0,Official timeout,,26-34,,
8:58.0,,,26-34,,A. Bogut enters the game for M. Speights
8:39.0,,,26-34,,Def 3 sec tech foul by S. Livingston
8:39.0,J. Young misses technical free throw,,26-34,,
8:39.0,Offensive rebound by Team,,26-34,,
8:35.0,C. Miles misses 2-pt shot from 11 ft,,26-34,,
8:34.0,Offensive rebound by C. Miles,,26-34,,
8:32.0,C. Miles misses 2-pt shot at rim,,26-34,,
8:31.0,,,26-34,,Defensive rebound by A. Iguodala
8:19.0,,,26-36,2,S. Livingston makes 2-pt shot from 12 ft
7:57.0,Shooting foul by H. Barnes (drawn by M. Turner),,26-36,,
7:57.0,M. Turner makes free throw 1 of 2,1,27-36,,
7:57.0,,,27-36,,D. Green enters the game for A. Iguodala
7:57.0,M. Turner misses free throw 2 of 2,,27-36,,
7:57.0,,,27-36,,Defensive rebound by D. Green
7:44.0,,,27-36,,K. Thompson misses 2-pt shot from 18 ft
7:44.0,,,27-36,,Offensive rebound by A. Bogut
7:44.0,,,27-36,,A. Bogut misses 2-pt shot from 2 ft
7:41.0,,,27-36,,Offensive rebound by A. Bogut
7:41.0,,,27-38,2,A. Bogut makes 2-pt shot at rim
7:25.0,M. Turner makes 2-pt shot from 4 ft (assist by L. Allen),2,29-38,,
7:17.0,,,29-38,,S. Livingston misses 2-pt shot from 1 ft (block by M. Turner)
7:17.0,,,29-38,,Offensive rebound by Team
7:07.0,,,29-40,2,H. Barnes makes 2-pt shot from 7 ft (assist by D. Green)
7:07.0,,,29-40,,Shooting foul by J. Young (drawn by H. Barnes)
7:07.0,,,29-41,1,H. Barnes makes free throw 1 of 1
6:52.0,J. Young makes 2-pt shot from 16 ft,2,31-41,,
6:42.0,,,31-41,,K. Thompson misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by L. Allen,,31-41,,
6:28.0,J. Young makes 2-pt shot at rim,2,33-41,,
6:28.0,,,33-41,,Golden State full timeout
6:28.0,,,33-41,,S. Curry enters the game for H. Barnes
6:15.0,,,33-44,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
5:53.0,M. Turner makes 2-pt shot from 12 ft (assist by J. Young),2,35-44,,
5:43.0,,,35-44,,Shooting foul by L. Allen (drawn by K. Thompson)
5:43.0,,,35-45,1,K. Thompson makes free throw 1 of 2
5:43.0,,,35-46,1,K. Thompson makes free throw 2 of 2
5:32.0,L. Allen makes 2-pt shot from 19 ft (assist by J. Young),2,37-46,,
5:15.0,Personal foul by J. Young,,37-46,,
5:15.0,,,37-47,1,S. Curry makes free throw 1 of 2
5:15.0,P. George enters the game for C. Miles,,37-47,,
5:15.0,,,37-48,1,S. Curry makes free throw 2 of 2
5:03.0,J. Young misses 2-pt shot from 20 ft,,37-48,,
5:02.0,Offensive rebound by M. Turner,,37-48,,
5:02.0,M. Turner makes 2-pt shot from 1 ft,2,39-48,,
4:55.0,Violation by C. Budinger (kicked ball),,39-48,,
4:48.0,,,39-48,,S. Curry misses 3-pt shot from 24 ft
4:47.0,,,39-48,,Offensive rebound by K. Thompson
4:31.0,,,39-51,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut)
4:29.0,Indiana full timeout,,39-51,,
4:29.0,,,39-51,,H. Barnes enters the game for A. Bogut
4:29.0,,,39-51,,A. Iguodala enters the game for S. Livingston
4:29.0,G. Robinson enters the game for L. Allen,,39-51,,
4:29.0,S. Hill enters the game for C. Budinger,,39-51,,
4:07.0,S. Hill makes 2-pt shot from 1 ft,2,41-51,,
3:44.0,,,41-51,,Turnover by K. Thompson (bad pass; steal by G. Robinson)
3:38.0,M. Turner makes 2-pt shot at rim (assist by J. Young),2,43-51,,
3:20.0,,,43-54,3,A. Iguodala makes 3-pt shot from 23 ft (assist by S. Curry)
3:03.0,G. Robinson misses 3-pt shot from 26 ft,,43-54,,
3:02.0,Offensive rebound by M. Turner,,43-54,,
2:45.0,P. George makes 2-pt shot from 2 ft,2,45-54,,
2:36.0,,,45-56,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
2:24.0,J. Young misses 2-pt shot from 22 ft,,45-56,,
2:24.0,,,45-56,,Defensive rebound by A. Iguodala
2:17.0,,,45-56,,K. Thompson misses 3-pt shot from 24 ft
2:16.0,Defensive rebound by J. Young,,45-56,,
2:06.0,Turnover by J. Young (bad pass; steal by S. Curry),,45-56,,
2:01.0,C. Miles enters the game for M. Turner,,45-56,,
2:01.0,C. Budinger enters the game for J. Young,,45-56,,
1:59.0,,,45-58,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
1:39.0,P. George misses 2-pt shot from 13 ft,,45-58,,
1:37.0,Offensive rebound by C. Miles,,45-58,,
1:33.0,C. Miles misses 3-pt shot from 25 ft,,45-58,,
1:33.0,,,45-58,,Defensive rebound by D. Green
1:24.0,,,45-58,,K. Thompson misses 2-pt shot from 19 ft
1:24.0,Defensive rebound by S. Hill,,45-58,,
1:18.0,Shooting foul by H. Barnes (drawn by S. Hill),,45-58,,
1:18.0,S. Hill makes free throw 1 of 2,1,46-58,,
1:18.0,S. Hill makes free throw 2 of 2,1,47-58,,
1:04.0,,,47-58,,Turnover by D. Green (bad pass; steal by P. George)
0:59.0,G. Robinson misses 2-pt shot from 2 ft,,47-58,,
0:58.0,Offensive rebound by C. Budinger,,47-58,,
0:58.0,C. Budinger makes 2-pt shot from 1 ft,2,49-58,,
0:42.0,,,49-58,,A. Iguodala misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by S. Hill,,49-58,,
0:34.0,C. Budinger makes 2-pt shot from 1 ft (assist by S. Hill),2,51-58,,
0:28.0,,,51-61,3,S. Curry makes 3-pt shot from 28 ft
0:07.0,G. Robinson misses 2-pt shot from 1 ft,,51-61,,
0:04.0,,,51-61,,Defensive rebound by H. Barnes
0:01.0,,,51-64,3,S. Curry makes 3-pt shot from 48 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,51-64,,A. Bogut misses 2-pt shot from 1 ft
11:46.0,Defensive rebound by J. Hill,,51-64,,
11:33.0,M. Ellis makes 2-pt shot from 17 ft,2,53-64,,
11:22.0,,,53-64,,Shooting foul by P. George (drawn by S. Curry)
11:22.0,,,53-65,1,S. Curry makes free throw 1 of 2
11:22.0,,,53-66,1,S. Curry makes free throw 2 of 2
11:08.0,J. Hill misses 2-pt shot from 9 ft,,53-66,,
11:07.0,,,53-66,,Defensive rebound by H. Barnes
10:54.0,,,53-66,,D. Green misses 3-pt shot from 28 ft
10:52.0,Defensive rebound by P. George,,53-66,,
10:35.0,J. Hill makes 2-pt shot from 4 ft (assist by M. Ellis),2,55-66,,
10:27.0,,,55-66,,Turnover by S. Curry (bad pass; steal by S. Hill)
10:18.0,P. George misses 3-pt shot from 25 ft,,55-66,,
10:18.0,,,55-66,,Defensive rebound by A. Bogut
10:05.0,,,55-66,,H. Barnes misses 2-pt shot from 17 ft (block by M. Ellis)
10:05.0,Defensive rebound by M. Ellis,,55-66,,
10:00.0,M. Ellis makes 2-pt shot from 2 ft,2,57-66,,
10:00.0,Shooting foul by S. Curry (drawn by M. Ellis),,57-66,,
10:00.0,,,57-66,,Golden State full timeout
10:00.0,M. Ellis misses free throw 1 of 1,,57-66,,
10:00.0,,,57-66,,Defensive rebound by D. Green
9:37.0,,,57-66,,Turnover by K. Thompson (bad pass; steal by G. Robinson)
9:27.0,M. Ellis makes 2-pt shot from 18 ft (assist by S. Hill),2,59-66,,
9:14.0,,,59-66,,D. Green misses 2-pt shot from 1 ft
9:13.0,Defensive rebound by Team,,59-66,,
8:58.0,P. George misses 2-pt shot from 18 ft,,59-66,,
8:57.0,,,59-66,,Defensive rebound by A. Bogut
8:43.0,,,59-66,,A. Bogut misses 2-pt shot from 4 ft
8:41.0,,,59-66,,Offensive rebound by H. Barnes
8:27.0,,,59-66,,Shooting foul by J. Hill (drawn by H. Barnes)
8:27.0,,,59-67,1,H. Barnes makes free throw 1 of 2
8:27.0,,,59-67,,H. Barnes misses free throw 2 of 2
8:27.0,,,59-67,,Offensive rebound by H. Barnes
8:13.0,,,59-67,,S. Curry misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by J. Hill,,59-67,,
8:10.0,Turnover by J. Hill (traveling),,59-67,,
8:03.0,,,59-67,,K. Thompson misses 2-pt shot from 20 ft
8:03.0,,,59-67,,Offensive rebound by S. Curry
7:58.0,,,59-70,3,S. Curry makes 3-pt shot from 25 ft
7:50.0,,,59-70,,Personal foul by A. Bogut (drawn by S. Hill)
7:39.0,G. Robinson misses 2-pt shot from 21 ft,,59-70,,
7:38.0,,,59-70,,Defensive rebound by D. Green
7:32.0,,,59-70,,K. Thompson misses 3-pt shot from 26 ft
7:31.0,Defensive rebound by J. Hill,,59-70,,
7:21.0,M. Ellis misses 2-pt shot from 16 ft,,59-70,,
7:21.0,Offensive rebound by Team,,59-70,,
7:13.0,P. George misses 2-pt shot from 15 ft (block by A. Bogut),,59-70,,
7:12.0,,,59-70,,Defensive rebound by K. Thompson
6:59.0,,,59-70,,S. Curry misses 3-pt shot from 23 ft
6:58.0,Defensive rebound by M. Ellis,,59-70,,
6:50.0,M. Ellis makes 2-pt shot from 17 ft,2,61-70,,
6:37.0,,,61-70,,A. Bogut misses 2-pt shot from 1 ft (block by J. Hill)
6:34.0,,,61-70,,Offensive rebound by A. Bogut
6:31.0,,,61-70,,K. Thompson misses 3-pt shot from 25 ft
6:30.0,,,61-70,,Offensive rebound by H. Barnes
6:26.0,,,61-73,3,S. Curry makes 3-pt shot from 22 ft (assist by H. Barnes)
6:26.0,Indiana full timeout,,61-73,,
6:26.0,,,61-73,,A. Iguodala enters the game for H. Barnes
6:14.0,J. Hill misses 2-pt shot from 4 ft,,61-73,,
6:12.0,,,61-73,,Defensive rebound by S. Curry
5:49.0,,,61-73,,S. Curry misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by J. Hill,,61-73,,
5:40.0,M. Ellis makes 2-pt shot from 17 ft,2,63-73,,
5:40.0,Shooting foul by A. Iguodala (drawn by M. Ellis),,63-73,,
5:40.0,M. Ellis makes free throw 1 of 1,1,64-73,,
5:22.0,,,64-76,3,K. Thompson makes 3-pt shot from 22 ft (assist by S. Curry)
5:12.0,M. Ellis makes 2-pt shot from 18 ft,2,66-76,,
4:58.0,,,66-76,,Shooting foul by P. George (drawn by S. Curry)
4:58.0,,,66-77,1,S. Curry makes free throw 1 of 2
4:58.0,,,66-77,,F. Ezeli enters the game for A. Bogut
4:58.0,M. Turner enters the game for J. Hill,,66-77,,
4:58.0,L. Allen enters the game for S. Hill,,66-77,,
4:58.0,,,66-78,1,S. Curry makes free throw 2 of 2
4:39.0,P. George makes 3-pt shot from 24 ft,3,69-78,,
4:26.0,,,69-78,,F. Ezeli misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by M. Turner,,69-78,,
4:12.0,M. Ellis misses 2-pt shot from 18 ft,,69-78,,
4:12.0,,,69-78,,Defensive rebound by Team
4:12.0,Loose ball foul by M. Turner (drawn by S. Curry),,69-78,,
4:02.0,,,69-80,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
3:43.0,M. Ellis misses 3-pt shot from 23 ft,,69-80,,
3:43.0,,,69-80,,Defensive rebound by F. Ezeli
3:33.0,,,69-80,,Turnover by A. Iguodala (bad pass; steal by M. Ellis)
3:33.0,,,69-80,,Personal foul by D. Green (drawn by M. Ellis)
3:33.0,,,69-80,,L. Barbosa enters the game for K. Thompson
3:20.0,P. George misses 3-pt shot from 25 ft,,69-80,,
3:20.0,Offensive rebound by Team,,69-80,,
3:07.0,G. Robinson misses 2-pt shot from 2 ft,,69-80,,
3:05.0,Offensive rebound by L. Allen,,69-80,,
3:05.0,L. Allen misses 2-pt shot at rim,,69-80,,
3:03.0,,,69-80,,Defensive rebound by D. Green
3:00.0,,,69-82,2,L. Barbosa makes 2-pt shot at rim (assist by A. Iguodala)
2:41.0,L. Allen misses 2-pt shot from 15 ft,,69-82,,
2:41.0,,,69-82,,Defensive rebound by D. Green
2:31.0,,,69-82,,Offensive foul by L. Barbosa
2:31.0,,,69-82,,Turnover by L. Barbosa (offensive foul)
2:31.0,,,69-82,,H. Barnes enters the game for D. Green
2:31.0,J. Young enters the game for G. Robinson,,69-82,,
2:16.0,M. Ellis misses 2-pt shot from 18 ft,,69-82,,
2:15.0,,,69-82,,Defensive rebound by Team
1:59.0,Personal foul by P. George (drawn by S. Curry),,69-82,,
1:59.0,,,69-83,1,S. Curry makes free throw 1 of 2
1:59.0,C. Miles enters the game for P. George,,69-83,,
1:59.0,,,69-84,1,S. Curry makes free throw 2 of 2
1:44.0,Turnover by L. Allen (lost ball; steal by F. Ezeli),,69-84,,
1:38.0,,,69-84,,L. Barbosa misses 2-pt shot at rim
1:38.0,,,69-84,,Offensive rebound by Team
1:34.0,,,69-84,,Turnover by S. Curry (bad pass; steal by C. Miles)
1:29.0,M. Turner makes 2-pt shot at rim (assist by J. Young),2,71-84,,
1:29.0,Shooting foul by H. Barnes (drawn by M. Turner),,71-84,,
1:29.0,M. Turner misses free throw 1 of 1,,71-84,,
1:28.0,,,71-84,,Defensive rebound by F. Ezeli
1:14.0,,,71-84,,Turnover by H. Barnes (lost ball)
0:54.0,J. Young misses 3-pt shot from 26 ft,,71-84,,
0:54.0,Offensive rebound by M. Ellis,,71-84,,
0:49.0,M. Ellis makes 2-pt shot from 17 ft,2,73-84,,
0:43.0,,,73-84,,S. Curry misses 3-pt shot from 27 ft
0:41.0,Defensive rebound by M. Turner,,73-84,,
0:33.0,Turnover by C. Miles (bad pass; steal by L. Barbosa),,73-84,,
0:30.0,,,73-86,2,L. Barbosa makes 2-pt shot at rim
0:07.0,M. Turner misses 2-pt shot from 1 ft (block by F. Ezeli),,73-86,,
0:07.0,Offensive rebound by C. Miles,,73-86,,
0:06.0,C. Miles makes 2-pt shot from 1 ft,2,75-86,,
0:02.0,,,75-86,,L. Barbosa misses 2-pt shot from 3 ft
0:01.0,,,75-86,,Offensive rebound by A. Iguodala
0:00.0,,,75-88,2,A. Iguodala makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Turner makes 2-pt shot from 14 ft (assist by C. Budinger),2,77-88,,
11:36.0,,,77-88,,Offensive foul by S. Livingston
11:36.0,,,77-88,,Turnover by S. Livingston (offensive foul)
11:12.0,C. Miles misses 3-pt shot from 28 ft,,77-88,,
11:11.0,Offensive rebound by L. Allen,,77-88,,
11:09.0,L. Allen makes 2-pt shot at rim,2,79-88,,
10:49.0,,,79-88,,A. Iguodala misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by L. Allen,,79-88,,
10:42.0,J. Young makes 2-pt shot at rim,2,81-88,,
10:42.0,Shooting foul by H. Barnes (drawn by J. Young),,81-88,,
10:42.0,J. Young makes free throw 1 of 1,1,82-88,,
10:27.0,,,82-88,,Shooting foul by C. Budinger (drawn by A. Iguodala)
10:27.0,,,82-88,,A. Iguodala misses free throw 1 of 2
10:27.0,,,82-88,,Offensive rebound by Team
10:27.0,,,82-89,1,A. Iguodala makes free throw 2 of 2
10:14.0,Offensive foul by M. Turner,,82-89,,
10:14.0,Turnover by M. Turner (offensive foul),,82-89,,
10:01.0,,,82-91,2,L. Barbosa makes 2-pt shot from 16 ft (assist by F. Ezeli)
9:37.0,Turnover by J. Young (step out of bounds),,82-91,,
9:21.0,,,82-91,,H. Barnes misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by C. Budinger,,82-91,,
9:12.0,C. Miles misses 3-pt shot from 26 ft,,82-91,,
9:11.0,Offensive rebound by M. Turner,,82-91,,
9:07.0,M. Turner misses 2-pt shot from 3 ft,,82-91,,
9:05.0,Offensive rebound by L. Allen,,82-91,,
9:05.0,L. Allen misses 2-pt shot from 1 ft,,82-91,,
9:04.0,Offensive rebound by L. Allen,,82-91,,
9:03.0,M. Turner makes 2-pt shot from 1 ft (assist by L. Allen),2,84-91,,
8:55.0,,,84-93,2,L. Barbosa makes 2-pt shot at rim (assist by S. Livingston)
8:55.0,,,84-93,,Shooting foul by J. Young (drawn by L. Barbosa)
8:55.0,Official timeout,,84-93,,
8:55.0,,,84-93,,D. Green enters the game for H. Barnes
8:55.0,,,84-93,,K. Thompson enters the game for F. Ezeli
8:55.0,P. George enters the game for C. Miles,,84-93,,
8:55.0,M. Ellis enters the game for C. Budinger,,84-93,,
8:55.0,,,84-94,1,L. Barbosa makes free throw 1 of 1
8:44.0,,,84-94,,Personal foul by D. Green (drawn by P. George)
8:31.0,M. Ellis misses 2-pt shot from 1 ft,,84-94,,
8:30.0,,,84-94,,Defensive rebound by D. Green
8:19.0,,,84-94,,Offensive foul by L. Barbosa
8:19.0,,,84-94,,Turnover by L. Barbosa (offensive foul)
7:55.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Young),2,86-94,,
7:39.0,,,86-94,,Shooting foul by L. Allen (drawn by S. Livingston)
7:39.0,,,86-95,1,S. Livingston makes free throw 1 of 2
7:39.0,,,86-95,,S. Curry enters the game for L. Barbosa
7:39.0,,,86-96,1,S. Livingston makes free throw 2 of 2
7:28.0,Shooting foul by D. Green (drawn by M. Turner),,86-96,,
7:28.0,M. Turner makes free throw 1 of 2,1,87-96,,
7:28.0,M. Turner makes free throw 2 of 2,1,88-96,,
7:09.0,,,88-96,,A. Iguodala misses 2-pt shot from 17 ft
7:09.0,,,88-96,,Offensive rebound by D. Green
7:09.0,,,88-96,,D. Green misses 2-pt shot from 2 ft
7:07.0,,,88-96,,Offensive rebound by D. Green
7:07.0,,,88-98,2,D. Green makes 2-pt shot from 1 ft
6:53.0,Shooting foul by A. Iguodala (drawn by P. George),,88-98,,
6:53.0,P. George makes free throw 1 of 2,1,89-98,,
6:53.0,,,89-98,,H. Barnes enters the game for A. Iguodala
6:53.0,P. George misses free throw 2 of 2,,89-98,,
6:52.0,,,89-98,,Defensive rebound by H. Barnes
6:42.0,Personal foul by P. George (drawn by S. Curry),,89-98,,
6:42.0,G. Robinson enters the game for P. George,,89-98,,
