time,Denver,pts.away,score,pts.home,Toronto
7:13.0,Defensive rebound by D. Arthur,,15-4,,
7:03.0,,,15-4,,Violation by D. DeRozan (kicked ball)
6:54.0,,,15-4,,Personal foul by D. Carroll (drawn by D. Gallinari)
6:54.0,,,15-4,,P. Patterson enters the game for L. Scola
6:41.0,D. Arthur misses 2-pt shot from 1 ft (block by B. Biyombo),,15-4,,
6:40.0,,,15-4,,Defensive rebound by K. Lowry
6:40.0,Personal foul by D. Gallinari (drawn by K. Lowry),,15-4,,
6:29.0,,,15-4,,Shooting foul by E. Mudiay (drawn by D. DeRozan)
6:29.0,,,15-5,1,D. DeRozan makes free throw 1 of 2
6:29.0,,,15-6,1,D. DeRozan makes free throw 2 of 2
6:13.0,D. Arthur misses 2-pt shot from 17 ft,,15-6,,
6:12.0,,,15-6,,Defensive rebound by D. Carroll
5:53.0,,,15-6,,D. Carroll misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by Team,,15-6,,
5:43.0,J. Lauvergne misses 2-pt shot from 19 ft,,15-6,,
5:43.0,,,15-6,,Defensive rebound by D. DeRozan
5:37.0,,,15-9,3,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan)
5:25.0,R. Foye makes 3-pt shot from 24 ft (assist by E. Mudiay),3,18-9,,
5:15.0,,,18-9,,P. Patterson misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by E. Mudiay,,18-9,,
5:11.0,,,18-9,,Violation by D. DeRozan (def goaltending)
5:11.0,D. Arthur makes 2-pt shot at rim (assist by E. Mudiay),2,20-9,,
4:55.0,,,20-9,,D. Carroll misses 2-pt shot from 6 ft
4:55.0,Defensive rebound by J. Lauvergne,,20-9,,
4:46.0,E. Mudiay misses 2-pt shot from 19 ft,,20-9,,
4:45.0,,,20-9,,Defensive rebound by B. Biyombo
4:36.0,,,20-9,,K. Lowry misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by D. Arthur,,20-9,,
4:12.0,D. Arthur makes 3-pt shot from 24 ft (assist by E. Mudiay),3,23-9,,
3:48.0,,,23-9,,B. Biyombo misses 2-pt shot from 7 ft (block by D. Arthur)
3:46.0,Defensive rebound by D. Arthur,,23-9,,
3:39.0,Shooting foul by B. Biyombo (drawn by D. Gallinari),,23-9,,
3:39.0,D. Gallinari makes free throw 1 of 2,1,24-9,,
3:39.0,,,24-9,,C. Joseph enters the game for D. Carroll
3:39.0,W. Barton enters the game for D. Arthur,,24-9,,
3:39.0,D. Gallinari makes free throw 2 of 2,1,25-9,,
3:17.0,,,25-11,2,D. DeRozan makes 2-pt shot from 16 ft
2:54.0,W. Barton misses 3-pt shot from 26 ft,,25-11,,
2:54.0,,,25-11,,Defensive rebound by Team
2:54.0,Loose ball foul by J. Lauvergne (drawn by B. Biyombo),,25-11,,
2:54.0,Denver full timeout,,25-11,,
2:54.0,,,25-11,,T. Ross enters the game for B. Biyombo
2:54.0,,,25-11,,L. Nogueira enters the game for K. Lowry
2:54.0,N. Jokic enters the game for J. Lauvergne,,25-11,,
2:54.0,J. Nelson enters the game for E. Mudiay,,25-11,,
2:43.0,,,25-13,2,D. DeRozan makes 2-pt shot from 5 ft
2:19.0,D. Gallinari misses 2-pt shot from 2 ft,,25-13,,
2:19.0,Offensive rebound by N. Jokic,,25-13,,
2:16.0,N. Jokic makes 2-pt shot from 1 ft,2,27-13,,
2:01.0,,,27-15,2,D. DeRozan makes 2-pt shot from 14 ft
1:35.0,D. Gallinari misses 3-pt shot from 25 ft,,27-15,,
1:34.0,,,27-15,,Defensive rebound by D. DeRozan
1:26.0,,,27-17,2,L. Nogueira makes 2-pt shot from 2 ft (assist by D. DeRozan)
1:02.0,R. Foye misses 2-pt shot from 19 ft,,27-17,,
1:01.0,,,27-17,,Defensive rebound by P. Patterson
0:40.0,,,27-17,,T. Ross misses 2-pt shot from 9 ft
0:40.0,Defensive rebound by D. Gallinari,,27-17,,
0:31.0,D. Gallinari makes 2-pt shot from 16 ft,2,29-17,,
0:12.0,Personal foul by W. Barton (drawn by D. DeRozan),,29-17,,
0:03.0,,,29-19,2,C. Joseph makes 2-pt shot from 2 ft
0:00.0,R. Foye misses 3-pt shot from 44 ft,,29-19,,
0:00.0,Offensive rebound by Team,,29-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay),3,32-19,,
11:28.0,,,32-21,2,J. Johnson makes 2-pt shot from 8 ft
11:08.0,W. Barton makes 3-pt shot from 24 ft (assist by J. Nelson),3,35-21,,
10:49.0,,,35-24,3,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson)
10:37.0,M. Miller misses 3-pt shot from 22 ft,,35-24,,
10:37.0,,,35-24,,Defensive rebound by J. Johnson
10:25.0,,,35-24,,T. Ross misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by M. Miller,,35-24,,
10:09.0,N. Jokic makes 2-pt shot from 2 ft (assist by E. Mudiay),2,37-24,,
9:49.0,,,37-24,,C. Joseph misses 2-pt shot from 15 ft
9:48.0,Defensive rebound by N. Jokic,,37-24,,
9:39.0,J. Nelson misses 3-pt shot from 25 ft,,37-24,,
9:38.0,,,37-24,,Defensive rebound by J. Johnson
9:34.0,Personal foul by W. Barton (drawn by J. Johnson),,37-24,,
9:28.0,,,37-27,3,C. Joseph makes 3-pt shot from 24 ft (assist by P. Patterson)
9:00.0,,,37-27,,D. Carroll enters the game for P. Patterson
8:57.0,E. Mudiay makes 2-pt shot from 20 ft (assist by W. Barton),2,39-27,,
8:39.0,,,39-27,,D. Carroll misses 2-pt shot from 6 ft
8:38.0,Defensive rebound by W. Barton,,39-27,,
8:24.0,W. Barton makes 2-pt shot from 17 ft (assist by E. Mudiay),2,41-27,,
8:06.0,,,41-29,2,J. Johnson makes 2-pt shot at rim (assist by D. Carroll)
7:57.0,E. Mudiay misses 3-pt shot from 23 ft,,41-29,,
7:57.0,,,41-29,,Defensive rebound by J. Johnson
7:52.0,Official timeout,,41-29,,
7:52.0,,,41-29,,B. Biyombo enters the game for L. Nogueira
7:52.0,,,41-29,,K. Lowry enters the game for J. Johnson
7:38.0,,,41-29,,C. Joseph misses 2-pt shot from 16 ft
7:37.0,Defensive rebound by E. Mudiay,,41-29,,
7:30.0,,,41-29,,Def 3 sec tech foul by K. Lowry
7:30.0,W. Barton makes technical free throw,1,42-29,,
7:17.0,W. Barton makes 3-pt shot from 24 ft (assist by J. Nelson),3,45-29,,
6:49.0,,,45-29,,T. Ross misses 2-pt shot from 4 ft
6:49.0,,,45-29,,Offensive rebound by T. Ross
6:47.0,,,45-29,,T. Ross misses 2-pt shot from 1 ft
6:45.0,,,45-29,,Offensive rebound by T. Ross
6:44.0,,,45-29,,T. Ross misses 2-pt shot from 1 ft
6:43.0,Defensive rebound by N. Jokic,,45-29,,
6:37.0,M. Miller misses 3-pt shot from 25 ft,,45-29,,
6:37.0,,,45-29,,Defensive rebound by Team
6:29.0,,,45-29,,K. Lowry misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by J. Nelson,,45-29,,
6:18.0,N. Jokic misses 2-pt shot from 2 ft,,45-29,,
6:18.0,,,45-29,,Defensive rebound by B. Biyombo
6:11.0,,,45-29,,T. Ross misses 3-pt shot from 22 ft
6:11.0,Defensive rebound by E. Mudiay,,45-29,,
6:05.0,E. Mudiay misses 2-pt shot from 2 ft (block by K. Lowry),,45-29,,
6:03.0,,,45-29,,Defensive rebound by C. Joseph
5:54.0,,,45-29,,D. Carroll misses 2-pt shot from 6 ft
5:52.0,Defensive rebound by N. Jokic,,45-29,,
5:36.0,N. Jokic makes 2-pt shot from 4 ft (assist by J. Nelson),2,47-29,,
5:28.0,,,47-29,,Toronto full timeout
5:28.0,,,47-29,,L. Scola enters the game for C. Joseph
5:28.0,,,47-29,,D. DeRozan enters the game for T. Ross
5:28.0,J. Lauvergne enters the game for N. Jokic,,47-29,,
5:23.0,Personal block foul by J. Nelson (drawn by K. Lowry),,47-29,,
5:15.0,,,47-31,2,D. DeRozan makes 2-pt shot from 7 ft
5:15.0,,,47-31,,Shooting foul by J. Lauvergne (drawn by D. DeRozan)
5:15.0,R. Foye enters the game for J. Nelson,,47-31,,
5:15.0,D. Arthur enters the game for M. Miller,,47-31,,
5:15.0,,,47-32,1,D. DeRozan makes free throw 1 of 1
4:56.0,R. Foye misses 3-pt shot from 26 ft,,47-32,,
4:55.0,,,47-32,,Defensive rebound by K. Lowry
4:44.0,,,47-34,2,D. DeRozan makes 2-pt shot from 1 ft
4:32.0,Turnover by E. Mudiay (bad pass; steal by K. Lowry),,47-34,,
4:28.0,,,47-34,,Shooting foul by D. Arthur (drawn by L. Scola)
4:28.0,Denver full timeout,,47-34,,
4:28.0,D. Gallinari enters the game for W. Barton,,47-34,,
4:28.0,Violation by Team (delay of game),,47-34,,
4:28.0,,,47-35,1,L. Scola makes free throw 1 of 2
4:28.0,,,47-36,1,L. Scola makes free throw 2 of 2
4:09.0,D. Arthur misses 2-pt shot from 5 ft,,47-36,,
4:09.0,,,47-36,,Defensive rebound by D. Carroll
4:01.0,,,47-36,,D. DeRozan misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by J. Lauvergne,,47-36,,
3:51.0,Shooting foul by K. Lowry (drawn by J. Lauvergne),,47-36,,
3:51.0,J. Lauvergne makes free throw 1 of 2,1,48-36,,
3:51.0,J. Lauvergne makes free throw 2 of 2,1,49-36,,
3:38.0,,,49-36,,D. Carroll misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by J. Lauvergne,,49-36,,
3:29.0,Offensive foul by R. Foye,,49-36,,
3:29.0,Turnover by R. Foye (offensive foul),,49-36,,
3:15.0,,,49-36,,D. DeRozan misses 2-pt shot from 16 ft
3:14.0,,,49-36,,Offensive rebound by B. Biyombo
3:11.0,,,49-38,2,B. Biyombo makes 2-pt shot from 1 ft
2:47.0,D. Gallinari misses 2-pt shot from 3 ft,,49-38,,
2:47.0,,,49-38,,Defensive rebound by Team
2:47.0,Loose ball foul by D. Gallinari (drawn by B. Biyombo),,49-38,,
2:47.0,,,49-39,1,B. Biyombo makes free throw 1 of 2
2:47.0,,,49-39,,C. Joseph enters the game for D. Carroll
2:47.0,,,49-40,1,B. Biyombo makes free throw 2 of 2
2:33.0,,,49-40,,Personal foul by L. Scola (drawn by D. Gallinari)
2:33.0,W. Barton enters the game for J. Lauvergne,,49-40,,
2:27.0,E. Mudiay misses 2-pt shot from 19 ft,,49-40,,
2:24.0,Offensive rebound by Team,,49-40,,
2:23.0,Shooting foul by C. Joseph (drawn by R. Foye),,49-40,,
2:23.0,R. Foye makes 2-pt shot from 1 ft (assist by W. Barton),2,51-40,,
2:23.0,R. Foye makes free throw 1 of 1,1,52-40,,
2:03.0,,,52-40,,C. Joseph misses 2-pt shot from 2 ft
2:03.0,,,52-40,,Offensive rebound by C. Joseph
2:01.0,,,52-40,,Turnover by C. Joseph (bad pass)
1:51.0,D. Gallinari makes 2-pt shot at rim,2,54-40,,
1:27.0,,,54-42,2,D. DeRozan makes 2-pt shot from 9 ft
1:11.0,W. Barton misses 2-pt shot from 3 ft,,54-42,,
1:10.0,Offensive rebound by W. Barton,,54-42,,
1:09.0,W. Barton misses 2-pt shot from 1 ft,,54-42,,
1:08.0,,,54-42,,Defensive rebound by B. Biyombo
0:54.0,,,54-42,,K. Lowry misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by Team,,54-42,,
0:53.0,,,54-42,,Loose ball foul by B. Biyombo (drawn by D. Gallinari)
0:40.0,D. Arthur makes 2-pt shot from 18 ft (assist by W. Barton),2,56-42,,
0:32.0,,,56-42,,Offensive charge foul by K. Lowry
0:32.0,,,56-42,,Turnover by K. Lowry (offensive foul)
0:32.0,,,56-42,,P. Patterson enters the game for B. Biyombo
0:13.0,D. Gallinari misses 3-pt shot from 25 ft,,56-42,,
0:12.0,,,56-42,,Defensive rebound by D. DeRozan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Arthur makes 3-pt shot from 26 ft (assist by D. Gallinari),3,59-42,,
11:26.0,,,59-44,2,D. DeRozan makes 2-pt shot from 12 ft (assist by K. Lowry)
11:07.0,J. Lauvergne misses 2-pt shot from 3 ft,,59-44,,
11:07.0,,,59-44,,Defensive rebound by Team
10:58.0,,,59-46,2,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry)
10:29.0,R. Foye misses 3-pt shot from 26 ft,,59-46,,
10:29.0,Offensive rebound by D. Arthur,,59-46,,
10:17.0,J. Lauvergne misses 3-pt shot from 23 ft,,59-46,,
10:17.0,,,59-46,,Defensive rebound by B. Biyombo
10:06.0,,,59-48,2,K. Lowry makes 2-pt shot from 2 ft
9:45.0,D. Arthur misses 2-pt shot from 7 ft,,59-48,,
9:44.0,,,59-48,,Defensive rebound by D. Carroll
9:32.0,,,59-51,3,D. Carroll makes 3-pt shot from 25 ft (assist by K. Lowry)
9:32.0,Denver full timeout,,59-51,,
9:24.0,Turnover by E. Mudiay (lost ball; steal by K. Lowry),,59-51,,
9:20.0,,,59-53,2,D. Carroll makes 2-pt shot at rim (assist by D. DeRozan)
9:00.0,D. Gallinari makes 3-pt shot from 24 ft (assist by D. Arthur),3,62-53,,
8:44.0,,,62-53,,D. Carroll misses 3-pt shot from 24 ft
8:44.0,Defensive rebound by J. Lauvergne,,62-53,,
8:34.0,J. Lauvergne makes 2-pt shot from 3 ft (assist by R. Foye),2,64-53,,
8:23.0,,,64-53,,D. DeRozan misses 2-pt shot from 2 ft
8:23.0,,,64-53,,Offensive rebound by D. DeRozan
8:18.0,,,64-53,,D. DeRozan misses 2-pt shot from 1 ft (block by J. Lauvergne)
8:17.0,Defensive rebound by R. Foye,,64-53,,
8:08.0,E. Mudiay makes 3-pt shot from 25 ft (assist by R. Foye),3,67-53,,
7:46.0,,,67-53,,L. Scola misses 3-pt shot from 23 ft
7:45.0,Defensive rebound by D. Gallinari,,67-53,,
7:37.0,Turnover by R. Foye (lost ball; steal by D. Carroll),,67-53,,
7:37.0,Clear path foul by R. Foye,,67-53,,
7:37.0,,,67-53,,P. Patterson enters the game for L. Scola
7:37.0,,,67-54,1,D. Carroll makes clear path free throw 1 of 2
7:37.0,,,67-55,1,D. Carroll makes clear path free throw 2 of 2
7:27.0,,,67-55,,D. DeRozan misses 2-pt shot from 17 ft
7:27.0,Defensive rebound by Team,,67-55,,
7:27.0,,,67-55,,Loose ball foul by D. Carroll (drawn by D. Gallinari)
7:14.0,R. Foye makes 2-pt shot from 4 ft,2,69-55,,
7:00.0,,,69-55,,D. DeRozan misses 2-pt shot from 3 ft (block by D. Arthur)
7:00.0,Defensive rebound by R. Foye,,69-55,,
7:00.0,Turnover by R. Foye (step out of bounds),,69-55,,
6:56.0,,,69-57,2,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry)
6:36.0,E. Mudiay misses 2-pt shot from 4 ft,,69-57,,
6:35.0,,,69-57,,Defensive rebound by P. Patterson
6:31.0,,,69-57,,Shooting foul by E. Mudiay (drawn by K. Lowry)
6:31.0,,,69-58,1,K. Lowry makes free throw 1 of 2
6:31.0,J. Nelson enters the game for E. Mudiay,,69-58,,
6:31.0,,,69-59,1,K. Lowry makes free throw 2 of 2
6:06.0,J. Nelson misses 2-pt shot from 22 ft,,69-59,,
6:05.0,,,69-59,,Defensive rebound by D. Carroll
5:49.0,,,69-62,3,K. Lowry makes 3-pt shot from 25 ft
5:34.0,W. Barton enters the game for D. Arthur,,69-62,,
5:26.0,W. Barton makes 2-pt shot from 15 ft (assist by J. Lauvergne),2,71-62,,
5:14.0,,,71-62,,K. Lowry misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by J. Lauvergne,,71-62,,
4:52.0,D. Gallinari misses 3-pt shot from 26 ft,,71-62,,
4:51.0,Offensive rebound by J. Nelson,,71-62,,
4:29.0,W. Barton misses 3-pt shot from 24 ft,,71-62,,
4:28.0,Offensive rebound by D. Gallinari,,71-62,,
4:28.0,Shooting foul by B. Biyombo (drawn by D. Gallinari),,71-62,,
4:28.0,D. Gallinari makes free throw 1 of 2,1,72-62,,
4:28.0,,,72-62,,L. Nogueira enters the game for B. Biyombo
4:28.0,N. Jokic enters the game for J. Lauvergne,,72-62,,
4:28.0,D. Gallinari makes free throw 2 of 2,1,73-62,,
4:10.0,,,73-62,,D. Carroll misses 2-pt shot from 17 ft
4:09.0,Defensive rebound by W. Barton,,73-62,,
3:44.0,N. Jokic makes 2-pt shot from 7 ft (assist by D. Gallinari),2,75-62,,
3:27.0,,,75-62,,K. Lowry misses 2-pt shot from 1 ft
3:27.0,Defensive rebound by N. Jokic,,75-62,,
3:16.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,78-62,,
3:16.0,,,78-62,,Toronto full timeout
3:16.0,,,78-62,,T. Ross enters the game for D. Carroll
3:16.0,,,78-62,,C. Joseph enters the game for D. DeRozan
2:59.0,,,78-65,3,P. Patterson makes 3-pt shot from 24 ft (assist by C. Joseph)
2:42.0,D. Gallinari makes 3-pt shot from 27 ft (assist by W. Barton),3,81-65,,
2:24.0,,,81-67,2,L. Nogueira makes 2-pt shot at rim (assist by P. Patterson)
2:10.0,N. Jokic misses 2-pt shot from 2 ft (block by K. Lowry),,81-67,,
2:08.0,,,81-67,,Defensive rebound by C. Joseph
2:04.0,,,81-69,2,C. Joseph makes 2-pt shot from 2 ft
1:48.0,R. Foye misses 2-pt shot from 3 ft,,81-69,,
1:48.0,Offensive rebound by Team,,81-69,,
1:36.0,W. Barton misses 2-pt shot from 2 ft,,81-69,,
1:35.0,,,81-69,,Defensive rebound by C. Joseph
1:29.0,,,81-69,,K. Lowry misses 2-pt shot from 2 ft
1:29.0,Defensive rebound by D. Gallinari,,81-69,,
1:20.0,N. Jokic misses 2-pt shot from 7 ft,,81-69,,
1:19.0,,,81-69,,Defensive rebound by P. Patterson
1:07.0,,,81-71,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
0:43.0,D. Gallinari misses 3-pt shot from 25 ft,,81-71,,
0:43.0,,,81-71,,Defensive rebound by K. Lowry
0:32.0,,,81-71,,T. Ross misses 3-pt shot from 22 ft
0:31.0,Defensive rebound by N. Jokic,,81-71,,
0:05.0,W. Barton misses 3-pt shot from 27 ft,,81-71,,
0:05.0,,,81-71,,Defensive rebound by K. Lowry
0:00.0,,,81-71,,K. Lowry misses 3-pt shot from 27 ft
0:00.0,,,81-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,81-73,2,C. Joseph makes 2-pt shot from 7 ft
11:28.0,J. Lauvergne makes 2-pt shot at rim (assist by E. Mudiay),2,83-73,,
11:03.0,,,83-73,,T. Ross misses 2-pt shot from 18 ft
11:02.0,Defensive rebound by J. Lauvergne,,83-73,,
10:48.0,,,83-73,,Personal foul by L. Nogueira (drawn by J. Lauvergne)
10:42.0,E. Mudiay misses 2-pt shot from 18 ft,,83-73,,
10:42.0,,,83-73,,Defensive rebound by P. Patterson
10:27.0,,,83-75,2,D. DeRozan makes 2-pt shot from 13 ft
10:06.0,Turnover by E. Mudiay (bad pass; steal by L. Nogueira),,83-75,,
10:02.0,,,83-77,2,C. Joseph makes 2-pt shot from 1 ft (assist by T. Ross)
10:02.0,Denver full timeout,,83-77,,
9:46.0,M. Miller makes 3-pt shot from 25 ft (assist by J. Nelson),3,86-77,,
9:33.0,,,86-77,,P. Patterson misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by J. Nelson,,86-77,,
9:11.0,M. Miller misses 2-pt shot from 9 ft,,86-77,,
9:11.0,Offensive rebound by J. Lauvergne,,86-77,,
9:08.0,J. Lauvergne makes 2-pt shot from 1 ft,2,88-77,,
8:54.0,,,88-79,2,D. DeRozan makes 2-pt shot from 4 ft
8:40.0,J. Nelson makes 2-pt shot from 10 ft,2,90-79,,
8:17.0,,,90-79,,D. DeRozan misses 2-pt shot from 16 ft
8:16.0,Defensive rebound by J. Nelson,,90-79,,
8:03.0,W. Barton misses 2-pt shot from 12 ft,,90-79,,
8:02.0,,,90-79,,Defensive rebound by L. Nogueira
7:41.0,,,90-79,,Shooting foul by W. Barton (drawn by C. Joseph)
7:41.0,,,90-80,1,C. Joseph makes free throw 1 of 2
7:41.0,,,90-80,,L. Scola enters the game for L. Nogueira
7:41.0,,,90-80,,D. Carroll enters the game for P. Patterson
7:41.0,,,90-80,,K. Lowry enters the game for T. Ross
7:41.0,,,90-80,,Violation by Team (double lane)
7:40.0,Jump ball: J. Lauvergne vs. L. Scola (C. Joseph gains possession),,,,Jump ball: J. Lauvergne vs. L. Scola (C. Joseph gains possession)
7:20.0,,,90-82,2,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry)
7:02.0,Turnover by J. Nelson (lost ball; steal by C. Joseph),,90-82,,
7:00.0,Personal foul by M. Miller (drawn by L. Scola),,90-82,,
7:00.0,D. Gallinari enters the game for J. Lauvergne,,90-82,,
7:00.0,R. Foye enters the game for E. Mudiay,,90-82,,
7:00.0,D. Arthur enters the game for M. Miller,,90-82,,
6:50.0,,,90-84,2,D. DeRozan makes 2-pt shot from 4 ft (assist by K. Lowry)
6:30.0,D. Arthur misses 2-pt shot from 13 ft,,90-84,,
6:30.0,,,90-84,,Defensive rebound by D. Carroll
6:22.0,,,90-84,,Shooting foul by D. Gallinari (drawn by K. Lowry)
6:22.0,,,90-85,1,K. Lowry makes free throw 1 of 2
6:22.0,,,90-86,1,K. Lowry makes free throw 2 of 2
6:10.0,Turnover by W. Barton (lost ball; steal by C. Joseph),,90-86,,
6:01.0,,,90-86,,D. Carroll misses 3-pt shot from 23 ft
6:01.0,Defensive rebound by J. Nelson,,90-86,,
5:47.0,Turnover by R. Foye (bad pass; steal by L. Scola),,90-86,,
5:24.0,,,90-88,2,C. Joseph makes 2-pt shot from 4 ft
5:23.0,Denver full timeout,,90-88,,
5:23.0,Official timeout,,90-88,,
5:07.0,D. Gallinari makes 2-pt shot from 20 ft,2,92-88,,
4:54.0,,,92-88,,D. DeRozan misses 2-pt shot from 5 ft
4:53.0,,,92-88,,Offensive rebound by D. DeRozan
4:44.0,,,92-88,,D. DeRozan misses 2-pt shot from 7 ft
4:44.0,,,92-88,,Offensive rebound by L. Scola
4:40.0,,,92-88,,L. Scola misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by D. Arthur,,92-88,,
4:26.0,D. Arthur makes 2-pt shot from 19 ft (assist by J. Nelson),2,94-88,,
3:58.0,,,94-88,,K. Lowry misses 3-pt shot from 25 ft
3:58.0,,,94-88,,Offensive rebound by Team
3:58.0,,,94-88,,Turnover by Team (shot clock)
3:43.0,W. Barton makes 2-pt shot from 1 ft (assist by J. Nelson),2,96-88,,
3:25.0,Shooting block foul by D. Arthur (drawn by D. DeRozan),,96-88,,
3:25.0,,,96-89,1,D. DeRozan makes free throw 1 of 2
3:25.0,,,96-90,1,D. DeRozan makes free throw 2 of 2
3:05.0,Turnover by J. Nelson (lost ball; steal by K. Lowry),,96-90,,
2:50.0,,,96-90,,Shooting foul by W. Barton (drawn by C. Joseph)
2:50.0,,,96-90,,Toronto full timeout
2:50.0,,,96-90,,C. Joseph misses free throw 1 of 2
2:50.0,,,96-90,,Offensive rebound by Team
2:50.0,,,96-91,1,C. Joseph makes free throw 2 of 2
2:39.0,Shooting foul by L. Scola (drawn by R. Foye),,96-91,,
2:39.0,R. Foye makes free throw 1 of 2,1,97-91,,
2:39.0,R. Foye makes free throw 2 of 2,1,98-91,,
2:32.0,,,98-93,2,D. DeRozan makes 2-pt shot from 2 ft (assist by L. Scola)
2:32.0,,,98-93,,Shooting foul by D. Arthur (drawn by D. DeRozan)
2:32.0,,,98-93,,B. Biyombo enters the game for L. Scola
2:32.0,,,98-94,1,D. DeRozan makes free throw 1 of 1
2:15.0,Shooting foul by D. DeRozan (drawn by W. Barton),,98-94,,
2:15.0,W. Barton makes free throw 1 of 2,1,99-94,,
2:15.0,,,99-94,,L. Scola enters the game for B. Biyombo
2:15.0,W. Barton makes free throw 2 of 2,1,100-94,,
1:59.0,,,100-94,,L. Scola misses 2-pt shot from 2 ft (block by W. Barton)
1:58.0,,,100-94,,Offensive rebound by K. Lowry
1:51.0,,,100-94,,D. DeRozan misses 3-pt shot from 23 ft
1:51.0,,,100-94,,Offensive rebound by Team
1:34.0,,,100-94,,K. Lowry misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by W. Barton,,100-94,,
1:23.0,,,100-94,,Personal block foul by L. Scola (drawn by J. Nelson)
1:23.0,,,100-94,,B. Biyombo enters the game for L. Scola
1:14.0,D. Arthur misses 2-pt shot from 14 ft,,100-94,,
1:13.0,,,100-94,,Defensive rebound by D. Carroll
1:00.0,,,100-96,2,D. DeRozan makes 2-pt shot from 6 ft
0:38.0,Shooting foul by B. Biyombo (drawn by W. Barton),,100-96,,
0:38.0,W. Barton makes free throw 1 of 2,1,101-96,,
0:38.0,,,101-96,,L. Scola enters the game for K. Lowry
0:38.0,W. Barton makes free throw 2 of 2,1,102-96,,
0:38.0,,,102-96,,Toronto full timeout
