time,Philadelphia,pts.away,score,pts.home,Detroit
5:38.0,,,28-25,,Offensive rebound by A. Baynes
5:38.0,,,28-25,,A. Baynes misses 2-pt shot at rim
5:38.0,Defensive rebound by Team,,28-25,,
5:38.0,Official timeout,,28-25,,
5:38.0,,,28-25,,R. Jackson enters the game for B. Jennings
5:38.0,,,28-25,,A. Drummond enters the game for A. Baynes
5:27.0,Shooting foul by M. Morris (drawn by R. Covington),,28-25,,
5:27.0,R. Covington makes free throw 1 of 3,1,29-25,,
5:27.0,R. Covington makes free throw 2 of 3,1,30-25,,
5:27.0,R. Covington makes free throw 3 of 3,1,31-25,,
5:12.0,Personal foul by R. Covington (drawn by M. Morris),,31-25,,
5:12.0,,,31-25,,M. Morris misses free throw 1 of 2
5:12.0,,,31-25,,Offensive rebound by Team
5:12.0,,,31-26,1,M. Morris makes free throw 2 of 2
4:48.0,I. Smith makes 2-pt shot from 7 ft,2,33-26,,
4:40.0,,,33-26,,R. Jackson misses 2-pt shot from 13 ft (block by I. Smith)
4:39.0,Defensive rebound by I. Smith,,33-26,,
4:29.0,N. Stauskas misses 3-pt shot from 24 ft,,33-26,,
4:29.0,Offensive rebound by R. Covington,,33-26,,
4:23.0,R. Covington makes 3-pt shot from 23 ft (assist by N. Noel),3,36-26,,
4:20.0,,,36-26,,Detroit full timeout
4:14.0,,,36-28,2,A. Drummond makes 2-pt shot at rim
4:14.0,,,36-28,,Shooting foul by N. Noel (drawn by A. Drummond)
4:14.0,,,36-28,,A. Drummond misses free throw 1 of 1
4:14.0,,,36-28,,Offensive rebound by S. Johnson
4:07.0,,,36-28,,S. Johnson misses 2-pt shot from 5 ft
4:07.0,Defensive rebound by R. Covington,,36-28,,
4:02.0,I. Smith misses 2-pt shot from 5 ft,,36-28,,
4:01.0,,,36-28,,Defensive rebound by A. Drummond
3:46.0,,,36-30,2,R. Jackson makes 2-pt shot from 6 ft
3:28.0,N. Noel makes 2-pt shot at rim (assist by R. Covington),2,38-30,,
3:15.0,,,38-30,,A. Tolliver enters the game for M. Morris
3:04.0,,,38-30,,S. Johnson misses 2-pt shot at rim
3:04.0,,,38-30,,Offensive rebound by Team
3:04.0,,,38-30,,Turnover by Team (shot clock)
3:04.0,J. Grant enters the game for N. Noel,,38-30,,
2:47.0,I. Smith misses 2-pt shot at rim,,38-30,,
2:46.0,,,38-30,,Defensive rebound by A. Drummond
2:38.0,,,38-30,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:37.0,,,38-30,,Offensive rebound by A. Drummond
2:36.0,,,38-30,,Shooting foul by J. Grant (drawn by A. Drummond)
2:36.0,,,38-31,1,A. Drummond makes free throw 1 of 2
2:36.0,,,38-31,,A. Drummond misses free throw 2 of 2
2:34.0,Defensive rebound by R. Covington,,38-31,,
2:28.0,Philadelphia full timeout,,38-31,,
2:14.0,I. Smith misses 2-pt shot from 4 ft,,38-31,,
2:14.0,Offensive rebound by I. Smith,,38-31,,
2:11.0,I. Smith misses 2-pt shot from 3 ft,,38-31,,
2:10.0,,,38-31,,Defensive rebound by A. Drummond
2:04.0,,,38-31,,K. Caldwell-Pope misses 3-pt shot from 28 ft
2:04.0,,,38-31,,Offensive rebound by S. Johnson
1:56.0,,,38-33,2,S. Johnson makes 2-pt shot at rim
1:47.0,N. Stauskas misses 3-pt shot from 26 ft,,38-33,,
1:47.0,,,38-33,,Defensive rebound by R. Jackson
1:41.0,,,38-33,,R. Jackson misses 3-pt shot from 26 ft
1:40.0,Defensive rebound by R. Covington,,38-33,,
1:22.0,J. Grant misses 2-pt shot from 17 ft,,38-33,,
1:20.0,,,38-33,,Defensive rebound by R. Jackson
1:14.0,,,38-36,3,S. Johnson makes 3-pt shot from 22 ft (assist by R. Jackson)
0:58.0,H. Thompson makes 2-pt shot at rim (assist by J. Grant),2,40-36,,
0:47.0,,,40-36,,R. Jackson misses 2-pt shot from 1 ft
0:46.0,,,40-36,,Offensive rebound by A. Drummond
0:46.0,Violation by J. Grant (def goaltending),,40-36,,
0:36.0,,,40-38,2,A. Drummond makes 2-pt shot from 1 ft
0:36.0,,,40-38,,Violation by A. Drummond (def goaltending)
0:36.0,I. Smith makes 3-pt shot from 26 ft,3,43-38,,
0:29.0,,,43-38,,Shooting foul by J. Grant (drawn by R. Jackson)
0:29.0,Technical foul by Team,,43-38,,
0:29.0,,,43-39,1,R. Jackson makes technical free throw
0:29.0,,,43-40,1,R. Jackson makes free throw 1 of 2
0:29.0,N. Noel enters the game for J. Grant,,43-40,,
0:29.0,,,43-41,1,R. Jackson makes free throw 2 of 2
0:05.0,I. Smith makes 2-pt shot from 20 ft,2,45-41,,
0:01.0,,,45-44,3,R. Jackson makes 3-pt shot from 28 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,45-46,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
11:32.0,Shooting foul by K. Caldwell-Pope (drawn by N. Stauskas),,45-46,,
11:32.0,N. Stauskas makes free throw 1 of 2,1,46-46,,
11:32.0,N. Stauskas makes free throw 2 of 2,1,47-46,,
11:10.0,,,47-46,,M. Morris misses 2-pt shot from 7 ft (block by R. Covington)
11:10.0,,,47-46,,Offensive rebound by A. Drummond
11:07.0,,,47-48,2,A. Drummond makes 2-pt shot at rim
10:50.0,J. Grant makes 2-pt shot at rim,2,49-48,,
10:25.0,,,49-50,2,R. Jackson makes 2-pt shot from 8 ft
10:13.0,N. Stauskas misses 2-pt shot from 11 ft,,49-50,,
10:12.0,,,49-50,,Defensive rebound by A. Drummond
10:03.0,,,49-50,,E. Ilyasova misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by N. Stauskas,,49-50,,
9:39.0,Turnover by Team (shot clock),,49-50,,
9:22.0,,,49-50,,Shooting foul by N. Stauskas (drawn by K. Caldwell-Pope)
9:22.0,,,49-52,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
9:22.0,,,49-52,,K. Caldwell-Pope misses free throw 1 of 1
9:21.0,Defensive rebound by J. Grant,,49-52,,
9:11.0,I. Smith makes 2-pt shot at rim,2,51-52,,
8:56.0,,,51-52,,Turnover by A. Drummond (lost ball; steal by J. Grant)
8:49.0,Shooting foul by R. Jackson (drawn by J. Grant),,51-52,,
8:49.0,J. Grant makes free throw 1 of 2,1,52-52,,
8:49.0,J. Grant makes free throw 2 of 2,1,53-52,,
8:36.0,,,53-52,,M. Morris misses 2-pt shot from 1 ft
8:34.0,Defensive rebound by R. Covington,,53-52,,
8:32.0,Turnover by I. Smith (bad pass; steal by E. Ilyasova),,53-52,,
8:29.0,,,53-52,,Turnover by E. Ilyasova (bad pass)
8:12.0,N. Noel makes 2-pt shot from 13 ft (assist by I. Smith),2,55-52,,
7:53.0,,,55-54,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
7:37.0,N. Noel makes 2-pt shot at rim (assist by N. Stauskas),2,57-54,,
7:26.0,,,57-54,,Turnover by R. Jackson (lost ball)
7:26.0,H. Thompson enters the game for J. Grant,,57-54,,
7:14.0,,,57-54,,Personal foul by R. Jackson (drawn by I. Smith)
7:04.0,N. Noel makes 2-pt shot at rim (assist by I. Smith),2,59-54,,
6:43.0,Personal foul by N. Noel (drawn by M. Morris),,59-54,,
6:42.0,,,59-54,,Shooting foul by N. Stauskas (drawn by K. Caldwell-Pope)
6:42.0,,,59-55,1,K. Caldwell-Pope makes free throw 1 of 2
6:42.0,,,59-56,1,K. Caldwell-Pope makes free throw 2 of 2
6:26.0,I. Smith makes 2-pt shot at rim,2,61-56,,
6:05.0,,,61-56,,R. Jackson misses 2-pt shot from 6 ft
6:05.0,,,61-56,,Offensive rebound by A. Drummond
6:05.0,,,61-58,2,A. Drummond makes 2-pt shot from 1 ft
6:05.0,,,61-58,,Shooting foul by R. Covington (drawn by A. Drummond)
6:05.0,,,61-59,1,A. Drummond makes free throw 1 of 1
6:05.0,Philadelphia full timeout,,61-59,,
5:52.0,,,61-59,,Personal foul by R. Jackson (drawn by I. Smith)
5:42.0,I. Smith misses 2-pt shot from 17 ft,,61-59,,
5:42.0,Offensive rebound by N. Noel,,61-59,,
5:40.0,N. Noel makes 2-pt shot at rim,2,63-59,,
5:17.0,,,63-61,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
5:07.0,Turnover by I. Smith (lost ball; steal by A. Drummond),,63-61,,
5:06.0,,,63-61,,Shooting foul by N. Stauskas (drawn by K. Caldwell-Pope)
5:06.0,,,63-62,1,K. Caldwell-Pope makes free throw 1 of 2
5:06.0,I. Canaan enters the game for N. Stauskas,,63-62,,
5:06.0,,,63-63,1,K. Caldwell-Pope makes free throw 2 of 2
4:55.0,H. Thompson makes 2-pt shot at rim (assist by N. Noel),2,65-63,,
4:39.0,,,65-63,,A. Drummond misses 2-pt shot from 6 ft
4:38.0,Defensive rebound by R. Covington,,65-63,,
4:15.0,I. Canaan misses 2-pt shot from 17 ft,,65-63,,
4:15.0,,,65-63,,Defensive rebound by E. Ilyasova
4:05.0,,,65-63,,E. Ilyasova misses 2-pt shot from 5 ft (block by N. Noel)
4:03.0,,,65-63,,Offensive rebound by E. Ilyasova
3:56.0,,,65-63,,M. Morris misses 3-pt shot from 24 ft
3:55.0,,,65-63,,Offensive rebound by E. Ilyasova
3:53.0,,,65-65,2,E. Ilyasova makes 2-pt shot at rim
3:42.0,Offensive foul by H. Thompson,,65-65,,
3:42.0,Turnover by H. Thompson (offensive foul),,65-65,,
3:42.0,J. Grant enters the game for R. Covington,,65-65,,
3:42.0,R. Holmes enters the game for N. Noel,,65-65,,
3:42.0,T. McConnell enters the game for I. Smith,,65-65,,
3:42.0,,,65-65,,S. Johnson enters the game for M. Morris
3:27.0,,,65-65,,R. Jackson misses 2-pt shot from 5 ft (block by J. Grant)
3:26.0,,,65-65,,Offensive rebound by A. Drummond
3:23.0,,,65-67,2,A. Drummond makes 2-pt shot at rim
3:13.0,T. McConnell makes 2-pt shot from 10 ft,2,67-67,,
2:57.0,,,67-69,2,K. Caldwell-Pope makes 2-pt shot from 14 ft
2:50.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,69-69,,
2:50.0,Shooting foul by E. Ilyasova (drawn by J. Grant),,69-69,,
2:50.0,,,69-69,,Detroit full timeout
2:50.0,,,69-69,,B. Jennings enters the game for E. Ilyasova
2:50.0,,,69-69,,A. Tolliver enters the game for R. Jackson
2:50.0,J. Grant makes free throw 1 of 1,1,70-69,,
2:28.0,,,70-69,,S. Johnson misses 3-pt shot from 26 ft
2:28.0,Defensive rebound by J. Grant,,70-69,,
2:19.0,H. Thompson makes 3-pt shot from 26 ft (assist by T. McConnell),3,73-69,,
2:07.0,Violation by J. Grant (kicked ball),,73-69,,
1:56.0,,,73-71,2,S. Johnson makes 2-pt shot at rim
1:42.0,I. Canaan makes 3-pt shot from 25 ft,3,76-71,,
1:42.0,Shooting foul by K. Caldwell-Pope (drawn by I. Canaan),,76-71,,
1:42.0,I. Canaan makes free throw 1 of 1,1,77-71,,
1:27.0,,,77-71,,A. Tolliver misses 3-pt shot from 25 ft
1:27.0,,,77-71,,Offensive rebound by Team
1:27.0,Loose ball foul by R. Holmes (drawn by A. Drummond),,77-71,,
1:27.0,,,77-71,,A. Drummond misses free throw 1 of 2
1:27.0,,,77-71,,Offensive rebound by Team
1:27.0,,,77-72,1,A. Drummond makes free throw 2 of 2
1:13.0,R. Holmes misses 2-pt shot at rim (block by A. Drummond),,77-72,,
1:12.0,,,77-72,,Defensive rebound by A. Drummond
1:04.0,,,77-72,,K. Caldwell-Pope misses 2-pt shot from 5 ft
1:04.0,,,77-72,,Offensive rebound by Team
1:04.0,,,77-72,,Turnover by K. Caldwell-Pope (traveling)
0:53.0,T. McConnell makes 2-pt shot from 8 ft,2,79-72,,
0:40.0,,,79-72,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:38.0,,,79-72,,Offensive rebound by K. Caldwell-Pope
0:34.0,Personal foul by T. McConnell (drawn by S. Johnson),,79-72,,
0:34.0,,,79-73,1,S. Johnson makes free throw 1 of 2
0:34.0,,,79-73,,S. Johnson misses free throw 2 of 2
0:33.0,Defensive rebound by I. Canaan,,79-73,,
0:19.0,H. Thompson misses 3-pt shot from 25 ft,,79-73,,
0:18.0,,,79-73,,Defensive rebound by A. Drummond
0:15.0,Personal foul by T. McConnell (drawn by B. Jennings),,79-73,,
0:15.0,,,79-74,1,B. Jennings makes free throw 1 of 2
0:15.0,R. Covington enters the game for J. Grant,,79-74,,
0:15.0,,,79-74,,M. Morris enters the game for A. Tolliver
0:15.0,,,79-74,,B. Jennings misses free throw 2 of 2
0:14.0,Defensive rebound by T. McConnell,,79-74,,
0:00.0,I. Canaan misses 3-pt shot from 27 ft,,79-74,,
0:00.0,Offensive rebound by Team,,79-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,R. Holmes misses 2-pt shot at rim,,79-74,,
11:41.0,,,79-74,,Defensive rebound by A. Baynes
11:29.0,,,79-76,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
11:11.0,J. Grant makes 3-pt shot from 24 ft (assist by T. McConnell),3,82-76,,
10:55.0,,,82-76,,S. Johnson misses 2-pt shot from 4 ft (block by R. Holmes)
10:54.0,Defensive rebound by J. Grant,,82-76,,
10:40.0,J. Grant misses 3-pt shot from 25 ft,,82-76,,
10:40.0,,,82-76,,Defensive rebound by M. Morris
10:28.0,,,82-78,2,A. Baynes makes 2-pt shot from 17 ft (assist by M. Morris)
10:10.0,,,82-78,,Personal foul by S. Johnson (drawn by J. Grant)
10:01.0,Offensive charge foul by J. Grant,,82-78,,
10:01.0,Turnover by J. Grant (offensive foul),,82-78,,
9:51.0,,,82-78,,B. Jennings misses 2-pt shot from 5 ft
9:51.0,Defensive rebound by J. Grant,,82-78,,
9:51.0,,,82-78,,Personal foul by B. Jennings (drawn by J. Grant)
9:36.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,84-78,,
9:23.0,,,84-78,,M. Morris misses 2-pt shot from 16 ft
9:23.0,,,84-78,,Offensive rebound by Team
9:23.0,Loose ball foul by H. Thompson (drawn by A. Tolliver),,84-78,,
9:12.0,,,84-80,2,M. Morris makes 2-pt shot from 1 ft (assist by A. Baynes)
8:52.0,Turnover by J. Grant (bad pass; steal by A. Baynes),,84-80,,
8:43.0,,,84-80,,B. Jennings misses 3-pt shot from 26 ft
8:43.0,,,84-80,,Offensive rebound by B. Jennings
8:41.0,,,84-82,2,S. Johnson makes 2-pt shot at rim (assist by B. Jennings)
8:41.0,Philadelphia full timeout,,84-82,,
8:41.0,R. Covington enters the game for J. Grant,,84-82,,
8:18.0,T. McConnell makes 2-pt shot from 4 ft,2,86-82,,
7:58.0,,,86-84,2,M. Morris makes 2-pt shot from 9 ft (assist by A. Baynes)
7:38.0,R. Holmes misses 2-pt shot from 5 ft,,86-84,,
7:36.0,,,86-84,,Defensive rebound by S. Johnson
7:31.0,,,86-86,2,S. Johnson makes 2-pt shot from 6 ft
7:07.0,R. Holmes makes 2-pt shot at rim (assist by I. Canaan),2,88-86,,
6:48.0,,,88-88,2,S. Johnson makes 2-pt shot at rim (assist by A. Baynes)
6:37.0,Turnover by T. McConnell (kicked ball),,88-88,,
6:37.0,I. Smith enters the game for T. McConnell,,88-88,,
6:37.0,N. Noel enters the game for R. Holmes,,88-88,,
6:37.0,,,88-88,,A. Drummond enters the game for M. Morris
6:37.0,,,88-88,,K. Caldwell-Pope enters the game for B. Jennings
6:37.0,,,88-88,,R. Jackson enters the game for A. Baynes
6:20.0,,,88-91,3,R. Jackson makes 3-pt shot from 26 ft (assist by S. Johnson)
6:06.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,90-91,,
5:50.0,,,90-91,,A. Tolliver misses 3-pt shot from 23 ft
5:50.0,,,90-91,,Offensive rebound by Team
5:49.0,Official timeout,,90-91,,
5:49.0,N. Stauskas enters the game for I. Canaan,,90-91,,
5:38.0,,,90-91,,A. Drummond misses 2-pt shot at rim
5:35.0,Defensive rebound by N. Stauskas,,90-91,,
5:30.0,I. Smith misses 2-pt shot from 2 ft,,90-91,,
5:29.0,,,90-91,,Defensive rebound by A. Tolliver
5:28.0,,,90-91,,Shooting foul by N. Stauskas (drawn by R. Jackson)
5:28.0,,,90-92,1,R. Jackson makes free throw 1 of 2
5:28.0,,,90-92,,M. Morris enters the game for A. Tolliver
5:28.0,,,90-93,1,R. Jackson makes free throw 2 of 2
