time,Charlotte,pts.away,score,pts.home,Utah
0:36.0,,,16-18,,Turnover by G. Hayward (bad pass; steal by K. Walker)
0:29.0,K. Walker makes 2-pt shot from 1 ft,2,18-18,,
0:29.0,Shooting foul by T. Burke (drawn by K. Walker),,18-18,,
0:29.0,K. Walker misses free throw 1 of 1,,18-18,,
0:28.0,,,18-18,,Defensive rebound by Team
0:10.0,,,18-18,,T. Burke misses 3-pt shot from 23 ft
0:08.0,Defensive rebound by J. Lin,,18-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Lin makes 2-pt shot from 12 ft,2,20-18,,
11:28.0,,,20-18,,Shooting foul by T. Daniels (drawn by R. Hood)
11:28.0,,,20-19,1,R. Hood makes free throw 1 of 2
11:28.0,,,20-20,1,R. Hood makes free throw 2 of 2
11:15.0,J. Lin misses 3-pt shot from 23 ft,,20-20,,
11:14.0,Offensive rebound by T. Hansbrough,,20-20,,
11:09.0,N. Batum misses 3-pt shot from 24 ft,,20-20,,
11:09.0,,,20-20,,Defensive rebound by R. Gobert
10:52.0,,,20-20,,C. Johnson misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by J. Lin,,20-20,,
10:40.0,F. Kaminsky misses 3-pt shot from 24 ft,,20-20,,
10:40.0,,,20-20,,Defensive rebound by R. Gobert
10:21.0,,,20-20,,R. Hood misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by T. Hansbrough,,20-20,,
10:07.0,T. Daniels misses 2-pt shot from 10 ft (block by R. Gobert),,20-20,,
10:06.0,,,20-20,,Defensive rebound by C. Johnson
9:57.0,,,20-20,,T. Booker misses 2-pt shot at rim
9:56.0,,,20-20,,Offensive rebound by J. Ingles
9:49.0,,,20-20,,T. Burke enters the game for C. Johnson
9:43.0,,,20-20,,J. Ingles misses 3-pt shot from 24 ft
9:42.0,Defensive rebound by T. Hansbrough,,20-20,,
9:29.0,Turnover by J. Lin (bad pass; steal by T. Booker),,20-20,,
9:25.0,,,20-22,2,T. Booker makes 2-pt shot at rim
9:06.0,Turnover by T. Daniels (bad pass; steal by T. Booker),,20-22,,
8:59.0,Personal block foul by T. Hansbrough (drawn by J. Ingles),,20-22,,
8:59.0,,,20-22,,Utah full timeout
8:48.0,,,20-24,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
8:30.0,Turnover by T. Daniels (lost ball),,20-24,,
8:19.0,,,20-24,,Turnover by T. Burke (lost ball; steal by J. Lin)
8:09.0,T. Daniels misses 2-pt shot from 13 ft,,20-24,,
8:08.0,,,20-24,,Defensive rebound by J. Ingles
7:52.0,,,20-27,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Hood)
7:36.0,Turnover by N. Batum (bad pass; steal by J. Ingles),,20-27,,
7:30.0,,,20-27,,T. Burke misses 3-pt shot from 24 ft
7:30.0,,,20-27,,Offensive rebound by T. Booker
7:17.0,,,20-30,3,R. Hood makes 3-pt shot from 23 ft (assist by T. Booker)
7:08.0,Charlotte full timeout,,20-30,,
6:58.0,T. Daniels makes 2-pt shot from 2 ft (assist by T. Hansbrough),2,22-30,,
6:38.0,,,22-32,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Hood)
6:22.0,N. Batum misses 3-pt shot from 24 ft,,22-32,,
6:22.0,,,22-32,,Defensive rebound by R. Gobert
6:05.0,,,22-32,,Turnover by R. Gobert (lost ball; steal by T. Hansbrough)
6:05.0,,,22-32,,Loose ball foul by R. Gobert (drawn by T. Hansbrough)
6:05.0,S. Hawes enters the game for T. Hansbrough,,22-32,,
6:05.0,K. Walker enters the game for N. Batum,,22-32,,
6:02.0,M. Williams enters the game for F. Kaminsky,,22-32,,
5:59.0,,,22-32,,D. Favors enters the game for R. Gobert
5:57.0,,,22-32,,G. Hayward enters the game for R. Hood
5:51.0,J. Lin misses 2-pt shot from 3 ft (block by T. Booker),,22-32,,
5:50.0,Offensive rebound by K. Walker,,22-32,,
5:41.0,J. Lin misses 2-pt shot from 17 ft (block by T. Booker),,22-32,,
5:40.0,Offensive rebound by M. Williams,,22-32,,
5:40.0,Turnover by Team (shot clock),,22-32,,
5:28.0,,,22-32,,Shooting foul by J. Lin (drawn by D. Favors)
5:28.0,,,22-32,,D. Favors misses free throw 1 of 2
5:28.0,,,22-32,,Offensive rebound by Team
5:28.0,,,22-32,,D. Favors misses free throw 2 of 2
5:27.0,Defensive rebound by M. Williams,,22-32,,
5:16.0,Turnover by K. Walker (bad pass),,22-32,,
4:54.0,,,22-34,2,G. Hayward makes 2-pt shot from 12 ft
4:33.0,M. Williams misses 2-pt shot from 22 ft,,22-34,,
4:33.0,,,22-34,,Defensive rebound by G. Hayward
4:15.0,,,22-34,,T. Burke misses 2-pt shot from 9 ft
4:14.0,,,22-34,,Offensive rebound by T. Booker
4:14.0,,,22-36,2,T. Booker makes 2-pt shot from 1 ft
4:00.0,Turnover by S. Hawes (bad pass),,22-36,,
4:00.0,,,22-36,,R. Neto enters the game for T. Burke
4:00.0,P. Hairston enters the game for T. Daniels,,22-36,,
3:49.0,,,22-36,,Turnover by R. Neto (traveling)
3:39.0,S. Hawes misses 2-pt shot from 2 ft,,22-36,,
3:39.0,,,22-36,,Defensive rebound by D. Favors
3:30.0,,,22-38,2,T. Booker makes 2-pt shot at rim (assist by J. Ingles)
3:22.0,Charlotte full timeout,,22-38,,
3:22.0,,,22-38,,T. Lyles enters the game for T. Booker
3:22.0,,,22-38,,R. Hood enters the game for J. Ingles
3:15.0,J. Lin misses 3-pt shot from 24 ft,,22-38,,
3:13.0,Offensive rebound by Team,,22-38,,
3:13.0,,,22-38,,Inbound foul by T. Lyles
3:13.0,M. Williams makes free throw 1 of 2,1,23-38,,
3:13.0,M. Williams makes free throw 2 of 2,1,24-38,,
2:58.0,,,24-38,,R. Hood misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by P. Hairston,,24-38,,
2:45.0,S. Hawes makes 3-pt shot from 23 ft (assist by K. Walker),3,27-38,,
2:34.0,,,27-38,,Utah full timeout
2:31.0,,,27-38,,R. Gobert enters the game for T. Lyles
2:31.0,,,27-38,,T. Booker enters the game for D. Favors
2:21.0,,,27-41,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert)
1:59.0,K. Walker makes 2-pt shot from 2 ft,2,29-41,,
1:43.0,,,29-43,2,R. Hood makes 2-pt shot from 12 ft
1:19.0,K. Walker makes 2-pt shot from 18 ft,2,31-43,,
0:59.0,,,31-43,,G. Hayward misses 3-pt shot from 22 ft
0:55.0,Jump ball: G. Hayward vs. J. Lin (R. Gobert gains possession),,,,Jump ball: G. Hayward vs. J. Lin (R. Gobert gains possession)
0:55.0,,,31-43,,Offensive rebound by G. Hayward
0:31.0,,,31-43,,G. Hayward misses 2-pt shot from 4 ft
0:31.0,Defensive rebound by M. Williams,,31-43,,
0:18.0,,,31-43,,Personal foul by R. Neto (drawn by K. Walker)
0:04.0,K. Walker misses 3-pt shot from 24 ft,,31-43,,
0:03.0,,,31-43,,Defensive rebound by R. Gobert
0:01.0,,,31-43,,R. Hood misses 3-pt shot from 49 ft
0:00.0,,,31-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by P. Hairston (bad pass; steal by R. Hood),,31-43,,
11:36.0,,,31-43,,R. Neto misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by P. Hairston,,31-43,,
11:25.0,M. Williams makes 2-pt shot from 7 ft,2,33-43,,
11:25.0,Shooting foul by G. Hayward (drawn by M. Williams),,33-43,,
11:25.0,M. Williams makes free throw 1 of 1,1,34-43,,
11:03.0,,,34-45,2,R. Hood makes 2-pt shot from 19 ft
10:44.0,M. Williams makes 2-pt shot from 10 ft,2,36-45,,
10:25.0,,,36-45,,Shooting foul by P. Hairston (drawn by R. Gobert)
10:25.0,,,36-46,1,R. Gobert makes free throw 1 of 2
10:25.0,,,36-46,,R. Gobert misses free throw 2 of 2
10:24.0,Defensive rebound by M. Williams,,36-46,,
10:06.0,N. Batum makes 3-pt shot from 23 ft (assist by M. Williams),3,39-46,,
9:55.0,Personal foul by N. Batum (drawn by R. Hood),,39-46,,
9:46.0,,,39-48,2,G. Hayward makes 2-pt shot from 16 ft
9:33.0,S. Hawes misses 2-pt shot from 4 ft (block by R. Gobert),,39-48,,
9:32.0,,,39-48,,Defensive rebound by G. Hayward
9:26.0,,,39-48,,G. Hayward misses 2-pt shot from 14 ft
9:25.0,Defensive rebound by N. Batum,,39-48,,
9:11.0,S. Hawes makes 2-pt shot from 9 ft,2,41-48,,
8:56.0,,,41-48,,R. Gobert misses 2-pt shot from 10 ft
8:55.0,Defensive rebound by N. Batum,,41-48,,
8:50.0,,,41-48,,Personal foul by R. Neto (drawn by N. Batum)
8:40.0,P. Hairston misses 3-pt shot from 22 ft,,41-48,,
8:39.0,,,41-48,,Defensive rebound by R. Gobert
8:28.0,,,41-48,,Turnover by R. Hood (bad pass)
8:21.0,,,41-48,,Personal foul by T. Lyles (drawn by M. Williams)
8:14.0,M. Williams misses 2-pt shot from 9 ft,,41-48,,
8:13.0,,,41-48,,Defensive rebound by T. Lyles
8:03.0,,,41-48,,T. Lyles misses 2-pt shot from 18 ft
8:02.0,Defensive rebound by N. Batum,,41-48,,
7:57.0,,,41-48,,T. Booker enters the game for T. Lyles
7:54.0,N. Batum misses 3-pt shot from 23 ft,,41-48,,
7:54.0,,,41-48,,Defensive rebound by T. Booker
7:43.0,,,41-48,,R. Neto misses 2-pt shot from 8 ft
7:43.0,Defensive rebound by K. Walker,,41-48,,
7:37.0,K. Walker misses 2-pt shot from 2 ft (block by T. Booker),,41-48,,
7:36.0,,,41-48,,Defensive rebound by R. Gobert
7:31.0,,,41-48,,Shooting foul by S. Hawes (drawn by R. Hood)
7:31.0,,,41-49,1,R. Hood makes free throw 1 of 2
7:31.0,,,41-50,1,R. Hood makes free throw 2 of 2
7:08.0,Shooting foul by R. Gobert (drawn by S. Hawes),,41-50,,
7:08.0,S. Hawes makes free throw 1 of 2,1,42-50,,
7:08.0,S. Hawes misses free throw 2 of 2,,42-50,,
7:07.0,,,42-50,,Defensive rebound by T. Booker
6:43.0,,,42-53,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
6:26.0,M. Williams misses 3-pt shot from 23 ft,,42-53,,
6:25.0,,,42-53,,Defensive rebound by R. Hood
6:06.0,,,42-53,,R. Neto misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by Team,,42-53,,
5:47.0,P. Hairston misses 2-pt shot at rim (block by R. Gobert),,42-53,,
5:47.0,Offensive rebound by Team,,42-53,,
5:47.0,,,42-53,,Utah full timeout
5:47.0,,,42-53,,T. Burke enters the game for R. Neto
5:39.0,N. Batum misses 2-pt shot from 10 ft,,42-53,,
5:38.0,,,42-53,,Defensive rebound by R. Gobert
5:24.0,,,42-53,,R. Hood misses 2-pt shot from 3 ft
5:24.0,Defensive rebound by S. Hawes,,42-53,,
5:18.0,N. Batum misses 2-pt shot from 15 ft,,42-53,,
5:17.0,,,42-53,,Defensive rebound by R. Gobert
4:59.0,,,42-55,2,T. Booker makes 2-pt shot from 2 ft
4:36.0,M. Williams misses 3-pt shot from 23 ft,,42-55,,
4:35.0,Offensive rebound by K. Walker,,42-55,,
4:24.0,S. Hawes makes 3-pt shot from 22 ft (assist by N. Batum),3,45-55,,
4:08.0,Personal foul by N. Batum (drawn by R. Hood),,45-55,,
4:08.0,,,45-55,,D. Favors enters the game for R. Gobert
4:08.0,,,45-55,,C. Johnson enters the game for R. Hood
4:08.0,F. Kaminsky enters the game for M. Williams,,45-55,,
4:08.0,J. Lin enters the game for N. Batum,,45-55,,
3:58.0,,,45-58,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
3:34.0,F. Kaminsky misses 2-pt shot from 4 ft,,45-58,,
3:33.0,,,45-58,,Defensive rebound by G. Hayward
3:20.0,,,45-61,3,T. Burke makes 3-pt shot from 22 ft (assist by G. Hayward)
3:20.0,Charlotte full timeout,,45-61,,
3:10.0,Turnover by K. Walker (bad pass; steal by G. Hayward),,45-61,,
3:04.0,,,45-63,2,G. Hayward makes 2-pt shot from 8 ft
2:49.0,K. Walker makes 2-pt shot from 18 ft,2,47-63,,
2:33.0,,,47-66,3,T. Burke makes 3-pt shot from 23 ft (assist by T. Booker)
2:13.0,J. Lin misses 2-pt shot from 6 ft,,47-66,,
2:13.0,,,47-66,,Defensive rebound by T. Booker
2:03.0,,,47-68,2,D. Favors makes 2-pt shot from 1 ft (assist by C. Johnson)
2:00.0,Charlotte full timeout,,47-68,,
2:00.0,T. Daniels enters the game for J. Lin,,47-68,,
1:42.0,K. Walker misses 3-pt shot from 24 ft,,47-68,,
1:42.0,,,47-68,,Defensive rebound by C. Johnson
1:25.0,,,47-68,,T. Burke misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by T. Daniels,,47-68,,
1:15.0,Shooting foul by C. Johnson (drawn by P. Hairston),,47-68,,
1:15.0,P. Hairston makes free throw 1 of 2,1,48-68,,
1:15.0,,,48-68,,J. Ingles enters the game for G. Hayward
1:15.0,T. Hansbrough enters the game for S. Hawes,,48-68,,
1:15.0,P. Hairston makes free throw 2 of 2,1,49-68,,
0:58.0,,,49-68,,D. Favors misses 2-pt shot from 5 ft
0:57.0,Defensive rebound by K. Walker,,49-68,,
0:48.0,Shooting foul by D. Favors (drawn by F. Kaminsky),,49-68,,
0:48.0,F. Kaminsky makes free throw 1 of 2,1,50-68,,
0:48.0,F. Kaminsky makes free throw 2 of 2,1,51-68,,
0:31.0,,,51-70,2,D. Favors makes 2-pt shot from 12 ft (assist by T. Burke)
0:06.0,Turnover by Team (shot clock),,51-70,,
0:00.0,,,51-70,,T. Burke misses 2-pt shot from 12 ft
0:00.0,,,51-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,51-72,2,D. Favors makes 2-pt shot from 8 ft
11:17.0,F. Kaminsky misses 3-pt shot from 24 ft,,51-72,,
11:17.0,,,51-72,,Defensive rebound by R. Hood
11:04.0,,,51-74,2,R. Hood makes 2-pt shot from 19 ft (assist by D. Favors)
11:03.0,Charlotte full timeout,,51-74,,
10:47.0,B. Roberts misses 2-pt shot from 22 ft,,51-74,,
10:46.0,,,51-74,,Defensive rebound by D. Favors
10:29.0,,,51-76,2,T. Burke makes 2-pt shot from 15 ft (assist by J. Ingles)
10:12.0,T. Daniels misses 3-pt shot from 26 ft,,51-76,,
10:12.0,,,51-76,,Defensive rebound by R. Gobert
10:00.0,,,51-76,,T. Burke misses 3-pt shot from 24 ft
9:59.0,,,51-76,,Offensive rebound by D. Favors
9:56.0,,,51-76,,D. Favors misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by F. Kaminsky,,51-76,,
9:40.0,T. Daniels misses 2-pt shot from 6 ft,,51-76,,
9:40.0,,,51-76,,Defensive rebound by T. Burke
9:28.0,,,51-76,,Turnover by R. Gobert (lost ball; steal by T. Hansbrough)
9:22.0,Shooting foul by T. Burke (drawn by B. Roberts),,51-76,,
9:22.0,B. Roberts makes free throw 1 of 2,1,52-76,,
9:22.0,B. Roberts makes free throw 2 of 2,1,53-76,,
9:06.0,,,53-76,,R. Hood misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by N. Batum,,53-76,,
8:48.0,T. Daniels makes 2-pt shot from 18 ft (assist by F. Kaminsky),2,55-76,,
8:35.0,,,55-78,2,R. Hood makes 2-pt shot from 5 ft
8:24.0,Shooting foul by T. Burke (drawn by B. Roberts),,55-78,,
8:24.0,B. Roberts makes free throw 1 of 2,1,56-78,,
8:24.0,,,56-78,,T. Lyles enters the game for D. Favors
8:24.0,,,56-78,,R. Neto enters the game for T. Burke
8:24.0,B. Roberts makes free throw 2 of 2,1,57-78,,
8:09.0,,,57-78,,R. Hood misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by B. Roberts,,57-78,,
8:00.0,F. Kaminsky misses 3-pt shot from 24 ft,,57-78,,
8:00.0,,,57-78,,Defensive rebound by R. Hood
7:38.0,,,57-78,,R. Neto misses 2-pt shot from 10 ft
7:38.0,Defensive rebound by N. Batum,,57-78,,
7:29.0,T. Daniels misses 3-pt shot from 24 ft,,57-78,,
7:28.0,,,57-78,,Defensive rebound by J. Ingles
7:09.0,,,57-78,,T. Lyles misses 2-pt shot from 3 ft
7:08.0,Defensive rebound by N. Batum,,57-78,,
6:56.0,B. Roberts makes 3-pt shot from 23 ft (assist by N. Batum),3,60-78,,
6:56.0,,,60-78,,Utah full timeout
6:56.0,,,60-78,,G. Hayward enters the game for J. Ingles
6:56.0,,,60-78,,C. Johnson enters the game for R. Gobert
6:56.0,,,60-78,,D. Favors enters the game for R. Neto
6:39.0,,,60-78,,C. Johnson misses 3-pt shot from 23 ft
6:38.0,,,60-78,,Offensive rebound by C. Johnson
6:35.0,,,60-80,2,C. Johnson makes 2-pt shot from 2 ft
6:15.0,Turnover by B. Roberts (bad pass; steal by C. Johnson),,60-80,,
5:58.0,,,60-82,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood)
5:42.0,Turnover by T. Daniels (back court),,60-82,,
5:20.0,Personal foul by T. Daniels (drawn by R. Hood),,60-82,,
5:07.0,,,60-82,,Turnover by G. Hayward (traveling)
4:46.0,Turnover by T. Daniels (lost ball; steal by C. Johnson),,60-82,,
4:39.0,,,60-84,2,G. Hayward makes 2-pt shot from 1 ft
4:39.0,,,60-84,,Shooting foul by F. Kaminsky (drawn by G. Hayward)
4:39.0,A. Harrison enters the game for N. Batum,,60-84,,
4:39.0,,,60-84,,T. Burke enters the game for R. Hood
4:39.0,,,60-85,1,G. Hayward makes free throw 1 of 1
4:29.0,Shooting foul by G. Hayward (drawn by T. Daniels),,60-85,,
4:29.0,T. Daniels makes free throw 1 of 2,1,61-85,,
4:29.0,T. Daniels misses free throw 2 of 2,,61-85,,
4:28.0,,,61-85,,Defensive rebound by G. Hayward
4:05.0,,,61-88,3,G. Hayward makes 3-pt shot from 23 ft (assist by D. Favors)
3:51.0,Turnover by T. Daniels (lost ball; steal by C. Johnson),,61-88,,
3:47.0,,,61-90,2,G. Hayward makes 2-pt shot at rim (assist by C. Johnson)
3:47.0,Charlotte full timeout,,61-90,,
3:47.0,,,61-90,,J. Withey enters the game for G. Hayward
3:47.0,,,61-90,,E. Green enters the game for D. Favors
3:47.0,,,61-90,,J. Ingles enters the game for T. Burke
3:28.0,Shooting foul by J. Withey (drawn by F. Kaminsky),,61-90,,
3:28.0,F. Kaminsky makes free throw 1 of 2,1,62-90,,
3:28.0,F. Kaminsky makes free throw 2 of 2,1,63-90,,
3:12.0,,,63-90,,Shooting foul by T. Daniels (drawn by C. Johnson)
3:12.0,,,63-90,,C. Johnson misses free throw 1 of 2
3:12.0,,,63-90,,Offensive rebound by Team
3:12.0,,,63-90,,T. Pleiss enters the game for T. Lyles
3:12.0,,,63-91,1,C. Johnson makes free throw 2 of 2
2:53.0,F. Kaminsky makes 2-pt shot from 5 ft,2,65-91,,
2:40.0,,,65-91,,Turnover by C. Johnson (bad pass; steal by A. Harrison)
2:33.0,A. Harrison misses 2-pt shot from 2 ft,,65-91,,
2:33.0,,,65-91,,Defensive rebound by J. Ingles
2:14.0,,,65-94,3,C. Johnson makes 3-pt shot from 23 ft (assist by E. Green)
2:00.0,B. Roberts makes 3-pt shot from 24 ft,3,68-94,,
1:50.0,,,68-96,2,E. Green makes 2-pt shot from 18 ft
1:42.0,B. Roberts makes 2-pt shot from 13 ft,2,70-96,,
1:42.0,Shooting foul by E. Green (drawn by B. Roberts),,70-96,,
1:42.0,B. Roberts makes free throw 1 of 1,1,71-96,,
1:30.0,Personal foul by T. Hansbrough (drawn by J. Withey),,71-96,,
1:19.0,,,71-98,2,E. Green makes 2-pt shot from 10 ft
0:58.0,Turnover by F. Kaminsky (lost ball),,71-98,,
0:42.0,Personal foul by A. Harrison (drawn by C. Johnson),,71-98,,
0:42.0,,,71-99,1,C. Johnson makes free throw 1 of 2
0:42.0,,,71-100,1,C. Johnson makes free throw 2 of 2
0:32.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by B. Roberts),2,73-100,,
0:13.0,,,73-102,2,J. Withey makes 2-pt shot from 5 ft
0:03.0,Turnover by A. Harrison (step out of bounds),,73-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
