time,Denver,pts.away,score,pts.home,Atlanta
5:14.0,G. Harris misses 3-pt shot from 24 ft,,37-43,,
5:13.0,,,37-43,,Defensive rebound by T. Sefolosha
4:53.0,,,37-43,,J. Teague misses 2-pt shot from 2 ft (block by J. Lauvergne)
4:50.0,Defensive rebound by E. Mudiay,,37-43,,
4:40.0,G. Harris misses 2-pt shot from 3 ft,,37-43,,
4:37.0,,,37-43,,Defensive rebound by T. Sefolosha
4:28.0,,,37-45,2,T. Hardaway makes 2-pt shot from 21 ft (assist by M. Scott)
4:04.0,J. Lauvergne makes 2-pt shot from 1 ft (assist by W. Barton),2,39-45,,
3:46.0,D. Arthur enters the game for J. Nurkic,,39-45,,
3:46.0,N. Jokic enters the game for J. Lauvergne,,39-45,,
3:46.0,Jump ball: E. Mudiay vs. M. Scott,,,,Jump ball: E. Mudiay vs. M. Scott
3:45.0,,,39-45,,A. Horford enters the game for M. Scott
3:40.0,,,39-45,,J. Teague misses 3-pt shot from 24 ft
3:38.0,Defensive rebound by W. Barton,,39-45,,
3:35.0,Turnover by W. Barton (bad pass),,39-45,,
3:29.0,,,39-45,,J. Teague misses 2-pt shot from 1 ft
3:29.0,,,39-45,,Offensive rebound by Team
3:17.0,Personal block foul by D. Arthur,,39-45,,
3:13.0,,,39-45,,Turnover by J. Teague (lost ball; steal by N. Jokic)
3:10.0,Shooting foul by T. Sefolosha (drawn by E. Mudiay),,39-45,,
3:10.0,E. Mudiay makes free throw 1 of 2,1,40-45,,
3:10.0,,,40-45,,K. Korver enters the game for T. Hardaway
3:10.0,E. Mudiay makes free throw 2 of 2,1,41-45,,
2:57.0,,,41-45,,J. Teague misses 2-pt shot from 16 ft
2:55.0,Defensive rebound by W. Barton,,41-45,,
2:41.0,N. Jokic makes 2-pt shot from 7 ft,2,43-45,,
2:27.0,,,43-45,,P. Millsap misses 2-pt shot from 12 ft
2:25.0,Defensive rebound by N. Jokic,,43-45,,
2:15.0,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Barton),3,46-45,,
2:10.0,,,46-45,,Atlanta full timeout
2:10.0,Denver full timeout,,46-45,,
2:10.0,,,46-45,,D. Schroder enters the game for J. Teague
2:01.0,,,46-47,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
1:43.0,N. Jokic misses 2-pt shot from 4 ft (block by A. Horford),,46-47,,
1:41.0,Offensive rebound by G. Harris,,46-47,,
1:36.0,E. Mudiay makes 2-pt shot from 18 ft,2,48-47,,
1:18.0,,,48-50,3,P. Millsap makes 3-pt shot from 24 ft
0:59.0,E. Mudiay misses 3-pt shot from 25 ft,,48-50,,
0:57.0,,,48-50,,Defensive rebound by P. Millsap
0:46.0,,,48-52,2,T. Sefolosha makes 2-pt shot from 1 ft
0:25.0,N. Jokic misses 2-pt shot from 10 ft (block by A. Horford),,48-52,,
0:23.0,,,48-52,,Defensive rebound by P. Millsap
0:05.0,,,48-54,2,D. Schroder makes 2-pt shot from 1 ft
0:05.0,,,48-54,,Technical foul by D. Schroder
0:05.0,G. Harris misses technical free throw,,48-54,,
0:05.0,Offensive rebound by Team,,48-54,,
0:01.0,W. Barton misses 2-pt shot at rim,,48-54,,
0:01.0,,,48-54,,Defensive rebound by D. Schroder
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,48-56,2,A. Horford makes 2-pt shot from 5 ft (assist by K. Korver)
11:30.0,G. Harris misses 2-pt shot at rim,,48-56,,
11:26.0,,,48-56,,Defensive rebound by P. Millsap
11:18.0,,,48-56,,Turnover by P. Millsap (lost ball; steal by G. Harris)
11:15.0,,,48-56,,Personal foul by J. Teague
11:00.0,J. Sampson makes 2-pt shot from 6 ft (assist by G. Harris),2,50-56,,
10:48.0,Personal foul by E. Mudiay,,50-56,,
10:35.0,,,50-56,,T. Hardaway misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by J. Sampson,,50-56,,
10:26.0,N. Jokic makes 2-pt shot from 19 ft (assist by G. Harris),2,52-56,,
10:15.0,,,52-58,2,T. Hardaway makes 2-pt shot at rim (assist by K. Korver)
9:56.0,E. Mudiay misses 3-pt shot from 24 ft,,52-58,,
9:55.0,,,52-58,,Defensive rebound by P. Millsap
9:45.0,,,52-60,2,P. Millsap makes 2-pt shot from 21 ft (assist by K. Korver)
9:29.0,Shooting foul by A. Horford (drawn by G. Harris),,52-60,,
9:29.0,G. Harris makes free throw 1 of 2,1,53-60,,
9:29.0,G. Harris makes free throw 2 of 2,1,54-60,,
9:17.0,,,54-60,,J. Teague misses 2-pt shot from 11 ft
9:15.0,Defensive rebound by N. Jokic,,54-60,,
9:08.0,J. Sampson makes 2-pt shot at rim (assist by E. Mudiay),2,56-60,,
8:58.0,,,56-62,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
8:58.0,,,56-62,,Shooting foul by N. Jokic (drawn by A. Horford)
8:58.0,,,56-63,1,A. Horford makes free throw 1 of 1
8:49.0,E. Mudiay misses 2-pt shot from 1 ft (block by A. Horford),,56-63,,
8:46.0,,,56-63,,Defensive rebound by A. Horford
8:42.0,,,56-63,,J. Teague misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by J. Sampson,,56-63,,
8:33.0,D. Arthur misses 2-pt shot from 16 ft,,56-63,,
8:32.0,,,56-63,,Defensive rebound by J. Teague
8:24.0,,,56-66,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
8:23.0,Denver full timeout,,56-66,,
8:01.0,Turnover by D. Arthur (lost ball; steal by T. Hardaway),,56-66,,
7:51.0,,,56-69,3,J. Teague makes 3-pt shot from 24 ft (assist by T. Hardaway)
7:29.0,G. Harris misses 2-pt shot from 11 ft,,56-69,,
7:28.0,,,56-69,,Defensive rebound by Team
7:19.0,,,56-72,3,T. Hardaway makes 3-pt shot from 24 ft (assist by A. Horford)
7:18.0,Denver full timeout,,56-72,,
7:18.0,D. Augustin enters the game for J. Sampson,,56-72,,
