time,Utah,pts.away,score,pts.home,Chicago
3:15.0,,,12-20,,B. Portis enters the game for T. Gibson
3:15.0,R. Neto enters the game for S. Mack,,12-20,,
3:06.0,D. Favors misses 2-pt shot from 16 ft,,12-20,,
3:06.0,Offensive rebound by Team,,12-20,,
2:49.0,J. Ingles misses 3-pt shot from 25 ft,,12-20,,
2:49.0,,,12-20,,Defensive rebound by Team
2:37.0,,,12-22,2,J. Holiday makes 2-pt shot from 18 ft (assist by D. McDermott)
2:37.0,Away from play foul by T. Booker,,12-22,,
2:37.0,,,12-23,1,B. Portis makes free throw 1 of 1
2:22.0,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles),2,14-23,,
1:54.0,,,14-23,,N. Mirotic misses 2-pt shot from 16 ft
1:53.0,Defensive rebound by D. Favors,,14-23,,
1:45.0,,,14-23,,Personal foul by D. McDermott
1:45.0,G. Hayward enters the game for R. Hood,,14-23,,
1:33.0,D. Favors makes 2-pt shot from 13 ft (assist by G. Hayward),2,16-23,,
1:20.0,,,16-25,2,A. Brooks makes 2-pt shot from 2 ft
0:58.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Neto),3,19-25,,
0:36.0,,,19-25,,D. McDermott misses 2-pt shot from 1 ft
0:35.0,,,19-25,,Offensive rebound by D. McDermott
0:35.0,,,19-25,,D. McDermott misses 2-pt shot from 1 ft
0:34.0,,,19-25,,Offensive rebound by B. Portis
0:34.0,,,19-25,,B. Portis misses 2-pt shot from 1 ft
0:34.0,,,19-25,,Offensive rebound by B. Portis
0:34.0,,,19-25,,B. Portis misses 2-pt shot from 1 ft
0:33.0,Defensive rebound by J. Ingles,,19-25,,
0:25.0,T. Booker misses 2-pt shot from 12 ft,,19-25,,
0:24.0,,,19-25,,Defensive rebound by N. Mirotic
0:06.0,Personal foul by R. Neto,,19-25,,
0:02.0,,,19-25,,N. Mirotic misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by J. Ingles,,19-25,,
0:00.0,J. Ingles misses 3-pt shot from 71 ft,,19-25,,
0:00.0,Offensive rebound by Team,,19-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by J. Ingles,,19-25,,
11:46.0,,,19-25,,D. McDermott misses 3-pt shot from 25 ft (block by J. Ingles)
11:44.0,Defensive rebound by R. Gobert,,19-25,,
11:26.0,T. Booker misses 3-pt shot from 24 ft,,19-25,,
11:25.0,Offensive rebound by R. Gobert,,19-25,,
11:24.0,R. Gobert misses 2-pt shot from 2 ft (block by B. Portis),,19-25,,
11:22.0,,,19-25,,Defensive rebound by D. McDermott
11:16.0,,,19-27,2,B. Portis makes 2-pt shot from 20 ft
10:54.0,R. Neto misses 2-pt shot from 2 ft (block by B. Portis),,19-27,,
10:54.0,Offensive rebound by Team,,19-27,,
10:54.0,T. Lyles enters the game for T. Booker,,19-27,,
10:54.0,Offensive charge foul by J. Ingles,,19-27,,
10:54.0,Turnover by J. Ingles (offensive foul),,19-27,,
10:36.0,,,19-30,3,B. Portis makes 3-pt shot from 24 ft (assist by J. Holiday)
10:07.0,J. Ingles makes 3-pt shot from 24 ft (assist by T. Lyles),3,22-30,,
9:57.0,,,22-32,2,N. Mirotic makes 2-pt shot from 1 ft (assist by B. Portis)
9:46.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,24-32,,
9:30.0,,,24-32,,D. McDermott misses 2-pt shot from 21 ft
9:30.0,Defensive rebound by Team,,24-32,,
9:22.0,T. Lyles misses 3-pt shot from 24 ft,,24-32,,
9:21.0,,,24-32,,Defensive rebound by J. Holiday
9:11.0,,,24-32,,J. Holiday misses 3-pt shot from 23 ft
9:10.0,Defensive rebound by R. Gobert,,24-32,,
8:54.0,J. Ingles misses 3-pt shot from 23 ft,,24-32,,
8:53.0,,,24-32,,Defensive rebound by D. McDermott
8:47.0,,,24-32,,N. Mirotic misses 2-pt shot from 1 ft
8:46.0,Defensive rebound by J. Ingles,,24-32,,
8:29.0,R. Neto makes 2-pt shot from 12 ft,2,26-32,,
8:09.0,,,26-34,2,A. Brooks makes 2-pt shot from 1 ft
7:52.0,G. Hayward misses 2-pt shot from 17 ft,,26-34,,
7:51.0,,,26-34,,Defensive rebound by B. Portis
7:41.0,,,26-34,,Chicago full timeout
7:41.0,,,26-34,,M. Dunleavy enters the game for N. Mirotic
7:41.0,,,26-34,,D. Rose enters the game for A. Brooks
7:41.0,,,26-34,,J. Butler enters the game for D. McDermott
7:41.0,,,26-34,,T. Gibson enters the game for J. Holiday
7:41.0,R. Hood enters the game for J. Ingles,,26-34,,
7:41.0,S. Mack enters the game for R. Neto,,26-34,,
7:25.0,,,26-36,2,T. Gibson makes 2-pt shot from 4 ft
7:08.0,R. Hood misses 2-pt shot from 15 ft,,26-36,,
7:07.0,,,26-36,,Defensive rebound by J. Butler
7:00.0,,,26-36,,Turnover by M. Dunleavy (traveling)
7:00.0,,,26-36,,Violation by Team (jump ball)
6:49.0,G. Hayward misses 2-pt shot from 1 ft,,26-36,,
6:48.0,,,26-36,,Defensive rebound by M. Dunleavy
6:31.0,,,26-36,,D. Rose misses 2-pt shot from 10 ft
6:30.0,,,26-36,,Offensive rebound by B. Portis
6:30.0,,,26-38,2,B. Portis makes 2-pt shot from 3 ft
6:09.0,S. Mack misses 2-pt shot from 1 ft,,26-38,,
6:07.0,Offensive rebound by T. Lyles,,26-38,,
6:07.0,T. Lyles makes 2-pt shot at rim,2,28-38,,
5:50.0,,,28-40,2,D. Rose makes 2-pt shot from 16 ft
5:25.0,R. Hood misses 3-pt shot from 24 ft,,28-40,,
5:24.0,,,28-40,,Defensive rebound by D. Rose
5:16.0,,,28-40,,B. Portis misses 3-pt shot from 23 ft
5:14.0,Defensive rebound by R. Gobert,,28-40,,
5:11.0,Utah full timeout,,28-40,,
5:11.0,C. Johnson enters the game for G. Hayward,,28-40,,
5:11.0,D. Favors enters the game for R. Gobert,,28-40,,
4:57.0,D. Favors makes 2-pt shot from 1 ft (assist by S. Mack),2,30-40,,
4:38.0,Def 3 sec tech foul by D. Favors,,30-40,,
4:38.0,,,30-41,1,M. Dunleavy makes technical free throw
4:38.0,,,30-41,,N. Mirotic enters the game for B. Portis
4:29.0,,,30-43,2,D. Rose makes 2-pt shot from 9 ft (assist by N. Mirotic)
4:17.0,S. Mack makes 3-pt shot from 24 ft (assist by D. Favors),3,33-43,,
3:59.0,,,33-43,,N. Mirotic misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by Team,,33-43,,
3:59.0,R. Gobert enters the game for T. Lyles,,33-43,,
3:41.0,D. Favors makes 2-pt shot from 21 ft (assist by S. Mack),2,35-43,,
3:25.0,,,35-46,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
3:10.0,,,35-46,,Def 3 sec tech foul by T. Gibson
3:10.0,R. Hood makes technical free throw,1,36-46,,
3:01.0,D. Favors misses 2-pt shot from 2 ft,,36-46,,
3:00.0,Offensive rebound by C. Johnson,,36-46,,
2:53.0,Turnover by S. Mack (lost ball; steal by T. Gibson),,36-46,,
2:50.0,,,36-46,,Turnover by M. Dunleavy (step out of bounds)
2:50.0,,,36-46,,Chicago full timeout
2:39.0,Turnover by D. Favors (lost ball; steal by M. Dunleavy),,36-46,,
2:31.0,,,36-46,,Turnover by D. Rose (lost ball; steal by R. Gobert)
2:26.0,C. Johnson makes 2-pt shot from 2 ft,2,38-46,,
2:00.0,,,38-48,2,D. Rose makes 2-pt shot from 8 ft (assist by T. Gibson)
1:40.0,D. Favors makes 2-pt shot at rim (assist by S. Mack),2,40-48,,
1:20.0,,,40-48,,J. Butler misses 2-pt shot from 20 ft
1:19.0,Defensive rebound by R. Hood,,40-48,,
1:05.0,Offensive charge foul by C. Johnson,,40-48,,
1:05.0,Turnover by C. Johnson (offensive foul),,40-48,,
0:51.0,,,40-48,,N. Mirotic misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by S. Mack,,40-48,,
0:32.0,R. Hood misses 3-pt shot from 23 ft,,40-48,,
0:31.0,,,40-48,,Defensive rebound by N. Mirotic
0:22.0,,,40-50,2,N. Mirotic makes 2-pt shot at rim (assist by M. Dunleavy)
0:06.0,,,40-50,,Personal foul by D. Rose
0:06.0,Utah full timeout,,40-50,,
0:06.0,G. Hayward enters the game for C. Johnson,,40-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,40-50,,J. Butler misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by S. Mack,,40-50,,
11:23.0,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward),2,42-50,,
11:23.0,Shooting foul by D. Rose (drawn by D. Favors),,42-50,,
11:23.0,D. Favors misses free throw 1 of 1,,42-50,,
11:21.0,,,42-50,,Defensive rebound by M. Dunleavy
11:05.0,,,42-52,2,C. Felicio makes 2-pt shot from 2 ft (assist by D. Rose)
10:49.0,R. Hood makes 3-pt shot from 23 ft (assist by S. Mack),3,45-52,,
10:20.0,,,45-54,2,J. Butler makes 2-pt shot from 21 ft (assist by T. Gibson)
10:06.0,G. Hayward misses 2-pt shot from 5 ft,,45-54,,
10:05.0,,,45-54,,Defensive rebound by C. Felicio
10:00.0,,,45-54,,Turnover by D. Rose (lost ball; steal by R. Hood)
9:58.0,,,45-54,,Personal take foul by C. Felicio
9:43.0,Turnover by S. Mack (bad pass),,45-54,,
9:24.0,,,45-56,2,D. Rose makes 2-pt shot from 1 ft
9:06.0,D. Favors makes 2-pt shot at rim (assist by S. Mack),2,47-56,,
8:40.0,,,47-56,,T. Gibson misses 2-pt shot from 5 ft (block by D. Favors)
8:38.0,,,47-56,,Offensive rebound by T. Gibson
8:36.0,,,47-56,,Turnover by Team (shot clock)
8:15.0,S. Mack makes 2-pt shot from 8 ft,2,49-56,,
7:58.0,,,49-58,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler)
7:40.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,52-58,,
7:23.0,,,52-60,2,J. Butler makes 2-pt shot from 9 ft
7:18.0,Turnover by R. Gobert (lost ball; steal by C. Felicio),,52-60,,
7:15.0,,,52-62,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
7:15.0,Utah full timeout,,52-62,,
7:15.0,T. Lyles enters the game for R. Gobert,,52-62,,
6:53.0,S. Mack misses 2-pt shot from 21 ft,,52-62,,
6:52.0,,,52-62,,Defensive rebound by T. Gibson
6:33.0,,,52-62,,C. Felicio misses 2-pt shot from 2 ft
6:32.0,,,52-62,,Offensive rebound by T. Gibson
6:32.0,,,52-62,,T. Gibson misses 2-pt shot at rim
6:31.0,,,52-62,,Offensive rebound by T. Gibson
6:18.0,,,52-62,,M. Dunleavy misses 3-pt shot from 25 ft
6:17.0,,,52-62,,Offensive rebound by T. Gibson
6:14.0,,,52-64,2,D. Rose makes 2-pt shot from 4 ft (assist by T. Gibson)
6:02.0,Shooting foul by T. Gibson (drawn by S. Mack),,52-64,,
6:02.0,S. Mack misses free throw 1 of 2,,52-64,,
6:02.0,Offensive rebound by Team,,52-64,,
6:02.0,,,52-64,,N. Mirotic enters the game for C. Felicio
6:02.0,S. Mack makes free throw 2 of 2,1,53-64,,
5:49.0,,,53-64,,J. Butler misses 2-pt shot from 4 ft
5:48.0,,,53-64,,Offensive rebound by T. Gibson
5:44.0,,,53-64,,M. Dunleavy misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by T. Lyles,,53-64,,
5:34.0,R. Hood misses 3-pt shot from 23 ft,,53-64,,
5:32.0,Offensive rebound by T. Lyles,,53-64,,
5:32.0,T. Lyles makes 2-pt shot from 1 ft,2,55-64,,
5:15.0,,,55-66,2,T. Gibson makes 2-pt shot from 2 ft
5:15.0,,,55-66,,Shooting foul by D. Favors (drawn by T. Gibson)
5:15.0,,,55-66,,A. Brooks enters the game for D. Rose
5:15.0,,,55-66,,D. McDermott enters the game for M. Dunleavy
5:15.0,,,55-67,1,T. Gibson makes free throw 1 of 1
5:01.0,G. Hayward misses 3-pt shot from 25 ft,,55-67,,
5:00.0,Offensive rebound by S. Mack,,55-67,,
4:50.0,D. Favors misses 2-pt shot from 2 ft (block by T. Gibson),,55-67,,
4:50.0,,,55-67,,Defensive rebound by Team
4:26.0,,,55-67,,Turnover by T. Gibson (lost ball; steal by D. Favors)
4:07.0,T. Lyles misses 2-pt shot from 4 ft,,55-67,,
4:06.0,,,55-67,,Defensive rebound by N. Mirotic
3:52.0,,,55-69,2,J. Butler makes 2-pt shot from 12 ft
3:45.0,Shooting foul by A. Brooks (drawn by S. Mack),,55-69,,
3:45.0,S. Mack makes free throw 1 of 2,1,56-69,,
3:45.0,C. Johnson enters the game for R. Hood,,56-69,,
3:45.0,,,56-69,,B. Portis enters the game for T. Gibson
3:45.0,,,56-69,,J. Holiday enters the game for J. Butler
3:45.0,S. Mack makes free throw 2 of 2,1,57-69,,
3:32.0,,,57-72,3,N. Mirotic makes 3-pt shot from 22 ft (assist by A. Brooks)
3:13.0,S. Mack makes 3-pt shot from 24 ft (assist by D. Favors),3,60-72,,
2:49.0,,,60-72,,A. Brooks misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by D. Favors,,60-72,,
2:38.0,D. Favors misses 2-pt shot from 16 ft,,60-72,,
2:37.0,,,60-72,,Defensive rebound by N. Mirotic
2:28.0,,,60-72,,Turnover by A. Brooks (lost ball; steal by S. Mack)
2:18.0,S. Mack misses 3-pt shot from 25 ft,,60-72,,
2:17.0,Offensive rebound by C. Johnson,,60-72,,
2:13.0,G. Hayward makes 2-pt shot from 1 ft,2,62-72,,
2:12.0,,,62-72,,Chicago full timeout
2:12.0,R. Neto enters the game for D. Favors,,62-72,,
2:12.0,R. Gobert enters the game for S. Mack,,62-72,,
1:57.0,,,62-72,,A. Brooks misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by G. Hayward,,62-72,,
1:40.0,G. Hayward misses 2-pt shot from 3 ft,,62-72,,
1:39.0,,,62-72,,Defensive rebound by N. Mirotic
1:33.0,,,62-72,,J. Holiday misses 2-pt shot from 4 ft (block by R. Gobert)
1:33.0,,,62-72,,Offensive rebound by Team
1:27.0,Personal foul by C. Johnson,,62-72,,
1:22.0,,,62-74,2,D. McDermott makes 2-pt shot at rim (assist by N. Mirotic)
1:04.0,R. Neto makes 3-pt shot from 24 ft (assist by G. Hayward),3,65-74,,
0:48.0,,,65-76,2,N. Mirotic makes 2-pt shot from 1 ft
0:39.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,67-76,,
0:34.0,Personal foul by T. Lyles,,67-76,,
0:34.0,,,67-76,,N. Mirotic misses free throw 1 of 2
0:34.0,,,67-76,,Offensive rebound by Team
0:34.0,,,67-77,1,N. Mirotic makes free throw 2 of 2
0:26.0,T. Lyles misses 3-pt shot from 24 ft,,67-77,,
0:24.0,,,67-77,,Defensive rebound by B. Portis
0:02.0,,,67-79,2,D. McDermott makes 2-pt shot from 16 ft (assist by A. Brooks)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,R. Hood misses 2-pt shot from 20 ft,,67-79,,
11:41.0,,,67-79,,Defensive rebound by D. McDermott
11:26.0,,,67-79,,D. McDermott misses 2-pt shot from 7 ft
11:25.0,Defensive rebound by Team,,67-79,,
11:01.0,R. Hood misses 2-pt shot from 8 ft,,67-79,,
11:00.0,,,67-79,,Defensive rebound by J. Holiday
10:53.0,,,67-79,,J. Holiday misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by R. Neto,,67-79,,
10:35.0,R. Neto makes 2-pt shot from 6 ft,2,69-79,,
10:13.0,,,69-79,,N. Mirotic misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by R. Gobert,,69-79,,
10:01.0,R. Gobert misses 2-pt shot at rim,,69-79,,
9:58.0,,,69-79,,Defensive rebound by A. Brooks
9:55.0,,,69-79,,Shooting foul by J. Ingles (drawn by B. Portis)
9:55.0,,,69-79,,B. Portis misses free throw 1 of 2
9:55.0,,,69-79,,Offensive rebound by Team
9:55.0,D. Favors enters the game for R. Gobert,,69-79,,
9:55.0,,,69-80,1,B. Portis makes free throw 2 of 2
9:40.0,D. Favors misses 2-pt shot from 7 ft,,69-80,,
9:40.0,,,69-80,,Defensive rebound by Team
9:24.0,,,69-80,,Turnover by J. Holiday (lost ball; steal by R. Neto)
9:19.0,R. Neto makes 2-pt shot from 2 ft (assist by T. Booker),2,71-80,,
9:01.0,,,71-80,,Shooting foul by T. Booker (drawn by N. Mirotic)
9:01.0,,,71-81,1,N. Mirotic makes free throw 1 of 2
9:01.0,G. Hayward enters the game for R. Neto,,71-81,,
9:01.0,,,71-81,,J. Butler enters the game for J. Holiday
9:01.0,,,71-82,1,N. Mirotic makes free throw 2 of 2
8:51.0,,,71-82,,Personal foul by N. Mirotic
8:51.0,Utah full timeout,,71-82,,
8:51.0,,,71-82,,D. Rose enters the game for A. Brooks
8:36.0,J. Ingles misses 2-pt shot from 1 ft,,71-82,,
8:35.0,Offensive rebound by T. Booker,,71-82,,
8:35.0,T. Booker makes 2-pt shot from 1 ft,2,73-82,,
8:12.0,,,73-85,3,N. Mirotic makes 3-pt shot from 23 ft (assist by D. McDermott)
7:51.0,G. Hayward misses 2-pt shot from 18 ft,,73-85,,
7:50.0,,,73-85,,Defensive rebound by J. Butler
7:38.0,,,73-85,,D. Rose misses 2-pt shot from 1 ft
7:37.0,Defensive rebound by T. Booker,,73-85,,
7:23.0,Turnover by G. Hayward (traveling),,73-85,,
7:23.0,S. Mack enters the game for T. Booker,,73-85,,
7:07.0,,,73-85,,B. Portis misses 2-pt shot from 17 ft
7:06.0,,,73-85,,Offensive rebound by D. Rose
6:51.0,,,73-87,2,J. Butler makes 2-pt shot from 17 ft (assist by B. Portis)
6:34.0,Shooting foul by N. Mirotic (drawn by D. Favors),,73-87,,
6:34.0,D. Favors makes free throw 1 of 2,1,74-87,,
6:34.0,,,74-87,,T. Gibson enters the game for B. Portis
6:34.0,D. Favors misses free throw 2 of 2,,74-87,,
6:32.0,Offensive rebound by J. Ingles,,74-87,,
6:18.0,J. Ingles misses 3-pt shot from 24 ft,,74-87,,
6:17.0,,,74-87,,Defensive rebound by D. McDermott
5:52.0,,,74-87,,N. Mirotic misses 2-pt shot from 21 ft
5:51.0,Defensive rebound by D. Favors,,74-87,,
5:31.0,S. Mack makes 2-pt shot from 1 ft,2,76-87,,
5:21.0,Personal foul by G. Hayward,,76-87,,
5:21.0,,,76-87,,Chicago full timeout
5:17.0,,,76-87,,Offensive foul by J. Butler
5:17.0,,,76-87,,Turnover by J. Butler (offensive foul)
5:03.0,J. Ingles misses 2-pt shot from 1 ft (block by N. Mirotic),,76-87,,
5:01.0,Offensive rebound by J. Ingles,,76-87,,
4:55.0,R. Hood misses 3-pt shot from 24 ft,,76-87,,
4:54.0,,,76-87,,Defensive rebound by J. Butler
4:40.0,,,76-87,,D. McDermott misses 2-pt shot from 6 ft
4:38.0,Defensive rebound by G. Hayward,,76-87,,
4:24.0,R. Hood misses 2-pt shot from 1 ft (block by T. Gibson),,76-87,,
4:22.0,Offensive rebound by D. Favors,,76-87,,
4:18.0,D. Favors misses 2-pt shot from 1 ft,,76-87,,
4:17.0,Offensive rebound by R. Hood,,76-87,,
4:17.0,R. Hood makes 2-pt shot at rim,2,78-87,,
3:53.0,,,78-87,,J. Butler misses 2-pt shot from 16 ft
3:52.0,Defensive rebound by J. Ingles,,78-87,,
3:45.0,Offensive charge foul by D. Favors,,78-87,,
3:45.0,Turnover by D. Favors (offensive foul),,78-87,,
3:45.0,R. Gobert enters the game for D. Favors,,78-87,,
3:45.0,C. Johnson enters the game for J. Ingles,,78-87,,
3:45.0,,,78-87,,M. Dunleavy enters the game for D. McDermott
3:33.0,,,78-89,2,D. Rose makes 2-pt shot from 15 ft
3:16.0,R. Hood makes 2-pt shot from 8 ft (assist by S. Mack),2,80-89,,
2:56.0,,,80-89,,D. Rose misses 2-pt shot from 18 ft
2:55.0,Defensive rebound by R. Gobert,,80-89,,
2:44.0,G. Hayward misses 3-pt shot from 24 ft,,80-89,,
2:43.0,Offensive rebound by C. Johnson,,80-89,,
2:39.0,R. Hood misses 3-pt shot from 25 ft,,80-89,,
2:38.0,Offensive rebound by R. Gobert,,80-89,,
2:38.0,,,80-89,,Personal foul by M. Dunleavy
2:38.0,Utah full timeout,,80-89,,
2:38.0,D. Favors enters the game for R. Gobert,,80-89,,
2:38.0,C. Johnson misses free throw 1 of 2,,80-89,,
2:38.0,Offensive rebound by Team,,80-89,,
2:38.0,C. Johnson makes free throw 2 of 2,1,81-89,,
2:13.0,,,81-89,,M. Dunleavy misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by R. Hood,,81-89,,
2:01.0,S. Mack misses 2-pt shot from 8 ft,,81-89,,
2:00.0,Offensive rebound by D. Favors,,81-89,,
2:00.0,D. Favors makes 2-pt shot at rim,2,83-89,,
1:44.0,,,83-91,2,T. Gibson makes 2-pt shot from 15 ft (assist by J. Butler)
1:32.0,C. Johnson misses 2-pt shot from 2 ft (block by N. Mirotic),,83-91,,
1:31.0,,,83-91,,Defensive rebound by J. Butler
1:31.0,Personal foul by D. Favors,,83-91,,
1:11.0,,,83-91,,J. Butler misses 2-pt shot from 17 ft
1:10.0,Defensive rebound by G. Hayward,,83-91,,
1:04.0,G. Hayward makes 2-pt shot from 7 ft,2,85-91,,
0:45.0,,,85-91,,Turnover by D. Rose (bad pass)
0:35.0,C. Johnson misses 3-pt shot from 24 ft,,85-91,,
0:33.0,,,85-91,,Defensive rebound by T. Gibson
0:18.0,Personal take foul by C. Johnson,,85-91,,
0:18.0,,,85-91,,J. Butler misses free throw 1 of 2
0:18.0,,,85-91,,Offensive rebound by Team
0:18.0,,,85-92,1,J. Butler makes free throw 2 of 2
0:18.0,Utah full timeout,,85-92,,
0:18.0,J. Ingles enters the game for C. Johnson,,85-92,,
0:11.0,R. Hood misses 3-pt shot from 24 ft,,85-92,,
0:10.0,,,85-92,,Defensive rebound by T. Gibson
0:00.0,End of 4th quarter,,,,End of 4th quarter
