time,Atlanta,pts.away,score,pts.home,New York
0:30.0,Jump ball: L. Galloway vs. D. Schroder (T. Splitter gains possession),,,,Jump ball: L. Galloway vs. D. Schroder (T. Splitter gains possession)
0:21.0,D. Schroder makes 2-pt shot from 3 ft,2,30-20,,
0:01.0,,,30-20,,L. Thomas misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by T. Splitter,,30-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,30-22,2,K. O'Quinn makes 2-pt shot from 21 ft
11:16.0,Turnover by A. Horford (lost ball),,30-22,,
11:05.0,Personal foul by L. Patterson (drawn by K. O'Quinn),,30-22,,
11:02.0,,,30-22,,Turnover by J. Grant (bad pass)
10:58.0,L. Patterson misses 3-pt shot from 25 ft,,30-22,,
10:56.0,,,30-22,,Defensive rebound by L. Thomas
10:46.0,,,30-22,,Shooting foul by M. Scott (drawn by D. Williams)
10:46.0,,,30-23,1,D. Williams makes free throw 1 of 2
10:46.0,,,30-23,,D. Williams misses free throw 2 of 2
10:44.0,Defensive rebound by A. Horford,,30-23,,
10:31.0,A. Horford misses 2-pt shot from 20 ft,,30-23,,
10:29.0,,,30-23,,Defensive rebound by L. Galloway
10:15.0,,,30-26,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Grant)
9:55.0,,,30-26,,Personal foul by J. Grant (drawn by D. Schroder)
9:47.0,D. Schroder misses 2-pt shot from 14 ft,,30-26,,
9:46.0,,,30-26,,Defensive rebound by J. Grant
9:40.0,,,30-26,,D. Williams misses 2-pt shot from 2 ft
9:38.0,,,30-26,,Offensive rebound by K. O'Quinn
9:38.0,,,30-26,,Turnover by K. O'Quinn (traveling)
9:32.0,,,30-26,,Personal foul by K. O'Quinn (drawn by A. Horford)
9:27.0,A. Horford misses 2-pt shot from 15 ft,,30-26,,
9:25.0,,,30-26,,Defensive rebound by L. Thomas
9:09.0,,,30-28,2,J. Grant makes 2-pt shot from 2 ft (assist by K. O'Quinn)
9:03.0,Atlanta full timeout,,30-28,,
9:03.0,K. Korver enters the game for J. Holiday,,30-28,,
8:53.0,M. Scott misses 2-pt shot from 20 ft,,30-28,,
8:51.0,,,30-28,,Defensive rebound by J. Grant
8:27.0,,,30-28,,L. Thomas misses 2-pt shot from 19 ft
8:26.0,,,30-28,,Offensive rebound by K. O'Quinn
8:24.0,Personal foul by L. Patterson (drawn by K. O'Quinn),,30-28,,
8:24.0,P. Millsap enters the game for M. Scott,,30-28,,
8:18.0,,,30-31,3,L. Galloway makes 3-pt shot from 24 ft (assist by J. Grant)
7:59.0,Turnover by P. Millsap (bad pass; steal by D. Williams),,30-31,,
7:55.0,,,30-31,,Turnover by D. Williams (lost ball; steal by P. Millsap)
7:37.0,A. Horford makes 2-pt shot from 1 ft (assist by P. Millsap),2,32-31,,
7:20.0,,,32-33,2,D. Williams makes 2-pt shot at rim (assist by K. O'Quinn)
7:06.0,Turnover by D. Schroder (bad pass; steal by K. O'Quinn),,32-33,,
6:54.0,,,32-33,,D. Williams misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by D. Schroder,,32-33,,
6:40.0,A. Horford makes 2-pt shot from 2 ft,2,34-33,,
6:24.0,,,34-33,,J. Grant misses 2-pt shot from 2 ft
6:22.0,Defensive rebound by K. Korver,,34-33,,
6:17.0,L. Patterson makes 3-pt shot from 24 ft (assist by D. Schroder),3,37-33,,
5:57.0,,,37-35,2,D. Williams makes 2-pt shot from 18 ft (assist by L. Galloway)
5:40.0,D. Schroder makes 3-pt shot from 25 ft (assist by K. Korver),3,40-35,,
5:37.0,,,40-35,,New York full timeout
5:37.0,J. Teague enters the game for A. Horford,,40-35,,
5:37.0,K. Bazemore enters the game for L. Patterson,,40-35,,
5:37.0,T. Splitter enters the game for D. Schroder,,40-35,,
5:37.0,,,40-35,,K. Porzingis enters the game for K. O'Quinn
5:37.0,,,40-35,,C. Anthony enters the game for D. Williams
5:37.0,,,40-35,,S. Vujacic enters the game for J. Grant
5:37.0,,,40-35,,J. Calderon enters the game for L. Thomas
5:28.0,Personal foul by T. Splitter (drawn by C. Anthony),,40-35,,
5:19.0,,,40-35,,S. Vujacic misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by P. Millsap,,40-35,,
5:09.0,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap),3,43-35,,
4:54.0,,,43-35,,L. Galloway misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by T. Splitter,,43-35,,
4:46.0,K. Korver makes 2-pt shot from 4 ft,2,45-35,,
4:25.0,,,45-35,,C. Anthony misses 2-pt shot from 4 ft
4:23.0,,,45-35,,Offensive rebound by K. Porzingis
4:23.0,,,45-37,2,K. Porzingis makes 2-pt shot at rim
4:11.0,,,45-37,,Personal foul by C. Anthony (drawn by P. Millsap)
4:11.0,,,45-37,,R. Lopez enters the game for L. Galloway
4:05.0,P. Millsap misses 2-pt shot from 6 ft,,45-37,,
4:03.0,,,45-37,,Defensive rebound by K. Porzingis
3:59.0,,,45-37,,C. Anthony misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by P. Millsap,,45-37,,
3:44.0,K. Bazemore misses 2-pt shot from 1 ft,,45-37,,
3:42.0,,,45-37,,Defensive rebound by R. Lopez
3:33.0,Personal foul by K. Korver (drawn by K. Porzingis),,45-37,,
3:33.0,,,45-38,1,K. Porzingis makes free throw 1 of 2
3:33.0,,,45-39,1,K. Porzingis makes free throw 2 of 2
3:17.0,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap),3,48-39,,
3:06.0,,,48-39,,Offensive foul by K. Porzingis
3:06.0,,,48-39,,Turnover by K. Porzingis (offensive foul)
2:56.0,K. Korver makes 2-pt shot from 15 ft (assist by J. Teague),2,50-39,,
2:46.0,,,50-41,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Calderon)
2:32.0,K. Bazemore misses 2-pt shot from 13 ft,,50-41,,
2:30.0,,,50-41,,Defensive rebound by K. Porzingis
2:24.0,,,50-41,,Turnover by S. Vujacic (traveling)
2:24.0,Official timeout,,50-41,,
2:24.0,L. Patterson enters the game for K. Korver,,50-41,,
2:14.0,P. Millsap misses 2-pt shot from 2 ft,,50-41,,
2:12.0,Offensive rebound by P. Millsap,,50-41,,
2:12.0,P. Millsap makes 2-pt shot at rim,2,52-41,,
1:58.0,,,52-41,,J. Calderon misses 2-pt shot from 19 ft
1:55.0,,,52-41,,Offensive rebound by C. Anthony
1:55.0,,,52-43,2,C. Anthony makes 2-pt shot from 2 ft
1:37.0,J. Teague makes 2-pt shot from 1 ft,2,54-43,,
1:24.0,,,54-45,2,R. Lopez makes 2-pt shot from 3 ft
1:14.0,T. Splitter makes 2-pt shot from 2 ft (assist by J. Teague),2,56-45,,
1:14.0,Shooting foul by K. Porzingis (drawn by T. Splitter),,56-45,,
1:14.0,,,56-45,,J. Grant enters the game for S. Vujacic
1:14.0,A. Horford enters the game for P. Millsap,,56-45,,
1:14.0,T. Splitter makes free throw 1 of 1,1,57-45,,
0:59.0,,,57-45,,C. Anthony misses 3-pt shot from 23 ft
0:58.0,Defensive rebound by J. Teague,,57-45,,
0:54.0,L. Patterson makes 2-pt shot from 1 ft (assist by J. Teague),2,59-45,,
0:43.0,,,59-45,,Turnover by R. Lopez (bad pass; steal by A. Horford)
0:38.0,P. Millsap enters the game for T. Splitter,,59-45,,
0:38.0,,,59-45,,D. Williams enters the game for K. Porzingis
0:31.0,A. Horford misses 2-pt shot from 1 ft,,59-45,,
0:29.0,,,59-45,,Defensive rebound by D. Williams
0:24.0,,,59-45,,D. Williams misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by A. Horford,,59-45,,
0:05.0,J. Teague makes 2-pt shot from 1 ft,2,61-45,,
0:00.0,,,61-45,,C. Anthony misses 3-pt shot from 25 ft
0:00.0,,,61-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,61-45,,R. Lopez misses 2-pt shot from 3 ft
11:43.0,,,61-45,,Offensive rebound by R. Lopez
11:42.0,,,61-47,2,R. Lopez makes 2-pt shot at rim
11:26.0,A. Horford makes 2-pt shot from 15 ft (assist by K. Bazemore),2,63-47,,
11:11.0,,,63-47,,K. Porzingis misses 3-pt shot from 25 ft
11:09.0,,,63-47,,Offensive rebound by S. Vujacic
11:07.0,,,63-47,,Offensive foul by K. Porzingis
11:07.0,,,63-47,,Turnover by K. Porzingis (offensive foul)
10:46.0,A. Horford makes 2-pt shot from 15 ft (assist by K. Korver),2,65-47,,
10:36.0,,,65-47,,J. Calderon misses 2-pt shot from 17 ft
10:34.0,,,65-47,,Offensive rebound by C. Anthony
10:33.0,,,65-49,2,C. Anthony makes 2-pt shot from 1 ft
10:23.0,A. Horford misses 3-pt shot from 25 ft,,65-49,,
10:19.0,,,65-49,,Defensive rebound by K. Porzingis
10:12.0,,,65-51,2,C. Anthony makes 2-pt shot from 15 ft
9:53.0,A. Horford misses 2-pt shot from 18 ft,,65-51,,
9:51.0,,,65-51,,Defensive rebound by C. Anthony
9:48.0,,,65-51,,Turnover by C. Anthony (bad pass; steal by A. Horford)
9:43.0,K. Korver makes 3-pt shot from 24 ft (assist by K. Bazemore),3,68-51,,
9:29.0,,,68-51,,C. Anthony misses 2-pt shot from 15 ft
9:28.0,,,68-51,,Offensive rebound by Team
9:25.0,,,68-51,,J. Calderon misses 2-pt shot from 14 ft
9:22.0,Defensive rebound by K. Korver,,68-51,,
9:09.0,Turnover by A. Horford (bad pass; steal by K. Porzingis),,68-51,,
9:05.0,,,68-53,2,K. Porzingis makes 2-pt shot at rim
8:50.0,A. Horford misses 3-pt shot from 24 ft,,68-53,,
8:48.0,,,68-53,,Defensive rebound by K. Porzingis
8:40.0,,,68-53,,K. Porzingis misses 3-pt shot from 24 ft
8:39.0,,,68-53,,Offensive rebound by Team
8:39.0,Personal foul by K. Bazemore (drawn by C. Anthony),,68-53,,
8:33.0,,,68-53,,R. Lopez misses 2-pt shot from 10 ft
8:31.0,,,68-53,,Offensive rebound by K. Porzingis
8:27.0,,,68-53,,S. Vujacic misses 3-pt shot from 24 ft
8:27.0,,,68-53,,Offensive rebound by Team
8:27.0,Loose ball foul by P. Millsap (drawn by C. Anthony),,68-53,,
8:24.0,,,68-53,,J. Calderon misses 3-pt shot from 24 ft
8:21.0,,,68-53,,Offensive rebound by S. Vujacic
8:10.0,,,68-53,,C. Anthony misses 2-pt shot from 15 ft
8:08.0,Defensive rebound by J. Teague,,68-53,,
8:04.0,Shooting foul by J. Calderon (drawn by J. Teague),,68-53,,
8:04.0,J. Teague misses free throw 1 of 2,,68-53,,
8:04.0,Offensive rebound by Team,,68-53,,
8:04.0,J. Teague makes free throw 2 of 2,1,69-53,,
7:49.0,,,69-55,2,C. Anthony makes 2-pt shot from 4 ft (assist by R. Lopez)
7:36.0,Shooting foul by K. Porzingis (drawn by J. Teague),,69-55,,
7:36.0,J. Teague makes free throw 1 of 2,1,70-55,,
7:36.0,,,70-55,,Technical foul by Team
7:36.0,J. Teague makes technical free throw,1,71-55,,
7:36.0,J. Teague makes free throw 2 of 2,1,72-55,,
7:26.0,,,72-55,,Turnover by R. Lopez (bad pass; steal by P. Millsap)
7:20.0,K. Bazemore misses 3-pt shot from 24 ft,,72-55,,
7:19.0,,,72-55,,Defensive rebound by Team
7:19.0,,,72-55,,L. Thomas enters the game for K. Porzingis
7:05.0,,,72-55,,C. Anthony misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by K. Korver,,72-55,,
6:57.0,J. Teague makes 2-pt shot from 1 ft,2,74-55,,
6:45.0,,,74-55,,C. Anthony misses 2-pt shot from 3 ft
6:43.0,Defensive rebound by A. Horford,,74-55,,
6:39.0,J. Teague makes 2-pt shot from 7 ft,2,76-55,,
6:38.0,,,76-55,,New York full timeout
6:38.0,,,76-55,,J. Grant enters the game for J. Calderon
6:38.0,T. Splitter enters the game for K. Bazemore,,76-55,,
6:25.0,,,76-57,2,C. Anthony makes 2-pt shot from 12 ft
6:02.0,P. Millsap misses 3-pt shot from 25 ft,,76-57,,
6:00.0,,,76-57,,Defensive rebound by J. Grant
5:52.0,,,76-57,,R. Lopez misses 2-pt shot from 6 ft
5:50.0,,,76-57,,Offensive rebound by R. Lopez
5:47.0,,,76-57,,Turnover by R. Lopez (bad pass; steal by J. Teague)
5:42.0,J. Teague makes 2-pt shot at rim,2,78-57,,
5:42.0,Shooting foul by J. Grant (drawn by J. Teague),,78-57,,
5:42.0,J. Teague makes free throw 1 of 1,1,79-57,,
5:25.0,,,79-57,,L. Thomas misses 2-pt shot from 19 ft
5:25.0,Defensive rebound by Team,,79-57,,
5:25.0,,,79-57,,Personal foul by S. Vujacic (drawn by K. Korver)
5:25.0,,,79-57,,K. O'Quinn enters the game for R. Lopez
5:10.0,Turnover by P. Millsap (lost ball; steal by C. Anthony),,79-57,,
5:04.0,,,79-60,3,S. Vujacic makes 3-pt shot from 25 ft (assist by J. Grant)
4:49.0,T. Splitter misses 2-pt shot from 4 ft (block by K. O'Quinn),,79-60,,
4:46.0,,,79-60,,Defensive rebound by J. Grant
4:30.0,,,79-60,,C. Anthony misses 3-pt shot from 24 ft
4:29.0,,,79-60,,Offensive rebound by K. O'Quinn
4:28.0,,,79-60,,K. O'Quinn misses 2-pt shot from 1 ft (block by A. Horford)
4:27.0,,,79-60,,Offensive rebound by Team
4:27.0,D. Schroder enters the game for J. Teague,,79-60,,
4:26.0,,,79-60,,Turnover by L. Thomas (bad pass; steal by P. Millsap)
4:25.0,,,79-60,,Personal foul by C. Anthony (drawn by P. Millsap)
4:25.0,P. Millsap makes free throw 1 of 2,1,80-60,,
4:25.0,J. Holiday enters the game for A. Horford,,80-60,,
4:25.0,P. Millsap makes free throw 2 of 2,1,81-60,,
4:14.0,,,81-60,,S. Vujacic misses 2-pt shot from 1 ft (block by T. Splitter)
4:12.0,,,81-60,,Offensive rebound by Team
4:10.0,,,81-60,,S. Vujacic misses 2-pt shot from 16 ft
4:09.0,,,81-60,,Offensive rebound by Team
4:09.0,,,81-60,,D. Williams enters the game for C. Anthony
4:09.0,L. Patterson enters the game for K. Korver,,81-60,,
4:09.0,,,81-60,,L. Galloway enters the game for S. Vujacic
4:09.0,Jump ball: K. O'Quinn vs. D. Schroder (L. Galloway gains possession),,,,Jump ball: K. O'Quinn vs. D. Schroder (L. Galloway gains possession)
4:04.0,,,81-62,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by L. Galloway)
3:54.0,Shooting foul by L. Thomas (drawn by P. Millsap),,81-62,,
3:54.0,P. Millsap misses free throw 1 of 2,,81-62,,
3:54.0,Offensive rebound by Team,,81-62,,
3:54.0,P. Millsap misses free throw 2 of 2,,81-62,,
3:53.0,,,81-62,,Defensive rebound by L. Galloway
3:46.0,,,81-62,,Shooting foul by T. Splitter (drawn by J. Grant)
3:46.0,,,81-63,1,J. Grant makes free throw 1 of 2
3:46.0,,,81-63,,J. Grant misses free throw 2 of 2
3:45.0,Defensive rebound by P. Millsap,,81-63,,
3:21.0,D. Schroder misses 3-pt shot from 24 ft,,81-63,,
3:19.0,,,81-63,,Defensive rebound by D. Williams
3:05.0,,,81-63,,L. Galloway misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by P. Millsap,,81-63,,
2:56.0,D. Schroder misses 2-pt shot from 2 ft,,81-63,,
2:54.0,,,81-63,,Defensive rebound by J. Grant
2:42.0,Atlanta full timeout,,81-63,,
2:39.0,,,81-65,2,J. Grant makes 2-pt shot from 13 ft (assist by L. Thomas)
2:19.0,J. Holiday misses 3-pt shot from 25 ft,,81-65,,
2:17.0,Offensive rebound by Team,,81-65,,
2:13.0,P. Millsap misses 2-pt shot from 9 ft,,81-65,,
2:10.0,Offensive rebound by P. Millsap,,81-65,,
2:08.0,Turnover by L. Patterson (traveling),,81-65,,
1:51.0,Violation by P. Millsap (kicked ball),,81-65,,
1:44.0,,,81-65,,Shooting foul by L. Patterson (drawn by L. Thomas)
1:44.0,,,81-66,1,L. Thomas makes free throw 1 of 2
1:44.0,A. Horford enters the game for P. Millsap,,81-66,,
1:44.0,,,81-67,1,L. Thomas makes free throw 2 of 2
1:30.0,D. Schroder misses 2-pt shot from 2 ft,,81-67,,
1:28.0,,,81-67,,Defensive rebound by L. Galloway
1:24.0,,,81-67,,Shooting foul by L. Patterson (drawn by D. Williams)
1:24.0,,,81-68,1,D. Williams makes free throw 1 of 2
1:24.0,,,81-69,1,D. Williams makes free throw 2 of 2
1:11.0,A. Horford makes 2-pt shot from 2 ft (assist by T. Splitter),2,83-69,,
1:02.0,,,83-72,3,L. Thomas makes 3-pt shot from 24 ft
0:41.0,A. Horford misses 3-pt shot from 24 ft,,83-72,,
0:38.0,,,83-72,,Defensive rebound by L. Thomas
0:33.0,,,83-72,,J. Grant misses 2-pt shot from 1 ft
0:31.0,Defensive rebound by A. Horford,,83-72,,
0:24.0,Shooting foul by L. Thomas (drawn by A. Horford),,83-72,,
0:24.0,A. Horford makes free throw 1 of 2,1,84-72,,
0:24.0,K. Bazemore enters the game for L. Patterson,,84-72,,
0:24.0,A. Horford misses free throw 2 of 2,,84-72,,
0:23.0,,,84-72,,Defensive rebound by K. O'Quinn
0:04.0,,,84-72,,Turnover by J. Grant (lost ball; steal by K. Bazemore)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Schroder makes 2-pt shot from 2 ft,2,86-72,,
11:27.0,,,86-72,,L. Thomas misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by A. Horford,,86-72,,
11:10.0,D. Schroder makes 2-pt shot from 14 ft,2,88-72,,
10:49.0,,,88-74,2,D. Williams makes 2-pt shot from 2 ft (assist by K. O'Quinn)
10:26.0,M. Scott makes 2-pt shot from 4 ft (assist by A. Horford),2,90-74,,
10:10.0,Violation by A. Horford (kicked ball),,90-74,,
10:01.0,,,90-77,3,L. Thomas makes 3-pt shot from 24 ft (assist by L. Galloway)
9:49.0,D. Schroder makes 2-pt shot from 2 ft (assist by M. Scott),2,92-77,,
9:38.0,,,92-77,,D. Williams misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by M. Scott,,92-77,,
9:24.0,,,92-77,,Personal foul by L. Galloway (drawn by K. Bazemore)
9:24.0,,,92-77,,C. Anthony enters the game for L. Galloway
9:24.0,,,92-77,,S. Vujacic enters the game for D. Williams
9:12.0,D. Schroder misses 3-pt shot from 25 ft,,92-77,,
9:10.0,Offensive rebound by A. Horford,,92-77,,
9:07.0,A. Horford makes 2-pt shot from 2 ft,2,94-77,,
8:54.0,,,94-77,,C. Anthony misses 3-pt shot from 23 ft
8:52.0,,,94-77,,Offensive rebound by K. O'Quinn
8:46.0,,,94-79,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by J. Grant)
8:29.0,K. Bazemore misses 2-pt shot from 5 ft,,94-79,,
8:27.0,Offensive rebound by A. Horford,,94-79,,
8:22.0,A. Horford misses 2-pt shot at rim,,94-79,,
8:20.0,,,94-79,,Defensive rebound by K. O'Quinn
8:18.0,,,94-79,,Turnover by K. O'Quinn (bad pass)
8:18.0,Official timeout,,94-79,,
8:18.0,J. Teague enters the game for A. Horford,,94-79,,
8:18.0,T. Splitter enters the game for D. Schroder,,94-79,,
8:18.0,,,94-79,,K. Porzingis enters the game for K. O'Quinn
8:09.0,M. Scott misses 2-pt shot from 6 ft,,94-79,,
8:07.0,,,94-79,,Defensive rebound by C. Anthony
7:45.0,,,94-79,,Shooting foul by M. Scott (drawn by C. Anthony)
7:45.0,,,94-80,1,C. Anthony makes free throw 1 of 2
7:45.0,,,94-81,1,C. Anthony makes free throw 2 of 2
7:33.0,J. Teague makes 2-pt shot from 2 ft,2,96-81,,
7:20.0,,,96-81,,Shooting foul by K. Korver (drawn by C. Anthony)
7:20.0,,,96-82,1,C. Anthony makes free throw 1 of 2
7:20.0,P. Millsap enters the game for M. Scott,,96-82,,
7:20.0,,,96-83,1,C. Anthony makes free throw 2 of 2
7:15.0,,,96-83,,Personal foul by S. Vujacic (drawn by K. Korver)
7:11.0,Shooting foul by J. Grant (drawn by J. Teague),,96-83,,
7:11.0,J. Teague makes free throw 1 of 2,1,97-83,,
7:11.0,J. Teague makes free throw 2 of 2,1,98-83,,
6:56.0,,,98-83,,S. Vujacic misses 3-pt shot from 24 ft
6:54.0,,,98-83,,Offensive rebound by J. Grant
6:51.0,,,98-83,,Turnover by S. Vujacic (bad pass; steal by K. Bazemore)
6:45.0,J. Teague makes 2-pt shot at rim (assist by K. Bazemore),2,100-83,,
