time,Orlando,pts.away,score,pts.home,Detroit
10:03.0,,,62-72,1,T. Harris makes free throw 2 of 2
9:55.0,A. Gordon misses 2-pt shot at rim,,62-72,,
9:54.0,Offensive rebound by A. Gordon,,62-72,,
9:52.0,A. Gordon makes 2-pt shot at rim,2,64-72,,
9:36.0,,,64-72,,Turnover by R. Jackson (lost ball; steal by B. Jennings)
9:30.0,B. Jennings makes 2-pt shot at rim (assist by A. Gordon),2,66-72,,
9:04.0,,,66-72,,T. Harris misses 2-pt shot from 12 ft
9:04.0,Defensive rebound by E. Ilyasova,,66-72,,
8:55.0,E. Ilyasova misses 3-pt shot from 26 ft,,66-72,,
8:55.0,,,66-72,,Defensive rebound by Team
8:55.0,,,66-72,,Detroit full timeout
8:35.0,,,66-74,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
8:14.0,A. Gordon makes 2-pt shot at rim,2,68-74,,
8:01.0,,,68-74,,Turnover by R. Jackson (bad pass)
7:43.0,A. Gordon misses 3-pt shot from 27 ft,,68-74,,
7:43.0,,,68-74,,Defensive rebound by D. Hilliard
7:29.0,,,68-74,,Turnover by D. Hilliard (lost ball; steal by V. Oladipo)
7:23.0,E. Fournier makes 3-pt shot from 23 ft (assist by V. Oladipo),3,71-74,,
7:01.0,,,71-74,,R. Jackson misses 2-pt shot from 11 ft
7:01.0,,,71-74,,Offensive rebound by A. Drummond
6:57.0,,,71-76,2,A. Drummond makes 2-pt shot at rim
6:48.0,A. Gordon misses 3-pt shot from 24 ft,,71-76,,
6:47.0,,,71-76,,Defensive rebound by M. Morris
6:32.0,,,71-78,2,M. Morris makes 2-pt shot from 18 ft
6:22.0,,,71-78,,Personal foul by D. Hilliard
6:22.0,E. Payton enters the game for B. Jennings,,71-78,,
6:04.0,E. Payton misses 2-pt shot from 14 ft,,71-78,,
6:03.0,,,71-78,,Defensive rebound by D. Hilliard
6:02.0,,,71-78,,Shooting foul by E. Payton (drawn by D. Hilliard)
6:02.0,,,71-79,1,D. Hilliard makes free throw 1 of 2
6:02.0,,,71-80,1,D. Hilliard makes free throw 2 of 2
5:52.0,A. Gordon misses 2-pt shot from 5 ft (block by A. Drummond),,71-80,,
5:52.0,Offensive rebound by A. Gordon,,71-80,,
5:52.0,Shooting foul by A. Drummond (drawn by A. Gordon),,71-80,,
5:52.0,A. Gordon makes free throw 1 of 2,1,72-80,,
5:52.0,A. Gordon makes free throw 2 of 2,1,73-80,,
5:45.0,Personal foul by E. Payton,,73-80,,
5:31.0,,,73-82,2,A. Drummond makes 2-pt shot from 7 ft (assist by T. Harris)
5:18.0,A. Gordon misses 2-pt shot from 5 ft,,73-82,,
5:16.0,Offensive rebound by E. Payton,,73-82,,
5:13.0,E. Payton makes 2-pt shot from 1 ft,2,75-82,,
5:03.0,Jump ball: A. Drummond vs. E. Ilyasova (D. Hilliard gains possession),,,,Jump ball: A. Drummond vs. E. Ilyasova (D. Hilliard gains possession)
4:51.0,,,75-85,3,R. Jackson makes 3-pt shot from 25 ft
4:35.0,Shooting foul by T. Harris (drawn by A. Gordon),,75-85,,
4:35.0,A. Gordon makes free throw 1 of 2,1,76-85,,
4:35.0,,,76-85,,S. Johnson enters the game for M. Morris
4:35.0,A. Gordon makes free throw 2 of 2,1,77-85,,
4:14.0,,,77-87,2,A. Drummond makes 2-pt shot from 6 ft (assist by D. Hilliard)
4:02.0,V. Oladipo misses 2-pt shot from 12 ft,,77-87,,
4:02.0,,,77-87,,Defensive rebound by Team
4:02.0,Personal foul by V. Oladipo,,77-87,,
3:39.0,,,77-90,3,D. Hilliard makes 3-pt shot from 22 ft (assist by S. Johnson)
3:25.0,E. Payton misses 2-pt shot from 3 ft (block by A. Drummond),,77-90,,
3:24.0,,,77-90,,Defensive rebound by A. Drummond
3:21.0,,,77-90,,T. Harris misses 2-pt shot at rim
3:20.0,Defensive rebound by A. Gordon,,77-90,,
3:12.0,V. Oladipo makes 2-pt shot at rim (assist by A. Gordon),2,79-90,,
2:53.0,,,79-90,,Offensive charge foul by R. Jackson
2:53.0,,,79-90,,Turnover by R. Jackson (offensive foul)
2:53.0,Orlando full timeout,,79-90,,
2:53.0,,,79-90,,S. Blake enters the game for R. Jackson
2:38.0,V. Oladipo misses 3-pt shot from 23 ft,,79-90,,
2:38.0,Offensive rebound by E. Payton,,79-90,,
2:38.0,Shooting foul by S. Johnson (drawn by E. Payton),,79-90,,
2:38.0,E. Payton makes free throw 1 of 2,1,80-90,,
2:38.0,J. Smith enters the game for A. Gordon,,80-90,,
2:38.0,E. Payton makes free throw 2 of 2,1,81-90,,
2:18.0,,,81-92,2,A. Drummond makes 2-pt shot from 3 ft (assist by T. Harris)
1:50.0,E. Fournier makes 2-pt shot at rim,2,83-92,,
1:45.0,Personal take foul by J. Smith,,83-92,,
1:45.0,,,83-92,,A. Drummond misses free throw 1 of 2
1:45.0,,,83-92,,Offensive rebound by Team
1:45.0,,,83-92,,Turnover by S. Johnson (lane violation.)
1:45.0,,,83-92,,A. Baynes enters the game for A. Drummond
1:34.0,E. Payton makes 2-pt shot from 6 ft,2,85-92,,
1:11.0,,,85-92,,T. Harris misses 2-pt shot from 4 ft
1:10.0,,,85-92,,Offensive rebound by A. Baynes
1:09.0,,,85-92,,A. Baynes misses 2-pt shot from 1 ft
1:08.0,,,85-92,,Offensive rebound by T. Harris
1:07.0,,,85-94,2,T. Harris makes 2-pt shot at rim
0:46.0,J. Smith misses 2-pt shot from 3 ft (block by A. Baynes),,85-94,,
0:45.0,,,85-94,,Defensive rebound by S. Blake
0:38.0,,,85-94,,Turnover by A. Baynes (lost ball)
0:30.0,E. Payton misses 2-pt shot from 10 ft,,85-94,,
0:30.0,,,85-94,,Defensive rebound by T. Harris
0:15.0,,,85-94,,Turnover by S. Johnson (lost ball; steal by E. Payton)
0:11.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,87-94,,
0:01.0,,,87-96,2,T. Harris makes 2-pt shot from 15 ft (assist by S. Blake)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,87-98,2,A. Baynes makes 2-pt shot from 13 ft (assist by S. Blake)
11:28.0,M. Hezonja misses 2-pt shot from 20 ft,,87-98,,
11:27.0,,,87-98,,Defensive rebound by M. Morris
11:16.0,,,87-101,3,S. Johnson makes 3-pt shot from 25 ft (assist by S. Blake)
10:58.0,E. Fournier misses 2-pt shot from 11 ft,,87-101,,
10:57.0,,,87-101,,Defensive rebound by S. Johnson
10:52.0,,,87-103,2,A. Baynes makes 2-pt shot at rim (assist by S. Johnson)
10:52.0,,,87-103,,Shooting foul by M. Hezonja (drawn by A. Baynes)
10:52.0,V. Oladipo enters the game for E. Fournier,,87-103,,
10:52.0,,,87-104,1,A. Baynes makes free throw 1 of 1
10:42.0,E. Payton misses 2-pt shot from 4 ft,,87-104,,
10:42.0,,,87-104,,Defensive rebound by A. Baynes
10:19.0,,,87-104,,M. Morris misses 3-pt shot from 23 ft
10:19.0,Defensive rebound by E. Payton,,87-104,,
9:59.0,A. Gordon enters the game for E. Ilyasova,,87-104,,
9:59.0,Turnover by E. Payton (lost ball),,87-104,,
9:59.0,Jump ball: S. Blake vs. E. Payton,,,,Jump ball: S. Blake vs. E. Payton
9:30.0,,,87-104,,A. Tolliver misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by A. Gordon,,87-104,,
9:20.0,J. Smith makes 2-pt shot from 19 ft (assist by E. Payton),2,89-104,,
8:59.0,,,89-106,2,A. Baynes makes 2-pt shot from 5 ft (assist by A. Tolliver)
8:45.0,M. Hezonja makes 3-pt shot from 24 ft (assist by E. Payton),3,92-106,,
8:26.0,,,92-106,,S. Johnson misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by E. Payton,,92-106,,
8:16.0,V. Oladipo misses 2-pt shot from 17 ft,,92-106,,
8:16.0,,,92-106,,Defensive rebound by A. Tolliver
8:02.0,,,92-106,,M. Morris misses 2-pt shot from 17 ft
8:01.0,Defensive rebound by E. Payton,,92-106,,
7:56.0,E. Payton makes 2-pt shot at rim,2,94-106,,
7:56.0,,,94-106,,Detroit full timeout
7:56.0,,,94-106,,A. Drummond enters the game for S. Blake
7:56.0,,,94-106,,R. Jackson enters the game for A. Baynes
7:32.0,,,94-108,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
7:13.0,E. Payton misses 3-pt shot from 23 ft,,94-108,,
7:12.0,,,94-108,,Defensive rebound by S. Johnson
7:09.0,,,94-108,,Shooting foul by M. Hezonja (drawn by S. Johnson)
7:09.0,,,94-109,1,S. Johnson makes free throw 1 of 2
7:09.0,,,94-110,1,S. Johnson makes free throw 2 of 2
6:44.0,A. Gordon makes 3-pt shot from 23 ft (assist by E. Payton),3,97-110,,
6:26.0,,,97-112,2,A. Drummond makes 2-pt shot at rim (assist by M. Morris)
6:01.0,J. Smith misses 2-pt shot from 21 ft,,97-112,,
6:01.0,,,97-112,,Defensive rebound by A. Drummond
5:53.0,,,97-112,,R. Jackson misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by E. Payton,,97-112,,
5:48.0,,,97-112,,T. Harris enters the game for A. Tolliver
5:47.0,,,97-112,,Personal foul by M. Morris
5:47.0,Official timeout,,97-112,,
5:42.0,A. Gordon misses 2-pt shot at rim,,97-112,,
5:42.0,Offensive rebound by A. Gordon,,97-112,,
5:41.0,A. Gordon misses 2-pt shot at rim,,97-112,,
5:39.0,,,97-112,,Defensive rebound by S. Johnson
5:16.0,,,97-112,,T. Harris misses 2-pt shot from 4 ft
5:16.0,,,97-112,,Offensive rebound by A. Drummond
5:13.0,,,97-114,2,A. Drummond makes 2-pt shot at rim
4:56.0,V. Oladipo makes 2-pt shot at rim (assist by J. Smith),2,99-114,,
4:31.0,,,99-114,,S. Johnson misses 3-pt shot from 25 ft
4:31.0,,,99-114,,Offensive rebound by S. Johnson
4:31.0,,,99-114,,M. Morris misses 3-pt shot from 24 ft
4:29.0,Defensive rebound by A. Gordon,,99-114,,
4:23.0,E. Payton misses 2-pt shot from 11 ft,,99-114,,
4:23.0,,,99-114,,Defensive rebound by Team
4:23.0,A. Nicholson enters the game for J. Smith,,99-114,,
4:08.0,,,99-114,,S. Johnson misses 3-pt shot from 23 ft
4:07.0,Defensive rebound by A. Nicholson,,99-114,,
3:55.0,A. Nicholson makes 3-pt shot from 26 ft (assist by V. Oladipo),3,102-114,,
3:31.0,,,102-114,,R. Jackson misses 2-pt shot from 14 ft
3:30.0,,,102-114,,Offensive rebound by A. Drummond
3:28.0,,,102-116,2,A. Drummond makes 2-pt shot at rim
3:15.0,E. Payton misses 2-pt shot from 2 ft (block by T. Harris),,102-116,,
3:14.0,Offensive rebound by E. Payton,,102-116,,
3:12.0,E. Payton misses 2-pt shot from 1 ft (block by T. Harris),,102-116,,
3:10.0,Offensive rebound by E. Payton,,102-116,,
3:10.0,Shooting foul by A. Drummond (drawn by E. Payton),,102-116,,
3:10.0,E. Payton misses free throw 1 of 2,,102-116,,
3:10.0,Offensive rebound by Team,,102-116,,
3:10.0,E. Payton misses free throw 2 of 2,,102-116,,
3:08.0,,,102-116,,Defensive rebound by A. Drummond
2:49.0,,,102-116,,Turnover by S. Johnson (lost ball; steal by V. Oladipo)
2:34.0,V. Oladipo misses 2-pt shot from 1 ft,,102-116,,
2:32.0,Offensive rebound by V. Oladipo,,102-116,,
2:32.0,Turnover by A. Nicholson (traveling),,102-116,,
2:32.0,Orlando full timeout,,102-116,,
2:32.0,S. Napier enters the game for A. Gordon,,102-116,,
