time,Brooklyn,pts.away,score,pts.home,Chicago
5:59.0,,,6-9,,J. Holiday enters the game for J. Butler
5:55.0,,,6-9,,D. Rose misses 2-pt shot from 1 ft
5:54.0,,,6-9,,Offensive rebound by T. Gibson
5:41.0,,,6-9,,Turnover by M. Dunleavy (lost ball; steal by T. Young)
5:28.0,T. Young makes 2-pt shot from 1 ft,2,8-9,,
5:12.0,,,8-9,,M. Dunleavy misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by T. Young,,8-9,,
5:06.0,T. Young misses 2-pt shot from 5 ft (block by N. Mirotic),,8-9,,
5:04.0,,,8-9,,Defensive rebound by J. Holiday
5:00.0,,,8-11,2,J. Holiday makes 2-pt shot from 2 ft
4:42.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by S. Karasev),2,10-11,,
4:29.0,,,10-11,,Turnover by D. Rose (lost ball; steal by D. Sloan)
4:25.0,B. Bogdanovic makes 2-pt shot at rim (assist by S. Karasev),2,12-11,,
4:07.0,,,12-13,2,N. Mirotic makes 2-pt shot from 17 ft
3:43.0,T. Young makes 2-pt shot from 1 ft,2,14-13,,
3:26.0,,,14-15,2,D. Rose makes 2-pt shot from 14 ft
3:07.0,T. Young misses 2-pt shot from 1 ft,,14-15,,
3:06.0,,,14-15,,Defensive rebound by J. Holiday
3:04.0,Personal foul by B. Bogdanovic,,14-15,,
3:04.0,,,14-15,,D. McDermott enters the game for M. Dunleavy
3:04.0,,,14-15,,E. Moore enters the game for T. Gibson
3:04.0,,,14-15,,B. Portis enters the game for N. Mirotic
3:04.0,,,14-15,,C. Felicio enters the game for D. Rose
3:04.0,C. McCullough enters the game for T. Young,,14-15,,
2:50.0,,,14-15,,B. Portis misses 2-pt shot from 19 ft
2:49.0,Defensive rebound by Team,,14-15,,
2:49.0,Brooklyn full timeout,,14-15,,
2:49.0,S. Larkin enters the game for B. Bogdanovic,,14-15,,
2:49.0,S. Kilpatrick enters the game for S. Karasev,,14-15,,
2:49.0,M. Brown enters the game for D. Sloan,,14-15,,
2:32.0,S. Kilpatrick misses 3-pt shot from 24 ft,,14-15,,
2:31.0,,,14-15,,Defensive rebound by J. Holiday
2:19.0,,,14-15,,J. Holiday misses 2-pt shot from 20 ft
2:18.0,Defensive rebound by C. McCullough,,14-15,,
2:07.0,S. Larkin misses 2-pt shot from 2 ft (block by C. Felicio),,14-15,,
2:05.0,,,14-15,,Defensive rebound by E. Moore
1:53.0,,,14-17,2,D. McDermott makes 2-pt shot from 2 ft
1:34.0,Turnover by M. Brown (lost ball),,14-17,,
1:34.0,T. Robinson enters the game for B. Lopez,,14-17,,
1:17.0,,,14-17,,Shooting foul by M. Brown (drawn by D. McDermott)
1:17.0,,,14-18,1,D. McDermott makes free throw 1 of 2
1:17.0,,,14-18,,J. Butler enters the game for J. Holiday
1:17.0,,,14-19,1,D. McDermott makes free throw 2 of 2
1:03.0,M. Brown misses 3-pt shot from 25 ft,,14-19,,
1:03.0,,,14-19,,Defensive rebound by Team
0:40.0,,,14-21,2,B. Portis makes 2-pt shot from 2 ft
0:36.0,,,14-21,,Personal take foul by E. Moore
0:36.0,,,14-21,,A. Brooks enters the game for E. Moore
0:28.0,M. Brown misses 3-pt shot from 25 ft,,14-21,,
0:27.0,,,14-21,,Defensive rebound by B. Portis
0:07.0,,,14-24,3,D. McDermott makes 3-pt shot from 25 ft (assist by A. Brooks)
0:00.0,M. Brown misses 2-pt shot from 3 ft,,14-24,,
0:00.0,Offensive rebound by Team,,14-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,S. Kilpatrick misses 2-pt shot from 7 ft,,14-24,,
11:41.0,Offensive rebound by T. Robinson,,14-24,,
11:40.0,T. Robinson makes 2-pt shot from 1 ft,2,16-24,,
11:14.0,,,16-24,,D. McDermott misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by M. Brown,,16-24,,
11:00.0,T. Robinson misses 2-pt shot from 5 ft,,16-24,,
10:58.0,,,16-24,,Defensive rebound by C. Felicio
10:49.0,,,16-24,,B. Portis misses 2-pt shot from 5 ft
10:47.0,,,16-24,,Offensive rebound by C. Felicio
10:38.0,,,16-24,,D. McDermott misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by S. Larkin,,16-24,,
10:32.0,S. Larkin misses 2-pt shot from 19 ft,,16-24,,
10:30.0,,,16-24,,Defensive rebound by C. Felicio
10:26.0,,,16-24,,Shooting foul by C. McCullough (drawn by J. Butler)
10:26.0,,,16-25,1,J. Butler makes free throw 1 of 2
10:26.0,,,16-26,1,J. Butler makes free throw 2 of 2
10:09.0,Turnover by T. Robinson (bad pass),,16-26,,
9:49.0,,,16-29,3,D. McDermott makes 3-pt shot from 25 ft (assist by C. Felicio)
9:29.0,C. McCullough misses 2-pt shot from 17 ft,,16-29,,
9:29.0,,,16-29,,Defensive rebound by Team
9:29.0,,,16-29,,J. Holiday enters the game for J. Butler
9:17.0,,,16-31,2,B. Portis makes 2-pt shot from 21 ft
9:04.0,Shooting foul by J. Holiday (drawn by S. Kilpatrick),,16-31,,
9:04.0,S. Kilpatrick makes free throw 1 of 2,1,17-31,,
9:04.0,S. Kilpatrick misses free throw 2 of 2,,17-31,,
9:02.0,Offensive rebound by T. Robinson,,17-31,,
8:52.0,C. McCullough makes 2-pt shot from 20 ft (assist by S. Larkin),2,19-31,,
8:41.0,,,19-34,3,A. Brooks makes 3-pt shot from 25 ft
8:24.0,T. Robinson misses 2-pt shot from 14 ft,,19-34,,
8:22.0,Offensive rebound by M. Brown,,19-34,,
8:22.0,M. Brown makes 2-pt shot from 1 ft,2,21-34,,
8:10.0,,,21-34,,B. Portis misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by T. Robinson,,21-34,,
7:55.0,M. Brown misses 2-pt shot from 20 ft,,21-34,,
7:54.0,,,21-34,,Defensive rebound by C. Felicio
7:46.0,,,21-34,,D. McDermott misses 2-pt shot from 2 ft
7:44.0,,,21-34,,Offensive rebound by B. Portis
7:44.0,,,21-34,,B. Portis misses 2-pt shot from 1 ft
7:44.0,,,21-34,,Offensive rebound by B. Portis
7:44.0,,,21-34,,B. Portis misses 2-pt shot from 1 ft
7:44.0,,,21-34,,Offensive rebound by B. Portis
7:44.0,,,21-36,2,B. Portis makes 2-pt shot from 1 ft
7:44.0,Brooklyn full timeout,,21-36,,
7:44.0,,,21-36,,D. Rose enters the game for A. Brooks
7:37.0,Brooklyn full timeout,,21-36,,
7:26.0,C. McCullough misses 2-pt shot from 1 ft,,21-36,,
7:24.0,,,21-36,,Defensive rebound by B. Portis
7:01.0,,,21-36,,B. Portis misses 3-pt shot from 23 ft
7:01.0,,,21-36,,Offensive rebound by Team
6:56.0,,,21-39,3,D. McDermott makes 3-pt shot from 24 ft (assist by C. Felicio)
6:29.0,S. Larkin misses 2-pt shot from 22 ft,,21-39,,
6:28.0,,,21-39,,Defensive rebound by C. Felicio
6:20.0,,,21-39,,D. Rose misses 2-pt shot from 19 ft
6:20.0,Defensive rebound by Team,,21-39,,
6:20.0,,,21-39,,Loose ball foul by B. Portis
6:20.0,T. Young enters the game for C. McCullough,,21-39,,
6:20.0,,,21-39,,J. Butler enters the game for J. Holiday
6:20.0,,,21-39,,T. Gibson enters the game for B. Portis
6:20.0,,,21-39,,N. Mirotic enters the game for C. Felicio
6:08.0,Shooting foul by T. Gibson (drawn by T. Robinson),,21-39,,
6:08.0,T. Robinson makes free throw 1 of 2,1,22-39,,
6:08.0,B. Bogdanovic enters the game for M. Brown,,22-39,,
6:08.0,S. Karasev enters the game for S. Kilpatrick,,22-39,,
6:08.0,T. Robinson misses free throw 2 of 2,,22-39,,
6:06.0,,,22-39,,Defensive rebound by N. Mirotic
5:53.0,,,22-41,2,D. Rose makes 2-pt shot from 1 ft
5:41.0,Shooting foul by N. Mirotic (drawn by T. Robinson),,22-41,,
5:41.0,Brooklyn full timeout,,22-41,,
5:41.0,D. Sloan enters the game for S. Larkin,,22-41,,
5:41.0,T. Robinson makes free throw 1 of 2,1,23-41,,
5:41.0,T. Robinson misses free throw 2 of 2,,23-41,,
5:39.0,,,23-41,,Defensive rebound by J. Butler
5:30.0,,,23-41,,Shooting foul by B. Bogdanovic (drawn by J. Butler)
5:30.0,,,23-42,1,J. Butler makes free throw 1 of 2
5:30.0,B. Lopez enters the game for T. Robinson,,23-42,,
5:30.0,,,23-42,,M. Dunleavy enters the game for D. McDermott
5:30.0,,,23-43,1,J. Butler makes free throw 2 of 2
5:15.0,S. Karasev misses 2-pt shot from 16 ft,,23-43,,
5:13.0,,,23-43,,Defensive rebound by T. Gibson
5:05.0,,,23-45,2,T. Gibson makes 2-pt shot from 3 ft (assist by J. Butler)
4:52.0,Turnover by D. Sloan (lost ball; steal by T. Gibson),,23-45,,
4:43.0,,,23-45,,N. Mirotic misses 3-pt shot from 25 ft
4:42.0,,,23-45,,Offensive rebound by T. Gibson
4:42.0,,,23-45,,T. Gibson misses 2-pt shot at rim
4:41.0,Defensive rebound by T. Young,,23-45,,
4:35.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by M. Dunleavy),,23-45,,
4:33.0,,,23-45,,Defensive rebound by M. Dunleavy
4:25.0,,,23-47,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
4:24.0,Brooklyn full timeout,,23-47,,
4:10.0,T. Young makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,25-47,,
3:55.0,,,25-49,2,J. Butler makes 2-pt shot at rim (assist by M. Dunleavy)
3:40.0,B. Lopez makes 2-pt shot from 1 ft,2,27-49,,
3:40.0,Shooting foul by N. Mirotic (drawn by B. Lopez),,27-49,,
3:40.0,B. Lopez makes free throw 1 of 1,1,28-49,,
3:27.0,,,28-51,2,N. Mirotic makes 2-pt shot from 14 ft (assist by T. Gibson)
3:08.0,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez),2,30-51,,
2:48.0,,,30-51,,T. Gibson misses 2-pt shot from 17 ft
2:47.0,Defensive rebound by B. Lopez,,30-51,,
2:37.0,B. Bogdanovic misses 2-pt shot from 1 ft,,30-51,,
2:36.0,Offensive rebound by B. Bogdanovic,,30-51,,
2:36.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by T. Gibson),,30-51,,
2:33.0,Offensive rebound by T. Young,,30-51,,
2:20.0,Shooting foul by M. Dunleavy (drawn by B. Bogdanovic),,30-51,,
2:20.0,B. Bogdanovic makes free throw 1 of 2,1,31-51,,
2:20.0,B. Bogdanovic makes free throw 2 of 2,1,32-51,,
2:09.0,Personal foul by B. Bogdanovic,,32-51,,
2:09.0,S. Kilpatrick enters the game for B. Bogdanovic,,32-51,,
1:59.0,,,32-51,,N. Mirotic misses 3-pt shot from 24 ft
1:58.0,Defensive rebound by S. Karasev,,32-51,,
1:48.0,S. Kilpatrick makes 3-pt shot from 22 ft (assist by S. Karasev),3,35-51,,
1:47.0,,,35-51,,Chicago full timeout
1:47.0,,,35-51,,A. Brooks enters the game for D. Rose
1:36.0,,,35-51,,Turnover by N. Mirotic (lost ball; steal by S. Kilpatrick)
1:30.0,S. Kilpatrick misses 2-pt shot from 6 ft,,35-51,,
1:29.0,,,35-51,,Defensive rebound by N. Mirotic
1:20.0,,,35-53,2,A. Brooks makes 2-pt shot from 3 ft
1:02.0,D. Sloan misses 3-pt shot from 24 ft,,35-53,,
1:00.0,Offensive rebound by T. Young,,35-53,,
0:59.0,S. Karasev misses 3-pt shot from 24 ft,,35-53,,
0:58.0,,,35-53,,Defensive rebound by J. Butler
0:51.0,Personal foul by D. Sloan,,35-53,,
0:35.0,,,35-55,2,A. Brooks makes 2-pt shot from 7 ft
0:21.0,Shooting foul by N. Mirotic (drawn by T. Young),,35-55,,
0:21.0,T. Young makes free throw 1 of 2,1,36-55,,
0:21.0,,,36-55,,B. Portis enters the game for N. Mirotic
0:21.0,T. Robinson enters the game for B. Lopez,,36-55,,
0:21.0,,,36-55,,D. McDermott enters the game for T. Gibson
0:21.0,T. Young makes free throw 2 of 2,1,37-55,,
0:01.0,,,37-55,,D. McDermott misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by T. Young,,37-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,37-55,,Personal foul by T. Gibson
11:40.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Karasev),2,39-55,,
11:22.0,,,39-55,,T. Gibson misses 2-pt shot from 2 ft (block by T. Young)
11:20.0,Defensive rebound by T. Young,,39-55,,
11:15.0,S. Karasev misses 3-pt shot from 23 ft,,39-55,,
11:14.0,Offensive rebound by B. Lopez,,39-55,,
11:11.0,B. Lopez misses 2-pt shot from 1 ft (block by N. Mirotic),,39-55,,
11:09.0,,,39-55,,Defensive rebound by M. Dunleavy
11:03.0,,,39-57,2,T. Gibson makes 2-pt shot from 1 ft (assist by M. Dunleavy)
10:35.0,T. Young misses 2-pt shot from 1 ft,,39-57,,
10:34.0,Offensive rebound by T. Young,,39-57,,
10:33.0,T. Young makes 2-pt shot at rim,2,41-57,,
10:11.0,,,41-57,,Turnover by N. Mirotic (bad pass)
9:53.0,S. Karasev makes 3-pt shot from 22 ft (assist by D. Sloan),3,44-57,,
9:31.0,,,44-57,,T. Gibson misses 2-pt shot from 6 ft
9:29.0,,,44-57,,Offensive rebound by T. Gibson
9:29.0,,,44-59,2,T. Gibson makes 2-pt shot from 1 ft
9:11.0,Turnover by S. Karasev (lost ball; steal by J. Butler),,44-59,,
8:59.0,,,44-59,,M. Dunleavy misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by T. Young,,44-59,,
8:50.0,S. Karasev misses 3-pt shot from 22 ft,,44-59,,
8:48.0,Offensive rebound by T. Young,,44-59,,
8:42.0,T. Young makes 2-pt shot from 2 ft,2,46-59,,
8:27.0,,,46-59,,Shooting foul by B. Bogdanovic (drawn by J. Butler)
8:27.0,,,46-60,1,J. Butler makes free throw 1 of 2
8:27.0,,,46-61,1,J. Butler makes free throw 2 of 2
8:16.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Sloan),2,48-61,,
8:04.0,,,48-64,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Butler)
7:43.0,B. Bogdanovic makes 2-pt shot from 20 ft,2,50-64,,
7:27.0,,,50-64,,D. Rose misses 2-pt shot from 2 ft
7:24.0,,,50-64,,Offensive rebound by T. Gibson
7:20.0,,,50-66,2,N. Mirotic makes 2-pt shot from 19 ft (assist by T. Gibson)
7:05.0,D. Sloan makes 2-pt shot from 1 ft,2,52-66,,
6:43.0,,,52-66,,Turnover by T. Gibson (lost ball; steal by D. Sloan)
6:35.0,D. Sloan makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,55-66,,
6:35.0,,,55-66,,Chicago full timeout
6:35.0,,,55-66,,D. McDermott enters the game for M. Dunleavy
6:35.0,,,55-66,,B. Portis enters the game for N. Mirotic
6:25.0,Personal foul by D. Sloan,,55-66,,
6:16.0,,,55-66,,D. McDermott misses 2-pt shot from 8 ft
6:14.0,,,55-66,,Offensive rebound by B. Portis
6:14.0,,,55-66,,B. Portis misses 2-pt shot from 1 ft
6:13.0,Defensive rebound by S. Karasev,,55-66,,
5:58.0,B. Bogdanovic makes 2-pt shot from 19 ft,2,57-66,,
5:39.0,,,57-68,2,D. Rose makes 2-pt shot from 1 ft
5:39.0,,,57-68,,Shooting foul by D. Sloan (drawn by D. Rose)
5:39.0,,,57-68,,J. Holiday enters the game for J. Butler
5:39.0,,,57-69,1,D. Rose makes free throw 1 of 1
5:14.0,B. Bogdanovic makes 2-pt shot from 21 ft,2,59-69,,
5:06.0,,,59-71,2,D. Rose makes 2-pt shot from 1 ft
4:54.0,,,59-71,,Personal foul by D. Rose
4:46.0,D. Sloan makes 2-pt shot from 12 ft,2,61-71,,
4:25.0,,,61-71,,Turnover by B. Portis (lost ball; steal by B. Bogdanovic)
4:21.0,D. Sloan makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,63-71,,
4:07.0,,,63-71,,J. Holiday misses 3-pt shot from 25 ft
4:06.0,,,63-71,,Offensive rebound by B. Portis
3:59.0,,,63-71,,D. Rose misses 2-pt shot from 17 ft
3:57.0,Defensive rebound by T. Young,,63-71,,
3:48.0,Turnover by D. Sloan (lost ball; steal by D. Rose),,63-71,,
3:44.0,,,63-71,,B. Portis misses 2-pt shot at rim (block by T. Young)
3:41.0,Defensive rebound by B. Bogdanovic,,63-71,,
3:34.0,Offensive charge foul by B. Lopez,,63-71,,
3:34.0,Turnover by B. Lopez (offensive foul),,63-71,,
3:34.0,,,63-71,,A. Brooks enters the game for D. Rose
3:34.0,,,63-71,,C. Felicio enters the game for T. Gibson
3:21.0,Violation by B. Bogdanovic (kicked ball),,63-71,,
3:06.0,,,63-71,,J. Holiday misses 2-pt shot from 17 ft
3:04.0,Defensive rebound by T. Young,,63-71,,
2:50.0,B. Lopez misses 2-pt shot from 8 ft,,63-71,,
2:50.0,,,63-71,,Defensive rebound by Team
2:50.0,Loose ball foul by B. Lopez,,63-71,,
2:50.0,Brooklyn full timeout,,63-71,,
2:36.0,,,63-71,,J. Holiday misses 3-pt shot from 22 ft
2:35.0,Defensive rebound by S. Karasev,,63-71,,
2:18.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez),3,66-71,,
1:56.0,,,66-71,,D. McDermott misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by S. Karasev,,66-71,,
1:46.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by B. Portis),,66-71,,
1:45.0,,,66-71,,Defensive rebound by D. McDermott
1:40.0,,,66-73,2,B. Portis makes 2-pt shot at rim (assist by D. McDermott)
1:27.0,T. Young makes 2-pt shot from 19 ft,2,68-73,,
1:22.0,,,68-73,,Turnover by A. Brooks (lost ball; steal by T. Young)
1:15.0,S. Karasev misses 3-pt shot from 25 ft,,68-73,,
1:14.0,,,68-73,,Defensive rebound by B. Portis
1:08.0,Personal foul by S. Karasev,,68-73,,
1:08.0,,,68-74,1,D. McDermott makes free throw 1 of 2
1:08.0,T. Robinson enters the game for T. Young,,68-74,,
1:08.0,,,68-74,,J. Butler enters the game for J. Holiday
1:08.0,,,68-75,1,D. McDermott makes free throw 2 of 2
0:57.0,Shooting foul by D. McDermott (drawn by S. Karasev),,68-75,,
0:57.0,S. Karasev makes free throw 1 of 2,1,69-75,,
0:57.0,C. McCullough enters the game for B. Bogdanovic,,69-75,,
0:57.0,S. Kilpatrick enters the game for B. Lopez,,69-75,,
0:57.0,S. Karasev makes free throw 2 of 2,1,70-75,,
0:47.0,,,70-77,2,J. Butler makes 2-pt shot from 2 ft (assist by A. Brooks)
0:37.0,D. Sloan misses 2-pt shot from 16 ft,,70-77,,
0:36.0,Offensive rebound by C. McCullough,,70-77,,
0:33.0,S. Kilpatrick misses 3-pt shot from 24 ft,,70-77,,
0:32.0,Offensive rebound by C. McCullough,,70-77,,
0:27.0,S. Karasev makes 2-pt shot from 22 ft (assist by C. McCullough),2,72-77,,
0:09.0,,,72-77,,Shooting foul by C. McCullough (drawn by J. Butler)
0:09.0,,,72-78,1,J. Butler makes free throw 1 of 2
0:09.0,M. Brown enters the game for S. Karasev,,72-78,,
0:09.0,,,72-79,1,J. Butler makes free throw 2 of 2
0:03.0,D. Sloan makes 2-pt shot at rim,2,74-79,,
0:00.0,,,74-79,,J. Butler misses 3-pt shot from 50 ft
0:00.0,,,74-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by S. Kilpatrick,,74-79,,
11:41.0,,,74-81,2,D. McDermott makes 2-pt shot from 1 ft (assist by A. Brooks)
11:20.0,S. Kilpatrick makes 2-pt shot from 3 ft (assist by S. Larkin),2,76-81,,
11:01.0,,,76-83,2,J. Butler makes 2-pt shot from 1 ft
10:40.0,T. Robinson makes 2-pt shot from 1 ft (assist by S. Larkin),2,78-83,,
10:17.0,,,78-85,2,C. Felicio makes 2-pt shot from 1 ft (assist by J. Butler)
10:01.0,T. Robinson misses 2-pt shot from 12 ft,,78-85,,
10:00.0,,,78-85,,Defensive rebound by B. Portis
9:49.0,,,78-85,,Turnover by J. Butler (lost ball; steal by C. McCullough)
9:47.0,Shooting foul by A. Brooks (drawn by S. Kilpatrick),,78-85,,
9:47.0,S. Kilpatrick makes free throw 1 of 2,1,79-85,,
9:47.0,,,79-85,,J. Holiday enters the game for J. Butler
9:47.0,S. Kilpatrick makes free throw 2 of 2,1,80-85,,
9:35.0,,,80-87,2,A. Brooks makes 2-pt shot from 2 ft
9:24.0,C. McCullough makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,83-87,,
9:05.0,,,83-87,,J. Holiday misses 2-pt shot from 16 ft
9:04.0,,,83-87,,Offensive rebound by C. Felicio
9:02.0,,,83-90,3,D. McDermott makes 3-pt shot from 25 ft (assist by C. Felicio)
8:56.0,S. Larkin makes 2-pt shot from 2 ft,2,85-90,,
8:56.0,Shooting foul by A. Brooks (drawn by S. Larkin),,85-90,,
8:56.0,Brooklyn full timeout,,85-90,,
8:56.0,S. Larkin misses free throw 1 of 1,,85-90,,
8:54.0,,,85-90,,Defensive rebound by C. Felicio
8:37.0,,,85-93,3,A. Brooks makes 3-pt shot from 25 ft
8:19.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,87-93,,
8:01.0,,,87-93,,A. Brooks misses 2-pt shot from 2 ft
8:00.0,,,87-93,,Offensive rebound by C. Felicio
8:00.0,,,87-93,,C. Felicio misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by T. Robinson,,87-93,,
7:44.0,Turnover by T. Robinson (lost ball; steal by A. Brooks),,87-93,,
7:40.0,,,87-93,,J. Holiday misses 2-pt shot from 3 ft
7:38.0,,,87-93,,Offensive rebound by C. Felicio
7:34.0,,,87-93,,A. Brooks misses 3-pt shot from 25 ft
7:33.0,,,87-93,,Offensive rebound by B. Portis
7:31.0,,,87-93,,B. Portis misses 2-pt shot from 1 ft
7:30.0,,,87-93,,Offensive rebound by Team
7:21.0,,,87-95,2,D. McDermott makes 2-pt shot from 10 ft (assist by J. Holiday)
7:09.0,M. Brown misses 2-pt shot from 20 ft,,87-95,,
7:08.0,Offensive rebound by T. Robinson,,87-95,,
7:08.0,T. Robinson misses 2-pt shot at rim,,87-95,,
7:06.0,,,87-95,,Defensive rebound by D. McDermott
6:57.0,,,87-95,,D. McDermott misses 3-pt shot from 24 ft
6:55.0,Defensive rebound by T. Robinson,,87-95,,
6:42.0,,,87-95,,Personal foul by B. Portis
6:42.0,,,87-95,,J. Butler enters the game for J. Holiday
6:42.0,,,87-95,,D. Rose enters the game for A. Brooks
6:35.0,Turnover by T. Robinson (lost ball; steal by C. Felicio),,87-95,,
6:29.0,,,87-97,2,B. Portis makes 2-pt shot at rim (assist by D. Rose)
6:28.0,Brooklyn full timeout,,87-97,,
6:28.0,T. Young enters the game for C. McCullough,,87-97,,
6:19.0,Shooting foul by J. Butler (drawn by S. Kilpatrick),,87-97,,
6:19.0,S. Kilpatrick makes free throw 1 of 2,1,88-97,,
6:19.0,S. Kilpatrick makes free throw 2 of 2,1,89-97,,
6:09.0,,,89-97,,J. Butler misses 2-pt shot at rim (block by T. Robinson)
6:07.0,Defensive rebound by S. Kilpatrick,,89-97,,
6:00.0,S. Larkin misses 3-pt shot from 23 ft,,89-97,,
5:59.0,,,89-97,,Defensive rebound by C. Felicio
5:43.0,,,89-97,,B. Portis misses 2-pt shot from 19 ft
5:42.0,Defensive rebound by S. Larkin,,89-97,,
5:32.0,M. Brown misses 2-pt shot from 1 ft (block by C. Felicio),,89-97,,
5:30.0,,,89-97,,Defensive rebound by D. Rose
5:24.0,Personal foul by T. Young,,89-97,,
5:24.0,,,89-98,1,C. Felicio makes free throw 1 of 2
5:24.0,B. Bogdanovic enters the game for M. Brown,,89-98,,
5:24.0,B. Lopez enters the game for T. Robinson,,89-98,,
5:24.0,,,89-99,1,C. Felicio makes free throw 2 of 2
5:10.0,B. Lopez makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,91-99,,
4:53.0,,,91-101,2,C. Felicio makes 2-pt shot from 21 ft (assist by J. Butler)
4:40.0,Shooting foul by C. Felicio (drawn by B. Bogdanovic),,91-101,,
4:40.0,B. Bogdanovic makes free throw 1 of 2,1,92-101,,
4:40.0,S. Karasev enters the game for S. Kilpatrick,,92-101,,
4:40.0,,,92-101,,T. Gibson enters the game for C. Felicio
4:40.0,B. Bogdanovic makes free throw 2 of 2,1,93-101,,
4:23.0,,,93-101,,J. Butler misses 2-pt shot from 9 ft
4:21.0,,,93-101,,Offensive rebound by B. Portis
4:19.0,,,93-103,2,J. Butler makes 2-pt shot from 1 ft (assist by B. Portis)
4:00.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Larkin),3,96-103,,
3:38.0,,,96-106,3,D. McDermott makes 3-pt shot from 26 ft
3:15.0,B. Lopez misses 2-pt shot from 2 ft,,96-106,,
3:14.0,,,96-106,,Defensive rebound by D. McDermott
