time,LA Clippers,pts.away,score,pts.home,Philadelphia
1:56.0,,,41-57,,J. Okafor misses 2-pt shot from 3 ft
1:54.0,Defensive rebound by D. Jordan,,41-57,,
1:49.0,J. Redick makes 2-pt shot from 2 ft (assist by C. Paul),2,43-57,,
1:49.0,Shooting foul by J. Grant (drawn by J. Redick),,43-57,,
1:49.0,J. Redick makes free throw 1 of 1,1,44-57,,
1:27.0,,,44-57,,H. Thompson misses 3-pt shot from 22 ft
1:26.0,Defensive rebound by D. Jordan,,44-57,,
1:21.0,W. Johnson misses 2-pt shot from 18 ft,,44-57,,
1:18.0,,,44-57,,Defensive rebound by J. Okafor
0:58.0,,,44-57,,J. Grant misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by J. Crawford,,44-57,,
0:50.0,W. Johnson makes 2-pt shot from 2 ft (assist by J. Crawford),2,46-57,,
0:37.0,,,46-57,,Turnover by T. McConnell (lost ball)
0:30.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,49-57,,
0:11.0,,,49-59,2,T. McConnell makes 2-pt shot from 15 ft
0:00.0,C. Paul misses 2-pt shot from 12 ft,,49-59,,
0:00.0,Offensive rebound by Team,,49-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-59,,I. Smith misses 2-pt shot from 7 ft
11:40.0,,,49-59,,Offensive rebound by N. Noel
11:24.0,,,49-59,,J. Okafor misses 2-pt shot from 14 ft
11:22.0,Defensive rebound by W. Johnson,,49-59,,
11:06.0,Turnover by J. Redick (bad pass; steal by N. Noel),,49-59,,
11:01.0,Personal block foul by J. Redick (drawn by I. Smith),,49-59,,
10:47.0,,,49-59,,N. Stauskas misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by J. Redick,,49-59,,
10:37.0,J. Redick makes 2-pt shot from 16 ft,2,51-59,,
10:23.0,,,51-59,,J. Okafor misses 2-pt shot from 12 ft
10:22.0,,,51-59,,Offensive rebound by Team
10:21.0,,,51-59,,Turnover by R. Covington (step out of bounds)
10:15.0,C. Paul makes 2-pt shot from 18 ft,2,53-59,,
10:15.0,,,53-59,,Philadelphia full timeout
9:56.0,,,53-59,,I. Smith misses 2-pt shot from 18 ft
9:54.0,Defensive rebound by J. Redick,,53-59,,
9:47.0,C. Paul misses 3-pt shot from 25 ft,,53-59,,
9:46.0,Offensive rebound by D. Jordan,,53-59,,
9:45.0,D. Jordan misses 2-pt shot from 1 ft,,53-59,,
9:44.0,Offensive rebound by D. Jordan,,53-59,,
9:43.0,D. Jordan misses 2-pt shot from 2 ft,,53-59,,
9:42.0,,,53-59,,Defensive rebound by Team
9:28.0,,,53-61,2,J. Okafor makes 2-pt shot from 7 ft (assist by N. Noel)
9:11.0,J. Redick misses 2-pt shot from 20 ft,,53-61,,
9:10.0,,,53-61,,Defensive rebound by I. Smith
8:57.0,,,53-61,,Turnover by R. Covington (bad pass)
8:45.0,Turnover by J. Redick (lost ball),,53-61,,
8:29.0,,,53-61,,N. Noel misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by L. Mbah a Moute,,53-61,,
8:17.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,55-61,,
7:59.0,,,55-61,,R. Covington misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by D. Jordan,,55-61,,
7:47.0,,,55-61,,Personal foul by I. Smith (drawn by C. Paul)
7:42.0,C. Paul misses 2-pt shot from 1 ft (block by J. Okafor),,55-61,,
7:40.0,,,55-61,,Defensive rebound by I. Smith
7:29.0,,,55-63,2,J. Okafor makes 2-pt shot from 7 ft (assist by N. Noel)
7:02.0,J. Redick misses 2-pt shot from 17 ft,,55-63,,
7:00.0,,,55-63,,Defensive rebound by I. Smith
6:50.0,,,55-63,,J. Okafor misses 2-pt shot from 15 ft
6:48.0,Defensive rebound by C. Paul,,55-63,,
6:40.0,C. Paul makes 2-pt shot from 17 ft,2,57-63,,
6:29.0,,,57-63,,Turnover by R. Covington (lost ball; steal by L. Mbah a Moute)
6:25.0,Shooting foul by N. Stauskas (drawn by J. Redick),,57-63,,
6:25.0,J. Redick makes free throw 1 of 2,1,58-63,,
6:25.0,,,58-63,,H. Thompson enters the game for N. Stauskas
6:25.0,,,58-63,,I. Canaan enters the game for N. Noel
6:25.0,J. Redick misses free throw 2 of 2,,58-63,,
6:24.0,,,58-63,,Defensive rebound by J. Okafor
6:08.0,,,58-63,,I. Canaan misses 3-pt shot from 23 ft
6:07.0,,,58-63,,Offensive rebound by J. Okafor
6:07.0,Loose ball foul by W. Johnson (drawn by J. Okafor),,58-63,,
6:07.0,,,58-63,,J. Grant enters the game for R. Covington
6:07.0,J. Crawford enters the game for L. Mbah a Moute,,58-63,,
5:57.0,Personal foul by J. Crawford (drawn by H. Thompson),,58-63,,
5:57.0,,,58-63,,Philadelphia full timeout
5:49.0,,,58-63,,I. Smith misses 2-pt shot from 16 ft
5:47.0,,,58-63,,Offensive rebound by J. Grant
5:46.0,,,58-65,2,J. Grant makes 2-pt shot at rim
5:30.0,Turnover by W. Johnson (bad pass; steal by J. Okafor),,58-65,,
5:26.0,,,58-65,,Turnover by J. Okafor (lost ball; steal by C. Paul)
5:20.0,J. Crawford makes 3-pt shot from 23 ft (assist by J. Redick),3,61-65,,
5:05.0,,,61-67,2,H. Thompson makes 2-pt shot from 16 ft (assist by J. Okafor)
4:47.0,J. Crawford makes 2-pt shot from 16 ft,2,63-67,,
4:22.0,,,63-67,,I. Smith misses 2-pt shot from 12 ft
4:20.0,,,63-67,,Offensive rebound by J. Okafor
4:20.0,,,63-69,2,J. Okafor makes 2-pt shot from 1 ft
4:02.0,W. Johnson misses 3-pt shot from 23 ft,,63-69,,
4:00.0,,,63-69,,Defensive rebound by I. Smith
3:50.0,,,63-69,,Turnover by J. Okafor (bad pass; steal by J. Crawford)
3:40.0,J. Crawford misses 3-pt shot from 25 ft,,63-69,,
3:38.0,,,63-69,,Defensive rebound by I. Smith
3:34.0,,,63-71,2,I. Smith makes 2-pt shot from 2 ft
3:15.0,,,63-71,,Personal foul by I. Canaan (drawn by C. Paul)
3:15.0,,,63-71,,N. Noel enters the game for J. Okafor
3:15.0,,,63-71,,T. McConnell enters the game for I. Smith
3:15.0,P. Prigioni enters the game for C. Paul,,63-71,,
3:01.0,J. Crawford misses 2-pt shot from 17 ft,,63-71,,
3:00.0,,,63-71,,Defensive rebound by J. Grant
2:50.0,,,63-71,,T. McConnell misses 2-pt shot from 11 ft
2:48.0,Defensive rebound by D. Jordan,,63-71,,
2:37.0,,,63-71,,Personal foul by I. Canaan (drawn by J. Crawford)
2:37.0,LA Clippers full timeout,,63-71,,
2:37.0,,,63-71,,N. Stauskas enters the game for I. Canaan
2:37.0,L. Stephenson enters the game for J. Redick,,63-71,,
2:29.0,P. Prigioni misses 2-pt shot from 2 ft,,63-71,,
2:27.0,,,63-71,,Defensive rebound by T. McConnell
2:18.0,,,63-71,,Turnover by N. Noel (bad pass)
2:01.0,W. Johnson misses 2-pt shot from 20 ft,,63-71,,
1:59.0,,,63-71,,Defensive rebound by N. Noel
1:51.0,Personal foul by P. Prigioni (drawn by J. Grant),,63-71,,
1:37.0,,,63-71,,Turnover by Team (shot clock)
1:25.0,L. Stephenson makes 2-pt shot from 2 ft (assist by J. Crawford),2,65-71,,
1:09.0,,,65-73,2,J. Grant makes 2-pt shot from 1 ft
1:09.0,,,65-73,,Shooting foul by W. Johnson (drawn by J. Grant)
1:09.0,,,65-73,,J. Grant misses free throw 1 of 1
1:08.0,,,65-73,,Offensive rebound by J. Grant
0:59.0,,,65-73,,T. McConnell misses 2-pt shot from 8 ft
0:57.0,Defensive rebound by D. Jordan,,65-73,,
0:46.0,Offensive foul by D. Jordan,,65-73,,
0:46.0,Turnover by D. Jordan (offensive foul),,65-73,,
0:30.0,,,65-73,,Turnover by H. Thompson (bad pass; steal by W. Johnson)
0:25.0,J. Crawford misses 2-pt shot from 12 ft,,65-73,,
0:22.0,Offensive rebound by W. Johnson,,65-73,,
0:21.0,W. Johnson misses 2-pt shot from 5 ft,,65-73,,
0:20.0,,,65-73,,Defensive rebound by J. Grant
0:02.0,,,65-73,,T. McConnell misses 2-pt shot from 5 ft (block by D. Jordan)
0:00.0,,,65-73,,Offensive rebound by T. McConnell
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Crawford misses 2-pt shot from 10 ft,,65-73,,
11:41.0,Offensive rebound by C. Aldrich,,65-73,,
11:41.0,C. Aldrich misses 2-pt shot from 1 ft,,65-73,,
11:39.0,Offensive rebound by L. Mbah a Moute,,65-73,,
11:36.0,L. Stephenson misses 2-pt shot from 10 ft,,65-73,,
11:31.0,,,65-73,,Defensive rebound by N. Stauskas
11:21.0,Personal foul by L. Mbah a Moute (drawn by N. Stauskas),,65-73,,
11:21.0,,,65-73,,R. Covington enters the game for N. Stauskas
11:10.0,,,65-73,,N. Noel misses 2-pt shot at rim
11:09.0,,,65-73,,Offensive rebound by J. Grant
11:08.0,,,65-73,,Shooting foul by C. Aldrich (drawn by J. Grant)
11:08.0,,,65-74,1,J. Grant makes free throw 1 of 2
11:08.0,,,65-74,,J. Grant misses free throw 2 of 2
11:07.0,Defensive rebound by L. Stephenson,,65-74,,
10:45.0,Shooting foul by N. Noel (drawn by C. Aldrich),,65-74,,
10:45.0,C. Aldrich makes free throw 1 of 2,1,66-74,,
10:45.0,C. Aldrich makes free throw 2 of 2,1,67-74,,
10:31.0,,,67-74,,R. Covington misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by L. Stephenson,,67-74,,
10:14.0,,,67-74,,Personal foul by N. Noel (drawn by P. Prigioni)
10:07.0,J. Crawford misses 2-pt shot from 12 ft,,67-74,,
10:05.0,,,67-74,,Defensive rebound by N. Noel
9:59.0,,,67-74,,T. McConnell misses 2-pt shot from 14 ft
9:57.0,Defensive rebound by P. Prigioni,,67-74,,
9:51.0,C. Aldrich makes 2-pt shot at rim (assist by P. Prigioni),2,69-74,,
9:29.0,,,69-74,,H. Thompson misses 2-pt shot from 16 ft
9:27.0,Defensive rebound by L. Mbah a Moute,,69-74,,
9:20.0,J. Crawford makes 2-pt shot from 1 ft,2,71-74,,
9:19.0,,,71-74,,Philadelphia full timeout
8:55.0,,,71-76,2,J. Grant makes 2-pt shot from 17 ft (assist by H. Thompson)
8:37.0,J. Crawford makes 2-pt shot from 18 ft (assist by P. Prigioni),2,73-76,,
8:20.0,Personal foul by L. Stephenson (drawn by T. McConnell),,73-76,,
8:20.0,,,73-76,,I. Smith enters the game for T. McConnell
8:20.0,C. Paul enters the game for P. Prigioni,,73-76,,
8:11.0,,,73-76,,Turnover by J. Grant (lost ball; steal by L. Mbah a Moute)
8:08.0,Turnover by L. Stephenson (traveling),,73-76,,
7:52.0,,,73-79,3,H. Thompson makes 3-pt shot from 23 ft (assist by J. Grant)
7:38.0,C. Aldrich makes 2-pt shot from 4 ft (assist by C. Paul),2,75-79,,
7:20.0,,,75-82,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
7:17.0,LA Clippers full timeout,,75-82,,
7:17.0,D. Jordan enters the game for C. Aldrich,,75-82,,
7:17.0,,,75-82,,J. Okafor enters the game for N. Noel
7:17.0,J. Redick enters the game for L. Stephenson,,75-82,,
6:57.0,,,75-82,,Shooting block foul by R. Covington (drawn by J. Crawford)
6:57.0,J. Crawford makes free throw 1 of 2,1,76-82,,
6:57.0,J. Crawford misses free throw 2 of 2,,76-82,,
6:56.0,,,76-82,,Defensive rebound by J. Grant
6:41.0,Personal foul by J. Redick (drawn by H. Thompson),,76-82,,
6:29.0,,,76-82,,I. Smith misses 3-pt shot from 27 ft
6:27.0,Defensive rebound by Team,,76-82,,
6:08.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,76-82,,
6:07.0,,,76-82,,Defensive rebound by R. Covington
5:59.0,,,76-84,2,I. Smith makes 2-pt shot from 1 ft (assist by R. Covington)
