time,Washington,pts.away,score,pts.home,Miami
4:25.0,B. Beal misses 3-pt shot from 24 ft,,12-21,,
4:24.0,,,12-21,,Defensive rebound by G. Green
4:16.0,,,12-21,,G. Green misses 2-pt shot from 10 ft (block by O. Porter)
4:15.0,Defensive rebound by O. Porter,,12-21,,
4:08.0,B. Beal makes 2-pt shot from 1 ft,2,14-21,,
3:45.0,,,14-21,,Shooting foul by O. Porter (drawn by H. Whiteside)
3:45.0,,,14-21,,H. Whiteside misses free throw 1 of 2
3:45.0,,,14-21,,Offensive rebound by Team
3:45.0,R. Sessions enters the game for J. Dudley,,14-21,,
3:45.0,M. Morris enters the game for O. Porter,,14-21,,
3:45.0,,,14-21,,H. Whiteside misses free throw 2 of 2
3:44.0,Defensive rebound by M. Morris,,14-21,,
3:29.0,M. Morris misses 2-pt shot from 16 ft,,14-21,,
3:28.0,Offensive rebound by M. Gortat,,14-21,,
3:24.0,M. Gortat misses 2-pt shot from 5 ft,,14-21,,
3:23.0,,,14-21,,Defensive rebound by G. Dragic
3:13.0,,,14-21,,G. Green misses 2-pt shot from 17 ft
3:12.0,Defensive rebound by R. Sessions,,14-21,,
3:08.0,Shooting foul by J. Richardson (drawn by B. Beal),,14-21,,
3:08.0,B. Beal misses free throw 1 of 2,,14-21,,
3:08.0,Offensive rebound by Team,,14-21,,
3:08.0,,,14-21,,L. Deng enters the game for G. Green
3:08.0,B. Beal misses free throw 2 of 2,,14-21,,
3:04.0,Offensive rebound by M. Morris,,14-21,,
3:03.0,M. Morris makes 2-pt shot at rim,2,16-21,,
2:45.0,,,16-21,,H. Whiteside misses 2-pt shot from 2 ft
2:44.0,,,16-21,,Offensive rebound by L. Deng
2:44.0,,,16-23,2,L. Deng makes 2-pt shot from 3 ft
2:44.0,,,16-23,,Shooting foul by M. Morris (drawn by L. Deng)
2:44.0,,,16-23,,J. McRoberts enters the game for J. Winslow
2:44.0,,,16-24,1,L. Deng makes free throw 1 of 1
2:25.0,M. Morris misses 2-pt shot from 16 ft,,16-24,,
2:24.0,,,16-24,,Defensive rebound by H. Whiteside
2:14.0,,,16-24,,L. Deng misses 2-pt shot from 1 ft
2:13.0,Defensive rebound by M. Gortat,,16-24,,
2:09.0,Turnover by J. Wall (bad pass),,16-24,,
1:53.0,,,16-24,,G. Dragic misses 2-pt shot from 15 ft
1:52.0,,,16-24,,Offensive rebound by L. Deng
1:51.0,,,16-24,,L. Deng misses 2-pt shot from 2 ft
1:50.0,,,16-24,,Offensive rebound by H. Whiteside
1:46.0,,,16-26,2,H. Whiteside makes 2-pt shot from 5 ft
1:34.0,B. Beal makes 3-pt shot from 23 ft,3,19-26,,
1:12.0,,,19-26,,G. Dragic misses 2-pt shot from 15 ft
1:11.0,,,19-26,,Offensive rebound by H. Whiteside
1:11.0,,,19-26,,Shooting foul by M. Gortat (drawn by H. Whiteside)
1:11.0,,,19-26,,H. Whiteside misses free throw 1 of 2
1:11.0,,,19-26,,Offensive rebound by Team
1:11.0,,,19-26,,B. Udrih enters the game for G. Dragic
1:11.0,N. Hilario enters the game for M. Gortat,,19-26,,
1:11.0,,,19-27,1,H. Whiteside makes free throw 2 of 2
0:52.0,J. Wall misses 2-pt shot from 1 ft,,19-27,,
0:51.0,,,19-27,,Defensive rebound by H. Whiteside
0:44.0,Personal foul by M. Morris (drawn by J. McRoberts),,19-27,,
0:44.0,,,19-28,1,J. McRoberts makes free throw 1 of 2
0:44.0,,,19-28,,J. McRoberts misses free throw 2 of 2
0:44.0,Defensive rebound by B. Beal,,19-28,,
0:28.0,B. Beal misses 2-pt shot from 2 ft,,19-28,,
0:27.0,,,19-28,,Defensive rebound by H. Whiteside
0:08.0,,,19-30,2,H. Whiteside makes 2-pt shot from 12 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Morris makes 2-pt shot from 14 ft,2,21-30,,
11:19.0,,,21-30,,L. Deng misses 2-pt shot from 5 ft (block by M. Morris)
11:17.0,,,21-30,,Offensive rebound by L. Deng
11:14.0,,,21-30,,L. Deng misses 2-pt shot from 6 ft
11:12.0,Defensive rebound by G. Temple,,21-30,,
11:03.0,G. Temple misses 3-pt shot from 25 ft,,21-30,,
11:02.0,,,21-30,,Defensive rebound by L. Deng
10:53.0,,,21-32,2,B. Udrih makes 2-pt shot from 2 ft
10:40.0,R. Sessions makes 2-pt shot from 15 ft,2,23-32,,
10:23.0,,,23-34,2,B. Udrih makes 2-pt shot from 16 ft
10:06.0,B. Beal makes 2-pt shot from 12 ft,2,25-34,,
9:47.0,,,25-34,,Turnover by B. Udrih (lost ball; steal by M. Morris)
9:42.0,B. Beal misses 2-pt shot from 2 ft,,25-34,,
9:38.0,Offensive rebound by R. Sessions,,25-34,,
9:38.0,R. Sessions misses 2-pt shot at rim,,25-34,,
9:36.0,,,25-34,,Defensive rebound by B. Udrih
9:33.0,,,25-34,,B. Udrih misses 2-pt shot from 16 ft
9:32.0,Defensive rebound by Team,,25-34,,
9:32.0,,,25-34,,Loose ball foul by H. Whiteside (drawn by B. Beal)
9:32.0,O. Porter enters the game for B. Beal,,25-34,,
9:16.0,R. Sessions misses 2-pt shot from 18 ft,,25-34,,
9:15.0,,,25-34,,Defensive rebound by H. Whiteside
9:05.0,Personal foul by M. Morris (drawn by J. McRoberts),,25-34,,
9:05.0,J. Dudley enters the game for M. Morris,,25-34,,
8:56.0,,,25-36,2,L. Deng makes 2-pt shot from 16 ft (assist by J. Richardson)
8:43.0,R. Sessions misses 2-pt shot from 4 ft,,25-36,,
8:42.0,,,25-36,,Defensive rebound by H. Whiteside
8:28.0,,,25-39,3,J. Richardson makes 3-pt shot from 23 ft (assist by L. Deng)
8:24.0,Washington full timeout,,25-39,,
8:15.0,J. Dudley makes 2-pt shot from 17 ft (assist by R. Sessions),2,27-39,,
7:55.0,,,27-39,,J. McRoberts misses 2-pt shot from 7 ft
7:54.0,Defensive rebound by N. Hilario,,27-39,,
7:51.0,Shooting foul by J. McRoberts (drawn by R. Sessions),,27-39,,
7:51.0,R. Sessions makes free throw 1 of 2,1,28-39,,
7:51.0,,,28-39,,J. Winslow enters the game for L. Deng
7:51.0,R. Sessions misses free throw 2 of 2,,28-39,,
7:50.0,,,28-39,,Defensive rebound by H. Whiteside
7:38.0,,,28-39,,J. McRoberts misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by N. Hilario,,28-39,,
7:29.0,O. Porter misses 3-pt shot from 23 ft,,28-39,,
7:28.0,,,28-39,,Defensive rebound by B. Udrih
7:06.0,,,28-41,2,J. Winslow makes 2-pt shot from 8 ft
6:57.0,N. Hilario makes 2-pt shot at rim (assist by J. Dudley),2,30-41,,
6:53.0,,,30-41,,Miami full timeout
6:53.0,M. Gortat enters the game for N. Hilario,,30-41,,
6:53.0,,,30-41,,G. Green enters the game for J. Winslow
6:53.0,,,30-41,,G. Dragic enters the game for B. Udrih
6:35.0,,,30-41,,J. McRoberts misses 2-pt shot from 10 ft
6:34.0,Defensive rebound by J. Dudley,,30-41,,
6:27.0,R. Sessions misses 2-pt shot from 1 ft (block by J. Richardson),,30-41,,
6:26.0,,,30-41,,Defensive rebound by H. Whiteside
6:13.0,,,30-43,2,G. Dragic makes 2-pt shot from 2 ft
6:02.0,O. Porter misses 3-pt shot from 24 ft,,30-43,,
6:01.0,,,30-43,,Defensive rebound by H. Whiteside
5:47.0,,,30-43,,G. Dragic misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by O. Porter,,30-43,,
5:38.0,M. Gortat misses 2-pt shot from 7 ft,,30-43,,
5:37.0,,,30-43,,Defensive rebound by J. Richardson
5:29.0,,,30-45,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. McRoberts)
5:29.0,,,30-45,,Shooting foul by J. Dudley (drawn by H. Whiteside)
5:29.0,J. Wall enters the game for R. Sessions,,30-45,,
5:29.0,,,30-46,1,H. Whiteside makes free throw 1 of 1
5:15.0,J. Dudley misses 3-pt shot from 24 ft,,30-46,,
5:14.0,Offensive rebound by Team,,30-46,,
5:12.0,B. Beal enters the game for G. Temple,,30-46,,
4:57.0,J. Wall misses 2-pt shot from 19 ft,,30-46,,
4:56.0,,,30-46,,Defensive rebound by H. Whiteside
4:41.0,Personal foul by J. Dudley (drawn by H. Whiteside),,30-46,,
4:29.0,,,30-48,2,J. McRoberts makes 2-pt shot at rim
4:22.0,B. Beal misses 2-pt shot from 14 ft,,30-48,,
4:21.0,,,30-48,,Defensive rebound by H. Whiteside
4:11.0,,,30-48,,G. Dragic misses 2-pt shot from 14 ft
4:10.0,,,30-48,,Offensive rebound by H. Whiteside
4:06.0,,,30-50,2,H. Whiteside makes 2-pt shot from 1 ft
4:01.0,Washington full timeout,,30-50,,
4:01.0,,,30-50,,L. Deng enters the game for J. McRoberts
3:50.0,M. Gortat makes 2-pt shot from 7 ft (assist by B. Beal),2,32-50,,
3:32.0,,,32-50,,L. Deng misses 2-pt shot from 1 ft
3:31.0,Defensive rebound by J. Dudley,,32-50,,
3:24.0,J. Wall misses 3-pt shot from 25 ft,,32-50,,
3:23.0,Offensive rebound by J. Dudley,,32-50,,
3:20.0,J. Dudley makes 2-pt shot at rim,2,34-50,,
3:08.0,,,34-52,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
2:47.0,M. Gortat misses 2-pt shot from 5 ft (block by H. Whiteside),,34-52,,
2:46.0,,,34-52,,Defensive rebound by J. Richardson
2:39.0,,,34-52,,J. Richardson misses 2-pt shot from 10 ft
2:38.0,Defensive rebound by J. Wall,,34-52,,
2:31.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,36-52,,
2:11.0,,,36-52,,H. Whiteside misses 2-pt shot from 15 ft
2:10.0,,,36-52,,Offensive rebound by G. Dragic
2:09.0,,,36-52,,G. Dragic misses 2-pt shot from 1 ft
2:08.0,Defensive rebound by M. Gortat,,36-52,,
1:58.0,J. Wall makes 2-pt shot from 14 ft,2,38-52,,
1:47.0,,,38-52,,Miami full timeout
1:47.0,Official timeout,,38-52,,
1:47.0,,,38-52,,A. Stoudemire enters the game for H. Whiteside
1:47.0,K. Oubre enters the game for J. Dudley,,38-52,,
1:41.0,Personal foul by K. Oubre (drawn by G. Green),,38-52,,
1:37.0,Personal foul by K. Oubre (drawn by L. Deng),,38-52,,
1:37.0,,,38-53,1,L. Deng makes free throw 1 of 2
1:37.0,,,38-54,1,L. Deng makes free throw 2 of 2
1:26.0,J. Wall makes 2-pt shot from 2 ft,2,40-54,,
1:06.0,,,40-54,,Shooting foul by K. Oubre (drawn by G. Dragic)
1:06.0,,,40-55,1,G. Dragic makes free throw 1 of 2
1:06.0,,,40-55,,H. Whiteside enters the game for A. Stoudemire
1:06.0,R. Sessions enters the game for K. Oubre,,40-55,,
1:06.0,,,40-55,,G. Dragic misses free throw 2 of 2
1:05.0,,,40-55,,Offensive rebound by H. Whiteside
1:01.0,,,40-55,,G. Dragic misses 2-pt shot at rim
1:01.0,Defensive rebound by O. Porter,,40-55,,
0:56.0,R. Sessions misses 2-pt shot from 2 ft (block by J. Richardson),,40-55,,
0:55.0,Offensive rebound by J. Wall,,40-55,,
0:47.0,O. Porter makes 2-pt shot from 15 ft,2,42-55,,
0:36.0,,,42-57,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
0:25.0,J. Wall makes 2-pt shot from 17 ft,2,44-57,,
0:04.0,,,44-59,2,G. Dragic makes 2-pt shot from 2 ft
0:00.0,J. Wall misses 2-pt shot from 16 ft,,44-59,,
0:00.0,Offensive rebound by Team,,44-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall),2,46-59,,
11:43.0,Shooting foul by A. Stoudemire (drawn by M. Gortat),,46-59,,
11:43.0,M. Gortat makes free throw 1 of 1,1,47-59,,
11:22.0,,,47-59,,A. Stoudemire misses 2-pt shot from 4 ft
11:21.0,Defensive rebound by O. Porter,,47-59,,
11:15.0,J. Wall makes 2-pt shot from 18 ft,2,49-59,,
11:01.0,,,49-61,2,G. Dragic makes 2-pt shot from 12 ft
10:48.0,J. Dudley makes 2-pt shot from 20 ft (assist by M. Gortat),2,51-61,,
10:37.0,,,51-63,2,G. Dragic makes 2-pt shot from 1 ft (assist by L. Deng)
10:21.0,G. Temple misses 2-pt shot from 16 ft,,51-63,,
10:20.0,,,51-63,,Defensive rebound by G. Dragic
10:17.0,,,51-63,,Shooting foul by J. Wall (drawn by J. Winslow)
10:17.0,,,51-63,,J. Winslow misses free throw 1 of 2
10:17.0,,,51-63,,Offensive rebound by Team
10:17.0,,,51-63,,J. Winslow misses free throw 2 of 2
10:16.0,Defensive rebound by M. Gortat,,51-63,,
10:03.0,J. Wall misses 2-pt shot from 20 ft,,51-63,,
10:02.0,,,51-63,,Defensive rebound by A. Stoudemire
9:39.0,,,51-65,2,L. Deng makes 2-pt shot from 9 ft
9:18.0,J. Dudley makes 2-pt shot from 12 ft (assist by M. Gortat),2,53-65,,
8:53.0,,,53-65,,J. Winslow misses 2-pt shot from 17 ft
8:52.0,Defensive rebound by M. Gortat,,53-65,,
8:35.0,G. Temple misses 2-pt shot from 11 ft,,53-65,,
8:34.0,,,53-65,,Defensive rebound by L. Deng
8:22.0,,,53-68,3,G. Green makes 3-pt shot from 24 ft
8:15.0,J. Dudley makes 2-pt shot from 2 ft (assist by J. Wall),2,55-68,,
8:02.0,,,55-68,,G. Dragic misses 2-pt shot from 17 ft
8:01.0,Defensive rebound by M. Gortat,,55-68,,
7:51.0,Shooting foul by J. Winslow (drawn by M. Gortat),,55-68,,
7:51.0,M. Gortat misses free throw 1 of 2,,55-68,,
7:51.0,Offensive rebound by Team,,55-68,,
7:51.0,M. Gortat makes free throw 2 of 2,1,56-68,,
7:40.0,,,56-68,,Turnover by A. Stoudemire (offensive foul)
7:40.0,,,56-68,,Offensive foul by A. Stoudemire
7:27.0,J. Wall misses 2-pt shot from 17 ft (block by G. Dragic),,56-68,,
7:26.0,,,56-68,,Defensive rebound by G. Dragic
7:20.0,,,56-70,2,J. Winslow makes 2-pt shot from 1 ft (assist by L. Deng)
7:20.0,Washington full timeout,,56-70,,
7:06.0,J. Dudley misses 2-pt shot from 7 ft,,56-70,,
7:05.0,,,56-70,,Defensive rebound by L. Deng
7:02.0,,,56-70,,Shooting foul by G. Temple (drawn by G. Dragic)
7:02.0,,,56-71,1,G. Dragic makes free throw 1 of 2
7:02.0,B. Beal enters the game for G. Temple,,56-71,,
7:02.0,,,56-72,1,G. Dragic makes free throw 2 of 2
6:53.0,O. Porter misses 2-pt shot from 19 ft,,56-72,,
6:52.0,Offensive rebound by M. Gortat,,56-72,,
6:49.0,J. Dudley makes 2-pt shot from 2 ft,2,58-72,,
6:49.0,,,58-72,,Shooting block foul by L. Deng (drawn by J. Dudley)
6:49.0,J. Dudley makes free throw 1 of 1,1,59-72,,
6:35.0,,,59-72,,J. Winslow misses 2-pt shot from 6 ft
6:34.0,Defensive rebound by J. Dudley,,59-72,,
6:11.0,B. Beal misses 2-pt shot from 16 ft,,59-72,,
6:10.0,,,59-72,,Defensive rebound by J. Winslow
6:00.0,,,59-72,,Turnover by J. Winslow (bad pass; steal by O. Porter)
5:56.0,Turnover by J. Wall (traveling),,59-72,,
5:56.0,,,59-72,,J. Richardson enters the game for L. Deng
5:45.0,,,59-74,2,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic)
5:31.0,,,59-74,,Personal foul by J. Winslow (drawn by J. Dudley)
5:31.0,M. Morris enters the game for J. Dudley,,59-74,,
5:23.0,M. Gortat misses 2-pt shot from 13 ft,,59-74,,
5:22.0,,,59-74,,Defensive rebound by J. Winslow
5:13.0,,,59-74,,G. Green misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by J. Wall,,59-74,,
5:12.0,,,59-74,,Personal foul by G. Dragic (drawn by J. Wall)
5:12.0,J. Wall makes free throw 1 of 2,1,60-74,,
5:12.0,J. Wall makes free throw 2 of 2,1,61-74,,
4:59.0,,,61-76,2,G. Dragic makes 2-pt shot from 15 ft
4:50.0,Offensive foul by B. Beal,,61-76,,
4:50.0,Turnover by B. Beal (offensive foul),,61-76,,
4:39.0,,,61-76,,G. Dragic misses 2-pt shot from 13 ft
4:38.0,Defensive rebound by M. Gortat,,61-76,,
4:21.0,M. Gortat misses 2-pt shot from 1 ft (block by G. Green),,61-76,,
4:20.0,Offensive rebound by Team,,61-76,,
4:20.0,,,61-76,,B. Udrih enters the game for G. Dragic
4:17.0,B. Beal misses 2-pt shot from 19 ft,,61-76,,
4:16.0,,,61-76,,Defensive rebound by J. Richardson
4:06.0,,,61-76,,B. Udrih misses 3-pt shot from 23 ft
4:05.0,,,61-76,,Offensive rebound by J. Winslow
3:52.0,,,61-78,2,J. Richardson makes 2-pt shot from 16 ft
3:41.0,J. Wall misses 2-pt shot from 20 ft,,61-78,,
3:40.0,,,61-78,,Defensive rebound by B. Udrih
3:36.0,,,61-78,,J. Winslow misses 2-pt shot from 4 ft
3:35.0,,,61-78,,Offensive rebound by J. Winslow
3:34.0,,,61-80,2,J. Winslow makes 2-pt shot from 1 ft
3:34.0,Washington full timeout,,61-80,,
3:34.0,R. Sessions enters the game for J. Wall,,61-80,,
3:34.0,,,61-80,,H. Whiteside enters the game for A. Stoudemire
3:15.0,B. Beal makes 3-pt shot from 24 ft (assist by M. Morris),3,64-80,,
3:00.0,,,64-80,,Turnover by B. Udrih (bad pass; steal by M. Morris)
2:47.0,B. Beal misses 3-pt shot from 25 ft,,64-80,,
2:46.0,,,64-80,,Defensive rebound by H. Whiteside
2:31.0,,,64-82,2,B. Udrih makes 2-pt shot from 15 ft
2:16.0,M. Morris misses 2-pt shot from 1 ft (block by H. Whiteside),,64-82,,
2:15.0,Offensive rebound by M. Gortat,,64-82,,
2:06.0,R. Sessions makes 2-pt shot from 12 ft,2,66-82,,
1:48.0,,,66-82,,Turnover by B. Udrih (lost ball; steal by R. Sessions)
1:42.0,B. Beal misses 2-pt shot from 2 ft (block by J. Richardson),,66-82,,
1:41.0,,,66-82,,Defensive rebound by H. Whiteside
1:23.0,,,66-82,,B. Udrih misses 2-pt shot from 18 ft
1:22.0,Defensive rebound by M. Morris,,66-82,,
1:07.0,B. Beal makes 2-pt shot from 8 ft,2,68-82,,
1:07.0,Shooting foul by G. Green (drawn by B. Beal),,68-82,,
1:07.0,N. Hilario enters the game for M. Gortat,,68-82,,
1:07.0,B. Beal misses free throw 1 of 1,,68-82,,
1:06.0,,,68-82,,Defensive rebound by H. Whiteside
1:01.0,,,68-82,,Miami full timeout
1:01.0,,,68-82,,J. McRoberts enters the game for J. Winslow
1:01.0,,,68-82,,L. Deng enters the game for G. Green
0:46.0,,,68-82,,Offensive foul by H. Whiteside
0:46.0,,,68-82,,Turnover by H. Whiteside (offensive foul)
0:26.0,M. Morris misses 2-pt shot from 10 ft,,68-82,,
0:25.0,,,68-82,,Defensive rebound by H. Whiteside
0:02.0,,,68-82,,J. Richardson misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by Team,,68-82,,
0:00.0,B. Beal misses 3-pt shot from 55 ft,,68-82,,
0:00.0,Offensive rebound by Team,,68-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,68-84,2,H. Whiteside makes 2-pt shot from 6 ft
11:21.0,B. Beal makes 2-pt shot from 20 ft (assist by N. Hilario),2,70-84,,
11:02.0,,,70-86,2,L. Deng makes 2-pt shot from 20 ft (assist by B. Udrih)
10:43.0,B. Beal makes 2-pt shot from 12 ft,2,72-86,,
10:43.0,Shooting foul by H. Whiteside (drawn by B. Beal),,72-86,,
10:43.0,B. Beal makes free throw 1 of 1,1,73-86,,
10:19.0,,,73-88,2,L. Deng makes 2-pt shot from 8 ft (assist by J. McRoberts)
10:05.0,B. Beal misses 3-pt shot from 24 ft,,73-88,,
10:04.0,,,73-88,,Defensive rebound by J. Richardson
9:48.0,,,73-88,,J. McRoberts misses 2-pt shot from 18 ft
9:47.0,,,73-88,,Offensive rebound by L. Deng
9:45.0,,,73-88,,J. Richardson misses 2-pt shot from 2 ft (block by J. Wall)
9:44.0,,,73-88,,Offensive rebound by H. Whiteside
9:44.0,,,73-88,,Shooting foul by N. Hilario (drawn by H. Whiteside)
9:44.0,,,73-88,,H. Whiteside misses free throw 1 of 2
9:44.0,,,73-88,,Offensive rebound by Team
9:44.0,,,73-89,1,H. Whiteside makes free throw 2 of 2
9:29.0,N. Hilario misses 2-pt shot from 6 ft,,73-89,,
9:28.0,,,73-89,,Defensive rebound by J. McRoberts
9:20.0,,,73-89,,J. McRoberts misses 2-pt shot from 1 ft
9:19.0,,,73-89,,Offensive rebound by H. Whiteside
9:18.0,,,73-91,2,H. Whiteside makes 2-pt shot at rim
9:12.0,Offensive charge foul by M. Morris,,73-91,,
9:12.0,Turnover by M. Morris (offensive foul),,73-91,,
8:51.0,,,73-91,,Shooting foul by M. Morris (drawn by B. Udrih)
8:51.0,Official timeout,,73-91,,
8:51.0,,,73-92,1,B. Udrih makes free throw 1 of 2
8:51.0,,,73-92,,B. Udrih misses free throw 2 of 2
8:50.0,Defensive rebound by B. Beal,,73-92,,
8:32.0,N. Hilario makes 2-pt shot from 2 ft,2,75-92,,
8:12.0,,,75-92,,Shooting foul by B. Beal (drawn by L. Deng)
8:12.0,,,75-93,1,L. Deng makes free throw 1 of 2
8:12.0,J. Dudley enters the game for M. Morris,,75-93,,
8:12.0,,,75-94,1,L. Deng makes free throw 2 of 2
7:50.0,R. Sessions misses 2-pt shot from 1 ft,,75-94,,
7:49.0,,,75-94,,Defensive rebound by J. McRoberts
7:44.0,,,75-94,,B. Udrih misses 2-pt shot from 13 ft
7:43.0,,,75-94,,Offensive rebound by B. Udrih
7:30.0,,,75-94,,L. Deng misses 2-pt shot from 7 ft
7:27.0,,,75-94,,Offensive rebound by H. Whiteside
7:26.0,,,75-94,,H. Whiteside misses 2-pt shot at rim
7:25.0,,,75-94,,Offensive rebound by H. Whiteside
7:24.0,,,75-96,2,H. Whiteside makes 2-pt shot from 1 ft
7:17.0,J. Wall misses 3-pt shot from 26 ft,,75-96,,
7:16.0,,,75-96,,Defensive rebound by J. McRoberts
7:14.0,,,75-98,2,H. Whiteside makes 2-pt shot at rim (assist by J. McRoberts)
7:04.0,R. Sessions makes 2-pt shot from 2 ft,2,77-98,,
7:04.0,Shooting foul by B. Udrih (drawn by R. Sessions),,77-98,,
7:04.0,R. Sessions misses free throw 1 of 1,,77-98,,
7:02.0,,,77-98,,Defensive rebound by L. Deng
6:44.0,,,77-98,,B. Udrih misses 3-pt shot from 23 ft
6:43.0,,,77-98,,Offensive rebound by Team
6:43.0,M. Gortat enters the game for N. Hilario,,77-98,,
6:43.0,O. Porter enters the game for R. Sessions,,77-98,,
6:43.0,,,77-98,,G. Dragic enters the game for B. Udrih
