time,Phoenix,pts.away,score,pts.home,New Orleans
10:01.0,Defensive rebound by D. Booker,,57-58,,
9:51.0,M. Morris makes 3-pt shot from 26 ft (assist by B. Knight),3,60-58,,
9:44.0,,,60-58,,Turnover by E. Gordon (lost ball; steal by B. Knight)
9:31.0,P. Tucker misses 2-pt shot from 23 ft,,60-58,,
9:30.0,,,60-58,,Defensive rebound by A. Davis
9:19.0,,,60-61,3,E. Gordon makes 3-pt shot from 25 ft (assist by A. Davis)
8:47.0,D. Booker makes 2-pt shot from 1 ft,2,62-61,,
8:27.0,,,62-61,,E. Gordon misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by M. Morris,,62-61,,
8:21.0,,,62-61,,Personal foul by J. Holiday (drawn by M. Morris)
8:14.0,Offensive foul by T. Chandler,,62-61,,
8:14.0,Turnover by T. Chandler (offensive foul),,62-61,,
8:03.0,,,62-61,,A. Davis misses 2-pt shot from 19 ft
8:02.0,,,62-61,,Offensive rebound by Team
8:02.0,Loose ball foul by T. Chandler (drawn by O. Asik),,62-61,,
8:02.0,T. Warren enters the game for P. Tucker,,62-61,,
8:02.0,A. Len enters the game for T. Chandler,,62-61,,
7:57.0,,,62-63,2,J. Holiday makes 2-pt shot from 1 ft (assist by A. Gee)
7:41.0,B. Knight makes 3-pt shot from 26 ft,3,65-63,,
7:32.0,,,65-63,,Shooting foul by M. Morris (drawn by O. Asik)
7:32.0,,,65-64,1,O. Asik makes free throw 1 of 2
7:32.0,,,65-64,,I. Smith enters the game for J. Holiday
7:32.0,,,65-65,1,O. Asik makes free throw 2 of 2
7:25.0,D. Booker misses 2-pt shot from 17 ft,,65-65,,
7:24.0,,,65-65,,Defensive rebound by E. Gordon
7:14.0,,,65-65,,A. Davis misses 2-pt shot from 8 ft
7:13.0,,,65-65,,Offensive rebound by A. Davis
7:05.0,,,65-67,2,A. Davis makes 2-pt shot at rim (assist by A. Gee)
6:50.0,Turnover by B. Knight (lost ball; steal by I. Smith),,65-67,,
6:41.0,,,65-70,3,E. Gordon makes 3-pt shot from 24 ft (assist by A. Gee)
6:40.0,Phoenix full timeout,,65-70,,
6:26.0,M. Morris misses 2-pt shot from 1 ft,,65-70,,
6:25.0,,,65-70,,Defensive rebound by O. Asik
6:14.0,,,65-70,,Shooting foul by A. Len (drawn by A. Davis)
6:14.0,,,65-71,1,A. Davis makes free throw 1 of 2
6:14.0,,,65-71,,R. Anderson enters the game for O. Asik
6:14.0,P. Tucker enters the game for A. Len,,65-71,,
6:14.0,,,65-72,1,A. Davis makes free throw 2 of 2
5:49.0,T. Warren misses 2-pt shot from 16 ft,,65-72,,
5:48.0,,,65-72,,Defensive rebound by A. Davis
5:43.0,,,65-74,2,A. Gee makes 2-pt shot at rim (assist by I. Smith)
5:24.0,D. Booker makes 2-pt shot from 2 ft (assist by M. Morris),2,67-74,,
5:18.0,M. Teletovic enters the game for D. Booker,,67-74,,
5:10.0,,,67-74,,Shooting foul by B. Knight (drawn by E. Gordon)
5:10.0,,,67-74,,E. Gordon misses free throw 1 of 2
5:10.0,,,67-74,,Offensive rebound by Team
5:10.0,,,67-75,1,E. Gordon makes free throw 2 of 2
4:53.0,Turnover by B. Knight (bad pass; steal by E. Gordon),,67-75,,
4:47.0,,,67-78,3,E. Gordon makes 3-pt shot from 26 ft (assist by I. Smith)
4:22.0,B. Knight makes 3-pt shot from 27 ft,3,70-78,,
4:05.0,,,70-78,,A. Gee misses 3-pt shot from 24 ft
4:04.0,Defensive rebound by P. Tucker,,70-78,,
3:48.0,P. Tucker misses 2-pt shot from 1 ft (block by I. Smith),,70-78,,
3:46.0,Offensive rebound by P. Tucker,,70-78,,
3:46.0,P. Tucker makes 2-pt shot at rim,2,72-78,,
3:23.0,,,72-80,2,I. Smith makes 2-pt shot from 2 ft
3:12.0,B. Knight makes 2-pt shot from 18 ft,2,74-80,,
2:51.0,,,74-80,,E. Gordon misses 2-pt shot from 6 ft
2:50.0,Defensive rebound by M. Morris,,74-80,,
2:47.0,Shooting foul by E. Gordon (drawn by B. Knight),,74-80,,
2:47.0,,,74-80,,New Orleans full timeout
2:47.0,J. Leuer enters the game for M. Morris,,74-80,,
2:47.0,E. Bledsoe enters the game for T. Warren,,74-80,,
2:47.0,B. Knight makes free throw 1 of 2,1,75-80,,
2:47.0,B. Knight makes free throw 2 of 2,1,76-80,,
2:33.0,,,76-80,,Shooting foul by J. Leuer (drawn by A. Davis)
2:33.0,,,76-81,1,A. Davis makes free throw 1 of 2
2:33.0,,,76-82,1,A. Davis makes free throw 2 of 2
2:17.0,M. Teletovic makes 3-pt shot from 25 ft,3,79-82,,
1:54.0,,,79-82,,I. Smith misses 2-pt shot from 19 ft
1:53.0,Defensive rebound by P. Tucker,,79-82,,
1:49.0,Shooting foul by A. Gee (drawn by B. Knight),,79-82,,
1:49.0,B. Knight misses free throw 1 of 2,,79-82,,
1:49.0,Offensive rebound by Team,,79-82,,
1:49.0,B. Knight makes free throw 2 of 2,1,80-82,,
1:35.0,,,80-84,2,R. Anderson makes 2-pt shot from 20 ft
1:24.0,Turnover by E. Bledsoe (turnover),,80-84,,
1:13.0,,,80-84,,I. Smith misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by M. Teletovic,,80-84,,
1:07.0,Turnover by M. Teletovic (bad pass; steal by I. Smith),,80-84,,
0:59.0,,,80-84,,Turnover by I. Smith (bad pass; steal by B. Knight)
0:53.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by B. Knight),3,83-84,,
0:50.0,,,83-86,2,A. Davis makes 2-pt shot from 2 ft (assist by I. Smith)
0:36.0,B. Knight misses 2-pt shot from 1 ft,,83-86,,
0:34.0,,,83-86,,Defensive rebound by I. Smith
0:20.0,,,83-88,2,I. Smith makes 2-pt shot from 20 ft
0:20.0,Loose ball foul by E. Bledsoe (drawn by A. Davis),,83-88,,
0:20.0,,,83-88,,A. Davis misses free throw 1 of 1
0:20.0,,,83-88,,Offensive rebound by R. Anderson
0:19.0,,,83-88,,R. Anderson misses 2-pt shot from 4 ft (block by M. Teletovic)
0:19.0,,,83-88,,Offensive rebound by A. Davis
0:18.0,,,83-88,,A. Davis misses 2-pt shot at rim
0:18.0,,,83-88,,Offensive rebound by A. Davis
0:15.0,,,83-90,2,A. Davis makes 2-pt shot at rim
0:05.0,,,83-90,,Personal foul by A. Gee (drawn by B. Knight)
0:05.0,B. Knight makes free throw 1 of 2,1,84-90,,
0:05.0,B. Knight makes free throw 2 of 2,1,85-90,,
0:00.0,,,85-92,2,I. Smith makes 2-pt shot from 2 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,85-92,,Offensive foul by D. Cunningham
11:49.0,,,85-92,,Turnover by D. Cunningham (offensive foul)
11:33.0,M. Teletovic makes 3-pt shot from 25 ft (assist by M. Morris),3,88-92,,
11:11.0,,,88-92,,I. Smith misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by M. Teletovic,,88-92,,
11:00.0,M. Morris misses 2-pt shot from 13 ft,,88-92,,
10:59.0,,,88-92,,Defensive rebound by I. Smith
10:46.0,,,88-92,,L. Babbitt misses 3-pt shot from 24 ft
10:45.0,,,88-92,,Offensive rebound by I. Smith
10:45.0,,,88-92,,I. Smith misses 2-pt shot from 1 ft
10:43.0,Defensive rebound by M. Morris,,88-92,,
10:26.0,E. Bledsoe misses 2-pt shot from 2 ft,,88-92,,
10:25.0,Jump ball: D. Cunningham vs. M. Morris (R. Price gains possession),,,,Jump ball: D. Cunningham vs. M. Morris (R. Price gains possession)
10:25.0,Offensive rebound by Team,,88-92,,
10:19.0,R. Price misses 3-pt shot from 25 ft,,88-92,,
10:18.0,,,88-92,,Defensive rebound by D. Cunningham
10:12.0,,,88-92,,Turnover by J. Holiday (lost ball; steal by M. Morris)
10:00.0,,,88-92,,Personal foul by L. Babbitt (drawn by R. Price)
9:57.0,E. Bledsoe makes 3-pt shot from 24 ft,3,91-92,,
9:57.0,Shooting foul by J. Holiday (drawn by E. Bledsoe),,91-92,,
9:57.0,,,91-92,,A. Gee enters the game for D. Cunningham
9:57.0,,,91-92,,A. Davis enters the game for L. Babbitt
9:57.0,E. Bledsoe makes free throw 1 of 1,1,92-92,,
9:43.0,,,92-94,2,R. Anderson makes 2-pt shot from 18 ft (assist by A. Gee)
9:26.0,Offensive foul by M. Morris,,92-94,,
9:26.0,Turnover by M. Morris (offensive foul),,92-94,,
9:26.0,Technical foul by M. Morris,,92-94,,
9:26.0,,,92-95,1,R. Anderson makes technical free throw
9:11.0,,,92-95,,Shooting foul by R. Price (drawn by A. Davis)
9:11.0,,,92-96,1,A. Davis makes free throw 1 of 2
9:11.0,,,92-97,1,A. Davis makes free throw 2 of 2
8:59.0,Shooting foul by J. Holiday (drawn by E. Bledsoe),,92-97,,
8:59.0,E. Bledsoe makes free throw 1 of 2,1,93-97,,
8:59.0,,,93-97,,E. Gordon enters the game for J. Holiday
8:59.0,Official timeout,,93-97,,
8:59.0,E. Bledsoe makes free throw 2 of 2,1,94-97,,
8:40.0,,,94-97,,I. Smith misses 2-pt shot from 7 ft
8:36.0,,,94-97,,Offensive rebound by A. Davis
8:36.0,,,94-99,2,A. Davis makes 2-pt shot at rim
8:18.0,P. Tucker misses 3-pt shot from 24 ft,,94-99,,
8:17.0,Offensive rebound by P. Tucker,,94-99,,
8:14.0,P. Tucker makes 2-pt shot from 2 ft,2,96-99,,
8:07.0,,,96-99,,Turnover by E. Gordon (turnover)
8:07.0,B. Knight enters the game for R. Price,,96-99,,
7:54.0,E. Bledsoe misses 2-pt shot at rim,,96-99,,
7:53.0,,,96-99,,Defensive rebound by A. Gee
7:46.0,,,96-101,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Gordon)
7:23.0,M. Teletovic misses 2-pt shot from 6 ft,,96-101,,
7:22.0,,,96-101,,Defensive rebound by A. Davis
7:09.0,,,96-101,,I. Smith misses 2-pt shot from 10 ft
7:07.0,,,96-101,,Offensive rebound by A. Gee
7:05.0,,,96-101,,A. Gee misses 2-pt shot at rim
7:04.0,Defensive rebound by M. Morris,,96-101,,
6:57.0,B. Knight misses 3-pt shot from 26 ft,,96-101,,
6:54.0,Offensive rebound by P. Tucker,,96-101,,
6:54.0,P. Tucker misses 2-pt shot from 1 ft,,96-101,,
