time,Brooklyn,pts.away,score,pts.home,Miami
8:47.0,B. Bogdanovic misses 3-pt shot from 25 ft,,29-32,,
8:46.0,,,29-32,,Defensive rebound by T. Johnson
8:27.0,Personal foul by A. Bargnani (drawn by A. Stoudemire),,29-32,,
8:27.0,Official timeout,,29-32,,
8:27.0,T. Young enters the game for A. Bargnani,,29-32,,
8:15.0,,,29-35,3,G. Green makes 3-pt shot from 23 ft (assist by A. Stoudemire)
7:54.0,B. Lopez misses 2-pt shot from 10 ft,,29-35,,
7:53.0,Offensive rebound by B. Lopez,,29-35,,
7:53.0,Shooting foul by C. Bosh (drawn by B. Lopez),,29-35,,
7:53.0,B. Lopez makes free throw 1 of 2,1,30-35,,
7:53.0,B. Lopez makes free throw 2 of 2,1,31-35,,
7:35.0,,,31-37,2,B. Udrih makes 2-pt shot from 19 ft
7:19.0,W. Ellington misses 2-pt shot from 4 ft (block by T. Johnson),,31-37,,
7:18.0,,,31-37,,Defensive rebound by A. Stoudemire
7:13.0,Personal foul by T. Young (drawn by C. Bosh),,31-37,,
7:13.0,,,31-37,,L. Deng enters the game for C. Bosh
7:13.0,,,31-37,,H. Whiteside enters the game for T. Johnson
7:13.0,,,31-37,,D. Wade enters the game for A. Stoudemire
7:13.0,J. Johnson enters the game for W. Ellington,,31-37,,
7:13.0,J. Jack enters the game for S. Larkin,,31-37,,
7:03.0,,,31-37,,L. Deng misses 3-pt shot from 22 ft
7:02.0,Defensive rebound by B. Lopez,,31-37,,
6:57.0,T. Young makes 2-pt shot from 2 ft (assist by J. Jack),2,33-37,,
6:30.0,,,33-39,2,L. Deng makes 2-pt shot from 16 ft (assist by B. Udrih)
6:18.0,J. Jack misses 2-pt shot from 9 ft,,33-39,,
6:17.0,,,33-39,,Defensive rebound by L. Deng
6:10.0,Personal foul by T. Young (drawn by D. Wade),,33-39,,
6:10.0,,,33-40,1,D. Wade makes free throw 1 of 2
6:10.0,,,33-40,,G. Dragic enters the game for B. Udrih
6:10.0,W. Reed enters the game for B. Lopez,,33-40,,
6:10.0,,,33-40,,D. Wade misses free throw 2 of 2
6:09.0,Defensive rebound by B. Bogdanovic,,33-40,,
5:51.0,W. Reed misses 2-pt shot from 15 ft,,33-40,,
5:50.0,Offensive rebound by J. Johnson,,33-40,,
5:36.0,J. Jack makes 3-pt shot from 22 ft,3,36-40,,
5:19.0,,,36-43,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Wade)
5:11.0,B. Bogdanovic makes 2-pt shot from 4 ft (assist by J. Jack),2,38-43,,
4:48.0,,,38-43,,G. Green misses 3-pt shot from 23 ft
4:47.0,Defensive rebound by B. Bogdanovic,,38-43,,
4:36.0,W. Reed makes 2-pt shot from 3 ft (assist by J. Jack),2,40-43,,
4:28.0,,,40-43,,Miami full timeout
4:18.0,,,40-45,2,D. Wade makes 2-pt shot from 6 ft
4:02.0,Shooting foul by D. Wade (drawn by B. Bogdanovic),,40-45,,
4:02.0,B. Bogdanovic makes free throw 1 of 2,1,41-45,,
4:02.0,B. Bogdanovic makes free throw 2 of 2,1,42-45,,
3:45.0,Personal foul by J. Johnson (drawn by D. Wade),,42-45,,
3:45.0,,,42-46,1,D. Wade makes free throw 1 of 2
3:45.0,,,42-46,,C. Bosh enters the game for G. Green
3:45.0,,,42-47,1,D. Wade makes free throw 2 of 2
3:38.0,,,42-47,,Def 3 sec tech foul by C. Bosh
3:38.0,J. Jack makes technical free throw,1,43-47,,
3:22.0,J. Jack misses 2-pt shot from 16 ft (block by H. Whiteside),,43-47,,
3:21.0,,,43-47,,Defensive rebound by C. Bosh
3:11.0,,,43-47,,Turnover by H. Whiteside (traveling)
2:52.0,J. Jack misses 3-pt shot from 23 ft,,43-47,,
2:51.0,,,43-47,,Defensive rebound by C. Bosh
2:48.0,,,43-47,,Turnover by C. Bosh (bad pass; steal by T. Young)
2:43.0,B. Bogdanovic misses 2-pt shot from 10 ft (block by H. Whiteside),,43-47,,
2:42.0,Offensive rebound by J. Johnson,,43-47,,
2:36.0,Turnover by J. Johnson (bad pass; steal by L. Deng),,43-47,,
2:31.0,,,43-49,2,G. Dragic makes 2-pt shot from 1 ft
2:25.0,Brooklyn full timeout,,43-49,,
2:25.0,B. Lopez enters the game for W. Reed,,43-49,,
2:10.0,B. Lopez misses 2-pt shot from 1 ft,,43-49,,
2:09.0,,,43-49,,Defensive rebound by L. Deng
2:00.0,,,43-49,,Turnover by C. Bosh (bad pass; steal by T. Young)
1:51.0,B. Bogdanovic misses 3-pt shot from 22 ft,,43-49,,
1:50.0,Offensive rebound by B. Bogdanovic,,43-49,,
1:39.0,B. Lopez misses 2-pt shot from 1 ft,,43-49,,
1:38.0,,,43-49,,Defensive rebound by H. Whiteside
1:23.0,,,43-52,3,L. Deng makes 3-pt shot from 22 ft (assist by C. Bosh)
1:15.0,,,43-52,,Personal foul by H. Whiteside (drawn by B. Lopez)
1:09.0,B. Lopez misses 2-pt shot from 14 ft,,43-52,,
1:08.0,,,43-52,,Defensive rebound by C. Bosh
0:58.0,Personal foul by B. Bogdanovic (drawn by D. Wade),,43-52,,
0:58.0,,,43-53,1,D. Wade makes free throw 1 of 2
0:58.0,,,43-54,1,D. Wade makes free throw 2 of 2
0:48.0,B. Lopez misses 2-pt shot from 3 ft,,43-54,,
0:47.0,Offensive rebound by T. Young,,43-54,,
0:46.0,,,43-54,,Personal foul by L. Deng (drawn by T. Young)
0:46.0,T. Young makes free throw 1 of 2,1,44-54,,
0:46.0,T. Young misses free throw 2 of 2,,44-54,,
0:45.0,,,44-54,,Defensive rebound by H. Whiteside
0:23.0,,,44-56,2,H. Whiteside makes 2-pt shot from 1 ft (assist by C. Bosh)
0:18.0,Brooklyn full timeout,,44-56,,
0:18.0,A. Bargnani enters the game for T. Young,,44-56,,
0:18.0,,,44-56,,G. Green enters the game for L. Deng
0:07.0,Offensive foul by B. Lopez,,44-56,,
0:07.0,Turnover by B. Lopez (offensive foul),,44-56,,
0:07.0,T. Young enters the game for B. Lopez,,44-56,,
0:06.0,,,44-56,,Miami full timeout
0:06.0,W. Reed enters the game for A. Bargnani,,44-56,,
0:02.0,,,44-58,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,44-58,,Shooting foul by T. Young (drawn by H. Whiteside)
11:44.0,,,44-59,1,H. Whiteside makes free throw 1 of 2
11:44.0,,,44-60,1,H. Whiteside makes free throw 2 of 2
11:22.0,B. Lopez makes 2-pt shot from 7 ft (assist by S. Larkin),2,46-60,,
11:07.0,,,46-60,,L. Deng misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by S. Larkin,,46-60,,
10:55.0,W. Ellington makes 3-pt shot from 23 ft (assist by S. Larkin),3,49-60,,
10:46.0,,,49-60,,Turnover by H. Whiteside (bad pass; steal by W. Ellington)
10:43.0,W. Ellington misses 2-pt shot from 2 ft (block by H. Whiteside),,49-60,,
10:42.0,Offensive rebound by S. Larkin,,49-60,,
10:41.0,S. Larkin makes 2-pt shot from 1 ft,2,51-60,,
10:12.0,,,51-63,3,L. Deng makes 3-pt shot from 22 ft (assist by G. Dragic)
9:49.0,B. Lopez makes 2-pt shot from 2 ft (assist by S. Larkin),2,53-63,,
9:31.0,,,53-66,3,C. Bosh makes 3-pt shot from 23 ft (assist by D. Wade)
9:20.0,T. Young makes 3-pt shot from 24 ft (assist by J. Johnson),3,56-66,,
8:53.0,,,56-68,2,L. Deng makes 2-pt shot from 2 ft
8:38.0,B. Lopez makes 2-pt shot from 10 ft (assist by S. Larkin),2,58-68,,
8:17.0,,,58-68,,Shooting foul by T. Young (drawn by C. Bosh)
8:17.0,,,58-68,,C. Bosh misses free throw 1 of 2
8:17.0,,,58-68,,Offensive rebound by Team
8:17.0,T. Robinson enters the game for T. Young,,58-68,,
8:17.0,,,58-69,1,C. Bosh makes free throw 2 of 2
8:05.0,B. Lopez misses 2-pt shot from 11 ft,,58-69,,
8:04.0,Offensive rebound by T. Robinson,,58-69,,
8:03.0,T. Robinson makes 2-pt shot at rim,2,60-69,,
7:43.0,,,60-69,,L. Deng misses 2-pt shot from 8 ft
7:42.0,,,60-69,,Offensive rebound by H. Whiteside
7:41.0,,,60-69,,H. Whiteside misses 2-pt shot from 1 ft
7:40.0,Defensive rebound by T. Robinson,,60-69,,
7:27.0,,,60-69,,Personal foul by L. Deng (drawn by J. Johnson)
7:19.0,S. Larkin misses 2-pt shot from 1 ft (block by H. Whiteside),,60-69,,
7:18.0,,,60-69,,Defensive rebound by G. Dragic
7:11.0,,,60-69,,L. Deng misses 2-pt shot from 7 ft
7:10.0,Defensive rebound by J. Johnson,,60-69,,
7:05.0,Turnover by B. Lopez (bad pass),,60-69,,
6:51.0,,,60-69,,C. Bosh misses 2-pt shot from 13 ft
6:50.0,Defensive rebound by J. Johnson,,60-69,,
6:37.0,B. Lopez misses 2-pt shot from 19 ft,,60-69,,
6:36.0,,,60-69,,Defensive rebound by C. Bosh
6:24.0,,,60-69,,D. Wade misses 2-pt shot from 15 ft
6:23.0,Defensive rebound by B. Lopez,,60-69,,
6:11.0,B. Lopez makes 2-pt shot from 6 ft (assist by W. Ellington),2,62-69,,
6:11.0,,,62-69,,Miami full timeout
6:11.0,,,62-69,,G. Green enters the game for C. Bosh
5:55.0,,,62-69,,Turnover by L. Deng (traveling)
5:47.0,,,62-69,,Personal foul by H. Whiteside (drawn by B. Lopez)
5:31.0,J. Johnson makes 3-pt shot from 27 ft (assist by S. Larkin),3,65-69,,
5:12.0,,,65-69,,G. Green misses 3-pt shot from 23 ft
5:11.0,Defensive rebound by S. Larkin,,65-69,,
5:02.0,W. Ellington makes 3-pt shot from 23 ft (assist by J. Johnson),3,68-69,,
4:38.0,,,68-69,,G. Dragic misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by B. Lopez,,68-69,,
4:28.0,Turnover by S. Larkin (bad pass; steal by G. Dragic),,68-69,,
4:24.0,,,68-71,2,G. Dragic makes 2-pt shot at rim
4:10.0,T. Robinson makes 2-pt shot from 1 ft,2,70-71,,
3:51.0,,,70-71,,Turnover by D. Wade (lost ball)
3:51.0,,,70-71,,Loose ball foul by D. Wade (drawn by T. Robinson)
3:51.0,,,70-71,,C. Bosh enters the game for L. Deng
3:51.0,,,70-71,,T. Johnson enters the game for D. Wade
3:37.0,W. Ellington misses 2-pt shot from 19 ft,,70-71,,
3:36.0,,,70-71,,Defensive rebound by G. Green
3:18.0,,,70-71,,T. Johnson misses 2-pt shot from 20 ft
3:17.0,,,70-71,,Offensive rebound by C. Bosh
3:10.0,,,70-71,,G. Green misses 3-pt shot from 23 ft
3:09.0,,,70-71,,Offensive rebound by C. Bosh
2:51.0,,,70-74,3,C. Bosh makes 3-pt shot from 24 ft (assist by T. Johnson)
2:32.0,B. Lopez makes 2-pt shot from 1 ft (assist by S. Larkin),2,72-74,,
2:32.0,Shooting foul by H. Whiteside (drawn by B. Lopez),,72-74,,
2:32.0,Brooklyn full timeout,,72-74,,
2:32.0,,,72-74,,A. Stoudemire enters the game for H. Whiteside
2:32.0,B. Lopez makes free throw 1 of 1,1,73-74,,
2:07.0,,,73-74,,G. Green misses 3-pt shot from 26 ft
2:06.0,Defensive rebound by B. Lopez,,73-74,,
1:44.0,W. Ellington makes 3-pt shot from 24 ft (assist by S. Larkin),3,76-74,,
1:28.0,,,76-74,,T. Johnson misses 3-pt shot from 25 ft
1:27.0,,,76-74,,Offensive rebound by T. Johnson
1:11.0,,,76-74,,Shooting foul by B. Lopez (drawn by A. Stoudemire)
1:11.0,,,76-75,1,A. Stoudemire makes free throw 1 of 2
1:11.0,B. Bogdanovic enters the game for J. Johnson,,76-75,,
1:11.0,,,76-75,,B. Udrih enters the game for G. Dragic
1:11.0,,,76-76,1,A. Stoudemire makes free throw 2 of 2
0:57.0,W. Ellington misses 2-pt shot from 12 ft,,76-76,,
0:56.0,Offensive rebound by B. Bogdanovic,,76-76,,
0:47.0,B. Lopez misses 2-pt shot from 8 ft,,76-76,,
0:44.0,,,76-76,,Defensive rebound by T. Johnson
0:35.0,,,76-76,,Shooting foul by T. Robinson (drawn by C. Bosh)
0:35.0,,,76-77,1,C. Bosh makes free throw 1 of 2
0:35.0,,,76-77,,C. Bosh misses free throw 2 of 2
0:34.0,Defensive rebound by B. Lopez,,76-77,,
0:24.0,W. Ellington makes 2-pt shot from 18 ft,2,78-77,,
0:00.0,,,78-77,,Turnover by A. Stoudemire (offensive goaltending)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,W. Ellington misses 2-pt shot from 21 ft,,78-77,,
11:42.0,,,78-77,,Defensive rebound by T. Johnson
11:38.0,Personal foul by J. Jack (drawn by B. Udrih),,78-77,,
11:22.0,,,78-77,,G. Green misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by Team,,78-77,,
11:00.0,T. Young misses 2-pt shot from 2 ft,,78-77,,
10:59.0,Offensive rebound by W. Reed,,78-77,,
10:58.0,W. Reed makes 2-pt shot at rim,2,80-77,,
10:35.0,,,80-77,,B. Udrih misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by T. Young,,80-77,,
10:26.0,Turnover by J. Jack (bad pass; steal by T. Johnson),,80-77,,
10:20.0,,,80-77,,T. Johnson misses 2-pt shot from 1 ft
10:19.0,Defensive rebound by B. Bogdanovic,,80-77,,
10:10.0,W. Ellington misses 3-pt shot from 23 ft,,80-77,,
10:09.0,,,80-77,,Defensive rebound by A. Stoudemire
9:50.0,,,80-77,,A. Stoudemire misses 2-pt shot at rim
9:49.0,Defensive rebound by W. Ellington,,80-77,,
9:39.0,J. Jack misses 3-pt shot from 24 ft,,80-77,,
9:38.0,Offensive rebound by W. Reed,,80-77,,
9:35.0,W. Ellington makes 3-pt shot from 24 ft (assist by W. Reed),3,83-77,,
9:18.0,Personal foul by J. Jack (drawn by B. Udrih),,83-77,,
9:03.0,,,83-79,2,T. Johnson makes 2-pt shot from 1 ft
8:39.0,B. Bogdanovic makes 3-pt shot from 22 ft,3,86-79,,
8:17.0,,,86-81,2,A. Stoudemire makes 2-pt shot at rim (assist by C. Bosh)
7:57.0,Shooting foul by A. Stoudemire (drawn by J. Jack),,86-81,,
7:57.0,Official timeout,,86-81,,
7:57.0,J. Jack makes free throw 1 of 2,1,87-81,,
7:57.0,J. Jack makes free throw 2 of 2,1,88-81,,
7:42.0,,,88-81,,B. Udrih misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by T. Young,,88-81,,
7:23.0,Turnover by W. Ellington (bad pass; steal by G. Green),,88-81,,
7:11.0,,,88-81,,T. Johnson misses 2-pt shot from 1 ft (block by W. Reed)
7:10.0,Defensive rebound by W. Reed,,88-81,,
7:09.0,Turnover by W. Reed (lost ball; steal by A. Stoudemire),,88-81,,
7:08.0,,,88-81,,A. Stoudemire misses 2-pt shot from 2 ft (block by W. Reed)
7:07.0,Defensive rebound by J. Jack,,88-81,,
6:59.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Jack),3,91-81,,
6:59.0,,,91-81,,Miami full timeout
6:59.0,,,91-81,,D. Wade enters the game for C. Bosh
6:59.0,,,91-81,,H. Whiteside enters the game for T. Johnson
6:59.0,,,91-81,,L. Deng enters the game for A. Stoudemire
6:59.0,,,91-81,,G. Dragic enters the game for B. Udrih
6:51.0,Personal foul by W. Ellington (drawn by D. Wade),,91-81,,
6:33.0,,,91-81,,G. Dragic misses 2-pt shot from 21 ft
6:32.0,,,91-81,,Offensive rebound by H. Whiteside
6:32.0,,,91-81,,Shooting foul by W. Reed (drawn by H. Whiteside)
6:32.0,,,91-82,1,H. Whiteside makes free throw 1 of 2
6:32.0,,,91-82,,H. Whiteside misses free throw 2 of 2
6:31.0,Defensive rebound by B. Bogdanovic,,91-82,,
6:14.0,W. Ellington makes 2-pt shot from 19 ft,2,93-82,,
5:55.0,,,93-84,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
5:55.0,,,93-84,,Shooting foul by W. Reed (drawn by H. Whiteside)
5:55.0,B. Lopez enters the game for W. Reed,,93-84,,
5:55.0,J. Johnson enters the game for B. Bogdanovic,,93-84,,
5:55.0,,,93-85,1,H. Whiteside makes free throw 1 of 1
5:42.0,T. Young misses 2-pt shot from 4 ft (block by L. Deng),,93-85,,
5:42.0,Offensive rebound by Team,,93-85,,
5:33.0,J. Jack makes 2-pt shot from 8 ft,2,95-85,,
5:19.0,,,95-87,2,H. Whiteside makes 2-pt shot from 5 ft (assist by D. Wade)
4:57.0,W. Ellington misses 3-pt shot from 26 ft,,95-87,,
4:56.0,,,95-87,,Defensive rebound by D. Wade
4:44.0,,,95-87,,L. Deng misses 2-pt shot from 20 ft
4:43.0,Defensive rebound by J. Johnson,,95-87,,
4:28.0,Shooting foul by G. Dragic (drawn by T. Young),,95-87,,
4:28.0,T. Young misses free throw 1 of 2,,95-87,,
4:28.0,Offensive rebound by Team,,95-87,,
4:28.0,T. Young makes free throw 2 of 2,1,96-87,,
4:16.0,,,96-87,,G. Green misses 3-pt shot from 24 ft
4:15.0,,,96-87,,Offensive rebound by H. Whiteside
4:04.0,,,96-87,,D. Wade misses 2-pt shot from 18 ft
4:03.0,Defensive rebound by J. Jack,,96-87,,
3:45.0,Shooting foul by H. Whiteside (drawn by B. Lopez),,96-87,,
3:45.0,B. Lopez makes free throw 1 of 2,1,97-87,,
3:45.0,,,97-87,,C. Bosh enters the game for L. Deng
3:45.0,B. Lopez makes free throw 2 of 2,1,98-87,,
3:33.0,,,98-87,,D. Wade misses 2-pt shot from 2 ft
3:32.0,,,98-87,,Offensive rebound by H. Whiteside
3:32.0,,,98-89,2,H. Whiteside makes 2-pt shot from 6 ft
3:32.0,,,98-89,,Shooting foul by B. Lopez (drawn by H. Whiteside)
3:32.0,,,98-89,,H. Whiteside misses free throw 1 of 1
3:31.0,Defensive rebound by T. Young,,98-89,,
3:17.0,B. Lopez misses 2-pt shot from 2 ft,,98-89,,
3:16.0,,,98-89,,Defensive rebound by C. Bosh
3:07.0,,,98-89,,Turnover by D. Wade (lost ball; steal by T. Young)
3:04.0,Brooklyn full timeout,,98-89,,
2:45.0,W. Ellington misses 2-pt shot from 20 ft,,98-89,,
2:44.0,,,98-89,,Defensive rebound by H. Whiteside
2:24.0,,,98-91,2,G. Dragic makes 2-pt shot from 1 ft
2:13.0,Turnover by T. Young (lost ball; steal by H. Whiteside),,98-91,,
2:05.0,,,98-91,,G. Dragic misses 2-pt shot at rim
2:04.0,Defensive rebound by W. Ellington,,98-91,,
