time,Brooklyn,pts.away,score,pts.home,Dallas
0:36.0,Defensive rebound by S. Larkin,,55-69,,
0:24.0,Turnover by T. Young (bad pass; steal by R. Felton),,55-69,,
0:01.0,,,55-71,2,R. Felton makes 2-pt shot from 20 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,A. Bargnani misses 2-pt shot from 15 ft,,55-71,,
11:38.0,,,55-71,,Defensive rebound by J. Barea
11:26.0,Shooting block foul by W. Ellington (drawn by R. Felton),,55-71,,
11:26.0,,,55-72,1,R. Felton makes free throw 1 of 2
11:26.0,,,55-72,,R. Felton misses free throw 2 of 2
11:25.0,Defensive rebound by T. Robinson,,55-72,,
11:13.0,A. Bargnani makes 2-pt shot from 14 ft (assist by T. Robinson),2,57-72,,
10:59.0,Personal foul by W. Ellington (drawn by D. Nowitzki),,57-72,,
10:47.0,,,57-72,,D. Nowitzki misses 2-pt shot from 17 ft
10:46.0,Defensive rebound by A. Bargnani,,57-72,,
10:34.0,S. Larkin misses 3-pt shot from 23 ft,,57-72,,
10:32.0,Offensive rebound by A. Bargnani,,57-72,,
10:32.0,A. Bargnani misses 2-pt shot from 3 ft (block by D. Nowitzki),,57-72,,
10:30.0,,,57-72,,Defensive rebound by D. Nowitzki
10:23.0,Personal foul by A. Bargnani (drawn by D. Nowitzki),,57-72,,
10:13.0,,,57-72,,D. Nowitzki misses 2-pt shot from 19 ft
10:13.0,Defensive rebound by T. Robinson,,57-72,,
10:12.0,Flagrant foul type 1 by A. Bargnani (drawn by S. Mejri),,57-72,,
10:12.0,Turnover by A. Bargnani (offensive foul),,57-72,,
10:12.0,,,57-72,,S. Mejri misses flagrant free throw 1 of 2
10:12.0,,,57-72,,Offensive rebound by Team
10:12.0,,,57-73,1,S. Mejri makes flagrant free throw 2 of 2
9:57.0,,,57-73,,D. Nowitzki misses 2-pt shot from 18 ft
9:57.0,Defensive rebound by A. Bargnani,,57-73,,
9:57.0,,,57-73,,Loose ball foul by S. Mejri (drawn by A. Bargnani)
9:35.0,A. Bargnani misses 2-pt shot from 13 ft,,57-73,,
9:34.0,,,57-73,,Defensive rebound by Team
9:20.0,,,57-75,2,J. Anderson makes 2-pt shot from 18 ft
8:56.0,W. Ellington makes 2-pt shot from 21 ft,2,59-75,,
8:45.0,,,59-75,,J. Barea misses 2-pt shot from 17 ft
8:43.0,,,59-75,,Offensive rebound by S. Mejri
8:42.0,,,59-77,2,S. Mejri makes 2-pt shot from 1 ft
8:42.0,Brooklyn full timeout,,59-77,,
8:42.0,J. Johnson enters the game for A. Bargnani,,59-77,,
8:42.0,B. Lopez enters the game for B. Bogdanovic,,59-77,,
8:42.0,T. Young enters the game for S. Larkin,,59-77,,
8:42.0,D. Sloan enters the game for T. Robinson,,59-77,,
8:29.0,J. Johnson misses 3-pt shot from 24 ft,,59-77,,
8:28.0,Offensive rebound by B. Lopez,,59-77,,
8:21.0,W. Ellington makes 2-pt shot from 1 ft (assist by B. Lopez),2,61-77,,
8:05.0,,,61-77,,Turnover by R. Felton (bad pass; steal by T. Young)
7:58.0,B. Lopez misses 2-pt shot at rim,,61-77,,
7:57.0,Offensive rebound by B. Lopez,,61-77,,
7:57.0,B. Lopez misses 2-pt shot at rim,,61-77,,
7:56.0,Offensive rebound by B. Lopez,,61-77,,
7:54.0,Shooting foul by D. Nowitzki (drawn by B. Lopez),,61-77,,
7:54.0,B. Lopez makes free throw 1 of 2,1,62-77,,
7:54.0,,,62-77,,C. Parsons enters the game for D. Nowitzki
7:54.0,,,62-77,,Z. Pachulia enters the game for S. Mejri
7:54.0,,,62-77,,W. Matthews enters the game for J. Anderson
7:54.0,,,62-77,,D. Williams enters the game for R. Felton
7:54.0,B. Lopez makes free throw 2 of 2,1,63-77,,
7:32.0,,,63-77,,Z. Pachulia misses 2-pt shot from 7 ft
7:31.0,Defensive rebound by W. Ellington,,63-77,,
7:20.0,W. Ellington makes 3-pt shot from 23 ft (assist by T. Young),3,66-77,,
7:19.0,,,66-77,,Dallas full timeout
7:03.0,,,66-79,2,Z. Pachulia makes 2-pt shot from 16 ft (assist by D. Williams)
6:41.0,W. Ellington misses 3-pt shot from 23 ft,,66-79,,
6:39.0,,,66-79,,Defensive rebound by C. Parsons
6:16.0,,,66-81,2,J. Barea makes 2-pt shot at rim (assist by Z. Pachulia)
5:53.0,B. Lopez misses 2-pt shot from 11 ft,,66-81,,
5:52.0,,,66-81,,Defensive rebound by W. Matthews
5:41.0,Personal foul by J. Johnson (drawn by Z. Pachulia),,66-81,,
5:41.0,,,66-82,1,Z. Pachulia makes free throw 1 of 2
5:41.0,,,66-82,,Z. Pachulia misses free throw 2 of 2
5:41.0,Defensive rebound by T. Young,,66-82,,
5:25.0,B. Lopez makes 2-pt shot from 1 ft,2,68-82,,
5:06.0,,,68-82,,C. Parsons misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by B. Lopez,,68-82,,
4:55.0,D. Sloan misses 2-pt shot from 21 ft,,68-82,,
4:54.0,,,68-82,,Defensive rebound by Z. Pachulia
4:45.0,,,68-82,,C. Parsons misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by W. Ellington,,68-82,,
4:32.0,D. Sloan misses 3-pt shot from 23 ft,,68-82,,
4:30.0,,,68-82,,Defensive rebound by C. Parsons
4:14.0,,,68-82,,D. Williams misses 2-pt shot from 21 ft
4:13.0,,,68-82,,Offensive rebound by W. Matthews
3:57.0,,,68-84,2,C. Parsons makes 2-pt shot from 1 ft (assist by Z. Pachulia)
3:46.0,,,68-84,,Personal block foul by D. Williams (drawn by D. Sloan)
3:30.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Johnson),2,70-84,,
3:10.0,,,70-87,3,J. Barea makes 3-pt shot from 24 ft (assist by D. Williams)
2:59.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan),3,73-87,,
2:44.0,,,73-87,,Turnover by Z. Pachulia (bad pass; steal by W. Ellington)
2:29.0,W. Ellington misses 3-pt shot from 23 ft,,73-87,,
2:29.0,,,73-87,,Defensive rebound by C. Parsons
2:12.0,,,73-87,,J. Barea misses 2-pt shot from 10 ft
2:11.0,Defensive rebound by T. Young,,73-87,,
2:02.0,D. Sloan makes 2-pt shot at rim,2,75-87,,
2:02.0,Shooting foul by J. Barea (drawn by D. Sloan),,75-87,,
2:02.0,Official timeout,,75-87,,
2:02.0,,,75-87,,S. Mejri enters the game for Z. Pachulia
2:02.0,D. Sloan makes free throw 1 of 1,1,76-87,,
1:47.0,,,76-89,2,C. Parsons makes 2-pt shot from 17 ft (assist by J. Barea)
1:40.0,,,76-89,,Personal foul by C. Parsons (drawn by J. Johnson)
1:40.0,J. Johnson makes free throw 1 of 2,1,77-89,,
1:40.0,,,77-89,,R. Felton enters the game for D. Williams
1:40.0,J. Johnson makes free throw 2 of 2,1,78-89,,
1:20.0,,,78-89,,Shooting foul by B. Lopez (drawn by S. Mejri)
1:20.0,,,78-90,1,S. Mejri makes free throw 1 of 2
1:20.0,,,78-90,,Violation by Team (jump ball)
1:20.0,,,78-90,,J. Anderson enters the game for C. Parsons
1:20.0,,,78-91,1,S. Mejri makes free throw 2 of 2
1:10.0,Shooting foul by S. Mejri (drawn by B. Lopez),,78-91,,
1:10.0,B. Lopez misses free throw 1 of 2,,78-91,,
1:10.0,Offensive rebound by Team,,78-91,,
1:10.0,,,78-91,,D. Powell enters the game for W. Matthews
1:10.0,T. Robinson enters the game for J. Johnson,,78-91,,
1:10.0,B. Bogdanovic enters the game for T. Young,,78-91,,
1:10.0,S. Karasev enters the game for W. Ellington,,78-91,,
1:10.0,S. Larkin enters the game for D. Sloan,,78-91,,
1:10.0,B. Lopez makes free throw 2 of 2,1,79-91,,
1:00.0,Personal take foul by S. Larkin,,79-91,,
1:00.0,,,79-91,,J. Barea misses free throw 1 of 2
1:00.0,,,79-91,,Offensive rebound by Team
