time,LA Clippers,pts.away,score,pts.home,Toronto
1:00.0,,,32-24,1,B. Biyombo makes free throw 1 of 1
0:46.0,A. Rivers misses 3-pt shot from 23 ft,,32-24,,
0:46.0,,,32-24,,Defensive rebound by C. Joseph
0:38.0,P. Prigioni enters the game for L. Mbah a Moute,,32-24,,
0:29.0,Personal foul by P. Prigioni (drawn by C. Joseph),,32-24,,
0:29.0,,,32-25,1,C. Joseph makes free throw 1 of 2
0:29.0,,,32-26,1,C. Joseph makes free throw 2 of 2
0:07.0,J. Crawford makes 2-pt shot from 16 ft,2,34-26,,
0:01.0,,,34-26,,Shooting foul by C. Aldrich (drawn by B. Biyombo)
0:01.0,,,34-26,,B. Biyombo misses free throw 1 of 2
0:01.0,,,34-26,,Offensive rebound by Team
0:01.0,,,34-27,1,B. Biyombo makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,34-27,,T. Ross misses 2-pt shot from 20 ft
11:42.0,,,34-27,,Offensive rebound by P. Patterson
11:40.0,,,34-29,2,P. Patterson makes 2-pt shot from 2 ft
11:19.0,C. Aldrich misses 2-pt shot from 2 ft (block by P. Patterson),,34-29,,
11:18.0,,,34-29,,Defensive rebound by B. Biyombo
11:06.0,,,34-32,3,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry)
10:47.0,J. Crawford misses 2-pt shot from 8 ft,,34-32,,
10:47.0,,,34-32,,Defensive rebound by P. Patterson
10:33.0,,,34-32,,P. Patterson misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by C. Aldrich,,34-32,,
10:25.0,Turnover by P. Prigioni (lost ball; steal by C. Joseph),,34-32,,
10:19.0,,,34-32,,P. Patterson misses 3-pt shot from 22 ft
10:19.0,,,34-32,,Offensive rebound by B. Biyombo
10:17.0,,,34-34,2,B. Biyombo makes 2-pt shot at rim
9:58.0,,,34-34,,Def 3 sec tech foul by K. Lowry
9:58.0,J. Crawford makes technical free throw,1,35-34,,
9:55.0,,,35-34,,Personal foul by T. Ross (drawn by A. Rivers)
9:49.0,Turnover by A. Rivers (bad pass),,35-34,,
9:38.0,,,35-34,,Turnover by C. Joseph (bad pass; steal by W. Johnson)
9:26.0,Turnover by P. Prigioni (bad pass; steal by C. Joseph),,35-34,,
9:19.0,,,35-36,2,B. Biyombo makes 2-pt shot at rim (assist by T. Ross)
9:16.0,LA Clippers full timeout,,35-36,,
9:05.0,Offensive foul by C. Aldrich,,35-36,,
9:05.0,Turnover by C. Aldrich (offensive foul),,35-36,,
8:51.0,,,35-38,2,T. Ross makes 2-pt shot from 17 ft (assist by P. Patterson)
8:39.0,Turnover by A. Rivers (bad pass; steal by T. Ross),,35-38,,
8:35.0,,,35-38,,Turnover by T. Ross (bad pass)
8:21.0,J. Crawford misses 3-pt shot from 24 ft,,35-38,,
8:21.0,,,35-38,,Defensive rebound by P. Patterson
8:09.0,,,35-41,3,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson)
7:55.0,Turnover by P. Prigioni (lost ball; steal by P. Patterson),,35-41,,
7:45.0,,,35-44,3,P. Patterson makes 3-pt shot from 22 ft (assist by K. Lowry)
7:42.0,LA Clippers full timeout,,35-44,,
7:42.0,J. Redick enters the game for A. Rivers,,35-44,,
7:42.0,D. Jordan enters the game for C. Aldrich,,35-44,,
7:42.0,C. Paul enters the game for P. Prigioni,,35-44,,
7:25.0,C. Paul makes 2-pt shot from 4 ft,2,37-44,,
7:16.0,,,37-46,2,C. Joseph makes 2-pt shot from 2 ft
7:13.0,Turnover by J. Crawford (lost ball),,37-46,,
7:13.0,,,37-46,,Technical foul by P. Patterson
7:13.0,Technical foul by J. Crawford,,37-46,,
7:00.0,,,37-48,2,C. Joseph makes 2-pt shot from 21 ft
6:36.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,40-48,,
6:20.0,,,40-51,3,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph)
6:04.0,,,40-51,,Personal foul by P. Patterson (drawn by D. Jordan)
6:04.0,L. Mbah a Moute enters the game for W. Johnson,,40-51,,
6:04.0,P. Pierce enters the game for J. Crawford,,40-51,,
6:04.0,,,40-51,,L. Scola enters the game for P. Patterson
6:04.0,,,40-51,,D. DeRozan enters the game for C. Joseph
5:59.0,J. Redick misses 3-pt shot from 25 ft,,40-51,,
5:59.0,,,40-51,,Defensive rebound by L. Scola
5:47.0,,,40-54,3,K. Lowry makes 3-pt shot from 24 ft (assist by L. Scola)
5:20.0,C. Paul misses 3-pt shot from 25 ft,,40-54,,
5:20.0,Offensive rebound by D. Jordan,,40-54,,
5:15.0,D. Jordan makes 2-pt shot from 1 ft,2,42-54,,
5:04.0,,,42-54,,D. DeRozan misses 2-pt shot from 3 ft
5:04.0,Defensive rebound by P. Pierce,,42-54,,
4:52.0,C. Paul misses 3-pt shot from 24 ft,,42-54,,
4:52.0,,,42-54,,Defensive rebound by D. DeRozan
4:39.0,,,42-54,,K. Lowry misses 3-pt shot from 25 ft
4:37.0,,,42-54,,Offensive rebound by Team
4:37.0,Loose ball foul by P. Pierce (drawn by B. Biyombo),,42-54,,
4:37.0,Official timeout,,42-54,,
4:37.0,,,42-54,,J. Valanciunas enters the game for T. Ross
4:37.0,,,42-54,,J. Johnson enters the game for B. Biyombo
4:27.0,,,42-56,2,K. Lowry makes 2-pt shot from 16 ft
4:09.0,C. Paul makes 3-pt shot from 24 ft (assist by J. Redick),3,45-56,,
3:57.0,,,45-56,,D. DeRozan misses 2-pt shot from 2 ft
3:56.0,,,45-56,,Offensive rebound by Team
3:56.0,Loose ball foul by L. Mbah a Moute (drawn by J. Valanciunas),,45-56,,
3:46.0,Personal block foul by J. Redick (drawn by K. Lowry),,45-56,,
3:33.0,,,45-56,,D. DeRozan misses 2-pt shot from 19 ft
3:32.0,Defensive rebound by P. Pierce,,45-56,,
3:20.0,C. Paul misses 2-pt shot from 18 ft (block by L. Scola),,45-56,,
3:19.0,,,45-56,,Defensive rebound by J. Johnson
3:09.0,,,45-56,,L. Scola misses 2-pt shot from 10 ft
3:09.0,Defensive rebound by D. Jordan,,45-56,,
2:54.0,P. Pierce misses 3-pt shot from 25 ft,,45-56,,
2:53.0,Offensive rebound by Team,,45-56,,
2:53.0,,,45-56,,Loose ball foul by J. Valanciunas (drawn by D. Jordan)
2:53.0,,,45-56,,Toronto full timeout
2:53.0,,,45-56,,C. Joseph enters the game for K. Lowry
2:43.0,J. Redick misses 2-pt shot from 22 ft,,45-56,,
2:43.0,,,45-56,,Defensive rebound by L. Scola
2:33.0,,,45-58,2,D. DeRozan makes 2-pt shot from 2 ft
2:17.0,Shooting foul by L. Scola (drawn by L. Mbah a Moute),,45-58,,
2:17.0,L. Mbah a Moute misses free throw 1 of 2,,45-58,,
2:17.0,Offensive rebound by Team,,45-58,,
2:17.0,W. Johnson enters the game for P. Pierce,,45-58,,
2:17.0,L. Mbah a Moute makes free throw 2 of 2,1,46-58,,
2:06.0,,,46-58,,D. DeRozan misses 2-pt shot from 21 ft
2:06.0,Defensive rebound by W. Johnson,,46-58,,
1:52.0,Offensive charge foul by C. Paul,,46-58,,
1:52.0,Turnover by C. Paul (offensive foul),,46-58,,
1:31.0,,,46-60,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by J. Johnson)
1:14.0,C. Paul misses 2-pt shot from 17 ft,,46-60,,
1:14.0,,,46-60,,Defensive rebound by L. Scola
1:07.0,,,46-60,,Turnover by J. Valanciunas (lost ball; steal by C. Paul)
1:02.0,Shooting foul by J. Valanciunas (drawn by L. Mbah a Moute),,46-60,,
1:02.0,L. Mbah a Moute makes free throw 1 of 2,1,47-60,,
1:02.0,,,47-60,,B. Biyombo enters the game for J. Valanciunas
1:02.0,L. Mbah a Moute makes free throw 2 of 2,1,48-60,,
0:39.0,,,48-62,2,C. Joseph makes 2-pt shot from 18 ft
0:34.0,,,48-62,,Personal foul by C. Joseph (drawn by D. Jordan)
0:34.0,D. Jordan makes free throw 1 of 2,1,49-62,,
0:34.0,D. Jordan misses free throw 2 of 2,,49-62,,
0:34.0,Offensive rebound by W. Johnson,,49-62,,
0:27.0,J. Redick misses 3-pt shot from 24 ft,,49-62,,
0:27.0,,,49-62,,Defensive rebound by B. Biyombo
0:01.0,,,49-62,,D. DeRozan misses 2-pt shot from 18 ft
0:01.0,Defensive rebound by D. Jordan,,49-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-62,,D. DeRozan misses 2-pt shot from 21 ft
11:40.0,Defensive rebound by D. Jordan,,49-62,,
11:33.0,Turnover by C. Paul (bad pass; steal by L. Scola),,49-62,,
11:27.0,,,49-62,,D. DeRozan misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
11:27.0,,,49-62,,Offensive rebound by Team
11:09.0,,,49-64,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by J. Johnson)
10:52.0,J. Redick misses 2-pt shot from 12 ft,,49-64,,
10:51.0,,,49-64,,Defensive rebound by D. DeRozan
10:32.0,Personal foul by D. Jordan (drawn by J. Valanciunas),,49-64,,
10:27.0,Personal foul by J. Redick (drawn by J. Johnson),,49-64,,
10:27.0,LA Clippers full timeout,,49-64,,
10:12.0,,,49-64,,J. Valanciunas misses 2-pt shot from 5 ft
10:12.0,Defensive rebound by J. Redick,,49-64,,
9:57.0,Shooting foul by K. Lowry (drawn by P. Pierce),,49-64,,
9:57.0,P. Pierce makes free throw 1 of 2,1,50-64,,
9:57.0,P. Pierce misses free throw 2 of 2,,50-64,,
9:56.0,,,50-64,,Defensive rebound by L. Scola
9:48.0,Personal foul by L. Mbah a Moute (drawn by D. DeRozan),,50-64,,
9:36.0,,,50-66,2,J. Valanciunas makes 2-pt shot from 4 ft
9:27.0,,,50-66,,Personal foul by J. Johnson (drawn by C. Paul)
9:21.0,J. Redick misses 3-pt shot from 24 ft,,50-66,,
9:20.0,Offensive rebound by C. Paul,,50-66,,
9:15.0,C. Paul makes 3-pt shot from 24 ft,3,53-66,,
8:57.0,,,53-66,,Turnover by J. Johnson (traveling)
8:45.0,Shooting foul by J. Valanciunas (drawn by J. Redick),,53-66,,
8:45.0,J. Redick misses free throw 1 of 2,,53-66,,
8:45.0,Offensive rebound by Team,,53-66,,
8:45.0,,,53-66,,B. Biyombo enters the game for J. Valanciunas
8:45.0,J. Redick makes free throw 2 of 2,1,54-66,,
8:31.0,,,54-66,,L. Scola misses 2-pt shot from 6 ft
8:30.0,,,54-66,,Offensive rebound by B. Biyombo
8:25.0,,,54-66,,Turnover by B. Biyombo (dbl dribble)
8:14.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,56-66,,
7:58.0,,,56-66,,J. Johnson misses 2-pt shot from 6 ft
7:57.0,Defensive rebound by P. Pierce,,56-66,,
7:39.0,P. Pierce misses 2-pt shot from 9 ft,,56-66,,
7:38.0,Offensive rebound by D. Jordan,,56-66,,
7:24.0,P. Pierce misses 2-pt shot from 16 ft,,56-66,,
7:23.0,,,56-66,,Defensive rebound by D. DeRozan
7:16.0,,,56-66,,L. Scola misses 2-pt shot from 2 ft
7:14.0,Defensive rebound by P. Pierce,,56-66,,
7:12.0,Shooting foul by J. Johnson (drawn by C. Paul),,56-66,,
7:12.0,C. Paul misses free throw 1 of 2,,56-66,,
7:12.0,Offensive rebound by Team,,56-66,,
7:12.0,,,56-66,,T. Ross enters the game for J. Johnson
7:12.0,C. Paul makes free throw 2 of 2,1,57-66,,
6:56.0,,,57-68,2,B. Biyombo makes 2-pt shot at rim (assist by D. DeRozan)
6:33.0,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul),2,59-68,,
6:19.0,,,59-68,,K. Lowry misses 3-pt shot from 24 ft
6:19.0,Defensive rebound by P. Pierce,,59-68,,
6:07.0,P. Pierce makes 3-pt shot from 24 ft (assist by C. Paul),3,62-68,,
6:06.0,,,62-68,,Toronto full timeout
6:06.0,,,62-68,,P. Patterson enters the game for L. Scola
5:47.0,,,62-68,,Turnover by D. DeRozan (bad pass)
5:35.0,D. Jordan makes 2-pt shot from 2 ft (assist by P. Pierce),2,64-68,,
5:35.0,Shooting foul by D. DeRozan (drawn by D. Jordan),,64-68,,
5:35.0,D. Jordan misses free throw 1 of 1,,64-68,,
5:34.0,,,64-68,,Defensive rebound by B. Biyombo
5:11.0,,,64-68,,Turnover by K. Lowry (lost ball; steal by C. Paul)
5:05.0,P. Pierce misses 3-pt shot from 24 ft,,64-68,,
5:04.0,,,64-68,,Defensive rebound by T. Ross
4:52.0,,,64-70,2,P. Patterson makes 2-pt shot from 4 ft
4:36.0,,,64-70,,Personal foul by D. DeRozan (drawn by J. Redick)
4:36.0,J. Redick makes free throw 1 of 2,1,65-70,,
4:36.0,W. Johnson enters the game for P. Pierce,,65-70,,
4:36.0,J. Redick makes free throw 2 of 2,1,66-70,,
4:28.0,Personal foul by C. Paul (drawn by K. Lowry),,66-70,,
4:19.0,,,66-73,3,K. Lowry makes 3-pt shot from 24 ft (assist by D. DeRozan)
3:55.0,C. Paul misses 3-pt shot from 29 ft,,66-73,,
3:54.0,,,66-73,,Defensive rebound by K. Lowry
3:36.0,,,66-73,,Turnover by B. Biyombo (3 sec)
3:36.0,A. Rivers enters the game for J. Redick,,66-73,,
3:18.0,Turnover by C. Paul (bad pass; steal by T. Ross),,66-73,,
3:11.0,,,66-75,2,K. Lowry makes 2-pt shot from 2 ft
3:03.0,,,66-75,,Personal take foul by B. Biyombo (drawn by D. Jordan)
3:03.0,D. Jordan misses free throw 1 of 2,,66-75,,
3:03.0,Offensive rebound by Team,,66-75,,
3:03.0,D. Jordan makes free throw 2 of 2,1,67-75,,
2:47.0,,,67-75,,B. Biyombo misses 2-pt shot from 1 ft
2:46.0,Defensive rebound by D. Jordan,,67-75,,
2:40.0,W. Johnson misses 3-pt shot from 24 ft,,67-75,,
2:39.0,,,67-75,,Defensive rebound by K. Lowry
2:27.0,Personal foul by C. Paul (drawn by K. Lowry),,67-75,,
2:27.0,,,67-76,1,K. Lowry makes free throw 1 of 2
2:27.0,J. Crawford enters the game for W. Johnson,,67-76,,
2:27.0,,,67-77,1,K. Lowry makes free throw 2 of 2
2:09.0,C. Paul makes 2-pt shot from 5 ft,2,69-77,,
1:59.0,,,69-77,,Shooting foul by A. Rivers (drawn by K. Lowry)
1:59.0,,,69-77,,K. Lowry misses free throw 1 of 2
1:59.0,,,69-77,,Offensive rebound by Team
1:59.0,C. Aldrich enters the game for D. Jordan,,69-77,,
1:59.0,,,69-78,1,K. Lowry makes free throw 2 of 2
1:48.0,C. Paul makes 2-pt shot from 18 ft,2,71-78,,
1:36.0,,,71-78,,K. Lowry misses 2-pt shot from 2 ft (block by C. Aldrich)
1:36.0,,,71-78,,Offensive rebound by Team
1:36.0,,,71-78,,C. Joseph enters the game for K. Lowry
1:36.0,W. Johnson enters the game for C. Paul,,71-78,,
1:28.0,,,71-78,,D. DeRozan misses 2-pt shot from 17 ft
1:28.0,Defensive rebound by W. Johnson,,71-78,,
1:07.0,J. Crawford misses 2-pt shot from 19 ft,,71-78,,
1:06.0,,,71-78,,Defensive rebound by P. Patterson
0:46.0,,,71-80,2,C. Joseph makes 2-pt shot from 2 ft
0:33.0,A. Rivers misses 2-pt shot from 20 ft,,71-80,,
0:32.0,,,71-80,,Defensive rebound by B. Biyombo
0:23.0,,,71-83,3,D. DeRozan makes 3-pt shot from 24 ft (assist by P. Patterson)
0:02.0,W. Johnson misses 3-pt shot from 24 ft,,71-83,,
0:02.0,,,71-83,,Defensive rebound by B. Biyombo
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,W. Johnson misses 3-pt shot from 24 ft,,71-83,,
11:47.0,,,71-83,,Defensive rebound by P. Patterson
11:33.0,,,71-83,,C. Joseph misses 2-pt shot from 7 ft
11:33.0,,,71-83,,Offensive rebound by Team
11:33.0,Loose ball foul by W. Johnson (drawn by P. Patterson),,71-83,,
11:22.0,,,71-83,,T. Ross misses 2-pt shot from 21 ft
11:21.0,,,71-83,,Offensive rebound by T. Ross
11:15.0,,,71-86,3,K. Lowry makes 3-pt shot from 25 ft (assist by T. Ross)
10:56.0,C. Aldrich makes 2-pt shot from 2 ft (assist by W. Johnson),2,73-86,,
10:48.0,,,73-88,2,K. Lowry makes 2-pt shot at rim
10:48.0,,,73-88,,Shooting foul by C. Aldrich (drawn by K. Lowry)
10:48.0,,,73-89,1,K. Lowry makes free throw 1 of 1
10:36.0,J. Crawford misses 2-pt shot from 15 ft,,73-89,,
10:36.0,,,73-89,,Defensive rebound by T. Ross
10:28.0,,,73-89,,Turnover by T. Ross (bad pass; steal by P. Prigioni)
10:23.0,A. Rivers makes 2-pt shot from 2 ft (assist by P. Prigioni),2,75-89,,
10:12.0,Violation by J. Crawford (kicked ball),,75-89,,
10:06.0,Personal foul by W. Johnson (drawn by T. Ross),,75-89,,
10:06.0,,,75-89,,Turnover by K. Lowry (bad pass; steal by P. Prigioni)
10:00.0,P. Prigioni misses 3-pt shot from 24 ft,,75-89,,
9:59.0,,,75-89,,Defensive rebound by P. Patterson
9:35.0,,,75-89,,B. Biyombo misses 2-pt shot from 16 ft
9:35.0,,,75-89,,Offensive rebound by K. Lowry
9:30.0,,,75-89,,T. Ross misses 3-pt shot from 25 ft
9:30.0,,,75-89,,Offensive rebound by Team
9:30.0,Loose ball foul by J. Crawford (drawn by P. Patterson),,75-89,,
9:30.0,,,75-89,,J. Valanciunas enters the game for B. Biyombo
9:19.0,,,75-89,,Shooting foul by W. Johnson (drawn by J. Valanciunas)
9:19.0,,,75-89,,J. Valanciunas misses free throw 1 of 2
9:19.0,,,75-89,,Offensive rebound by Team
9:19.0,,,75-90,1,J. Valanciunas makes free throw 2 of 2
9:02.0,Turnover by A. Rivers (bad pass; steal by T. Ross),,75-90,,
8:48.0,,,75-93,3,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph)
8:37.0,,,75-93,,Personal foul by K. Lowry (drawn by J. Crawford)
8:37.0,Official timeout,,75-93,,
8:37.0,D. Jordan enters the game for A. Rivers,,75-93,,
8:37.0,J. Redick enters the game for C. Aldrich,,75-93,,
8:37.0,C. Paul enters the game for P. Prigioni,,75-93,,
8:21.0,C. Paul misses 2-pt shot from 17 ft,,75-93,,
8:20.0,,,75-93,,Defensive rebound by T. Ross
8:04.0,,,75-95,2,J. Valanciunas makes 2-pt shot from 6 ft
7:44.0,W. Johnson makes 3-pt shot from 22 ft (assist by J. Redick),3,78-95,,
7:31.0,Violation by W. Johnson (kicked ball),,78-95,,
7:31.0,L. Stephenson enters the game for W. Johnson,,78-95,,
7:24.0,,,78-97,2,C. Joseph makes 2-pt shot from 9 ft
7:06.0,Shooting foul by P. Patterson (drawn by D. Jordan),,78-97,,
7:06.0,D. Jordan misses free throw 1 of 2,,78-97,,
7:06.0,Offensive rebound by Team,,78-97,,
7:06.0,D. Jordan misses free throw 2 of 2,,78-97,,
7:05.0,,,78-97,,Defensive rebound by J. Valanciunas
6:56.0,Personal foul by C. Paul (drawn by J. Valanciunas),,78-97,,
6:56.0,,,78-97,,J. Valanciunas misses free throw 1 of 2
6:56.0,,,78-97,,Offensive rebound by Team
6:56.0,,,78-97,,D. DeRozan enters the game for C. Joseph
6:56.0,,,78-98,1,J. Valanciunas makes free throw 2 of 2
6:36.0,C. Paul misses 3-pt shot from 22 ft,,78-98,,
6:35.0,,,78-98,,Defensive rebound by K. Lowry
6:15.0,,,78-100,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
6:04.0,,,78-100,,Personal foul by T. Ross (drawn by J. Redick)
5:54.0,C. Paul makes 2-pt shot from 16 ft,2,80-100,,
5:37.0,,,80-100,,D. DeRozan misses 2-pt shot from 7 ft
5:36.0,,,80-100,,Offensive rebound by D. DeRozan
5:32.0,,,80-100,,P. Patterson misses 3-pt shot from 22 ft
