time,Detroit,pts.away,score,pts.home,Charlotte
6:34.0,,,14-20,3,M. Williams makes 3-pt shot from 24 ft (assist by N. Batum)
6:10.0,R. Jackson makes 3-pt shot from 28 ft (assist by T. Harris),3,17-20,,
5:55.0,,,17-22,2,M. Williams makes 2-pt shot from 10 ft (assist by N. Batum)
5:39.0,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by R. Jackson),2,19-22,,
5:28.0,,,19-22,,Shooting foul by A. Drummond (drawn by C. Zeller)
5:28.0,,,19-23,1,C. Zeller makes free throw 1 of 2
5:28.0,A. Baynes enters the game for A. Drummond,,19-23,,
5:28.0,,,19-24,1,C. Zeller makes free throw 2 of 2
5:16.0,M. Morris misses 3-pt shot from 25 ft,,19-24,,
5:15.0,,,19-24,,Defensive rebound by M. Williams
5:07.0,,,19-24,,K. Walker misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by M. Morris,,19-24,,
4:48.0,Turnover by T. Harris (lost ball; steal by C. Zeller),,19-24,,
4:38.0,,,19-24,,Shooting foul by M. Morris (drawn by C. Zeller)
4:38.0,,,19-25,1,C. Zeller makes free throw 1 of 2
4:38.0,,,19-25,,J. Lin enters the game for C. Lee
4:38.0,,,19-26,1,C. Zeller makes free throw 2 of 2
4:25.0,Turnover by K. Caldwell-Pope (lost ball; steal by N. Batum),,19-26,,
4:18.0,,,19-26,,J. Lin misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by A. Baynes,,19-26,,
4:09.0,Turnover by R. Jackson (lost ball; steal by J. Lin),,19-26,,
4:02.0,,,19-26,,K. Walker misses 2-pt shot from 2 ft (block by A. Baynes)
4:02.0,,,19-26,,Offensive rebound by Team
4:02.0,,,19-26,,A. Jefferson enters the game for C. Zeller
3:58.0,,,19-29,3,J. Lin makes 3-pt shot from 25 ft (assist by N. Batum)
3:51.0,Detroit full timeout,,19-29,,
3:51.0,,,19-29,,J. Lamb enters the game for N. Batum
3:36.0,M. Morris makes 2-pt shot from 5 ft,2,21-29,,
3:24.0,,,21-29,,Shooting foul by M. Morris (drawn by A. Jefferson)
3:24.0,,,21-30,1,A. Jefferson makes free throw 1 of 2
3:24.0,,,21-30,,F. Kaminsky enters the game for M. Williams
3:24.0,R. Bullock enters the game for M. Morris,,21-30,,
3:24.0,,,21-30,,A. Jefferson misses free throw 2 of 2
3:22.0,Defensive rebound by R. Bullock,,21-30,,
3:09.0,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson),2,23-30,,
2:52.0,,,23-30,,A. Jefferson misses 2-pt shot from 19 ft
2:51.0,Defensive rebound by T. Harris,,23-30,,
2:36.0,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by R. Bullock),2,25-30,,
2:18.0,,,25-30,,Turnover by K. Walker (lost ball; steal by T. Harris)
2:10.0,R. Jackson misses 3-pt shot from 22 ft,,25-30,,
2:09.0,,,25-30,,Defensive rebound by J. Lamb
1:44.0,,,25-32,2,A. Jefferson makes 2-pt shot from 7 ft
1:35.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,25-32,,
1:33.0,Offensive rebound by K. Caldwell-Pope,,25-32,,
1:33.0,K. Caldwell-Pope makes 2-pt shot at rim,2,27-32,,
1:12.0,,,27-34,2,J. Lamb makes 2-pt shot from 15 ft (assist by A. Jefferson)
1:00.0,R. Jackson makes 2-pt shot from 7 ft,2,29-34,,
0:50.0,,,29-34,,J. Lamb misses 3-pt shot from 29 ft
0:49.0,,,29-34,,Offensive rebound by J. Lin
0:43.0,,,29-34,,Shooting foul by A. Baynes (drawn by K. Walker)
0:43.0,,,29-35,1,K. Walker makes free throw 1 of 2
0:43.0,S. Blake enters the game for R. Jackson,,29-35,,
0:43.0,,,29-36,1,K. Walker makes free throw 2 of 2
0:33.0,S. Blake makes 3-pt shot from 24 ft,3,32-36,,
0:16.0,,,32-38,2,K. Walker makes 2-pt shot from 1 ft
0:04.0,S. Blake misses 3-pt shot from 25 ft,,32-38,,
0:02.0,,,32-38,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Tolliver misses 3-pt shot from 25 ft,,32-38,,
11:41.0,Offensive rebound by Team,,32-38,,
11:31.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,32-38,,
11:29.0,,,32-38,,Defensive rebound by J. Lamb
11:11.0,,,32-38,,J. Lin misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by Team,,32-38,,
11:11.0,,,32-38,,Loose ball foul by F. Kaminsky
10:55.0,A. Baynes misses 2-pt shot from 5 ft,,32-38,,
10:53.0,,,32-38,,Defensive rebound by N. Batum
10:39.0,,,32-38,,Shooting foul by A. Baynes (drawn by A. Jefferson)
10:39.0,,,32-38,,A. Jefferson misses free throw 1 of 2
10:39.0,,,32-38,,Offensive rebound by Team
10:39.0,M. Morris enters the game for K. Caldwell-Pope,,32-38,,
10:39.0,,,32-39,1,A. Jefferson makes free throw 2 of 2
10:27.0,M. Morris makes 2-pt shot from 17 ft,2,34-39,,
10:03.0,,,34-39,,J. Lin misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by A. Baynes,,34-39,,
9:56.0,A. Tolliver misses 3-pt shot from 25 ft,,34-39,,
9:54.0,,,34-39,,Defensive rebound by F. Kaminsky
9:35.0,,,34-39,,J. Lamb misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by A. Baynes,,34-39,,
9:25.0,A. Baynes misses 2-pt shot from 8 ft,,34-39,,
9:24.0,,,34-39,,Defensive rebound by J. Lamb
9:23.0,Personal foul by S. Blake,,34-39,,
9:13.0,,,34-41,2,N. Batum makes 2-pt shot from 16 ft
9:04.0,,,34-41,,Personal foul by N. Batum
8:52.0,Shooting foul by A. Jefferson (drawn by M. Morris),,34-41,,
8:52.0,Official timeout,,34-41,,
8:52.0,A. Drummond enters the game for A. Baynes,,34-41,,
8:52.0,M. Morris misses free throw 1 of 2,,34-41,,
8:52.0,Offensive rebound by Team,,34-41,,
8:52.0,M. Morris makes free throw 2 of 2,1,35-41,,
8:41.0,,,35-41,,N. Batum misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by M. Morris,,35-41,,
8:29.0,R. Bullock misses 3-pt shot from 25 ft,,35-41,,
8:28.0,,,35-41,,Defensive rebound by A. Jefferson
8:20.0,,,35-41,,J. Lamb misses 2-pt shot from 2 ft
8:18.0,,,35-41,,Offensive rebound by J. Lamb
8:18.0,,,35-41,,J. Lamb misses 2-pt shot from 2 ft
8:17.0,Defensive rebound by S. Blake,,35-41,,
7:56.0,Shooting foul by A. Jefferson (drawn by A. Drummond),,35-41,,
7:56.0,A. Drummond makes free throw 1 of 2,1,36-41,,
7:56.0,,,36-41,,C. Lee enters the game for J. Lamb
7:56.0,A. Drummond makes free throw 2 of 2,1,37-41,,
7:37.0,,,37-43,2,J. Lin makes 2-pt shot from 1 ft
7:24.0,M. Morris makes 2-pt shot from 9 ft (assist by S. Blake),2,39-43,,
7:02.0,,,39-45,2,A. Jefferson makes 2-pt shot from 12 ft
6:45.0,S. Blake misses 3-pt shot from 25 ft,,39-45,,
6:44.0,,,39-45,,Defensive rebound by N. Batum
6:27.0,,,39-45,,A. Jefferson misses 2-pt shot from 14 ft
6:26.0,Defensive rebound by S. Blake,,39-45,,
6:18.0,Shooting foul by A. Jefferson (drawn by A. Drummond),,39-45,,
6:18.0,A. Drummond makes free throw 1 of 2,1,40-45,,
6:18.0,T. Harris enters the game for A. Tolliver,,40-45,,
6:18.0,,,40-45,,C. Zeller enters the game for A. Jefferson
6:18.0,A. Drummond misses free throw 2 of 2,,40-45,,
6:17.0,,,40-45,,Defensive rebound by N. Batum
6:10.0,,,40-45,,Shooting foul by M. Morris (drawn by N. Batum)
6:10.0,,,40-45,,N. Batum misses free throw 1 of 2
6:10.0,,,40-45,,Offensive rebound by Team
6:10.0,S. Johnson enters the game for M. Morris,,40-45,,
6:10.0,,,40-46,1,N. Batum makes free throw 2 of 2
5:52.0,T. Harris misses 2-pt shot from 8 ft,,40-46,,
5:51.0,,,40-46,,Defensive rebound by N. Batum
5:45.0,,,40-46,,Turnover by N. Batum (lost ball; steal by R. Bullock)
5:38.0,Turnover by A. Drummond (bad pass),,40-46,,
5:38.0,,,40-46,,Charlotte full timeout
5:38.0,,,40-46,,M. Williams enters the game for N. Batum
5:38.0,,,40-46,,K. Walker enters the game for F. Kaminsky
5:38.0,K. Caldwell-Pope enters the game for R. Bullock,,40-46,,
5:38.0,R. Jackson enters the game for S. Blake,,40-46,,
5:20.0,,,40-48,2,C. Zeller makes 2-pt shot from 5 ft (assist by J. Lin)
5:04.0,R. Jackson misses 2-pt shot from 2 ft,,40-48,,
5:02.0,Offensive rebound by A. Drummond,,40-48,,
4:56.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,40-48,,
4:54.0,Offensive rebound by A. Drummond,,40-48,,
4:54.0,Shooting foul by C. Zeller (drawn by A. Drummond),,40-48,,
4:54.0,A. Drummond misses free throw 1 of 2,,40-48,,
4:54.0,Offensive rebound by Team,,40-48,,
4:54.0,A. Drummond misses free throw 2 of 2,,40-48,,
4:52.0,,,40-48,,Defensive rebound by M. Williams
4:40.0,,,40-48,,Shooting foul by T. Harris (drawn by M. Williams)
4:40.0,,,40-49,1,M. Williams makes free throw 1 of 2
4:40.0,,,40-49,,M. Williams misses free throw 2 of 2
4:38.0,Defensive rebound by A. Drummond,,40-49,,
4:21.0,T. Harris makes 2-pt shot at rim,2,42-49,,
4:13.0,Personal foul by T. Harris,,42-49,,
4:13.0,,,42-50,1,M. Williams makes free throw 1 of 2
4:13.0,,,42-51,1,M. Williams makes free throw 2 of 2
4:00.0,R. Jackson misses 3-pt shot from 25 ft,,42-51,,
3:59.0,,,42-51,,Defensive rebound by Team
3:51.0,,,42-53,2,C. Lee makes 2-pt shot from 14 ft (assist by C. Zeller)
3:51.0,,,42-53,,Shooting foul by S. Johnson (drawn by C. Lee)
3:51.0,,,42-54,1,C. Lee makes free throw 1 of 1
3:46.0,,,42-54,,Personal foul by M. Williams
3:46.0,T. Harris makes free throw 1 of 2,1,43-54,,
3:46.0,,,43-54,,N. Batum enters the game for J. Lin
3:46.0,T. Harris makes free throw 2 of 2,1,44-54,,
3:30.0,,,44-54,,C. Lee misses 2-pt shot from 16 ft
3:28.0,,,44-54,,Offensive rebound by M. Williams
3:15.0,,,44-54,,C. Lee misses 2-pt shot from 1 ft
3:14.0,,,44-54,,Offensive rebound by C. Zeller
3:11.0,,,44-54,,M. Williams misses 3-pt shot from 25 ft
3:09.0,Defensive rebound by A. Drummond,,44-54,,
2:52.0,T. Harris misses 3-pt shot from 25 ft,,44-54,,
2:51.0,,,44-54,,Defensive rebound by Team
2:51.0,Loose ball foul by S. Johnson,,44-54,,
2:51.0,Detroit full timeout,,44-54,,
2:51.0,,,44-55,1,N. Batum makes free throw 1 of 2
2:51.0,,,44-56,1,N. Batum makes free throw 2 of 2
2:33.0,R. Jackson makes 2-pt shot from 5 ft,2,46-56,,
2:21.0,,,46-56,,N. Batum misses 2-pt shot from 16 ft
2:19.0,,,46-56,,Offensive rebound by C. Zeller
2:11.0,,,46-58,2,C. Lee makes 2-pt shot from 17 ft
1:56.0,,,46-58,,Personal foul by M. Williams
1:56.0,T. Harris makes free throw 1 of 2,1,47-58,,
1:56.0,A. Baynes enters the game for A. Drummond,,47-58,,
1:56.0,,,47-58,,F. Kaminsky enters the game for M. Williams
1:56.0,T. Harris makes free throw 2 of 2,1,48-58,,
1:44.0,,,48-61,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
1:30.0,Turnover by R. Jackson (lost ball; steal by C. Lee),,48-61,,
1:22.0,,,48-64,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum)
0:59.0,R. Jackson misses 3-pt shot from 24 ft,,48-64,,
0:57.0,,,48-64,,Defensive rebound by C. Lee
0:42.0,,,48-64,,Shooting foul by K. Caldwell-Pope (drawn by K. Walker)
0:42.0,,,48-65,1,K. Walker makes free throw 1 of 3
0:42.0,,,48-66,1,K. Walker makes free throw 2 of 3
0:42.0,,,48-67,1,K. Walker makes free throw 3 of 3
0:33.0,,,48-67,,Personal foul by C. Lee
0:33.0,K. Caldwell-Pope makes free throw 1 of 2,1,49-67,,
0:33.0,A. Tolliver enters the game for T. Harris,,49-67,,
0:33.0,K. Caldwell-Pope makes free throw 2 of 2,1,50-67,,
0:17.0,,,50-69,2,K. Walker makes 2-pt shot from 6 ft
0:00.0,S. Johnson makes 3-pt shot from 23 ft (assist by R. Jackson),3,53-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Turnover by K. Caldwell-Pope (lost ball; steal by N. Batum),,53-69,,
11:32.0,,,53-69,,K. Walker misses 2-pt shot from 1 ft
11:30.0,Defensive rebound by T. Harris,,53-69,,
11:19.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,53-69,,
11:18.0,,,53-69,,Defensive rebound by N. Batum
11:08.0,,,53-69,,N. Batum misses 2-pt shot from 17 ft
11:06.0,Defensive rebound by A. Drummond,,53-69,,
10:58.0,R. Jackson misses 3-pt shot from 25 ft,,53-69,,
10:57.0,,,53-69,,Defensive rebound by C. Lee
10:44.0,,,53-69,,M. Williams misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by R. Jackson,,53-69,,
10:27.0,T. Harris makes 3-pt shot from 23 ft (assist by R. Jackson),3,56-69,,
10:12.0,,,56-69,,N. Batum misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by A. Drummond,,56-69,,
10:04.0,R. Jackson makes 2-pt shot from 15 ft,2,58-69,,
10:04.0,,,58-69,,Charlotte full timeout
9:52.0,,,58-71,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
9:28.0,Turnover by M. Morris (lost ball; steal by C. Zeller),,58-71,,
9:25.0,Flagrant foul type 1 by R. Jackson,,58-71,,
9:25.0,,,58-72,1,K. Walker makes flagrant free throw 1 of 2
9:25.0,,,58-73,1,K. Walker makes flagrant free throw 2 of 2
9:19.0,,,58-75,2,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker)
8:56.0,M. Morris makes 2-pt shot from 11 ft,2,60-75,,
8:35.0,,,60-75,,K. Walker misses 3-pt shot from 26 ft
8:33.0,Defensive rebound by T. Harris,,60-75,,
8:22.0,R. Jackson makes 2-pt shot from 1 ft,2,62-75,,
8:03.0,,,62-75,,C. Zeller misses 2-pt shot from 21 ft
8:01.0,Defensive rebound by M. Morris,,62-75,,
7:56.0,M. Morris misses 3-pt shot from 25 ft,,62-75,,
7:56.0,,,62-75,,Defensive rebound by Team
7:56.0,Loose ball foul by A. Drummond,,62-75,,
7:49.0,Personal foul by R. Jackson,,62-75,,
7:40.0,,,62-75,,M. Williams misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by Team,,62-75,,
7:18.0,Turnover by M. Morris (lost ball; steal by K. Walker),,62-75,,
7:13.0,,,62-77,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
6:58.0,R. Jackson misses 3-pt shot from 26 ft,,62-77,,
6:57.0,,,62-77,,Defensive rebound by M. Williams
6:48.0,,,62-77,,Turnover by C. Lee (lost ball; steal by T. Harris)
6:41.0,T. Harris makes 2-pt shot at rim,2,64-77,,
6:27.0,,,64-80,3,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker)
6:16.0,,,64-80,,Personal foul by M. Williams
6:07.0,T. Harris misses 3-pt shot from 25 ft,,64-80,,
6:07.0,,,64-80,,Defensive rebound by Team
6:07.0,Loose ball foul by A. Drummond,,64-80,,
6:07.0,A. Baynes enters the game for A. Drummond,,64-80,,
6:07.0,,,64-80,,A. Jefferson enters the game for C. Zeller
6:07.0,Technical foul by A. Drummond,,64-80,,
6:07.0,,,64-81,1,N. Batum makes technical free throw
5:56.0,,,64-81,,M. Williams misses 3-pt shot from 24 ft
5:55.0,Defensive rebound by A. Baynes,,64-81,,
5:50.0,Shooting foul by C. Lee (drawn by K. Caldwell-Pope),,64-81,,
5:50.0,K. Caldwell-Pope makes free throw 1 of 2,1,65-81,,
5:50.0,K. Caldwell-Pope makes free throw 2 of 2,1,66-81,,
5:31.0,,,66-81,,K. Walker misses 2-pt shot from 16 ft
5:30.0,Defensive rebound by M. Morris,,66-81,,
5:23.0,R. Jackson makes 2-pt shot from 13 ft,2,68-81,,
5:06.0,,,68-81,,A. Jefferson misses 2-pt shot from 8 ft (block by A. Baynes)
5:04.0,Defensive rebound by T. Harris,,68-81,,
4:56.0,Shooting foul by A. Jefferson (drawn by A. Baynes),,68-81,,
4:56.0,A. Baynes makes free throw 1 of 2,1,69-81,,
4:56.0,A. Baynes makes free throw 2 of 2,1,70-81,,
4:31.0,,,70-81,,N. Batum misses 3-pt shot from 25 ft
4:29.0,,,70-81,,Offensive rebound by M. Williams
4:26.0,,,70-81,,N. Batum misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by Team,,70-81,,
4:14.0,T. Harris misses 2-pt shot from 2 ft,,70-81,,
4:13.0,,,70-81,,Defensive rebound by K. Walker
4:05.0,,,70-81,,K. Walker misses 2-pt shot at rim
4:04.0,Defensive rebound by T. Harris,,70-81,,
3:52.0,A. Baynes makes 2-pt shot at rim (assist by R. Jackson),2,72-81,,
3:31.0,,,72-84,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
3:15.0,A. Baynes makes 2-pt shot from 17 ft (assist by R. Jackson),2,74-84,,
2:51.0,,,74-86,2,M. Williams makes 2-pt shot from 8 ft (assist by K. Walker)
2:39.0,Shooting foul by K. Walker (drawn by R. Jackson),,74-86,,
2:39.0,Detroit full timeout,,74-86,,
2:39.0,,,74-86,,J. Lin enters the game for N. Batum
2:39.0,,,74-86,,F. Kaminsky enters the game for C. Lee
2:39.0,R. Bullock enters the game for M. Morris,,74-86,,
2:39.0,R. Jackson makes free throw 1 of 2,1,75-86,,
2:39.0,R. Jackson makes free throw 2 of 2,1,76-86,,
2:29.0,S. Blake enters the game for R. Jackson,,76-86,,
2:22.0,,,76-86,,A. Jefferson misses 2-pt shot from 5 ft (block by A. Baynes)
2:20.0,Defensive rebound by A. Baynes,,76-86,,
2:09.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by A. Baynes),3,79-86,,
1:43.0,,,79-86,,K. Walker misses 3-pt shot from 27 ft
1:41.0,,,79-86,,Offensive rebound by M. Williams
1:39.0,,,79-86,,Turnover by K. Walker (bad pass)
1:20.0,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by R. Bullock),2,81-86,,
1:05.0,,,81-86,,M. Williams misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by A. Baynes,,81-86,,
0:54.0,T. Harris misses 2-pt shot from 3 ft (block by F. Kaminsky),,81-86,,
0:52.0,,,81-86,,Defensive rebound by Team
0:43.0,,,81-86,,Offensive foul by M. Williams
0:43.0,,,81-86,,Turnover by M. Williams (offensive foul)
0:43.0,,,81-86,,C. Lee enters the game for M. Williams
0:34.0,Turnover by T. Harris (lost ball; steal by A. Jefferson),,81-86,,
0:10.0,,,81-86,,Shooting foul by R. Bullock (drawn by K. Walker)
0:10.0,,,81-87,1,K. Walker makes free throw 1 of 2
0:10.0,,,81-88,1,K. Walker makes free throw 2 of 2
0:00.0,T. Harris misses 2-pt shot from 5 ft,,81-88,,
0:00.0,Offensive rebound by Team,,81-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,81-90,2,A. Jefferson makes 2-pt shot from 7 ft
11:27.0,S. Blake misses 3-pt shot from 23 ft,,81-90,,
11:27.0,Offensive rebound by Team,,81-90,,
11:27.0,Jump ball: A. Baynes vs. F. Kaminsky (S. Blake gains possession),,,,Jump ball: A. Baynes vs. F. Kaminsky (S. Blake gains possession)
11:11.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,81-90,,
11:10.0,,,81-90,,Defensive rebound by F. Kaminsky
11:01.0,,,81-90,,J. Lin misses 2-pt shot from 12 ft
11:00.0,Defensive rebound by K. Caldwell-Pope,,81-90,,
10:49.0,M. Morris misses 2-pt shot from 2 ft (block by F. Kaminsky),,81-90,,
10:47.0,,,81-90,,Defensive rebound by A. Jefferson
10:36.0,,,81-92,2,F. Kaminsky makes 2-pt shot from 3 ft
10:36.0,,,81-92,,Shooting foul by M. Morris (drawn by F. Kaminsky)
10:36.0,,,81-92,,F. Kaminsky misses free throw 1 of 1
10:35.0,Defensive rebound by R. Bullock,,81-92,,
10:20.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,83-92,,
9:54.0,,,83-92,,A. Jefferson misses 2-pt shot from 8 ft
9:54.0,,,83-92,,Offensive rebound by Team
9:54.0,,,83-92,,Turnover by Team (shot clock)
9:42.0,M. Morris makes 3-pt shot from 24 ft (assist by S. Blake),3,86-92,,
9:14.0,,,86-94,2,F. Kaminsky makes 2-pt shot from 17 ft
8:59.0,M. Morris misses 3-pt shot from 25 ft,,86-94,,
8:57.0,,,86-94,,Defensive rebound by C. Lee
8:49.0,Official timeout,,86-94,,
8:42.0,,,86-97,3,J. Lin makes 3-pt shot from 25 ft (assist by N. Batum)
8:26.0,Turnover by M. Morris (lost ball; steal by J. Lin),,86-97,,
8:21.0,,,86-99,2,C. Lee makes 2-pt shot at rim (assist by J. Lin)
8:00.0,R. Bullock misses 2-pt shot from 13 ft,,86-99,,
7:58.0,Offensive rebound by Team,,86-99,,
7:58.0,T. Harris enters the game for K. Caldwell-Pope,,86-99,,
7:58.0,R. Jackson enters the game for S. Blake,,86-99,,
7:49.0,Shooting foul by C. Lee (drawn by M. Morris),,86-99,,
7:49.0,M. Morris makes free throw 1 of 2,1,87-99,,
7:49.0,M. Morris misses free throw 2 of 2,,87-99,,
7:48.0,,,87-99,,Defensive rebound by A. Jefferson
7:37.0,,,87-101,2,A. Jefferson makes 2-pt shot from 11 ft (assist by N. Batum)
7:20.0,T. Harris misses 2-pt shot from 1 ft,,87-101,,
7:19.0,,,87-101,,Defensive rebound by A. Jefferson
7:10.0,,,87-103,2,A. Jefferson makes 2-pt shot from 8 ft (assist by N. Batum)
7:03.0,Detroit full timeout,,87-103,,
7:03.0,A. Drummond enters the game for A. Baynes,,87-103,,
6:47.0,R. Jackson misses 3-pt shot from 23 ft,,87-103,,
6:46.0,,,87-103,,Defensive rebound by C. Lee
6:42.0,,,87-105,2,C. Lee makes 2-pt shot from 1 ft
6:28.0,Shooting foul by A. Jefferson (drawn by T. Harris),,87-105,,
6:28.0,T. Harris makes free throw 1 of 2,1,88-105,,
6:28.0,,,88-105,,C. Zeller enters the game for A. Jefferson
6:28.0,K. Caldwell-Pope enters the game for R. Bullock,,88-105,,
6:28.0,T. Harris makes free throw 2 of 2,1,89-105,,
6:08.0,,,89-105,,Turnover by F. Kaminsky (lost ball; steal by T. Harris)
5:56.0,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson),2,91-105,,
5:56.0,,,91-105,,Charlotte full timeout
5:41.0,,,91-105,,Turnover by N. Batum (lost ball; steal by M. Morris)
5:30.0,K. Caldwell-Pope misses 2-pt shot from 5 ft (block by C. Zeller),,91-105,,
5:28.0,,,91-105,,Defensive rebound by F. Kaminsky
5:12.0,,,91-107,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by N. Batum)
5:12.0,,,91-107,,Shooting foul by M. Morris (drawn by F. Kaminsky)
5:12.0,,,91-107,,K. Walker enters the game for J. Lin
5:12.0,,,91-108,1,F. Kaminsky makes free throw 1 of 1
4:59.0,K. Caldwell-Pope misses 2-pt shot from 1 ft (block by C. Zeller),,91-108,,
4:57.0,,,91-108,,Defensive rebound by C. Lee
4:41.0,,,91-108,,F. Kaminsky misses 2-pt shot from 7 ft
4:39.0,,,91-108,,Offensive rebound by F. Kaminsky
4:39.0,,,91-108,,F. Kaminsky misses 2-pt shot from 2 ft (block by A. Drummond)
4:37.0,Defensive rebound by R. Jackson,,91-108,,
4:27.0,M. Morris misses 2-pt shot from 10 ft (block by C. Lee),,91-108,,
4:27.0,,,91-108,,Defensive rebound by Team
4:27.0,,,91-108,,M. Williams enters the game for F. Kaminsky
4:12.0,,,91-108,,N. Batum misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by A. Drummond,,91-108,,
3:55.0,R. Jackson makes 3-pt shot from 24 ft,3,94-108,,
3:30.0,,,94-110,2,C. Lee makes 2-pt shot from 1 ft
3:19.0,R. Jackson misses 3-pt shot from 25 ft,,94-110,,
3:18.0,,,94-110,,Defensive rebound by Team
3:03.0,,,94-112,2,N. Batum makes 2-pt shot from 18 ft (assist by C. Zeller)
3:03.0,Detroit full timeout,,94-112,,
3:03.0,D. Hilliard enters the game for T. Harris,,94-112,,
3:03.0,S. Blake enters the game for M. Morris,,94-112,,
3:03.0,A. Tolliver enters the game for A. Drummond,,94-112,,
3:03.0,A. Baynes enters the game for K. Caldwell-Pope,,94-112,,
3:03.0,S. Johnson enters the game for R. Jackson,,94-112,,
2:42.0,D. Hilliard makes 2-pt shot from 10 ft,2,96-112,,
