time,Oklahoma City,pts.away,score,pts.home,Phoenix
8:22.0,,,7-8,,M. Morris misses 2-pt shot from 16 ft
8:20.0,Defensive rebound by K. Durant,,7-8,,
8:05.0,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams),3,10-8,,
7:36.0,,,10-8,,Shooting foul by D. Waiters (drawn by D. Booker)
7:36.0,,,10-9,1,D. Booker makes free throw 1 of 2
7:36.0,,,10-10,1,D. Booker makes free throw 2 of 2
7:20.0,S. Ibaka misses 2-pt shot from 10 ft,,10-10,,
7:18.0,,,10-10,,Defensive rebound by M. Morris
6:59.0,,,10-10,,Turnover by M. Morris (bad pass; steal by S. Adams)
6:44.0,S. Adams makes 2-pt shot from 9 ft (assist by D. Waiters),2,12-10,,
6:32.0,Personal foul by R. Westbrook (drawn by T. Chandler),,12-10,,
6:25.0,,,12-10,,D. Booker misses 2-pt shot from 20 ft (block by D. Waiters)
6:23.0,Defensive rebound by K. Durant,,12-10,,
6:17.0,S. Ibaka makes 2-pt shot from 18 ft (assist by D. Waiters),2,14-10,,
5:53.0,,,14-10,,Turnover by M. Morris (traveling)
5:53.0,,,14-10,,Phoenix full timeout
5:53.0,,,14-10,,A. Len enters the game for T. Chandler
5:46.0,R. Westbrook makes 2-pt shot at rim,2,16-10,,
5:29.0,,,16-10,,Shooting foul by S. Adams (drawn by A. Goodwin)
5:29.0,,,16-11,1,A. Goodwin makes free throw 1 of 2
5:29.0,E. Kanter enters the game for S. Adams,,16-11,,
5:29.0,,,16-12,1,A. Goodwin makes free throw 2 of 2
5:14.0,S. Ibaka misses 3-pt shot from 23 ft,,16-12,,
5:12.0,Offensive rebound by K. Durant,,16-12,,
5:09.0,K. Durant makes 2-pt shot from 20 ft,2,18-12,,
4:52.0,,,18-12,,Turnover by P. Tucker (offensive foul)
4:52.0,,,18-12,,Offensive foul by P. Tucker
4:39.0,,,18-12,,Personal foul by M. Morris (drawn by K. Durant)
4:28.0,E. Kanter makes 2-pt shot from 10 ft,2,20-12,,
4:16.0,,,20-12,,D. Booker misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by R. Westbrook,,20-12,,
4:11.0,D. Waiters makes 2-pt shot at rim (assist by R. Westbrook),2,22-12,,
4:11.0,,,22-12,,Phoenix full timeout
4:00.0,,,22-12,,Turnover by M. Morris (bad pass)
3:38.0,R. Westbrook makes 2-pt shot from 7 ft,2,24-12,,
3:24.0,,,24-12,,Shooting foul by K. Durant (drawn by M. Morris)
3:24.0,,,24-13,1,M. Morris makes free throw 1 of 2
3:24.0,,,24-14,1,M. Morris makes free throw 2 of 2
3:18.0,,,24-14,,Personal foul by A. Len (drawn by K. Durant)
3:07.0,R. Westbrook misses 2-pt shot from 2 ft,,24-14,,
3:06.0,,,24-14,,Defensive rebound by Team
2:56.0,,,24-14,,Turnover by M. Morris (bad pass; steal by D. Waiters)
2:52.0,Turnover by D. Waiters (bad pass),,24-14,,
2:39.0,Personal foul by E. Kanter (drawn by A. Len),,24-14,,
2:39.0,,,24-15,1,A. Len makes free throw 1 of 2
2:39.0,C. Payne enters the game for R. Westbrook,,24-15,,
2:39.0,,,24-15,,J. McRae enters the game for A. Goodwin
2:39.0,,,24-15,,A. Len misses free throw 2 of 2
2:37.0,Defensive rebound by S. Ibaka,,24-15,,
2:22.0,S. Ibaka misses 2-pt shot from 6 ft,,24-15,,
2:19.0,,,24-15,,Defensive rebound by A. Len
2:00.0,,,24-15,,M. Morris misses 3-pt shot from 24 ft
1:58.0,,,24-15,,Offensive rebound by A. Len
1:58.0,,,24-15,,A. Len misses 2-pt shot from 1 ft
1:56.0,Defensive rebound by S. Ibaka,,24-15,,
1:51.0,Turnover by D. Waiters (bad pass; steal by M. Morris),,24-15,,
1:35.0,,,24-15,,D. Booker misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by E. Kanter,,24-15,,
1:12.0,D. Waiters misses 3-pt shot from 24 ft,,24-15,,
1:10.0,,,24-15,,Defensive rebound by A. Len
1:02.0,,,24-17,2,A. Len makes 2-pt shot at rim (assist by D. Booker)
0:42.0,K. Durant misses 2-pt shot from 16 ft,,24-17,,
0:41.0,Offensive rebound by S. Ibaka,,24-17,,
0:39.0,S. Ibaka makes 2-pt shot from 5 ft,2,26-17,,
0:31.0,Personal foul by S. Ibaka (drawn by M. Morris),,26-17,,
0:31.0,,,26-17,,Technical foul by M. Morris
0:31.0,Technical foul by S. Ibaka (drawn by M. Morris),,26-17,,
0:31.0,,,26-18,1,M. Morris makes free throw 1 of 2
0:31.0,N. Collison enters the game for D. Waiters,,26-18,,
0:31.0,K. Singler enters the game for S. Ibaka,,26-18,,
0:31.0,,,26-19,1,M. Morris makes free throw 2 of 2
0:11.0,C. Payne misses 3-pt shot from 22 ft,,26-19,,
0:09.0,Offensive rebound by C. Payne,,26-19,,
0:08.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Payne),2,28-19,,
0:03.0,,,28-19,,D. Booker misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by E. Kanter,,28-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,28-19,,Shooting foul by N. Collison (drawn by M. Teletovic)
11:40.0,,,28-20,1,M. Teletovic makes free throw 1 of 2
11:40.0,,,28-21,1,M. Teletovic makes free throw 2 of 2
11:27.0,,,28-21,,Personal foul by A. Goodwin (drawn by K. Singler)
11:18.0,Turnover by K. Singler (traveling),,28-21,,
11:00.0,,,28-23,2,M. Teletovic makes 2-pt shot from 17 ft (assist by S. Weems)
10:36.0,E. Kanter misses 2-pt shot from 6 ft,,28-23,,
10:33.0,Offensive rebound by K. Singler,,28-23,,
10:33.0,K. Singler makes 2-pt shot from 1 ft,2,30-23,,
10:23.0,,,30-25,2,A. Len makes 2-pt shot at rim (assist by S. Weems)
10:04.0,A. Morrow makes 3-pt shot from 24 ft (assist by C. Payne),3,33-25,,
9:51.0,,,33-25,,S. Weems misses 2-pt shot from 1 ft
9:51.0,,,33-25,,Offensive rebound by Team
9:51.0,Loose ball foul by C. Payne (drawn by A. Len),,33-25,,
9:51.0,S. Adams enters the game for E. Kanter,,33-25,,
9:44.0,,,33-27,2,M. Teletovic makes 2-pt shot from 17 ft (assist by A. Goodwin)
9:17.0,C. Payne makes 3-pt shot from 24 ft,3,36-27,,
9:03.0,,,36-29,2,M. Teletovic makes 2-pt shot from 10 ft (assist by S. Weems)
8:47.0,Turnover by N. Collison (bad pass; steal by P. Tucker),,36-29,,
8:38.0,Shooting block foul by N. Collison (drawn by M. Teletovic),,36-29,,
8:38.0,Official timeout,,36-29,,
8:38.0,R. Westbrook enters the game for N. Collison,,36-29,,
8:38.0,D. Waiters enters the game for A. Morrow,,36-29,,
8:38.0,,,36-30,1,M. Teletovic makes free throw 1 of 2
8:38.0,,,36-31,1,M. Teletovic makes free throw 2 of 2
8:26.0,K. Singler misses 2-pt shot from 12 ft,,36-31,,
8:22.0,,,36-31,,Defensive rebound by A. Len
8:08.0,,,36-33,2,A. Len makes 2-pt shot from 17 ft (assist by A. Goodwin)
7:51.0,C. Payne makes 3-pt shot from 23 ft (assist by D. Waiters),3,39-33,,
7:26.0,,,39-35,2,A. Len makes 2-pt shot from 17 ft (assist by A. Goodwin)
7:06.0,K. Singler makes 3-pt shot from 24 ft (assist by R. Westbrook),3,42-35,,
7:03.0,K. Durant enters the game for K. Singler,,42-35,,
6:45.0,,,42-37,2,M. Teletovic makes 2-pt shot at rim (assist by A. Len)
6:32.0,R. Westbrook makes 3-pt shot from 25 ft,3,45-37,,
6:08.0,,,45-39,2,A. Goodwin makes 2-pt shot at rim (assist by M. Teletovic)
5:54.0,,,45-39,,Personal foul by P. Tucker (drawn by R. Westbrook)
5:54.0,,,45-39,,Phoenix full timeout
5:54.0,S. Ibaka enters the game for S. Adams,,45-39,,
5:47.0,Turnover by R. Westbrook (bad pass; steal by P. Tucker),,45-39,,
5:34.0,,,45-39,,Shooting foul by S. Ibaka (drawn by A. Len)
5:34.0,,,45-40,1,A. Len makes free throw 1 of 2
5:34.0,,,45-41,1,A. Len makes free throw 2 of 2
5:22.0,R. Westbrook misses 2-pt shot from 8 ft,,45-41,,
5:18.0,,,45-41,,Defensive rebound by A. Len
5:11.0,,,45-43,2,M. Teletovic makes 2-pt shot from 13 ft (assist by A. Len)
4:50.0,D. Waiters makes 3-pt shot from 25 ft (assist by K. Durant),3,48-43,,
4:34.0,,,48-43,,S. Weems misses 2-pt shot from 2 ft
4:31.0,,,48-43,,Offensive rebound by A. Len
4:31.0,,,48-45,2,A. Len makes 2-pt shot at rim
4:16.0,,,48-45,,Personal foul by S. Weems (drawn by K. Durant)
4:06.0,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook),2,50-45,,
3:51.0,,,50-47,2,P. Tucker makes 2-pt shot from 1 ft
3:44.0,Oklahoma City full timeout,,50-47,,
3:33.0,Turnover by R. Westbrook (bad pass; steal by A. Len),,50-47,,
3:23.0,,,50-49,2,P. Tucker makes 2-pt shot from 2 ft
3:08.0,S. Ibaka makes 2-pt shot from 13 ft (assist by K. Durant),2,52-49,,
2:41.0,,,52-49,,A. Goodwin misses 2-pt shot from 4 ft
2:38.0,Defensive rebound by C. Payne,,52-49,,
2:37.0,,,52-49,,Personal foul by S. Weems (drawn by R. Westbrook)
2:37.0,,,52-49,,D. Booker enters the game for A. Len
2:37.0,,,52-49,,T. Chandler enters the game for S. Weems
2:37.0,,,52-49,,M. Morris enters the game for M. Teletovic
2:37.0,K. Singler enters the game for C. Payne,,52-49,,
2:32.0,Shooting foul by A. Goodwin (drawn by R. Westbrook),,52-49,,
2:32.0,R. Westbrook makes free throw 1 of 2,1,53-49,,
2:32.0,R. Westbrook makes free throw 2 of 2,1,54-49,,
2:20.0,,,54-51,2,T. Chandler makes 2-pt shot at rim (assist by A. Goodwin)
2:01.0,K. Durant misses 2-pt shot from 15 ft,,54-51,,
1:58.0,,,54-51,,Defensive rebound by T. Chandler
1:53.0,,,54-51,,A. Goodwin misses 2-pt shot from 14 ft
1:53.0,,,54-51,,Offensive rebound by Team
1:53.0,Loose ball foul by K. Singler (drawn by M. Morris),,54-51,,
1:53.0,,,54-51,,M. Morris misses free throw 1 of 2
1:53.0,,,54-51,,Offensive rebound by Team
1:53.0,E. Kanter enters the game for K. Singler,,54-51,,
1:53.0,,,54-52,1,M. Morris makes free throw 2 of 2
1:36.0,K. Durant misses 3-pt shot from 28 ft,,54-52,,
1:34.0,,,54-52,,Defensive rebound by A. Goodwin
1:30.0,,,54-52,,P. Tucker misses 3-pt shot from 23 ft
1:27.0,,,54-52,,Offensive rebound by M. Morris
1:25.0,,,54-54,2,T. Chandler makes 2-pt shot from 2 ft (assist by P. Tucker)
1:12.0,Shooting foul by A. Goodwin (drawn by R. Westbrook),,54-54,,
1:12.0,R. Westbrook makes free throw 1 of 2,1,55-54,,
1:12.0,R. Westbrook misses free throw 2 of 2,,55-54,,
1:11.0,,,55-54,,Defensive rebound by T. Chandler
1:02.0,,,55-54,,A. Goodwin misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by Team,,55-54,,
1:00.0,,,55-54,,S. Weems enters the game for A. Goodwin
0:52.0,,,55-54,,Personal foul by S. Weems (drawn by R. Westbrook)
0:52.0,R. Westbrook makes free throw 1 of 2,1,56-54,,
0:52.0,R. Westbrook makes free throw 2 of 2,1,57-54,,
0:40.0,,,57-56,2,M. Morris makes 2-pt shot from 2 ft
0:40.0,,,57-56,,Shooting foul by S. Ibaka (drawn by M. Morris)
0:40.0,,,57-57,1,M. Morris makes free throw 1 of 1
0:34.0,R. Westbrook misses 3-pt shot from 25 ft,,57-57,,
0:31.0,,,57-57,,Defensive rebound by P. Tucker
0:07.0,,,57-57,,Turnover by Team (shot clock)
0:07.0,A. Morrow enters the game for S. Ibaka,,57-57,,
0:01.0,A. Morrow misses 3-pt shot from 26 ft,,57-57,,
0:00.0,,,57-57,,Defensive rebound by T. Chandler
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,57-57,,D. Booker misses 2-pt shot from 13 ft
11:46.0,Defensive rebound by S. Ibaka,,57-57,,
11:38.0,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook),2,59-57,,
11:25.0,Personal foul by S. Ibaka (drawn by M. Morris),,59-57,,
11:12.0,,,59-57,,Shooting foul by K. Durant (drawn by A. Goodwin)
11:12.0,,,59-58,1,A. Goodwin makes free throw 1 of 2
11:12.0,K. Singler enters the game for S. Ibaka,,59-58,,
11:12.0,,,59-59,1,A. Goodwin makes free throw 2 of 2
10:57.0,R. Westbrook misses 3-pt shot from 25 ft,,59-59,,
10:56.0,,,59-59,,Defensive rebound by Team
10:42.0,,,59-61,2,M. Morris makes 2-pt shot at rim (assist by A. Goodwin)
10:12.0,D. Waiters makes 2-pt shot from 18 ft,2,61-61,,
9:59.0,Personal foul by D. Waiters (drawn by D. Booker),,61-61,,
9:47.0,,,61-61,,M. Morris misses 2-pt shot from 14 ft
9:46.0,Defensive rebound by R. Westbrook,,61-61,,
9:42.0,R. Westbrook misses 2-pt shot from 2 ft,,61-61,,
9:40.0,,,61-61,,Defensive rebound by T. Chandler
9:38.0,,,61-61,,Turnover by T. Chandler (lost ball; steal by R. Westbrook)
9:35.0,D. Waiters misses 3-pt shot from 25 ft,,61-61,,
9:32.0,,,61-61,,Defensive rebound by T. Chandler
9:17.0,,,61-63,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
9:01.0,Turnover by K. Durant (step out of bounds),,61-63,,
8:48.0,Personal foul by K. Singler (drawn by M. Morris),,61-63,,
8:41.0,,,61-65,2,M. Morris makes 2-pt shot from 16 ft
8:26.0,K. Durant makes 2-pt shot from 19 ft (assist by R. Westbrook),2,63-65,,
8:05.0,,,63-65,,T. Chandler misses 2-pt shot from 14 ft
8:03.0,,,63-65,,Offensive rebound by P. Tucker
8:03.0,Personal foul by R. Westbrook (drawn by P. Tucker),,63-65,,
8:03.0,,,63-66,1,P. Tucker makes free throw 1 of 2
8:03.0,E. Kanter enters the game for K. Singler,,63-66,,
8:03.0,,,63-67,1,P. Tucker makes free throw 2 of 2
7:55.0,,,63-67,,Personal foul by P. Tucker (drawn by K. Durant)
7:49.0,R. Westbrook misses 3-pt shot from 25 ft,,63-67,,
7:47.0,Offensive rebound by S. Adams,,63-67,,
7:44.0,S. Adams makes 2-pt shot from 1 ft,2,65-67,,
7:37.0,,,65-67,,Offensive foul by D. Booker
7:37.0,,,65-67,,Turnover by D. Booker (offensive foul)
7:22.0,E. Kanter makes 3-pt shot from 23 ft (assist by S. Adams),3,68-67,,
7:03.0,,,68-69,2,P. Tucker makes 2-pt shot from 1 ft (assist by M. Morris)
6:51.0,R. Westbrook makes 2-pt shot from 12 ft,2,70-69,,
6:42.0,,,70-71,2,T. Chandler makes 2-pt shot at rim (assist by A. Goodwin)
6:22.0,K. Durant misses 3-pt shot from 25 ft,,70-71,,
6:21.0,,,70-71,,Defensive rebound by D. Booker
6:13.0,Personal foul by E. Kanter (drawn by T. Chandler),,70-71,,
6:13.0,,,70-71,,Technical foul by T. Chandler
6:13.0,Technical foul by D. Waiters,,70-71,,
6:13.0,Oklahoma City full timeout,,70-71,,
6:13.0,,,70-71,,T. Chandler misses free throw 1 of 2
6:13.0,,,70-71,,Offensive rebound by Team
6:13.0,,,70-72,1,T. Chandler makes free throw 2 of 2
6:00.0,K. Durant misses 2-pt shot from 20 ft,,70-72,,
5:57.0,Offensive rebound by R. Westbrook,,70-72,,
5:47.0,E. Kanter misses 3-pt shot from 23 ft,,70-72,,
5:45.0,,,70-72,,Defensive rebound by M. Morris
5:30.0,,,70-72,,D. Booker misses 2-pt shot from 17 ft
5:29.0,Defensive rebound by K. Durant,,70-72,,
5:19.0,K. Durant misses 2-pt shot from 2 ft,,70-72,,
5:19.0,Offensive rebound by Team,,70-72,,
5:19.0,,,70-72,,Loose ball foul by M. Morris (drawn by E. Kanter)
5:14.0,R. Westbrook misses 2-pt shot from 2 ft (block by M. Morris),,70-72,,
5:14.0,,,70-72,,Defensive rebound by Team
5:06.0,,,70-72,,Turnover by M. Morris (bad pass; steal by D. Waiters)
5:02.0,Shooting foul by D. Booker (drawn by D. Waiters),,70-72,,
5:02.0,D. Waiters misses free throw 1 of 2,,70-72,,
5:02.0,Offensive rebound by Team,,70-72,,
5:02.0,D. Waiters makes free throw 2 of 2,1,71-72,,
4:51.0,,,71-72,,D. Booker misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by K. Durant,,71-72,,
4:43.0,Shooting foul by T. Chandler (drawn by S. Adams),,71-72,,
4:43.0,S. Adams makes free throw 1 of 2,1,72-72,,
4:43.0,,,72-72,,A. Len enters the game for T. Chandler
4:43.0,S. Adams makes free throw 2 of 2,1,73-72,,
4:29.0,,,73-72,,Turnover by D. Booker (bad pass; steal by K. Durant)
4:23.0,K. Durant misses 2-pt shot from 23 ft,,73-72,,
4:20.0,,,73-72,,Defensive rebound by A. Len
4:07.0,,,73-72,,A. Len misses 2-pt shot from 18 ft
4:05.0,,,73-72,,Offensive rebound by P. Tucker
4:02.0,,,73-74,2,P. Tucker makes 2-pt shot from 2 ft
3:53.0,Shooting foul by A. Len (drawn by S. Adams),,73-74,,
3:53.0,S. Adams misses free throw 1 of 2,,73-74,,
3:53.0,Offensive rebound by Team,,73-74,,
3:53.0,,,73-74,,M. Teletovic enters the game for M. Morris
3:53.0,S. Adams misses free throw 2 of 2,,73-74,,
3:52.0,Offensive rebound by E. Kanter,,73-74,,
3:52.0,E. Kanter makes 2-pt shot at rim,2,75-74,,
3:42.0,,,75-77,3,M. Teletovic makes 3-pt shot from 25 ft (assist by P. Tucker)
3:15.0,K. Durant misses 3-pt shot from 24 ft,,75-77,,
3:13.0,,,75-77,,Defensive rebound by A. Goodwin
3:08.0,,,75-77,,A. Goodwin misses 2-pt shot from 1 ft
3:05.0,,,75-77,,Offensive rebound by A. Goodwin
3:05.0,,,75-79,2,A. Goodwin makes 2-pt shot from 2 ft
3:05.0,Oklahoma City full timeout,,75-79,,
3:05.0,K. Singler enters the game for S. Adams,,75-79,,
2:55.0,K. Durant misses 2-pt shot from 5 ft,,75-79,,
2:53.0,Offensive rebound by E. Kanter,,75-79,,
2:53.0,E. Kanter misses 2-pt shot from 1 ft,,75-79,,
2:49.0,,,75-79,,Defensive rebound by A. Len
2:38.0,,,75-81,2,D. Booker makes 2-pt shot from 7 ft
2:23.0,R. Westbrook misses 2-pt shot from 17 ft,,75-81,,
2:21.0,Offensive rebound by R. Westbrook,,75-81,,
2:19.0,R. Westbrook misses 2-pt shot from 7 ft (block by A. Len),,75-81,,
2:19.0,Offensive rebound by Team,,75-81,,
2:19.0,C. Payne enters the game for R. Westbrook,,75-81,,
2:19.0,,,75-81,,S. Weems enters the game for A. Goodwin
2:17.0,K. Durant makes 3-pt shot from 24 ft (assist by C. Payne),3,78-81,,
1:56.0,,,78-81,,M. Teletovic misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by C. Payne,,78-81,,
1:49.0,,,78-81,,Shooting block foul by M. Teletovic (drawn by K. Durant)
1:49.0,K. Durant makes free throw 1 of 2,1,79-81,,
1:49.0,K. Durant makes free throw 2 of 2,1,80-81,,
1:40.0,Personal foul by E. Kanter (drawn by D. Booker),,80-81,,
1:40.0,,,80-82,1,D. Booker makes free throw 1 of 2
1:40.0,,,80-83,1,D. Booker makes free throw 2 of 2
1:25.0,Turnover by C. Payne (bad pass; steal by A. Len),,80-83,,
1:19.0,,,80-85,2,P. Tucker makes 2-pt shot from 1 ft (assist by D. Booker)
1:06.0,K. Durant makes 2-pt shot from 14 ft,2,82-85,,
0:48.0,,,82-85,,M. Teletovic misses 2-pt shot from 4 ft
0:42.0,Defensive rebound by E. Kanter,,82-85,,
0:38.0,D. Waiters makes 2-pt shot from 10 ft,2,84-85,,
0:38.0,Shooting foul by D. Booker (drawn by D. Waiters),,84-85,,
0:38.0,D. Waiters misses free throw 1 of 1,,84-85,,
0:37.0,Offensive rebound by K. Singler,,84-85,,
0:33.0,K. Durant makes 3-pt shot from 24 ft (assist by K. Singler),3,87-85,,
0:09.0,,,87-85,,Turnover by P. Tucker (bad pass; steal by D. Waiters)
0:06.0,D. Waiters misses 2-pt shot from 2 ft (block by D. Booker),,87-85,,
0:05.0,Offensive rebound by K. Singler,,87-85,,
0:05.0,Shooting foul by A. Len (drawn by K. Singler),,87-85,,
0:05.0,K. Singler makes free throw 1 of 2,1,88-85,,
0:05.0,,,88-85,,A. Goodwin enters the game for S. Weems
0:05.0,K. Singler makes free throw 2 of 2,1,89-85,,
0:01.0,,,89-85,,A. Goodwin misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by E. Kanter,,89-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Payne makes 3-pt shot from 22 ft (assist by K. Singler),3,92-85,,
11:33.0,Personal foul by E. Kanter (drawn by A. Len),,92-85,,
11:19.0,,,92-85,,A. Goodwin misses 2-pt shot from 21 ft
11:17.0,Defensive rebound by D. Waiters,,92-85,,
11:07.0,K. Durant makes 2-pt shot from 2 ft (assist by C. Payne),2,94-85,,
11:07.0,,,94-85,,Shooting block foul by A. Len (drawn by K. Durant)
11:07.0,K. Durant makes free throw 1 of 1,1,95-85,,
10:54.0,,,95-85,,Shooting foul by K. Singler (drawn by A. Goodwin)
10:54.0,,,95-85,,A. Goodwin misses free throw 1 of 2
10:54.0,,,95-85,,Offensive rebound by Team
10:54.0,,,95-86,1,A. Goodwin makes free throw 2 of 2
10:31.0,E. Kanter misses 2-pt shot from 2 ft,,95-86,,
10:29.0,Offensive rebound by K. Durant,,95-86,,
10:19.0,D. Waiters misses 3-pt shot from 24 ft,,95-86,,
10:17.0,,,95-86,,Defensive rebound by S. Weems
10:03.0,,,95-86,,M. Teletovic misses 2-pt shot from 4 ft (block by K. Durant)
10:00.0,Defensive rebound by K. Singler,,95-86,,
9:59.0,Shooting foul by A. Goodwin (drawn by D. Waiters),,95-86,,
9:59.0,D. Waiters makes free throw 1 of 2,1,96-86,,
9:59.0,S. Ibaka enters the game for K. Durant,,96-86,,
9:59.0,D. Waiters makes free throw 2 of 2,1,97-86,,
9:44.0,,,97-86,,M. Teletovic misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by Team,,97-86,,
9:43.0,R. Westbrook enters the game for D. Waiters,,97-86,,
9:27.0,Offensive foul by E. Kanter,,97-86,,
9:27.0,Turnover by E. Kanter (offensive foul),,97-86,,
9:27.0,,,97-86,,M. Morris enters the game for A. Len
9:27.0,,,97-86,,T. Chandler enters the game for S. Weems
9:27.0,,,97-86,,D. Booker enters the game for M. Teletovic
9:27.0,S. Adams enters the game for E. Kanter,,97-86,,
9:19.0,Personal foul by R. Westbrook (drawn by D. Booker),,97-86,,
9:07.0,,,97-88,2,A. Goodwin makes 2-pt shot from 2 ft (assist by M. Morris)
8:48.0,R. Westbrook makes 2-pt shot from 16 ft,2,99-88,,
8:40.0,,,99-88,,Turnover by A. Goodwin (bad pass; steal by R. Westbrook)
8:36.0,C. Payne misses 2-pt shot from 2 ft,,99-88,,
8:34.0,,,99-88,,Defensive rebound by D. Booker
8:29.0,,,99-88,,Offensive charge foul by D. Booker
8:29.0,,,99-88,,Turnover by D. Booker (offensive foul)
8:29.0,Official timeout,,99-88,,
8:14.0,Turnover by R. Westbrook (bad pass; steal by M. Morris),,99-88,,
7:57.0,,,99-88,,M. Morris misses 2-pt shot from 15 ft
7:55.0,Defensive rebound by S. Adams,,99-88,,
7:50.0,Turnover by R. Westbrook (bad pass),,99-88,,
7:33.0,,,99-88,,M. Morris misses 2-pt shot from 4 ft (block by S. Ibaka)
7:32.0,Defensive rebound by Team,,99-88,,
7:28.0,,,99-88,,Personal foul by D. Booker (drawn by C. Payne)
7:11.0,K. Singler misses 3-pt shot from 25 ft,,99-88,,
7:10.0,Offensive rebound by S. Adams,,99-88,,
7:10.0,,,99-88,,Personal foul by D. Booker (drawn by S. Adams)
7:10.0,,,99-88,,S. Weems enters the game for D. Booker
7:04.0,S. Ibaka misses 3-pt shot from 25 ft,,99-88,,
7:02.0,,,99-88,,Defensive rebound by S. Weems
6:51.0,,,99-90,2,M. Morris makes 2-pt shot from 7 ft
6:51.0,,,99-90,,Shooting foul by S. Adams (drawn by M. Morris)
6:51.0,,,99-91,1,M. Morris makes free throw 1 of 1
6:27.0,C. Payne misses 2-pt shot from 6 ft,,99-91,,
6:24.0,,,99-91,,Defensive rebound by M. Morris
6:21.0,,,99-91,,Shooting foul by S. Adams (drawn by A. Goodwin)
6:21.0,,,99-92,1,A. Goodwin makes free throw 1 of 2
6:21.0,K. Durant enters the game for K. Singler,,99-92,,
6:21.0,D. Waiters enters the game for C. Payne,,99-92,,
6:21.0,,,99-92,,A. Goodwin misses free throw 2 of 2
6:20.0,Defensive rebound by S. Adams,,99-92,,
6:10.0,S. Adams misses 2-pt shot at rim (block by T. Chandler),,99-92,,
6:06.0,Offensive rebound by R. Westbrook,,99-92,,
6:04.0,R. Westbrook misses 2-pt shot at rim,,99-92,,
6:03.0,,,99-92,,Defensive rebound by A. Goodwin
6:00.0,,,99-94,2,A. Goodwin makes 2-pt shot from 1 ft
5:58.0,Oklahoma City full timeout,,99-94,,
5:51.0,Turnover by R. Westbrook (bad pass; steal by P. Tucker),,99-94,,
5:48.0,,,99-94,,P. Tucker misses 2-pt shot from 2 ft (block by K. Durant)
5:44.0,,,99-94,,Offensive rebound by P. Tucker
5:44.0,,,99-96,2,P. Tucker makes 2-pt shot from 3 ft
