time,Atlanta,pts.away,score,pts.home,Denver
2:58.0,Jump ball: K. Bazemore vs. G. Harris (P. Millsap gains possession),,,,Jump ball: K. Bazemore vs. G. Harris (P. Millsap gains possession)
2:58.0,,,24-24,,Turnover by G. Harris (bad pass; steal by K. Bazemore)
2:46.0,,,24-24,,Violation by J. Lauvergne (kicked ball)
2:46.0,,,24-24,,W. Barton enters the game for G. Harris
2:39.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,26-24,,
2:15.0,,,26-24,,D. Arthur misses 3-pt shot from 24 ft
2:15.0,,,26-24,,Offensive rebound by R. Foye
2:07.0,,,26-24,,R. Foye misses 2-pt shot from 20 ft
2:07.0,Defensive rebound by T. Sefolosha,,26-24,,
1:45.0,P. Millsap misses 2-pt shot from 15 ft,,26-24,,
1:44.0,,,26-24,,Defensive rebound by J. Lauvergne
1:32.0,,,26-24,,Turnover by J. Lauvergne (bad pass; steal by P. Millsap)
1:22.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,29-24,,
1:22.0,,,29-24,,Denver full timeout
1:22.0,,,29-24,,S. Kilpatrick enters the game for D. Gallinari
0:59.0,,,29-26,2,S. Kilpatrick makes 2-pt shot from 3 ft
0:57.0,Shooting foul by D. Arthur (drawn by K. Bazemore),,29-26,,
0:57.0,K. Bazemore makes free throw 1 of 2,1,30-26,,
0:57.0,K. Bazemore makes free throw 2 of 2,1,31-26,,
0:40.0,,,31-26,,D. Arthur misses 2-pt shot from 18 ft
0:39.0,,,31-26,,Offensive rebound by W. Barton
0:37.0,,,31-28,2,W. Barton makes 2-pt shot from 4 ft
0:30.0,K. Bazemore misses 3-pt shot from 26 ft,,31-28,,
0:29.0,,,31-28,,Defensive rebound by J. Lauvergne
0:12.0,,,31-30,2,D. Arthur makes 2-pt shot at rim (assist by W. Barton)
0:01.0,D. Schroder misses 2-pt shot from 2 ft,,31-30,,
0:00.0,Offensive rebound by Team,,31-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,A. Horford makes 2-pt shot from 1 ft,2,33-30,,
11:27.0,Personal foul by M. Scott (drawn by R. Foye),,33-30,,
11:21.0,,,33-30,,R. Foye misses 2-pt shot from 20 ft
11:21.0,Defensive rebound by T. Sefolosha,,33-30,,
11:01.0,Shooting foul by J. Nurkic (drawn by D. Schroder),,33-30,,
11:01.0,D. Schroder makes free throw 1 of 2,1,34-30,,
11:01.0,D. Schroder misses free throw 2 of 2,,34-30,,
11:01.0,Offensive rebound by D. Schroder,,34-30,,
10:48.0,A. Horford misses 2-pt shot from 1 ft,,34-30,,
10:47.0,,,34-30,,Defensive rebound by W. Barton
10:39.0,,,34-30,,W. Barton misses 2-pt shot from 1 ft
10:38.0,Defensive rebound by A. Horford,,34-30,,
10:38.0,Jump ball: D. Arthur vs. A. Horford (T. Hardaway gains possession),,,,Jump ball: D. Arthur vs. A. Horford (T. Hardaway gains possession)
10:14.0,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder),2,36-30,,
9:54.0,,,36-30,,D. Arthur misses 2-pt shot from 20 ft
9:54.0,,,36-30,,Offensive rebound by Team
9:54.0,Loose ball foul by A. Horford (drawn by J. Nurkic),,36-30,,
9:46.0,,,36-30,,J. Nurkic misses 2-pt shot from 4 ft
9:46.0,Defensive rebound by M. Scott,,36-30,,
9:40.0,D. Schroder makes 2-pt shot from 2 ft,2,38-30,,
9:40.0,,,38-30,,Denver full timeout
9:33.0,,,38-30,,Turnover by R. Foye (step out of bounds)
9:22.0,A. Horford misses 2-pt shot at rim,,38-30,,
9:22.0,,,38-30,,Defensive rebound by W. Barton
9:17.0,,,38-33,3,W. Barton makes 3-pt shot from 24 ft
8:48.0,T. Hardaway misses 3-pt shot from 25 ft,,38-33,,
8:47.0,,,38-33,,Defensive rebound by R. Foye
8:33.0,,,38-33,,Shooting foul by T. Sefolosha (drawn by W. Barton)
8:33.0,Official timeout,,38-33,,
8:33.0,,,38-34,1,W. Barton makes free throw 1 of 2
8:33.0,,,38-35,1,W. Barton makes free throw 2 of 2
8:23.0,Shooting foul by S. Kilpatrick (drawn by D. Schroder),,38-35,,
8:23.0,D. Schroder makes free throw 1 of 2,1,39-35,,
8:23.0,D. Schroder makes free throw 2 of 2,1,40-35,,
7:57.0,,,40-35,,J. Nurkic misses 2-pt shot from 3 ft
7:55.0,Defensive rebound by M. Scott,,40-35,,
7:50.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,43-35,,
7:36.0,,,43-35,,S. Kilpatrick misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by D. Schroder,,43-35,,
7:24.0,A. Horford misses 2-pt shot from 2 ft,,43-35,,
7:16.0,,,43-35,,Defensive rebound by W. Barton
7:11.0,,,43-35,,D. Arthur misses 2-pt shot from 14 ft
7:11.0,,,43-35,,Offensive rebound by Team
7:11.0,Loose ball foul by A. Horford (drawn by J. Nurkic),,43-35,,
7:11.0,,,43-35,,D. Gallinari enters the game for D. Arthur
7:11.0,,,43-35,,G. Harris enters the game for S. Kilpatrick
7:11.0,,,43-35,,E. Mudiay enters the game for R. Foye
7:11.0,K. Korver enters the game for T. Sefolosha,,43-35,,
7:11.0,T. Splitter enters the game for A. Horford,,43-35,,
7:06.0,,,43-37,2,J. Nurkic makes 2-pt shot from 1 ft (assist by E. Mudiay)
6:56.0,Shooting foul by J. Nurkic (drawn by T. Splitter),,43-37,,
6:56.0,T. Splitter makes free throw 1 of 2,1,44-37,,
6:56.0,J. Teague enters the game for D. Schroder,,44-37,,
6:56.0,P. Millsap enters the game for M. Scott,,44-37,,
6:56.0,T. Splitter makes free throw 2 of 2,1,45-37,,
6:42.0,,,45-37,,Turnover by J. Nurkic (lost ball; steal by J. Teague)
6:36.0,T. Hardaway makes 2-pt shot from 1 ft (assist by J. Teague),2,47-37,,
6:26.0,,,47-37,,W. Barton misses 2-pt shot from 2 ft
6:25.0,,,47-37,,Offensive rebound by J. Nurkic
6:25.0,,,47-37,,J. Nurkic misses 2-pt shot from 1 ft
6:23.0,Defensive rebound by K. Korver,,47-37,,
6:16.0,K. Korver misses 3-pt shot from 24 ft,,47-37,,
6:15.0,,,47-37,,Defensive rebound by E. Mudiay
6:12.0,Personal foul by T. Hardaway (drawn by J. Nurkic),,47-37,,
6:12.0,,,47-38,1,J. Nurkic makes free throw 1 of 2
6:12.0,,,47-39,1,J. Nurkic makes free throw 2 of 2
6:01.0,T. Hardaway makes 3-pt shot from 24 ft (assist by K. Korver),3,50-39,,
5:48.0,,,50-39,,W. Barton misses 2-pt shot from 16 ft
5:47.0,Defensive rebound by J. Teague,,50-39,,
5:28.0,J. Teague misses 3-pt shot from 24 ft,,50-39,,
5:27.0,Offensive rebound by P. Millsap,,50-39,,
5:23.0,P. Millsap makes 2-pt shot from 1 ft,2,52-39,,
5:21.0,,,52-39,,Denver full timeout
5:21.0,,,52-39,,K. Faried enters the game for J. Nurkic
5:11.0,,,52-39,,Shooting foul by T. Splitter (drawn by D. Gallinari)
5:11.0,,,52-40,1,D. Gallinari makes free throw 1 of 2
5:11.0,,,52-41,1,D. Gallinari makes free throw 2 of 2
5:01.0,P. Millsap misses 2-pt shot at rim (block by K. Faried),,52-41,,
4:59.0,,,52-41,,Defensive rebound by W. Barton
4:52.0,,,52-41,,D. Gallinari misses 3-pt shot from 26 ft
4:52.0,Defensive rebound by T. Hardaway,,52-41,,
4:46.0,Turnover by J. Teague (bad pass; steal by G. Harris),,52-41,,
4:42.0,,,52-41,,Shooting foul by T. Hardaway (drawn by W. Barton)
4:42.0,,,52-41,,W. Barton misses free throw 1 of 2
4:42.0,,,52-41,,Offensive rebound by Team
4:42.0,K. Bazemore enters the game for T. Hardaway,,52-41,,
4:42.0,,,52-42,1,W. Barton makes free throw 2 of 2
4:28.0,J. Teague misses 2-pt shot from 16 ft,,52-42,,
4:27.0,,,52-42,,Defensive rebound by W. Barton
4:15.0,,,52-42,,W. Barton misses 2-pt shot from 1 ft (block by P. Millsap)
4:14.0,Defensive rebound by P. Millsap,,52-42,,
4:02.0,Turnover by J. Teague (bad pass; steal by W. Barton),,52-42,,
3:58.0,,,52-44,2,W. Barton makes 2-pt shot from 1 ft
3:55.0,Atlanta full timeout,,52-44,,
3:55.0,A. Horford enters the game for T. Splitter,,52-44,,
3:41.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,54-44,,
3:23.0,,,54-44,,E. Mudiay misses 2-pt shot from 21 ft
3:22.0,,,54-44,,Offensive rebound by K. Faried
3:19.0,,,54-46,2,K. Faried makes 2-pt shot from 2 ft
2:58.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Teague),3,57-46,,
2:43.0,,,57-46,,Shooting foul by K. Bazemore (drawn by W. Barton)
2:43.0,,,57-47,1,W. Barton makes free throw 1 of 3
2:43.0,,,57-48,1,W. Barton makes free throw 2 of 3
2:43.0,,,57-49,1,W. Barton makes free throw 3 of 3
2:20.0,J. Teague makes 2-pt shot at rim,2,59-49,,
2:04.0,,,59-49,,Turnover by G. Harris (lost ball)
1:52.0,A. Horford makes 3-pt shot from 25 ft (assist by P. Millsap),3,62-49,,
1:31.0,,,62-49,,E. Mudiay misses 2-pt shot from 17 ft
1:31.0,Defensive rebound by Team,,62-49,,
1:31.0,,,62-49,,Loose ball foul by K. Faried (drawn by A. Horford)
1:31.0,,,62-49,,D. Arthur enters the game for K. Faried
1:21.0,P. Millsap misses 3-pt shot from 25 ft,,62-49,,
1:20.0,,,62-49,,Defensive rebound by W. Barton
1:11.0,,,62-49,,E. Mudiay misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by A. Horford,,62-49,,
1:00.0,K. Bazemore misses 3-pt shot from 23 ft,,62-49,,
1:00.0,,,62-49,,Defensive rebound by Team
1:00.0,T. Sefolosha enters the game for K. Bazemore,,62-49,,
1:00.0,M. Scott enters the game for A. Horford,,62-49,,
0:48.0,,,62-49,,G. Harris misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by P. Millsap,,62-49,,
0:38.0,M. Scott makes 2-pt shot from 4 ft (assist by J. Teague),2,64-49,,
0:26.0,,,64-49,,Shooting foul by J. Teague (drawn by D. Gallinari)
0:26.0,,,64-49,,D. Gallinari misses free throw 1 of 2
0:26.0,,,64-49,,Offensive rebound by Team
0:26.0,T. Hardaway enters the game for T. Sefolosha,,64-49,,
0:26.0,,,64-50,1,D. Gallinari makes free throw 2 of 2
0:04.0,J. Teague makes 2-pt shot from 8 ft,2,66-50,,
0:01.0,,,66-50,,E. Mudiay misses 3-pt shot from 25 ft
0:00.0,,,66-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,P. Millsap misses 2-pt shot from 3 ft,,66-50,,
11:43.0,,,66-50,,Defensive rebound by N. Jokic
11:37.0,,,66-50,,Turnover by E. Mudiay (bad pass; steal by J. Teague)
11:14.0,P. Millsap makes 2-pt shot from 3 ft,2,68-50,,
10:54.0,,,68-50,,Turnover by E. Mudiay (bad pass; steal by P. Millsap)
10:48.0,K. Bazemore misses 3-pt shot from 24 ft,,68-50,,
10:46.0,,,68-50,,Defensive rebound by K. Faried
10:31.0,,,68-50,,Shooting foul by A. Horford (drawn by N. Jokic)
10:31.0,,,68-50,,N. Jokic misses free throw 1 of 2
10:31.0,,,68-50,,Offensive rebound by Team
10:31.0,,,68-51,1,N. Jokic makes free throw 2 of 2
10:17.0,J. Teague misses 2-pt shot from 18 ft,,68-51,,
10:13.0,,,68-51,,Defensive rebound by K. Faried
10:01.0,,,68-51,,E. Mudiay misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by P. Millsap,,68-51,,
9:53.0,K. Korver misses 2-pt shot from 19 ft,,68-51,,
9:51.0,Offensive rebound by J. Teague,,68-51,,
9:46.0,K. Korver misses 3-pt shot from 24 ft,,68-51,,
9:46.0,Offensive rebound by J. Teague,,68-51,,
9:41.0,Shooting foul by K. Faried (drawn by P. Millsap),,68-51,,
9:41.0,P. Millsap makes free throw 1 of 2,1,69-51,,
9:41.0,P. Millsap makes free throw 2 of 2,1,70-51,,
9:28.0,,,70-51,,G. Harris misses 2-pt shot from 18 ft
9:27.0,,,70-51,,Offensive rebound by N. Jokic
9:16.0,,,70-51,,E. Mudiay misses 2-pt shot from 2 ft
9:12.0,,,70-51,,Offensive rebound by N. Jokic
9:12.0,,,70-53,2,N. Jokic makes 2-pt shot from 2 ft
9:02.0,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague),3,73-53,,
9:02.0,,,73-53,,Denver full timeout
8:49.0,,,73-53,,K. Faried misses 2-pt shot from 1 ft (block by A. Horford)
8:47.0,Defensive rebound by K. Korver,,73-53,,
8:31.0,Turnover by K. Bazemore (bad pass; steal by N. Jokic),,73-53,,
8:25.0,Personal take foul by K. Korver (drawn by D. Gallinari),,73-53,,
8:25.0,M. Scott enters the game for P. Millsap,,73-53,,
8:25.0,T. Splitter enters the game for A. Horford,,73-53,,
8:13.0,,,73-53,,D. Gallinari misses 2-pt shot from 15 ft
8:12.0,Defensive rebound by T. Splitter,,73-53,,
7:55.0,T. Splitter makes 2-pt shot from 3 ft (assist by J. Teague),2,75-53,,
7:43.0,,,75-53,,N. Jokic misses 3-pt shot from 25 ft
7:42.0,,,75-53,,Offensive rebound by Team
7:42.0,Loose ball foul by M. Scott (drawn by K. Faried),,75-53,,
7:42.0,,,75-53,,W. Barton enters the game for K. Faried
7:35.0,,,75-56,3,E. Mudiay makes 3-pt shot from 26 ft (assist by N. Jokic)
7:11.0,M. Scott misses 2-pt shot from 5 ft,,75-56,,
7:10.0,,,75-56,,Defensive rebound by N. Jokic
7:01.0,,,75-56,,W. Barton misses 3-pt shot from 26 ft
7:00.0,Defensive rebound by K. Bazemore,,75-56,,
6:48.0,T. Splitter misses 2-pt shot from 1 ft,,75-56,,
6:47.0,Offensive rebound by K. Bazemore,,75-56,,
6:47.0,Turnover by K. Korver (step out of bounds),,75-56,,
6:37.0,,,75-58,2,E. Mudiay makes 2-pt shot from 1 ft
6:26.0,J. Teague makes 2-pt shot from 14 ft,2,77-58,,
6:12.0,,,77-58,,Shooting foul by T. Splitter (drawn by E. Mudiay)
6:12.0,,,77-59,1,E. Mudiay makes free throw 1 of 2
6:12.0,P. Millsap enters the game for M. Scott,,77-59,,
6:12.0,T. Sefolosha enters the game for K. Bazemore,,77-59,,
6:12.0,,,77-59,,E. Mudiay misses free throw 2 of 2
6:10.0,Defensive rebound by T. Splitter,,77-59,,
5:51.0,Turnover by P. Millsap (traveling),,77-59,,
5:38.0,,,77-59,,D. Gallinari misses 3-pt shot from 24 ft
5:37.0,,,77-59,,Offensive rebound by N. Jokic
5:37.0,,,77-61,2,N. Jokic makes 2-pt shot from 2 ft
5:28.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,79-61,,
5:10.0,,,79-61,,D. Gallinari misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by T. Sefolosha,,79-61,,
4:57.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by P. Millsap),2,81-61,,
4:43.0,,,81-63,2,N. Jokic makes 2-pt shot from 3 ft (assist by E. Mudiay)
4:25.0,P. Millsap misses 2-pt shot from 3 ft,,81-63,,
4:24.0,,,81-63,,Defensive rebound by N. Jokic
4:14.0,,,81-63,,Shooting foul by K. Korver (drawn by D. Gallinari)
4:14.0,,,81-64,1,D. Gallinari makes free throw 1 of 2
4:14.0,K. Bazemore enters the game for K. Korver,,81-64,,
4:14.0,D. Schroder enters the game for J. Teague,,81-64,,
4:14.0,,,81-65,1,D. Gallinari makes free throw 2 of 2
3:55.0,Turnover by D. Schroder (bad pass; steal by N. Jokic),,81-65,,
3:50.0,Shooting block foul by K. Bazemore (drawn by D. Gallinari),,81-65,,
3:50.0,Atlanta full timeout,,81-65,,
3:50.0,A. Horford enters the game for T. Splitter,,81-65,,
3:50.0,,,81-66,1,D. Gallinari makes free throw 1 of 2
3:50.0,,,81-67,1,D. Gallinari makes free throw 2 of 2
3:33.0,K. Bazemore misses 2-pt shot from 3 ft,,81-67,,
3:32.0,Offensive rebound by T. Sefolosha,,81-67,,
3:32.0,T. Sefolosha misses 2-pt shot at rim,,81-67,,
3:29.0,,,81-67,,Defensive rebound by N. Jokic
3:27.0,,,81-67,,Turnover by E. Mudiay (bad pass)
3:14.0,D. Schroder misses 2-pt shot from 2 ft (block by N. Jokic),,81-67,,
3:13.0,Offensive rebound by Team,,81-67,,
3:06.0,D. Schroder misses 3-pt shot from 27 ft,,81-67,,
3:05.0,,,81-67,,Defensive rebound by N. Jokic
2:49.0,,,81-67,,D. Gallinari misses 2-pt shot from 19 ft
2:48.0,Defensive rebound by Team,,81-67,,
2:37.0,Turnover by P. Millsap (bad pass; steal by W. Barton),,81-67,,
2:27.0,,,81-69,2,D. Gallinari makes 2-pt shot from 1 ft (assist by E. Mudiay)
2:15.0,,,81-69,,Personal foul by W. Barton (drawn by D. Schroder)
2:10.0,D. Schroder misses 2-pt shot from 1 ft,,81-69,,
2:09.0,Offensive rebound by P. Millsap,,81-69,,
2:08.0,P. Millsap makes 2-pt shot from 1 ft,2,83-69,,
2:08.0,Shooting foul by E. Mudiay (drawn by P. Millsap),,83-69,,
2:08.0,,,83-69,,J. Lauvergne enters the game for N. Jokic
2:08.0,P. Millsap makes free throw 1 of 1,1,84-69,,
1:49.0,,,84-71,2,E. Mudiay makes 2-pt shot from 14 ft
1:29.0,P. Millsap misses 2-pt shot from 4 ft (block by G. Harris),,84-71,,
1:27.0,Offensive rebound by P. Millsap,,84-71,,
1:27.0,P. Millsap misses 2-pt shot from 2 ft,,84-71,,
1:25.0,,,84-71,,Defensive rebound by D. Gallinari
1:19.0,,,84-73,2,G. Harris makes 2-pt shot from 1 ft (assist by D. Gallinari)
1:01.0,K. Bazemore makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,87-73,,
0:37.0,,,87-73,,J. Lauvergne misses 2-pt shot from 6 ft
0:36.0,Defensive rebound by K. Bazemore,,87-73,,
0:31.0,D. Schroder makes 2-pt shot from 2 ft,2,89-73,,
0:31.0,Shooting foul by J. Lauvergne (drawn by D. Schroder),,89-73,,
0:31.0,,,89-73,,D. Arthur enters the game for D. Gallinari
0:31.0,T. Hardaway enters the game for P. Millsap,,89-73,,
0:31.0,D. Schroder makes free throw 1 of 1,1,90-73,,
0:15.0,,,90-76,3,G. Harris makes 3-pt shot from 23 ft (assist by E. Mudiay)
0:03.0,T. Hardaway misses 3-pt shot from 23 ft,,90-76,,
0:01.0,,,90-76,,Defensive rebound by D. Arthur
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:56.0,,,90-76,,Turnover by J. Lauvergne (bad pass; steal by T. Sefolosha)
11:53.0,T. Hardaway misses 3-pt shot from 25 ft,,90-76,,
11:51.0,,,90-76,,Defensive rebound by D. Arthur
11:38.0,,,90-78,2,W. Barton makes 2-pt shot from 1 ft
11:29.0,Shooting foul by D. Arthur (drawn by D. Schroder),,90-78,,
11:29.0,D. Schroder makes free throw 1 of 2,1,91-78,,
11:29.0,D. Schroder makes free throw 2 of 2,1,92-78,,
11:25.0,Personal foul by D. Schroder (drawn by R. Foye),,92-78,,
11:02.0,,,92-78,,Shooting foul by D. Schroder (drawn by J. Lauvergne)
11:02.0,,,92-79,1,J. Lauvergne makes free throw 1 of 2
11:02.0,,,92-80,1,J. Lauvergne makes free throw 2 of 2
10:45.0,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder),2,94-80,,
10:29.0,,,94-80,,S. Kilpatrick misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by D. Schroder,,94-80,,
10:23.0,T. Hardaway misses 2-pt shot from 2 ft,,94-80,,
10:22.0,Offensive rebound by T. Hardaway,,94-80,,
10:22.0,T. Hardaway makes 2-pt shot from 2 ft,2,96-80,,
10:10.0,,,96-80,,D. Arthur misses 2-pt shot from 18 ft
10:09.0,Defensive rebound by D. Schroder,,96-80,,
10:00.0,A. Horford makes 2-pt shot from 17 ft,2,98-80,,
10:00.0,,,98-80,,Denver full timeout
9:43.0,,,98-82,2,J. Lauvergne makes 2-pt shot at rim (assist by R. Foye)
9:21.0,Shooting foul by S. Kilpatrick (drawn by M. Scott),,98-82,,
9:21.0,M. Scott makes free throw 1 of 2,1,99-82,,
9:21.0,M. Scott makes free throw 2 of 2,1,100-82,,
9:02.0,,,100-82,,Shooting foul by T. Hardaway (drawn by S. Kilpatrick)
9:02.0,,,100-83,1,S. Kilpatrick makes free throw 1 of 2
9:02.0,,,100-84,1,S. Kilpatrick makes free throw 2 of 2
8:51.0,,,100-84,,Personal foul by R. Foye (drawn by D. Schroder)
8:40.0,M. Scott misses 3-pt shot from 24 ft,,100-84,,
8:40.0,,,100-84,,Defensive rebound by S. Kilpatrick
8:20.0,,,100-87,3,S. Kilpatrick makes 3-pt shot from 23 ft (assist by D. Arthur)
8:05.0,,,100-87,,Shooting block foul by D. Arthur (drawn by T. Sefolosha)
8:05.0,T. Sefolosha makes free throw 1 of 2,1,101-87,,
8:05.0,K. Korver enters the game for T. Hardaway,,101-87,,
8:05.0,T. Splitter enters the game for A. Horford,,101-87,,
8:05.0,T. Sefolosha makes free throw 2 of 2,1,102-87,,
7:49.0,,,102-87,,Shooting foul by T. Splitter (drawn by J. Lauvergne)
7:49.0,,,102-88,1,J. Lauvergne makes free throw 1 of 2
7:49.0,T. Hardaway enters the game for T. Sefolosha,,102-88,,
7:49.0,,,102-89,1,J. Lauvergne makes free throw 2 of 2
7:35.0,T. Hardaway misses 2-pt shot from 7 ft,,102-89,,
7:34.0,,,102-89,,Defensive rebound by J. Lauvergne
7:26.0,,,102-89,,W. Barton misses 2-pt shot from 20 ft
7:25.0,,,102-89,,Offensive rebound by R. Foye
7:24.0,,,102-89,,Turnover by R. Foye (lost ball)
