time,Memphis,pts.away,score,pts.home,Brooklyn
0:17.0,,,22-27,,T. Young misses 2-pt shot from 5 ft (block by M. Chalmers)
0:16.0,,,22-27,,Offensive rebound by Team
0:14.0,,,22-27,,Turnover by B. Bogdanovic (bad pass; steal by M. Chalmers)
0:06.0,Turnover by M. Chalmers (bad pass; steal by B. Lopez),,22-27,,
0:01.0,,,22-27,,T. Young misses 2-pt shot from 10 ft
0:00.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,M. Chalmers makes 2-pt shot from 20 ft,2,24-27,,
11:31.0,,,24-29,2,T. Young makes 2-pt shot from 2 ft (assist by S. Larkin)
11:13.0,V. Carter makes 2-pt shot from 18 ft,2,26-29,,
10:44.0,,,26-29,,T. Young misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by M. Chalmers,,26-29,,
10:41.0,,,26-29,,Personal foul by M. Brown (drawn by R. Hollins)
10:41.0,,,26-29,,C. McCullough enters the game for T. Young
10:30.0,V. Carter misses 2-pt shot from 7 ft,,26-29,,
10:29.0,Offensive rebound by V. Carter,,26-29,,
10:29.0,,,26-29,,Personal foul by C. McCullough (drawn by V. Carter)
10:29.0,V. Carter makes free throw 1 of 2,1,27-29,,
10:29.0,V. Carter makes free throw 2 of 2,1,28-29,,
10:08.0,,,28-29,,S. Larkin misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by M. Chalmers,,28-29,,
9:58.0,V. Carter misses 3-pt shot from 25 ft,,28-29,,
9:57.0,,,28-29,,Defensive rebound by S. Larkin
9:48.0,,,28-29,,S. Larkin misses 2-pt shot from 19 ft
9:47.0,,,28-29,,Offensive rebound by Team
9:47.0,M. Conley enters the game for M. Barnes,,28-29,,
9:40.0,,,28-29,,C. McCullough misses 3-pt shot from 23 ft
9:39.0,,,28-29,,Offensive rebound by B. Bogdanovic
9:32.0,,,28-29,,B. Bogdanovic misses 2-pt shot from 5 ft
9:31.0,,,28-29,,Offensive rebound by T. Robinson
9:30.0,,,28-29,,T. Robinson misses 2-pt shot at rim
9:29.0,Defensive rebound by Team,,28-29,,
9:05.0,M. Conley makes 3-pt shot from 23 ft (assist by J. Green),3,31-29,,
8:53.0,,,31-29,,Offensive foul by C. McCullough
8:53.0,,,31-29,,Turnover by C. McCullough (offensive foul)
8:53.0,Official timeout,,31-29,,
8:40.0,J. Green makes 2-pt shot at rim (assist by M. Conley),2,33-29,,
8:17.0,,,33-29,,Turnover by T. Robinson (bad pass)
8:02.0,V. Carter makes 2-pt shot at rim (assist by M. Chalmers),2,35-29,,
8:01.0,,,35-29,,Brooklyn full timeout
8:01.0,,,35-29,,T. Young enters the game for C. McCullough
8:01.0,,,35-29,,B. Lopez enters the game for T. Robinson
7:45.0,,,35-29,,B. Bogdanovic misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by M. Chalmers,,35-29,,
7:31.0,Turnover by V. Carter (bad pass),,35-29,,
7:15.0,,,35-31,2,T. Young makes 2-pt shot from 7 ft
7:02.0,,,35-31,,Personal foul by T. Young (drawn by M. Conley)
7:02.0,Z. Randolph enters the game for M. Chalmers,,35-31,,
6:49.0,V. Carter makes 3-pt shot from 24 ft (assist by Z. Randolph),3,38-31,,
6:31.0,,,38-31,,M. Brown misses 3-pt shot from 25 ft
6:30.0,,,38-31,,Offensive rebound by B. Bogdanovic
6:29.0,,,38-31,,B. Bogdanovic misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by V. Carter,,38-31,,
6:20.0,Turnover by M. Conley (bad pass; steal by B. Lopez),,38-31,,
6:14.0,,,38-31,,Turnover by S. Larkin (bad pass; steal by J. Green)
5:59.0,M. Conley misses 2-pt shot from 13 ft,,38-31,,
5:58.0,,,38-31,,Defensive rebound by T. Young
5:54.0,,,38-31,,M. Brown misses 2-pt shot from 2 ft
5:53.0,Defensive rebound by Team,,38-31,,
5:53.0,,,38-31,,J. Johnson enters the game for B. Bogdanovic
5:53.0,,,38-31,,D. Sloan enters the game for S. Larkin
5:53.0,,,38-31,,W. Ellington enters the game for M. Brown
5:31.0,Turnover by Z. Randolph (3 sec),,38-31,,
5:18.0,,,38-31,,Shooting foul by R. Hollins (drawn by B. Lopez)
5:18.0,,,38-32,1,B. Lopez makes free throw 1 of 2
5:18.0,T. Allen enters the game for J. Green,,38-32,,
5:18.0,C. Lee enters the game for V. Carter,,38-32,,
5:18.0,,,38-33,1,B. Lopez makes free throw 2 of 2
5:01.0,R. Hollins misses 2-pt shot from 8 ft,,38-33,,
5:00.0,,,38-33,,Defensive rebound by D. Sloan
4:43.0,,,38-33,,T. Young misses 2-pt shot from 8 ft
4:42.0,Defensive rebound by Z. Randolph,,38-33,,
4:32.0,C. Lee makes 2-pt shot from 3 ft,2,40-33,,
4:20.0,,,40-35,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Sloan)
4:08.0,,,40-35,,Violation by B. Lopez (kicked ball)
4:08.0,Memphis full timeout,,40-35,,
4:08.0,J. Green enters the game for R. Hollins,,40-35,,
3:59.0,C. Lee misses 3-pt shot from 23 ft,,40-35,,
3:57.0,,,40-35,,Defensive rebound by B. Lopez
3:40.0,,,40-35,,Turnover by B. Lopez (3 sec)
3:26.0,Z. Randolph makes 2-pt shot from 6 ft (assist by T. Allen),2,42-35,,
3:04.0,,,42-37,2,B. Lopez makes 2-pt shot from 9 ft
2:50.0,M. Conley makes 2-pt shot from 2 ft,2,44-37,,
2:39.0,Personal foul by Z. Randolph (drawn by B. Lopez),,44-37,,
2:31.0,,,44-40,3,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan)
2:17.0,M. Conley makes 2-pt shot from 2 ft (assist by Z. Randolph),2,46-40,,
2:01.0,,,46-42,2,B. Lopez makes 2-pt shot from 18 ft (assist by D. Sloan)
1:39.0,Z. Randolph makes 2-pt shot from 17 ft (assist by C. Lee),2,48-42,,
1:21.0,,,48-42,,B. Lopez misses 2-pt shot from 14 ft
1:20.0,Defensive rebound by T. Allen,,48-42,,
1:14.0,Turnover by C. Lee (traveling),,48-42,,
1:00.0,,,48-42,,Shooting foul by C. Lee (drawn by W. Ellington)
1:00.0,,,48-42,,W. Ellington misses free throw 1 of 2
1:00.0,,,48-42,,Offensive rebound by Team
1:00.0,,,48-43,1,W. Ellington makes free throw 2 of 2
0:44.0,Z. Randolph misses 2-pt shot from 1 ft,,48-43,,
0:43.0,,,48-43,,Defensive rebound by J. Johnson
0:39.0,,,48-43,,Shooting foul by J. Green (drawn by B. Lopez)
0:39.0,,,48-44,1,B. Lopez makes free throw 1 of 2
