time,Houston,pts.away,score,pts.home,Detroit
5:21.0,J. Harden makes technical free throw,1,28-48,,
5:21.0,,,28-48,,R. Jackson enters the game for S. Blake
5:19.0,Turnover by T. Ariza (step out of bounds),,28-48,,
5:03.0,,,28-50,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:37.0,T. Ariza misses 3-pt shot from 24 ft,,28-50,,
4:36.0,,,28-50,,Defensive rebound by A. Tolliver
4:29.0,,,28-50,,K. Caldwell-Pope misses 2-pt shot from 3 ft (block by T. Ariza)
4:28.0,,,28-50,,Offensive rebound by K. Caldwell-Pope
4:24.0,,,28-52,2,K. Caldwell-Pope makes 2-pt shot from 8 ft
4:12.0,T. Ariza misses 2-pt shot from 1 ft (block by S. Johnson),,28-52,,
4:12.0,Offensive rebound by Team,,28-52,,
4:12.0,,,28-52,,E. Ilyasova enters the game for A. Tolliver
4:00.0,C. Capela misses 2-pt shot from 4 ft,,28-52,,
3:58.0,Offensive rebound by J. Harden,,28-52,,
3:56.0,J. Harden misses 2-pt shot from 1 ft,,28-52,,
3:55.0,Offensive rebound by C. Capela,,28-52,,
3:54.0,C. Capela misses 2-pt shot from 2 ft,,28-52,,
3:53.0,Offensive rebound by T. Jones,,28-52,,
3:52.0,T. Jones makes 2-pt shot at rim,2,30-52,,
3:50.0,Personal foul by P. Beverley (drawn by R. Jackson),,30-52,,
3:38.0,,,30-52,,K. Caldwell-Pope misses 2-pt shot at rim
3:37.0,,,30-52,,Offensive rebound by S. Johnson
3:21.0,,,30-54,2,A. Drummond makes 2-pt shot at rim
3:08.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,32-54,,
2:50.0,,,32-57,3,R. Jackson makes 3-pt shot from 24 ft
2:31.0,C. Capela misses 2-pt shot at rim,,32-57,,
2:30.0,,,32-57,,Defensive rebound by A. Drummond
2:14.0,,,32-60,3,R. Jackson makes 3-pt shot from 23 ft
2:14.0,Houston full timeout,,32-60,,
2:14.0,Official timeout,,32-60,,
2:14.0,,,32-60,,A. Baynes enters the game for A. Drummond
2:14.0,,,32-60,,M. Morris enters the game for S. Johnson
2:03.0,Shooting foul by R. Jackson (drawn by J. Harden),,32-60,,
2:03.0,J. Harden makes free throw 1 of 2,1,33-60,,
2:03.0,,,33-60,,S. Blake enters the game for R. Jackson
2:03.0,J. Harden makes free throw 2 of 2,1,34-60,,
1:44.0,,,34-62,2,K. Caldwell-Pope makes 2-pt shot from 15 ft (assist by A. Baynes)
1:30.0,Shooting foul by E. Ilyasova (drawn by T. Jones),,34-62,,
1:30.0,T. Jones makes free throw 1 of 2,1,35-62,,
1:30.0,T. Jones misses free throw 2 of 2,,35-62,,
1:29.0,Offensive rebound by C. Capela,,35-62,,
1:22.0,C. Capela makes 2-pt shot from 1 ft,2,37-62,,
1:05.0,,,37-62,,E. Ilyasova misses 2-pt shot from 18 ft
1:04.0,Defensive rebound by T. Jones,,37-62,,
0:57.0,P. Beverley misses 2-pt shot from 6 ft,,37-62,,
0:57.0,Offensive rebound by C. Capela,,37-62,,
0:54.0,C. Capela makes 2-pt shot at rim,2,39-62,,
0:38.0,Personal foul by P. Beverley (drawn by S. Blake),,39-62,,
0:27.0,,,39-62,,M. Morris misses 2-pt shot from 15 ft
0:27.0,,,39-62,,Offensive rebound by E. Ilyasova
0:27.0,,,39-64,2,E. Ilyasova makes 2-pt shot at rim
0:04.0,J. Harden makes 2-pt shot at rim,2,41-64,,
0:01.0,,,41-64,,S. Blake misses 3-pt shot from 30 ft (block by P. Beverley)
0:00.0,,,41-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Jump ball: P. Beverley vs. R. Jackson (C. Capela gains possession),,,,Jump ball: P. Beverley vs. R. Jackson (C. Capela gains possession)
11:34.0,P. Beverley misses 3-pt shot from 27 ft,,41-64,,
11:33.0,,,41-64,,Defensive rebound by E. Ilyasova
11:18.0,,,41-64,,Shooting foul by D. Howard (drawn by A. Drummond)
11:18.0,,,41-64,,A. Drummond misses free throw 1 of 2
11:18.0,,,41-64,,Offensive rebound by Team
11:18.0,,,41-65,1,A. Drummond makes free throw 2 of 2
11:04.0,P. Beverley makes 2-pt shot from 3 ft (assist by D. Howard),2,43-65,,
10:49.0,,,43-65,,Turnover by R. Jackson (bad pass; steal by C. Capela)
10:37.0,C. Capela misses 2-pt shot from 1 ft,,43-65,,
10:36.0,,,43-65,,Defensive rebound by E. Ilyasova
10:23.0,,,43-67,2,A. Drummond makes 2-pt shot at rim
10:05.0,T. Ariza misses 3-pt shot from 24 ft,,43-67,,
10:05.0,,,43-67,,Defensive rebound by A. Drummond
9:56.0,Personal foul by C. Capela (drawn by R. Jackson),,43-67,,
9:56.0,M. Harrell enters the game for C. Capela,,43-67,,
9:45.0,,,43-67,,E. Ilyasova misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by T. Ariza,,43-67,,
9:33.0,M. Harrell makes 2-pt shot at rim (assist by P. Beverley),2,45-67,,
9:11.0,,,45-69,2,M. Morris makes 2-pt shot from 18 ft (assist by R. Jackson)
9:06.0,Offensive foul by D. Howard,,45-69,,
9:06.0,Turnover by D. Howard (offensive foul),,45-69,,
8:48.0,,,45-69,,Shooting foul by M. Harrell (drawn by E. Ilyasova)
8:48.0,,,45-70,1,E. Ilyasova makes free throw 1 of 2
8:48.0,,,45-71,1,E. Ilyasova makes free throw 2 of 2
8:35.0,P. Beverley misses 2-pt shot at rim,,45-71,,
8:33.0,Offensive rebound by D. Howard,,45-71,,
8:30.0,D. Howard makes 2-pt shot at rim,2,47-71,,
8:17.0,,,47-71,,K. Caldwell-Pope misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by J. Harden,,47-71,,
7:55.0,J. Harden makes 2-pt shot from 5 ft,2,49-71,,
7:39.0,,,49-71,,Turnover by M. Morris (bad pass; steal by P. Beverley)
7:33.0,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza),3,52-71,,
7:33.0,,,52-71,,Detroit full timeout
7:14.0,,,52-71,,M. Morris misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by D. Howard,,52-71,,
7:04.0,J. Harden misses 3-pt shot from 27 ft,,52-71,,
7:04.0,,,52-71,,Defensive rebound by A. Drummond
6:48.0,,,52-71,,Shooting foul by D. Howard (drawn by A. Drummond)
6:48.0,,,52-71,,A. Drummond misses free throw 1 of 2
6:48.0,,,52-71,,Offensive rebound by Team
6:48.0,T. Lawson enters the game for P. Beverley,,52-71,,
6:48.0,,,52-71,,A. Drummond misses free throw 2 of 2
6:47.0,Defensive rebound by Team,,52-71,,
6:32.0,Turnover by J. Harden (bad pass; steal by A. Drummond),,52-71,,
6:16.0,,,52-71,,A. Drummond misses 2-pt shot at rim (block by D. Howard)
6:15.0,Defensive rebound by M. Harrell,,52-71,,
5:57.0,D. Howard misses 2-pt shot from 3 ft,,52-71,,
5:55.0,,,52-71,,Defensive rebound by A. Drummond
5:55.0,Personal foul by D. Howard (drawn by A. Drummond),,52-71,,
5:55.0,,,52-72,1,A. Drummond makes free throw 1 of 2
5:55.0,C. Capela enters the game for D. Howard,,52-72,,
5:55.0,,,52-72,,A. Drummond misses free throw 2 of 2
5:54.0,Defensive rebound by J. Harden,,52-72,,
5:29.0,T. Ariza misses 2-pt shot from 10 ft,,52-72,,
5:28.0,,,52-72,,Defensive rebound by R. Jackson
5:23.0,,,52-72,,R. Jackson misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by M. Harrell,,52-72,,
5:17.0,C. Capela makes 2-pt shot at rim (assist by T. Ariza),2,54-72,,
5:11.0,Personal take foul by T. Ariza (drawn by A. Drummond),,54-72,,
5:11.0,,,54-72,,A. Drummond misses free throw 1 of 2
5:11.0,,,54-72,,Offensive rebound by Team
5:11.0,,,54-72,,A. Drummond misses free throw 2 of 2
5:09.0,Defensive rebound by J. Harden,,54-72,,
5:03.0,Turnover by J. Harden (lost ball; steal by A. Drummond),,54-72,,
5:00.0,Personal take foul by C. Capela (drawn by A. Drummond),,54-72,,
5:00.0,,,54-72,,A. Drummond misses free throw 1 of 2
5:00.0,,,54-72,,Offensive rebound by Team
5:00.0,C. Brewer enters the game for C. Capela,,54-72,,
5:00.0,,,54-72,,A. Drummond misses free throw 2 of 2
4:58.0,Defensive rebound by J. Harden,,54-72,,
4:49.0,T. Lawson misses 2-pt shot from 9 ft,,54-72,,
4:48.0,,,54-72,,Defensive rebound by A. Drummond
4:47.0,Personal take foul by M. Harrell (drawn by A. Drummond),,54-72,,
4:47.0,,,54-72,,A. Drummond misses free throw 1 of 2
4:47.0,,,54-72,,Offensive rebound by Team
4:47.0,,,54-72,,S. Johnson enters the game for M. Morris
4:47.0,M. Thornton enters the game for T. Ariza,,54-72,,
4:47.0,,,54-73,1,A. Drummond makes free throw 2 of 2
4:31.0,M. Harrell makes 2-pt shot at rim (assist by T. Lawson),2,56-73,,
4:31.0,Personal take foul by M. Harrell (drawn by A. Drummond),,56-73,,
4:31.0,,,56-74,1,A. Drummond makes free throw 1 of 2
4:31.0,,,56-74,,A. Drummond misses free throw 2 of 2
4:30.0,Defensive rebound by M. Thornton,,56-74,,
4:28.0,,,56-74,,Personal take foul by S. Johnson (drawn by J. Harden)
4:28.0,,,56-74,,A. Baynes enters the game for A. Drummond
4:12.0,C. Brewer makes 2-pt shot from 5 ft (assist by T. Lawson),2,58-74,,
3:48.0,,,58-76,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by R. Jackson)
3:42.0,,,58-76,,Personal foul by R. Jackson (drawn by T. Lawson)
3:42.0,,,58-76,,A. Tolliver enters the game for E. Ilyasova
3:36.0,,,58-76,,Personal foul by A. Baynes (drawn by M. Harrell)
3:26.0,T. Lawson makes 3-pt shot from 24 ft,3,61-76,,
3:08.0,,,61-78,2,A. Tolliver makes 2-pt shot from 18 ft (assist by R. Jackson)
2:58.0,T. Lawson misses 2-pt shot from 1 ft,,61-78,,
2:58.0,Offensive rebound by T. Lawson,,61-78,,
2:50.0,C. Brewer misses 3-pt shot from 24 ft,,61-78,,
2:49.0,,,61-78,,Defensive rebound by R. Jackson
2:42.0,,,61-81,3,S. Johnson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
2:40.0,Houston full timeout,,61-81,,
2:40.0,D. Howard enters the game for M. Harrell,,61-81,,
2:40.0,,,61-81,,S. Blake enters the game for R. Jackson
2:13.0,T. Lawson makes 3-pt shot from 22 ft (assist by J. Harden),3,64-81,,
2:00.0,,,64-81,,A. Baynes misses 2-pt shot at rim
1:59.0,Defensive rebound by D. Howard,,64-81,,
1:53.0,C. Brewer makes 2-pt shot from 1 ft (assist by D. Howard),2,66-81,,
1:39.0,,,66-84,3,S. Johnson makes 3-pt shot from 26 ft (assist by A. Baynes)
1:28.0,M. Thornton makes 3-pt shot from 26 ft (assist by T. Lawson),3,69-84,,
1:14.0,,,69-84,,Turnover by A. Baynes (bad pass; steal by D. Howard)
1:00.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,71-84,,
0:39.0,,,71-84,,S. Johnson misses 2-pt shot from 8 ft
0:38.0,Defensive rebound by M. Thornton,,71-84,,
0:20.0,M. Thornton makes 2-pt shot from 19 ft,2,73-84,,
0:01.0,,,73-84,,A. Baynes misses 2-pt shot from 3 ft
0:00.0,,,73-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,73-84,,Turnover by R. Jackson (lost ball; steal by M. Thornton)
11:45.0,Shooting foul by S. Johnson (drawn by C. Brewer),,73-84,,
11:45.0,C. Brewer makes free throw 1 of 2,1,74-84,,
11:45.0,C. Brewer makes free throw 2 of 2,1,75-84,,
11:31.0,,,75-84,,S. Johnson misses 3-pt shot from 26 ft
11:30.0,Defensive rebound by C. Brewer,,75-84,,
11:22.0,M. Thornton misses 3-pt shot from 26 ft,,75-84,,
11:21.0,Offensive rebound by C. Brewer,,75-84,,
11:16.0,T. Lawson makes 3-pt shot from 25 ft (assist by J. Harden),3,78-84,,
10:46.0,,,78-84,,M. Morris misses 3-pt shot from 27 ft
10:46.0,Defensive rebound by C. Brewer,,78-84,,
10:45.0,Shooting foul by S. Johnson (drawn by J. Harden),,78-84,,
10:45.0,J. Harden makes free throw 1 of 2,1,79-84,,
10:45.0,J. Harden makes free throw 2 of 2,1,80-84,,
10:33.0,,,80-84,,M. Morris misses 3-pt shot from 26 ft
10:33.0,,,80-84,,Offensive rebound by Team
10:33.0,Inbound foul by M. Thornton,,80-84,,
10:33.0,,,80-84,,S. Johnson misses free throw 1 of 2
10:33.0,,,80-84,,Offensive rebound by Team
10:33.0,,,80-85,1,S. Johnson makes free throw 2 of 2
10:20.0,Turnover by T. Lawson (bad pass; steal by S. Johnson),,80-85,,
10:11.0,,,80-85,,K. Caldwell-Pope misses 3-pt shot from 26 ft
10:11.0,,,80-85,,Offensive rebound by A. Drummond
10:07.0,,,80-87,2,A. Drummond makes 2-pt shot at rim
9:39.0,J. Harden misses 2-pt shot from 15 ft,,80-87,,
9:39.0,,,80-87,,Defensive rebound by S. Johnson
9:39.0,,,80-89,2,R. Jackson makes 2-pt shot from 13 ft
9:39.0,Houston full timeout,,80-89,,
9:39.0,T. Ariza enters the game for T. Lawson,,80-89,,
9:39.0,P. Beverley enters the game for C. Brewer,,80-89,,
9:18.0,P. Beverley misses 2-pt shot from 1 ft (block by A. Drummond),,80-89,,
9:16.0,Offensive rebound by M. Thornton,,80-89,,
9:09.0,P. Beverley misses 3-pt shot from 24 ft,,80-89,,
9:09.0,,,80-89,,Defensive rebound by M. Morris
8:57.0,,,80-89,,R. Jackson misses 2-pt shot from 1 ft (block by P. Beverley)
8:57.0,,,80-89,,Offensive rebound by Team
8:51.0,,,80-89,,R. Jackson misses 2-pt shot from 5 ft
8:51.0,Defensive rebound by T. Ariza,,80-89,,
8:39.0,Turnover by M. Thornton (lost ball; steal by K. Caldwell-Pope),,80-89,,
8:19.0,,,80-89,,Turnover by K. Caldwell-Pope (bad pass; steal by M. Thornton)
8:09.0,J. Harden makes 3-pt shot from 27 ft (assist by M. Thornton),3,83-89,,
7:45.0,,,83-91,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
7:23.0,Shooting foul by M. Morris (drawn by J. Harden),,83-91,,
7:23.0,J. Harden misses free throw 1 of 3,,83-91,,
7:23.0,Offensive rebound by Team,,83-91,,
7:23.0,J. Harden makes free throw 2 of 3,1,84-91,,
7:23.0,C. Capela enters the game for D. Howard,,84-91,,
7:23.0,J. Harden makes free throw 3 of 3,1,85-91,,
7:07.0,,,85-93,2,R. Jackson makes 2-pt shot from 1 ft
6:47.0,C. Capela misses 2-pt shot from 5 ft,,85-93,,
6:47.0,,,85-93,,Defensive rebound by A. Drummond
6:32.0,,,85-93,,Shooting foul by J. Harden (drawn by R. Jackson)
6:32.0,,,85-93,,R. Jackson misses free throw 1 of 2
6:32.0,,,85-93,,Offensive rebound by Team
6:32.0,C. Brewer enters the game for J. Harden,,85-93,,
6:32.0,,,85-94,1,R. Jackson makes free throw 2 of 2
6:11.0,P. Beverley misses 2-pt shot from 5 ft (block by A. Drummond),,85-94,,
6:11.0,Offensive rebound by Team,,85-94,,
