time,New Orleans,pts.away,score,pts.home,Philadelphia
1:22.0,,,27-19,,C. Landry enters the game for J. Grant
1:05.0,D. Cunningham makes 2-pt shot at rim (assist by T. Frazier),2,29-19,,
0:49.0,,,29-19,,N. Stauskas misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by J. Hamilton,,29-19,,
0:41.0,Turnover by J. Hamilton (bad pass),,29-19,,
0:27.0,,,29-21,2,N. Stauskas makes 2-pt shot from 1 ft (assist by C. Landry)
0:22.0,T. Frazier misses 2-pt shot from 16 ft,,29-21,,
0:19.0,,,29-21,,Defensive rebound by C. Landry
0:00.0,,,29-21,,H. Thompson misses 3-pt shot from 26 ft
0:00.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,29-23,2,H. Thompson makes 2-pt shot from 2 ft
11:32.0,L. Babbitt makes 2-pt shot from 8 ft,2,31-23,,
11:16.0,,,31-23,,H. Thompson misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by J. Ennis,,31-23,,
11:07.0,L. Babbitt misses 2-pt shot from 8 ft (block by N. Stauskas),,31-23,,
11:05.0,Offensive rebound by L. Babbitt,,31-23,,
11:05.0,L. Babbitt makes 2-pt shot at rim,2,33-23,,
10:55.0,,,33-23,,R. Covington misses 2-pt shot at rim
10:53.0,,,33-23,,Offensive rebound by C. Landry
10:52.0,,,33-25,2,C. Landry makes 2-pt shot from 1 ft
10:38.0,Offensive charge foul by J. Ennis,,33-25,,
10:38.0,Turnover by J. Ennis (offensive foul),,33-25,,
10:22.0,,,33-27,2,T. McConnell makes 2-pt shot from 1 ft
10:09.0,L. Babbitt misses 2-pt shot from 11 ft,,33-27,,
10:07.0,,,33-27,,Defensive rebound by H. Thompson
9:54.0,,,33-29,2,C. Landry makes 2-pt shot from 1 ft (assist by T. McConnell)
9:49.0,New Orleans full timeout,,33-29,,
9:49.0,,,33-29,,I. Smith enters the game for T. McConnell
9:36.0,L. Babbitt misses 2-pt shot from 7 ft,,33-29,,
9:35.0,,,33-29,,Defensive rebound by C. Landry
9:25.0,,,33-32,3,C. Landry makes 3-pt shot from 25 ft (assist by H. Thompson)
9:07.0,,,33-32,,Personal foul by H. Thompson
9:02.0,T. Douglas misses 3-pt shot from 25 ft,,33-32,,
9:02.0,,,33-32,,Defensive rebound by Team
8:49.0,,,33-32,,R. Covington misses 2-pt shot from 3 ft
8:49.0,,,33-32,,Offensive rebound by Team
8:49.0,Loose ball foul by L. Babbitt,,33-32,,
8:37.0,,,33-35,3,H. Thompson makes 3-pt shot from 24 ft (assist by N. Stauskas)
8:25.0,J. Ennis misses 3-pt shot from 24 ft,,33-35,,
8:23.0,Offensive rebound by J. Hamilton,,33-35,,
8:21.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Hamilton),3,36-35,,
8:11.0,,,36-35,,Turnover by I. Smith (lost ball; steal by J. Hamilton)
8:10.0,,,36-35,,Personal foul by C. Landry
8:10.0,D. Cunningham enters the game for L. Babbitt,,36-35,,
7:55.0,T. Douglas misses 2-pt shot from 9 ft,,36-35,,
7:54.0,,,36-35,,Defensive rebound by N. Stauskas
7:46.0,,,36-35,,R. Covington misses 3-pt shot from 26 ft
7:45.0,,,36-35,,Offensive rebound by C. Landry
7:44.0,,,36-37,2,C. Landry makes 2-pt shot from 1 ft
7:29.0,D. Cunningham makes 2-pt shot from 12 ft,2,38-37,,
7:05.0,,,38-37,,N. Stauskas misses 2-pt shot from 2 ft
7:04.0,Defensive rebound by K. Perkins,,38-37,,
6:54.0,J. Hamilton makes 2-pt shot from 20 ft,2,40-37,,
6:53.0,,,40-37,,Philadelphia full timeout
6:37.0,,,40-37,,R. Covington misses 3-pt shot from 26 ft
6:35.0,,,40-37,,Offensive rebound by C. Landry
6:25.0,,,40-39,2,C. Landry makes 2-pt shot from 15 ft (assist by H. Thompson)
6:07.0,J. Hamilton makes 2-pt shot from 1 ft,2,42-39,,
5:55.0,,,42-39,,R. Covington misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by K. Perkins,,42-39,,
5:44.0,J. Hamilton misses 2-pt shot from 6 ft,,42-39,,
5:43.0,,,42-39,,Defensive rebound by R. Covington
5:35.0,,,42-42,3,N. Stauskas makes 3-pt shot from 24 ft (assist by H. Thompson)
5:17.0,Turnover by T. Douglas (lost ball; steal by R. Covington),,42-42,,
5:15.0,,,42-42,,Shooting foul by J. Hamilton (drawn by R. Covington)
5:15.0,,,42-43,1,R. Covington makes free throw 1 of 2
5:15.0,,,42-43,,I. Canaan enters the game for N. Stauskas
5:15.0,A. Ajinca enters the game for J. Hamilton,,42-43,,
5:15.0,T. Frazier enters the game for K. Perkins,,42-43,,
5:15.0,,,42-43,,J. Grant enters the game for H. Thompson
5:15.0,,,42-44,1,R. Covington makes free throw 2 of 2
5:00.0,A. Ajinca misses 2-pt shot from 6 ft,,42-44,,
4:59.0,,,42-44,,Defensive rebound by J. Grant
4:41.0,,,42-44,,I. Canaan misses 2-pt shot from 1 ft
4:40.0,,,42-44,,Offensive rebound by R. Covington
4:40.0,,,42-44,,R. Covington misses 2-pt shot at rim
4:37.0,Defensive rebound by T. Douglas,,42-44,,
4:25.0,D. Cunningham makes 3-pt shot from 27 ft (assist by T. Frazier),3,45-44,,
4:00.0,,,45-46,2,J. Grant makes 2-pt shot from 16 ft (assist by I. Canaan)
3:42.0,A. Ajinca misses 2-pt shot from 16 ft,,45-46,,
3:41.0,,,45-46,,Defensive rebound by R. Covington
3:35.0,,,45-46,,Shooting foul by T. Douglas (drawn by I. Smith)
3:35.0,,,45-47,1,I. Smith makes free throw 1 of 2
3:35.0,,,45-47,,N. Noel enters the game for C. Landry
3:35.0,J. Hamilton enters the game for J. Ennis,,45-47,,
3:35.0,,,45-48,1,I. Smith makes free throw 2 of 2
3:21.0,T. Douglas misses 3-pt shot from 25 ft,,45-48,,
3:20.0,Offensive rebound by J. Hamilton,,45-48,,
3:17.0,Offensive foul by A. Ajinca,,45-48,,
3:17.0,Turnover by A. Ajinca (offensive foul),,45-48,,
3:17.0,,,45-48,,N. Stauskas enters the game for R. Covington
3:17.0,K. Perkins enters the game for A. Ajinca,,45-48,,
3:17.0,Violation by Team (delay of game),,45-48,,
3:05.0,,,45-48,,I. Canaan misses 2-pt shot from 10 ft
3:04.0,Defensive rebound by K. Perkins,,45-48,,
2:49.0,K. Perkins makes 2-pt shot from 4 ft,2,47-48,,
2:40.0,,,47-50,2,I. Smith makes 2-pt shot from 16 ft
2:25.0,D. Cunningham misses 3-pt shot from 24 ft,,47-50,,
2:24.0,,,47-50,,Defensive rebound by I. Smith
2:18.0,,,47-53,3,I. Canaan makes 3-pt shot from 25 ft (assist by I. Smith)
1:58.0,K. Perkins misses 2-pt shot from 5 ft,,47-53,,
1:57.0,Offensive rebound by J. Hamilton,,47-53,,
1:57.0,Shooting foul by J. Grant (drawn by J. Hamilton),,47-53,,
1:57.0,Official timeout,,47-53,,
1:57.0,J. Hamilton makes free throw 1 of 2,1,48-53,,
1:57.0,J. Hamilton makes free throw 2 of 2,1,49-53,,
1:32.0,,,49-55,2,J. Grant makes 2-pt shot from 1 ft (assist by I. Smith)
1:08.0,T. Douglas misses 2-pt shot from 13 ft (block by I. Smith),,49-55,,
1:06.0,Offensive rebound by T. Douglas,,49-55,,
1:05.0,T. Douglas makes 2-pt shot from 7 ft,2,51-55,,
0:50.0,,,51-57,2,I. Canaan makes 2-pt shot from 1 ft
0:34.0,T. Frazier misses 2-pt shot from 14 ft,,51-57,,
0:33.0,Offensive rebound by T. Douglas,,51-57,,
0:16.0,T. Douglas misses 2-pt shot from 21 ft,,51-57,,
0:13.0,,,51-57,,Defensive rebound by N. Noel
0:01.0,,,51-57,,I. Canaan misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Hamilton,,51-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,51-57,,R. Covington misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by A. Ajinca,,51-57,,
11:20.0,A. Ajinca makes 2-pt shot from 8 ft,2,53-57,,
11:04.0,,,53-60,3,I. Canaan makes 3-pt shot from 25 ft (assist by I. Smith)
10:54.0,D. Cunningham makes 3-pt shot from 23 ft (assist by T. Frazier),3,56-60,,
10:31.0,,,56-60,,I. Smith misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by T. Douglas,,56-60,,
10:24.0,,,56-60,,Personal foul by E. Brand
10:05.0,A. Ajinca makes 2-pt shot from 13 ft,2,58-60,,
9:53.0,Personal foul by T. Frazier,,58-60,,
9:39.0,,,58-60,,J. Grant misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by D. Cunningham,,58-60,,
9:30.0,T. Frazier misses 2-pt shot from 8 ft,,58-60,,
9:28.0,,,58-60,,Defensive rebound by E. Brand
9:20.0,,,58-62,2,E. Brand makes 2-pt shot from 10 ft (assist by I. Canaan)
9:06.0,Shooting foul by R. Covington (drawn by D. Cunningham),,58-62,,
9:06.0,D. Cunningham makes free throw 1 of 2,1,59-62,,
9:06.0,D. Cunningham makes free throw 2 of 2,1,60-62,,
8:55.0,,,60-62,,J. Grant misses 2-pt shot from 9 ft
8:53.0,Defensive rebound by A. Ajinca,,60-62,,
8:45.0,Turnover by A. Ajinca (traveling),,60-62,,
8:33.0,,,60-62,,E. Brand misses 2-pt shot from 11 ft
8:32.0,,,60-62,,Offensive rebound by J. Grant
8:32.0,,,60-62,,J. Grant misses 2-pt shot at rim
8:31.0,Defensive rebound by L. Babbitt,,60-62,,
8:22.0,A. Ajinca misses 2-pt shot from 13 ft,,60-62,,
8:21.0,Offensive rebound by T. Frazier,,60-62,,
8:16.0,D. Cunningham misses 3-pt shot from 23 ft,,60-62,,
8:14.0,,,60-62,,Defensive rebound by R. Covington
8:07.0,,,60-65,3,R. Covington makes 3-pt shot from 24 ft (assist by I. Smith)
7:52.0,T. Douglas makes 2-pt shot from 16 ft,2,62-65,,
7:39.0,,,62-65,,Turnover by R. Covington (lost ball; steal by T. Frazier)
7:34.0,L. Babbitt misses 2-pt shot from 2 ft,,62-65,,
7:32.0,,,62-65,,Defensive rebound by E. Brand
7:21.0,,,62-68,3,I. Canaan makes 3-pt shot from 23 ft (assist by J. Grant)
7:10.0,T. Frazier misses 3-pt shot from 25 ft,,62-68,,
7:08.0,,,62-68,,Defensive rebound by E. Brand
6:57.0,,,62-68,,Philadelphia full timeout
6:48.0,,,62-70,2,I. Smith makes 2-pt shot from 16 ft
6:34.0,T. Douglas misses 3-pt shot from 24 ft,,62-70,,
6:32.0,,,62-70,,Defensive rebound by R. Covington
6:26.0,,,62-72,2,I. Smith makes 2-pt shot at rim
6:12.0,,,62-72,,Personal foul by I. Canaan
6:12.0,,,62-72,,N. Stauskas enters the game for I. Canaan
6:12.0,,,62-72,,N. Noel enters the game for E. Brand
5:59.0,Turnover by A. Ajinca (lost ball; steal by J. Grant),,62-72,,
5:55.0,,,62-72,,Shooting foul by L. Babbitt (drawn by J. Grant)
5:55.0,,,62-73,1,J. Grant makes free throw 1 of 2
5:55.0,J. Ennis enters the game for T. Douglas,,62-73,,
5:55.0,,,62-74,1,J. Grant makes free throw 2 of 2
5:45.0,,,62-74,,Shooting block foul by I. Smith (drawn by J. Ennis)
5:45.0,J. Ennis makes free throw 1 of 2,1,63-74,,
5:45.0,J. Ennis misses free throw 2 of 2,,63-74,,
5:44.0,,,63-74,,Defensive rebound by N. Noel
5:31.0,,,63-74,,Turnover by N. Noel (lost ball; steal by T. Frazier)
5:31.0,Jump ball: T. Frazier vs. N. Noel (D. Cunningham gains possession),,,,Jump ball: T. Frazier vs. N. Noel (D. Cunningham gains possession)
5:25.0,J. Ennis makes 2-pt shot at rim (assist by D. Cunningham),2,65-74,,
5:13.0,,,65-74,,R. Covington misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by T. Frazier,,65-74,,
5:01.0,D. Cunningham makes 3-pt shot from 26 ft (assist by L. Babbitt),3,68-74,,
4:48.0,,,68-74,,N. Stauskas misses 2-pt shot from 18 ft
4:47.0,Defensive rebound by A. Ajinca,,68-74,,
4:44.0,,,68-74,,H. Thompson enters the game for R. Covington
4:27.0,Turnover by A. Ajinca (traveling),,68-74,,
4:27.0,,,68-74,,C. Landry enters the game for J. Grant
4:17.0,,,68-76,2,C. Landry makes 2-pt shot from 15 ft (assist by N. Stauskas)
3:56.0,L. Babbitt misses 2-pt shot from 7 ft,,68-76,,
3:54.0,Offensive rebound by A. Ajinca,,68-76,,
3:53.0,A. Ajinca makes 2-pt shot from 2 ft,2,70-76,,
3:38.0,,,70-76,,N. Noel misses 2-pt shot from 2 ft
3:36.0,Defensive rebound by L. Babbitt,,70-76,,
3:32.0,D. Cunningham makes 2-pt shot at rim (assist by T. Frazier),2,72-76,,
3:13.0,,,72-76,,I. Smith misses 3-pt shot from 25 ft
3:11.0,,,72-76,,Offensive rebound by N. Noel
2:56.0,,,72-78,2,C. Landry makes 2-pt shot from 15 ft (assist by N. Stauskas)
2:46.0,T. Frazier misses 2-pt shot from 17 ft (block by I. Smith),,72-78,,
2:44.0,,,72-78,,Defensive rebound by C. Landry
2:37.0,,,72-81,3,C. Landry makes 3-pt shot from 25 ft (assist by I. Smith)
2:23.0,L. Babbitt misses 2-pt shot from 2 ft,,72-81,,
2:21.0,Offensive rebound by A. Ajinca,,72-81,,
2:21.0,A. Ajinca misses 2-pt shot from 1 ft,,72-81,,
2:20.0,Offensive rebound by L. Babbitt,,72-81,,
2:20.0,New Orleans full timeout,,72-81,,
2:20.0,,,72-81,,T. McConnell enters the game for I. Smith
2:20.0,K. Perkins enters the game for A. Ajinca,,72-81,,
2:20.0,T. Douglas enters the game for T. Frazier,,72-81,,
2:20.0,Jump ball: L. Babbitt vs. C. Landry (H. Thompson gains possession),,,,Jump ball: L. Babbitt vs. C. Landry (H. Thompson gains possession)
2:20.0,Turnover by L. Babbitt (lost ball; steal by C. Landry),,72-81,,
2:03.0,Personal foul by J. Ennis,,72-81,,
2:03.0,J. Hamilton enters the game for L. Babbitt,,72-81,,
1:48.0,,,72-81,,Turnover by Team (shot clock)
1:34.0,K. Perkins misses 2-pt shot from 2 ft (block by N. Noel),,72-81,,
1:32.0,,,72-81,,Defensive rebound by C. Landry
1:16.0,,,72-83,2,C. Landry makes 2-pt shot from 10 ft (assist by N. Stauskas)
1:16.0,,,72-83,,Shooting foul by D. Cunningham (drawn by C. Landry)
1:16.0,,,72-84,1,C. Landry makes free throw 1 of 1
1:05.0,T. Douglas misses 2-pt shot from 17 ft,,72-84,,
1:03.0,,,72-84,,Defensive rebound by H. Thompson
0:54.0,,,72-84,,T. McConnell misses 2-pt shot from 7 ft
0:53.0,,,72-84,,Offensive rebound by T. McConnell
0:51.0,,,72-84,,N. Stauskas misses 3-pt shot from 23 ft
0:48.0,,,72-84,,Offensive rebound by T. McConnell
0:38.0,,,72-86,2,N. Noel makes 2-pt shot at rim (assist by N. Stauskas)
0:29.0,,,72-86,,Shooting block foul by N. Noel (drawn by J. Ennis)
0:29.0,J. Ennis misses free throw 1 of 2,,72-86,,
0:29.0,Offensive rebound by Team,,72-86,,
0:29.0,J. Ennis makes free throw 2 of 2,1,73-86,,
0:07.0,,,73-86,,Shooting foul by T. Douglas (drawn by H. Thompson)
0:07.0,,,73-87,1,H. Thompson makes free throw 1 of 2
0:07.0,,,73-87,,J. Grant enters the game for C. Landry
0:07.0,,,73-88,1,H. Thompson makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,T. Douglas makes 3-pt shot from 24 ft (assist by J. Hamilton),3,76-88,,
11:14.0,,,76-90,2,N. Stauskas makes 2-pt shot from 1 ft (assist by H. Thompson)
11:04.0,T. Douglas misses 2-pt shot from 15 ft,,76-90,,
11:02.0,,,76-90,,Defensive rebound by C. Landry
10:56.0,,,76-90,,Turnover by T. McConnell (lost ball)
10:56.0,,,76-90,,R. Covington enters the game for N. Noel
10:43.0,Turnover by J. Ennis (lost ball; steal by R. Covington),,76-90,,
10:37.0,,,76-93,3,H. Thompson makes 3-pt shot from 25 ft (assist by T. McConnell)
10:21.0,L. Babbitt makes 2-pt shot from 13 ft (assist by K. Perkins),2,78-93,,
9:54.0,,,78-96,3,T. McConnell makes 3-pt shot from 25 ft (assist by N. Stauskas)
9:39.0,Turnover by T. Douglas (lost ball; steal by T. McConnell),,78-96,,
9:35.0,,,78-96,,H. Thompson misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by L. Babbitt,,78-96,,
9:34.0,,,78-96,,Personal foul by R. Covington
9:10.0,J. Ennis misses 3-pt shot from 23 ft,,78-96,,
9:09.0,,,78-96,,Defensive rebound by R. Covington
9:00.0,,,78-98,2,T. McConnell makes 2-pt shot from 2 ft
8:42.0,J. Ennis makes 2-pt shot from 2 ft (assist by K. Perkins),2,80-98,,
8:41.0,,,80-98,,Philadelphia full timeout
8:41.0,T. Frazier enters the game for T. Douglas,,80-98,,
8:30.0,,,80-98,,N. Stauskas misses 2-pt shot from 17 ft (block by J. Ennis)
8:30.0,Defensive rebound by Team,,80-98,,
8:22.0,K. Perkins makes 2-pt shot from 2 ft (assist by J. Ennis),2,82-98,,
8:01.0,,,82-98,,R. Covington misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by T. Frazier,,82-98,,
7:47.0,Turnover by J. Hamilton (lost ball; steal by R. Covington),,82-98,,
7:36.0,,,82-98,,Shooting foul by J. Ennis (drawn by N. Stauskas)
7:36.0,,,82-99,1,N. Stauskas makes free throw 1 of 2
7:36.0,,,82-99,,N. Stauskas misses free throw 2 of 2
7:35.0,Defensive rebound by K. Perkins,,82-99,,
7:26.0,Shooting foul by N. Stauskas (drawn by J. Ennis),,82-99,,
7:26.0,J. Ennis makes free throw 1 of 2,1,83-99,,
7:26.0,J. Ennis makes free throw 2 of 2,1,84-99,,
7:14.0,,,84-101,2,N. Stauskas makes 2-pt shot from 2 ft (assist by T. McConnell)
7:00.0,Turnover by J. Ennis (lost ball; steal by C. Landry),,84-101,,
6:54.0,,,84-103,2,R. Covington makes 2-pt shot from 1 ft (assist by T. McConnell)
6:35.0,K. Perkins makes 2-pt shot from 7 ft (assist by L. Babbitt),2,86-103,,
6:25.0,,,86-103,,Shooting foul by T. Frazier (drawn by R. Covington)
6:25.0,,,86-104,1,R. Covington makes free throw 1 of 3
6:25.0,,,86-105,1,R. Covington makes free throw 2 of 3
6:25.0,,,86-106,1,R. Covington makes free throw 3 of 3
6:17.0,,,86-106,,Personal foul by R. Covington
6:16.0,,,86-106,,Personal foul by T. McConnell
6:07.0,T. Frazier misses 3-pt shot from 25 ft,,86-106,,
6:05.0,,,86-106,,Defensive rebound by N. Stauskas
5:49.0,,,86-106,,T. McConnell misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by L. Babbitt,,86-106,,
5:37.0,J. Hamilton misses 2-pt shot from 3 ft (block by H. Thompson),,86-106,,
5:35.0,,,86-106,,Defensive rebound by R. Covington
5:19.0,,,86-106,,C. Landry misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by L. Babbitt,,86-106,,
5:06.0,K. Perkins misses 2-pt shot from 18 ft,,86-106,,
5:04.0,Offensive rebound by Team,,86-106,,
5:04.0,Official timeout,,86-106,,
5:04.0,A. Ajinca enters the game for K. Perkins,,86-106,,
5:04.0,,,86-106,,I. Canaan enters the game for H. Thompson
5:04.0,,,86-106,,I. Smith enters the game for T. McConnell
4:43.0,Turnover by L. Babbitt (lost ball; steal by R. Covington),,86-106,,
4:27.0,,,86-106,,R. Covington misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by Team,,86-106,,
4:26.0,New Orleans full timeout,,86-106,,
4:26.0,T. Douglas enters the game for L. Babbitt,,86-106,,
4:10.0,J. Ennis misses 3-pt shot from 25 ft,,86-106,,
4:09.0,Offensive rebound by J. Hamilton,,86-106,,
4:08.0,J. Hamilton misses 2-pt shot from 1 ft (block by R. Covington),,86-106,,
4:05.0,,,86-106,,Defensive rebound by I. Canaan
3:46.0,,,86-106,,I. Smith misses 2-pt shot from 2 ft
3:45.0,,,86-106,,Offensive rebound by I. Smith
3:45.0,,,86-106,,Turnover by I. Smith (traveling)
3:36.0,T. Frazier makes 2-pt shot from 18 ft,2,88-106,,
3:21.0,,,88-106,,N. Stauskas misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by T. Douglas,,88-106,,
3:09.0,T. Frazier misses 2-pt shot from 16 ft,,88-106,,
3:07.0,Offensive rebound by T. Frazier,,88-106,,
3:04.0,J. Ennis makes 3-pt shot from 25 ft (assist by T. Frazier),3,91-106,,
2:41.0,,,91-106,,R. Covington misses 2-pt shot from 1 ft
2:39.0,,,91-106,,Offensive rebound by C. Landry
2:15.0,,,91-106,,I. Canaan misses 2-pt shot from 12 ft
2:14.0,Defensive rebound by T. Douglas,,91-106,,
2:08.0,Turnover by J. Ennis (offensive goaltending),,91-106,,
2:08.0,Official timeout,,91-106,,
1:49.0,,,91-106,,I. Smith misses 2-pt shot from 14 ft
1:47.0,Defensive rebound by J. Hamilton,,91-106,,
1:29.0,Turnover by J. Hamilton (lost ball; steal by I. Canaan),,91-106,,
1:11.0,,,91-106,,Shooting foul by J. Hamilton (drawn by C. Landry)
1:11.0,,,91-106,,C. Landry misses free throw 1 of 2
1:11.0,,,91-106,,Offensive rebound by Team
