time,LA Clippers,pts.away,score,pts.home,New York
0:15.0,,,55-45,2,K. Porzingis makes 2-pt shot from 15 ft (assist by J. Calderon)
0:15.0,LA Clippers full timeout,,55-45,,
0:15.0,,,55-45,,J. Grant enters the game for K. Porzingis
0:15.0,,,55-45,,L. Galloway enters the game for A. Afflalo
0:15.0,J. Crawford enters the game for D. Jordan,,55-45,,
0:02.0,C. Paul misses 2-pt shot from 2 ft,,55-45,,
0:01.0,,,55-45,,Defensive rebound by D. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,P. Pierce misses 2-pt shot from 15 ft,,55-45,,
11:36.0,,,55-45,,Defensive rebound by C. Anthony
11:20.0,,,55-45,,K. Porzingis misses 2-pt shot from 13 ft
11:18.0,,,55-45,,Offensive rebound by R. Lopez
11:18.0,,,55-47,2,R. Lopez makes 2-pt shot from 1 ft
11:09.0,,,55-47,,Personal foul by A. Afflalo (drawn by J. Redick)
10:52.0,C. Paul misses 3-pt shot from 26 ft,,55-47,,
10:50.0,,,55-47,,Defensive rebound by K. Porzingis
10:38.0,,,55-47,,C. Anthony misses 2-pt shot from 18 ft
10:37.0,Defensive rebound by P. Pierce,,55-47,,
10:33.0,Turnover by P. Pierce (traveling),,55-47,,
10:10.0,,,55-47,,R. Lopez misses 2-pt shot from 4 ft
10:08.0,,,55-47,,Offensive rebound by J. Calderon
10:03.0,,,55-47,,Shooting foul by C. Paul (drawn by K. Porzingis)
10:03.0,,,55-48,1,K. Porzingis makes free throw 1 of 2
10:03.0,,,55-49,1,K. Porzingis makes free throw 2 of 2
9:47.0,Turnover by L. Mbah a Moute (lost ball; steal by R. Lopez),,55-49,,
9:36.0,,,55-49,,K. Porzingis misses 2-pt shot from 3 ft
9:35.0,Defensive rebound by D. Jordan,,55-49,,
9:35.0,LA Clippers full timeout,,55-49,,
9:34.0,,,55-49,,Personal foul by J. Calderon (drawn by C. Paul)
9:16.0,P. Pierce misses 2-pt shot from 16 ft,,55-49,,
9:15.0,,,55-49,,Defensive rebound by R. Lopez
9:10.0,Personal foul by L. Mbah a Moute (drawn by K. Porzingis),,55-49,,
9:03.0,,,55-49,,Shooting foul by P. Pierce (drawn by K. Porzingis)
9:03.0,,,55-49,,K. Porzingis misses free throw 1 of 2
9:03.0,,,55-49,,Offensive rebound by Team
9:03.0,,,55-50,1,K. Porzingis makes free throw 2 of 2
8:46.0,C. Paul makes 2-pt shot from 11 ft,2,57-50,,
8:33.0,,,57-50,,C. Anthony misses 3-pt shot from 24 ft
8:31.0,Defensive rebound by Team,,57-50,,
8:09.0,C. Paul makes 2-pt shot from 17 ft,2,59-50,,
7:58.0,,,59-50,,R. Lopez misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by Team,,59-50,,
7:57.0,,,59-50,,Loose ball foul by R. Lopez (drawn by D. Jordan)
7:44.0,,,59-50,,Personal foul by R. Lopez (drawn by D. Jordan)
7:32.0,P. Pierce misses 3-pt shot from 24 ft,,59-50,,
7:30.0,,,59-50,,Defensive rebound by K. Porzingis
7:25.0,Personal foul by C. Paul (drawn by J. Calderon),,59-50,,
7:12.0,,,59-50,,R. Lopez misses 2-pt shot from 4 ft
7:11.0,Defensive rebound by P. Pierce,,59-50,,
6:56.0,C. Paul makes 3-pt shot from 25 ft,3,62-50,,
6:39.0,,,62-52,2,C. Anthony makes 2-pt shot at rim (assist by J. Calderon)
6:18.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,64-52,,
6:04.0,,,64-52,,J. Calderon misses 2-pt shot from 1 ft
6:03.0,,,64-52,,Offensive rebound by R. Lopez
6:03.0,,,64-52,,R. Lopez misses 2-pt shot at rim
6:02.0,Defensive rebound by J. Redick,,64-52,,
6:01.0,,,64-52,,Technical foul by R. Lopez
6:01.0,Technical foul by P. Pierce,,64-52,,
6:01.0,,,64-52,,Technical foul by R. Lopez
6:01.0,Technical foul by D. Jordan,,64-52,,
6:01.0,,,64-52,,D. Williams enters the game for R. Lopez
5:58.0,,,64-52,,Personal foul by K. Porzingis (drawn by D. Jordan)
5:58.0,D. Jordan misses free throw 1 of 2,,64-52,,
5:58.0,Offensive rebound by Team,,64-52,,
5:58.0,D. Jordan misses free throw 2 of 2,,64-52,,
5:57.0,,,64-52,,Defensive rebound by K. Porzingis
5:34.0,,,64-52,,C. Anthony misses 2-pt shot from 13 ft
5:32.0,Defensive rebound by D. Jordan,,64-52,,
5:16.0,P. Pierce makes 2-pt shot from 13 ft,2,66-52,,
4:59.0,,,66-52,,K. Porzingis misses 2-pt shot from 18 ft
4:57.0,Defensive rebound by C. Paul,,66-52,,
4:51.0,C. Paul makes 2-pt shot from 14 ft,2,68-52,,
4:51.0,,,68-52,,New York full timeout
4:51.0,,,68-52,,J. Grant enters the game for A. Afflalo
4:51.0,,,68-52,,L. Galloway enters the game for J. Calderon
4:51.0,W. Johnson enters the game for P. Pierce,,68-52,,
4:35.0,,,68-52,,D. Williams misses 2-pt shot from 1 ft (block by W. Johnson)
4:32.0,Defensive rebound by C. Paul,,68-52,,
4:25.0,Shooting foul by D. Williams (drawn by D. Jordan),,68-52,,
4:25.0,D. Jordan misses free throw 1 of 2,,68-52,,
4:25.0,Offensive rebound by Team,,68-52,,
4:25.0,D. Jordan makes free throw 2 of 2,1,69-52,,
4:14.0,Def 3 sec tech foul by D. Jordan,,69-52,,
4:14.0,,,69-53,1,C. Anthony makes technical free throw
4:01.0,,,69-53,,K. Porzingis misses 3-pt shot from 24 ft
4:00.0,,,69-53,,Offensive rebound by D. Williams
3:56.0,,,69-53,,Turnover by K. Porzingis (lost ball)
3:51.0,,,69-53,,Personal foul by L. Galloway (drawn by D. Jordan)
3:51.0,D. Jordan makes free throw 1 of 2,1,70-53,,
3:51.0,D. Jordan makes free throw 2 of 2,1,71-53,,
3:38.0,,,71-53,,D. Williams misses 3-pt shot from 23 ft
3:36.0,Defensive rebound by L. Mbah a Moute,,71-53,,
3:24.0,C. Paul misses 2-pt shot from 18 ft,,71-53,,
3:22.0,,,71-53,,Defensive rebound by D. Williams
3:14.0,,,71-56,3,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Anthony)
3:08.0,,,71-56,,Personal foul by L. Galloway (drawn by D. Jordan)
3:08.0,D. Jordan misses free throw 1 of 2,,71-56,,
3:08.0,Offensive rebound by Team,,71-56,,
3:08.0,J. Crawford enters the game for J. Redick,,71-56,,
3:08.0,D. Jordan makes free throw 2 of 2,1,72-56,,
2:50.0,,,72-56,,J. Grant misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by C. Paul,,72-56,,
2:42.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul),2,74-56,,
2:19.0,,,74-56,,C. Anthony misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by L. Mbah a Moute,,74-56,,
2:05.0,C. Paul makes 3-pt shot from 24 ft,3,77-56,,
1:53.0,,,77-58,2,J. Grant makes 2-pt shot from 2 ft
1:53.0,,,77-58,,Shooting foul by C. Paul (drawn by J. Grant)
1:53.0,,,77-59,1,J. Grant makes free throw 1 of 1
1:38.0,,,77-59,,Personal foul by J. Grant (drawn by C. Paul)
1:38.0,C. Paul makes free throw 1 of 2,1,78-59,,
1:38.0,C. Paul makes free throw 2 of 2,1,79-59,,
1:18.0,,,79-62,3,J. Grant makes 3-pt shot from 22 ft (assist by C. Anthony)
1:14.0,,,79-62,,Personal foul by L. Galloway (drawn by D. Jordan)
1:14.0,D. Jordan makes free throw 1 of 2,1,80-62,,
1:14.0,A. Rivers enters the game for C. Paul,,80-62,,
1:14.0,D. Jordan makes free throw 2 of 2,1,81-62,,
1:02.0,,,81-62,,K. Porzingis misses 2-pt shot from 5 ft
1:00.0,Defensive rebound by W. Johnson,,81-62,,
0:42.0,J. Crawford makes 2-pt shot from 18 ft,2,83-62,,
0:33.0,C. Aldrich enters the game for D. Jordan,,83-62,,
0:33.0,,,83-62,,K. Seraphin enters the game for K. Porzingis
0:33.0,,,83-62,,New York full timeout
0:31.0,,,83-64,2,L. Galloway makes 2-pt shot from 18 ft (assist by C. Anthony)
0:17.0,W. Johnson makes 3-pt shot from 24 ft (assist by A. Rivers),3,86-64,,
0:03.0,,,86-64,,K. Seraphin misses 2-pt shot from 12 ft
0:01.0,Defensive rebound by C. Aldrich,,86-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,86-66,2,J. Grant makes 2-pt shot from 1 ft
11:34.0,Shooting foul by D. Williams (drawn by A. Rivers),,86-66,,
11:34.0,A. Rivers makes free throw 1 of 2,1,87-66,,
11:34.0,A. Rivers misses free throw 2 of 2,,87-66,,
11:34.0,,,87-66,,Defensive rebound by D. Williams
11:27.0,Violation by W. Johnson (kicked ball),,87-66,,
11:22.0,,,87-68,2,K. Seraphin makes 2-pt shot from 2 ft (assist by J. Grant)
11:05.0,Shooting foul by L. Galloway (drawn by J. Crawford),,87-68,,
11:05.0,J. Crawford makes free throw 1 of 2,1,88-68,,
11:05.0,J. Crawford makes free throw 2 of 2,1,89-68,,
10:53.0,,,89-68,,Shooting foul by A. Rivers (drawn by J. Grant)
10:53.0,,,89-69,1,J. Grant makes free throw 1 of 2
10:53.0,,,89-70,1,J. Grant makes free throw 2 of 2
10:36.0,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Crawford),2,91-70,,
10:25.0,,,91-72,2,K. Seraphin makes 2-pt shot from 14 ft (assist by J. Grant)
10:09.0,C. Aldrich makes 2-pt shot from 3 ft (assist by P. Prigioni),2,93-72,,
9:55.0,,,93-72,,Turnover by J. Grant (bad pass; steal by W. Johnson)
9:41.0,Turnover by J. Crawford (bad pass; steal by S. Vujacic),,93-72,,
9:36.0,,,93-72,,Turnover by L. Galloway (bad pass; steal by W. Johnson)
9:13.0,J. Crawford makes 3-pt shot from 24 ft (assist by P. Prigioni),3,96-72,,
9:12.0,,,96-72,,New York full timeout
8:59.0,,,96-72,,D. Williams misses 2-pt shot from 1 ft
8:58.0,,,96-72,,Offensive rebound by Team
8:56.0,,,96-72,,J. Grant misses 2-pt shot at rim
8:54.0,Defensive rebound by W. Johnson,,96-72,,
8:35.0,Shooting foul by J. Grant (drawn by C. Aldrich),,96-72,,
8:35.0,C. Aldrich makes free throw 1 of 2,1,97-72,,
8:35.0,,,97-72,,A. Afflalo enters the game for L. Galloway
8:35.0,C. Aldrich makes free throw 2 of 2,1,98-72,,
8:10.0,,,98-72,,A. Afflalo misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by Team,,98-72,,
7:45.0,J. Crawford misses 2-pt shot from 20 ft,,98-72,,
7:43.0,,,98-72,,Defensive rebound by A. Afflalo
7:32.0,,,98-74,2,A. Afflalo makes 2-pt shot from 4 ft (assist by K. Seraphin)
7:09.0,Shooting foul by S. Vujacic (drawn by J. Crawford),,98-74,,
7:09.0,J. Crawford makes free throw 1 of 2,1,99-74,,
7:09.0,J. Crawford makes free throw 2 of 2,1,100-74,,
6:54.0,,,100-74,,K. Seraphin misses 2-pt shot from 3 ft
6:52.0,,,100-74,,Offensive rebound by K. Seraphin
6:43.0,,,100-74,,D. Williams misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by P. Prigioni,,100-74,,
6:28.0,C. Aldrich makes 2-pt shot from 1 ft (assist by P. Prigioni),2,102-74,,
6:10.0,Personal foul by C. Aldrich (drawn by K. Seraphin),,102-74,,
6:10.0,L. Stephenson enters the game for J. Crawford,,102-74,,
6:10.0,C. Wilcox enters the game for W. Johnson,,102-74,,
6:02.0,,,102-74,,K. Seraphin misses 2-pt shot from 16 ft
5:59.0,Defensive rebound by C. Aldrich,,102-74,,
5:47.0,L. Stephenson misses 2-pt shot from 17 ft,,102-74,,
5:45.0,,,102-74,,Defensive rebound by D. Williams
5:36.0,,,102-74,,Shooting foul by A. Rivers (drawn by A. Afflalo)
5:36.0,Official timeout,,102-74,,
5:36.0,,,102-75,1,A. Afflalo makes free throw 1 of 3
5:36.0,,,102-76,1,A. Afflalo makes free throw 2 of 3
5:36.0,,,102-77,1,A. Afflalo makes free throw 3 of 3
5:20.0,A. Rivers makes 2-pt shot from 3 ft,2,104-77,,
5:05.0,,,104-77,,Turnover by K. Seraphin (lost ball; steal by P. Prigioni)
4:50.0,C. Wilcox makes 2-pt shot from 20 ft (assist by L. Stephenson),2,106-77,,
4:36.0,,,106-77,,Turnover by K. Seraphin (bad pass; steal by P. Prigioni)
4:33.0,P. Prigioni makes 2-pt shot from 2 ft,2,108-77,,
4:16.0,,,108-77,,D. Williams misses 3-pt shot from 23 ft
4:15.0,,,108-77,,Offensive rebound by Team
4:15.0,,,108-77,,L. Amundson enters the game for D. Williams
4:15.0,,,108-77,,L. Galloway enters the game for A. Afflalo
4:04.0,,,108-77,,L. Amundson misses 2-pt shot from 17 ft
4:03.0,Defensive rebound by P. Prigioni,,108-77,,
3:50.0,L. Stephenson misses 2-pt shot from 1 ft,,108-77,,
3:49.0,,,108-77,,Defensive rebound by K. Seraphin
3:43.0,,,108-79,2,J. Grant makes 2-pt shot from 1 ft
3:43.0,,,108-79,,Shooting foul by C. Aldrich (drawn by J. Grant)
3:43.0,,,108-80,1,J. Grant makes free throw 1 of 1
3:27.0,A. Rivers misses 2-pt shot from 19 ft,,108-80,,
3:26.0,Offensive rebound by P. Prigioni,,108-80,,
3:15.0,P. Prigioni makes 2-pt shot at rim,2,110-80,,
3:13.0,,,110-80,,New York full timeout
3:03.0,,,110-80,,L. Galloway misses 3-pt shot from 24 ft
3:01.0,Defensive rebound by A. Rivers,,110-80,,
