time,Boston,pts.away,score,pts.home,Golden State
4:22.0,I. Thomas misses 2-pt shot from 3 ft (block by A. Bogut),,31-35,,
4:20.0,,,31-35,,Defensive rebound by B. Rush
4:15.0,,,31-35,,S. Curry misses 3-pt shot from 28 ft
4:14.0,Defensive rebound by A. Johnson,,31-35,,
4:07.0,Turnover by A. Johnson (lost ball; steal by D. Green),,31-35,,
3:55.0,,,31-35,,Turnover by D. Green (bad pass)
3:55.0,J. Sullinger enters the game for J. Jerebko,,31-35,,
3:36.0,J. Sullinger makes 2-pt shot from 14 ft (assist by I. Thomas),2,33-35,,
3:23.0,,,33-35,,B. Rush misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by J. Sullinger,,33-35,,
3:01.0,E. Turner makes 3-pt shot from 23 ft (assist by I. Thomas),3,36-35,,
2:43.0,,,36-35,,Turnover by K. Thompson (bad pass)
2:43.0,,,36-35,,Golden State full timeout
2:43.0,K. Olynyk enters the game for A. Johnson,,36-35,,
2:25.0,J. Sullinger misses 2-pt shot from 7 ft,,36-35,,
2:24.0,,,36-35,,Defensive rebound by B. Rush
2:14.0,,,36-38,3,S. Curry makes 3-pt shot from 27 ft
1:59.0,I. Thomas misses 2-pt shot from 2 ft,,36-38,,
1:58.0,Offensive rebound by J. Sullinger,,36-38,,
1:58.0,J. Sullinger makes 2-pt shot at rim,2,38-38,,
1:39.0,,,38-38,,D. Green misses 2-pt shot from 1 ft
1:38.0,,,38-38,,Offensive rebound by A. Bogut
1:38.0,,,38-40,2,A. Bogut makes 2-pt shot from 1 ft
1:25.0,,,38-40,,Personal foul by D. Green
1:25.0,J. Sullinger makes free throw 1 of 2,1,39-40,,
1:25.0,A. Johnson enters the game for K. Olynyk,,39-40,,
1:25.0,J. Sullinger makes free throw 2 of 2,1,40-40,,
1:09.0,,,40-42,2,K. Thompson makes 2-pt shot from 1 ft
1:09.0,,,40-42,,Shooting foul by J. Sullinger (drawn by K. Thompson)
1:09.0,,,40-43,1,K. Thompson makes free throw 1 of 1
0:52.0,A. Bradley misses 3-pt shot from 24 ft,,40-43,,
0:52.0,,,40-43,,Defensive rebound by D. Green
0:45.0,,,40-43,,Offensive foul by S. Curry
0:45.0,,,40-43,,Turnover by S. Curry (offensive foul)
0:33.0,E. Turner makes 2-pt shot from 13 ft (assist by A. Bradley),2,42-43,,
0:19.0,,,42-43,,Turnover by S. Curry (back court)
0:11.0,Boston full timeout,,42-43,,
0:11.0,M. Smart enters the game for A. Johnson,,42-43,,
0:11.0,,,42-43,,H. Barnes enters the game for A. Bogut
0:04.0,A. Bradley makes 3-pt shot from 26 ft (assist by E. Turner),3,45-43,,
0:00.0,,,45-43,,K. Thompson misses 3-pt shot from 60 ft
0:00.0,,,45-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Turnover by I. Thomas (lost ball; steal by H. Barnes),,45-43,,
11:30.0,,,45-46,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Bogut)
11:13.0,A. Bradley misses 3-pt shot from 24 ft,,45-46,,
11:13.0,,,45-46,,Defensive rebound by A. Bogut
10:58.0,,,45-49,3,S. Curry makes 3-pt shot from 22 ft (assist by K. Thompson)
10:57.0,Boston full timeout,,45-49,,
10:37.0,I. Thomas makes 2-pt shot from 2 ft (assist by A. Bradley),2,47-49,,
10:17.0,,,47-49,,H. Barnes misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by J. Sullinger,,47-49,,
10:03.0,I. Thomas makes 2-pt shot from 7 ft,2,49-49,,
9:44.0,,,49-49,,D. Green misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by E. Turner,,49-49,,
9:31.0,Shooting foul by A. Bogut (drawn by I. Thomas),,49-49,,
9:31.0,I. Thomas makes free throw 1 of 2,1,50-49,,
9:31.0,I. Thomas makes free throw 2 of 2,1,51-49,,
9:21.0,,,51-51,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
9:03.0,I. Thomas misses 2-pt shot from 5 ft,,51-51,,
9:02.0,Offensive rebound by A. Johnson,,51-51,,
8:54.0,Turnover by E. Turner (lost ball; steal by D. Green),,51-51,,
8:54.0,Personal foul by E. Turner,,51-51,,
8:40.0,,,51-53,2,K. Thompson makes 2-pt shot from 11 ft (assist by D. Green)
8:25.0,J. Sullinger makes 2-pt shot from 20 ft (assist by A. Johnson),2,53-53,,
8:19.0,,,53-56,3,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry)
8:02.0,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger),2,55-56,,
7:53.0,,,55-56,,K. Thompson misses 2-pt shot from 7 ft (block by A. Bradley)
7:51.0,Defensive rebound by E. Turner,,55-56,,
7:49.0,Shooting foul by D. Green (drawn by I. Thomas),,55-56,,
7:49.0,I. Thomas misses free throw 1 of 2,,55-56,,
7:49.0,Offensive rebound by Team,,55-56,,
7:49.0,I. Thomas misses free throw 2 of 2,,55-56,,
7:48.0,,,55-56,,Defensive rebound by A. Bogut
7:31.0,,,55-58,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
