time,Indiana,pts.away,score,pts.home,LA Clippers
8:15.0,L. Allen makes 2-pt shot from 20 ft (assist by P. George),2,9-5,,
7:50.0,,,9-5,,D. Jordan misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by L. Allen,,9-5,,
7:37.0,P. George makes 3-pt shot from 24 ft,3,12-5,,
7:36.0,,,12-5,,LA Clippers full timeout
7:24.0,,,12-5,,J. Crawford misses 2-pt shot from 18 ft
7:23.0,,,12-5,,Offensive rebound by D. Jordan
7:23.0,,,12-5,,D. Jordan misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by Team,,12-5,,
7:10.0,I. Mahinmi makes 2-pt shot from 1 ft,2,14-5,,
6:51.0,,,14-5,,Turnover by A. Rivers (back court)
6:40.0,P. George misses 3-pt shot from 25 ft,,14-5,,
6:39.0,Offensive rebound by I. Mahinmi,,14-5,,
6:32.0,M. Ellis makes 2-pt shot from 21 ft,2,16-5,,
6:11.0,,,16-7,2,B. Griffin makes 2-pt shot from 9 ft (assist by A. Rivers)
5:59.0,R. Stuckey misses 2-pt shot from 15 ft,,16-7,,
5:58.0,,,16-7,,Defensive rebound by D. Jordan
5:45.0,,,16-10,3,A. Rivers makes 3-pt shot from 26 ft (assist by B. Griffin)
5:32.0,,,16-10,,Personal foul by L. Mbah a Moute (drawn by P. George)
5:24.0,P. George misses 2-pt shot from 14 ft,,16-10,,
5:23.0,,,16-10,,Defensive rebound by Team
5:09.0,,,16-10,,A. Rivers misses 3-pt shot from 24 ft
5:08.0,,,16-10,,Offensive rebound by D. Jordan
5:03.0,,,16-10,,J. Crawford misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by I. Mahinmi,,16-10,,
4:44.0,Shooting foul by L. Mbah a Moute (drawn by P. George),,16-10,,
4:44.0,P. George misses free throw 1 of 2,,16-10,,
4:44.0,Offensive rebound by Team,,16-10,,
4:44.0,,,16-10,,L. Stephenson enters the game for L. Mbah a Moute
4:44.0,P. George makes free throw 2 of 2,1,17-10,,
4:31.0,,,17-13,3,L. Stephenson makes 3-pt shot from 25 ft (assist by J. Crawford)
4:05.0,P. George misses 2-pt shot from 19 ft,,17-13,,
4:04.0,,,17-13,,Defensive rebound by Team
4:04.0,,,17-13,,J. Smith enters the game for D. Jordan
3:55.0,C. Miles enters the game for L. Allen,,17-13,,
3:49.0,,,17-13,,Turnover by J. Crawford (lost ball; steal by P. George)
3:43.0,I. Mahinmi makes 2-pt shot at rim (assist by P. George),2,19-13,,
3:29.0,,,19-15,2,J. Smith makes 2-pt shot from 1 ft (assist by L. Stephenson)
3:23.0,R. Stuckey makes 2-pt shot from 1 ft,2,21-15,,
3:09.0,,,21-17,2,A. Rivers makes 2-pt shot at rim (assist by B. Griffin)
2:54.0,M. Ellis misses 2-pt shot from 21 ft,,21-17,,
2:53.0,,,21-17,,Defensive rebound by J. Crawford
2:44.0,,,21-19,2,L. Stephenson makes 2-pt shot from 1 ft (assist by J. Smith)
2:44.0,Indiana full timeout,,21-19,,
2:44.0,J. Hill enters the game for I. Mahinmi,,21-19,,
2:29.0,,,21-19,,Personal foul by L. Stephenson (drawn by P. George)
2:29.0,P. George makes free throw 1 of 2,1,22-19,,
2:29.0,P. George makes free throw 2 of 2,1,23-19,,
2:15.0,,,23-21,2,J. Crawford makes 2-pt shot from 18 ft (assist by B. Griffin)
1:55.0,J. Hill misses 2-pt shot from 3 ft,,23-21,,
1:54.0,,,23-21,,Defensive rebound by J. Smith
1:50.0,,,23-21,,Shooting foul by C. Miles (drawn by B. Griffin)
1:50.0,,,23-22,1,B. Griffin makes free throw 1 of 2
1:50.0,,,23-22,,P. Prigioni enters the game for A. Rivers
1:50.0,,,23-23,1,B. Griffin makes free throw 2 of 2
1:33.0,P. George makes 2-pt shot from 19 ft,2,25-23,,
1:21.0,,,25-25,2,B. Griffin makes 2-pt shot from 16 ft
1:02.0,Shooting foul by B. Griffin (drawn by J. Hill),,25-25,,
1:02.0,J. Hill makes free throw 1 of 2,1,26-25,,
1:02.0,,,26-25,,P. Pierce enters the game for B. Griffin
1:02.0,J. Hill makes free throw 2 of 2,1,27-25,,
0:52.0,,,27-27,2,J. Crawford makes 2-pt shot from 19 ft (assist by J. Smith)
0:39.0,M. Ellis makes 2-pt shot from 18 ft (assist by J. Hill),2,29-27,,
0:30.0,,,29-27,,J. Crawford misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by J. Hill,,29-27,,
0:26.0,C. Miles misses 2-pt shot from 4 ft (block by J. Smith),,29-27,,
0:26.0,Jump ball: C. Miles vs. J. Smith (P. Prigioni gains possession),,,,Jump ball: C. Miles vs. J. Smith (P. Prigioni gains possession)
0:26.0,,,29-27,,Offensive rebound by J. Smith
0:21.0,Violation by P. George (def goaltending),,29-27,,
0:21.0,,,29-29,2,P. Prigioni makes 2-pt shot from 1 ft (assist by J. Smith)
0:03.0,R. Stuckey misses 3-pt shot from 23 ft,,29-29,,
0:00.0,,,29-29,,Defensive rebound by J. Smith
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Miles),2,31-29,,
11:31.0,,,31-29,,P. Pierce misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by J. Hill,,31-29,,
11:23.0,Turnover by G. Hill (bad pass; steal by P. Prigioni),,31-29,,
11:13.0,,,31-29,,P. Prigioni misses 2-pt shot from 1 ft
11:12.0,Defensive rebound by R. Stuckey,,31-29,,
11:06.0,R. Stuckey misses 2-pt shot from 1 ft,,31-29,,
11:06.0,Offensive rebound by J. Hill,,31-29,,
10:54.0,Shooting foul by P. Prigioni (drawn by G. Hill),,31-29,,
10:54.0,G. Hill makes free throw 1 of 2,1,32-29,,
10:54.0,G. Hill makes free throw 2 of 2,1,33-29,,
10:43.0,,,33-29,,J. Crawford misses 2-pt shot from 7 ft
10:42.0,Defensive rebound by Team,,33-29,,
10:26.0,,,33-29,,W. Johnson enters the game for J. Crawford
10:21.0,J. Hill makes 2-pt shot from 1 ft (assist by C. Budinger),2,35-29,,
10:02.0,,,35-31,2,L. Stephenson makes 2-pt shot from 1 ft
9:46.0,R. Stuckey misses 2-pt shot from 18 ft,,35-31,,
9:46.0,,,35-31,,Defensive rebound by P. Pierce
9:42.0,,,35-31,,Turnover by L. Stephenson (step out of bounds)
9:21.0,G. Hill misses 2-pt shot from 19 ft,,35-31,,
9:20.0,Offensive rebound by C. Budinger,,35-31,,
9:14.0,C. Miles misses 3-pt shot from 25 ft,,35-31,,
9:14.0,,,35-31,,Defensive rebound by P. Pierce
9:00.0,,,35-31,,J. Smith misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by G. Hill,,35-31,,
8:52.0,,,35-31,,Personal foul by P. Pierce (drawn by C. Miles)
8:52.0,Official timeout,,35-31,,
8:38.0,G. Hill misses 2-pt shot from 12 ft (block by J. Smith),,35-31,,
8:37.0,,,35-31,,Defensive rebound by W. Johnson
8:30.0,,,35-31,,W. Johnson misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by G. Hill,,35-31,,
8:22.0,G. Hill misses 2-pt shot from 6 ft,,35-31,,
8:21.0,,,35-31,,Defensive rebound by J. Smith
8:09.0,,,35-33,2,J. Smith makes 2-pt shot from 1 ft (assist by L. Stephenson)
7:58.0,Turnover by G. Hill (bad pass; steal by J. Smith),,35-33,,
7:50.0,,,35-36,3,P. Pierce makes 3-pt shot from 25 ft (assist by J. Smith)
7:43.0,C. Miles misses 3-pt shot from 27 ft,,35-36,,
7:41.0,Offensive rebound by C. Budinger,,35-36,,
7:36.0,,,35-36,,Shooting block foul by J. Smith (drawn by R. Stuckey)
7:36.0,R. Stuckey makes free throw 1 of 2,1,36-36,,
7:36.0,,,36-36,,D. Jordan enters the game for J. Smith
7:36.0,R. Stuckey makes free throw 2 of 2,1,37-36,,
7:23.0,,,37-36,,Shooting foul by C. Miles (drawn by P. Pierce)
7:23.0,,,37-37,1,P. Pierce makes free throw 1 of 2
7:23.0,,,37-37,,B. Griffin enters the game for W. Johnson
7:23.0,I. Mahinmi enters the game for J. Hill,,37-37,,
7:23.0,,,37-38,1,P. Pierce makes free throw 2 of 2
7:11.0,R. Stuckey misses 2-pt shot from 14 ft,,37-38,,
7:11.0,,,37-38,,Defensive rebound by D. Jordan
7:02.0,,,37-38,,L. Stephenson misses 2-pt shot from 1 ft (block by I. Mahinmi)
7:01.0,Defensive rebound by C. Budinger,,37-38,,
6:55.0,C. Miles makes 3-pt shot from 24 ft (assist by R. Stuckey),3,40-38,,
6:34.0,,,40-40,2,L. Stephenson makes 2-pt shot at rim (assist by P. Pierce)
6:12.0,C. Budinger misses 2-pt shot from 21 ft,,40-40,,
6:12.0,,,40-40,,Defensive rebound by L. Stephenson
6:05.0,,,40-40,,A. Rivers enters the game for P. Prigioni
5:50.0,,,40-40,,B. Griffin misses 2-pt shot from 10 ft
5:50.0,,,40-40,,Offensive rebound by D. Jordan
5:50.0,,,40-40,,Shooting foul by I. Mahinmi (drawn by D. Jordan)
5:50.0,,,40-40,,LA Clippers full timeout
5:50.0,,,40-40,,D. Jordan misses free throw 1 of 2
5:50.0,,,40-40,,Offensive rebound by Team
5:50.0,,,40-41,1,D. Jordan makes free throw 2 of 2
5:28.0,R. Stuckey makes 2-pt shot from 20 ft,2,42-41,,
5:08.0,,,42-44,3,L. Stephenson makes 3-pt shot from 23 ft
4:46.0,Turnover by I. Mahinmi (step out of bounds),,42-44,,
4:46.0,,,42-44,,J. Crawford enters the game for P. Pierce
4:38.0,,,42-44,,Shooting foul by C. Miles (drawn by B. Griffin)
4:38.0,,,42-45,1,B. Griffin makes free throw 1 of 2
4:38.0,L. Allen enters the game for C. Miles,,42-45,,
4:38.0,P. George enters the game for C. Budinger,,42-45,,
4:38.0,,,42-46,1,B. Griffin makes free throw 2 of 2
4:24.0,P. George misses 3-pt shot from 24 ft,,42-46,,
4:24.0,,,42-46,,Defensive rebound by D. Jordan
4:12.0,,,42-48,2,B. Griffin makes 2-pt shot from 20 ft (assist by L. Stephenson)
4:12.0,Indiana full timeout,,42-48,,
4:12.0,M. Ellis enters the game for R. Stuckey,,42-48,,
3:55.0,Turnover by L. Allen (bad pass; steal by L. Stephenson),,42-48,,
3:50.0,,,42-48,,Turnover by L. Stephenson (bad pass; steal by M. Ellis)
3:41.0,P. George makes 2-pt shot from 18 ft,2,44-48,,
3:26.0,Personal foul by P. George (drawn by L. Stephenson),,44-48,,
3:20.0,,,44-48,,A. Rivers misses 2-pt shot from 1 ft (block by I. Mahinmi)
3:19.0,,,44-48,,Offensive rebound by D. Jordan
3:18.0,,,44-48,,Shooting foul by P. George (drawn by D. Jordan)
3:18.0,,,44-48,,D. Jordan misses free throw 1 of 2
3:18.0,,,44-48,,Offensive rebound by Team
3:18.0,,,44-48,,D. Jordan misses free throw 2 of 2
3:17.0,Defensive rebound by P. George,,44-48,,
2:59.0,L. Allen misses 2-pt shot from 4 ft,,44-48,,
2:58.0,,,44-48,,Defensive rebound by D. Jordan
2:53.0,,,44-48,,Turnover by J. Crawford (lost ball; steal by I. Mahinmi)
2:53.0,,,44-48,,Personal foul by J. Crawford (drawn by I. Mahinmi)
2:53.0,J. Hill enters the game for I. Mahinmi,,44-48,,
2:38.0,G. Hill misses 2-pt shot from 9 ft,,44-48,,
2:38.0,Offensive rebound by Team,,44-48,,
2:19.0,G. Hill misses 2-pt shot from 14 ft,,44-48,,
2:17.0,,,44-48,,Defensive rebound by J. Crawford
1:54.0,,,44-48,,L. Stephenson misses 3-pt shot from 25 ft
1:53.0,,,44-48,,Offensive rebound by L. Stephenson
1:41.0,,,44-48,,B. Griffin misses 2-pt shot from 20 ft
1:40.0,Defensive rebound by P. George,,44-48,,
1:29.0,Shooting foul by B. Griffin (drawn by P. George),,44-48,,
1:29.0,P. George makes free throw 1 of 2,1,45-48,,
1:29.0,P. George makes free throw 2 of 2,1,46-48,,
1:06.0,,,46-48,,B. Griffin misses 2-pt shot from 21 ft
1:05.0,,,46-48,,Offensive rebound by D. Jordan
1:02.0,,,46-48,,D. Jordan misses 2-pt shot from 1 ft
1:00.0,,,46-48,,Offensive rebound by D. Jordan
0:58.0,,,46-48,,D. Jordan misses 2-pt shot at rim
0:56.0,Defensive rebound by M. Ellis,,46-48,,
0:56.0,Shooting foul by A. Rivers (drawn by J. Hill),,46-48,,
0:56.0,J. Hill misses free throw 1 of 2,,46-48,,
0:56.0,Offensive rebound by Team,,46-48,,
0:56.0,C. Budinger enters the game for G. Hill,,46-48,,
0:56.0,J. Hill makes free throw 2 of 2,1,47-48,,
0:56.0,Personal take foul by C. Budinger (drawn by D. Jordan),,47-48,,
0:56.0,,,47-48,,D. Jordan misses free throw 1 of 2
0:56.0,,,47-48,,Offensive rebound by Team
0:56.0,R. Stuckey enters the game for J. Hill,,47-48,,
0:56.0,,,47-48,,L. Mbah a Moute enters the game for B. Griffin
0:56.0,,,47-48,,D. Jordan misses free throw 2 of 2
0:56.0,Defensive rebound by P. George,,47-48,,
0:44.0,L. Allen misses 2-pt shot from 3 ft,,47-48,,
0:44.0,,,47-48,,Defensive rebound by Team
0:44.0,,,47-48,,LA Clippers full timeout
0:44.0,,,47-48,,W. Johnson enters the game for L. Mbah a Moute
0:44.0,,,47-48,,J. Smith enters the game for D. Jordan
0:30.0,,,47-48,,W. Johnson misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by R. Stuckey,,47-48,,
0:19.0,L. Allen misses 2-pt shot from 3 ft,,47-48,,
0:19.0,,,47-48,,Defensive rebound by J. Smith
0:05.0,,,47-48,,J. Smith misses 3-pt shot from 24 ft
0:03.0,Defensive rebound by C. Budinger,,47-48,,
0:01.0,Turnover by C. Budinger (lost ball; steal by W. Johnson),,47-48,,
0:01.0,,,47-50,2,W. Johnson makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Turnover by Team (shot clock),,47-50,,
11:20.0,,,47-50,,Shooting foul by L. Allen (drawn by B. Griffin)
11:20.0,,,47-50,,B. Griffin misses free throw 1 of 2
11:20.0,,,47-50,,Offensive rebound by Team
11:20.0,,,47-51,1,B. Griffin makes free throw 2 of 2
11:09.0,P. George misses 2-pt shot from 18 ft,,47-51,,
11:08.0,Offensive rebound by I. Mahinmi,,47-51,,
11:06.0,I. Mahinmi misses 2-pt shot from 1 ft,,47-51,,
11:03.0,,,47-51,,Defensive rebound by J. Crawford
11:00.0,,,47-53,2,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Crawford)
10:46.0,G. Hill misses 3-pt shot from 24 ft,,47-53,,
10:45.0,Offensive rebound by L. Allen,,47-53,,
10:37.0,M. Ellis misses 2-pt shot from 19 ft,,47-53,,
10:35.0,,,47-53,,Defensive rebound by D. Jordan
10:19.0,,,47-53,,B. Griffin misses 2-pt shot from 2 ft (block by I. Mahinmi)
10:19.0,,,47-53,,Offensive rebound by Team
10:13.0,,,47-53,,A. Rivers misses 2-pt shot from 16 ft
10:12.0,Defensive rebound by P. George,,47-53,,
10:07.0,,,47-53,,Personal foul by L. Mbah a Moute (drawn by P. George)
9:56.0,,,47-53,,Personal foul by D. Jordan (drawn by G. Hill)
9:46.0,P. George makes 3-pt shot from 25 ft (assist by L. Allen),3,50-53,,
9:35.0,Def 3 sec tech foul by I. Mahinmi,,50-53,,
9:35.0,,,50-54,1,J. Crawford makes technical free throw
9:28.0,,,50-54,,J. Crawford misses 2-pt shot from 19 ft
9:27.0,Defensive rebound by G. Hill,,50-54,,
9:18.0,I. Mahinmi makes 2-pt shot from 19 ft (assist by M. Ellis),2,52-54,,
8:56.0,,,52-54,,A. Rivers misses 2-pt shot from 12 ft
8:55.0,Defensive rebound by M. Ellis,,52-54,,
8:45.0,,,52-54,,Personal foul by J. Crawford (drawn by G. Hill)
8:33.0,Turnover by I. Mahinmi (bad pass),,52-54,,
8:23.0,,,52-54,,B. Griffin misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by I. Mahinmi,,52-54,,
8:01.0,Turnover by L. Allen (bad pass),,52-54,,
7:51.0,Personal foul by G. Hill (drawn by J. Crawford),,52-54,,
7:49.0,,,52-54,,Offensive foul by D. Jordan
7:49.0,,,52-54,,Turnover by D. Jordan (offensive foul)
7:42.0,Turnover by I. Mahinmi (traveling),,52-54,,
7:31.0,,,52-54,,Shooting foul by L. Allen (drawn by B. Griffin)
7:31.0,,,52-55,1,B. Griffin makes free throw 1 of 2
7:31.0,C. Miles enters the game for L. Allen,,52-55,,
7:31.0,,,52-55,,B. Griffin misses free throw 2 of 2
7:29.0,Defensive rebound by C. Miles,,52-55,,
7:10.0,P. George misses 2-pt shot from 13 ft,,52-55,,
7:08.0,,,52-55,,Defensive rebound by D. Jordan
7:04.0,,,52-55,,B. Griffin misses 2-pt shot from 2 ft
7:03.0,Defensive rebound by I. Mahinmi,,52-55,,
6:48.0,Shooting foul by A. Rivers (drawn by P. George),,52-55,,
6:48.0,P. George makes free throw 1 of 2,1,53-55,,
6:48.0,P. George makes free throw 2 of 2,1,54-55,,
6:35.0,,,54-55,,J. Crawford misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by M. Ellis,,54-55,,
6:25.0,Turnover by C. Miles (bad pass),,54-55,,
6:01.0,,,54-57,2,A. Rivers makes 2-pt shot from 2 ft
5:53.0,Shooting foul by D. Jordan (drawn by C. Miles),,54-57,,
5:53.0,,,54-57,,Violation by Team (delay of game)
5:53.0,,,54-57,,LA Clippers full timeout
5:53.0,,,54-57,,J. Smith enters the game for D. Jordan
5:53.0,C. Miles misses free throw 1 of 3,,54-57,,
5:53.0,Offensive rebound by Team,,54-57,,
5:53.0,C. Miles makes free throw 2 of 3,1,55-57,,
5:53.0,C. Miles makes free throw 3 of 3,1,56-57,,
5:45.0,Personal foul by I. Mahinmi (drawn by B. Griffin),,56-57,,
5:38.0,,,56-57,,Turnover by J. Smith (lost ball; steal by P. George)
5:31.0,C. Miles makes 2-pt shot from 11 ft,2,58-57,,
5:11.0,Personal foul by I. Mahinmi (drawn by J. Smith),,58-57,,
5:11.0,,,58-58,1,J. Smith makes free throw 1 of 2
5:11.0,,,58-59,1,J. Smith makes free throw 2 of 2
5:01.0,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill),2,60-59,,
4:47.0,,,60-59,,Shooting foul by I. Mahinmi (drawn by B. Griffin)
4:47.0,,,60-59,,B. Griffin misses free throw 1 of 2
4:47.0,,,60-59,,Offensive rebound by Team
4:47.0,J. Hill enters the game for I. Mahinmi,,60-59,,
4:47.0,,,60-59,,L. Stephenson enters the game for L. Mbah a Moute
4:47.0,,,60-59,,B. Griffin misses free throw 2 of 2
4:45.0,Defensive rebound by J. Hill,,60-59,,
4:40.0,Shooting foul by J. Crawford (drawn by M. Ellis),,60-59,,
4:40.0,M. Ellis makes free throw 1 of 2,1,61-59,,
4:40.0,M. Ellis makes free throw 2 of 2,1,62-59,,
4:27.0,,,62-59,,J. Smith misses 2-pt shot from 3 ft
4:27.0,Defensive rebound by Team,,62-59,,
4:27.0,,,62-59,,Loose ball foul by B. Griffin (drawn by J. Hill)
4:27.0,J. Hill makes free throw 1 of 2,1,63-59,,
4:27.0,J. Hill makes free throw 2 of 2,1,64-59,,
4:17.0,,,64-59,,J. Crawford misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by C. Miles,,64-59,,
4:04.0,Turnover by M. Ellis (bad pass),,64-59,,
3:49.0,,,64-59,,L. Stephenson misses 2-pt shot from 17 ft
3:48.0,,,64-59,,Offensive rebound by Team
3:48.0,Loose ball foul by J. Hill (drawn by B. Griffin),,64-59,,
3:48.0,Indiana full timeout,,64-59,,
3:48.0,R. Stuckey enters the game for G. Hill,,64-59,,
3:48.0,,,64-59,,B. Griffin misses free throw 1 of 2
3:48.0,,,64-59,,Offensive rebound by Team
3:48.0,,,64-59,,B. Griffin misses free throw 2 of 2
3:46.0,Defensive rebound by J. Hill,,64-59,,
3:46.0,Turnover by J. Hill (traveling),,64-59,,
3:35.0,,,64-59,,B. Griffin misses 2-pt shot from 1 ft (block by P. George)
3:33.0,Defensive rebound by R. Stuckey,,64-59,,
3:27.0,R. Stuckey makes 2-pt shot from 1 ft,2,66-59,,
3:15.0,,,66-59,,A. Rivers misses 2-pt shot from 2 ft (block by M. Ellis)
3:15.0,,,66-59,,Offensive rebound by Team
3:15.0,,,66-59,,P. Pierce enters the game for B. Griffin
3:15.0,Jump ball: M. Ellis vs. A. Rivers (J. Smith gains possession),,,,Jump ball: M. Ellis vs. A. Rivers (J. Smith gains possession)
3:09.0,,,66-59,,J. Smith misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by C. Miles,,66-59,,
2:56.0,J. Hill makes 2-pt shot at rim (assist by P. George),2,68-59,,
2:43.0,,,68-61,2,L. Stephenson makes 2-pt shot at rim
2:19.0,R. Stuckey misses 3-pt shot from 23 ft,,68-61,,
2:19.0,,,68-61,,Defensive rebound by J. Crawford
2:13.0,,,68-61,,Shooting foul by J. Hill (drawn by J. Smith)
2:13.0,,,68-62,1,J. Smith makes free throw 1 of 2
2:13.0,,,68-62,,P. Prigioni enters the game for A. Rivers
2:13.0,,,68-62,,W. Johnson enters the game for J. Crawford
2:13.0,,,68-63,1,J. Smith makes free throw 2 of 2
1:57.0,,,68-63,,Personal foul by L. Stephenson (drawn by P. George)
1:57.0,P. George misses free throw 1 of 2,,68-63,,
1:57.0,Offensive rebound by Team,,68-63,,
1:57.0,P. George makes free throw 2 of 2,1,69-63,,
1:40.0,,,69-65,2,L. Stephenson makes 2-pt shot from 19 ft
1:24.0,C. Miles misses 3-pt shot from 25 ft,,69-65,,
1:21.0,Offensive rebound by P. George,,69-65,,
1:02.0,M. Ellis misses 3-pt shot from 25 ft,,69-65,,
1:01.0,,,69-65,,Defensive rebound by Team
0:49.0,,,69-67,2,W. Johnson makes 2-pt shot from 18 ft (assist by P. Prigioni)
0:36.0,P. George misses 3-pt shot from 25 ft,,69-67,,
0:36.0,,,69-67,,Defensive rebound by P. Prigioni
0:23.0,Personal foul by M. Ellis (drawn by P. Prigioni),,69-67,,
0:23.0,,,69-68,1,P. Prigioni makes free throw 1 of 2
0:23.0,,,69-69,1,P. Prigioni makes free throw 2 of 2
0:01.0,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey),3,72-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,72-69,,Shooting foul by J. Hill (drawn by J. Smith)
11:45.0,,,72-69,,J. Smith misses free throw 1 of 2
11:45.0,,,72-69,,Offensive rebound by Team
11:45.0,,,72-70,1,J. Smith makes free throw 2 of 2
11:23.0,J. Hill makes 2-pt shot from 1 ft (assist by P. George),2,74-70,,
11:02.0,,,74-70,,J. Smith misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by J. Hill,,74-70,,
10:45.0,C. Miles misses 3-pt shot from 24 ft,,74-70,,
10:44.0,Offensive rebound by J. Hill,,74-70,,
10:33.0,J. Hill makes 2-pt shot from 1 ft (assist by C. Miles),2,76-70,,
10:19.0,,,76-70,,P. Pierce misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by J. Hill,,76-70,,
10:13.0,Shooting foul by W. Johnson (drawn by R. Stuckey),,76-70,,
10:13.0,R. Stuckey makes free throw 1 of 2,1,77-70,,
10:13.0,,,77-70,,B. Griffin enters the game for W. Johnson
10:13.0,R. Stuckey makes free throw 2 of 2,1,78-70,,
10:01.0,,,78-70,,D. Jordan enters the game for J. Smith
9:52.0,,,78-70,,B. Griffin misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by R. Stuckey,,78-70,,
9:46.0,R. Stuckey makes 2-pt shot from 1 ft,2,80-70,,
9:32.0,,,80-70,,P. Prigioni misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by R. Stuckey,,80-70,,
9:24.0,P. George makes 3-pt shot from 25 ft (assist by G. Hill),3,83-70,,
9:24.0,,,83-70,,LA Clippers full timeout
9:24.0,,,83-70,,J. Crawford enters the game for P. Pierce
9:10.0,,,83-70,,Turnover by B. Griffin (bad pass)
9:00.0,C. Miles misses 3-pt shot from 24 ft,,83-70,,
8:59.0,,,83-70,,Defensive rebound by L. Stephenson
8:45.0,,,83-70,,Turnover by J. Crawford (lost ball)
8:45.0,,,83-70,,A. Rivers enters the game for P. Prigioni
8:33.0,,,83-70,,Personal foul by L. Stephenson (drawn by P. George)
8:28.0,P. George makes 3-pt shot from 24 ft (assist by J. Hill),3,86-70,,
8:20.0,Personal foul by C. Miles (drawn by B. Griffin),,86-70,,
8:20.0,,,86-70,,L. Mbah a Moute enters the game for L. Stephenson
8:20.0,L. Allen enters the game for C. Miles,,86-70,,
8:13.0,,,86-72,2,J. Crawford makes 2-pt shot from 11 ft
7:55.0,Turnover by G. Hill (lost ball),,86-72,,
7:45.0,,,86-74,2,B. Griffin makes 2-pt shot from 1 ft
7:32.0,P. George misses 2-pt shot from 9 ft,,86-74,,
7:32.0,,,86-74,,Defensive rebound by D. Jordan
7:22.0,,,86-74,,Turnover by B. Griffin (lost ball)
7:14.0,P. George makes 2-pt shot at rim,2,88-74,,
7:06.0,Personal foul by P. George (drawn by J. Crawford),,88-74,,
