time,San Antonio,pts.away,score,pts.home,Memphis
1:07.0,M. Ginobili misses 2-pt shot from 5 ft,,22-17,,
1:05.0,,,22-17,,Defensive rebound by Z. Randolph
1:01.0,,,22-17,,J. Green misses 2-pt shot from 14 ft
1:00.0,Defensive rebound by K. Anderson,,22-17,,
0:48.0,P. Mills makes 3-pt shot from 23 ft (assist by D. West),3,25-17,,
0:28.0,,,25-19,2,Z. Randolph makes 2-pt shot from 17 ft (assist by L. Stephenson)
0:04.0,D. West misses 3-pt shot from 23 ft (block by X. Munford),,25-19,,
0:04.0,Offensive rebound by Team,,25-19,,
0:04.0,Turnover by Team (shot clock),,25-19,,
0:03.0,Personal take foul by B. Diaw,,25-19,,
0:02.0,,,25-19,,Turnover by M. Barnes (lost ball; steal by D. West)
0:00.0,D. West misses 3-pt shot from 46 ft,,25-19,,
0:00.0,Offensive rebound by Team,,25-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,25-21,2,L. Stephenson makes 2-pt shot from 1 ft
11:26.0,B. Diaw misses 2-pt shot from 17 ft,,25-21,,
11:25.0,,,25-21,,Defensive rebound by M. Barnes
11:08.0,,,25-21,,C. Andersen misses 2-pt shot from 18 ft
11:07.0,Defensive rebound by Team,,25-21,,
11:07.0,,,25-21,,Loose ball foul by J. Green
10:59.0,,,25-21,,Personal foul by X. Munford
10:49.0,D. Green misses 2-pt shot from 19 ft,,25-21,,
10:47.0,,,25-21,,Defensive rebound by C. Andersen
10:24.0,,,25-23,2,L. Stephenson makes 2-pt shot from 2 ft
10:10.0,P. Mills misses 3-pt shot from 25 ft,,25-23,,
10:10.0,,,25-23,,Defensive rebound by M. Barnes
10:05.0,,,25-23,,Offensive foul by J. Green
10:05.0,,,25-23,,Turnover by J. Green (offensive foul)
10:05.0,T. Parker enters the game for B. Diaw,,25-23,,
10:05.0,T. Duncan enters the game for P. Mills,,25-23,,
9:41.0,K. Anderson misses 2-pt shot from 13 ft,,25-23,,
9:39.0,Offensive rebound by D. West,,25-23,,
9:39.0,D. West misses 2-pt shot from 1 ft,,25-23,,
9:36.0,,,25-23,,Defensive rebound by C. Andersen
9:24.0,,,25-25,2,L. Stephenson makes 2-pt shot at rim
8:56.0,D. West makes 2-pt shot from 5 ft (assist by T. Duncan),2,27-25,,
8:43.0,,,27-27,2,L. Stephenson makes 2-pt shot from 18 ft
8:41.0,San Antonio full timeout,,27-27,,
8:41.0,,,27-27,,V. Carter enters the game for M. Barnes
8:41.0,,,27-27,,T. Allen enters the game for J. Green
8:41.0,J. Simmons enters the game for D. Green,,27-27,,
8:41.0,L. Aldridge enters the game for K. Anderson,,27-27,,
8:41.0,K. Leonard enters the game for D. West,,27-27,,
8:31.0,,,27-27,,Personal foul by T. Allen
8:15.0,Turnover by Team (shot clock),,27-27,,
7:54.0,,,27-27,,T. Allen misses 2-pt shot from 1 ft (block by K. Leonard)
7:53.0,Defensive rebound by J. Simmons,,27-27,,
7:35.0,Shooting foul by V. Carter (drawn by T. Parker),,27-27,,
7:35.0,T. Parker makes free throw 1 of 2,1,28-27,,
7:35.0,T. Parker makes free throw 2 of 2,1,29-27,,
7:19.0,,,29-30,3,V. Carter makes 3-pt shot from 25 ft (assist by X. Munford)
7:07.0,T. Parker misses 2-pt shot from 2 ft (block by X. Munford),,29-30,,
7:07.0,,,29-30,,Defensive rebound by Team
6:56.0,,,29-32,2,L. Stephenson makes 2-pt shot from 14 ft (assist by V. Carter)
6:56.0,,,29-32,,Shooting foul by J. Simmons (drawn by L. Stephenson)
6:56.0,,,29-32,,L. Stephenson misses free throw 1 of 1
6:54.0,Defensive rebound by L. Aldridge,,29-32,,
6:31.0,T. Parker makes 2-pt shot from 2 ft (assist by T. Duncan),2,31-32,,
6:19.0,,,31-32,,Shooting foul by L. Aldridge (drawn by C. Andersen)
6:19.0,,,31-33,1,C. Andersen makes free throw 1 of 2
6:19.0,,,31-34,1,C. Andersen makes free throw 2 of 2
6:05.0,Offensive foul by K. Leonard,,31-34,,
6:05.0,Turnover by K. Leonard (offensive foul),,31-34,,
5:55.0,,,31-34,,L. Stephenson misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by L. Aldridge,,31-34,,
5:45.0,Turnover by T. Parker (lost ball; steal by C. Andersen),,31-34,,
5:26.0,,,31-34,,T. Allen misses 2-pt shot from 1 ft
5:25.0,,,31-34,,Offensive rebound by C. Andersen
5:15.0,,,31-34,,Turnover by T. Allen (bad pass)
5:15.0,San Antonio full timeout,,31-34,,
5:15.0,M. Ginobili enters the game for T. Duncan,,31-34,,
5:15.0,B. Diaw enters the game for J. Simmons,,31-34,,
5:15.0,,,31-34,,M. Barnes enters the game for T. Allen
5:15.0,,,31-34,,J. Farmar enters the game for X. Munford
4:59.0,K. Leonard makes 3-pt shot from 26 ft (assist by B. Diaw),3,34-34,,
4:40.0,,,34-34,,L. Stephenson misses 2-pt shot from 2 ft
4:39.0,,,34-34,,Offensive rebound by C. Andersen
4:39.0,,,34-34,,C. Andersen misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by K. Leonard,,34-34,,
4:39.0,,,34-34,,Personal foul by L. Stephenson
4:39.0,K. Leonard makes free throw 1 of 2,1,35-34,,
4:39.0,K. Leonard makes free throw 2 of 2,1,36-34,,
4:19.0,,,36-34,,V. Carter misses 2-pt shot from 5 ft
4:16.0,Defensive rebound by L. Aldridge,,36-34,,
4:05.0,B. Diaw misses 2-pt shot from 5 ft,,36-34,,
4:04.0,,,36-34,,Defensive rebound by C. Andersen
3:47.0,,,36-34,,L. Stephenson misses 2-pt shot from 8 ft
3:47.0,Defensive rebound by M. Ginobili,,36-34,,
3:47.0,,,36-34,,Loose ball foul by V. Carter
3:47.0,M. Ginobili misses free throw 1 of 2,,36-34,,
3:47.0,Offensive rebound by Team,,36-34,,
3:47.0,,,36-34,,Z. Randolph enters the game for V. Carter
3:47.0,M. Ginobili makes free throw 2 of 2,1,37-34,,
3:27.0,,,37-36,2,L. Stephenson makes 2-pt shot from 16 ft (assist by M. Barnes)
3:11.0,B. Diaw misses 2-pt shot from 15 ft,,37-36,,
3:11.0,,,37-36,,Defensive rebound by C. Andersen
3:03.0,,,37-36,,J. Farmar misses 2-pt shot from 18 ft
3:00.0,,,37-36,,Offensive rebound by C. Andersen
3:00.0,,,37-36,,C. Andersen misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by B. Diaw,,37-36,,
2:55.0,Shooting foul by L. Stephenson (drawn by K. Leonard),,37-36,,
2:55.0,K. Leonard makes 2-pt shot at rim (assist by M. Ginobili),2,39-36,,
2:55.0,,,39-36,,Memphis full timeout
2:55.0,P. Mills enters the game for T. Parker,,39-36,,
2:55.0,K. Leonard makes free throw 1 of 1,1,40-36,,
2:36.0,,,40-36,,Z. Randolph misses 2-pt shot from 22 ft
2:36.0,Defensive rebound by M. Ginobili,,40-36,,
2:30.0,Shooting foul by C. Andersen (drawn by K. Leonard),,40-36,,
2:30.0,K. Leonard makes free throw 1 of 2,1,41-36,,
2:30.0,D. West enters the game for B. Diaw,,41-36,,
2:30.0,K. Leonard makes free throw 2 of 2,1,42-36,,
2:20.0,,,42-39,3,M. Barnes makes 3-pt shot from 25 ft (assist by C. Andersen)
2:20.0,Loose ball foul by M. Ginobili,,42-39,,
2:20.0,,,42-40,1,Z. Randolph makes free throw 1 of 1
2:13.0,,,42-40,,Personal foul by Z. Randolph
2:13.0,D. West makes free throw 1 of 2,1,43-40,,
2:13.0,D. West misses free throw 2 of 2,,43-40,,
2:11.0,,,43-40,,Defensive rebound by Z. Randolph
1:48.0,,,43-42,2,Z. Randolph makes 2-pt shot from 3 ft
1:37.0,L. Aldridge makes 2-pt shot at rim (assist by M. Ginobili),2,45-42,,
1:26.0,,,45-42,,Turnover by M. Barnes (offensive foul)
1:26.0,,,45-42,,Offensive foul by M. Barnes
1:11.0,K. Leonard makes 2-pt shot from 16 ft,2,47-42,,
0:50.0,,,47-42,,M. Barnes misses 3-pt shot from 25 ft
0:49.0,,,47-42,,Offensive rebound by C. Andersen
0:49.0,,,47-42,,Shooting foul by M. Ginobili (drawn by C. Andersen)
0:49.0,,,47-42,,C. Andersen misses free throw 1 of 2
0:49.0,,,47-42,,Offensive rebound by Team
0:49.0,,,47-43,1,C. Andersen makes free throw 2 of 2
0:34.0,M. Ginobili misses 2-pt shot from 5 ft,,47-43,,
0:31.0,Offensive rebound by K. Leonard,,47-43,,
0:31.0,Turnover by K. Leonard (step out of bounds),,47-43,,
0:31.0,,,47-43,,V. Carter enters the game for C. Andersen
0:31.0,D. Green enters the game for D. West,,47-43,,
0:19.0,Personal foul by M. Ginobili,,47-43,,
0:19.0,,,47-44,1,V. Carter makes free throw 1 of 2
0:19.0,,,47-44,,T. Allen enters the game for Z. Randolph
0:19.0,,,47-45,1,V. Carter makes free throw 2 of 2
0:02.0,K. Leonard misses 2-pt shot from 22 ft,,47-45,,
0:01.0,Offensive rebound by L. Aldridge,,47-45,,
0:00.0,L. Aldridge misses 2-pt shot from 1 ft,,47-45,,
0:00.0,Offensive rebound by Team,,47-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,47-45,,V. Carter misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by D. Green,,47-45,,
11:32.0,L. Aldridge makes 2-pt shot from 14 ft (assist by T. Parker),2,49-45,,
11:18.0,,,49-45,,Turnover by J. Farmar (back court)
11:07.0,K. Leonard misses 3-pt shot from 25 ft,,49-45,,
11:06.0,,,49-45,,Defensive rebound by M. Barnes
10:50.0,,,49-45,,J. Farmar misses 2-pt shot from 1 ft
10:49.0,,,49-45,,Offensive rebound by Z. Randolph
10:49.0,,,49-45,,Z. Randolph misses 2-pt shot from 2 ft (block by T. Duncan)
10:47.0,,,49-45,,Offensive rebound by Z. Randolph
10:47.0,,,49-45,,Z. Randolph misses 2-pt shot from 2 ft (block by T. Duncan)
10:43.0,Defensive rebound by L. Aldridge,,49-45,,
10:38.0,T. Parker makes 2-pt shot from 2 ft,2,51-45,,
10:22.0,,,51-45,,M. Barnes misses 3-pt shot from 23 ft
10:21.0,Defensive rebound by T. Duncan,,51-45,,
10:12.0,T. Parker misses 2-pt shot from 3 ft,,51-45,,
10:09.0,Offensive rebound by L. Aldridge,,51-45,,
10:09.0,L. Aldridge misses 2-pt shot from 1 ft,,51-45,,
10:07.0,,,51-45,,Defensive rebound by V. Carter
10:00.0,,,51-47,2,T. Allen makes 2-pt shot from 22 ft (assist by V. Carter)
9:42.0,Turnover by T. Duncan (lost ball; steal by M. Barnes),,51-47,,
9:37.0,,,51-47,,M. Barnes misses 2-pt shot from 2 ft
9:35.0,,,51-47,,Offensive rebound by Z. Randolph
9:35.0,,,51-47,,Z. Randolph misses 2-pt shot from 1 ft
9:35.0,,,51-47,,Offensive rebound by Z. Randolph
9:35.0,,,51-47,,Shooting foul by L. Aldridge (drawn by Z. Randolph)
9:35.0,,,51-48,1,Z. Randolph makes free throw 1 of 2
9:35.0,,,51-49,1,Z. Randolph makes free throw 2 of 2
9:21.0,T. Parker makes 2-pt shot from 1 ft,2,53-49,,
9:14.0,Personal foul by T. Parker,,53-49,,
9:00.0,,,53-49,,T. Allen misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by L. Aldridge,,53-49,,
8:54.0,Shooting foul by M. Barnes (drawn by T. Parker),,53-49,,
8:54.0,T. Parker makes free throw 1 of 2,1,54-49,,
8:54.0,T. Parker misses free throw 2 of 2,,54-49,,
8:53.0,,,54-49,,Defensive rebound by M. Barnes
8:34.0,,,54-51,2,Z. Randolph makes 2-pt shot from 1 ft
8:14.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker),3,57-51,,
8:04.0,,,57-51,,Z. Randolph misses 2-pt shot from 3 ft (block by K. Leonard)
8:02.0,Defensive rebound by K. Leonard,,57-51,,
7:50.0,L. Aldridge makes 2-pt shot from 11 ft,2,59-51,,
7:50.0,Shooting foul by M. Barnes (drawn by L. Aldridge),,59-51,,
7:50.0,L. Aldridge makes free throw 1 of 1,1,60-51,,
7:40.0,,,60-53,2,T. Allen makes 2-pt shot from 5 ft (assist by M. Barnes)
7:17.0,Turnover by D. Green (lost ball; steal by M. Barnes),,60-53,,
7:09.0,,,60-53,,M. Barnes misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by K. Leonard,,60-53,,
7:02.0,T. Parker makes 2-pt shot from 1 ft,2,62-53,,
6:54.0,,,62-53,,Memphis full timeout
6:52.0,,,62-53,,Turnover by M. Barnes (lost ball; steal by D. Green)
6:50.0,D. Green makes 2-pt shot at rim,2,64-53,,
6:27.0,,,64-53,,V. Carter misses 2-pt shot from 8 ft (block by T. Duncan)
6:26.0,,,64-53,,Offensive rebound by V. Carter
6:26.0,,,64-53,,Turnover by V. Carter (step out of bounds)
6:11.0,T. Duncan makes 2-pt shot from 12 ft,2,66-53,,
6:11.0,Shooting foul by Z. Randolph (drawn by T. Duncan),,66-53,,
6:11.0,,,66-53,,L. Stephenson enters the game for T. Allen
6:11.0,,,66-53,,J. Green enters the game for V. Carter
6:11.0,T. Duncan makes free throw 1 of 1,1,67-53,,
5:54.0,,,67-53,,L. Stephenson misses 2-pt shot from 13 ft
5:52.0,Defensive rebound by Team,,67-53,,
5:37.0,T. Duncan makes 2-pt shot from 2 ft (assist by K. Leonard),2,69-53,,
5:21.0,,,69-55,2,Z. Randolph makes 2-pt shot from 20 ft
4:59.0,Turnover by T. Parker (lost ball),,69-55,,
4:59.0,,,69-55,,C. Andersen enters the game for Z. Randolph
4:36.0,,,69-57,2,J. Farmar makes 2-pt shot from 17 ft
4:34.0,San Antonio full timeout,,69-57,,
4:34.0,P. Mills enters the game for T. Parker,,69-57,,
4:34.0,M. Ginobili enters the game for T. Duncan,,69-57,,
4:34.0,D. West enters the game for D. Green,,69-57,,
4:12.0,L. Aldridge makes 2-pt shot from 13 ft (assist by D. West),2,71-57,,
4:03.0,,,71-57,,Turnover by J. Farmar (bad pass)
3:43.0,L. Aldridge misses 2-pt shot from 13 ft,,71-57,,
3:41.0,Offensive rebound by D. West,,71-57,,
3:35.0,,,71-57,,Personal foul by J. Green
3:35.0,,,71-57,,X. Munford enters the game for J. Farmar
3:32.0,P. Mills makes 3-pt shot from 27 ft (assist by K. Leonard),3,74-57,,
3:08.0,,,74-59,2,M. Barnes makes 2-pt shot from 2 ft
2:50.0,M. Ginobili makes 2-pt shot from 2 ft,2,76-59,,
2:34.0,,,76-59,,Turnover by C. Andersen (lost ball; steal by P. Mills)
2:28.0,K. Leonard misses 2-pt shot from 2 ft,,76-59,,
2:26.0,Offensive rebound by D. West,,76-59,,
2:17.0,L. Aldridge misses 2-pt shot from 6 ft,,76-59,,
2:16.0,,,76-59,,Defensive rebound by J. Green
2:13.0,,,76-59,,Shooting foul by M. Ginobili (drawn by L. Stephenson)
2:13.0,,,76-60,1,L. Stephenson makes free throw 1 of 2
2:13.0,B. Diaw enters the game for L. Aldridge,,76-60,,
2:13.0,,,76-61,1,L. Stephenson makes free throw 2 of 2
2:02.0,,,76-61,,Personal foul by L. Stephenson
2:02.0,M. Ginobili makes free throw 1 of 2,1,77-61,,
2:02.0,M. Ginobili makes free throw 2 of 2,1,78-61,,
1:50.0,,,78-61,,X. Munford misses 3-pt shot from 26 ft
1:50.0,Defensive rebound by Team,,78-61,,
1:44.0,Shooting foul by M. Barnes (drawn by K. Leonard),,78-61,,
1:44.0,K. Leonard makes free throw 1 of 2,1,79-61,,
1:44.0,K. Leonard makes free throw 2 of 2,1,80-61,,
1:28.0,,,80-61,,Shooting foul by M. Ginobili (drawn by M. Barnes)
1:28.0,,,80-62,1,M. Barnes makes free throw 1 of 2
1:28.0,,,80-62,,M. Barnes misses free throw 2 of 2
1:27.0,Defensive rebound by K. Leonard,,80-62,,
1:10.0,K. Anderson enters the game for M. Ginobili,,80-62,,
1:06.0,D. West makes 2-pt shot at rim (assist by K. Leonard),2,82-62,,
0:52.0,,,82-64,2,L. Stephenson makes 2-pt shot from 1 ft
0:35.0,P. Mills misses 3-pt shot from 25 ft,,82-64,,
0:33.0,Offensive rebound by K. Leonard,,82-64,,
0:33.0,K. Leonard makes 2-pt shot at rim,2,84-64,,
0:20.0,,,84-64,,L. Stephenson misses 2-pt shot from 4 ft (block by D. West)
0:20.0,J. Simmons enters the game for K. Leonard,,84-64,,
0:20.0,Jump ball: L. Stephenson vs. D. West,,,,Jump ball: L. Stephenson vs. D. West
0:20.0,,,84-64,,Offensive rebound by Team
0:12.0,,,84-66,2,X. Munford makes 2-pt shot from 1 ft
0:01.0,K. Anderson misses 3-pt shot from 23 ft,,84-66,,
0:00.0,Offensive rebound by Team,,84-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,B. Diaw misses 2-pt shot from 3 ft,,84-66,,
11:39.0,,,84-66,,Defensive rebound by Team
11:23.0,,,84-66,,Turnover by M. Barnes (lost ball; steal by J. Simmons)
11:11.0,P. Mills misses 3-pt shot from 26 ft,,84-66,,
11:11.0,,,84-66,,Defensive rebound by J. Green
11:01.0,,,84-66,,X. Munford misses 2-pt shot from 1 ft
11:01.0,,,84-66,,Offensive rebound by C. Andersen
10:53.0,,,84-66,,Turnover by X. Munford (bad pass)
10:33.0,K. Anderson makes 2-pt shot from 2 ft,2,86-66,,
10:18.0,,,86-66,,L. Stephenson misses 2-pt shot from 2 ft
10:17.0,,,86-66,,Offensive rebound by C. Andersen
10:17.0,,,86-66,,C. Andersen misses 2-pt shot from 1 ft
10:14.0,,,86-66,,Offensive rebound by C. Andersen
10:13.0,,,86-68,2,L. Stephenson makes 2-pt shot from 1 ft (assist by C. Andersen)
9:55.0,,,86-68,,Personal foul by J. Green
9:51.0,K. Anderson misses 2-pt shot from 19 ft,,86-68,,
9:50.0,Offensive rebound by D. West,,86-68,,
9:32.0,J. Simmons makes 3-pt shot from 23 ft (assist by B. Diaw),3,89-68,,
9:15.0,,,89-70,2,J. Green makes 2-pt shot at rim (assist by L. Stephenson)
9:05.0,Shooting foul by X. Munford (drawn by D. West),,89-70,,
9:05.0,D. West makes 2-pt shot from 2 ft (assist by P. Mills),2,91-70,,
9:05.0,,,91-70,,V. Carter enters the game for J. Green
9:05.0,D. West makes free throw 1 of 1,1,92-70,,
8:54.0,,,92-70,,X. Munford misses 3-pt shot from 26 ft
8:53.0,,,92-70,,Offensive rebound by C. Andersen
8:52.0,Loose ball foul by D. West,,92-70,,
8:52.0,,,92-70,,Memphis full timeout
8:52.0,A. Miller enters the game for D. West,,92-70,,
8:45.0,Personal foul by J. Simmons,,92-70,,
8:42.0,Personal foul by J. Simmons,,92-70,,
8:38.0,,,92-73,3,V. Carter makes 3-pt shot from 26 ft (assist by M. Barnes)
8:23.0,,,92-73,,Personal foul by L. Stephenson
8:23.0,D. Green enters the game for J. Simmons,,92-73,,
8:17.0,P. Mills misses 2-pt shot from 19 ft,,92-73,,
8:16.0,,,92-73,,Defensive rebound by V. Carter
8:03.0,,,92-73,,Shooting foul by K. Anderson (drawn by C. Andersen)
8:03.0,,,92-74,1,C. Andersen makes free throw 1 of 2
8:03.0,J. Simmons enters the game for D. Green,,92-74,,
8:03.0,,,92-75,1,C. Andersen makes free throw 2 of 2
7:53.0,Shooting foul by V. Carter (drawn by B. Diaw),,92-75,,
7:53.0,B. Diaw makes free throw 1 of 2,1,93-75,,
7:53.0,B. Diaw makes free throw 2 of 2,1,94-75,,
7:44.0,,,94-75,,Shooting foul by A. Miller (drawn by X. Munford)
7:44.0,,,94-75,,X. Munford misses free throw 1 of 2
7:44.0,,,94-75,,Offensive rebound by Team
7:44.0,,,94-75,,J. Green enters the game for C. Andersen
7:44.0,,,94-75,,X. Munford misses free throw 2 of 2
7:43.0,Defensive rebound by K. Anderson,,94-75,,
7:22.0,J. Simmons misses 2-pt shot from 15 ft,,94-75,,
7:22.0,,,94-75,,Defensive rebound by X. Munford
7:14.0,,,94-77,2,M. Barnes makes 2-pt shot from 1 ft (assist by X. Munford)
7:07.0,San Antonio full timeout,,94-77,,
7:07.0,B. Marjanovic enters the game for P. Mills,,94-77,,
6:52.0,B. Diaw makes 3-pt shot from 25 ft (assist by J. Simmons),3,97-77,,
6:38.0,,,97-80,3,V. Carter makes 3-pt shot from 25 ft
6:26.0,,,97-80,,Violation by V. Carter (kicked ball)
6:20.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by K. Anderson),2,99-80,,
6:20.0,Shooting foul by X. Munford (drawn by B. Marjanovic),,99-80,,
6:20.0,B. Marjanovic makes free throw 1 of 1,1,100-80,,
6:06.0,,,100-80,,Shooting foul by B. Marjanovic (drawn by J. Green)
6:06.0,,,100-81,1,J. Green makes free throw 1 of 2
6:06.0,,,100-81,,J. Farmar enters the game for X. Munford
6:06.0,,,100-82,1,J. Green makes free throw 2 of 2
5:43.0,B. Marjanovic makes 2-pt shot at rim (assist by A. Miller),2,102-82,,
5:28.0,,,102-82,,Shooting foul by B. Marjanovic (drawn by L. Stephenson)
5:28.0,,,102-83,1,L. Stephenson makes free throw 1 of 2
5:28.0,,,102-84,1,L. Stephenson makes free throw 2 of 2
5:12.0,J. Simmons makes 2-pt shot from 1 ft,2,104-84,,
4:57.0,,,104-86,2,L. Stephenson makes 2-pt shot from 1 ft
4:42.0,Shooting foul by V. Carter (drawn by J. Simmons),,104-86,,
4:42.0,J. Simmons makes free throw 1 of 2,1,105-86,,
4:42.0,J. Simmons misses free throw 2 of 2,,105-86,,
4:42.0,Offensive rebound by J. Simmons,,105-86,,
4:34.0,,,105-86,,Personal take foul by L. Stephenson
4:34.0,B. Marjanovic makes free throw 1 of 2,1,106-86,,
4:34.0,B. Marjanovic makes free throw 2 of 2,1,107-86,,
4:17.0,,,107-86,,J. Green misses 2-pt shot from 21 ft
4:16.0,,,107-86,,Offensive rebound by M. Barnes
4:15.0,,,107-86,,Turnover by M. Barnes (step out of bounds)
