time,Minnesota,pts.away,score,pts.home,LA Lakers
5:31.0,,,20-15,3,K. Bryant makes 3-pt shot from 24 ft
5:12.0,K. Towns misses 2-pt shot from 5 ft,,20-15,,
5:08.0,,,20-15,,Defensive rebound by J. Randle
4:56.0,,,20-15,,D. Russell misses 2-pt shot from 10 ft (block by A. Wiggins)
4:53.0,Defensive rebound by A. Wiggins,,20-15,,
4:49.0,R. Rubio makes 2-pt shot at rim (assist by A. Wiggins),2,22-15,,
4:31.0,,,22-15,,K. Bryant misses 3-pt shot from 24 ft
4:30.0,,,22-15,,Offensive rebound by R. Hibbert
4:30.0,Loose ball foul by K. Towns (drawn by R. Hibbert),,22-15,,
4:30.0,,,22-15,,B. Bass enters the game for R. Hibbert
4:30.0,S. Muhammad enters the game for T. Prince,,22-15,,
4:30.0,A. Payne enters the game for K. Towns,,22-15,,
4:12.0,,,22-17,2,J. Randle makes 2-pt shot at rim (assist by B. Bass)
3:53.0,A. Payne makes 2-pt shot at rim (assist by R. Rubio),2,24-17,,
3:28.0,,,24-19,2,J. Clarkson makes 2-pt shot from 5 ft (assist by K. Bryant)
3:11.0,S. Muhammad misses 2-pt shot from 7 ft,,24-19,,
3:08.0,,,24-19,,Defensive rebound by D. Russell
3:02.0,,,24-21,2,D. Russell makes 2-pt shot from 5 ft
2:55.0,Minnesota full timeout,,24-21,,
2:55.0,Z. LaVine enters the game for R. Rubio,,24-21,,
2:55.0,,,24-21,,T. Black enters the game for J. Randle
2:55.0,,,24-21,,N. Young enters the game for K. Bryant
2:47.0,Turnover by Z. LaVine (bad pass; steal by T. Black),,24-21,,
2:23.0,,,24-21,,D. Russell misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by G. Dieng,,24-21,,
2:11.0,A. Wiggins misses 2-pt shot at rim (block by T. Black),,24-21,,
2:08.0,,,24-21,,Defensive rebound by J. Clarkson
2:05.0,,,24-21,,J. Clarkson misses 2-pt shot at rim
2:05.0,,,24-21,,Offensive rebound by Team
1:55.0,,,24-23,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
1:27.0,G. Dieng misses 3-pt shot from 23 ft,,24-23,,
1:26.0,,,24-23,,Defensive rebound by B. Bass
1:18.0,,,24-23,,Shooting foul by G. Dieng (drawn by B. Bass)
1:18.0,,,24-24,1,B. Bass makes free throw 1 of 2
1:18.0,T. Prince enters the game for A. Wiggins,,24-24,,
1:18.0,,,24-25,1,B. Bass makes free throw 2 of 2
1:00.0,Turnover by T. Prince (bad pass),,24-25,,
0:52.0,,,24-25,,Shooting foul by T. Prince (drawn by J. Clarkson)
0:52.0,,,24-25,,J. Clarkson misses free throw 1 of 2
0:52.0,,,24-25,,Offensive rebound by Team
0:52.0,,,24-25,,J. Clarkson misses free throw 2 of 2
0:51.0,Defensive rebound by A. Payne,,24-25,,
0:39.0,,,24-25,,Personal foul by J. Clarkson (drawn by A. Payne)
0:34.0,Turnover by G. Dieng (traveling),,24-25,,
0:19.0,,,24-27,2,J. Clarkson makes 2-pt shot from 6 ft
0:00.0,Z. LaVine makes 2-pt shot from 18 ft,2,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,26-27,,Shooting foul by G. Dieng (drawn by D. Russell)
11:51.0,,,26-27,,D. Russell misses free throw 1 of 2
11:51.0,,,26-27,,Offensive rebound by Team
11:51.0,,,26-27,,L. Williams enters the game for J. Clarkson
11:51.0,A. Miller enters the game for T. Prince,,26-27,,
11:51.0,,,26-28,1,D. Russell makes free throw 2 of 2
11:36.0,S. Muhammad makes 2-pt shot from 19 ft (assist by A. Payne),2,28-28,,
11:23.0,,,28-28,,Shooting foul by Z. LaVine (drawn by L. Williams)
11:23.0,,,28-29,1,L. Williams makes free throw 1 of 2
11:23.0,N. Bjelica enters the game for G. Dieng,,28-29,,
11:23.0,,,28-30,1,L. Williams makes free throw 2 of 2
11:09.0,,,28-30,,Personal foul by N. Young (drawn by S. Muhammad)
11:04.0,Turnover by A. Miller (bad pass; steal by D. Russell),,28-30,,
11:01.0,,,28-30,,Shooting foul by Z. LaVine (drawn by D. Russell)
11:01.0,,,28-30,,D. Russell misses free throw 1 of 2
11:01.0,,,28-30,,Offensive rebound by Team
11:01.0,,,28-31,1,D. Russell makes free throw 2 of 2
10:47.0,Turnover by A. Payne (step out of bounds),,28-31,,
10:30.0,,,28-31,,N. Young misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by A. Miller,,28-31,,
10:23.0,A. Miller makes 2-pt shot from 1 ft (assist by N. Bjelica),2,30-31,,
10:12.0,,,30-33,2,D. Russell makes 2-pt shot from 11 ft
9:59.0,D. Rudez enters the game for A. Payne,,30-33,,
9:55.0,Shooting foul by N. Young (drawn by S. Muhammad),,30-33,,
9:55.0,S. Muhammad makes free throw 1 of 2,1,31-33,,
9:55.0,S. Muhammad makes free throw 2 of 2,1,32-33,,
9:36.0,,,32-33,,D. Russell misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by S. Muhammad,,32-33,,
9:28.0,Turnover by A. Miller (bad pass; steal by N. Young),,32-33,,
9:22.0,,,32-35,2,D. Russell makes 2-pt shot from 5 ft
9:05.0,D. Rudez misses 3-pt shot from 23 ft,,32-35,,
9:04.0,Offensive rebound by Team,,32-35,,
8:55.0,Z. LaVine misses 3-pt shot from 24 ft,,32-35,,
8:54.0,Offensive rebound by D. Rudez,,32-35,,
8:48.0,,,32-35,,Personal foul by D. Russell (drawn by S. Muhammad)
8:48.0,Official timeout,,32-35,,
8:35.0,Turnover by Z. LaVine (bad pass),,32-35,,
8:19.0,,,32-37,2,N. Young makes 2-pt shot from 17 ft (assist by D. Russell)
8:02.0,A. Miller misses 2-pt shot from 2 ft (block by T. Black),,32-37,,
7:59.0,Offensive rebound by D. Rudez,,32-37,,
7:56.0,D. Rudez makes 2-pt shot at rim,2,34-37,,
7:43.0,,,34-37,,N. Young misses 3-pt shot from 23 ft
7:41.0,Defensive rebound by A. Miller,,34-37,,
7:36.0,S. Muhammad misses 2-pt shot from 1 ft,,34-37,,
7:32.0,,,34-37,,Defensive rebound by T. Black
7:32.0,,,34-37,,Turnover by N. Young (step out of bounds)
7:18.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,36-37,,
7:01.0,,,36-39,2,D. Russell makes 2-pt shot from 1 ft
6:47.0,D. Rudez misses 3-pt shot from 23 ft,,36-39,,
6:45.0,,,36-39,,Defensive rebound by B. Bass
6:35.0,,,36-39,,L. Williams misses 3-pt shot from 23 ft
6:35.0,Defensive rebound by Team,,36-39,,
6:35.0,,,36-39,,Loose ball foul by T. Black (drawn by N. Bjelica)
6:35.0,,,36-39,,K. Bryant enters the game for N. Young
6:35.0,,,36-39,,J. Randle enters the game for B. Bass
6:35.0,A. Wiggins enters the game for S. Muhammad,,36-39,,
6:22.0,Z. LaVine misses 2-pt shot from 15 ft,,36-39,,
6:19.0,,,36-39,,Defensive rebound by D. Russell
6:11.0,,,36-39,,J. Randle misses 2-pt shot from 3 ft
6:11.0,Defensive rebound by Team,,36-39,,
6:11.0,R. Rubio enters the game for A. Miller,,36-39,,
5:57.0,R. Rubio misses 3-pt shot from 24 ft,,36-39,,
5:55.0,,,36-39,,Defensive rebound by D. Russell
5:50.0,,,36-39,,Turnover by D. Russell (bad pass; steal by N. Bjelica)
5:44.0,Shooting foul by K. Bryant (drawn by D. Rudez),,36-39,,
5:44.0,,,36-39,,LA Lakers full timeout
5:44.0,K. Towns enters the game for N. Bjelica,,36-39,,
5:44.0,D. Rudez makes free throw 1 of 2,1,37-39,,
5:44.0,D. Rudez makes free throw 2 of 2,1,38-39,,
5:33.0,Def 3 sec tech foul by D. Rudez,,38-39,,
5:33.0,,,38-40,1,K. Bryant makes technical free throw
5:27.0,,,38-43,3,D. Russell makes 3-pt shot from 24 ft (assist by T. Black)
4:58.0,A. Wiggins misses 2-pt shot from 1 ft,,38-43,,
4:57.0,,,38-43,,Defensive rebound by T. Black
4:52.0,,,38-46,3,K. Bryant makes 3-pt shot from 24 ft (assist by T. Black)
4:47.0,Minnesota full timeout,,38-46,,
4:47.0,,,38-46,,J. Clarkson enters the game for D. Russell
4:47.0,G. Dieng enters the game for Z. LaVine,,38-46,,
4:47.0,T. Prince enters the game for D. Rudez,,38-46,,
4:27.0,T. Prince misses 2-pt shot from 19 ft,,38-46,,
4:25.0,,,38-46,,Defensive rebound by J. Randle
4:16.0,,,38-46,,Shooting foul by A. Wiggins (drawn by K. Bryant)
4:16.0,,,38-47,1,K. Bryant makes free throw 1 of 3
4:16.0,,,38-48,1,K. Bryant makes free throw 2 of 3
4:16.0,,,38-49,1,K. Bryant makes free throw 3 of 3
3:59.0,A. Wiggins makes 2-pt shot at rim (assist by K. Towns),2,40-49,,
3:52.0,,,40-49,,Shooting foul by A. Wiggins (drawn by L. Williams)
3:52.0,,,40-50,1,L. Williams makes free throw 1 of 2
3:52.0,,,40-51,1,L. Williams makes free throw 2 of 2
3:33.0,T. Prince makes 2-pt shot from 20 ft (assist by R. Rubio),2,42-51,,
3:22.0,,,42-54,3,K. Bryant makes 3-pt shot from 23 ft (assist by L. Williams)
3:01.0,G. Dieng makes 2-pt shot from 7 ft (assist by T. Prince),2,44-54,,
2:47.0,,,44-57,3,L. Williams makes 3-pt shot from 25 ft (assist by K. Bryant)
2:36.0,,,44-57,,Personal foul by T. Black (drawn by G. Dieng)
2:36.0,G. Dieng makes free throw 1 of 2,1,45-57,,
2:36.0,G. Dieng misses free throw 2 of 2,,45-57,,
2:35.0,,,45-57,,Defensive rebound by J. Randle
2:14.0,,,45-57,,J. Clarkson misses 3-pt shot from 23 ft
2:13.0,,,45-57,,Offensive rebound by Team
2:12.0,,,45-57,,B. Bass enters the game for T. Black
2:07.0,,,45-57,,K. Bryant misses 3-pt shot from 23 ft
2:06.0,Defensive rebound by G. Dieng,,45-57,,
2:00.0,,,45-57,,Personal foul by K. Bryant (drawn by R. Rubio)
2:00.0,R. Rubio makes free throw 1 of 2,1,46-57,,
2:00.0,R. Rubio makes free throw 2 of 2,1,47-57,,
1:44.0,,,47-57,,J. Randle misses 2-pt shot from 5 ft
1:41.0,,,47-57,,Offensive rebound by J. Randle
1:41.0,,,47-59,2,J. Randle makes 2-pt shot from 1 ft
1:34.0,Shooting foul by J. Randle (drawn by G. Dieng),,47-59,,
1:34.0,G. Dieng makes free throw 1 of 2,1,48-59,,
1:34.0,G. Dieng misses free throw 2 of 2,,48-59,,
1:32.0,,,48-59,,Defensive rebound by J. Randle
1:16.0,,,48-61,2,J. Randle makes 2-pt shot at rim (assist by L. Williams)
1:03.0,R. Rubio misses 2-pt shot from 11 ft,,48-61,,
0:59.0,,,48-61,,Defensive rebound by J. Clarkson
0:43.0,,,48-63,2,B. Bass makes 2-pt shot from 4 ft (assist by L. Williams)
0:43.0,,,48-63,,Shooting foul by K. Towns (drawn by B. Bass)
0:43.0,N. Bjelica enters the game for K. Towns,,48-63,,
0:43.0,,,48-63,,D. Russell enters the game for K. Bryant
0:43.0,,,48-63,,B. Bass misses free throw 1 of 1
0:42.0,Defensive rebound by N. Bjelica,,48-63,,
0:32.0,A. Wiggins misses 2-pt shot from 1 ft,,48-63,,
0:32.0,Offensive rebound by A. Wiggins,,48-63,,
0:32.0,,,48-63,,Personal foul by J. Randle (drawn by A. Wiggins)
0:32.0,A. Wiggins makes free throw 1 of 2,1,49-63,,
0:32.0,,,49-63,,T. Black enters the game for J. Randle
0:32.0,A. Wiggins makes free throw 2 of 2,1,50-63,,
0:08.0,,,50-66,3,L. Williams makes 3-pt shot from 25 ft
0:07.0,,,50-66,,Violation by Team (jump ball)
0:03.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,52-66,,
0:02.0,,,52-66,,D. Russell misses 3-pt shot from 42 ft
0:00.0,,,52-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-66,,J. Randle misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by R. Rubio,,52-66,,
11:30.0,A. Wiggins misses 3-pt shot from 24 ft,,52-66,,
11:29.0,,,52-66,,Defensive rebound by K. Bryant
11:21.0,,,52-66,,L. Williams misses 2-pt shot from 8 ft
11:17.0,Defensive rebound by G. Dieng,,52-66,,
11:09.0,Shooting foul by R. Hibbert (drawn by A. Wiggins),,52-66,,
11:09.0,A. Wiggins misses free throw 1 of 2,,52-66,,
11:09.0,Offensive rebound by Team,,52-66,,
11:09.0,A. Wiggins misses free throw 2 of 2,,52-66,,
11:08.0,,,52-66,,Defensive rebound by J. Randle
10:52.0,,,52-68,2,J. Clarkson makes 2-pt shot from 6 ft
10:43.0,,,52-68,,Personal foul by R. Hibbert (drawn by G. Dieng)
10:26.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,54-68,,
10:15.0,,,54-70,2,J. Clarkson makes 2-pt shot from 1 ft
9:53.0,R. Rubio makes 2-pt shot from 19 ft (assist by G. Dieng),2,56-70,,
9:45.0,,,56-70,,Shooting foul by A. Wiggins (drawn by L. Williams)
9:45.0,,,56-70,,L. Williams misses free throw 1 of 2
9:45.0,,,56-70,,Offensive rebound by Team
9:45.0,,,56-71,1,L. Williams makes free throw 2 of 2
9:24.0,R. Rubio misses 3-pt shot from 24 ft,,56-71,,
9:23.0,Offensive rebound by Team,,56-71,,
9:20.0,A. Wiggins makes 2-pt shot from 6 ft (assist by T. Prince),2,58-71,,
9:00.0,,,58-71,,Shooting foul by R. Rubio (drawn by L. Williams)
9:00.0,,,58-72,1,L. Williams makes free throw 1 of 2
9:00.0,,,58-73,1,L. Williams makes free throw 2 of 2
8:49.0,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio),2,60-73,,
8:33.0,,,60-73,,K. Bryant misses 2-pt shot from 6 ft
8:31.0,,,60-73,,Offensive rebound by Team
8:25.0,,,60-76,3,K. Bryant makes 3-pt shot from 24 ft (assist by R. Hibbert)
8:22.0,Minnesota full timeout,,60-76,,
8:03.0,T. Prince makes 2-pt shot from 19 ft (assist by R. Rubio),2,62-76,,
7:44.0,Jump ball: K. Bryant vs. R. Rubio (J. Randle gains possession),,,,Jump ball: K. Bryant vs. R. Rubio (J. Randle gains possession)
7:35.0,,,62-76,,J. Randle misses 2-pt shot from 7 ft
7:34.0,,,62-76,,Offensive rebound by K. Bryant
7:30.0,,,62-76,,K. Bryant misses 2-pt shot from 8 ft
7:30.0,,,62-76,,Offensive rebound by J. Randle
7:30.0,,,62-76,,Shooting foul by T. Prince (drawn by J. Randle)
7:30.0,,,62-77,1,J. Randle makes free throw 1 of 2
7:30.0,S. Muhammad enters the game for T. Prince,,62-77,,
7:30.0,,,62-77,,J. Randle misses free throw 2 of 2
7:28.0,Defensive rebound by K. Towns,,62-77,,
7:21.0,G. Dieng makes 2-pt shot from 1 ft (assist by R. Rubio),2,64-77,,
7:21.0,Shooting foul by R. Hibbert (drawn by G. Dieng),,64-77,,
7:21.0,G. Dieng makes free throw 1 of 1,1,65-77,,
7:07.0,,,65-80,3,L. Williams makes 3-pt shot from 24 ft (assist by K. Bryant)
6:45.0,S. Muhammad misses 3-pt shot from 25 ft,,65-80,,
6:43.0,Offensive rebound by A. Wiggins,,65-80,,
6:34.0,A. Wiggins misses 2-pt shot from 7 ft,,65-80,,
6:28.0,,,65-80,,Defensive rebound by J. Randle
6:21.0,,,65-80,,L. Williams misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by K. Towns,,65-80,,
6:17.0,S. Muhammad makes 2-pt shot at rim (assist by R. Rubio),2,67-80,,
5:56.0,,,67-82,2,R. Hibbert makes 2-pt shot from 15 ft (assist by J. Randle)
5:43.0,Turnover by R. Rubio (bad pass),,67-82,,
5:43.0,,,67-82,,D. Russell enters the game for L. Williams
5:24.0,,,67-82,,J. Randle misses 2-pt shot from 16 ft
5:23.0,Defensive rebound by R. Rubio,,67-82,,
5:18.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,69-82,,
5:05.0,,,69-82,,Turnover by K. Bryant (bad pass; steal by S. Muhammad)
4:47.0,R. Rubio misses 2-pt shot from 19 ft,,69-82,,
4:46.0,Offensive rebound by K. Towns,,69-82,,
4:40.0,G. Dieng misses 3-pt shot from 23 ft,,69-82,,
4:38.0,,,69-82,,Defensive rebound by K. Bryant
4:31.0,,,69-85,3,K. Bryant makes 3-pt shot from 24 ft
4:29.0,Minnesota full timeout,,69-85,,
4:29.0,D. Rudez enters the game for G. Dieng,,69-85,,
4:19.0,Shooting foul by D. Russell (drawn by A. Wiggins),,69-85,,
4:19.0,A. Wiggins misses free throw 1 of 2,,69-85,,
4:19.0,Offensive rebound by Team,,69-85,,
4:19.0,Z. LaVine enters the game for R. Rubio,,69-85,,
4:19.0,A. Wiggins makes free throw 2 of 2,1,70-85,,
4:03.0,,,70-85,,J. Clarkson misses 2-pt shot from 7 ft
3:58.0,Defensive rebound by Z. LaVine,,70-85,,
3:47.0,K. Towns makes 3-pt shot from 24 ft,3,73-85,,
3:27.0,,,73-85,,K. Bryant misses 3-pt shot from 24 ft (block by A. Wiggins)
3:24.0,Defensive rebound by K. Towns,,73-85,,
3:22.0,Turnover by K. Towns (bad pass; steal by J. Clarkson),,73-85,,
3:20.0,Personal take foul by Z. LaVine (drawn by K. Bryant),,73-85,,
3:20.0,,,73-85,,B. Bass enters the game for R. Hibbert
3:07.0,,,73-87,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
2:51.0,K. Towns makes 2-pt shot at rim (assist by Z. LaVine),2,75-87,,
2:51.0,Shooting foul by B. Bass (drawn by K. Towns),,75-87,,
2:51.0,,,75-87,,LA Lakers full timeout
2:51.0,K. Towns makes free throw 1 of 1,1,76-87,,
2:29.0,,,76-87,,D. Russell misses 2-pt shot from 17 ft
2:27.0,Defensive rebound by S. Muhammad,,76-87,,
2:23.0,Turnover by S. Muhammad (lost ball; steal by K. Bryant),,76-87,,
2:22.0,,,76-87,,K. Bryant misses 2-pt shot from 7 ft
2:22.0,Defensive rebound by Team,,76-87,,
2:00.0,K. Towns misses 2-pt shot from 17 ft,,76-87,,
1:58.0,Offensive rebound by A. Wiggins,,76-87,,
1:58.0,A. Wiggins misses 2-pt shot at rim,,76-87,,
1:58.0,,,76-87,,Defensive rebound by Team
1:38.0,Personal foul by D. Rudez (drawn by K. Bryant),,76-87,,
1:38.0,,,76-87,,K. Bryant misses free throw 1 of 2
1:38.0,,,76-87,,Offensive rebound by Team
1:38.0,,,76-88,1,K. Bryant makes free throw 2 of 2
1:31.0,Z. LaVine misses 2-pt shot at rim,,76-88,,
1:29.0,,,76-88,,Defensive rebound by Team
1:15.0,,,76-88,,J. Clarkson misses 3-pt shot from 24 ft
1:14.0,,,76-88,,Offensive rebound by B. Bass
1:10.0,,,76-90,2,K. Bryant makes 2-pt shot from 16 ft (assist by B. Bass)
0:54.0,A. Wiggins makes 3-pt shot from 24 ft (assist by Z. LaVine),3,79-90,,
0:30.0,,,79-90,,B. Bass misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by K. Towns,,79-90,,
0:08.0,D. Rudez makes 2-pt shot from 1 ft (assist by Z. LaVine),2,81-90,,
0:04.0,,,81-90,,Shooting foul by Z. LaVine (drawn by D. Russell)
0:04.0,,,81-91,1,D. Russell makes free throw 1 of 2
0:04.0,,,81-92,1,D. Russell makes free throw 2 of 2
0:01.0,Z. LaVine misses 3-pt shot from 37 ft,,81-92,,
0:00.0,Offensive rebound by Team,,81-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine),2,83-92,,
11:20.0,,,83-92,,Turnover by D. Russell (bad pass; steal by S. Muhammad)
11:14.0,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Dieng),2,85-92,,
10:54.0,,,85-92,,D. Russell misses 2-pt shot from 17 ft
10:53.0,Defensive rebound by S. Muhammad,,85-92,,
10:49.0,Z. LaVine makes 2-pt shot at rim (assist by S. Muhammad),2,87-92,,
10:49.0,,,87-92,,LA Lakers full timeout
10:26.0,,,87-94,2,B. Bass makes 2-pt shot at rim
10:03.0,A. Wiggins makes 2-pt shot from 1 ft (assist by Z. LaVine),2,89-94,,
9:53.0,,,89-96,2,J. Clarkson makes 2-pt shot from 1 ft
9:38.0,Shooting foul by T. Black (drawn by S. Muhammad),,89-96,,
9:38.0,S. Muhammad makes free throw 1 of 2,1,90-96,,
9:38.0,,,90-96,,L. Williams enters the game for J. Clarkson
9:38.0,S. Muhammad makes free throw 2 of 2,1,91-96,,
9:18.0,,,91-96,,T. Black misses 2-pt shot at rim
9:18.0,Defensive rebound by Team,,91-96,,
9:05.0,,,91-96,,Personal foul by T. Black (drawn by G. Dieng)
8:55.0,A. Wiggins makes 2-pt shot from 1 ft,2,93-96,,
8:38.0,,,93-96,,L. Williams misses 2-pt shot from 20 ft
8:36.0,Defensive rebound by G. Dieng,,93-96,,
8:31.0,Turnover by G. Dieng (bad pass; steal by L. Williams),,93-96,,
8:11.0,,,93-99,3,D. Russell makes 3-pt shot from 24 ft (assist by L. Williams)
7:46.0,A. Wiggins makes 2-pt shot from 11 ft (assist by Z. LaVine),2,95-99,,
7:27.0,,,95-101,2,L. Williams makes 2-pt shot from 1 ft (assist by B. Bass)
7:27.0,Minnesota full timeout,,95-101,,
7:27.0,K. Towns enters the game for D. Rudez,,95-101,,
7:11.0,A. Wiggins makes 2-pt shot from 20 ft,2,97-101,,
6:49.0,,,97-101,,L. Williams misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by K. Towns,,97-101,,
6:30.0,S. Muhammad misses 3-pt shot from 25 ft,,97-101,,
6:29.0,,,97-101,,Defensive rebound by T. Black
6:27.0,,,97-101,,Turnover by T. Black (lost ball; steal by G. Dieng)
6:20.0,S. Muhammad misses 2-pt shot from 12 ft,,97-101,,
6:18.0,,,97-101,,Defensive rebound by T. Black
6:04.0,,,97-101,,N. Young misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by Team,,97-101,,
6:04.0,,,97-101,,Personal foul by T. Black (drawn by K. Towns)
6:04.0,,,97-101,,K. Bryant enters the game for N. Young
6:04.0,R. Rubio enters the game for S. Muhammad,,97-101,,
5:45.0,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng),3,100-101,,
5:22.0,,,100-101,,K. Bryant misses 2-pt shot from 20 ft
5:20.0,Defensive rebound by K. Towns,,100-101,,
5:15.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,102-101,,
5:15.0,,,102-101,,LA Lakers full timeout
5:15.0,,,102-101,,J. Randle enters the game for T. Black
5:02.0,,,102-104,3,K. Bryant makes 3-pt shot from 24 ft
4:38.0,G. Dieng misses 2-pt shot from 13 ft,,102-104,,
4:37.0,,,102-104,,Defensive rebound by J. Randle
4:19.0,,,102-107,3,K. Bryant makes 3-pt shot from 25 ft (assist by D. Russell)
4:00.0,Turnover by Z. LaVine (lost ball; steal by B. Bass),,102-107,,
3:37.0,,,102-107,,K. Bryant misses 2-pt shot from 20 ft
3:37.0,,,102-107,,Offensive rebound by J. Randle
3:37.0,,,102-107,,Turnover by Team (shot clock)
3:37.0,,,102-107,,J. Clarkson enters the game for D. Russell
3:26.0,Z. LaVine misses 2-pt shot from 6 ft,,102-107,,
3:24.0,,,102-107,,Defensive rebound by J. Randle
3:10.0,,,102-107,,K. Bryant misses 2-pt shot from 3 ft
3:10.0,Defensive rebound by Team,,102-107,,
2:56.0,K. Towns misses 3-pt shot from 23 ft,,102-107,,
2:56.0,Offensive rebound by K. Towns,,102-107,,
2:56.0,Shooting foul by L. Williams (drawn by G. Dieng),,102-107,,
2:56.0,Official timeout,,102-107,,
2:56.0,G. Dieng makes free throw 1 of 2,1,103-107,,
2:56.0,G. Dieng makes free throw 2 of 2,1,104-107,,
2:43.0,,,104-109,2,J. Clarkson makes 2-pt shot from 8 ft (assist by B. Bass)
2:25.0,A. Wiggins makes 2-pt shot from 9 ft,2,106-109,,
2:12.0,Personal foul by A. Wiggins (drawn by K. Bryant),,106-109,,
2:01.0,,,106-109,,Offensive charge foul by B. Bass
