time,Cleveland,pts.away,score,pts.home,Portland
1:19.0,,,12-32,,G. Henderson enters the game for M. Plumlee
1:06.0,M. Williams misses 2-pt shot from 18 ft,,12-32,,
1:06.0,,,12-32,,Defensive rebound by C. McCollum
1:00.0,,,12-32,,C. McCollum misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by A. Varejao,,12-32,,
0:51.0,I. Shumpert misses 2-pt shot from 17 ft,,12-32,,
0:49.0,,,12-32,,Defensive rebound by G. Henderson
0:32.0,,,12-32,,C. McCollum misses 2-pt shot from 8 ft
0:32.0,Defensive rebound by T. Thompson,,12-32,,
0:26.0,M. Williams misses 2-pt shot from 19 ft,,12-32,,
0:25.0,,,12-32,,Defensive rebound by G. Henderson
0:00.0,,,12-34,2,A. Crabbe makes 2-pt shot from 10 ft (assist by M. Leonard)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by R. Jefferson (bad pass),,12-34,,
11:31.0,,,12-36,2,A. Crabbe makes 2-pt shot from 13 ft (assist by T. Frazier)
11:09.0,I. Shumpert misses 3-pt shot from 23 ft,,12-36,,
11:09.0,Offensive rebound by T. Thompson,,12-36,,
11:01.0,M. Williams misses 2-pt shot from 14 ft,,12-36,,
11:00.0,,,12-36,,Defensive rebound by E. Davis
10:50.0,,,12-36,,A. Crabbe misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by I. Shumpert,,12-36,,
10:41.0,I. Shumpert makes 2-pt shot from 16 ft,2,14-36,,
10:18.0,,,14-38,2,E. Davis makes 2-pt shot from 4 ft (assist by T. Frazier)
9:51.0,I. Shumpert misses 3-pt shot from 23 ft,,14-38,,
9:51.0,,,14-38,,Defensive rebound by M. Leonard
9:40.0,,,14-38,,G. Henderson misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by T. Thompson,,14-38,,
9:34.0,Shooting foul by A. Crabbe (drawn by R. Jefferson),,14-38,,
9:34.0,R. Jefferson makes free throw 1 of 2,1,15-38,,
9:34.0,L. James enters the game for A. Varejao,,15-38,,
9:34.0,,,15-38,,M. Harkless enters the game for A. Crabbe
9:34.0,R. Jefferson makes free throw 2 of 2,1,16-38,,
9:15.0,,,16-40,2,M. Leonard makes 2-pt shot from 16 ft (assist by G. Henderson)
8:49.0,R. Jefferson misses 3-pt shot from 22 ft,,16-40,,
8:48.0,,,16-40,,Defensive rebound by E. Davis
8:44.0,Violation by M. Williams (kicked ball),,16-40,,
8:44.0,Official timeout,,16-40,,
8:44.0,M. Dellavedova enters the game for M. Williams,,16-40,,
8:27.0,,,16-40,,G. Henderson misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by T. Thompson,,16-40,,
8:20.0,M. Dellavedova makes 3-pt shot from 22 ft (assist by L. James),3,19-40,,
8:04.0,Personal foul by R. Jefferson (drawn by G. Henderson),,19-40,,
7:55.0,,,19-40,,T. Frazier misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by I. Shumpert,,19-40,,
7:49.0,Turnover by I. Shumpert (traveling),,19-40,,
7:31.0,,,19-40,,M. Harkless misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by T. Thompson,,19-40,,
7:22.0,L. James makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,21-40,,
7:03.0,,,21-40,,G. Henderson misses 2-pt shot from 18 ft
7:02.0,Defensive rebound by R. Jefferson,,21-40,,
6:46.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James),3,24-40,,
6:45.0,,,24-40,,Portland full timeout
6:45.0,,,24-40,,C. McCollum enters the game for T. Frazier
6:36.0,,,24-43,3,M. Leonard makes 3-pt shot from 24 ft (assist by C. McCollum)
6:16.0,L. James misses 2-pt shot from 19 ft,,24-43,,
6:16.0,,,24-43,,Defensive rebound by Team
6:16.0,Loose ball foul by T. Thompson (drawn by E. Davis),,24-43,,
5:58.0,,,24-45,2,M. Harkless makes 2-pt shot from 2 ft
5:49.0,Turnover by L. James (lost ball),,24-45,,
5:35.0,,,24-47,2,G. Henderson makes 2-pt shot at rim (assist by E. Davis)
5:21.0,M. Dellavedova misses 2-pt shot from 7 ft,,24-47,,
5:21.0,,,24-47,,Defensive rebound by Team
5:21.0,Loose ball foul by L. James (drawn by M. Leonard),,24-47,,
5:21.0,J. Smith enters the game for R. Jefferson,,24-47,,
5:05.0,,,24-49,2,E. Davis makes 2-pt shot at rim (assist by M. Leonard)
4:50.0,L. James misses 2-pt shot from 2 ft,,24-49,,
4:49.0,Offensive rebound by T. Thompson,,24-49,,
4:49.0,T. Thompson misses 2-pt shot at rim,,24-49,,
4:48.0,,,24-49,,Defensive rebound by C. McCollum
4:42.0,,,24-49,,M. Leonard misses 2-pt shot from 1 ft
4:40.0,,,24-49,,Offensive rebound by E. Davis
4:40.0,,,24-51,2,E. Davis makes 2-pt shot from 1 ft
4:35.0,Cleveland full timeout,,24-51,,
4:35.0,K. Love enters the game for I. Shumpert,,24-51,,
4:20.0,K. Love makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,27-51,,
4:00.0,Personal foul by M. Dellavedova (drawn by M. Leonard),,27-51,,
3:52.0,,,27-51,,M. Leonard misses 2-pt shot from 16 ft
3:52.0,,,27-51,,Offensive rebound by Team
3:52.0,Loose ball foul by J. Smith (drawn by G. Henderson),,27-51,,
3:52.0,,,27-51,,G. Henderson misses free throw 1 of 2
3:52.0,,,27-51,,Offensive rebound by Team
3:52.0,,,27-52,1,G. Henderson makes free throw 2 of 2
3:30.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,30-52,,
3:10.0,,,30-55,3,M. Leonard makes 3-pt shot from 24 ft (assist by E. Davis)
2:59.0,,,30-55,,Personal foul by M. Leonard (drawn by K. Love)
2:59.0,,,30-55,,A. Crabbe enters the game for E. Davis
2:59.0,,,30-55,,M. Plumlee enters the game for G. Henderson
2:59.0,,,30-55,,A. Aminu enters the game for M. Harkless
2:43.0,M. Dellavedova misses 3-pt shot from 24 ft,,30-55,,
2:43.0,,,30-55,,Defensive rebound by M. Plumlee
2:20.0,,,30-58,3,A. Crabbe makes 3-pt shot from 22 ft (assist by M. Leonard)
2:08.0,,,30-58,,Personal foul by A. Aminu (drawn by L. James)
2:08.0,T. Mozgov enters the game for T. Thompson,,30-58,,
2:00.0,Shooting foul by M. Leonard (drawn by L. James),,30-58,,
2:00.0,,,30-58,,Technical foul by M. Leonard (drawn by L. James)
2:00.0,L. James makes technical free throw,1,31-58,,
2:00.0,L. James makes free throw 1 of 2,1,32-58,,
2:00.0,L. James misses free throw 2 of 2,,32-58,,
1:59.0,,,32-58,,Defensive rebound by M. Leonard
1:44.0,,,32-58,,C. McCollum misses 2-pt shot from 5 ft
1:43.0,Defensive rebound by K. Love,,32-58,,
1:33.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,34-58,,
1:12.0,,,34-58,,M. Leonard misses 3-pt shot from 22 ft
1:11.0,Defensive rebound by L. James,,34-58,,
1:00.0,T. Mozgov misses 2-pt shot from 4 ft (block by M. Plumlee),,34-58,,
0:59.0,,,34-58,,Defensive rebound by M. Plumlee
0:56.0,,,34-60,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
0:39.0,T. Mozgov misses 2-pt shot from 5 ft,,34-60,,
0:38.0,,,34-60,,Defensive rebound by M. Leonard
0:28.0,,,34-63,3,A. Crabbe makes 3-pt shot from 24 ft (assist by A. Aminu)
0:02.0,L. James misses 2-pt shot from 1 ft,,34-63,,
0:02.0,,,34-63,,Defensive rebound by M. Plumlee
0:00.0,,,34-63,,A. Crabbe misses 3-pt shot from 24 ft
0:00.0,,,34-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Smith misses 2-pt shot from 14 ft,,34-63,,
11:45.0,,,34-63,,Defensive rebound by M. Plumlee
11:35.0,,,34-66,3,A. Aminu makes 3-pt shot from 24 ft (assist by C. McCollum)
11:17.0,K. Love makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,37-66,,
11:01.0,,,37-66,,C. McCollum misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by L. James,,37-66,,
10:53.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,40-66,,
10:29.0,,,40-68,2,N. Vonleh makes 2-pt shot from 18 ft (assist by A. Aminu)
10:10.0,J. Smith misses 3-pt shot from 24 ft,,40-68,,
10:09.0,,,40-68,,Defensive rebound by A. Aminu
9:45.0,,,40-68,,Turnover by M. Plumlee (lost ball; steal by J. Smith)
9:41.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,42-68,,
9:24.0,,,42-70,2,A. Crabbe makes 2-pt shot from 14 ft
9:09.0,L. James misses 3-pt shot from 24 ft,,42-70,,
9:08.0,,,42-70,,Defensive rebound by M. Plumlee
8:47.0,,,42-72,2,C. McCollum makes 2-pt shot from 3 ft (assist by M. Plumlee)
8:37.0,J. Smith misses 3-pt shot from 25 ft,,42-72,,
8:36.0,,,42-72,,Defensive rebound by N. Vonleh
8:23.0,,,42-72,,A. Aminu misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by M. Dellavedova,,42-72,,
8:18.0,Shooting foul by N. Vonleh (drawn by L. James),,42-72,,
8:18.0,L. James makes free throw 1 of 2,1,43-72,,
8:18.0,L. James makes free throw 2 of 2,1,44-72,,
8:07.0,,,44-72,,Turnover by C. McCollum (step out of bounds)
7:54.0,K. Love misses 3-pt shot from 24 ft,,44-72,,
7:53.0,,,44-72,,Defensive rebound by A. Crabbe
7:39.0,,,44-72,,M. Plumlee misses 2-pt shot from 5 ft
7:39.0,Defensive rebound by T. Mozgov,,44-72,,
7:39.0,,,44-72,,Personal foul by M. Plumlee (drawn by T. Mozgov)
7:22.0,L. James makes 2-pt shot at rim,2,46-72,,
6:58.0,,,46-74,2,A. Aminu makes 2-pt shot from 16 ft (assist by C. McCollum)
6:32.0,K. Love misses 2-pt shot from 7 ft,,46-74,,
6:32.0,Offensive rebound by T. Mozgov,,46-74,,
6:32.0,,,46-74,,Personal foul by A. Crabbe (drawn by T. Mozgov)
6:21.0,J. Smith misses 3-pt shot from 23 ft,,46-74,,
6:19.0,,,46-74,,Defensive rebound by C. McCollum
6:06.0,,,46-76,2,M. Plumlee makes 2-pt shot from 1 ft (assist by A. Aminu)
6:06.0,,,46-76,,Shooting foul by T. Mozgov (drawn by M. Plumlee)
6:06.0,T. Thompson enters the game for T. Mozgov,,46-76,,
6:06.0,J. Jones enters the game for K. Love,,46-76,,
6:06.0,,,46-77,1,M. Plumlee makes free throw 1 of 1
5:46.0,Turnover by L. James (bad pass; steal by N. Vonleh),,46-77,,
5:46.0,Personal foul by M. Dellavedova (drawn by C. McCollum),,46-77,,
5:46.0,,,46-77,,Portland full timeout
5:46.0,I. Shumpert enters the game for J. Smith,,46-77,,
5:27.0,,,46-77,,Shooting foul by T. Thompson (drawn by C. McCollum)
5:27.0,,,46-78,1,C. McCollum makes free throw 1 of 2
5:27.0,,,46-78,,C. McCollum misses free throw 2 of 2
5:25.0,Defensive rebound by J. Jones,,46-78,,
5:03.0,I. Shumpert misses 2-pt shot from 7 ft,,46-78,,
5:02.0,,,46-78,,Defensive rebound by A. Crabbe
4:49.0,,,46-78,,A. Aminu misses 3-pt shot from 24 ft
4:49.0,Defensive rebound by T. Thompson,,46-78,,
4:45.0,Turnover by I. Shumpert (lost ball),,46-78,,
4:28.0,Personal foul by I. Shumpert (drawn by M. Plumlee),,46-78,,
4:25.0,,,46-78,,Shooting foul by J. Jones (drawn by A. Crabbe)
4:25.0,,,46-79,1,A. Crabbe makes free throw 1 of 2
4:25.0,R. Jefferson enters the game for L. James,,46-79,,
4:25.0,,,46-80,1,A. Crabbe makes free throw 2 of 2
4:11.0,M. Dellavedova makes 2-pt shot from 11 ft,2,48-80,,
3:56.0,,,48-80,,A. Aminu misses 2-pt shot from 4 ft
3:56.0,Defensive rebound by T. Thompson,,48-80,,
3:50.0,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,51-80,,
3:33.0,,,51-80,,C. McCollum misses 2-pt shot from 17 ft
3:33.0,,,51-80,,Offensive rebound by Team
3:33.0,Personal foul by J. Jones (drawn by M. Plumlee),,51-80,,
3:33.0,,,51-80,,M. Leonard enters the game for N. Vonleh
3:33.0,,,51-80,,G. Henderson enters the game for A. Aminu
3:33.0,,,51-80,,M. Plumlee misses free throw 1 of 2
3:33.0,,,51-80,,Offensive rebound by Team
3:33.0,,,51-81,1,M. Plumlee makes free throw 2 of 2
3:16.0,R. Jefferson makes 3-pt shot from 22 ft (assist by M. Dellavedova),3,54-81,,
2:53.0,,,54-81,,A. Crabbe misses 2-pt shot from 16 ft
2:52.0,Defensive rebound by T. Thompson,,54-81,,
2:42.0,M. Dellavedova misses 3-pt shot from 25 ft,,54-81,,
2:40.0,,,54-81,,Defensive rebound by A. Crabbe
2:39.0,,,54-81,,Portland full timeout
2:39.0,M. Williams enters the game for M. Dellavedova,,54-81,,
2:20.0,,,54-83,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
2:20.0,Technical foul by I. Shumpert,,54-83,,
2:20.0,,,54-83,,C. McCollum misses technical free throw
2:20.0,Offensive rebound by Team,,54-83,,
2:09.0,J. Jones misses 3-pt shot from 24 ft,,54-83,,
2:09.0,,,54-83,,Defensive rebound by G. Henderson
1:48.0,,,54-85,2,M. Leonard makes 2-pt shot from 7 ft (assist by A. Crabbe)
1:35.0,R. Jefferson makes 3-pt shot from 24 ft (assist by T. Thompson),3,57-85,,
1:35.0,Technical foul by J. Jones,,57-85,,
1:35.0,,,57-86,1,A. Crabbe makes technical free throw
1:12.0,,,57-86,,G. Henderson misses 2-pt shot from 19 ft
1:11.0,Defensive rebound by J. Jones,,57-86,,
1:04.0,M. Williams misses 2-pt shot from 2 ft (block by G. Henderson),,57-86,,
1:03.0,,,57-86,,Defensive rebound by M. Plumlee
0:50.0,,,57-86,,Shooting foul by M. Williams (drawn by G. Henderson)
0:50.0,,,57-87,1,G. Henderson makes free throw 1 of 2
0:50.0,,,57-87,,E. Davis enters the game for M. Plumlee
0:50.0,,,57-87,,T. Frazier enters the game for C. McCollum
0:50.0,,,57-88,1,G. Henderson makes free throw 2 of 2
0:34.0,Turnover by M. Williams (traveling),,57-88,,
0:15.0,,,57-90,2,T. Frazier makes 2-pt shot at rim (assist by M. Leonard)
0:01.0,M. Williams misses 2-pt shot from 18 ft,,57-90,,
0:00.0,Offensive rebound by T. Thompson,,57-90,,
0:00.0,T. Thompson makes 2-pt shot from 1 ft,2,59-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,59-90,,T. Frazier misses 2-pt shot from 10 ft
11:34.0,,,59-90,,Offensive rebound by E. Davis
11:34.0,,,59-92,2,E. Davis makes 2-pt shot at rim
11:07.0,J. Jones makes 2-pt shot from 1 ft (assist by I. Shumpert),2,61-92,,
11:07.0,Shooting foul by E. Davis (drawn by J. Jones),,61-92,,
11:07.0,J. Jones misses free throw 1 of 1,,61-92,,
11:05.0,Offensive rebound by Team,,61-92,,
11:00.0,J. Jones makes 2-pt shot from 13 ft (assist by J. Cunningham),2,63-92,,
10:34.0,,,63-92,,A. Crabbe misses 2-pt shot from 21 ft
10:33.0,Defensive rebound by I. Shumpert,,63-92,,
10:24.0,J. Cunningham misses 2-pt shot from 16 ft,,63-92,,
10:23.0,,,63-92,,Defensive rebound by M. Leonard
10:17.0,,,63-92,,Turnover by T. Frazier (lost ball)
10:17.0,,,63-92,,C. McCollum enters the game for A. Crabbe
10:00.0,I. Shumpert misses 2-pt shot from 19 ft,,63-92,,
10:00.0,,,63-92,,Defensive rebound by Team
10:00.0,Loose ball foul by A. Varejao (drawn by T. Frazier),,63-92,,
10:00.0,,,63-92,,M. Plumlee enters the game for E. Davis
9:46.0,,,63-92,,Shooting foul by R. Jefferson (drawn by M. Leonard)
9:46.0,,,63-93,1,M. Leonard makes free throw 1 of 2
9:46.0,,,63-93,,M. Leonard misses free throw 2 of 2
9:45.0,Defensive rebound by A. Varejao,,63-93,,
9:33.0,Turnover by A. Varejao (traveling),,63-93,,
9:08.0,,,63-93,,T. Frazier misses 2-pt shot from 1 ft
9:07.0,,,63-93,,Offensive rebound by M. Leonard
9:07.0,,,63-95,2,M. Leonard makes 2-pt shot at rim
8:49.0,J. Jones makes 3-pt shot from 24 ft (assist by I. Shumpert),3,66-95,,
8:30.0,,,66-95,,G. Henderson misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by I. Shumpert,,66-95,,
8:23.0,J. Jones misses 3-pt shot from 24 ft,,66-95,,
8:22.0,,,66-95,,Defensive rebound by M. Plumlee
8:03.0,Personal foul by R. Jefferson (drawn by G. Henderson),,66-95,,
8:03.0,Official timeout,,66-95,,
7:50.0,,,66-97,2,C. McCollum makes 2-pt shot from 20 ft
7:27.0,A. Varejao makes 2-pt shot from 1 ft (assist by J. Cunningham),2,68-97,,
7:06.0,,,68-97,,C. McCollum misses 3-pt shot from 25 ft
7:06.0,,,68-97,,Offensive rebound by M. Plumlee
7:02.0,,,68-97,,Turnover by M. Plumlee (bad pass; steal by I. Shumpert)
6:43.0,J. Jones misses 3-pt shot from 24 ft,,68-97,,
6:42.0,,,68-97,,Defensive rebound by M. Plumlee
6:27.0,,,68-97,,M. Leonard misses 3-pt shot from 24 ft
6:27.0,,,68-97,,Offensive rebound by Team
6:27.0,Loose ball foul by A. Varejao (drawn by M. Plumlee),,68-97,,
6:27.0,,,68-97,,N. Vonleh enters the game for M. Plumlee
6:11.0,,,68-97,,G. Henderson misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by A. Varejao,,68-97,,
5:58.0,Shooting foul by N. Vonleh (drawn by J. Cunningham),,68-97,,
5:58.0,,,68-97,,Portland full timeout
5:58.0,S. Kaun enters the game for A. Varejao,,68-97,,
5:58.0,,,68-97,,P. Connaughton enters the game for C. McCollum
5:58.0,,,68-97,,C. Kaman enters the game for G. Henderson
5:58.0,,,68-97,,M. Harkless enters the game for M. Leonard
5:58.0,J. Cunningham makes free throw 1 of 2,1,69-97,,
5:58.0,J. Cunningham misses free throw 2 of 2,,69-97,,
5:57.0,,,69-97,,Defensive rebound by P. Connaughton
5:43.0,,,69-97,,M. Harkless misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by R. Jefferson,,69-97,,
5:22.0,J. Jones misses 2-pt shot from 11 ft,,69-97,,
5:21.0,,,69-97,,Defensive rebound by M. Harkless
5:05.0,,,69-99,2,C. Kaman makes 2-pt shot from 18 ft (assist by T. Frazier)
4:51.0,I. Shumpert misses 3-pt shot from 24 ft,,69-99,,
4:50.0,,,69-99,,Defensive rebound by T. Frazier
4:38.0,,,69-101,2,C. Kaman makes 2-pt shot from 18 ft (assist by T. Frazier)
4:21.0,Turnover by S. Kaun (lost ball; steal by N. Vonleh),,69-101,,
4:09.0,,,69-101,,L. Montero enters the game for N. Vonleh
4:01.0,,,69-101,,Turnover by T. Frazier (bad pass)
3:50.0,R. Jefferson misses 2-pt shot from 14 ft,,69-101,,
3:47.0,,,69-101,,Defensive rebound by T. Frazier
3:42.0,,,69-101,,L. Montero misses 2-pt shot from 8 ft
3:41.0,,,69-101,,Offensive rebound by M. Harkless
3:41.0,,,69-101,,M. Harkless misses 2-pt shot at rim
3:40.0,Defensive rebound by S. Kaun,,69-101,,
3:24.0,Turnover by I. Shumpert (bad pass; steal by T. Frazier),,69-101,,
3:16.0,,,69-103,2,L. Montero makes 2-pt shot from 21 ft
2:58.0,J. Jones misses 2-pt shot from 14 ft (block by M. Harkless),,69-103,,
2:57.0,Offensive rebound by S. Kaun,,69-103,,
2:56.0,Turnover by S. Kaun (bad pass),,69-103,,
2:56.0,Cleveland full timeout,,69-103,,
2:56.0,A. Varejao enters the game for I. Shumpert,,69-103,,
2:41.0,,,69-103,,C. Kaman misses 2-pt shot from 3 ft
2:40.0,,,69-103,,Offensive rebound by C. Kaman
2:38.0,,,69-103,,C. Kaman misses 2-pt shot from 1 ft
2:38.0,Defensive rebound by Team,,69-103,,
2:25.0,R. Jefferson makes 2-pt shot from 19 ft (assist by S. Kaun),2,71-103,,
2:07.0,,,71-103,,P. Connaughton misses 2-pt shot from 1 ft
2:06.0,Defensive rebound by A. Varejao,,71-103,,
2:01.0,R. Jefferson misses 3-pt shot from 22 ft,,71-103,,
2:00.0,,,71-103,,Defensive rebound by P. Connaughton
1:43.0,,,71-103,,Turnover by C. Kaman (lost ball; steal by R. Jefferson)
1:39.0,J. Cunningham makes 2-pt shot from 2 ft (assist by A. Varejao),2,73-103,,
1:26.0,,,73-103,,Turnover by T. Frazier (bad pass)
1:26.0,Cleveland full timeout,,73-103,,
1:18.0,Shooting foul by C. Kaman (drawn by J. Cunningham),,73-103,,
