time,Houston,pts.away,score,pts.home,Miami
2:15.0,Defensive rebound by J. Harden,,30-22,,
2:10.0,Turnover by J. Harden (bad pass; steal by M. Chalmers),,30-22,,
2:06.0,,,30-22,,J. Winslow misses 2-pt shot from 2 ft
2:05.0,,,30-22,,Offensive rebound by L. Deng
2:04.0,,,30-22,,L. Deng misses 2-pt shot from 1 ft
2:00.0,,,30-22,,Offensive rebound by M. Chalmers
1:59.0,,,30-24,2,M. Chalmers makes 2-pt shot from 1 ft
1:51.0,J. Harden misses 3-pt shot from 24 ft,,30-24,,
1:50.0,,,30-24,,Defensive rebound by C. Bosh
1:38.0,,,30-24,,G. Green misses 3-pt shot from 24 ft
1:37.0,,,30-24,,Offensive rebound by J. Winslow
1:27.0,,,30-24,,C. Bosh misses 2-pt shot from 18 ft
1:26.0,,,30-24,,Offensive rebound by L. Deng
1:23.0,,,30-26,2,L. Deng makes 2-pt shot from 3 ft
1:14.0,T. Lawson misses 2-pt shot from 20 ft,,30-26,,
1:13.0,,,30-26,,Defensive rebound by L. Deng
1:07.0,,,30-28,2,G. Green makes 2-pt shot from 1 ft
0:50.0,,,30-28,,Personal foul by J. Winslow (drawn by J. Harden)
0:50.0,J. Harden makes free throw 1 of 3,1,31-28,,
0:50.0,J. Harden makes free throw 2 of 3,1,32-28,,
0:50.0,,,32-28,,J. McRoberts enters the game for L. Deng
0:50.0,J. Harden makes free throw 3 of 3,1,33-28,,
0:48.0,,,33-28,,Turnover by M. Chalmers (bad pass; steal by T. Lawson)
0:45.0,Shooting foul by M. Chalmers (drawn by T. Lawson),,33-28,,
0:45.0,T. Lawson makes free throw 1 of 2,1,34-28,,
0:45.0,T. Ariza enters the game for J. Harden,,34-28,,
0:45.0,T. Lawson makes free throw 2 of 2,1,35-28,,
0:31.0,,,35-30,2,J. Winslow makes 2-pt shot from 2 ft
0:23.0,Turnover by P. Beverley (bad pass),,35-30,,
0:03.0,,,35-30,,J. Winslow misses 2-pt shot from 19 ft
0:02.0,Defensive rebound by T. Ariza,,35-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. Brewer misses 2-pt shot from 1 ft (block by C. Bosh),,35-30,,
11:42.0,Offensive rebound by M. Harrell,,35-30,,
11:41.0,M. Harrell makes 2-pt shot at rim,2,37-30,,
11:24.0,,,37-30,,C. Bosh misses 2-pt shot from 11 ft
11:23.0,Defensive rebound by P. Beverley,,37-30,,
11:15.0,P. Beverley makes 2-pt shot from 18 ft,2,39-30,,
10:51.0,,,39-30,,G. Green misses 2-pt shot from 18 ft
10:50.0,Defensive rebound by T. Lawson,,39-30,,
10:35.0,T. Lawson misses 2-pt shot from 5 ft,,39-30,,
10:34.0,,,39-30,,Defensive rebound by C. Bosh
10:26.0,,,39-30,,Turnover by J. Winslow (bad pass; steal by T. Ariza)
10:16.0,C. Brewer misses 3-pt shot from 23 ft,,39-30,,
10:15.0,,,39-30,,Defensive rebound by C. Bosh
10:00.0,C. Hayes enters the game for M. Harrell,,39-30,,
10:00.0,,,39-30,,G. Dragic enters the game for M. Chalmers
9:53.0,,,39-30,,Turnover by J. McRoberts (bad pass; steal by C. Brewer)
9:39.0,C. Brewer misses 3-pt shot from 24 ft,,39-30,,
9:38.0,,,39-30,,Defensive rebound by J. McRoberts
9:29.0,,,39-30,,G. Dragic misses 2-pt shot from 3 ft
9:28.0,Defensive rebound by T. Lawson,,39-30,,
9:17.0,P. Beverley makes 3-pt shot from 24 ft (assist by C. Brewer),3,42-30,,
9:17.0,,,42-30,,Miami full timeout
9:17.0,J. Terry enters the game for T. Ariza,,42-30,,
9:17.0,J. Harden enters the game for T. Lawson,,42-30,,
9:00.0,,,42-30,,Turnover by J. McRoberts (bad pass; steal by C. Brewer)
8:43.0,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden),3,45-30,,
8:36.0,Personal foul by J. Harden (drawn by J. McRoberts),,45-30,,
8:36.0,,,45-30,,D. Wade enters the game for J. Winslow
8:23.0,,,45-30,,Offensive charge foul by G. Dragic
8:23.0,,,45-30,,Turnover by G. Dragic (offensive foul)
8:00.0,J. Harden misses 3-pt shot from 24 ft,,45-30,,
7:59.0,,,45-30,,Defensive rebound by J. McRoberts
7:51.0,,,45-30,,C. Bosh misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by P. Beverley,,45-30,,
7:44.0,J. Terry misses 3-pt shot from 24 ft,,45-30,,
7:43.0,,,45-30,,Defensive rebound by C. Bosh
7:39.0,Personal foul by C. Brewer (drawn by G. Dragic),,45-30,,
7:39.0,T. Ariza enters the game for C. Brewer,,45-30,,
7:39.0,M. Thornton enters the game for P. Beverley,,45-30,,
7:39.0,,,45-30,,H. Whiteside enters the game for J. McRoberts
7:30.0,,,45-32,2,D. Wade makes 2-pt shot from 12 ft
7:15.0,,,45-32,,Personal foul by G. Green (drawn by J. Harden)
7:15.0,,,45-32,,L. Deng enters the game for C. Bosh
7:03.0,M. Thornton makes 2-pt shot from 19 ft,2,47-32,,
6:50.0,,,47-32,,Turnover by H. Whiteside (traveling)
6:42.0,J. Harden misses 3-pt shot from 24 ft,,47-32,,
6:41.0,,,47-32,,Defensive rebound by H. Whiteside
6:28.0,,,47-32,,G. Green misses 3-pt shot from 23 ft
6:27.0,Defensive rebound by T. Ariza,,47-32,,
6:15.0,Shooting foul by L. Deng (drawn by J. Harden),,47-32,,
6:15.0,J. Harden makes free throw 1 of 2,1,48-32,,
6:15.0,J. Harden makes free throw 2 of 2,1,49-32,,
5:59.0,,,49-34,2,G. Dragic makes 2-pt shot from 15 ft (assist by H. Whiteside)
5:40.0,M. Thornton misses 2-pt shot from 2 ft,,49-34,,
5:39.0,,,49-34,,Defensive rebound by H. Whiteside
5:25.0,,,49-34,,Shooting foul by C. Hayes (drawn by H. Whiteside)
5:25.0,,,49-36,2,H. Whiteside makes 2-pt shot from 2 ft (assist by D. Wade)
5:25.0,Official timeout,,49-36,,
5:25.0,,,49-36,,T. Johnson enters the game for G. Green
5:25.0,,,49-36,,H. Whiteside misses free throw 1 of 1
5:24.0,Defensive rebound by C. Hayes,,49-36,,
5:01.0,J. Terry misses 3-pt shot from 25 ft,,49-36,,
4:59.0,,,49-36,,Defensive rebound by G. Dragic
4:45.0,,,49-36,,H. Whiteside misses 2-pt shot from 10 ft
4:43.0,Defensive rebound by J. Harden,,49-36,,
4:37.0,M. Thornton makes 3-pt shot from 22 ft (assist by J. Harden),3,52-36,,
4:15.0,,,52-36,,L. Deng misses 3-pt shot from 24 ft
4:15.0,,,52-36,,Offensive rebound by Team
4:15.0,Personal foul by C. Hayes (drawn by H. Whiteside),,52-36,,
4:15.0,C. Capela enters the game for C. Hayes,,52-36,,
4:15.0,T. Lawson enters the game for J. Terry,,52-36,,
3:56.0,,,52-38,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
3:33.0,M. Thornton makes 3-pt shot from 25 ft (assist by J. Harden),3,55-38,,
3:16.0,,,55-38,,G. Dragic misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by T. Lawson,,55-38,,
3:11.0,Turnover by T. Ariza (bad pass),,55-38,,
2:48.0,,,55-38,,L. Deng misses 2-pt shot from 1 ft
2:47.0,,,55-38,,Offensive rebound by Team
2:47.0,,,55-38,,Turnover by Team (shot clock)
2:47.0,Houston full timeout,,55-38,,
2:31.0,T. Ariza misses 2-pt shot from 16 ft,,55-38,,
2:30.0,,,55-38,,Defensive rebound by G. Dragic
2:21.0,,,55-38,,T. Johnson misses 3-pt shot from 23 ft
2:20.0,Defensive rebound by C. Capela,,55-38,,
2:15.0,Turnover by J. Harden (bad pass; steal by H. Whiteside),,55-38,,
2:12.0,Violation by T. Ariza (def goaltending),,55-38,,
2:12.0,,,55-40,2,G. Dragic makes 2-pt shot from 2 ft
1:48.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,58-40,,
1:28.0,,,58-40,,D. Wade misses 3-pt shot from 25 ft
1:27.0,,,58-40,,Offensive rebound by T. Johnson
1:26.0,,,58-42,2,T. Johnson makes 2-pt shot from 2 ft
1:08.0,,,58-42,,Personal foul by G. Dragic (drawn by J. Harden)
1:08.0,J. Harden makes free throw 1 of 3,1,59-42,,
1:08.0,J. Harden misses free throw 2 of 3,,59-42,,
1:08.0,Offensive rebound by Team,,59-42,,
1:08.0,,,59-42,,J. Winslow enters the game for G. Dragic
1:08.0,J. Harden makes free throw 3 of 3,1,60-42,,
0:58.0,,,60-42,,H. Whiteside misses 2-pt shot from 1 ft (block by C. Capela)
0:57.0,Defensive rebound by C. Capela,,60-42,,
0:50.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Harden),3,63-42,,
0:35.0,,,63-42,,L. Deng misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by C. Capela,,63-42,,
0:26.0,J. Harden misses 3-pt shot from 25 ft,,63-42,,
0:25.0,,,63-42,,Defensive rebound by H. Whiteside
0:02.0,,,63-44,2,D. Wade makes 2-pt shot from 20 ft
0:00.0,M. Thornton misses 3-pt shot from 47 ft,,63-44,,
0:00.0,Offensive rebound by Team,,63-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,63-44,,Personal foul by C. Bosh (drawn by T. Ariza)
11:33.0,C. Capela makes 2-pt shot at rim (assist by M. Thornton),2,65-44,,
11:07.0,,,65-44,,Turnover by Team (shot clock)
10:43.0,T. Ariza misses 3-pt shot from 23 ft,,65-44,,
10:42.0,,,65-44,,Defensive rebound by H. Whiteside
10:25.0,,,65-44,,Shooting foul by M. Thornton (drawn by D. Wade)
10:25.0,,,65-45,1,D. Wade makes free throw 1 of 2
10:25.0,,,65-46,1,D. Wade makes free throw 2 of 2
10:07.0,Turnover by M. Thornton (step out of bounds),,65-46,,
9:55.0,,,65-46,,D. Wade misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by T. Ariza,,65-46,,
9:48.0,T. Lawson makes 2-pt shot from 2 ft,2,67-46,,
9:27.0,Personal foul by T. Ariza (drawn by C. Bosh),,67-46,,
9:12.0,,,67-48,2,D. Wade makes 2-pt shot from 18 ft
8:59.0,Turnover by J. Harden (bad pass; steal by D. Wade),,67-48,,
8:48.0,,,67-50,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
8:30.0,Turnover by T. Lawson (bad pass; steal by H. Whiteside),,67-50,,
8:14.0,,,67-50,,H. Whiteside misses 2-pt shot from 4 ft
8:13.0,,,67-50,,Offensive rebound by L. Deng
8:12.0,,,67-52,2,L. Deng makes 2-pt shot from 1 ft
8:12.0,Houston full timeout,,67-52,,
7:57.0,C. Capela makes 2-pt shot at rim (assist by M. Thornton),2,69-52,,
7:32.0,,,69-55,3,L. Deng makes 3-pt shot from 23 ft (assist by G. Dragic)
7:08.0,T. Ariza misses 2-pt shot from 2 ft,,69-55,,
7:07.0,,,69-55,,Defensive rebound by G. Dragic
7:06.0,Personal foul by T. Lawson (drawn by G. Dragic),,69-55,,
6:56.0,,,69-55,,D. Wade misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by J. Harden,,69-55,,
6:48.0,J. Harden misses 2-pt shot from 1 ft (block by H. Whiteside),,69-55,,
6:47.0,,,69-55,,Defensive rebound by D. Wade
6:40.0,,,69-57,2,D. Wade makes 2-pt shot from 5 ft
6:31.0,Shooting foul by G. Dragic (drawn by J. Harden),,69-57,,
6:31.0,J. Harden misses free throw 1 of 3,,69-57,,
6:31.0,Offensive rebound by Team,,69-57,,
6:31.0,J. Harden makes free throw 2 of 3,1,70-57,,
6:31.0,,,70-57,,J. Winslow enters the game for C. Bosh
6:31.0,M. Harrell enters the game for C. Capela,,70-57,,
6:31.0,P. Beverley enters the game for T. Lawson,,70-57,,
6:31.0,J. Harden makes free throw 3 of 3,1,71-57,,
6:17.0,,,71-60,3,D. Wade makes 3-pt shot from 23 ft (assist by G. Dragic)
5:58.0,Turnover by J. Harden (lost ball),,71-60,,
5:46.0,,,71-60,,D. Wade misses 2-pt shot from 18 ft
5:45.0,Defensive rebound by T. Ariza,,71-60,,
5:38.0,,,71-60,,Personal foul by D. Wade (drawn by J. Harden)
5:38.0,C. Brewer enters the game for T. Ariza,,71-60,,
5:25.0,Turnover by P. Beverley (bad pass; steal by G. Dragic),,71-60,,
5:20.0,,,71-62,2,L. Deng makes 2-pt shot from 2 ft (assist by G. Dragic)
4:59.0,M. Thornton misses 3-pt shot from 24 ft,,71-62,,
4:58.0,Offensive rebound by M. Harrell,,71-62,,
4:53.0,M. Thornton misses 2-pt shot from 15 ft,,71-62,,
4:52.0,,,71-62,,Defensive rebound by H. Whiteside
4:45.0,,,71-62,,G. Dragic misses 2-pt shot from 13 ft
4:44.0,,,71-62,,Offensive rebound by Team
4:41.0,Loose ball foul by C. Brewer (drawn by L. Deng),,71-62,,
4:41.0,Personal foul by P. Beverley (drawn by G. Dragic),,71-62,,
4:41.0,,,71-63,1,G. Dragic makes free throw 1 of 2
4:41.0,,,71-63,,G. Green enters the game for D. Wade
4:41.0,,,71-64,1,G. Dragic makes free throw 2 of 2
4:27.0,P. Beverley makes 2-pt shot at rim,2,73-64,,
4:10.0,,,73-64,,G. Green misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by J. Harden,,73-64,,
4:03.0,M. Thornton misses 3-pt shot from 23 ft,,73-64,,
4:02.0,,,73-64,,Defensive rebound by H. Whiteside
3:56.0,,,73-64,,G. Dragic misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by M. Thornton,,73-64,,
3:47.0,M. Thornton makes 2-pt shot from 1 ft,2,75-64,,
3:47.0,,,75-64,,Miami full timeout
3:47.0,T. Lawson enters the game for M. Thornton,,75-64,,
3:47.0,,,75-64,,M. Chalmers enters the game for L. Deng
3:47.0,,,75-64,,T. Johnson enters the game for G. Dragic
3:25.0,,,75-66,2,H. Whiteside makes 2-pt shot from 1 ft (assist by T. Johnson)
3:25.0,,,75-66,,Shooting foul by M. Harrell (drawn by H. Whiteside)
3:25.0,,,75-66,,H. Whiteside misses free throw 1 of 1
3:24.0,Defensive rebound by M. Harrell,,75-66,,
3:08.0,J. Harden misses 3-pt shot from 24 ft,,75-66,,
3:07.0,,,75-66,,Defensive rebound by H. Whiteside
2:57.0,,,75-69,3,J. Winslow makes 3-pt shot from 24 ft (assist by M. Chalmers)
2:48.0,Turnover by T. Lawson (bad pass; steal by T. Johnson),,75-69,,
2:45.0,,,75-69,,Shooting foul by C. Brewer (drawn by G. Green)
2:45.0,,,75-70,1,G. Green makes free throw 1 of 2
2:45.0,,,75-71,1,G. Green makes free throw 2 of 2
2:25.0,Turnover by P. Beverley (traveling),,75-71,,
2:13.0,,,75-71,,J. Winslow misses 2-pt shot from 19 ft
2:12.0,Defensive rebound by Team,,75-71,,
2:12.0,,,75-71,,Loose ball foul by H. Whiteside (drawn by M. Harrell)
2:12.0,Technical foul by M. Harrell,,75-71,,
2:12.0,,,75-72,1,M. Chalmers makes technical free throw
2:12.0,T. Ariza enters the game for J. Harden,,75-72,,
2:12.0,,,75-72,,C. Bosh enters the game for H. Whiteside
1:56.0,C. Brewer misses 2-pt shot from 8 ft (block by C. Bosh),,75-72,,
1:55.0,Offensive rebound by Team,,75-72,,
1:46.0,P. Beverley misses 3-pt shot from 25 ft,,75-72,,
1:45.0,,,75-72,,Defensive rebound by T. Johnson
1:39.0,,,75-72,,G. Green misses 3-pt shot from 23 ft
1:38.0,Defensive rebound by T. Lawson,,75-72,,
1:14.0,C. Brewer misses 3-pt shot from 24 ft,,75-72,,
1:13.0,,,75-72,,Defensive rebound by J. Winslow
0:54.0,,,75-75,3,G. Green makes 3-pt shot from 25 ft (assist by J. Winslow)
0:43.0,T. Ariza misses 3-pt shot from 25 ft,,75-75,,
0:41.0,,,75-75,,Defensive rebound by C. Bosh
0:23.0,,,75-75,,M. Chalmers misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by M. Harrell,,75-75,,
0:02.0,P. Beverley misses 3-pt shot from 25 ft,,75-75,,
0:01.0,,,75-75,,Defensive rebound by C. Bosh
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,75-75,,C. Bosh misses 2-pt shot from 16 ft
11:38.0,Defensive rebound by C. Brewer,,75-75,,
11:30.0,,,75-75,,Personal block foul by G. Green (drawn by C. Brewer)
11:14.0,P. Beverley misses 2-pt shot from 21 ft,,75-75,,
11:13.0,Offensive rebound by Team,,75-75,,
11:04.0,M. Harrell makes 2-pt shot at rim (assist by C. Brewer),2,77-75,,
10:41.0,,,77-75,,T. Johnson misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by M. Harrell,,77-75,,
10:28.0,C. Brewer makes 2-pt shot from 9 ft (assist by T. Lawson),2,79-75,,
10:18.0,Personal foul by P. Beverley (drawn by M. Chalmers),,79-75,,
10:06.0,,,79-78,3,C. Bosh makes 3-pt shot from 24 ft (assist by T. Johnson)
9:51.0,M. Harrell makes 2-pt shot from 5 ft (assist by C. Brewer),2,81-78,,
9:27.0,,,81-80,2,C. Bosh makes 2-pt shot from 2 ft
9:20.0,T. Ariza misses 2-pt shot from 1 ft (block by T. Johnson),,81-80,,
9:19.0,,,81-80,,Defensive rebound by C. Bosh
9:17.0,Personal foul by P. Beverley (drawn by M. Chalmers),,81-80,,
9:14.0,,,81-80,,Turnover by M. Chalmers (bad pass; steal by T. Ariza)
9:02.0,C. Brewer makes 2-pt shot from 6 ft (assist by T. Lawson),2,83-80,,
8:46.0,,,83-80,,M. Chalmers misses 2-pt shot from 2 ft
8:46.0,,,83-80,,Offensive rebound by T. Johnson
8:46.0,,,83-82,2,T. Johnson makes 2-pt shot at rim
8:46.0,,,83-82,,Shooting foul by T. Lawson (drawn by T. Johnson)
8:46.0,Official timeout,,83-82,,
8:46.0,J. Harden enters the game for M. Harrell,,83-82,,
8:46.0,C. Hayes enters the game for P. Beverley,,83-82,,
8:46.0,,,83-82,,T. Johnson misses free throw 1 of 1
8:45.0,Defensive rebound by T. Ariza,,83-82,,
8:27.0,C. Brewer misses 2-pt shot from 11 ft,,83-82,,
8:27.0,,,83-82,,Defensive rebound by Team
8:27.0,Loose ball foul by T. Ariza (drawn by M. Chalmers),,83-82,,
8:11.0,,,83-85,3,C. Bosh makes 3-pt shot from 25 ft (assist by T. Johnson)
7:54.0,Turnover by T. Lawson (bad pass; steal by M. Chalmers),,83-85,,
7:49.0,,,83-87,2,C. Bosh makes 2-pt shot at rim (assist by M. Chalmers)
7:49.0,Houston full timeout,,83-87,,
7:49.0,M. Thornton enters the game for C. Brewer,,83-87,,
7:49.0,,,83-87,,D. Wade enters the game for G. Green
7:34.0,J. Harden misses 3-pt shot from 24 ft,,83-87,,
7:33.0,,,83-87,,Defensive rebound by T. Johnson
7:16.0,,,83-87,,D. Wade misses 2-pt shot from 6 ft (block by J. Harden)
7:15.0,Defensive rebound by J. Harden,,83-87,,
7:00.0,Turnover by T. Ariza (bad pass),,83-87,,
6:47.0,,,83-87,,Turnover by D. Wade (bad pass; steal by J. Harden)
6:46.0,,,83-87,,Personal foul by J. Winslow (drawn by J. Harden)
6:46.0,,,83-87,,H. Whiteside enters the game for C. Bosh
6:35.0,M. Thornton misses 2-pt shot from 3 ft,,83-87,,
6:34.0,,,83-87,,Defensive rebound by H. Whiteside
6:18.0,,,83-89,2,J. Winslow makes 2-pt shot from 1 ft
6:02.0,J. Harden misses 2-pt shot from 17 ft,,83-89,,
6:01.0,,,83-89,,Defensive rebound by H. Whiteside
5:47.0,,,83-89,,D. Wade misses 2-pt shot from 7 ft
5:46.0,,,83-89,,Offensive rebound by J. Winslow
5:44.0,,,83-89,,J. Winslow misses 2-pt shot at rim
5:43.0,Defensive rebound by J. Harden,,83-89,,
5:30.0,J. Harden misses 3-pt shot from 25 ft,,83-89,,
5:29.0,,,83-89,,Defensive rebound by H. Whiteside
5:12.0,Personal foul by M. Thornton (drawn by M. Chalmers),,83-89,,
5:12.0,,,83-89,,M. Chalmers misses free throw 1 of 2
5:12.0,,,83-89,,Offensive rebound by Team
5:12.0,M. Harrell enters the game for C. Hayes,,83-89,,
5:12.0,,,83-90,1,M. Chalmers makes free throw 2 of 2
4:52.0,Turnover by M. Harrell (lost ball; steal by H. Whiteside),,83-90,,
4:48.0,Violation by M. Harrell (def goaltending),,83-90,,
4:48.0,,,83-92,2,T. Johnson makes 2-pt shot from 1 ft (assist by J. Winslow)
4:22.0,J. Harden misses 3-pt shot from 25 ft,,83-92,,
4:21.0,,,83-92,,Defensive rebound by T. Johnson
4:08.0,,,83-95,3,J. Winslow makes 3-pt shot from 23 ft (assist by D. Wade)
4:08.0,Houston full timeout,,83-95,,
3:59.0,M. Thornton misses 3-pt shot from 24 ft,,83-95,,
3:58.0,,,83-95,,Defensive rebound by T. Johnson
3:44.0,,,83-97,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
3:22.0,Shooting foul by M. Chalmers (drawn by M. Harrell),,83-97,,
3:22.0,M. Harrell makes free throw 1 of 2,1,84-97,,
3:22.0,M. Harrell misses free throw 2 of 2,,84-97,,
