time,Washington,pts.away,score,pts.home,Detroit
7:53.0,Shooting foul by K. Caldwell-Pope (drawn by B. Beal),,7-11,,
7:53.0,B. Beal misses free throw 1 of 1,,7-11,,
7:52.0,,,7-11,,Defensive rebound by A. Drummond
7:35.0,,,7-11,,K. Caldwell-Pope misses 2-pt shot from 11 ft
7:34.0,Defensive rebound by B. Beal,,7-11,,
7:26.0,B. Beal makes 2-pt shot from 11 ft,2,9-11,,
7:08.0,,,9-13,2,R. Jackson makes 2-pt shot from 16 ft
6:57.0,B. Beal makes 3-pt shot from 26 ft,3,12-13,,
6:40.0,,,12-15,2,R. Jackson makes 2-pt shot from 19 ft
6:20.0,R. Sessions misses 2-pt shot from 7 ft,,12-15,,
6:20.0,,,12-15,,Defensive rebound by Team
6:05.0,,,12-15,,R. Jackson misses 2-pt shot from 7 ft
6:03.0,Defensive rebound by O. Porter,,12-15,,
5:53.0,M. Morris makes 2-pt shot from 8 ft (assist by R. Sessions),2,14-15,,
5:49.0,,,14-15,,Detroit full timeout
5:40.0,,,14-18,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
5:23.0,M. Gortat misses 2-pt shot from 10 ft,,14-18,,
5:22.0,,,14-18,,Defensive rebound by M. Morris
5:12.0,,,14-18,,A. Drummond misses 2-pt shot from 13 ft
5:11.0,Defensive rebound by B. Beal,,14-18,,
5:02.0,O. Porter misses 2-pt shot from 8 ft,,14-18,,
5:01.0,,,14-18,,Defensive rebound by M. Morris
4:56.0,,,14-20,2,R. Jackson makes 2-pt shot at rim (assist by M. Morris)
4:41.0,B. Beal makes 2-pt shot from 14 ft,2,16-20,,
4:23.0,,,16-23,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Drummond)
4:09.0,M. Morris misses 3-pt shot from 25 ft,,16-23,,
4:08.0,,,16-23,,Defensive rebound by M. Morris
3:59.0,,,16-26,3,R. Jackson makes 3-pt shot from 25 ft (assist by M. Morris)
3:40.0,M. Gortat misses 2-pt shot from 11 ft,,16-26,,
3:39.0,,,16-26,,Defensive rebound by T. Harris
3:27.0,,,16-28,2,T. Harris makes 2-pt shot from 15 ft
3:22.0,Washington full timeout,,16-28,,
3:22.0,N. Hilario enters the game for M. Gortat,,16-28,,
3:22.0,G. Temple enters the game for B. Beal,,16-28,,
3:22.0,,,16-28,,R. Bullock enters the game for M. Morris
3:07.0,N. Hilario makes 2-pt shot from 11 ft (assist by R. Sessions),2,18-28,,
2:39.0,,,18-28,,A. Drummond misses 2-pt shot from 8 ft
2:38.0,,,18-28,,Offensive rebound by K. Caldwell-Pope
2:35.0,,,18-30,2,K. Caldwell-Pope makes 2-pt shot at rim
2:29.0,Turnover by R. Sessions (lost ball; steal by A. Drummond),,18-30,,
2:18.0,,,18-30,,Turnover by R. Jackson (lost ball; steal by G. Temple)
2:11.0,G. Temple misses 2-pt shot at rim,,18-30,,
2:10.0,,,18-30,,Defensive rebound by A. Drummond
1:54.0,,,18-30,,K. Caldwell-Pope misses 3-pt shot from 24 ft
1:53.0,Defensive rebound by R. Sessions,,18-30,,
1:44.0,O. Porter makes 3-pt shot from 22 ft (assist by G. Temple),3,21-30,,
1:27.0,,,21-33,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
1:07.0,R. Sessions makes 2-pt shot from 7 ft (assist by N. Hilario),2,23-33,,
1:00.0,,,23-35,2,R. Jackson makes 2-pt shot at rim
0:53.0,Shooting foul by A. Drummond (drawn by N. Hilario),,23-35,,
0:53.0,N. Hilario makes free throw 1 of 2,1,24-35,,
0:53.0,,,24-35,,S. Blake enters the game for R. Jackson
0:53.0,B. Beal enters the game for R. Sessions,,24-35,,
0:53.0,N. Hilario makes free throw 2 of 2,1,25-35,,
0:43.0,,,25-35,,Shooting foul by M. Morris (drawn by T. Harris)
0:43.0,,,25-36,1,T. Harris makes free throw 1 of 2
0:43.0,,,25-36,,A. Baynes enters the game for A. Drummond
0:43.0,,,25-37,1,T. Harris makes free throw 2 of 2
0:23.0,M. Morris misses 3-pt shot from 25 ft,,25-37,,
0:22.0,,,25-37,,Defensive rebound by K. Caldwell-Pope
0:17.0,,,25-39,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake)
0:04.0,B. Beal misses 2-pt shot from 9 ft,,25-39,,
0:04.0,,,25-39,,Defensive rebound by R. Bullock
0:01.0,,,25-39,,S. Blake misses 3-pt shot from 37 ft
0:00.0,,,25-39,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,N. Hilario makes 2-pt shot at rim (assist by J. Dudley),2,27-39,,
11:21.0,,,27-42,3,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Bullock)
11:08.0,B. Beal makes 2-pt shot at rim,2,29-42,,
10:50.0,,,29-44,2,M. Morris makes 2-pt shot from 13 ft (assist by S. Blake)
10:32.0,G. Temple misses 3-pt shot from 26 ft,,29-44,,
10:31.0,,,29-44,,Defensive rebound by R. Bullock
10:18.0,,,29-44,,A. Baynes misses 2-pt shot from 19 ft
10:17.0,,,29-44,,Offensive rebound by R. Bullock
10:06.0,,,29-47,3,S. Blake makes 3-pt shot from 25 ft
9:47.0,B. Beal misses 2-pt shot from 1 ft,,29-47,,
9:46.0,,,29-47,,Defensive rebound by S. Blake
9:38.0,,,29-47,,Turnover by S. Blake (bad pass)
9:23.0,N. Hilario makes 2-pt shot from 3 ft (assist by A. Anderson),2,31-47,,
9:07.0,,,31-47,,S. Blake misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by J. Dudley,,31-47,,
8:51.0,A. Anderson misses 3-pt shot from 24 ft,,31-47,,
8:51.0,,,31-47,,Defensive rebound by S. Blake
8:42.0,,,31-47,,Shooting foul by J. Dudley (drawn by A. Baynes)
8:42.0,Official timeout,,31-47,,
8:42.0,,,31-48,1,A. Baynes makes free throw 1 of 2
8:42.0,,,31-49,1,A. Baynes makes free throw 2 of 2
8:32.0,Offensive charge foul by B. Beal,,31-49,,
8:32.0,Turnover by B. Beal (offensive foul),,31-49,,
8:14.0,,,31-49,,Turnover by A. Tolliver (lost ball; steal by A. Anderson)
8:03.0,G. Temple misses 2-pt shot from 1 ft (block by A. Tolliver),,31-49,,
8:00.0,,,31-49,,Defensive rebound by R. Bullock
7:54.0,,,31-49,,R. Bullock misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by N. Hilario,,31-49,,
7:33.0,B. Beal misses 2-pt shot from 16 ft,,31-49,,
7:33.0,,,31-49,,Defensive rebound by R. Bullock
7:25.0,,,31-49,,A. Tolliver misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by A. Anderson,,31-49,,
7:16.0,J. Dudley makes 2-pt shot at rim (assist by G. Temple),2,33-49,,
6:59.0,,,33-49,,S. Blake misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by G. Temple,,33-49,,
6:45.0,G. Temple misses 3-pt shot from 27 ft,,33-49,,
6:45.0,,,33-49,,Defensive rebound by A. Baynes
6:41.0,R. Sessions enters the game for G. Temple,,33-49,,
6:41.0,M. Gortat enters the game for N. Hilario,,33-49,,
6:29.0,,,33-49,,M. Morris misses 3-pt shot from 27 ft
6:28.0,Defensive rebound by B. Beal,,33-49,,
6:17.0,B. Beal misses 2-pt shot from 8 ft,,33-49,,
6:16.0,,,33-49,,Defensive rebound by A. Baynes
6:12.0,,,33-49,,Detroit full timeout
6:12.0,,,33-49,,K. Caldwell-Pope enters the game for R. Bullock
6:12.0,,,33-49,,R. Jackson enters the game for S. Blake
5:56.0,,,33-52,3,R. Jackson makes 3-pt shot from 26 ft
5:44.0,J. Dudley makes 3-pt shot from 26 ft (assist by R. Sessions),3,36-52,,
5:24.0,,,36-52,,R. Jackson misses 2-pt shot from 6 ft
5:24.0,Defensive rebound by J. Dudley,,36-52,,
5:18.0,B. Beal makes 3-pt shot from 25 ft (assist by R. Sessions),3,39-52,,
4:58.0,,,39-52,,A. Baynes misses 2-pt shot from 7 ft
4:58.0,Defensive rebound by B. Beal,,39-52,,
4:46.0,M. Gortat misses 2-pt shot at rim,,39-52,,
4:46.0,,,39-52,,Defensive rebound by A. Tolliver
4:46.0,Personal foul by J. Dudley,,39-52,,
4:46.0,,,39-52,,A. Drummond enters the game for A. Baynes
4:46.0,,,39-52,,T. Harris enters the game for A. Tolliver
4:27.0,,,39-52,,A. Drummond misses 2-pt shot from 7 ft
4:27.0,Defensive rebound by Team,,39-52,,
4:27.0,,,39-52,,Loose ball foul by M. Morris
4:20.0,Shooting foul by A. Drummond (drawn by R. Sessions),,39-52,,
4:20.0,R. Sessions makes free throw 1 of 2,1,40-52,,
4:20.0,R. Sessions makes free throw 2 of 2,1,41-52,,
4:10.0,,,41-54,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
4:10.0,,,41-54,,Shooting foul by M. Gortat (drawn by A. Drummond)
4:10.0,,,41-55,1,A. Drummond makes free throw 1 of 1
3:58.0,J. Dudley makes 2-pt shot at rim (assist by M. Gortat),2,43-55,,
3:57.0,,,43-55,,Turnover by R. Jackson (offensive foul)
3:57.0,,,43-55,,Offensive foul by R. Jackson
3:57.0,O. Porter enters the game for A. Anderson,,43-55,,
3:53.0,B. Beal misses 3-pt shot from 25 ft,,43-55,,
3:52.0,Offensive rebound by M. Gortat,,43-55,,
3:51.0,M. Gortat makes 2-pt shot at rim,2,45-55,,
3:35.0,,,45-57,2,R. Jackson makes 2-pt shot from 6 ft
3:25.0,R. Sessions makes 2-pt shot at rim,2,47-57,,
3:03.0,,,47-57,,Shooting foul by J. Dudley (drawn by A. Drummond)
3:03.0,,,47-57,,A. Drummond misses free throw 1 of 2
3:03.0,,,47-57,,Offensive rebound by Team
3:03.0,M. Morris enters the game for J. Dudley,,47-57,,
3:03.0,,,47-58,1,A. Drummond makes free throw 2 of 2
2:49.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,49-58,,
2:35.0,,,49-60,2,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by R. Jackson)
2:29.0,Shooting foul by R. Jackson (drawn by R. Sessions),,49-60,,
2:29.0,Washington full timeout,,49-60,,
2:29.0,,,49-60,,S. Blake enters the game for M. Morris
2:29.0,,,49-60,,R. Bullock enters the game for R. Jackson
2:29.0,R. Sessions makes free throw 1 of 2,1,50-60,,
2:29.0,R. Sessions makes free throw 2 of 2,1,51-60,,
2:11.0,,,51-60,,T. Harris misses 2-pt shot from 5 ft
2:10.0,Defensive rebound by M. Gortat,,51-60,,
2:05.0,R. Sessions makes 2-pt shot at rim,2,53-60,,
1:43.0,,,53-60,,T. Harris misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by O. Porter,,53-60,,
1:26.0,Turnover by M. Gortat (bad pass),,53-60,,
1:26.0,,,53-60,,A. Baynes enters the game for A. Drummond
1:04.0,,,53-60,,A. Baynes misses 2-pt shot from 17 ft
1:04.0,Defensive rebound by M. Morris,,53-60,,
0:52.0,R. Sessions misses 3-pt shot from 26 ft,,53-60,,
0:52.0,Offensive rebound by Team,,53-60,,
0:52.0,,,53-60,,Violation by A. Baynes (kicked ball)
0:40.0,B. Beal misses 2-pt shot from 16 ft,,53-60,,
0:39.0,,,53-60,,Defensive rebound by A. Baynes
0:24.0,,,53-60,,Shooting foul by M. Morris (drawn by T. Harris)
0:24.0,,,53-61,1,T. Harris makes free throw 1 of 2
0:24.0,,,53-62,1,T. Harris makes free throw 2 of 2
0:03.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat),2,55-62,,
0:02.0,,,55-62,,S. Blake misses 3-pt shot from 40 ft
0:00.0,,,55-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Morris misses 2-pt shot from 5 ft,,55-62,,
11:42.0,,,55-62,,Defensive rebound by T. Harris
11:33.0,,,55-64,2,R. Jackson makes 2-pt shot from 6 ft
11:13.0,Shooting foul by T. Harris (drawn by B. Beal),,55-64,,
11:13.0,B. Beal makes free throw 1 of 2,1,56-64,,
11:13.0,B. Beal misses free throw 2 of 2,,56-64,,
11:12.0,,,56-64,,Defensive rebound by R. Jackson
10:55.0,,,56-64,,A. Drummond misses 2-pt shot from 6 ft
10:55.0,Defensive rebound by Team,,56-64,,
10:41.0,M. Morris misses 2-pt shot from 8 ft,,56-64,,
10:40.0,,,56-64,,Defensive rebound by M. Morris
10:23.0,,,56-64,,Turnover by M. Morris (lost ball; steal by R. Sessions)
10:14.0,R. Sessions makes 2-pt shot at rim,2,58-64,,
10:03.0,,,58-66,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:43.0,O. Porter misses 2-pt shot from 8 ft,,58-66,,
9:43.0,Offensive rebound by O. Porter,,58-66,,
9:36.0,M. Gortat misses 2-pt shot at rim,,58-66,,
9:36.0,,,58-66,,Defensive rebound by K. Caldwell-Pope
9:29.0,Personal foul by R. Sessions,,58-66,,
9:17.0,,,58-68,2,R. Jackson makes 2-pt shot at rim
8:48.0,M. Morris makes 3-pt shot from 27 ft (assist by M. Gortat),3,61-68,,
8:30.0,,,61-71,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson)
8:09.0,M. Gortat makes 2-pt shot from 4 ft (assist by B. Beal),2,63-71,,
7:49.0,,,63-71,,R. Jackson misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by Team,,63-71,,
7:35.0,Turnover by B. Beal (lost ball; steal by K. Caldwell-Pope),,63-71,,
7:30.0,,,63-73,2,K. Caldwell-Pope makes 2-pt shot at rim
7:10.0,B. Beal misses 2-pt shot from 20 ft,,63-73,,
7:10.0,Offensive rebound by O. Porter,,63-73,,
7:09.0,O. Porter misses 2-pt shot from 1 ft,,63-73,,
7:08.0,Offensive rebound by O. Porter,,63-73,,
7:07.0,O. Porter misses 2-pt shot at rim,,63-73,,
7:06.0,Offensive rebound by O. Porter,,63-73,,
6:59.0,B. Beal misses 3-pt shot from 27 ft,,63-73,,
6:58.0,,,63-73,,Defensive rebound by A. Drummond
6:45.0,,,63-73,,K. Caldwell-Pope misses 3-pt shot from 23 ft
6:45.0,,,63-73,,Offensive rebound by Team
6:45.0,Loose ball foul by M. Gortat,,63-73,,
6:34.0,,,63-73,,R. Jackson misses 2-pt shot at rim
6:34.0,,,63-73,,Offensive rebound by A. Drummond
6:29.0,,,63-75,2,A. Drummond makes 2-pt shot at rim
6:17.0,Turnover by B. Beal (lost ball; steal by A. Drummond),,63-75,,
6:05.0,,,63-75,,T. Harris misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by M. Gortat,,63-75,,
5:49.0,Turnover by B. Beal (traveling),,63-75,,
5:49.0,,,63-75,,Detroit full timeout
5:37.0,,,63-78,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
5:10.0,M. Morris makes 2-pt shot from 5 ft,2,65-78,,
4:58.0,,,65-78,,Shooting foul by M. Gortat (drawn by M. Morris)
4:58.0,,,65-80,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
4:58.0,G. Temple enters the game for B. Beal,,65-80,,
4:58.0,N. Hilario enters the game for M. Gortat,,65-80,,
4:58.0,,,65-80,,R. Bullock enters the game for K. Caldwell-Pope
4:58.0,,,65-81,1,M. Morris makes free throw 1 of 1
4:40.0,Shooting foul by R. Jackson (drawn by M. Morris),,65-81,,
4:40.0,M. Morris makes free throw 1 of 2,1,66-81,,
4:40.0,M. Morris misses free throw 2 of 2,,66-81,,
4:39.0,,,66-81,,Defensive rebound by A. Drummond
4:24.0,,,66-81,,Offensive charge foul by R. Bullock
4:24.0,,,66-81,,Turnover by R. Bullock (offensive foul)
4:10.0,Shooting foul by T. Harris (drawn by M. Morris),,66-81,,
4:10.0,M. Morris makes 2-pt shot from 18 ft (assist by R. Sessions),2,68-81,,
4:10.0,,,68-81,,A. Tolliver enters the game for T. Harris
4:10.0,M. Morris makes free throw 1 of 1,1,69-81,,
3:48.0,,,69-83,2,R. Jackson makes 2-pt shot at rim
3:40.0,N. Hilario misses 2-pt shot at rim,,69-83,,
3:39.0,Offensive rebound by M. Morris,,69-83,,
3:39.0,M. Morris misses 2-pt shot at rim,,69-83,,
3:38.0,Offensive rebound by M. Morris,,69-83,,
3:37.0,M. Morris makes 2-pt shot at rim,2,71-83,,
3:09.0,,,71-83,,A. Tolliver misses 3-pt shot from 25 ft
3:08.0,Jump ball: R. Jackson vs. O. Porter (M. Morris gains possession),,,,Jump ball: R. Jackson vs. O. Porter (M. Morris gains possession)
3:08.0,Defensive rebound by Team,,71-83,,
2:46.0,M. Morris misses 2-pt shot from 11 ft,,71-83,,
2:45.0,Offensive rebound by N. Hilario,,71-83,,
2:42.0,N. Hilario misses 2-pt shot from 12 ft,,71-83,,
2:42.0,Offensive rebound by Team,,71-83,,
2:42.0,,,71-83,,Loose ball foul by A. Tolliver
2:42.0,Washington full timeout,,71-83,,
2:42.0,,,71-83,,S. Blake enters the game for R. Jackson
2:31.0,M. Morris makes 2-pt shot from 6 ft (assist by R. Sessions),2,73-83,,
2:15.0,,,73-83,,A. Tolliver misses 3-pt shot from 28 ft
2:15.0,,,73-83,,Offensive rebound by A. Tolliver
2:04.0,,,73-83,,R. Bullock misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by M. Morris,,73-83,,
1:55.0,Shooting foul by A. Drummond (drawn by M. Morris),,73-83,,
1:55.0,M. Morris makes free throw 1 of 2,1,74-83,,
1:55.0,,,74-83,,A. Baynes enters the game for A. Drummond
1:55.0,A. Anderson enters the game for R. Sessions,,74-83,,
1:55.0,M. Morris makes free throw 2 of 2,1,75-83,,
1:35.0,,,75-83,,M. Morris misses 2-pt shot from 12 ft
1:35.0,Defensive rebound by Team,,75-83,,
1:28.0,Turnover by N. Hilario (lost ball; steal by M. Morris),,75-83,,
1:19.0,,,75-83,,Turnover by M. Morris (lost ball; steal by N. Hilario)
1:14.0,N. Hilario makes 2-pt shot at rim,2,77-83,,
0:54.0,,,77-83,,A. Tolliver misses 3-pt shot from 26 ft
0:53.0,Defensive rebound by O. Porter,,77-83,,
0:40.0,M. Morris makes 2-pt shot from 15 ft,2,79-83,,
0:31.0,Personal foul by N. Hilario,,79-83,,
0:17.0,,,79-83,,S. Blake misses 2-pt shot at rim
0:16.0,Defensive rebound by M. Morris,,79-83,,
0:11.0,G. Temple makes 2-pt shot at rim,2,81-83,,
0:01.0,,,81-86,3,S. Blake makes 3-pt shot from 26 ft
0:00.0,M. Morris makes 3-pt shot from 51 ft,3,84-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,84-86,,S. Blake misses 2-pt shot at rim
11:45.0,Defensive rebound by G. Temple,,84-86,,
11:35.0,Shooting foul by T. Harris (drawn by M. Morris),,84-86,,
11:35.0,M. Morris makes free throw 1 of 2,1,85-86,,
11:35.0,M. Morris makes free throw 2 of 2,1,86-86,,
11:13.0,,,86-86,,T. Harris misses 2-pt shot from 6 ft
11:13.0,,,86-86,,Offensive rebound by T. Harris
11:08.0,,,86-86,,T. Harris misses 2-pt shot from 2 ft (block by G. Temple)
11:07.0,Defensive rebound by N. Hilario,,86-86,,
10:53.0,N. Hilario misses 2-pt shot from 17 ft,,86-86,,
10:52.0,,,86-86,,Defensive rebound by T. Harris
10:47.0,Personal foul by N. Hilario,,86-86,,
10:30.0,,,86-86,,K. Caldwell-Pope misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by G. Temple,,86-86,,
10:23.0,M. Morris misses 3-pt shot from 25 ft,,86-86,,
10:22.0,,,86-86,,Defensive rebound by T. Harris
10:16.0,,,86-86,,Shooting foul by N. Hilario (drawn by A. Baynes)
10:16.0,,,86-86,,Technical foul by R. Bullock
10:16.0,B. Beal makes technical free throw,1,87-86,,
10:16.0,,,87-87,1,A. Baynes makes free throw 1 of 2
10:16.0,,,87-87,,R. Jackson enters the game for S. Blake
10:16.0,,,87-88,1,A. Baynes makes free throw 2 of 2
10:04.0,M. Morris makes 2-pt shot at rim (assist by N. Hilario),2,89-88,,
9:43.0,,,89-88,,Shooting foul by M. Morris (drawn by T. Harris)
9:43.0,,,89-89,1,T. Harris makes free throw 1 of 2
9:43.0,,,89-89,,A. Drummond enters the game for A. Baynes
9:43.0,,,89-90,1,T. Harris makes free throw 2 of 2
9:16.0,G. Temple misses 3-pt shot from 28 ft,,89-90,,
9:16.0,,,89-90,,Defensive rebound by T. Harris
9:09.0,,,89-90,,Shooting foul by G. Temple (drawn by R. Jackson)
9:09.0,,,89-91,1,R. Jackson makes free throw 1 of 2
9:09.0,J. Dudley enters the game for M. Morris,,89-91,,
9:09.0,,,89-92,1,R. Jackson makes free throw 2 of 2
8:59.0,Shooting foul by R. Bullock (drawn by B. Beal),,89-92,,
8:59.0,Official timeout,,89-92,,
8:59.0,B. Beal misses free throw 1 of 2,,89-92,,
8:59.0,Offensive rebound by Team,,89-92,,
8:59.0,B. Beal makes free throw 2 of 2,1,90-92,,
8:55.0,Personal take foul by A. Anderson,,90-92,,
8:55.0,,,90-92,,A. Drummond misses free throw 1 of 2
8:55.0,,,90-92,,Offensive rebound by Team
8:55.0,,,90-92,,A. Drummond misses free throw 2 of 2
8:55.0,Defensive rebound by Team,,90-92,,
8:51.0,,,90-92,,Personal foul by K. Caldwell-Pope
8:51.0,,,90-92,,A. Baynes enters the game for A. Drummond
8:34.0,B. Beal makes 2-pt shot from 11 ft (assist by J. Dudley),2,92-92,,
8:13.0,Personal foul by J. Dudley,,92-92,,
8:13.0,,,92-93,1,R. Jackson makes free throw 1 of 2
8:13.0,,,92-93,,M. Morris enters the game for R. Bullock
8:13.0,,,92-94,1,R. Jackson makes free throw 2 of 2
7:48.0,J. Dudley misses 2-pt shot from 18 ft,,92-94,,
7:47.0,,,92-94,,Defensive rebound by A. Baynes
7:28.0,,,92-96,2,A. Baynes makes 2-pt shot from 5 ft (assist by M. Morris)
7:17.0,A. Anderson misses 3-pt shot from 27 ft,,92-96,,
7:16.0,Offensive rebound by N. Hilario,,92-96,,
7:10.0,B. Beal makes 2-pt shot from 8 ft,2,94-96,,
6:46.0,Personal foul by N. Hilario,,94-96,,
6:46.0,,,94-97,1,A. Baynes makes free throw 1 of 2
6:46.0,M. Morris enters the game for J. Dudley,,94-97,,
6:46.0,,,94-98,1,A. Baynes makes free throw 2 of 2
6:30.0,M. Gortat enters the game for N. Hilario,,94-98,,
6:26.0,M. Gortat misses 2-pt shot from 1 ft (block by A. Baynes),,94-98,,
6:25.0,,,94-98,,Defensive rebound by R. Jackson
6:21.0,,,94-98,,Turnover by R. Jackson (bad pass)
6:06.0,B. Beal misses 2-pt shot from 18 ft,,94-98,,
6:06.0,,,94-98,,Defensive rebound by T. Harris
6:01.0,,,94-98,,Shooting foul by M. Gortat (drawn by R. Jackson)
6:01.0,,,94-99,1,R. Jackson makes free throw 1 of 2
6:01.0,,,94-100,1,R. Jackson makes free throw 2 of 2
5:50.0,,,94-100,,Personal foul by K. Caldwell-Pope
5:50.0,,,94-100,,Detroit full timeout
5:42.0,Turnover by B. Beal (bad pass),,94-100,,
5:15.0,,,94-100,,K. Caldwell-Pope misses 2-pt shot from 18 ft
5:14.0,,,94-100,,Offensive rebound by R. Jackson
5:04.0,,,94-100,,M. Morris misses 3-pt shot from 26 ft
5:03.0,Defensive rebound by M. Morris,,94-100,,
4:37.0,B. Beal misses 2-pt shot from 16 ft,,94-100,,
4:37.0,,,94-100,,Defensive rebound by T. Harris
4:24.0,,,94-100,,Turnover by K. Caldwell-Pope (bad pass)
4:24.0,R. Sessions enters the game for A. Anderson,,94-100,,
4:24.0,O. Porter enters the game for G. Temple,,94-100,,
4:00.0,B. Beal makes 2-pt shot from 1 ft,2,96-100,,
3:45.0,,,96-100,,R. Jackson misses 2-pt shot from 9 ft
3:45.0,Defensive rebound by B. Beal,,96-100,,
3:26.0,Turnover by M. Gortat (bad pass),,96-100,,
3:11.0,,,96-100,,Turnover by R. Jackson (bad pass)
2:52.0,M. Morris misses 2-pt shot at rim,,96-100,,
2:52.0,,,96-100,,Defensive rebound by R. Jackson
2:45.0,,,96-100,,Shooting foul by M. Gortat (drawn by R. Jackson)
2:45.0,,,96-102,2,R. Jackson makes 2-pt shot at rim
2:45.0,Washington full timeout,,96-102,,
2:45.0,N. Hilario enters the game for M. Gortat,,96-102,,
2:45.0,,,96-103,1,R. Jackson makes free throw 1 of 1
2:31.0,M. Morris misses 3-pt shot from 26 ft,,96-103,,
2:31.0,Offensive rebound by B. Beal,,96-103,,
2:26.0,Turnover by B. Beal (lost ball),,96-103,,
2:12.0,,,96-106,3,R. Jackson makes 3-pt shot from 24 ft
1:57.0,R. Sessions misses 2-pt shot from 8 ft,,96-106,,
1:56.0,,,96-106,,Defensive rebound by K. Caldwell-Pope
1:35.0,,,96-106,,Shooting foul by O. Porter (drawn by A. Baynes)
1:35.0,,,96-107,1,A. Baynes makes free throw 1 of 2
1:35.0,,,96-108,1,A. Baynes makes free throw 2 of 2
1:35.0,Washington full timeout,,96-108,,
1:35.0,A. Anderson enters the game for O. Porter,,96-108,,
1:28.0,N. Hilario makes 2-pt shot at rim (assist by B. Beal),2,98-108,,
1:10.0,,,98-110,2,R. Jackson makes 2-pt shot at rim
0:59.0,N. Hilario misses 2-pt shot from 7 ft,,98-110,,
0:57.0,,,98-110,,Defensive rebound by M. Morris
0:41.0,,,98-110,,R. Jackson misses 2-pt shot from 6 ft
0:41.0,Defensive rebound by Team,,98-110,,
0:41.0,,,98-110,,Loose ball foul by A. Baynes
