time,Denver,pts.away,score,pts.home,Washington
0:32.0,,,62-56,,Defensive rebound by J. Wall
0:28.0,,,62-58,2,J. Wall makes 2-pt shot at rim
0:05.0,D. Gallinari makes 2-pt shot from 20 ft,2,64-58,,
0:01.0,,,64-58,,J. Wall misses 2-pt shot from 2 ft
0:00.0,,,64-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,G. Harris misses 3-pt shot from 23 ft,,64-58,,
11:37.0,,,64-58,,Defensive rebound by M. Gortat
11:25.0,,,64-58,,Turnover by M. Gortat (lost ball; steal by K. Faried)
11:18.0,G. Harris misses 2-pt shot from 3 ft (block by N. Hilario),,64-58,,
11:17.0,,,64-58,,Defensive rebound by O. Porter
11:09.0,,,64-58,,O. Porter misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by N. Jokic,,64-58,,
10:59.0,D. Gallinari misses 2-pt shot from 15 ft,,64-58,,
10:58.0,,,64-58,,Defensive rebound by Team
10:33.0,,,64-58,,G. Temple misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by K. Faried,,64-58,,
10:12.0,G. Harris misses 2-pt shot from 1 ft,,64-58,,
10:11.0,,,64-58,,Defensive rebound by M. Gortat
10:03.0,,,64-58,,N. Hilario misses 2-pt shot from 14 ft
10:02.0,Defensive rebound by E. Mudiay,,64-58,,
9:49.0,N. Jokic makes 2-pt shot from 18 ft,2,66-58,,
9:36.0,,,66-60,2,M. Gortat makes 2-pt shot from 7 ft
9:24.0,N. Jokic makes 2-pt shot from 8 ft (assist by D. Gallinari),2,68-60,,
9:03.0,,,68-60,,J. Wall misses 2-pt shot from 20 ft
9:02.0,,,68-60,,Offensive rebound by M. Gortat
9:02.0,,,68-62,2,M. Gortat makes 2-pt shot at rim
8:50.0,D. Gallinari makes 2-pt shot at rim (assist by E. Mudiay),2,70-62,,
8:27.0,,,70-64,2,N. Hilario makes 2-pt shot at rim
8:17.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,72-64,,
8:06.0,,,72-64,,Shooting foul by E. Mudiay (drawn by G. Temple)
8:06.0,,,72-65,1,G. Temple makes free throw 1 of 2
8:06.0,,,72-65,,G. Temple misses free throw 2 of 2
8:05.0,Defensive rebound by D. Gallinari,,72-65,,
7:52.0,Turnover by D. Gallinari (bad pass),,72-65,,
7:45.0,,,72-65,,J. Wall misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by Team,,72-65,,
7:31.0,D. Gallinari makes 3-pt shot from 25 ft (assist by K. Faried),3,75-65,,
7:31.0,,,75-65,,Washington full timeout
7:31.0,,,75-65,,D. Gooden enters the game for N. Hilario
7:14.0,,,75-65,,G. Temple misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by E. Mudiay,,75-65,,
7:09.0,Turnover by E. Mudiay (bad pass; steal by G. Temple),,75-65,,
7:01.0,,,75-65,,O. Porter misses 3-pt shot from 23 ft
7:00.0,,,75-65,,Offensive rebound by Team
7:00.0,Loose ball foul by N. Jokic (drawn by M. Gortat),,75-65,,
6:53.0,,,75-65,,G. Temple misses 2-pt shot from 15 ft
6:52.0,Defensive rebound by D. Gallinari,,75-65,,
6:33.0,E. Mudiay misses 2-pt shot from 18 ft,,75-65,,
6:32.0,Offensive rebound by Team,,75-65,,
6:18.0,N. Jokic misses 2-pt shot from 13 ft,,75-65,,
6:17.0,Offensive rebound by N. Jokic,,75-65,,
6:16.0,N. Jokic makes 2-pt shot at rim,2,77-65,,
5:56.0,,,77-65,,G. Temple misses 2-pt shot from 16 ft
5:55.0,Defensive rebound by N. Jokic,,77-65,,
5:39.0,Turnover by D. Gallinari (lost ball; steal by D. Gooden),,77-65,,
5:36.0,,,77-65,,Turnover by D. Gooden (bad pass; steal by N. Jokic)
5:33.0,D. Gallinari makes 3-pt shot from 25 ft (assist by N. Jokic),3,80-65,,
5:33.0,,,80-65,,Washington full timeout
5:33.0,,,80-65,,B. Beal enters the game for O. Porter
5:17.0,,,80-65,,D. Gooden misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by G. Harris,,80-65,,
5:10.0,,,80-65,,Personal foul by D. Gooden (drawn by N. Jokic)
5:05.0,G. Harris misses 2-pt shot from 1 ft (block by J. Wall),,80-65,,
5:03.0,Offensive rebound by N. Jokic,,80-65,,
5:00.0,D. Gallinari makes 3-pt shot from 26 ft (assist by N. Jokic),3,83-65,,
4:44.0,Personal foul by N. Jokic (drawn by J. Wall),,83-65,,
4:44.0,,,83-66,1,J. Wall makes free throw 1 of 2
4:44.0,,,83-66,,J. Dudley enters the game for D. Gooden
4:44.0,,,83-67,1,J. Wall makes free throw 2 of 2
4:32.0,E. Mudiay makes 2-pt shot from 21 ft,2,85-67,,
4:19.0,,,85-67,,Turnover by B. Beal (traveling)
4:19.0,D. Arthur enters the game for K. Faried,,85-67,,
3:59.0,D. Gallinari misses 3-pt shot from 27 ft,,85-67,,
3:59.0,,,85-67,,Defensive rebound by J. Wall
3:54.0,,,85-67,,Shooting foul by N. Jokic (drawn by J. Dudley)
3:54.0,,,85-68,1,J. Dudley makes free throw 1 of 2
3:54.0,J. Nurkic enters the game for N. Jokic,,85-68,,
3:54.0,,,85-69,1,J. Dudley makes free throw 2 of 2
3:41.0,Turnover by G. Harris (bad pass; steal by J. Wall),,85-69,,
3:29.0,,,85-72,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Dudley)
3:08.0,Shooting foul by J. Dudley (drawn by J. Nurkic),,85-72,,
3:08.0,J. Nurkic makes free throw 1 of 2,1,86-72,,
3:08.0,J. Nurkic makes free throw 2 of 2,1,87-72,,
2:54.0,,,87-72,,M. Gortat misses 2-pt shot from 12 ft
2:53.0,,,87-72,,Offensive rebound by J. Dudley
2:45.0,,,87-75,3,J. Wall makes 3-pt shot from 26 ft (assist by G. Temple)
2:27.0,J. Nurkic misses 2-pt shot from 9 ft (block by J. Wall),,87-75,,
2:26.0,,,87-75,,Defensive rebound by J. Wall
2:20.0,,,87-78,3,J. Dudley makes 3-pt shot from 27 ft (assist by J. Wall)
2:18.0,Denver full timeout,,87-78,,
2:18.0,W. Barton enters the game for G. Harris,,87-78,,
2:18.0,J. Nelson enters the game for E. Mudiay,,87-78,,
2:02.0,,,87-78,,Personal foul by J. Wall (drawn by J. Nurkic)
1:58.0,Turnover by J. Nelson (bad pass; steal by J. Dudley),,87-78,,
1:58.0,Personal foul by J. Nelson (drawn by J. Dudley),,87-78,,
1:58.0,,,87-79,1,J. Dudley makes free throw 1 of 2
1:58.0,,,87-79,,J. Dudley misses free throw 2 of 2
1:57.0,Defensive rebound by D. Arthur,,87-79,,
1:43.0,Shooting foul by M. Gortat (drawn by D. Arthur),,87-79,,
1:43.0,D. Arthur makes free throw 1 of 2,1,88-79,,
1:43.0,D. Arthur misses free throw 2 of 2,,88-79,,
1:41.0,,,88-79,,Defensive rebound by J. Dudley
1:25.0,,,88-79,,J. Wall misses 3-pt shot from 27 ft
1:24.0,Defensive rebound by J. Nurkic,,88-79,,
1:09.0,D. Arthur makes 2-pt shot from 3 ft (assist by J. Nurkic),2,90-79,,
1:09.0,Shooting foul by J. Dudley (drawn by D. Arthur),,90-79,,
1:09.0,D. Arthur makes free throw 1 of 1,1,91-79,,
0:46.0,,,91-79,,Turnover by Team (shot clock)
0:46.0,R. Foye enters the game for D. Gallinari,,91-79,,
0:46.0,,,91-79,,R. Sessions enters the game for J. Wall
0:32.0,Turnover by J. Nelson (lost ball; steal by J. Dudley),,91-79,,
0:26.0,,,91-79,,J. Dudley misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by J. Nurkic,,91-79,,
0:02.0,D. Arthur misses 2-pt shot from 18 ft,,91-79,,
0:01.0,,,91-79,,Defensive rebound by R. Sessions
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,91-81,2,B. Beal makes 2-pt shot from 2 ft
11:36.0,J. Nurkic misses 2-pt shot at rim,,91-81,,
11:35.0,,,91-81,,Defensive rebound by R. Sessions
11:22.0,,,91-83,2,N. Hilario makes 2-pt shot from 16 ft
11:08.0,J. Nurkic makes 2-pt shot from 5 ft (assist by J. Nelson),2,93-83,,
10:53.0,,,93-83,,Shooting foul by D. Arthur (drawn by R. Sessions)
10:53.0,,,93-84,1,R. Sessions makes free throw 1 of 2
10:53.0,,,93-85,1,R. Sessions makes free throw 2 of 2
10:45.0,Turnover by R. Foye (bad pass; steal by J. Dudley),,93-85,,
10:42.0,,,93-87,2,J. Dudley makes 2-pt shot from 1 ft
10:22.0,W. Barton makes 2-pt shot from 17 ft,2,95-87,,
10:09.0,,,95-87,,R. Sessions misses 2-pt shot from 3 ft
10:08.0,,,95-87,,Offensive rebound by Team
10:08.0,Personal foul by J. Nurkic (drawn by N. Hilario),,95-87,,
9:58.0,,,95-89,2,B. Beal makes 2-pt shot from 1 ft
9:57.0,Denver full timeout,,95-89,,
9:36.0,D. Arthur makes 2-pt shot from 20 ft (assist by R. Foye),2,97-89,,
9:17.0,Personal foul by D. Arthur (drawn by N. Hilario),,97-89,,
9:17.0,,,97-89,,J. Wall enters the game for B. Beal
9:11.0,,,97-91,2,N. Hilario makes 2-pt shot at rim
8:59.0,,,97-91,,Personal foul by N. Hilario (drawn by J. Nurkic)
8:59.0,N. Jokic enters the game for J. Nurkic,,97-91,,
8:48.0,W. Barton misses 2-pt shot from 6 ft,,97-91,,
8:47.0,Offensive rebound by Team,,97-91,,
8:43.0,J. Nelson misses 3-pt shot from 26 ft,,97-91,,
8:42.0,,,97-91,,Defensive rebound by J. Dudley
8:37.0,,,97-93,2,R. Sessions makes 2-pt shot from 1 ft (assist by J. Wall)
8:24.0,,,97-93,,Personal foul by J. Dudley (drawn by W. Barton)
8:16.0,N. Jokic misses 2-pt shot from 17 ft,,97-93,,
8:15.0,,,97-93,,Defensive rebound by R. Sessions
8:14.0,,,97-93,,Personal foul by N. Hilario (drawn by N. Jokic)
8:14.0,Personal foul by N. Jokic,,97-93,,
8:08.0,,,97-93,,G. Temple misses 3-pt shot from 25 ft
8:06.0,,,97-93,,Offensive rebound by J. Wall
8:01.0,,,97-93,,Turnover by J. Dudley (offensive goaltending)
7:41.0,N. Jokic misses 2-pt shot from 6 ft,,97-93,,
7:40.0,,,97-93,,Defensive rebound by G. Temple
7:34.0,,,97-95,2,J. Dudley makes 2-pt shot from 18 ft (assist by J. Wall)
7:10.0,D. Arthur makes 2-pt shot from 13 ft,2,99-95,,
6:54.0,Personal foul by W. Barton (drawn by J. Dudley),,99-95,,
6:54.0,K. Faried enters the game for N. Jokic,,99-95,,
6:54.0,E. Mudiay enters the game for R. Foye,,99-95,,
6:54.0,D. Gallinari enters the game for D. Arthur,,99-95,,
6:46.0,,,99-95,,Turnover by R. Sessions (bad pass; steal by E. Mudiay)
6:40.0,J. Nelson misses 2-pt shot from 2 ft,,99-95,,
6:40.0,,,99-95,,Defensive rebound by Team
6:40.0,Loose ball foul by K. Faried (drawn by N. Hilario),,99-95,,
6:40.0,,,99-95,,N. Hilario misses free throw 1 of 2
6:40.0,,,99-95,,Offensive rebound by Team
6:40.0,G. Harris enters the game for J. Nelson,,99-95,,
6:40.0,,,99-96,1,N. Hilario makes free throw 2 of 2
6:26.0,E. Mudiay misses 2-pt shot from 2 ft (block by N. Hilario),,99-96,,
6:25.0,,,99-96,,Defensive rebound by J. Wall
6:21.0,,,99-96,,G. Temple misses 2-pt shot from 1 ft (block by W. Barton)
6:21.0,,,99-96,,Offensive rebound by Team
6:04.0,,,99-96,,J. Wall misses 3-pt shot from 26 ft
6:02.0,Defensive rebound by W. Barton,,99-96,,
5:44.0,Turnover by K. Faried (bad pass; steal by R. Sessions),,99-96,,
5:41.0,,,99-96,,Shooting foul by E. Mudiay (drawn by R. Sessions)
5:41.0,,,99-98,2,R. Sessions makes 2-pt shot at rim
5:41.0,Official timeout,,99-98,,
5:41.0,,,99-99,1,R. Sessions makes free throw 1 of 1
5:25.0,G. Harris makes 3-pt shot from 26 ft (assist by D. Gallinari),3,102-99,,
