time,Atlanta,pts.away,score,pts.home,Cleveland
5:44.0,P. Millsap makes 2-pt shot from 7 ft,2,40-37,,
5:24.0,,,40-39,2,K. Irving makes 2-pt shot at rim (assist by L. James)
5:16.0,Atlanta full timeout,,40-39,,
5:16.0,A. Horford enters the game for M. Scott,,40-39,,
5:10.0,J. Teague misses 2-pt shot from 2 ft,,40-39,,
5:08.0,Offensive rebound by P. Millsap,,40-39,,
5:06.0,Turnover by K. Korver (step out of bounds),,40-39,,
4:57.0,Violation by K. Bazemore (kicked ball),,40-39,,
4:57.0,T. Sefolosha enters the game for K. Korver,,40-39,,
4:57.0,,,40-39,,T. Thompson enters the game for R. Jefferson
4:48.0,,,40-39,,Offensive foul by K. Love
4:48.0,,,40-39,,Turnover by K. Love (offensive foul)
4:35.0,T. Sefolosha misses 3-pt shot from 23 ft,,40-39,,
4:35.0,,,40-39,,Defensive rebound by K. Love
4:22.0,,,40-42,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
3:55.0,K. Bazemore makes 3-pt shot from 22 ft (assist by J. Teague),3,43-42,,
3:27.0,,,43-45,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
3:18.0,K. Bazemore misses 2-pt shot from 1 ft (block by L. James),,43-45,,
3:17.0,,,43-45,,Defensive rebound by T. Thompson
3:04.0,,,43-45,,Turnover by K. Irving (lost ball; steal by K. Bazemore)
3:04.0,,,43-45,,Cleveland full timeout
3:04.0,K. Korver enters the game for K. Bazemore,,43-45,,
3:01.0,Turnover by A. Horford (palming),,43-45,,
2:51.0,,,43-47,2,J. Smith makes 2-pt shot at rim (assist by L. James)
2:28.0,P. Millsap misses 2-pt shot from 7 ft,,43-47,,
2:26.0,Offensive rebound by A. Horford,,43-47,,
2:11.0,P. Millsap misses 2-pt shot from 4 ft,,43-47,,
2:11.0,,,43-47,,Defensive rebound by L. James
2:04.0,,,43-47,,K. Love misses 3-pt shot from 26 ft
2:02.0,Defensive rebound by A. Horford,,43-47,,
1:40.0,P. Millsap misses 2-pt shot from 8 ft,,43-47,,
1:39.0,,,43-47,,Defensive rebound by J. Smith
1:32.0,K. Bazemore enters the game for T. Sefolosha,,43-47,,
1:26.0,,,43-47,,Turnover by K. Irving (lost ball; steal by K. Bazemore)
1:18.0,Turnover by K. Bazemore (lost ball; steal by T. Thompson),,43-47,,
1:18.0,Personal foul by K. Bazemore,,43-47,,
1:12.0,,,43-49,2,L. James makes 2-pt shot from 19 ft (assist by K. Irving)
0:55.0,P. Millsap misses 3-pt shot from 26 ft,,43-49,,
0:54.0,,,43-49,,Defensive rebound by K. Love
0:41.0,,,43-49,,K. Love misses 2-pt shot from 1 ft
0:40.0,Defensive rebound by A. Horford,,43-49,,
0:34.0,K. Korver misses 3-pt shot from 24 ft,,43-49,,
0:34.0,Offensive rebound by A. Horford,,43-49,,
0:27.0,K. Bazemore misses 3-pt shot from 26 ft,,43-49,,
0:27.0,,,43-49,,Defensive rebound by K. Love
0:07.0,,,43-51,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
0:04.0,Shooting foul by K. Irving (drawn by J. Teague),,43-51,,
0:04.0,J. Teague makes free throw 1 of 3,1,44-51,,
0:04.0,J. Teague makes free throw 2 of 3,1,45-51,,
0:04.0,Atlanta full timeout,,45-51,,
0:04.0,D. Schroder enters the game for K. Korver,,45-51,,
0:04.0,T. Sefolosha enters the game for K. Bazemore,,45-51,,
0:04.0,,,45-51,,M. Dellavedova enters the game for T. Thompson
0:04.0,J. Teague misses free throw 3 of 3,,45-51,,
0:03.0,,,45-51,,Defensive rebound by K. Love
0:00.0,,,45-51,,J. Smith misses 3-pt shot from 30 ft
0:00.0,,,45-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,45-51,,Turnover by J. Smith (lost ball; steal by A. Horford)
11:31.0,K. Korver makes 3-pt shot from 27 ft (assist by J. Teague),3,48-51,,
11:09.0,,,48-53,2,L. James makes 2-pt shot at rim
10:54.0,A. Horford misses 2-pt shot from 14 ft,,48-53,,
10:54.0,,,48-53,,Defensive rebound by T. Thompson
10:46.0,,,48-55,2,L. James makes 2-pt shot at rim
10:46.0,,,48-55,,Shooting foul by K. Bazemore (drawn by L. James)
10:46.0,,,48-56,1,L. James makes free throw 1 of 1
10:34.0,Shooting foul by T. Thompson (drawn by P. Millsap),,48-56,,
10:34.0,P. Millsap makes 2-pt shot from 6 ft,2,50-56,,
10:34.0,P. Millsap makes free throw 1 of 1,1,51-56,,
10:18.0,,,51-58,2,K. Irving makes 2-pt shot from 5 ft
10:06.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague),2,53-58,,
9:50.0,,,53-58,,K. Irving misses 3-pt shot from 24 ft
9:49.0,,,53-58,,Offensive rebound by T. Thompson
9:45.0,,,53-60,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Love)
9:45.0,,,53-60,,Shooting foul by A. Horford (drawn by T. Thompson)
9:45.0,,,53-61,1,T. Thompson makes free throw 1 of 1
9:30.0,J. Teague misses 3-pt shot from 23 ft,,53-61,,
9:29.0,Offensive rebound by P. Millsap,,53-61,,
9:21.0,P. Millsap misses 2-pt shot at rim (block by T. Thompson),,53-61,,
9:19.0,Offensive rebound by P. Millsap,,53-61,,
9:18.0,P. Millsap misses 2-pt shot from 1 ft,,53-61,,
9:16.0,Offensive rebound by P. Millsap,,53-61,,
9:15.0,Turnover by P. Millsap (lost ball; steal by L. James),,53-61,,
9:02.0,,,53-63,2,L. James makes 2-pt shot from 12 ft
8:48.0,A. Horford makes 2-pt shot from 5 ft (assist by J. Teague),2,55-63,,
8:29.0,,,55-63,,K. Irving misses 2-pt shot from 18 ft
8:29.0,Defensive rebound by K. Bazemore,,55-63,,
8:21.0,K. Korver misses 2-pt shot from 20 ft,,55-63,,
8:20.0,,,55-63,,Defensive rebound by K. Love
8:18.0,Loose ball foul by P. Millsap,,55-63,,
8:09.0,,,55-63,,T. Thompson misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by A. Horford,,55-63,,
8:06.0,Turnover by J. Teague (lost ball; steal by T. Thompson),,55-63,,
8:02.0,Personal foul by K. Korver,,55-63,,
7:58.0,,,55-63,,K. Irving misses 2-pt shot from 12 ft
7:57.0,Defensive rebound by K. Bazemore,,55-63,,
7:46.0,J. Teague makes 3-pt shot from 24 ft (assist by A. Horford),3,58-63,,
7:46.0,,,58-63,,Cleveland full timeout
7:27.0,,,58-63,,L. James misses 2-pt shot from 11 ft (block by K. Bazemore)
7:26.0,,,58-63,,Offensive rebound by L. James
7:22.0,,,58-63,,K. Love misses 3-pt shot from 24 ft
7:22.0,Defensive rebound by Team,,58-63,,
7:06.0,J. Teague makes 2-pt shot from 1 ft,2,60-63,,
6:53.0,,,60-63,,K. Irving misses 2-pt shot at rim
6:53.0,,,60-63,,Offensive rebound by T. Thompson
6:53.0,,,60-63,,Shooting foul by K. Korver (drawn by T. Thompson)
6:53.0,,,60-64,1,T. Thompson makes free throw 1 of 2
6:53.0,,,60-65,1,T. Thompson makes free throw 2 of 2
6:38.0,A. Horford makes 2-pt shot from 17 ft (assist by P. Millsap),2,62-65,,
6:23.0,,,62-68,3,L. James makes 3-pt shot from 25 ft
6:14.0,J. Teague makes 2-pt shot at rim,2,64-68,,
6:14.0,Shooting foul by K. Irving (drawn by J. Teague),,64-68,,
6:14.0,T. Sefolosha enters the game for K. Bazemore,,64-68,,
6:14.0,J. Teague misses free throw 1 of 1,,64-68,,
6:13.0,,,64-68,,Defensive rebound by K. Love
5:59.0,,,64-68,,Turnover by K. Irving (lost ball)
5:48.0,J. Teague makes 2-pt shot at rim,2,66-68,,
5:34.0,,,66-70,2,L. James makes 2-pt shot from 5 ft (assist by K. Irving)
5:34.0,,,66-70,,Shooting foul by A. Horford (drawn by L. James)
5:34.0,,,66-71,1,L. James makes free throw 1 of 1
5:13.0,K. Korver misses 3-pt shot from 24 ft,,66-71,,
5:12.0,,,66-71,,Defensive rebound by L. James
5:08.0,Personal foul by T. Sefolosha,,66-71,,
5:08.0,,,66-72,1,L. James makes free throw 1 of 2
5:08.0,M. Scott enters the game for P. Millsap,,66-72,,
5:08.0,,,66-72,,M. Dellavedova enters the game for T. Thompson
5:08.0,,,66-73,1,L. James makes free throw 2 of 2
4:56.0,Shooting foul by L. James (drawn by A. Horford),,66-73,,
4:56.0,A. Horford makes 2-pt shot from 7 ft (assist by J. Teague),2,68-73,,
4:56.0,A. Horford misses free throw 1 of 1,,68-73,,
4:55.0,,,68-73,,Defensive rebound by K. Love
4:45.0,,,68-76,3,K. Irving makes 3-pt shot from 26 ft
4:22.0,A. Horford misses 2-pt shot from 9 ft,,68-76,,
4:20.0,,,68-76,,Defensive rebound by L. James
4:04.0,,,68-78,2,L. James makes 2-pt shot at rim
3:58.0,Atlanta full timeout,,68-78,,
3:58.0,D. Schroder enters the game for K. Korver,,68-78,,
3:58.0,T. Hardaway enters the game for A. Horford,,68-78,,
3:58.0,P. Millsap enters the game for J. Teague,,68-78,,
3:49.0,Turnover by P. Millsap (lost ball),,68-78,,
3:35.0,,,68-78,,Shooting foul by M. Scott (drawn by K. Love)
3:35.0,Technical foul by P. Millsap,,68-78,,
3:35.0,,,68-79,1,K. Irving makes technical free throw
3:35.0,,,68-80,1,K. Love makes free throw 1 of 2
3:35.0,,,68-81,1,K. Love makes free throw 2 of 2
3:21.0,T. Hardaway makes 2-pt shot from 20 ft (assist by T. Sefolosha),2,70-81,,
2:58.0,,,70-83,2,L. James makes 2-pt shot at rim (assist by M. Dellavedova)
2:42.0,T. Hardaway misses 3-pt shot from 24 ft,,70-83,,
2:42.0,,,70-83,,Defensive rebound by Team
2:42.0,,,70-83,,R. Jefferson enters the game for K. Irving
2:24.0,,,70-83,,R. Jefferson misses 3-pt shot from 25 ft
2:24.0,,,70-83,,Offensive rebound by K. Love
2:21.0,,,70-83,,Turnover by L. James (lost ball; steal by T. Sefolosha)
2:19.0,,,70-83,,Personal foul by M. Dellavedova
2:12.0,P. Millsap misses 3-pt shot from 25 ft,,70-83,,
2:11.0,,,70-83,,Defensive rebound by R. Jefferson
2:04.0,,,70-83,,Shooting foul by P. Millsap (drawn by K. Love)
2:04.0,,,70-84,1,K. Love makes free throw 1 of 2
2:04.0,,,70-85,1,K. Love makes free throw 2 of 2
1:53.0,,,70-85,,Personal foul by K. Love
1:53.0,P. Millsap misses free throw 1 of 2,,70-85,,
1:53.0,Offensive rebound by Team,,70-85,,
1:53.0,,,70-85,,T. Thompson enters the game for K. Love
1:53.0,A. Horford enters the game for M. Scott,,70-85,,
1:53.0,P. Millsap makes free throw 2 of 2,1,71-85,,
1:46.0,,,71-87,2,M. Dellavedova makes 2-pt shot at rim
1:46.0,,,71-87,,Shooting foul by D. Schroder (drawn by M. Dellavedova)
1:46.0,,,71-87,,C. Frye enters the game for L. James
1:46.0,,,71-87,,K. Irving enters the game for J. Smith
1:46.0,K. Korver enters the game for T. Sefolosha,,71-87,,
1:46.0,,,71-88,1,M. Dellavedova makes free throw 1 of 1
1:34.0,D. Schroder makes 2-pt shot from 1 ft,2,73-88,,
1:16.0,,,73-88,,M. Dellavedova misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by A. Horford,,73-88,,
1:07.0,K. Korver misses 3-pt shot from 24 ft,,73-88,,
1:06.0,Offensive rebound by P. Millsap,,73-88,,
1:01.0,A. Horford makes 2-pt shot from 1 ft,2,75-88,,
0:42.0,,,75-88,,K. Irving misses 2-pt shot from 1 ft (block by P. Millsap)
0:41.0,Defensive rebound by D. Schroder,,75-88,,
0:36.0,Turnover by K. Korver (lost ball),,75-88,,
0:14.0,,,75-90,2,K. Irving makes 2-pt shot from 9 ft
0:02.0,D. Schroder misses 3-pt shot from 24 ft,,75-90,,
0:01.0,,,75-90,,Defensive rebound by R. Jefferson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,K. Bazemore misses 3-pt shot from 22 ft,,75-90,,
11:40.0,,,75-90,,Defensive rebound by Team
11:20.0,,,75-90,,C. Frye misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by K. Bazemore,,75-90,,
11:11.0,A. Horford misses 3-pt shot from 24 ft,,75-90,,
11:10.0,,,75-90,,Defensive rebound by T. Thompson
11:00.0,,,75-90,,C. Frye misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by K. Korver,,75-90,,
10:49.0,J. Teague makes 2-pt shot from 1 ft,2,77-90,,
10:35.0,,,77-92,2,K. Irving makes 2-pt shot from 15 ft
10:27.0,J. Teague makes 2-pt shot from 1 ft,2,79-92,,
10:13.0,,,79-92,,Shooting foul by P. Millsap (drawn by T. Thompson)
10:13.0,,,79-93,1,T. Thompson makes free throw 1 of 2
10:13.0,,,79-93,,T. Thompson misses free throw 2 of 2
10:12.0,Defensive rebound by A. Horford,,79-93,,
10:04.0,,,79-93,,Violation by T. Thompson (kicked ball)
9:57.0,Turnover by J. Teague (lost ball; steal by T. Thompson),,79-93,,
9:49.0,,,79-95,2,K. Irving makes 2-pt shot from 2 ft
9:27.0,P. Millsap makes 2-pt shot from 8 ft (assist by K. Bazemore),2,81-95,,
9:05.0,,,81-95,,M. Dellavedova misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by A. Horford,,81-95,,
8:57.0,K. Bazemore misses 2-pt shot from 2 ft (block by C. Frye),,81-95,,
8:56.0,,,81-95,,Defensive rebound by C. Frye
8:49.0,,,81-98,3,K. Irving makes 3-pt shot from 25 ft (assist by M. Dellavedova)
8:48.0,Atlanta full timeout,,81-98,,
8:48.0,M. Muscala enters the game for P. Millsap,,81-98,,
8:36.0,K. Bazemore misses 2-pt shot from 6 ft,,81-98,,
8:35.0,,,81-98,,Defensive rebound by R. Jefferson
8:30.0,,,81-98,,Offensive foul by C. Frye
8:30.0,,,81-98,,Turnover by C. Frye (offensive foul)
8:18.0,,,81-98,,Violation by T. Thompson (def goaltending)
8:18.0,A. Horford makes 2-pt shot from 7 ft (assist by J. Teague),2,83-98,,
8:00.0,,,83-100,2,K. Irving makes 2-pt shot from 11 ft
7:50.0,K. Bazemore misses 2-pt shot from 4 ft (block by K. Irving),,83-100,,
7:50.0,Offensive rebound by Team,,83-100,,
7:47.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,85-100,,
7:20.0,,,85-100,,R. Jefferson misses 2-pt shot from 5 ft
7:19.0,Defensive rebound by K. Korver,,85-100,,
7:11.0,A. Horford misses 3-pt shot from 24 ft,,85-100,,
7:10.0,,,85-100,,Defensive rebound by K. Irving
7:02.0,,,85-100,,Cleveland full timeout
7:02.0,T. Hardaway enters the game for K. Bazemore,,85-100,,
6:49.0,,,85-102,2,K. Irving makes 2-pt shot from 9 ft
6:32.0,J. Teague misses 2-pt shot from 15 ft,,85-102,,
6:30.0,,,85-102,,Defensive rebound by T. Thompson
6:17.0,Violation by M. Muscala (kicked ball),,85-102,,
6:17.0,K. Humphries enters the game for A. Horford,,85-102,,
6:07.0,,,85-102,,Turnover by K. Irving (lost ball; steal by J. Teague)
6:01.0,T. Hardaway makes 2-pt shot from 2 ft (assist by J. Teague),2,87-102,,
5:42.0,,,87-102,,M. Dellavedova misses 2-pt shot from 15 ft
5:41.0,Defensive rebound by M. Muscala,,87-102,,
5:23.0,K. Humphries misses 2-pt shot from 16 ft,,87-102,,
5:21.0,Offensive rebound by M. Muscala,,87-102,,
5:17.0,M. Muscala misses 2-pt shot from 16 ft,,87-102,,
5:16.0,,,87-102,,Defensive rebound by T. Thompson
5:05.0,,,87-102,,K. Love enters the game for C. Frye
5:05.0,K. Hinrich enters the game for J. Teague,,87-102,,
5:05.0,D. Schroder enters the game for K. Korver,,87-102,,
5:00.0,,,87-102,,J. Smith enters the game for M. Dellavedova
4:51.0,,,87-102,,K. Irving misses 3-pt shot from 27 ft
4:49.0,,,87-102,,Offensive rebound by R. Jefferson
4:44.0,,,87-102,,Shooting foul by D. Schroder (drawn by K. Irving)
4:44.0,,,87-103,1,K. Irving makes free throw 1 of 2
4:44.0,,,87-104,1,K. Irving makes free throw 2 of 2
4:25.0,M. Muscala makes 3-pt shot from 23 ft (assist by T. Hardaway),3,90-104,,
4:00.0,,,90-104,,K. Love misses 2-pt shot from 16 ft
3:55.0,Defensive rebound by D. Schroder,,90-104,,
3:47.0,M. Muscala misses 2-pt shot from 2 ft,,90-104,,
3:46.0,,,90-104,,Defensive rebound by K. Love
3:34.0,,,90-104,,K. Irving misses 2-pt shot from 5 ft
3:33.0,Defensive rebound by T. Hardaway,,90-104,,
3:27.0,T. Hardaway misses 2-pt shot from 4 ft,,90-104,,
3:26.0,,,90-104,,Defensive rebound by K. Love
3:07.0,,,90-104,,Shooting foul by M. Muscala (drawn by T. Thompson)
3:07.0,,,90-105,1,T. Thompson makes free throw 1 of 2
3:07.0,,,90-105,,T. Thompson misses free throw 2 of 2
3:06.0,Defensive rebound by K. Hinrich,,90-105,,
2:47.0,T. Hardaway makes 2-pt shot from 1 ft,2,92-105,,
2:23.0,,,92-105,,T. Thompson misses 2-pt shot from 5 ft
2:23.0,,,92-105,,Offensive rebound by K. Irving
2:19.0,,,92-105,,R. Jefferson misses 3-pt shot from 24 ft
2:18.0,,,92-105,,Offensive rebound by K. Irving
2:00.0,,,92-105,,K. Irving misses 2-pt shot from 11 ft
1:58.0,,,92-105,,Offensive rebound by R. Jefferson
1:58.0,,,92-107,2,R. Jefferson makes 2-pt shot at rim
1:42.0,D. Schroder misses 3-pt shot from 24 ft,,92-107,,
1:41.0,,,92-107,,Defensive rebound by T. Thompson
1:34.0,,,92-107,,Cleveland full timeout
1:34.0,Official timeout,,92-107,,
1:34.0,,,92-107,,J. Jones enters the game for K. Love
1:34.0,,,92-107,,J. McRae enters the game for T. Thompson
1:34.0,,,92-107,,C. Frye enters the game for J. Smith
1:34.0,,,92-107,,S. Kaun enters the game for K. Irving
