time,Dallas,pts.away,score,pts.home,Minnesota
2:26.0,,,15-23,,T. Jones enters the game for R. Rubio
2:19.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,18-23,,
2:03.0,,,18-23,,T. Jones misses 3-pt shot from 23 ft
2:02.0,Defensive rebound by J. Anderson,,18-23,,
1:49.0,D. Harris misses 3-pt shot from 24 ft,,18-23,,
1:48.0,,,18-23,,Defensive rebound by A. Wiggins
1:36.0,,,18-23,,S. Muhammad misses 3-pt shot from 22 ft
1:35.0,Defensive rebound by D. Nowitzki,,18-23,,
1:27.0,Turnover by D. Lee (lost ball; steal by A. Wiggins),,18-23,,
1:22.0,,,18-25,2,A. Wiggins makes 2-pt shot from 2 ft
1:09.0,,,18-25,,Personal foul by N. Bjelica
1:04.0,Shooting foul by T. Jones (drawn by J. Barea),,18-25,,
1:04.0,J. Barea makes free throw 1 of 2,1,19-25,,
1:04.0,J. Barea makes free throw 2 of 2,1,20-25,,
0:44.0,,,20-27,2,A. Wiggins makes 2-pt shot from 19 ft (assist by K. Towns)
0:35.0,J. Barea makes 2-pt shot from 19 ft,2,22-27,,
0:21.0,,,22-27,,N. Bjelica misses 2-pt shot from 3 ft
0:20.0,Defensive rebound by D. Lee,,22-27,,
0:02.0,D. Nowitzki misses 3-pt shot from 23 ft,,22-27,,
0:01.0,,,22-27,,Defensive rebound by K. Towns
0:00.0,,,22-27,,K. Towns misses 3-pt shot from 46 ft
0:00.0,,,22-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,22-27,,K. Towns misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by Team,,22-27,,
11:38.0,,,22-27,,Loose ball foul by N. Bjelica
11:20.0,D. Nowitzki misses 2-pt shot from 13 ft,,22-27,,
11:17.0,Offensive rebound by J. Anderson,,22-27,,
11:17.0,J. Anderson makes 2-pt shot at rim,2,24-27,,
10:59.0,,,24-27,,Z. LaVine misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by S. Mejri,,24-27,,
10:45.0,D. Harris misses 3-pt shot from 24 ft,,24-27,,
10:44.0,,,24-27,,Defensive rebound by Z. LaVine
10:39.0,,,24-27,,Offensive charge foul by Z. LaVine
10:39.0,,,24-27,,Turnover by Z. LaVine (offensive foul)
10:17.0,D. Nowitzki misses 3-pt shot from 22 ft,,24-27,,
10:16.0,Offensive rebound by S. Mejri,,24-27,,
10:13.0,D. Nowitzki misses 3-pt shot from 25 ft,,24-27,,
10:12.0,,,24-27,,Defensive rebound by K. Towns
10:06.0,,,24-27,,Z. LaVine misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by J. Anderson,,24-27,,
9:51.0,D. Harris misses 2-pt shot at rim (block by K. Towns),,24-27,,
9:49.0,,,24-27,,Defensive rebound by T. Jones
9:42.0,,,24-27,,Turnover by Z. LaVine (step out of bounds)
9:42.0,W. Matthews enters the game for D. Harris,,24-27,,
9:30.0,J. Anderson makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,26-27,,
9:30.0,Shooting foul by N. Bjelica (drawn by J. Anderson),,26-27,,
9:30.0,,,26-27,,R. Rubio enters the game for T. Jones
9:30.0,J. Anderson makes free throw 1 of 1,1,27-27,,
9:22.0,Personal foul by J. Barea,,27-27,,
9:22.0,,,27-27,,A. Payne enters the game for N. Bjelica
9:15.0,,,27-27,,A. Payne misses 2-pt shot from 7 ft
9:13.0,Defensive rebound by J. Anderson,,27-27,,
9:06.0,Shooting foul by Z. LaVine (drawn by W. Matthews),,27-27,,
9:06.0,W. Matthews makes free throw 1 of 2,1,28-27,,
9:06.0,W. Matthews misses free throw 2 of 2,,28-27,,
9:06.0,,,28-27,,Defensive rebound by K. Towns
8:50.0,,,28-30,3,Z. LaVine makes 3-pt shot from 27 ft (assist by S. Muhammad)
8:30.0,J. Barea makes 3-pt shot from 24 ft,3,31-30,,
8:11.0,,,31-30,,Turnover by R. Rubio (bad pass)
8:11.0,Dallas full timeout,,31-30,,
8:11.0,Dallas full timeout,,31-30,,
7:59.0,Turnover by D. Nowitzki (lost ball; steal by S. Muhammad),,31-30,,
7:47.0,,,31-32,2,A. Payne makes 2-pt shot at rim (assist by K. Towns)
7:34.0,J. Barea misses 3-pt shot from 24 ft,,31-32,,
7:33.0,,,31-32,,Defensive rebound by S. Muhammad
7:27.0,,,31-32,,Offensive foul by A. Payne
7:27.0,,,31-32,,Turnover by A. Payne (offensive foul)
7:27.0,D. Powell enters the game for J. Anderson,,31-32,,
7:27.0,D. Lee enters the game for D. Nowitzki,,31-32,,
7:27.0,R. Felton enters the game for J. Barea,,31-32,,
7:27.0,D. Harris enters the game for S. Mejri,,31-32,,
7:08.0,D. Lee makes 2-pt shot at rim (assist by W. Matthews),2,33-32,,
6:54.0,Personal block foul by D. Lee,,33-32,,
6:47.0,,,33-32,,A. Wiggins enters the game for S. Muhammad
6:45.0,,,33-32,,Shooting foul by R. Felton (drawn by A. Wiggins)
6:45.0,,,33-33,1,A. Wiggins makes free throw 1 of 2
6:45.0,,,33-34,1,A. Wiggins makes free throw 2 of 2
6:29.0,D. Powell misses 2-pt shot from 19 ft,,33-34,,
6:27.0,,,33-34,,Defensive rebound by K. Towns
6:11.0,Personal foul by D. Lee,,33-34,,
6:01.0,,,33-34,,R. Rubio misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by W. Matthews,,33-34,,
5:49.0,,,33-34,,Personal foul by K. Towns
5:42.0,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton),3,36-34,,
5:30.0,,,36-36,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
5:06.0,Shooting foul by A. Payne (drawn by D. Harris),,36-36,,
5:06.0,D. Harris makes free throw 1 of 2,1,37-36,,
5:06.0,D. Harris makes free throw 2 of 2,1,38-36,,
4:49.0,,,38-36,,R. Rubio misses 3-pt shot from 23 ft
4:48.0,Defensive rebound by D. Harris,,38-36,,
4:35.0,W. Matthews makes 3-pt shot from 22 ft (assist by R. Felton),3,41-36,,
4:20.0,,,41-36,,A. Wiggins misses 2-pt shot from 17 ft
4:17.0,,,41-36,,Offensive rebound by A. Payne
4:17.0,,,41-38,2,A. Payne makes 2-pt shot at rim
3:56.0,D. Harris misses 2-pt shot from 8 ft,,41-38,,
3:55.0,,,41-38,,Defensive rebound by K. Towns
3:48.0,,,41-38,,G. Dieng enters the game for A. Payne
3:48.0,D. Nowitzki enters the game for D. Powell,,41-38,,
3:48.0,S. Mejri enters the game for D. Lee,,41-38,,
3:48.0,J. Barea enters the game for R. Felton,,41-38,,
3:35.0,,,41-38,,G. Dieng misses 2-pt shot from 13 ft
3:33.0,,,41-38,,Offensive rebound by K. Towns
3:27.0,,,41-38,,Z. LaVine misses 2-pt shot from 1 ft
3:26.0,Defensive rebound by S. Mejri,,41-38,,
3:14.0,,,41-38,,Personal foul by Z. LaVine
3:14.0,J. Barea misses free throw 1 of 2,,41-38,,
3:14.0,Offensive rebound by Team,,41-38,,
3:14.0,,,41-38,,S. Muhammad enters the game for Z. LaVine
3:14.0,R. Felton enters the game for D. Harris,,41-38,,
3:14.0,J. Barea misses free throw 2 of 2,,41-38,,
3:14.0,,,41-38,,Defensive rebound by K. Towns
2:54.0,,,41-38,,Turnover by R. Rubio (lost ball)
2:54.0,,,41-38,,Minnesota full timeout
2:33.0,R. Felton misses 2-pt shot from 17 ft,,41-38,,
2:32.0,,,41-38,,Defensive rebound by Team
2:16.0,,,41-38,,R. Rubio misses 2-pt shot at rim (block by S. Mejri)
2:14.0,,,41-38,,Offensive rebound by K. Towns
2:10.0,,,41-38,,A. Wiggins misses 2-pt shot from 18 ft
2:09.0,,,41-38,,Offensive rebound by S. Muhammad
1:55.0,,,41-38,,S. Muhammad misses 2-pt shot from 7 ft
1:53.0,,,41-38,,Offensive rebound by Team
1:43.0,,,41-38,,K. Towns misses 2-pt shot from 1 ft (block by R. Felton)
1:41.0,Defensive rebound by R. Felton,,41-38,,
1:36.0,W. Matthews misses 3-pt shot from 24 ft,,41-38,,
1:34.0,,,41-38,,Defensive rebound by S. Muhammad
1:21.0,,,41-38,,S. Muhammad misses 2-pt shot from 7 ft
1:19.0,Defensive rebound by R. Felton,,41-38,,
1:04.0,Turnover by R. Felton (lost ball; steal by A. Wiggins),,41-38,,
0:48.0,,,41-38,,S. Muhammad misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by J. Barea,,41-38,,
0:37.0,J. Barea misses 3-pt shot from 25 ft,,41-38,,
0:36.0,Offensive rebound by S. Mejri,,41-38,,
0:18.0,R. Felton misses 3-pt shot from 25 ft,,41-38,,
0:17.0,Offensive rebound by S. Mejri,,41-38,,
0:13.0,J. Barea misses 2-pt shot from 21 ft,,41-38,,
0:12.0,,,41-38,,Defensive rebound by K. Towns
0:08.0,Personal foul by S. Mejri,,41-38,,
0:08.0,,,41-39,1,R. Rubio makes free throw 1 of 2
0:08.0,D. Harris enters the game for R. Felton,,41-39,,
0:08.0,,,41-40,1,R. Rubio makes free throw 2 of 2
0:01.0,D. Nowitzki misses 3-pt shot from 24 ft,,41-40,,
0:00.0,Offensive rebound by W. Matthews,,41-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,41-42,2,K. Towns makes 2-pt shot from 2 ft
11:25.0,Shooting foul by Z. LaVine (drawn by D. Nowitzki),,41-42,,
11:25.0,D. Nowitzki makes free throw 1 of 2,1,42-42,,
11:25.0,,,42-42,,T. Prince enters the game for Z. LaVine
11:25.0,D. Nowitzki makes free throw 2 of 2,1,43-42,,
11:12.0,,,43-42,,K. Towns misses 2-pt shot from 19 ft
11:11.0,Defensive rebound by J. Anderson,,43-42,,
10:59.0,S. Mejri misses 2-pt shot from 6 ft,,43-42,,
10:56.0,,,43-42,,Defensive rebound by G. Dieng
10:35.0,,,43-44,2,A. Wiggins makes 2-pt shot from 7 ft
10:27.0,,,43-44,,Personal foul by G. Dieng
10:21.0,D. Nowitzki misses 3-pt shot from 24 ft,,43-44,,
10:20.0,,,43-44,,Defensive rebound by K. Towns
10:16.0,,,43-44,,Shooting foul by W. Matthews (drawn by G. Dieng)
10:16.0,,,43-45,1,G. Dieng makes free throw 1 of 2
10:16.0,,,43-46,1,G. Dieng makes free throw 2 of 2
9:59.0,D. Nowitzki misses 2-pt shot from 15 ft,,43-46,,
9:58.0,,,43-46,,Defensive rebound by K. Towns
9:51.0,,,43-48,2,R. Rubio makes 2-pt shot from 18 ft
9:50.0,Dallas full timeout,,43-48,,
9:50.0,Z. Pachulia enters the game for S. Mejri,,43-48,,
9:31.0,W. Matthews misses 3-pt shot from 26 ft,,43-48,,
9:29.0,Offensive rebound by J. Anderson,,43-48,,
9:20.0,J. Barea makes 3-pt shot from 25 ft,3,46-48,,
8:58.0,,,46-48,,Shooting foul by Z. Pachulia (drawn by R. Rubio)
8:58.0,,,46-49,1,R. Rubio makes free throw 1 of 2
8:58.0,,,46-50,1,R. Rubio makes free throw 2 of 2
8:46.0,J. Barea makes 2-pt shot at rim (assist by Z. Pachulia),2,48-50,,
8:21.0,,,48-52,2,G. Dieng makes 2-pt shot from 14 ft (assist by A. Wiggins)
8:08.0,Turnover by J. Barea (lost ball; steal by R. Rubio),,48-52,,
8:05.0,Personal foul by Z. Pachulia,,48-52,,
8:05.0,D. Harris enters the game for J. Anderson,,48-52,,
7:52.0,,,48-52,,G. Dieng misses 2-pt shot from 6 ft
7:51.0,Defensive rebound by D. Nowitzki,,48-52,,
7:42.0,J. Barea misses 2-pt shot from 7 ft,,48-52,,
7:41.0,Offensive rebound by Z. Pachulia,,48-52,,
7:29.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Harris),3,51-52,,
7:29.0,,,51-52,,Minnesota full timeout
7:15.0,,,51-54,2,A. Wiggins makes 2-pt shot from 21 ft (assist by K. Towns)
7:01.0,Turnover by Z. Pachulia (lost ball; steal by G. Dieng),,51-54,,
6:56.0,,,51-54,,K. Towns misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by Z. Pachulia,,51-54,,
6:38.0,Shooting foul by R. Rubio (drawn by D. Nowitzki),,51-54,,
6:38.0,D. Nowitzki misses free throw 1 of 2,,51-54,,
6:38.0,Offensive rebound by Team,,51-54,,
6:38.0,D. Nowitzki makes free throw 2 of 2,1,52-54,,
6:20.0,,,52-54,,Turnover by A. Wiggins (bad pass)
6:09.0,,,52-54,,Personal foul by K. Towns
6:01.0,J. Barea misses 2-pt shot from 14 ft,,52-54,,
5:57.0,Jump ball: G. Dieng vs. Z. Pachulia (T. Prince gains possession),,,,Jump ball: G. Dieng vs. Z. Pachulia (T. Prince gains possession)
5:56.0,,,52-54,,Defensive rebound by Team
5:54.0,,,52-54,,Turnover by K. Towns (lost ball; steal by J. Barea)
5:40.0,W. Matthews misses 3-pt shot from 24 ft,,52-54,,
5:37.0,Offensive rebound by Z. Pachulia,,52-54,,
5:33.0,D. Nowitzki misses 3-pt shot from 24 ft,,52-54,,
5:32.0,,,52-54,,Defensive rebound by Team
5:32.0,,,52-54,,N. Bjelica enters the game for G. Dieng
5:20.0,,,52-56,2,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns)
5:20.0,,,52-56,,Shooting foul by D. Nowitzki (drawn by N. Bjelica)
5:20.0,R. Felton enters the game for J. Barea,,52-56,,
5:20.0,D. Lee enters the game for D. Nowitzki,,52-56,,
5:20.0,,,52-57,1,N. Bjelica makes free throw 1 of 1
4:59.0,D. Lee makes 2-pt shot from 8 ft,2,54-57,,
4:47.0,,,54-57,,A. Wiggins misses 2-pt shot from 19 ft
4:45.0,Jump ball: Z. Pachulia vs. K. Towns (A. Wiggins gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (A. Wiggins gains possession)
4:45.0,,,54-57,,Offensive rebound by Team
4:37.0,,,54-57,,A. Wiggins misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by D. Harris,,54-57,,
4:26.0,Shooting foul by R. Rubio (drawn by D. Lee),,54-57,,
4:26.0,D. Lee misses free throw 1 of 2,,54-57,,
4:26.0,Offensive rebound by Team,,54-57,,
4:26.0,D. Lee misses free throw 2 of 2,,54-57,,
4:26.0,,,54-57,,Defensive rebound by T. Prince
4:12.0,,,54-57,,Turnover by T. Prince (traveling)
4:01.0,W. Matthews makes 3-pt shot from 25 ft,3,57-57,,
3:40.0,,,57-57,,R. Rubio misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by D. Lee,,57-57,,
3:21.0,Turnover by R. Felton (lost ball; steal by T. Prince),,57-57,,
3:08.0,Personal foul by Z. Pachulia,,57-57,,
3:08.0,,,57-58,1,A. Wiggins makes free throw 1 of 2
3:08.0,,,57-58,,T. Jones enters the game for R. Rubio
3:08.0,,,57-58,,S. Muhammad enters the game for T. Prince
3:08.0,S. Mejri enters the game for Z. Pachulia,,57-58,,
3:08.0,,,57-59,1,A. Wiggins makes free throw 2 of 2
2:54.0,D. Harris makes 3-pt shot from 24 ft (assist by D. Lee),3,60-59,,
2:33.0,,,60-59,,Turnover by K. Towns (lost ball; steal by W. Matthews)
2:27.0,D. Lee makes 2-pt shot from 1 ft (assist by D. Harris),2,62-59,,
2:13.0,,,62-59,,Shooting foul by D. Harris (drawn by S. Muhammad)
2:13.0,,,62-59,,S. Muhammad misses free throw 1 of 2
2:13.0,,,62-59,,Offensive rebound by Team
2:13.0,,,62-60,1,S. Muhammad makes free throw 2 of 2
1:51.0,R. Felton misses 3-pt shot from 24 ft,,62-60,,
1:49.0,Offensive rebound by D. Lee,,62-60,,
1:46.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lee),3,65-60,,
1:27.0,,,65-60,,N. Bjelica misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by R. Felton,,65-60,,
1:13.0,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton),3,68-60,,
0:55.0,,,68-60,,A. Wiggins misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by D. Lee,,68-60,,
0:34.0,R. Felton misses 3-pt shot from 24 ft,,68-60,,
0:32.0,,,68-60,,Defensive rebound by K. Towns
0:24.0,,,68-62,2,K. Towns makes 2-pt shot at rim (assist by N. Bjelica)
0:06.0,W. Matthews misses 3-pt shot from 23 ft,,68-62,,
0:04.0,,,68-62,,Defensive rebound by K. Towns
0:00.0,Personal foul by D. Lee,,68-62,,
0:00.0,,,68-62,,T. Jones misses free throw 1 of 2
0:00.0,,,68-62,,Offensive rebound by Team
0:00.0,,,68-63,1,T. Jones makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,D. Nowitzki misses 3-pt shot from 24 ft,,68-63,,
11:35.0,Offensive rebound by J. Anderson,,68-63,,
11:19.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Harris),2,70-63,,
11:03.0,,,70-63,,Z. LaVine misses 3-pt shot from 24 ft
11:01.0,,,70-63,,Offensive rebound by G. Dieng
10:56.0,,,70-63,,Turnover by Z. LaVine (lost ball; steal by J. Anderson)
10:53.0,J. Anderson makes 2-pt shot at rim,2,72-63,,
10:30.0,,,72-63,,G. Dieng misses 2-pt shot from 15 ft
10:29.0,Defensive rebound by J. Anderson,,72-63,,
10:18.0,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea),3,75-63,,
10:17.0,,,75-63,,Minnesota full timeout
10:17.0,,,75-63,,R. Rubio enters the game for T. Jones
10:17.0,,,75-63,,A. Wiggins enters the game for S. Muhammad
10:17.0,,,75-63,,K. Towns enters the game for N. Bjelica
10:00.0,,,75-63,,G. Dieng misses 2-pt shot from 1 ft (block by J. Anderson)
9:58.0,Defensive rebound by Z. Pachulia,,75-63,,
9:39.0,D. Harris misses 2-pt shot at rim,,75-63,,
9:37.0,Offensive rebound by Z. Pachulia,,75-63,,
9:37.0,Z. Pachulia makes 2-pt shot from 1 ft,2,77-63,,
9:21.0,,,77-63,,A. Wiggins misses 2-pt shot from 1 ft
9:20.0,Defensive rebound by J. Anderson,,77-63,,
9:00.0,D. Nowitzki misses 3-pt shot from 24 ft,,77-63,,
8:58.0,,,77-63,,Defensive rebound by K. Towns
8:43.0,,,77-63,,A. Wiggins misses 2-pt shot from 18 ft
8:41.0,,,77-63,,Offensive rebound by Team
8:41.0,,,77-63,,A. Payne enters the game for G. Dieng
8:30.0,,,77-63,,Turnover by K. Towns (lost ball; steal by D. Harris)
8:25.0,D. Harris makes 2-pt shot at rim,2,79-63,,
8:00.0,,,79-65,2,A. Wiggins makes 2-pt shot from 18 ft (assist by K. Towns)
7:39.0,J. Barea misses 3-pt shot from 25 ft,,79-65,,
7:38.0,,,79-65,,Defensive rebound by K. Towns
7:27.0,,,79-65,,Z. LaVine misses 3-pt shot from 24 ft
7:26.0,Defensive rebound by Z. Pachulia,,79-65,,
7:20.0,Dallas full timeout,,79-65,,
7:20.0,R. Felton enters the game for D. Harris,,79-65,,
7:20.0,D. Lee enters the game for D. Nowitzki,,79-65,,
7:11.0,J. Anderson makes 2-pt shot from 1 ft (assist by J. Barea),2,81-65,,
6:43.0,,,81-65,,A. Payne misses 2-pt shot from 21 ft
6:42.0,Defensive rebound by J. Anderson,,81-65,,
6:18.0,J. Barea misses 3-pt shot from 24 ft,,81-65,,
6:17.0,,,81-65,,Defensive rebound by K. Towns
6:06.0,,,81-65,,Z. LaVine misses 3-pt shot from 22 ft
6:05.0,Defensive rebound by J. Barea,,81-65,,
6:00.0,R. Felton makes 2-pt shot at rim (assist by J. Barea),2,83-65,,
5:42.0,,,83-67,2,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio)
5:42.0,,,83-67,,Shooting foul by J. Anderson (drawn by Z. LaVine)
5:42.0,D. Harris enters the game for J. Barea,,83-67,,
5:42.0,,,83-68,1,Z. LaVine makes free throw 1 of 1
5:25.0,Turnover by R. Felton (lost ball; steal by K. Towns),,83-68,,
5:10.0,,,83-71,3,A. Wiggins makes 3-pt shot from 25 ft (assist by Z. LaVine)
5:09.0,Dallas full timeout,,83-71,,
5:09.0,D. Nowitzki enters the game for D. Lee,,83-71,,
5:09.0,W. Matthews enters the game for J. Anderson,,83-71,,
5:09.0,J. Barea enters the game for R. Felton,,83-71,,
4:52.0,D. Harris makes 2-pt shot at rim,2,85-71,,
4:43.0,,,85-71,,Minnesota full timeout
4:26.0,,,85-71,,Turnover by Team (shot clock)
4:09.0,Shooting foul by Z. LaVine (drawn by D. Harris),,85-71,,
4:09.0,,,85-71,,T. Jones enters the game for R. Rubio
4:09.0,D. Harris makes free throw 1 of 2,1,86-71,,
4:09.0,D. Harris misses free throw 2 of 2,,86-71,,
4:09.0,,,86-71,,Defensive rebound by A. Payne
3:56.0,,,86-71,,A. Wiggins misses 2-pt shot from 15 ft
3:55.0,Defensive rebound by D. Nowitzki,,86-71,,
3:39.0,D. Harris misses 2-pt shot from 22 ft,,86-71,,
3:38.0,,,86-71,,Defensive rebound by A. Wiggins
3:27.0,,,86-74,3,Z. LaVine makes 3-pt shot from 24 ft (assist by A. Wiggins)
3:10.0,D. Nowitzki misses 2-pt shot from 15 ft,,86-74,,
3:08.0,Offensive rebound by Z. Pachulia,,86-74,,
2:55.0,Offensive charge foul by Z. Pachulia,,86-74,,
2:55.0,Turnover by Z. Pachulia (offensive foul),,86-74,,
2:33.0,,,86-76,2,A. Wiggins makes 2-pt shot at rim
2:15.0,J. Barea misses 2-pt shot from 12 ft,,86-76,,
2:14.0,,,86-76,,Defensive rebound by A. Payne
1:51.0,,,86-76,,K. Towns misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by Z. Pachulia,,86-76,,
1:29.0,D. Nowitzki misses 2-pt shot from 17 ft,,86-76,,
1:28.0,,,86-76,,Defensive rebound by K. Towns
1:21.0,,,86-78,2,A. Wiggins makes 2-pt shot from 1 ft
1:01.0,J. Barea misses 2-pt shot from 3 ft (block by K. Towns),,86-78,,
1:00.0,Offensive rebound by Z. Pachulia,,86-78,,
1:00.0,Z. Pachulia misses 2-pt shot at rim (block by A. Payne),,86-78,,
0:59.0,Offensive rebound by Team,,86-78,,
0:59.0,Jump ball: Z. Pachulia vs. A. Payne (W. Matthews gains possession),,,,Jump ball: Z. Pachulia vs. A. Payne (W. Matthews gains possession)
