time,Atlanta,pts.away,score,pts.home,Boston
6:03.0,Personal foul by J. Teague (drawn by J. Jerebko),,29-32,,
5:51.0,,,29-34,2,R. Hunter makes 2-pt shot from 1 ft
5:29.0,K. Bazemore misses 3-pt shot from 22 ft,,29-34,,
5:28.0,,,29-34,,Defensive rebound by J. Crowder
5:17.0,,,29-34,,J. Jerebko misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by T. Sefolosha,,29-34,,
5:06.0,P. Millsap misses 3-pt shot from 24 ft,,29-34,,
5:05.0,,,29-34,,Defensive rebound by R. Hunter
4:47.0,,,29-34,,Shooting foul by J. Teague (drawn by I. Thomas)
4:47.0,,,29-35,1,I. Thomas makes free throw 1 of 2
4:47.0,,,29-36,1,I. Thomas makes free throw 2 of 2
4:40.0,Offensive foul by P. Millsap,,29-36,,
4:40.0,Turnover by P. Millsap (offensive foul),,29-36,,
4:25.0,,,29-36,,Turnover by I. Thomas (lost ball)
4:15.0,J. Teague misses 2-pt shot from 2 ft,,29-36,,
4:14.0,,,29-36,,Defensive rebound by J. Sullinger
4:09.0,Shooting block foul by P. Millsap (drawn by J. Crowder),,29-36,,
4:09.0,,,29-37,1,J. Crowder makes free throw 1 of 2
4:09.0,,,29-37,,A. Bradley enters the game for R. Hunter
4:09.0,A. Horford enters the game for P. Millsap,,29-37,,
4:09.0,,,29-37,,A. Johnson enters the game for J. Jerebko
4:09.0,,,29-38,1,J. Crowder makes free throw 2 of 2
3:53.0,K. Bazemore misses 2-pt shot from 1 ft,,29-38,,
3:53.0,,,29-38,,Defensive rebound by A. Johnson
3:49.0,Personal block foul by M. Scott (drawn by I. Thomas),,29-38,,
3:49.0,,,29-38,,I. Thomas misses free throw 1 of 2
3:49.0,,,29-38,,Offensive rebound by Team
3:49.0,T. Splitter enters the game for M. Scott,,29-38,,
3:49.0,D. Schroder enters the game for J. Teague,,29-38,,
3:49.0,Atlanta full timeout,,29-38,,
3:49.0,K. Korver enters the game for T. Sefolosha,,29-38,,
3:49.0,,,29-39,1,I. Thomas makes free throw 2 of 2
3:31.0,D. Schroder makes 2-pt shot from 4 ft (assist by A. Horford),2,31-39,,
3:07.0,,,31-39,,I. Thomas misses 2-pt shot from 2 ft (block by A. Horford)
3:06.0,Defensive rebound by K. Korver,,31-39,,
2:50.0,T. Splitter makes 2-pt shot from 1 ft (assist by K. Korver),2,33-39,,
2:35.0,,,33-39,,Turnover by A. Bradley (bad pass; steal by D. Schroder)
2:31.0,D. Schroder makes 2-pt shot at rim,2,35-39,,
2:31.0,,,35-39,,Boston full timeout
2:20.0,Shooting block foul by T. Splitter (drawn by I. Thomas),,35-39,,
2:20.0,,,35-40,1,I. Thomas makes free throw 1 of 2
2:20.0,,,35-40,,E. Turner enters the game for J. Sullinger
2:20.0,,,35-41,1,I. Thomas makes free throw 2 of 2
1:59.0,A. Horford makes 2-pt shot from 8 ft,2,37-41,,
1:44.0,,,37-41,,A. Bradley misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by T. Splitter,,37-41,,
1:35.0,A. Horford misses 2-pt shot from 6 ft,,37-41,,
1:34.0,,,37-41,,Defensive rebound by J. Crowder
1:28.0,,,37-41,,E. Turner misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by T. Splitter,,37-41,,
1:14.0,D. Schroder misses 2-pt shot from 10 ft,,37-41,,
1:14.0,,,37-41,,Defensive rebound by J. Crowder
1:10.0,,,37-41,,Turnover by J. Crowder (traveling)
0:59.0,A. Horford misses 3-pt shot from 24 ft,,37-41,,
0:57.0,,,37-41,,Defensive rebound by E. Turner
0:40.0,,,37-41,,J. Crowder misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by K. Korver,,37-41,,
0:33.0,K. Bazemore makes 2-pt shot from 2 ft,2,39-41,,
0:33.0,,,39-41,,Shooting block foul by I. Thomas (drawn by K. Bazemore)
0:33.0,,,39-41,,J. Sullinger enters the game for A. Johnson
0:33.0,T. Sefolosha enters the game for T. Splitter,,39-41,,
0:33.0,K. Bazemore makes free throw 1 of 1,1,40-41,,
0:22.0,,,40-43,2,J. Sullinger makes 2-pt shot from 19 ft (assist by I. Thomas)
0:22.0,Atlanta full timeout,,40-43,,
0:22.0,M. Scott enters the game for T. Sefolosha,,40-43,,
