time,Indiana,pts.away,score,pts.home,Chicago
2:14.0,,,15-24,2,J. Noah makes 2-pt shot from 2 ft (assist by J. Butler)
2:02.0,P. George makes 2-pt shot from 16 ft,2,17-24,,
1:49.0,,,17-27,3,D. McDermott makes 3-pt shot from 25 ft (assist by J. Noah)
1:27.0,G. Robinson misses 3-pt shot from 22 ft,,17-27,,
1:26.0,,,17-27,,Defensive rebound by K. Hinrich
1:16.0,,,17-29,2,D. McDermott makes 2-pt shot from 2 ft
1:04.0,G. Robinson makes 2-pt shot from 2 ft (assist by L. Allen),2,19-29,,
0:43.0,,,19-29,,K. Hinrich misses 2-pt shot from 2 ft
0:42.0,,,19-29,,Offensive rebound by T. Gibson
0:42.0,,,19-29,,T. Gibson misses 2-pt shot from 2 ft
0:41.0,Defensive rebound by J. Hill,,19-29,,
0:33.0,P. George misses 2-pt shot from 19 ft,,19-29,,
0:31.0,Offensive rebound by J. Hill,,19-29,,
0:30.0,Shooting foul by T. Gibson (drawn by G. Robinson),,19-29,,
0:30.0,G. Robinson makes free throw 1 of 2,1,20-29,,
0:30.0,,,20-29,,N. Mirotic enters the game for T. Gibson
0:30.0,G. Robinson makes free throw 2 of 2,1,21-29,,
0:12.0,,,21-31,2,K. Hinrich makes 2-pt shot from 4 ft
0:01.0,Turnover by P. George (bad pass; steal by K. Hinrich),,21-31,,
0:00.0,,,21-31,,K. Hinrich misses 3-pt shot from 44 ft
0:00.0,,,21-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by D. Rose (drawn by J. Young),,21-31,,
11:50.0,J. Young makes free throw 1 of 2,1,22-31,,
11:50.0,J. Young misses free throw 2 of 2,,22-31,,
11:48.0,,,22-31,,Defensive rebound by T. Gibson
11:26.0,,,22-33,2,T. Gibson makes 2-pt shot at rim (assist by J. Noah)
11:07.0,L. Allen makes 2-pt shot from 3 ft,2,24-33,,
10:49.0,,,24-33,,D. McDermott misses 2-pt shot from 10 ft
10:48.0,Defensive rebound by J. Hill,,24-33,,
10:30.0,Turnover by S. Hill (bad pass; steal by D. Rose),,24-33,,
10:24.0,,,24-35,2,E. Moore makes 2-pt shot from 2 ft
10:01.0,J. Hill misses 2-pt shot from 2 ft (block by T. Gibson),,24-35,,
10:01.0,Offensive rebound by Team,,24-35,,
9:58.0,S. Hill misses 2-pt shot from 11 ft,,24-35,,
9:57.0,,,24-35,,Defensive rebound by T. Gibson
9:48.0,,,24-37,2,T. Gibson makes 2-pt shot from 16 ft (assist by D. Rose)
9:48.0,Indiana full timeout,,24-37,,
9:48.0,M. Ellis enters the game for J. Young,,24-37,,
9:31.0,J. Hill makes 2-pt shot from 6 ft (assist by L. Allen),2,26-37,,
9:18.0,,,26-39,2,J. Noah makes 2-pt shot from 1 ft (assist by T. Gibson)
9:18.0,,,26-39,,Shooting foul by L. Allen (drawn by J. Noah)
9:18.0,,,26-39,,J. Noah misses free throw 1 of 1
9:17.0,Defensive rebound by J. Hill,,26-39,,
9:00.0,S. Hill makes 2-pt shot from 4 ft,2,28-39,,
8:42.0,,,28-39,,J. Noah misses 2-pt shot from 6 ft
8:41.0,Defensive rebound by L. Allen,,28-39,,
8:20.0,J. Hill misses 2-pt shot from 20 ft,,28-39,,
8:19.0,,,28-39,,Defensive rebound by T. Gibson
8:13.0,,,28-41,2,D. Rose makes 2-pt shot from 16 ft
7:49.0,L. Allen makes 2-pt shot from 1 ft (assist by M. Ellis),2,30-41,,
7:49.0,Shooting foul by D. McDermott (drawn by L. Allen),,30-41,,
7:49.0,L. Allen misses free throw 1 of 1,,30-41,,
7:47.0,,,30-41,,Defensive rebound by T. Gibson
7:34.0,,,30-41,,D. McDermott misses 2-pt shot from 20 ft
7:33.0,Defensive rebound by J. Hill,,30-41,,
7:19.0,G. Robinson misses 2-pt shot from 17 ft,,30-41,,
7:18.0,Offensive rebound by L. Allen,,30-41,,
7:11.0,G. Robinson misses 3-pt shot from 24 ft,,30-41,,
7:09.0,Offensive rebound by S. Hill,,30-41,,
7:05.0,G. Robinson misses 2-pt shot from 2 ft (block by T. Gibson),,30-41,,
7:04.0,,,30-41,,Defensive rebound by E. Moore
6:58.0,,,30-41,,D. McDermott misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by J. Hill,,30-41,,
6:47.0,L. Allen misses 2-pt shot from 20 ft,,30-41,,
6:46.0,,,30-41,,Defensive rebound by J. Noah
6:38.0,,,30-41,,D. Rose misses 2-pt shot from 17 ft (block by M. Ellis)
6:35.0,Defensive rebound by M. Ellis,,30-41,,
6:29.0,M. Ellis misses 2-pt shot from 22 ft,,30-41,,
6:27.0,,,30-41,,Defensive rebound by D. McDermott
6:20.0,,,30-41,,Shooting foul by G. Robinson (drawn by T. Gibson)
6:20.0,,,30-42,1,T. Gibson makes free throw 1 of 2
6:20.0,I. Mahinmi enters the game for L. Allen,,30-42,,
6:20.0,,,30-42,,J. Butler enters the game for J. Noah
6:20.0,,,30-42,,T. Snell enters the game for D. McDermott
6:20.0,,,30-42,,P. Gasol enters the game for E. Moore
6:20.0,,,30-42,,T. Gibson misses free throw 2 of 2
6:18.0,Defensive rebound by I. Mahinmi,,30-42,,
6:00.0,I. Mahinmi makes 2-pt shot from 3 ft (assist by M. Ellis),2,32-42,,
5:45.0,,,32-44,2,D. Rose makes 2-pt shot from 19 ft (assist by T. Gibson)
5:24.0,S. Hill misses 3-pt shot from 26 ft,,32-44,,
5:23.0,,,32-44,,Defensive rebound by T. Gibson
5:20.0,,,32-44,,Offensive charge foul by T. Snell
5:20.0,,,32-44,,Turnover by T. Snell (offensive foul)
5:20.0,Indiana full timeout,,32-44,,
5:20.0,P. George enters the game for G. Robinson,,32-44,,
5:05.0,M. Ellis misses 2-pt shot from 20 ft,,32-44,,
5:04.0,,,32-44,,Defensive rebound by T. Snell
4:44.0,,,32-44,,P. Gasol misses 3-pt shot from 23 ft
4:41.0,,,32-44,,Offensive rebound by T. Gibson
4:41.0,,,32-44,,T. Gibson misses 2-pt shot from 1 ft (block by J. Hill)
4:39.0,Defensive rebound by M. Ellis,,32-44,,
4:33.0,P. George makes 3-pt shot from 24 ft (assist by M. Ellis),3,35-44,,
4:06.0,,,35-46,2,J. Butler makes 2-pt shot from 22 ft (assist by T. Snell)
3:40.0,S. Hill misses 3-pt shot from 29 ft,,35-46,,
3:40.0,Offensive rebound by Team,,35-46,,
3:40.0,Turnover by Team (shot clock),,35-46,,
3:27.0,,,35-46,,T. Snell misses 3-pt shot from 26 ft
3:26.0,Defensive rebound by I. Mahinmi,,35-46,,
3:09.0,J. Hill misses 2-pt shot from 2 ft,,35-46,,
3:08.0,,,35-46,,Defensive rebound by T. Gibson
2:53.0,,,35-46,,D. Rose misses 2-pt shot from 12 ft
2:51.0,Defensive rebound by I. Mahinmi,,35-46,,
2:41.0,Turnover by P. George (bad pass; steal by T. Snell),,35-46,,
2:32.0,,,35-48,2,P. Gasol makes 2-pt shot from 19 ft (assist by T. Gibson)
2:32.0,Indiana full timeout,,35-48,,
2:32.0,,,35-48,,Chicago full timeout
2:32.0,,,35-48,,N. Mirotic enters the game for T. Gibson
2:32.0,C. Miles enters the game for J. Hill,,35-48,,
2:22.0,M. Ellis misses 2-pt shot from 13 ft,,35-48,,
2:21.0,,,35-48,,Defensive rebound by P. Gasol
2:02.0,,,35-48,,Turnover by J. Butler (bad pass; steal by C. Miles)
1:51.0,C. Miles misses 2-pt shot from 3 ft (block by P. Gasol),,35-48,,
1:50.0,Offensive rebound by Team,,35-48,,
1:50.0,,,35-48,,Personal foul by J. Butler (drawn by I. Mahinmi)
1:50.0,C. Budinger enters the game for S. Hill,,35-48,,
1:41.0,C. Miles makes 3-pt shot from 26 ft (assist by I. Mahinmi),3,38-48,,
1:29.0,,,38-48,,D. Rose misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by Team,,38-48,,
1:12.0,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis),3,41-48,,
0:50.0,,,41-48,,P. Gasol misses 2-pt shot from 10 ft
0:49.0,Defensive rebound by I. Mahinmi,,41-48,,
0:44.0,C. Budinger misses 2-pt shot from 1 ft (block by T. Snell),,41-48,,
0:42.0,Offensive rebound by M. Ellis,,41-48,,
0:42.0,M. Ellis makes 2-pt shot from 3 ft,2,43-48,,
0:42.0,,,43-48,,Chicago full timeout
0:37.0,,,43-50,2,P. Gasol makes 2-pt shot from 3 ft (assist by D. Rose)
0:37.0,,,43-50,,Shooting foul by I. Mahinmi (drawn by P. Gasol)
0:37.0,,,43-50,,K. Hinrich enters the game for J. Butler
0:37.0,,,43-50,,P. Gasol misses free throw 1 of 1
0:36.0,Defensive rebound by I. Mahinmi,,43-50,,
0:27.0,Turnover by P. George (bad pass; steal by K. Hinrich),,43-50,,
0:27.0,Loose ball foul by C. Budinger (drawn by K. Hinrich),,43-50,,
0:27.0,,,43-50,,K. Hinrich misses free throw 1 of 2
0:27.0,,,43-50,,Offensive rebound by Team
0:27.0,,,43-50,,J. Noah enters the game for N. Mirotic
0:27.0,,,43-50,,T. Gibson enters the game for P. Gasol
0:27.0,,,43-51,1,K. Hinrich makes free throw 2 of 2
0:09.0,M. Ellis makes 2-pt shot from 1 ft (assist by P. George),2,45-51,,
0:03.0,,,45-51,,K. Hinrich misses 2-pt shot from 1 ft (block by I. Mahinmi)
0:03.0,,,45-51,,Offensive rebound by Team
0:03.0,,,45-51,,P. Gasol enters the game for J. Noah
0:03.0,,,45-51,,N. Mirotic enters the game for T. Gibson
0:03.0,,,45-51,,J. Butler enters the game for K. Hinrich
0:03.0,L. Allen enters the game for C. Miles,,45-51,,
0:00.0,Personal foul by M. Ellis (drawn by J. Butler),,45-51,,
0:00.0,,,45-52,1,J. Butler makes free throw 1 of 2
0:00.0,,,45-53,1,J. Butler makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,P. George misses 2-pt shot from 15 ft,,45-53,,
11:46.0,,,45-53,,Defensive rebound by D. Rose
11:43.0,,,45-53,,Shooting foul by P. George (drawn by J. Butler)
11:43.0,,,45-53,,J. Butler misses free throw 1 of 2
11:43.0,,,45-53,,Offensive rebound by Team
11:43.0,,,45-54,1,J. Butler makes free throw 2 of 2
11:29.0,M. Ellis misses 2-pt shot from 15 ft,,45-54,,
11:28.0,,,45-54,,Defensive rebound by N. Mirotic
11:17.0,Violation by M. Ellis (kicked ball),,45-54,,
11:05.0,,,45-54,,N. Mirotic misses 3-pt shot from 22 ft
11:03.0,Defensive rebound by C. Budinger,,45-54,,
10:46.0,P. George misses 3-pt shot from 24 ft,,45-54,,
10:44.0,,,45-54,,Defensive rebound by T. Snell
10:39.0,,,45-56,2,J. Butler makes 2-pt shot from 19 ft (assist by T. Snell)
10:25.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by P. George),2,47-56,,
10:03.0,,,47-56,,P. Gasol misses 2-pt shot from 15 ft
10:02.0,Defensive rebound by P. George,,47-56,,
9:55.0,M. Ellis misses 2-pt shot from 3 ft,,47-56,,
9:54.0,,,47-56,,Defensive rebound by P. Gasol
9:48.0,,,47-58,2,D. Rose makes 2-pt shot from 13 ft (assist by P. Gasol)
9:30.0,C. Miles makes 2-pt shot from 17 ft,2,49-58,,
9:20.0,,,49-58,,Turnover by P. Gasol (bad pass; steal by M. Ellis)
9:17.0,M. Ellis makes 2-pt shot at rim,2,51-58,,
9:01.0,,,51-58,,P. Gasol misses 2-pt shot from 17 ft
9:00.0,Defensive rebound by P. George,,51-58,,
8:54.0,P. George misses 2-pt shot from 2 ft,,51-58,,
8:53.0,,,51-58,,Defensive rebound by P. Gasol
8:47.0,,,51-60,2,D. Rose makes 2-pt shot from 12 ft (assist by J. Butler)
8:29.0,C. Budinger misses 3-pt shot from 23 ft,,51-60,,
8:28.0,,,51-60,,Defensive rebound by P. Gasol
8:21.0,,,51-63,3,N. Mirotic makes 3-pt shot from 25 ft (assist by D. Rose)
8:07.0,M. Ellis misses 3-pt shot from 25 ft,,51-63,,
8:05.0,,,51-63,,Defensive rebound by N. Mirotic
7:55.0,,,51-63,,D. Rose misses 2-pt shot from 9 ft
7:54.0,Defensive rebound by I. Mahinmi,,51-63,,
7:49.0,Shooting foul by J. Butler (drawn by C. Miles),,51-63,,
7:49.0,C. Miles misses free throw 1 of 2,,51-63,,
7:49.0,Offensive rebound by Team,,51-63,,
7:49.0,,,51-63,,K. Hinrich enters the game for D. Rose
7:49.0,C. Miles makes free throw 2 of 2,1,52-63,,
7:30.0,,,52-63,,Shooting foul by M. Ellis (drawn by K. Hinrich)
7:30.0,,,52-64,1,K. Hinrich makes free throw 1 of 2
7:30.0,,,52-65,1,K. Hinrich makes free throw 2 of 2
7:07.0,M. Ellis misses 3-pt shot from 25 ft,,52-65,,
7:05.0,,,52-65,,Defensive rebound by J. Butler
7:00.0,Personal foul by C. Miles (drawn by N. Mirotic),,52-65,,
6:49.0,,,52-67,2,K. Hinrich makes 2-pt shot from 19 ft (assist by J. Butler)
6:43.0,Indiana full timeout,,52-67,,
6:31.0,M. Ellis makes 2-pt shot from 2 ft,2,54-67,,
6:19.0,,,54-67,,Shooting foul by P. George (drawn by J. Butler)
6:19.0,,,54-67,,J. Butler misses free throw 1 of 2
6:19.0,,,54-67,,Offensive rebound by Team
6:19.0,,,54-68,1,J. Butler makes free throw 2 of 2
6:07.0,Shooting foul by N. Mirotic (drawn by C. Miles),,54-68,,
6:07.0,C. Miles makes 3-pt shot from 25 ft (assist by P. George),3,57-68,,
6:07.0,C. Miles makes free throw 1 of 1,1,58-68,,
5:58.0,Personal foul by M. Ellis (drawn by N. Mirotic),,58-68,,
5:58.0,,,58-69,1,N. Mirotic makes free throw 1 of 2
5:58.0,,,58-69,,N. Mirotic misses free throw 2 of 2
5:57.0,Defensive rebound by C. Miles,,58-69,,
5:50.0,M. Ellis makes 2-pt shot from 19 ft,2,60-69,,
5:36.0,,,60-69,,T. Gibson enters the game for T. Snell
5:36.0,,,60-69,,D. McDermott enters the game for N. Mirotic
5:36.0,L. Allen enters the game for C. Miles,,60-69,,
5:36.0,,,60-69,,Turnover by K. Hinrich (turnover)
5:25.0,P. George makes 3-pt shot from 23 ft (assist by M. Ellis),3,63-69,,
5:24.0,,,63-69,,Chicago full timeout
5:15.0,,,63-71,2,J. Butler makes 2-pt shot at rim (assist by P. Gasol)
5:04.0,,,63-71,,Personal foul by K. Hinrich (drawn by I. Mahinmi)
5:04.0,,,63-71,,J. Noah enters the game for P. Gasol
4:58.0,Turnover by I. Mahinmi (bad pass; steal by J. Butler),,63-71,,
4:47.0,,,63-73,2,J. Butler makes 2-pt shot from 16 ft
4:39.0,Turnover by M. Ellis (bad pass; steal by J. Butler),,63-73,,
4:29.0,,,63-73,,T. Gibson misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by I. Mahinmi,,63-73,,
4:23.0,M. Ellis makes 2-pt shot from 1 ft,2,65-73,,
4:00.0,,,65-73,,D. McDermott misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by C. Budinger,,65-73,,
3:53.0,M. Ellis misses 2-pt shot from 1 ft,,65-73,,
3:49.0,Offensive rebound by P. George,,65-73,,
3:41.0,J. Young enters the game for C. Budinger,,65-73,,
3:41.0,G. Robinson enters the game for I. Mahinmi,,65-73,,
3:41.0,J. Hill enters the game for M. Ellis,,65-73,,
3:39.0,Shooting foul by J. Butler (drawn by P. George),,65-73,,
3:39.0,P. George misses free throw 1 of 2,,65-73,,
3:39.0,Offensive rebound by Team,,65-73,,
3:39.0,,,65-73,,T. Snell enters the game for J. Butler
3:39.0,P. George makes free throw 2 of 2,1,66-73,,
3:24.0,,,66-73,,Shooting foul by G. Robinson (drawn by D. McDermott)
3:24.0,,,66-74,1,D. McDermott makes free throw 1 of 2
3:24.0,,,66-74,,D. Rose enters the game for K. Hinrich
3:24.0,,,66-75,1,D. McDermott makes free throw 2 of 2
3:11.0,P. George makes 2-pt shot from 1 ft (assist by J. Hill),2,68-75,,
2:56.0,,,68-77,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
2:37.0,J. Young makes 2-pt shot from 17 ft,2,70-77,,
2:24.0,,,70-77,,D. Rose misses 2-pt shot from 6 ft
2:22.0,Defensive rebound by J. Young,,70-77,,
2:18.0,,,70-77,,Personal foul by T. Gibson (drawn by J. Hill)
2:18.0,J. Hill misses free throw 1 of 2,,70-77,,
2:18.0,Offensive rebound by Team,,70-77,,
2:18.0,J. Hill makes free throw 2 of 2,1,71-77,,
2:09.0,,,71-77,,Turnover by T. Gibson (lost ball)
1:51.0,P. George misses 2-pt shot from 22 ft,,71-77,,
1:50.0,Offensive rebound by J. Hill,,71-77,,
1:50.0,Shooting foul by J. Noah (drawn by J. Hill),,71-77,,
1:50.0,J. Hill makes free throw 1 of 2,1,72-77,,
1:50.0,J. Hill makes free throw 2 of 2,1,73-77,,
1:39.0,,,73-77,,D. Rose misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by Team,,73-77,,
1:24.0,P. George misses 2-pt shot from 2 ft (block by T. Gibson),,73-77,,
1:23.0,,,73-77,,Defensive rebound by J. Noah
1:14.0,,,73-77,,D. McDermott misses 2-pt shot from 3 ft
1:13.0,,,73-77,,Offensive rebound by T. Gibson
1:06.0,Personal foul by P. George (drawn by T. Gibson),,73-77,,
1:06.0,,,73-77,,T. Gibson misses free throw 1 of 2
1:06.0,,,73-77,,Offensive rebound by Team
1:06.0,S. Hill enters the game for P. George,,73-77,,
1:06.0,,,73-77,,T. Gibson misses free throw 2 of 2
1:05.0,Defensive rebound by J. Hill,,73-77,,
0:52.0,Shooting foul by D. Rose (drawn by J. Young),,73-77,,
0:52.0,J. Young makes free throw 1 of 2,1,74-77,,
0:52.0,J. Young makes free throw 2 of 2,1,75-77,,
0:40.0,,,75-77,,Shooting foul by J. Hill (drawn by D. Rose)
0:40.0,,,75-78,1,D. Rose makes free throw 1 of 2
0:40.0,,,75-79,1,D. Rose makes free throw 2 of 2
0:28.0,G. Robinson misses 2-pt shot from 18 ft,,75-79,,
0:26.0,,,75-79,,Defensive rebound by J. Noah
0:20.0,,,75-79,,T. Snell misses 2-pt shot from 18 ft
0:18.0,Defensive rebound by J. Hill,,75-79,,
0:00.0,J. Hill misses 2-pt shot from 20 ft,,75-79,,
0:00.0,Offensive rebound by Team,,75-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,Personal foul by G. Robinson (drawn by D. McDermott),,75-79,,
11:47.0,,,75-81,2,D. McDermott makes 2-pt shot from 1 ft (assist by J. Noah)
11:29.0,J. Young misses 3-pt shot from 23 ft,,75-81,,
11:28.0,,,75-81,,Defensive rebound by E. Moore
11:20.0,,,75-81,,D. Rose misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by G. Robinson,,75-81,,
11:13.0,G. Robinson misses 2-pt shot from 11 ft (block by D. McDermott),,75-81,,
11:11.0,Offensive rebound by J. Hill,,75-81,,
10:56.0,S. Hill makes 2-pt shot from 10 ft,2,77-81,,
10:40.0,,,77-83,2,D. Rose makes 2-pt shot from 2 ft (assist by J. Noah)
10:26.0,L. Allen misses 2-pt shot from 8 ft,,77-83,,
10:24.0,Offensive rebound by J. Hill,,77-83,,
10:23.0,Turnover by J. Hill (lost ball; steal by D. Rose),,77-83,,
10:17.0,,,77-85,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
10:17.0,Indiana full timeout,,77-85,,
10:17.0,M. Ellis enters the game for J. Young,,77-85,,
10:17.0,C. Miles enters the game for G. Robinson,,77-85,,
10:17.0,P. George enters the game for S. Hill,,77-85,,
10:17.0,,,77-85,,J. Butler enters the game for D. McDermott
9:58.0,P. George makes 3-pt shot from 25 ft (assist by J. Hill),3,80-85,,
9:32.0,,,80-85,,E. Moore misses 3-pt shot from 24 ft
9:31.0,,,80-85,,Offensive rebound by D. Rose
9:16.0,,,80-85,,J. Butler misses 2-pt shot from 13 ft
9:15.0,,,80-85,,Offensive rebound by T. Gibson
8:59.0,,,80-88,3,D. Rose makes 3-pt shot from 25 ft (assist by E. Moore)
8:41.0,,,80-88,,Personal foul by D. Rose (drawn by J. Hill)
8:38.0,L. Allen makes 2-pt shot at rim (assist by P. George),2,82-88,,
8:21.0,,,82-88,,J. Noah misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by L. Allen,,82-88,,
8:12.0,J. Hill misses 2-pt shot from 6 ft,,82-88,,
8:10.0,,,82-88,,Defensive rebound by J. Noah
7:56.0,,,82-88,,D. Rose misses 2-pt shot from 16 ft
7:55.0,Defensive rebound by L. Allen,,82-88,,
7:45.0,L. Allen makes 2-pt shot from 19 ft (assist by M. Ellis),2,84-88,,
7:25.0,,,84-88,,J. Noah misses 2-pt shot from 7 ft (block by L. Allen)
7:23.0,Defensive rebound by L. Allen,,84-88,,
7:17.0,J. Hill misses 2-pt shot from 2 ft (block by T. Gibson),,84-88,,
7:16.0,,,84-88,,Defensive rebound by J. Noah
7:09.0,,,84-88,,P. Gasol enters the game for J. Noah
7:02.0,,,84-88,,Shooting foul by M. Ellis (drawn by D. Rose)
7:02.0,,,84-88,,D. Rose misses free throw 1 of 2
7:02.0,,,84-88,,Offensive rebound by Team
7:02.0,,,84-89,1,D. Rose makes free throw 2 of 2
6:48.0,P. George misses 2-pt shot from 19 ft,,84-89,,
6:45.0,Offensive rebound by M. Ellis,,84-89,,
6:42.0,Turnover by P. George (bad pass; steal by E. Moore),,84-89,,
6:28.0,,,84-89,,E. Moore misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by J. Hill,,84-89,,
6:09.0,M. Ellis misses 2-pt shot from 21 ft,,84-89,,
6:08.0,,,84-89,,Defensive rebound by P. Gasol
5:54.0,,,84-89,,J. Butler misses 2-pt shot from 2 ft
5:53.0,,,84-89,,Offensive rebound by P. Gasol
5:53.0,,,84-89,,P. Gasol misses 2-pt shot from 1 ft
5:53.0,,,84-89,,Offensive rebound by P. Gasol
5:53.0,,,84-89,,Shooting foul by L. Allen (drawn by T. Gibson)
5:53.0,,,84-89,,Chicago full timeout
