time,Detroit,pts.away,score,pts.home,Brooklyn
7:51.0,,,10-7,,Shooting foul by M. Morris (drawn by J. Johnson)
7:51.0,,,10-7,,J. Johnson misses free throw 1 of 2
7:51.0,,,10-7,,Offensive rebound by Team
7:51.0,S. Johnson enters the game for M. Morris,,10-7,,
7:51.0,,,10-8,1,J. Johnson makes free throw 2 of 2
7:40.0,Turnover by R. Jackson (bad pass; steal by D. Sloan),,10-8,,
7:36.0,,,10-11,3,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan)
7:11.0,S. Johnson makes 3-pt shot from 24 ft,3,13-11,,
6:56.0,,,13-11,,J. Johnson misses 2-pt shot from 3 ft
6:55.0,Defensive rebound by A. Drummond,,13-11,,
6:48.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by S. Johnson),2,15-11,,
6:48.0,Shooting foul by T. Young (drawn by E. Ilyasova),,15-11,,
6:48.0,,,15-11,,A. Bargnani enters the game for T. Young
6:48.0,E. Ilyasova makes free throw 1 of 1,1,16-11,,
6:26.0,,,16-13,2,W. Ellington makes 2-pt shot from 10 ft (assist by J. Johnson)
6:14.0,R. Jackson misses 2-pt shot from 7 ft,,16-13,,
6:13.0,Offensive rebound by A. Drummond,,16-13,,
6:12.0,A. Drummond makes 2-pt shot from 1 ft,2,18-13,,
6:12.0,Shooting foul by J. Johnson (drawn by A. Drummond),,18-13,,
6:12.0,A. Drummond misses free throw 1 of 1,,18-13,,
6:11.0,,,18-13,,Defensive rebound by B. Lopez
5:59.0,,,18-13,,A. Bargnani misses 2-pt shot from 5 ft
5:58.0,,,18-13,,Offensive rebound by B. Lopez
5:56.0,,,18-15,2,B. Lopez makes 2-pt shot from 1 ft
5:48.0,R. Jackson misses 2-pt shot from 7 ft,,18-15,,
5:47.0,,,18-15,,Defensive rebound by B. Lopez
5:38.0,,,18-18,3,D. Sloan makes 3-pt shot from 25 ft (assist by W. Ellington)
5:30.0,Detroit full timeout,,18-18,,
5:16.0,A. Drummond misses 2-pt shot from 4 ft,,18-18,,
5:15.0,,,18-18,,Defensive rebound by A. Bargnani
4:52.0,,,18-18,,W. Ellington misses 2-pt shot from 17 ft (block by K. Caldwell-Pope)
4:51.0,Defensive rebound by A. Drummond,,18-18,,
4:36.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson),3,21-18,,
4:20.0,Personal foul by S. Johnson (drawn by J. Johnson),,21-18,,
4:06.0,,,21-18,,J. Johnson misses 2-pt shot from 17 ft
4:04.0,Defensive rebound by K. Caldwell-Pope,,21-18,,
3:55.0,E. Ilyasova misses 3-pt shot from 24 ft,,21-18,,
3:54.0,,,21-18,,Defensive rebound by W. Ellington
3:36.0,,,21-18,,Turnover by J. Johnson (bad pass)
3:36.0,,,21-18,,B. Bogdanovic enters the game for J. Johnson
3:19.0,R. Jackson makes 3-pt shot from 25 ft,3,24-18,,
3:03.0,,,24-20,2,A. Bargnani makes 2-pt shot at rim (assist by B. Lopez)
2:50.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by R. Jackson),2,26-20,,
2:38.0,,,26-22,2,B. Lopez makes 2-pt shot from 20 ft (assist by D. Sloan)
2:23.0,S. Johnson misses 3-pt shot from 22 ft,,26-22,,
2:22.0,,,26-22,,Defensive rebound by A. Bargnani
2:16.0,,,26-24,2,D. Sloan makes 2-pt shot from 3 ft
2:01.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,26-24,,
2:00.0,Offensive rebound by A. Drummond,,26-24,,
1:59.0,A. Drummond misses 2-pt shot from 1 ft,,26-24,,
1:58.0,Offensive rebound by Team,,26-24,,
1:58.0,,,26-24,,Brooklyn full timeout
1:58.0,B. Jennings enters the game for R. Jackson,,26-24,,
1:49.0,Turnover by S. Johnson (bad pass; steal by B. Lopez),,26-24,,
1:30.0,,,26-24,,B. Lopez misses 2-pt shot from 8 ft
1:29.0,Defensive rebound by E. Ilyasova,,26-24,,
1:15.0,A. Drummond makes 2-pt shot from 6 ft,2,28-24,,
0:56.0,,,28-26,2,B. Lopez makes 2-pt shot from 2 ft
0:37.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,28-26,,
0:36.0,Offensive rebound by E. Ilyasova,,28-26,,
0:35.0,E. Ilyasova misses 2-pt shot from 1 ft,,28-26,,
0:34.0,,,28-26,,Defensive rebound by A. Bargnani
0:22.0,,,28-26,,B. Lopez misses 3-pt shot from 22 ft
0:21.0,Defensive rebound by E. Ilyasova,,28-26,,
0:05.0,,,28-26,,Personal foul by D. Sloan (drawn by B. Jennings)
0:05.0,,,28-26,,T. Robinson enters the game for B. Lopez
0:01.0,B. Jennings misses 3-pt shot from 25 ft,,28-26,,
0:00.0,Offensive rebound by Team,,28-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,28-26,,A. Bargnani misses 2-pt shot from 14 ft
11:45.0,,,28-26,,Offensive rebound by S. Larkin
11:40.0,,,28-26,,B. Bogdanovic misses 3-pt shot from 26 ft
11:39.0,,,28-26,,Offensive rebound by M. Brown
11:31.0,,,28-26,,T. Robinson misses 2-pt shot from 11 ft
11:30.0,,,28-26,,Offensive rebound by S. Larkin
11:27.0,,,28-26,,A. Bargnani misses 2-pt shot from 1 ft
11:26.0,Defensive rebound by A. Tolliver,,28-26,,
11:25.0,,,28-26,,Personal foul by T. Robinson (drawn by A. Tolliver)
11:14.0,Shooting foul by T. Robinson (drawn by D. Hilliard),,28-26,,
11:14.0,D. Hilliard misses free throw 1 of 2,,28-26,,
11:14.0,Offensive rebound by Team,,28-26,,
11:14.0,D. Hilliard makes free throw 2 of 2,1,29-26,,
11:03.0,,,29-26,,A. Bargnani misses 2-pt shot from 1 ft (block by A. Baynes)
11:01.0,,,29-26,,Offensive rebound by T. Robinson
10:56.0,,,29-26,,Shooting foul by A. Baynes (drawn by T. Robinson)
10:56.0,,,29-27,1,T. Robinson makes free throw 1 of 2
10:56.0,,,29-27,,T. Robinson misses free throw 2 of 2
10:54.0,,,29-27,,Offensive rebound by B. Bogdanovic
10:47.0,,,29-27,,A. Bargnani misses 2-pt shot from 16 ft
10:46.0,,,29-27,,Offensive rebound by Team
10:31.0,,,29-29,2,S. Larkin makes 2-pt shot from 8 ft
10:14.0,S. Johnson makes 2-pt shot at rim (assist by B. Jennings),2,31-29,,
10:00.0,Personal foul by S. Johnson (drawn by B. Bogdanovic),,31-29,,
9:48.0,,,31-29,,B. Bogdanovic misses 2-pt shot from 7 ft
9:47.0,Defensive rebound by D. Hilliard,,31-29,,
9:38.0,A. Baynes misses 2-pt shot from 15 ft,,31-29,,
9:37.0,,,31-29,,Defensive rebound by T. Robinson
9:28.0,,,31-29,,Turnover by S. Larkin (lost ball; steal by A. Baynes)
9:17.0,A. Baynes misses 2-pt shot from 8 ft,,31-29,,
9:16.0,,,31-29,,Defensive rebound by T. Robinson
9:07.0,,,31-29,,T. Robinson misses 2-pt shot from 4 ft
9:06.0,Defensive rebound by A. Baynes,,31-29,,
8:48.0,S. Johnson makes 3-pt shot from 24 ft,3,34-29,,
8:47.0,,,34-29,,Brooklyn full timeout
8:35.0,,,34-32,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by M. Brown)
8:22.0,Turnover by A. Baynes (lost ball; steal by M. Brown),,34-32,,
8:17.0,,,34-32,,B. Bogdanovic misses 2-pt shot from 1 ft
8:16.0,Defensive rebound by A. Tolliver,,34-32,,
8:07.0,S. Johnson misses 3-pt shot from 25 ft,,34-32,,
8:06.0,,,34-32,,Defensive rebound by S. Larkin
7:54.0,,,34-34,2,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin)
7:36.0,S. Johnson misses 2-pt shot from 7 ft,,34-34,,
7:35.0,,,34-34,,Defensive rebound by Team
7:35.0,Loose ball foul by A. Baynes (drawn by T. Robinson),,34-34,,
7:35.0,,,34-34,,T. Young enters the game for T. Robinson
7:35.0,M. Morris enters the game for S. Johnson,,34-34,,
7:27.0,,,34-36,2,A. Bargnani makes 2-pt shot from 19 ft (assist by S. Larkin)
7:13.0,B. Jennings misses 3-pt shot from 24 ft,,34-36,,
7:12.0,,,34-36,,Defensive rebound by A. Bargnani
7:03.0,,,34-36,,Shooting foul by A. Baynes (drawn by M. Brown)
7:03.0,,,34-37,1,M. Brown makes free throw 1 of 2
7:03.0,K. Caldwell-Pope enters the game for D. Hilliard,,34-37,,
7:03.0,A. Drummond enters the game for A. Baynes,,34-37,,
7:03.0,,,34-38,1,M. Brown makes free throw 2 of 2
6:51.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Jennings),3,37-38,,
6:37.0,,,37-38,,Turnover by T. Young (lost ball)
6:22.0,K. Caldwell-Pope makes 2-pt shot from 21 ft (assist by B. Jennings),2,39-38,,
6:11.0,,,39-38,,Shooting foul by K. Caldwell-Pope (drawn by M. Brown)
6:11.0,,,39-39,1,M. Brown makes free throw 1 of 2
6:11.0,,,39-39,,B. Lopez enters the game for A. Bargnani
6:11.0,,,39-40,1,M. Brown makes free throw 2 of 2
5:56.0,M. Morris misses 2-pt shot from 10 ft,,39-40,,
5:55.0,Offensive rebound by Team,,39-40,,
5:55.0,,,39-40,,Loose ball foul by B. Lopez (drawn by A. Tolliver)
5:55.0,Official timeout,,39-40,,
5:55.0,E. Ilyasova enters the game for A. Tolliver,,39-40,,
5:55.0,R. Jackson enters the game for B. Jennings,,39-40,,
5:42.0,M. Morris makes 2-pt shot from 14 ft,2,41-40,,
5:29.0,,,41-42,2,S. Larkin makes 2-pt shot at rim (assist by B. Lopez)
5:06.0,A. Drummond makes 2-pt shot at rim,2,43-42,,
4:52.0,,,43-44,2,B. Lopez makes 2-pt shot at rim (assist by S. Larkin)
4:38.0,R. Jackson makes 3-pt shot from 24 ft,3,46-44,,
4:13.0,,,46-46,2,T. Young makes 2-pt shot from 2 ft (assist by S. Larkin)
3:56.0,E. Ilyasova makes 2-pt shot from 21 ft (assist by M. Morris),2,48-46,,
3:37.0,,,48-48,2,M. Brown makes 2-pt shot from 21 ft (assist by S. Larkin)
3:24.0,Detroit full timeout,,48-48,,
3:24.0,,,48-48,,J. Johnson enters the game for B. Bogdanovic
3:24.0,,,48-48,,W. Ellington enters the game for M. Brown
3:18.0,R. Jackson makes 2-pt shot from 1 ft,2,50-48,,
2:59.0,,,50-50,2,B. Lopez makes 2-pt shot from 10 ft (assist by J. Johnson)
2:40.0,A. Drummond misses 2-pt shot from 4 ft,,50-50,,
2:39.0,,,50-50,,Defensive rebound by B. Lopez
2:26.0,,,50-52,2,T. Young makes 2-pt shot from 6 ft (assist by S. Larkin)
2:14.0,K. Caldwell-Pope misses 2-pt shot from 3 ft,,50-52,,
2:13.0,,,50-52,,Defensive rebound by J. Johnson
2:07.0,,,50-55,3,W. Ellington makes 3-pt shot from 25 ft (assist by S. Larkin)
1:38.0,R. Jackson misses 3-pt shot from 27 ft,,50-55,,
1:36.0,,,50-55,,Defensive rebound by T. Young
1:25.0,,,50-55,,J. Johnson misses 2-pt shot at rim
1:24.0,Defensive rebound by A. Drummond,,50-55,,
1:17.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,50-55,,
1:16.0,Offensive rebound by M. Morris,,50-55,,
1:05.0,Shooting foul by S. Larkin (drawn by M. Morris),,50-55,,
1:05.0,M. Morris makes free throw 1 of 2,1,51-55,,
1:05.0,M. Morris makes free throw 2 of 2,1,52-55,,
1:01.0,,,52-55,,Turnover by S. Larkin (lost ball)
0:45.0,A. Drummond misses 2-pt shot from 4 ft,,52-55,,
0:44.0,Offensive rebound by E. Ilyasova,,52-55,,
0:34.0,K. Caldwell-Pope makes 2-pt shot from 10 ft,2,54-55,,
0:26.0,S. Johnson enters the game for M. Morris,,54-55,,
0:14.0,,,54-57,2,J. Johnson makes 2-pt shot from 7 ft
0:03.0,R. Jackson misses 2-pt shot from 11 ft,,54-57,,
0:02.0,,,54-57,,Defensive rebound by J. Johnson
0:01.0,,,54-57,,J. Johnson misses 3-pt shot from 66 ft
0:00.0,,,54-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-57,,J. Johnson misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by K. Caldwell-Pope,,54-57,,
11:28.0,Turnover by M. Morris (traveling),,54-57,,
11:14.0,,,54-57,,W. Ellington misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by A. Drummond,,54-57,,
11:06.0,E. Ilyasova misses 3-pt shot from 25 ft,,54-57,,
11:05.0,Offensive rebound by R. Jackson,,54-57,,
10:57.0,R. Jackson misses 2-pt shot from 11 ft,,54-57,,
10:56.0,,,54-57,,Defensive rebound by T. Young
10:42.0,Personal foul by R. Jackson (drawn by D. Sloan),,54-57,,
10:36.0,,,54-57,,B. Lopez misses 2-pt shot from 2 ft
10:35.0,Defensive rebound by A. Drummond,,54-57,,
10:22.0,M. Morris misses 3-pt shot from 24 ft,,54-57,,
10:21.0,,,54-57,,Defensive rebound by T. Young
10:13.0,,,54-57,,D. Sloan misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by A. Drummond,,54-57,,
9:58.0,R. Jackson misses 2-pt shot from 10 ft,,54-57,,
9:57.0,Offensive rebound by R. Jackson,,54-57,,
9:54.0,E. Ilyasova misses 3-pt shot from 24 ft,,54-57,,
9:53.0,Offensive rebound by A. Drummond,,54-57,,
9:51.0,A. Drummond makes 2-pt shot at rim,2,56-57,,
9:30.0,,,56-59,2,B. Lopez makes 2-pt shot at rim
9:18.0,R. Jackson misses 2-pt shot from 1 ft,,56-59,,
9:17.0,Offensive rebound by A. Drummond,,56-59,,
9:16.0,A. Drummond makes 2-pt shot from 1 ft,2,58-59,,
9:01.0,,,58-61,2,B. Lopez makes 2-pt shot from 15 ft
8:33.0,M. Morris misses 3-pt shot from 27 ft,,58-61,,
8:32.0,,,58-61,,Defensive rebound by W. Ellington
8:22.0,,,58-63,2,B. Lopez makes 2-pt shot from 21 ft (assist by J. Johnson)
8:09.0,R. Jackson misses 2-pt shot from 10 ft,,58-63,,
8:08.0,,,58-63,,Defensive rebound by T. Young
7:51.0,,,58-63,,W. Ellington misses 3-pt shot from 23 ft
7:50.0,,,58-63,,Offensive rebound by Team
7:48.0,,,58-63,,Turnover by J. Johnson (bad pass; steal by E. Ilyasova)
7:44.0,E. Ilyasova misses 2-pt shot at rim (block by T. Young),,58-63,,
7:43.0,Offensive rebound by Team,,58-63,,
7:32.0,E. Ilyasova makes 2-pt shot at rim (assist by A. Drummond),2,60-63,,
7:06.0,,,60-63,,D. Sloan misses 2-pt shot from 6 ft
7:05.0,Defensive rebound by R. Jackson,,60-63,,
6:55.0,E. Ilyasova misses 2-pt shot from 22 ft,,60-63,,
6:54.0,Offensive rebound by A. Drummond,,60-63,,
6:53.0,A. Drummond makes 2-pt shot from 1 ft,2,62-63,,
6:53.0,,,62-63,,Brooklyn full timeout
6:32.0,,,62-63,,B. Lopez misses 2-pt shot from 2 ft
6:31.0,Defensive rebound by A. Drummond,,62-63,,
6:25.0,R. Jackson makes 2-pt shot from 1 ft,2,64-63,,
6:11.0,,,64-63,,J. Johnson misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by M. Morris,,64-63,,
6:00.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,64-63,,
5:59.0,,,64-63,,Defensive rebound by W. Ellington
5:39.0,,,64-63,,Shooting foul by M. Morris (drawn by T. Young)
5:39.0,,,64-64,1,T. Young makes free throw 1 of 2
5:39.0,B. Jennings enters the game for R. Jackson,,64-64,,
5:39.0,,,64-65,1,T. Young makes free throw 2 of 2
5:28.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,66-65,,
5:12.0,,,66-65,,T. Young misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by M. Morris,,66-65,,
5:06.0,,,66-65,,B. Bogdanovic enters the game for J. Johnson
4:55.0,M. Morris makes 2-pt shot from 13 ft,2,68-65,,
4:39.0,,,68-65,,W. Ellington misses 2-pt shot from 17 ft
4:38.0,Defensive rebound by B. Jennings,,68-65,,
4:33.0,Shooting foul by T. Young (drawn by E. Ilyasova),,68-65,,
4:33.0,E. Ilyasova makes free throw 1 of 2,1,69-65,,
4:33.0,,,69-65,,A. Bargnani enters the game for T. Young
4:33.0,E. Ilyasova makes free throw 2 of 2,1,70-65,,
4:20.0,,,70-65,,B. Bogdanovic misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by A. Drummond,,70-65,,
4:12.0,,,70-65,,Personal foul by B. Bogdanovic (drawn by M. Morris)
4:12.0,,,70-65,,S. Larkin enters the game for D. Sloan
3:59.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Jennings),2,72-65,,
3:59.0,Shooting foul by W. Ellington (drawn by K. Caldwell-Pope),,72-65,,
3:59.0,,,72-65,,M. Brown enters the game for W. Ellington
3:59.0,K. Caldwell-Pope makes free throw 1 of 1,1,73-65,,
3:45.0,,,73-65,,Turnover by M. Brown (lost ball; steal by A. Drummond)
3:37.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,75-65,,
3:37.0,,,75-65,,Brooklyn full timeout
3:37.0,S. Johnson enters the game for M. Morris,,75-65,,
3:18.0,,,75-65,,B. Lopez misses 2-pt shot from 17 ft
3:16.0,Defensive rebound by S. Johnson,,75-65,,
3:12.0,Turnover by S. Johnson (bad pass; steal by S. Larkin),,75-65,,
3:09.0,,,75-65,,M. Brown misses 2-pt shot from 1 ft (block by E. Ilyasova)
3:07.0,Defensive rebound by E. Ilyasova,,75-65,,
3:00.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by B. Lopez),,75-65,,
2:59.0,Offensive rebound by K. Caldwell-Pope,,75-65,,
2:58.0,K. Caldwell-Pope misses 2-pt shot from 2 ft (block by M. Brown),,75-65,,
2:57.0,,,75-65,,Defensive rebound by S. Larkin
2:53.0,,,75-65,,B. Bogdanovic misses 2-pt shot from 1 ft
2:51.0,,,75-65,,Offensive rebound by B. Bogdanovic
2:49.0,,,75-67,2,B. Bogdanovic makes 2-pt shot from 1 ft
2:25.0,S. Johnson misses 3-pt shot from 25 ft,,75-67,,
2:24.0,,,75-67,,Defensive rebound by S. Larkin
2:16.0,,,75-69,2,A. Bargnani makes 2-pt shot from 17 ft (assist by S. Larkin)
1:52.0,K. Caldwell-Pope makes 3-pt shot from 24 ft,3,78-69,,
1:29.0,,,78-71,2,A. Bargnani makes 2-pt shot from 13 ft (assist by S. Larkin)
1:12.0,Offensive foul by A. Drummond,,78-71,,
1:12.0,Turnover by A. Drummond (offensive foul),,78-71,,
1:12.0,Detroit full timeout,,78-71,,
1:12.0,A. Tolliver enters the game for E. Ilyasova,,78-71,,
0:56.0,,,78-71,,Shooting foul by K. Caldwell-Pope (drawn by A. Bargnani)
0:56.0,,,78-72,1,A. Bargnani makes free throw 1 of 2
0:56.0,,,78-73,1,A. Bargnani makes free throw 2 of 2
0:44.0,A. Tolliver misses 3-pt shot from 24 ft,,78-73,,
0:43.0,,,78-73,,Defensive rebound by B. Bogdanovic
0:31.0,,,78-75,2,S. Larkin makes 2-pt shot from 2 ft (assist by A. Bargnani)
0:13.0,S. Johnson misses 2-pt shot from 2 ft (block by B. Lopez),,78-75,,
0:12.0,,,78-75,,Defensive rebound by Team
0:02.0,,,78-75,,S. Larkin misses 2-pt shot from 7 ft
0:00.0,,,78-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,S. Johnson makes 2-pt shot from 18 ft,2,80-75,,
11:31.0,,,80-75,,Turnover by M. Brown (lost ball; steal by S. Johnson)
11:30.0,Detroit full timeout,,80-75,,
11:12.0,M. Morris misses 2-pt shot from 18 ft,,80-75,,
11:11.0,Offensive rebound by A. Baynes,,80-75,,
11:06.0,B. Jennings makes 3-pt shot from 24 ft (assist by A. Baynes),3,83-75,,
10:54.0,,,83-75,,Shooting foul by A. Tolliver (drawn by A. Bargnani)
10:54.0,,,83-76,1,A. Bargnani makes free throw 1 of 2
10:54.0,,,83-77,1,A. Bargnani makes free throw 2 of 2
10:39.0,B. Jennings misses 3-pt shot from 24 ft,,83-77,,
10:38.0,,,83-77,,Defensive rebound by Team
10:19.0,,,83-80,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Larkin)
9:59.0,S. Johnson makes 3-pt shot from 25 ft (assist by A. Tolliver),3,86-80,,
9:45.0,,,86-83,3,M. Brown makes 3-pt shot from 23 ft (assist by S. Larkin)
9:17.0,S. Johnson misses 2-pt shot from 12 ft,,86-83,,
9:16.0,,,86-83,,Defensive rebound by S. Larkin
9:08.0,,,86-85,2,A. Bargnani makes 2-pt shot from 16 ft (assist by S. Larkin)
9:07.0,Detroit full timeout,,86-85,,
9:07.0,R. Jackson enters the game for B. Jennings,,86-85,,
8:54.0,Turnover by A. Baynes (lost ball; steal by T. Robinson),,86-85,,
8:49.0,,,86-85,,T. Robinson misses 2-pt shot from 1 ft
8:47.0,Defensive rebound by A. Baynes,,86-85,,
8:43.0,Turnover by S. Johnson (traveling),,86-85,,
8:32.0,,,86-85,,Turnover by S. Larkin (bad pass)
8:16.0,A. Tolliver makes 2-pt shot from 1 ft (assist by R. Jackson),2,88-85,,
7:54.0,,,88-87,2,T. Robinson makes 2-pt shot at rim (assist by S. Larkin)
7:38.0,R. Jackson misses 3-pt shot from 30 ft,,88-87,,
7:37.0,Offensive rebound by Team,,88-87,,
7:37.0,K. Caldwell-Pope enters the game for S. Johnson,,88-87,,
7:24.0,M. Morris misses 2-pt shot from 21 ft,,88-87,,
7:23.0,Offensive rebound by A. Tolliver,,88-87,,
7:15.0,R. Jackson misses 2-pt shot from 4 ft,,88-87,,
7:14.0,Offensive rebound by A. Baynes,,88-87,,
7:12.0,A. Baynes misses 2-pt shot from 2 ft,,88-87,,
7:11.0,,,88-87,,Defensive rebound by T. Robinson
7:02.0,,,88-89,2,A. Bargnani makes 2-pt shot from 9 ft (assist by S. Larkin)
6:40.0,Shooting foul by T. Robinson (drawn by A. Baynes),,88-89,,
6:40.0,A. Baynes makes 2-pt shot from 6 ft (assist by R. Jackson),2,90-89,,
6:40.0,,,90-89,,D. Sloan enters the game for S. Larkin
6:40.0,A. Baynes misses free throw 1 of 1,,90-89,,
6:39.0,Offensive rebound by M. Morris,,90-89,,
6:23.0,K. Caldwell-Pope makes 2-pt shot from 11 ft,2,92-89,,
6:20.0,,,92-89,,Brooklyn full timeout
6:20.0,A. Drummond enters the game for A. Baynes,,92-89,,
6:20.0,,,92-89,,B. Lopez enters the game for T. Robinson
6:20.0,,,92-89,,J. Johnson enters the game for M. Brown
5:56.0,,,92-89,,B. Bogdanovic misses 2-pt shot from 15 ft
5:55.0,Defensive rebound by K. Caldwell-Pope,,92-89,,
5:35.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,92-89,,
5:34.0,,,92-89,,Defensive rebound by D. Sloan
5:23.0,,,92-89,,Turnover by J. Johnson (bad pass)
5:23.0,,,92-89,,T. Young enters the game for A. Bargnani
5:23.0,,,92-89,,W. Ellington enters the game for B. Bogdanovic
5:12.0,R. Jackson makes 2-pt shot from 1 ft,2,94-89,,
4:50.0,,,94-91,2,B. Lopez makes 2-pt shot from 8 ft
4:31.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,94-91,,
4:30.0,,,94-91,,Defensive rebound by D. Sloan
4:13.0,,,94-91,,T. Young misses 2-pt shot from 17 ft
4:12.0,Defensive rebound by A. Drummond,,94-91,,
4:02.0,R. Jackson misses 2-pt shot from 4 ft,,94-91,,
4:00.0,,,94-91,,Defensive rebound by J. Johnson
3:54.0,,,94-93,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
3:38.0,A. Tolliver misses 3-pt shot from 25 ft,,94-93,,
3:37.0,,,94-93,,Defensive rebound by D. Sloan
3:26.0,,,94-93,,T. Young misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by A. Tolliver,,94-93,,
3:15.0,R. Jackson misses 3-pt shot from 24 ft,,94-93,,
3:14.0,,,94-93,,Defensive rebound by T. Young
2:55.0,,,94-95,2,B. Lopez makes 2-pt shot from 2 ft
2:55.0,,,94-95,,Shooting foul by A. Drummond (drawn by B. Lopez)
2:55.0,Official timeout,,94-95,,
2:55.0,E. Ilyasova enters the game for A. Tolliver,,94-95,,
2:55.0,,,94-96,1,B. Lopez makes free throw 1 of 1
2:37.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,94-96,,
2:36.0,Offensive rebound by A. Drummond,,94-96,,
2:35.0,Shooting foul by B. Lopez (drawn by A. Drummond),,94-96,,
2:35.0,A. Drummond misses free throw 1 of 2,,94-96,,
2:35.0,Offensive rebound by Team,,94-96,,
2:35.0,A. Drummond makes free throw 2 of 2,1,95-96,,
2:24.0,,,95-98,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
2:04.0,R. Jackson makes 3-pt shot from 24 ft,3,98-98,,
1:42.0,,,98-98,,Turnover by D. Sloan (step out of bounds)
1:30.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,100-98,,
1:11.0,,,100-98,,W. Ellington misses 2-pt shot from 20 ft
1:10.0,Defensive rebound by Team,,100-98,,
