time,LA Lakers,pts.away,score,pts.home,Detroit
6:25.0,,,8-15,,Defensive rebound by A. Drummond
6:11.0,,,8-15,,A. Tolliver misses 2-pt shot from 8 ft
6:10.0,Defensive rebound by K. Bryant,,8-15,,
6:03.0,Shooting foul by K. Caldwell-Pope (drawn by J. Clarkson),,8-15,,
6:03.0,J. Clarkson misses free throw 1 of 2,,8-15,,
6:03.0,Offensive rebound by Team,,8-15,,
6:03.0,L. Williams enters the game for D. Russell,,8-15,,
6:03.0,J. Clarkson makes free throw 2 of 2,1,9-15,,
5:43.0,,,9-17,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
5:24.0,J. Randle misses 2-pt shot from 15 ft,,9-17,,
5:24.0,,,9-17,,Defensive rebound by A. Drummond
5:17.0,,,9-17,,A. Tolliver misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by Team,,9-17,,
5:17.0,,,9-17,,Loose ball foul by A. Drummond (drawn by R. Hibbert)
5:17.0,,,9-17,,A. Baynes enters the game for A. Drummond
5:08.0,Shooting foul by K. Caldwell-Pope (drawn by L. Williams),,9-17,,
5:08.0,L. Williams makes free throw 1 of 2,1,10-17,,
5:08.0,,,10-17,,S. Johnson enters the game for K. Caldwell-Pope
5:08.0,B. Bass enters the game for R. Hibbert,,10-17,,
5:08.0,L. Williams makes free throw 2 of 2,1,11-17,,
4:55.0,,,11-17,,M. Morris misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by B. Bass,,11-17,,
4:48.0,K. Bryant misses 3-pt shot from 26 ft,,11-17,,
4:48.0,,,11-17,,Defensive rebound by M. Morris
4:38.0,,,11-20,3,R. Jackson makes 3-pt shot from 25 ft (assist by M. Morris)
4:14.0,L. Williams makes 2-pt shot at rim,2,13-20,,
4:03.0,,,13-22,2,M. Morris makes 2-pt shot from 13 ft
3:43.0,J. Clarkson misses 2-pt shot from 14 ft,,13-22,,
3:43.0,,,13-22,,Defensive rebound by S. Johnson
3:39.0,,,13-22,,A. Tolliver misses 3-pt shot from 26 ft
3:39.0,,,13-22,,Offensive rebound by A. Baynes
3:35.0,,,13-22,,S. Johnson misses 2-pt shot from 5 ft
3:35.0,Defensive rebound by J. Randle,,13-22,,
3:25.0,L. Williams misses 3-pt shot from 26 ft,,13-22,,
3:25.0,,,13-22,,Defensive rebound by A. Baynes
3:16.0,,,13-22,,A. Baynes misses 2-pt shot at rim
3:14.0,Defensive rebound by J. Randle,,13-22,,
3:10.0,Turnover by K. Bryant (lost ball; steal by R. Jackson),,13-22,,
3:06.0,,,13-24,2,M. Morris makes 2-pt shot at rim (assist by R. Jackson)
3:06.0,,,13-24,,Shooting foul by L. Williams (drawn by M. Morris)
3:06.0,M. World Peace enters the game for K. Bryant,,13-24,,
3:06.0,L. Nance enters the game for J. Randle,,13-24,,
3:06.0,,,13-25,1,M. Morris makes free throw 1 of 1
2:45.0,B. Bass makes 2-pt shot from 16 ft,2,15-25,,
2:24.0,,,15-25,,R. Jackson misses 2-pt shot from 18 ft
2:24.0,,,15-25,,Offensive rebound by Team
2:24.0,Loose ball foul by J. Clarkson (drawn by A. Baynes),,15-25,,
2:24.0,,,15-25,,S. Blake enters the game for R. Jackson
2:20.0,Personal foul by M. World Peace (drawn by A. Baynes),,15-25,,
2:08.0,,,15-25,,A. Baynes misses 2-pt shot from 7 ft
2:06.0,Defensive rebound by B. Bass,,15-25,,
1:52.0,J. Clarkson makes 2-pt shot from 8 ft,2,17-25,,
1:31.0,,,17-25,,Shooting foul by M. World Peace (drawn by S. Johnson)
1:31.0,,,17-26,1,S. Johnson makes free throw 1 of 2
1:31.0,,,17-27,1,S. Johnson makes free throw 2 of 2
1:19.0,Shooting foul by S. Johnson (drawn by L. Williams),,17-27,,
1:19.0,L. Williams makes free throw 1 of 3,1,18-27,,
1:19.0,L. Williams makes free throw 2 of 3,1,19-27,,
1:19.0,L. Williams misses free throw 3 of 3,,19-27,,
1:18.0,,,19-27,,Defensive rebound by A. Tolliver
1:01.0,,,19-30,3,S. Blake makes 3-pt shot from 23 ft (assist by M. Morris)
0:47.0,B. Bass misses 2-pt shot at rim,,19-30,,
0:46.0,,,19-30,,Defensive rebound by A. Tolliver
0:39.0,,,19-32,2,A. Baynes makes 2-pt shot from 1 ft (assist by S. Blake)
0:31.0,J. Clarkson misses 2-pt shot at rim,,19-32,,
0:31.0,,,19-32,,Defensive rebound by A. Tolliver
0:13.0,,,19-32,,S. Johnson misses 2-pt shot from 6 ft
0:13.0,Defensive rebound by M. World Peace,,19-32,,
0:03.0,J. Clarkson misses 2-pt shot from 5 ft,,19-32,,
0:02.0,Offensive rebound by J. Clarkson,,19-32,,
0:01.0,Turnover by J. Clarkson (lost ball; steal by S. Blake),,19-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. World Peace misses 2-pt shot at rim,,19-32,,
11:46.0,Offensive rebound by B. Bass,,19-32,,
11:43.0,B. Bass makes 2-pt shot at rim,2,21-32,,
11:26.0,,,21-32,,Turnover by A. Baynes (3 sec)
11:13.0,Turnover by D. Russell (bad pass; steal by A. Tolliver),,21-32,,
10:58.0,,,21-32,,S. Johnson misses 3-pt shot from 26 ft
10:57.0,,,21-32,,Offensive rebound by A. Tolliver
10:54.0,,,21-34,2,A. Tolliver makes 2-pt shot at rim
10:39.0,L. Williams misses 2-pt shot from 17 ft,,21-34,,
10:39.0,,,21-34,,Defensive rebound by A. Baynes
10:33.0,,,21-36,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake)
10:12.0,L. Williams misses 3-pt shot from 26 ft,,21-36,,
10:11.0,Offensive rebound by D. Russell,,21-36,,
10:07.0,D. Russell makes 2-pt shot from 11 ft,2,23-36,,
9:41.0,,,23-36,,A. Tolliver misses 3-pt shot from 23 ft (block by M. World Peace)
9:41.0,,,23-36,,Offensive rebound by Team
9:41.0,,,23-36,,Turnover by Team (shot clock)
9:41.0,K. Bryant enters the game for M. World Peace,,23-36,,
9:22.0,B. Bass makes 2-pt shot at rim (assist by D. Russell),2,25-36,,
9:15.0,,,25-36,,Offensive foul by A. Baynes
9:15.0,,,25-36,,Turnover by A. Baynes (offensive foul)
8:59.0,Turnover by D. Russell (lost ball; steal by S. Johnson),,25-36,,
8:53.0,,,25-38,2,S. Johnson makes 2-pt shot at rim
8:44.0,D. Russell misses 2-pt shot from 13 ft,,25-38,,
8:44.0,,,25-38,,Defensive rebound by A. Baynes
8:34.0,,,25-38,,K. Caldwell-Pope misses 3-pt shot from 24 ft
8:34.0,,,25-38,,Offensive rebound by A. Baynes
8:34.0,Personal foul by B. Bass (drawn by A. Baynes),,25-38,,
8:34.0,Official timeout,,25-38,,
8:26.0,,,25-38,,Turnover by A. Tolliver (bad pass)
8:15.0,Shooting foul by A. Baynes (drawn by L. Williams),,25-38,,
8:15.0,L. Williams makes free throw 1 of 2,1,26-38,,
8:15.0,,,26-38,,A. Drummond enters the game for A. Baynes
8:15.0,R. Hibbert enters the game for B. Bass,,26-38,,
8:15.0,L. Williams misses free throw 2 of 2,,26-38,,
8:14.0,,,26-38,,Defensive rebound by S. Blake
7:59.0,,,26-40,2,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope)
7:32.0,K. Bryant misses 2-pt shot from 16 ft,,26-40,,
7:31.0,Offensive rebound by L. Nance,,26-40,,
7:30.0,Turnover by L. Nance (bad pass; steal by K. Caldwell-Pope),,26-40,,
7:30.0,Personal foul by K. Bryant (drawn by K. Caldwell-Pope),,26-40,,
7:30.0,J. Randle enters the game for L. Nance,,26-40,,
7:10.0,,,26-43,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Blake)
6:53.0,Shooting foul by A. Tolliver (drawn by J. Randle),,26-43,,
6:53.0,J. Randle makes free throw 1 of 2,1,27-43,,
6:53.0,J. Randle misses free throw 2 of 2,,27-43,,
6:52.0,,,27-43,,Defensive rebound by A. Drummond
6:34.0,,,27-45,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Blake)
6:16.0,D. Russell makes 2-pt shot from 17 ft (assist by K. Bryant),2,29-45,,
6:02.0,,,29-48,3,S. Blake makes 3-pt shot from 23 ft (assist by S. Johnson)
6:02.0,,,29-48,,Shooting foul by L. Williams (drawn by S. Blake)
6:02.0,J. Clarkson enters the game for L. Williams,,29-48,,
6:02.0,,,29-49,1,S. Blake makes free throw 1 of 1
5:48.0,K. Bryant misses 2-pt shot from 14 ft,,29-49,,
5:47.0,,,29-49,,Defensive rebound by S. Johnson
5:38.0,,,29-49,,Shooting foul by R. Hibbert (drawn by A. Drummond)
5:38.0,,,29-49,,Detroit full timeout
5:38.0,,,29-49,,R. Jackson enters the game for S. Blake
5:38.0,,,29-49,,A. Drummond misses free throw 1 of 2
5:38.0,,,29-49,,Offensive rebound by Team
5:38.0,,,29-49,,A. Drummond misses free throw 2 of 2
5:37.0,,,29-49,,Offensive rebound by A. Tolliver
5:24.0,,,29-51,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
5:24.0,,,29-51,,Shooting foul by D. Russell (drawn by K. Caldwell-Pope)
5:24.0,,,29-51,,E. Ilyasova enters the game for S. Johnson
5:24.0,,,29-51,,M. Morris enters the game for A. Tolliver
5:24.0,,,29-51,,Turnover by E. Ilyasova (lane violation.)
5:08.0,J. Randle makes 2-pt shot from 1 ft,2,31-51,,
5:08.0,Shooting foul by E. Ilyasova (drawn by J. Randle),,31-51,,
5:08.0,,,31-51,,A. Tolliver enters the game for E. Ilyasova
5:08.0,J. Randle makes free throw 1 of 1,1,32-51,,
5:00.0,,,32-51,,Shooting foul by D. Russell (drawn by R. Jackson)
5:00.0,,,32-52,1,R. Jackson makes free throw 1 of 2
5:00.0,M. World Peace enters the game for K. Bryant,,32-52,,
5:00.0,,,32-53,1,R. Jackson makes free throw 2 of 2
4:42.0,D. Russell misses 3-pt shot from 26 ft,,32-53,,
4:42.0,,,32-53,,Defensive rebound by A. Tolliver
4:31.0,,,32-53,,A. Drummond misses 2-pt shot from 1 ft
4:31.0,Defensive rebound by J. Randle,,32-53,,
4:23.0,Offensive foul by M. World Peace,,32-53,,
4:23.0,Turnover by M. World Peace (offensive foul),,32-53,,
4:23.0,N. Young enters the game for M. World Peace,,32-53,,
4:01.0,,,32-55,2,R. Jackson makes 2-pt shot from 6 ft
3:38.0,J. Randle makes 2-pt shot at rim (assist by D. Russell),2,34-55,,
3:23.0,,,34-57,2,R. Jackson makes 2-pt shot from 9 ft
3:10.0,D. Russell misses 2-pt shot from 13 ft,,34-57,,
3:10.0,,,34-57,,Defensive rebound by A. Tolliver
2:51.0,,,34-57,,M. Morris misses 2-pt shot from 10 ft
2:48.0,Defensive rebound by J. Randle,,34-57,,
2:47.0,Shooting foul by A. Drummond (drawn by J. Randle),,34-57,,
2:47.0,LA Lakers full timeout,,34-57,,
2:47.0,L. Williams enters the game for D. Russell,,34-57,,
2:47.0,,,34-57,,A. Baynes enters the game for A. Drummond
2:47.0,J. Randle makes free throw 1 of 2,1,35-57,,
2:47.0,J. Randle makes free throw 2 of 2,1,36-57,,
2:29.0,,,36-57,,R. Jackson misses 2-pt shot from 12 ft
2:28.0,Defensive rebound by J. Randle,,36-57,,
2:06.0,J. Randle makes 2-pt shot from 3 ft,2,38-57,,
1:53.0,,,38-57,,R. Jackson misses 2-pt shot from 6 ft
1:51.0,Defensive rebound by J. Randle,,38-57,,
1:42.0,N. Young misses 3-pt shot from 25 ft,,38-57,,
1:42.0,,,38-57,,Defensive rebound by R. Jackson
1:35.0,,,38-57,,M. Morris misses 2-pt shot from 11 ft
1:34.0,,,38-57,,Offensive rebound by K. Caldwell-Pope
1:31.0,,,38-59,2,K. Caldwell-Pope makes 2-pt shot at rim
1:08.0,J. Clarkson makes 2-pt shot from 10 ft,2,40-59,,
0:53.0,,,40-59,,A. Baynes misses 2-pt shot from 12 ft
0:52.0,Defensive rebound by J. Clarkson,,40-59,,
0:46.0,J. Clarkson makes 2-pt shot from 15 ft,2,42-59,,
0:34.0,,,42-59,,A. Tolliver misses 3-pt shot from 24 ft
0:33.0,,,42-59,,Offensive rebound by A. Baynes
0:30.0,,,42-62,3,R. Jackson makes 3-pt shot from 25 ft (assist by A. Baynes)
0:09.0,J. Clarkson misses 2-pt shot from 3 ft,,42-62,,
0:08.0,,,42-62,,Defensive rebound by M. Morris
0:03.0,,,42-65,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by M. Morris)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Shooting foul by E. Ilyasova (drawn by J. Randle),,42-65,,
11:47.0,J. Randle misses free throw 1 of 2,,42-65,,
11:47.0,Offensive rebound by Team,,42-65,,
11:47.0,J. Randle makes free throw 2 of 2,1,43-65,,
11:32.0,,,43-65,,M. Morris misses 2-pt shot from 19 ft
11:31.0,,,43-65,,Offensive rebound by E. Ilyasova
11:28.0,,,43-67,2,E. Ilyasova makes 2-pt shot at rim
11:17.0,Turnover by K. Bryant (bad pass; steal by K. Caldwell-Pope),,43-67,,
11:05.0,,,43-67,,E. Ilyasova misses 3-pt shot from 22 ft
11:05.0,Defensive rebound by J. Randle,,43-67,,
10:57.0,Turnover by J. Clarkson (bad pass; steal by K. Caldwell-Pope),,43-67,,
10:52.0,,,43-67,,Shooting foul by D. Russell (drawn by K. Caldwell-Pope)
10:52.0,,,43-68,1,R. Jackson makes free throw 1 of 2
10:52.0,,,43-69,1,R. Jackson makes free throw 2 of 2
10:42.0,D. Russell misses 2-pt shot from 19 ft,,43-69,,
10:42.0,Offensive rebound by Team,,43-69,,
10:32.0,J. Randle misses 2-pt shot from 6 ft,,43-69,,
10:31.0,,,43-69,,Defensive rebound by A. Drummond
10:25.0,,,43-71,2,R. Jackson makes 2-pt shot at rim
10:06.0,K. Bryant misses 3-pt shot from 25 ft,,43-71,,
10:05.0,,,43-71,,Defensive rebound by K. Caldwell-Pope
9:53.0,,,43-71,,K. Caldwell-Pope misses 2-pt shot from 10 ft
9:53.0,Defensive rebound by R. Hibbert,,43-71,,
9:47.0,D. Russell makes 2-pt shot at rim,2,45-71,,
9:29.0,,,45-71,,M. Morris misses 3-pt shot from 23 ft
9:29.0,Defensive rebound by Team,,45-71,,
9:10.0,J. Randle makes 2-pt shot from 6 ft (assist by R. Hibbert),2,47-71,,
8:52.0,,,47-71,,Turnover by K. Caldwell-Pope (lost ball; steal by J. Clarkson)
8:35.0,K. Bryant misses 2-pt shot from 19 ft,,47-71,,
8:35.0,,,47-71,,Defensive rebound by R. Jackson
8:25.0,,,47-73,2,K. Caldwell-Pope makes 2-pt shot from 8 ft (assist by R. Jackson)
8:11.0,Turnover by D. Russell (bad pass),,47-73,,
7:51.0,,,47-73,,R. Jackson misses 2-pt shot from 15 ft
7:51.0,Defensive rebound by J. Randle,,47-73,,
7:43.0,,,47-73,,Personal foul by M. Morris (drawn by K. Bryant)
7:36.0,K. Bryant makes 3-pt shot from 24 ft (assist by R. Hibbert),3,50-73,,
7:25.0,Personal foul by J. Clarkson (drawn by R. Jackson),,50-73,,
7:12.0,,,50-73,,Shooting foul by J. Randle (drawn by K. Caldwell-Pope)
7:12.0,,,50-74,1,K. Caldwell-Pope makes free throw 1 of 3
7:12.0,,,50-75,1,K. Caldwell-Pope makes free throw 2 of 3
7:12.0,,,50-76,1,K. Caldwell-Pope makes free throw 3 of 3
6:54.0,K. Bryant misses 2-pt shot from 15 ft,,50-76,,
6:53.0,,,50-76,,Defensive rebound by A. Drummond
6:34.0,,,50-76,,M. Morris misses 2-pt shot from 10 ft
6:33.0,,,50-76,,Offensive rebound by A. Drummond
6:30.0,,,50-78,2,A. Drummond makes 2-pt shot from 1 ft
6:15.0,K. Bryant misses 3-pt shot from 26 ft,,50-78,,
6:14.0,,,50-78,,Defensive rebound by A. Drummond
6:06.0,,,50-78,,Turnover by R. Jackson (lost ball; steal by D. Russell)
6:00.0,K. Bryant makes 2-pt shot at rim (assist by D. Russell),2,52-78,,
5:41.0,,,52-78,,Turnover by R. Jackson (bad pass; steal by D. Russell)
5:36.0,D. Russell makes 2-pt shot at rim,2,54-78,,
5:14.0,,,54-78,,E. Ilyasova misses 2-pt shot from 21 ft
5:14.0,Defensive rebound by J. Clarkson,,54-78,,
5:03.0,J. Randle misses 2-pt shot from 3 ft,,54-78,,
5:03.0,Offensive rebound by J. Randle,,54-78,,
5:03.0,J. Randle makes 2-pt shot from 3 ft,2,56-78,,
5:03.0,,,56-78,,Detroit full timeout
5:03.0,L. Williams enters the game for D. Russell,,56-78,,
5:03.0,,,56-78,,A. Tolliver enters the game for E. Ilyasova
4:47.0,,,56-80,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:28.0,R. Hibbert misses 2-pt shot from 2 ft,,56-80,,
4:27.0,Offensive rebound by R. Hibbert,,56-80,,
4:25.0,R. Hibbert makes 2-pt shot from 1 ft,2,58-80,,
4:12.0,,,58-80,,Shooting foul by R. Hibbert (drawn by A. Drummond)
4:12.0,,,58-81,1,A. Drummond makes free throw 1 of 2
4:12.0,,,58-81,,S. Johnson enters the game for M. Morris
4:12.0,,,58-82,1,A. Drummond makes free throw 2 of 2
4:00.0,,,58-82,,Personal foul by K. Caldwell-Pope (drawn by R. Hibbert)
4:00.0,L. Nance enters the game for J. Randle,,58-82,,
3:54.0,R. Hibbert makes 2-pt shot from 16 ft (assist by J. Clarkson),2,60-82,,
3:43.0,,,60-82,,R. Jackson misses 2-pt shot from 6 ft
3:43.0,,,60-82,,Offensive rebound by A. Drummond
3:43.0,,,60-84,2,A. Drummond makes 2-pt shot from 4 ft
3:43.0,,,60-84,,Shooting foul by K. Bryant (drawn by A. Drummond)
3:43.0,,,60-84,,A. Drummond misses free throw 1 of 1
3:42.0,Defensive rebound by R. Hibbert,,60-84,,
3:31.0,K. Bryant misses 2-pt shot from 16 ft,,60-84,,
3:31.0,,,60-84,,Defensive rebound by A. Tolliver
3:12.0,,,60-84,,K. Caldwell-Pope misses 2-pt shot from 13 ft
3:10.0,Defensive rebound by R. Hibbert,,60-84,,
3:10.0,Turnover by R. Hibbert (lost ball; steal by A. Drummond),,60-84,,
3:08.0,,,60-86,2,K. Caldwell-Pope makes 2-pt shot at rim
2:55.0,J. Clarkson misses 2-pt shot from 21 ft,,60-86,,
2:54.0,,,60-86,,Defensive rebound by A. Drummond
2:45.0,,,60-86,,K. Caldwell-Pope misses 2-pt shot from 4 ft
2:44.0,,,60-86,,Offensive rebound by K. Caldwell-Pope
2:38.0,,,60-88,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
2:22.0,Turnover by L. Williams (bad pass),,60-88,,
2:22.0,LA Lakers full timeout,,60-88,,
2:22.0,,,60-88,,S. Blake enters the game for R. Jackson
2:22.0,B. Bass enters the game for R. Hibbert,,60-88,,
2:13.0,,,60-88,,S. Johnson misses 2-pt shot from 2 ft
2:12.0,Defensive rebound by K. Bryant,,60-88,,
2:05.0,K. Bryant misses 2-pt shot from 20 ft,,60-88,,
2:04.0,,,60-88,,Defensive rebound by S. Blake
1:50.0,,,60-90,2,A. Drummond makes 2-pt shot from 7 ft (assist by S. Blake)
1:32.0,J. Clarkson misses 3-pt shot from 25 ft,,60-90,,
1:32.0,,,60-90,,Defensive rebound by S. Johnson
1:19.0,,,60-90,,S. Johnson misses 2-pt shot from 11 ft
1:18.0,Defensive rebound by K. Bryant,,60-90,,
1:11.0,L. Williams makes 2-pt shot from 1 ft,2,62-90,,
0:50.0,,,62-90,,A. Tolliver misses 3-pt shot from 23 ft
0:50.0,Defensive rebound by B. Bass,,62-90,,
0:36.0,J. Clarkson misses 2-pt shot from 17 ft,,62-90,,
0:35.0,,,62-90,,Defensive rebound by S. Blake
0:27.0,,,62-90,,S. Johnson misses 3-pt shot from 27 ft
0:27.0,,,62-90,,Offensive rebound by A. Drummond
0:23.0,,,62-90,,A. Drummond misses 2-pt shot at rim
0:21.0,Defensive rebound by B. Bass,,62-90,,
0:08.0,L. Williams makes 3-pt shot from 25 ft,3,65-90,,
0:01.0,,,65-90,,Turnover by S. Blake (bad pass; steal by K. Bryant)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,65-90,,Shooting foul by N. Young (drawn by M. Morris)
11:50.0,,,65-90,,M. Morris misses free throw 1 of 2
11:50.0,,,65-90,,Offensive rebound by Team
11:50.0,,,65-90,,M. Morris misses free throw 2 of 2
11:48.0,Defensive rebound by R. Sacre,,65-90,,
11:34.0,L. Williams makes 3-pt shot from 26 ft (assist by M. Huertas),3,68-90,,
11:07.0,,,68-92,2,M. Morris makes 2-pt shot from 17 ft
10:55.0,L. Williams misses 3-pt shot from 26 ft,,68-92,,
10:55.0,,,68-92,,Defensive rebound by M. Morris
10:47.0,,,68-95,3,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson)
10:26.0,N. Young misses 3-pt shot from 23 ft,,68-95,,
10:25.0,,,68-95,,Defensive rebound by S. Johnson
10:11.0,,,68-95,,Turnover by A. Tolliver (bad pass)
9:55.0,L. Williams misses 2-pt shot from 17 ft,,68-95,,
9:55.0,,,68-95,,Defensive rebound by A. Tolliver
9:31.0,,,68-97,2,M. Morris makes 2-pt shot from 15 ft
9:09.0,N. Young misses 2-pt shot from 18 ft,,68-97,,
9:08.0,,,68-97,,Defensive rebound by A. Baynes
9:01.0,,,68-97,,Turnover by S. Blake (bad pass; steal by R. Sacre)
8:58.0,Shooting foul by A. Tolliver (drawn by N. Young),,68-97,,
8:58.0,Official timeout,,68-97,,
8:58.0,Flagrant foul type 1 by N. Young (drawn by A. Tolliver),,68-97,,
8:58.0,L. Nance enters the game for N. Young,,68-97,,
8:58.0,L. Nance makes free throw 1 of 1,1,69-97,,
8:58.0,L. Nance makes free throw 2 of 2,1,70-97,,
8:58.0,,,70-97,,A. Tolliver misses flagrant free throw 1 of 2
8:58.0,Offensive rebound by Team,,70-97,,
8:58.0,,,70-98,1,A. Tolliver makes flagrant free throw 2 of 2
8:43.0,,,70-100,2,S. Johnson makes 2-pt shot from 6 ft
8:26.0,L. Williams makes 2-pt shot from 7 ft (assist by R. Sacre),2,72-100,,
8:09.0,,,72-100,,M. Morris misses 2-pt shot from 12 ft
8:09.0,Defensive rebound by R. Sacre,,72-100,,
8:00.0,L. Williams misses 2-pt shot from 7 ft,,72-100,,
7:59.0,,,72-100,,Defensive rebound by A. Tolliver
7:46.0,,,72-100,,Turnover by S. Blake (traveling)
7:46.0,M. World Peace enters the game for L. Nance,,72-100,,
7:20.0,M. Huertas misses 2-pt shot from 12 ft,,72-100,,
7:20.0,,,72-100,,Defensive rebound by A. Tolliver
7:10.0,,,72-100,,S. Blake misses 2-pt shot from 11 ft
7:09.0,Defensive rebound by R. Kelly,,72-100,,
7:03.0,R. Kelly makes 2-pt shot at rim (assist by M. Huertas),2,74-100,,
6:50.0,,,74-100,,A. Baynes misses 2-pt shot at rim (block by R. Sacre)
6:50.0,Defensive rebound by R. Kelly,,74-100,,
6:42.0,Shooting foul by A. Tolliver (drawn by R. Kelly),,74-100,,
6:42.0,R. Kelly makes free throw 1 of 2,1,75-100,,
6:42.0,,,75-100,,D. Hilliard enters the game for M. Morris
6:42.0,R. Kelly makes free throw 2 of 2,1,76-100,,
6:35.0,,,76-100,,Turnover by S. Blake (bad pass)
6:27.0,M. Huertas makes 2-pt shot at rim,2,78-100,,
6:27.0,Shooting foul by D. Hilliard (drawn by M. Huertas),,78-100,,
6:27.0,M. Huertas makes free throw 1 of 1,1,79-100,,
6:02.0,,,79-100,,S. Blake misses 2-pt shot from 14 ft
5:53.0,,,79-100,,Offensive rebound by S. Blake
