time,Memphis,pts.away,score,pts.home,Dallas
3:47.0,,,39-41,,D. Nowitzki enters the game for D. Powell
3:47.0,,,39-41,,C. Parsons enters the game for J. Barea
3:39.0,,,39-41,,Shooting foul by J. Green (drawn by D. Nowitzki)
3:39.0,,,39-42,1,D. Nowitzki makes free throw 1 of 2
3:39.0,,,39-43,1,D. Nowitzki makes free throw 2 of 2
3:24.0,M. Conley makes 2-pt shot from 1 ft,2,41-43,,
3:18.0,,,41-43,,Turnover by D. Williams (lost ball)
2:57.0,M. Conley makes 2-pt shot from 10 ft (assist by M. Gasol),2,43-43,,
2:38.0,,,43-43,,W. Matthews misses 3-pt shot from 24 ft
2:36.0,,,43-43,,Offensive rebound by D. Nowitzki
2:36.0,,,43-43,,D. Nowitzki misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by M. Gasol,,43-43,,
2:23.0,Turnover by M. Conley (bad pass; steal by W. Matthews),,43-43,,
2:18.0,,,43-45,2,D. Nowitzki makes 2-pt shot at rim (assist by W. Matthews)
2:04.0,M. Barnes makes 2-pt shot from 15 ft (assist by C. Lee),2,45-45,,
1:40.0,,,45-48,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
1:17.0,,,45-48,,Personal foul by Z. Pachulia (drawn by M. Gasol)
1:17.0,Official timeout,,45-48,,
1:17.0,M. Chalmers enters the game for M. Conley,,45-48,,
1:17.0,M. Gasol makes free throw 1 of 2,1,46-48,,
1:17.0,M. Gasol makes free throw 2 of 2,1,47-48,,
1:07.0,Personal foul by M. Chalmers (drawn by D. Williams),,47-48,,
1:07.0,,,47-48,,D. Williams misses free throw 1 of 2
1:07.0,,,47-48,,Offensive rebound by Team
1:07.0,,,47-48,,J. McGee enters the game for Z. Pachulia
1:07.0,,,47-49,1,D. Williams makes free throw 2 of 2
0:50.0,Turnover by M. Barnes (bad pass),,47-49,,
0:35.0,,,47-51,2,D. Williams makes 2-pt shot from 7 ft
0:30.0,M. Chalmers misses 3-pt shot from 24 ft,,47-51,,
0:29.0,,,47-51,,Defensive rebound by C. Parsons
0:08.0,,,47-51,,Shooting foul by M. Barnes (drawn by C. Parsons)
0:08.0,,,47-51,,C. Parsons misses free throw 1 of 2
0:08.0,,,47-51,,Offensive rebound by Team
0:08.0,,,47-51,,J. Evans enters the game for D. Nowitzki
0:08.0,,,47-51,,D. Powell enters the game for J. McGee
0:08.0,,,47-52,1,C. Parsons makes free throw 2 of 2
0:01.0,M. Chalmers makes 2-pt shot at rim,2,49-52,,
0:00.0,,,49-52,,Shooting foul by M. Barnes (drawn by D. Williams)
0:00.0,,,49-53,1,D. Williams makes free throw 1 of 3
0:00.0,,,49-54,1,D. Williams makes free throw 2 of 3
0:00.0,,,49-55,1,D. Williams makes free throw 3 of 3
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,49-55,,R. Felton misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by J. Green,,49-55,,
11:24.0,Turnover by M. Conley (bad pass; steal by Z. Pachulia),,49-55,,
11:21.0,,,49-55,,Shooting foul by M. Gasol (drawn by Z. Pachulia)
11:21.0,,,49-56,1,Z. Pachulia makes free throw 1 of 2
11:21.0,,,49-57,1,Z. Pachulia makes free throw 2 of 2
11:03.0,C. Lee misses 2-pt shot from 14 ft,,49-57,,
11:02.0,,,49-57,,Defensive rebound by D. Williams
10:42.0,,,49-59,2,D. Nowitzki makes 2-pt shot from 16 ft
10:40.0,,,49-59,,Violation by Team (delay of game)
10:26.0,C. Lee misses 2-pt shot from 2 ft (block by D. Nowitzki),,49-59,,
10:24.0,,,49-59,,Defensive rebound by D. Nowitzki
10:18.0,,,49-59,,D. Nowitzki misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by J. Green,,49-59,,
10:05.0,J. Green misses 2-pt shot from 3 ft,,49-59,,
10:04.0,,,49-59,,Defensive rebound by Z. Pachulia
9:55.0,,,49-59,,W. Matthews misses 2-pt shot from 11 ft
9:54.0,,,49-59,,Offensive rebound by Z. Pachulia
9:53.0,,,49-59,,Z. Pachulia misses 2-pt shot from 1 ft (block by M. Barnes)
9:52.0,Defensive rebound by J. Green,,49-59,,
9:51.0,Memphis full timeout,,49-59,,
9:28.0,M. Gasol makes 2-pt shot from 15 ft,2,51-59,,
9:07.0,,,51-59,,Z. Pachulia misses 2-pt shot from 15 ft
9:06.0,,,51-59,,Offensive rebound by D. Nowitzki
9:06.0,,,51-59,,D. Nowitzki misses 2-pt shot from 1 ft
9:05.0,Defensive rebound by M. Barnes,,51-59,,
9:01.0,Turnover by M. Gasol (offensive foul),,51-59,,
9:01.0,Offensive foul by M. Gasol,,51-59,,
8:38.0,,,51-59,,Z. Pachulia misses 2-pt shot from 15 ft
8:37.0,,,51-59,,Offensive rebound by D. Williams
8:36.0,,,51-59,,D. Williams misses 2-pt shot from 1 ft (block by M. Barnes)
8:35.0,,,51-59,,Offensive rebound by Team
8:19.0,,,51-59,,R. Felton misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by M. Barnes,,51-59,,
8:08.0,M. Conley misses 2-pt shot from 9 ft,,51-59,,
8:07.0,,,51-59,,Defensive rebound by D. Nowitzki
8:00.0,,,51-59,,Turnover by D. Williams (bad pass; steal by M. Barnes)
7:57.0,M. Barnes makes 2-pt shot at rim,2,53-59,,
7:31.0,,,53-59,,R. Felton misses 2-pt shot from 11 ft (block by M. Barnes)
7:29.0,Defensive rebound by M. Gasol,,53-59,,
7:23.0,Turnover by C. Lee (bad pass; steal by W. Matthews),,53-59,,
7:19.0,Shooting block foul by M. Conley (drawn by W. Matthews),,53-59,,
7:19.0,,,53-60,1,W. Matthews makes free throw 1 of 2
7:19.0,,,53-61,1,W. Matthews makes free throw 2 of 2
7:02.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,55-61,,
6:45.0,,,55-63,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Williams)
6:20.0,M. Barnes misses 3-pt shot from 24 ft,,55-63,,
6:19.0,,,55-63,,Defensive rebound by Z. Pachulia
6:08.0,,,55-65,2,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Felton)
6:06.0,Memphis full timeout,,55-65,,
6:06.0,,,55-65,,D. Powell enters the game for D. Nowitzki
6:06.0,Z. Randolph enters the game for J. Green,,55-65,,
5:57.0,,,55-65,,Personal foul by D. Powell (drawn by M. Gasol)
5:57.0,,,55-65,,J. McGee enters the game for D. Powell
5:57.0,,,55-65,,C. Parsons enters the game for R. Felton
5:50.0,M. Conley makes 3-pt shot from 24 ft,3,58-65,,
5:34.0,Def 3 sec tech foul by Z. Randolph,,58-65,,
5:34.0,,,58-66,1,D. Williams makes technical free throw
5:34.0,,,58-66,,C. Villanueva enters the game for J. McGee
5:20.0,,,58-68,2,Z. Pachulia makes 2-pt shot from 16 ft
5:02.0,M. Barnes misses 3-pt shot from 23 ft,,58-68,,
5:01.0,,,58-68,,Defensive rebound by D. Williams
4:48.0,,,58-68,,D. Williams misses 2-pt shot from 8 ft
4:46.0,,,58-68,,Offensive rebound by Z. Pachulia
4:45.0,,,58-68,,Z. Pachulia misses 2-pt shot from 4 ft
4:44.0,Defensive rebound by M. Gasol,,58-68,,
4:28.0,M. Gasol misses 2-pt shot from 18 ft,,58-68,,
4:27.0,,,58-68,,Defensive rebound by Z. Pachulia
4:21.0,,,58-70,2,C. Villanueva makes 2-pt shot at rim (assist by W. Matthews)
4:21.0,Memphis full timeout,,58-70,,
4:21.0,M. Chalmers enters the game for M. Barnes,,58-70,,
4:10.0,C. Lee misses 3-pt shot from 22 ft,,58-70,,
4:08.0,,,58-70,,Defensive rebound by Z. Pachulia
3:49.0,,,58-70,,C. Parsons misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by Team,,58-70,,
3:29.0,M. Gasol misses 2-pt shot from 9 ft,,58-70,,
3:28.0,,,58-70,,Defensive rebound by C. Parsons
3:21.0,,,58-73,3,C. Villanueva makes 3-pt shot from 23 ft (assist by C. Parsons)
3:02.0,,,58-73,,Shooting block foul by D. Williams (drawn by M. Conley)
3:02.0,M. Conley makes free throw 1 of 2,1,59-73,,
3:02.0,,,59-73,,R. Felton enters the game for D. Williams
3:02.0,M. Conley makes free throw 2 of 2,1,60-73,,
2:49.0,,,60-73,,C. Parsons misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by Z. Randolph,,60-73,,
2:42.0,Turnover by M. Chalmers (lost ball),,60-73,,
2:28.0,,,60-73,,C. Villanueva misses 3-pt shot from 24 ft
2:27.0,Defensive rebound by M. Conley,,60-73,,
2:20.0,,,60-73,,Def 3 sec tech foul by Z. Pachulia
2:20.0,C. Lee makes technical free throw,1,61-73,,
2:07.0,M. Chalmers makes 3-pt shot from 24 ft (assist by C. Lee),3,64-73,,
2:05.0,,,64-73,,Dallas full timeout
2:05.0,,,64-73,,J. McGee enters the game for Z. Pachulia
2:05.0,,,64-73,,D. Nowitzki enters the game for C. Villanueva
1:45.0,,,64-73,,Turnover by J. McGee (3 sec)
1:32.0,M. Conley misses 3-pt shot from 23 ft,,64-73,,
1:31.0,,,64-73,,Defensive rebound by W. Matthews
1:20.0,,,64-73,,R. Felton misses 2-pt shot from 1 ft
1:19.0,,,64-73,,Offensive rebound by J. McGee
1:19.0,,,64-75,2,J. McGee makes 2-pt shot at rim
1:00.0,C. Lee misses 2-pt shot from 19 ft,,64-75,,
1:00.0,,,64-75,,Defensive rebound by R. Felton
0:57.0,,,64-75,,Turnover by R. Felton (bad pass; steal by C. Lee)
0:47.0,Turnover by C. Lee (bad pass; steal by R. Felton),,64-75,,
0:43.0,,,64-75,,Turnover by C. Parsons (lost ball; steal by M. Gasol)
0:37.0,M. Chalmers misses 3-pt shot from 23 ft,,64-75,,
0:36.0,,,64-75,,Defensive rebound by C. Parsons
0:14.0,,,64-75,,R. Felton misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by M. Gasol,,64-75,,
0:02.0,,,64-75,,Shooting block foul by R. Felton (drawn by M. Chalmers)
0:02.0,M. Chalmers makes free throw 1 of 2,1,65-75,,
0:02.0,M. Chalmers makes free throw 2 of 2,1,66-75,,
0:00.0,,,66-75,,C. Parsons misses 3-pt shot from 49 ft
0:00.0,,,66-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Gasol makes 2-pt shot from 12 ft (assist by Z. Randolph),2,68-75,,
11:30.0,,,68-77,2,J. McGee makes 2-pt shot at rim (assist by C. Parsons)
11:09.0,M. Gasol misses 2-pt shot from 10 ft,,68-77,,
11:08.0,,,68-77,,Defensive rebound by Team
11:08.0,Loose ball foul by Z. Randolph (drawn by J. McGee),,68-77,,
10:52.0,,,68-77,,Turnover by R. Felton (bad pass; steal by M. Gasol)
10:35.0,Z. Randolph makes 2-pt shot from 4 ft,2,70-77,,
10:18.0,,,70-80,3,C. Parsons makes 3-pt shot from 23 ft (assist by R. Felton)
9:53.0,M. Gasol misses 2-pt shot from 6 ft,,70-80,,
9:52.0,,,70-80,,Defensive rebound by C. Parsons
9:42.0,,,70-83,3,R. Felton makes 3-pt shot from 23 ft (assist by D. Nowitzki)
9:42.0,Memphis full timeout,,70-83,,
9:42.0,M. Barnes enters the game for M. Gasol,,70-83,,
9:42.0,J. Green enters the game for M. Conley,,70-83,,
9:22.0,J. Green misses 2-pt shot from 4 ft,,70-83,,
9:19.0,,,70-83,,Defensive rebound by J. Barea
9:06.0,,,70-83,,J. McGee misses 2-pt shot from 2 ft
9:05.0,Defensive rebound by J. Green,,70-83,,
9:00.0,M. Chalmers misses 2-pt shot at rim,,70-83,,
8:58.0,Offensive rebound by J. Green,,70-83,,
8:58.0,J. Green misses 2-pt shot from 1 ft,,70-83,,
8:57.0,,,70-83,,Defensive rebound by R. Felton
8:50.0,,,70-86,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by C. Parsons)
8:42.0,,,70-86,,Personal block foul by J. Barea
8:29.0,Z. Randolph misses 2-pt shot from 3 ft (block by J. McGee),,70-86,,
8:27.0,,,70-86,,Defensive rebound by J. McGee
8:12.0,,,70-86,,Offensive foul by J. Barea
8:12.0,,,70-86,,Turnover by J. Barea (offensive foul)
8:12.0,,,70-86,,D. Williams enters the game for D. Nowitzki
8:12.0,,,70-86,,C. Villanueva enters the game for R. Felton
8:04.0,M. Chalmers makes 2-pt shot at rim,2,72-86,,
7:48.0,,,72-86,,Turnover by J. McGee (lost ball; steal by M. Chalmers)
7:44.0,Turnover by M. Chalmers (lost ball; steal by D. Williams),,72-86,,
7:25.0,,,72-86,,Turnover by C. Villanueva (bad pass; steal by M. Barnes)
7:17.0,J. Green misses 2-pt shot from 18 ft,,72-86,,
7:16.0,,,72-86,,Defensive rebound by C. Villanueva
6:56.0,,,72-86,,J. Barea misses 3-pt shot from 23 ft
6:55.0,Defensive rebound by J. Green,,72-86,,
6:47.0,,,72-86,,Personal foul by J. Barea
6:40.0,Z. Randolph misses 2-pt shot from 16 ft,,72-86,,
6:39.0,,,72-86,,Defensive rebound by J. Barea
6:34.0,,,72-88,2,C. Villanueva makes 2-pt shot from 1 ft (assist by J. Barea)
6:21.0,M. Barnes makes 3-pt shot from 24 ft (assist by M. Chalmers),3,75-88,,
6:02.0,,,75-91,3,C. Villanueva makes 3-pt shot from 25 ft (assist by J. Barea)
5:34.0,Z. Randolph misses 2-pt shot from 4 ft,,75-91,,
5:32.0,,,75-91,,Defensive rebound by D. Williams
5:23.0,,,75-93,2,J. McGee makes 2-pt shot at rim (assist by J. Barea)
5:22.0,Memphis full timeout,,75-93,,
5:22.0,,,75-93,,Z. Pachulia enters the game for J. McGee
5:22.0,J. Martin enters the game for Z. Randolph,,75-93,,
5:09.0,J. Green misses 2-pt shot from 5 ft,,75-93,,
5:08.0,Offensive rebound by J. Green,,75-93,,
5:07.0,J. Green misses 2-pt shot from 2 ft,,75-93,,
5:06.0,,,75-93,,Defensive rebound by C. Parsons
5:01.0,,,75-93,,C. Parsons misses 2-pt shot at rim
5:00.0,Defensive rebound by J. Green,,75-93,,
4:55.0,J. Green makes 2-pt shot at rim (assist by M. Barnes),2,77-93,,
4:38.0,,,77-93,,Offensive foul by Z. Pachulia
4:38.0,,,77-93,,Turnover by Z. Pachulia (offensive foul)
4:24.0,J. Martin misses 2-pt shot from 6 ft,,77-93,,
4:23.0,Offensive rebound by J. Green,,77-93,,
4:23.0,J. Green makes 2-pt shot at rim,2,79-93,,
4:00.0,,,79-93,,D. Williams misses 3-pt shot from 22 ft
4:00.0,,,79-93,,Offensive rebound by Team
4:00.0,Personal foul by J. Green (drawn by Z. Pachulia),,79-93,,
3:57.0,,,79-95,2,C. Parsons makes 2-pt shot from 2 ft (assist by C. Villanueva)
3:44.0,M. Chalmers misses 2-pt shot from 5 ft,,79-95,,
