time,Oklahoma City,pts.away,score,pts.home,LA Lakers
0:12.0,S. Ibaka makes 2-pt shot from 12 ft,2,60-53,,
0:01.0,,,60-53,,Offensive foul by R. Hibbert
0:01.0,,,60-53,,Turnover by R. Hibbert (offensive foul)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,60-53,,L. Williams misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by K. Durant,,60-53,,
11:25.0,Turnover by S. Ibaka (lost ball; steal by L. Nance),,60-53,,
11:19.0,,,60-55,2,K. Bryant makes 2-pt shot from 19 ft
10:53.0,Turnover by Team (shot clock),,60-55,,
10:34.0,,,60-55,,K. Bryant misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by S. Adams,,60-55,,
10:25.0,R. Westbrook misses 2-pt shot from 18 ft,,60-55,,
10:24.0,Offensive rebound by A. Roberson,,60-55,,
10:23.0,A. Roberson makes 2-pt shot from 2 ft,2,62-55,,
9:58.0,,,62-57,2,L. Williams makes 2-pt shot from 12 ft
9:44.0,S. Ibaka makes 2-pt shot at rim (assist by S. Adams),2,64-57,,
9:21.0,,,64-59,2,J. Clarkson makes 2-pt shot from 7 ft
8:57.0,R. Westbrook makes 2-pt shot from 14 ft,2,66-59,,
8:31.0,,,66-61,2,K. Bryant makes 2-pt shot from 3 ft
8:18.0,R. Westbrook misses 2-pt shot from 11 ft,,66-61,,
8:18.0,Offensive rebound by A. Roberson,,66-61,,
8:18.0,Shooting foul by R. Hibbert (drawn by A. Roberson),,66-61,,
8:18.0,A. Roberson makes free throw 1 of 2,1,67-61,,
8:18.0,A. Roberson misses free throw 2 of 2,,67-61,,
8:17.0,,,67-61,,Defensive rebound by R. Hibbert
8:06.0,,,67-61,,Shooting foul by A. Roberson (drawn by L. Williams)
8:06.0,,,67-62,1,L. Williams makes free throw 1 of 2
8:06.0,,,67-63,1,L. Williams makes free throw 2 of 2
7:43.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,69-63,,
7:33.0,Personal foul by A. Roberson (drawn by K. Bryant),,69-63,,
7:33.0,E. Kanter enters the game for S. Adams,,69-63,,
7:33.0,D. Waiters enters the game for A. Roberson,,69-63,,
7:24.0,,,69-65,2,R. Hibbert makes 2-pt shot at rim (assist by K. Bryant)
7:09.0,R. Westbrook misses 2-pt shot from 2 ft,,69-65,,
7:08.0,,,69-65,,Defensive rebound by J. Clarkson
7:03.0,,,69-68,3,L. Williams makes 3-pt shot from 24 ft (assist by K. Bryant)
7:03.0,Oklahoma City full timeout,,69-68,,
7:03.0,A. Morrow enters the game for S. Ibaka,,69-68,,
6:53.0,E. Kanter misses 2-pt shot at rim,,69-68,,
6:52.0,Offensive rebound by R. Westbrook,,69-68,,
6:51.0,R. Westbrook misses 2-pt shot from 1 ft (block by L. Nance),,69-68,,
6:50.0,,,69-68,,Defensive rebound by L. Williams
6:45.0,,,69-68,,Shooting foul by A. Morrow (drawn by L. Nance)
6:45.0,,,69-69,1,L. Nance makes free throw 1 of 2
6:45.0,,,69-70,1,L. Nance makes free throw 2 of 2
6:31.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,71-70,,
6:04.0,,,71-70,,K. Bryant misses 2-pt shot from 8 ft
6:03.0,,,71-70,,Offensive rebound by K. Bryant
5:57.0,,,71-72,2,K. Bryant makes 2-pt shot from 2 ft
5:43.0,Shooting foul by J. Clarkson (drawn by K. Durant),,71-72,,
5:43.0,K. Durant makes free throw 1 of 2,1,72-72,,
5:43.0,,,72-72,,M. Huertas enters the game for L. Williams
5:43.0,K. Durant makes free throw 2 of 2,1,73-72,,
5:23.0,,,73-72,,K. Bryant misses 2-pt shot from 5 ft
5:21.0,Defensive rebound by R. Westbrook,,73-72,,
5:19.0,Shooting foul by L. Nance (drawn by R. Westbrook),,73-72,,
5:19.0,R. Westbrook makes free throw 1 of 2,1,74-72,,
5:19.0,,,74-72,,J. Randle enters the game for L. Nance
5:19.0,,,74-72,,B. Bass enters the game for R. Hibbert
5:19.0,R. Westbrook makes free throw 2 of 2,1,75-72,,
5:00.0,,,75-72,,J. Clarkson misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by E. Kanter,,75-72,,
4:50.0,Turnover by K. Durant (bad pass; steal by K. Bryant),,75-72,,
4:44.0,,,75-74,2,K. Bryant makes 2-pt shot at rim
4:28.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,77-74,,
4:16.0,,,77-74,,Shooting foul by A. Morrow (drawn by K. Bryant)
4:16.0,,,77-75,1,K. Bryant makes free throw 1 of 2
4:16.0,,,77-76,1,K. Bryant makes free throw 2 of 2
4:04.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,79-76,,
3:51.0,,,79-78,2,B. Bass makes 2-pt shot at rim (assist by M. Huertas)
3:38.0,R. Westbrook misses 3-pt shot from 24 ft,,79-78,,
3:37.0,,,79-78,,Defensive rebound by J. Clarkson
3:18.0,,,79-78,,K. Bryant misses 2-pt shot from 13 ft
3:14.0,Defensive rebound by K. Durant,,79-78,,
3:08.0,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook),3,82-78,,
3:08.0,,,82-78,,LA Lakers full timeout
3:08.0,,,82-78,,A. Brown enters the game for K. Bryant
2:49.0,,,82-78,,J. Randle misses 2-pt shot from 6 ft (block by E. Kanter)
2:47.0,Defensive rebound by R. Westbrook,,82-78,,
2:41.0,A. Morrow misses 3-pt shot from 25 ft,,82-78,,
2:38.0,,,82-78,,Defensive rebound by J. Randle
2:19.0,,,82-81,3,A. Brown makes 3-pt shot from 27 ft (assist by J. Randle)
2:10.0,,,82-81,,Violation by J. Clarkson (kicked ball)
2:10.0,C. Payne enters the game for R. Westbrook,,82-81,,
1:58.0,K. Durant makes 3-pt shot from 24 ft (assist by C. Payne),3,85-81,,
1:32.0,,,85-83,2,B. Bass makes 2-pt shot at rim (assist by J. Clarkson)
1:16.0,K. Durant misses 3-pt shot from 24 ft,,85-83,,
1:15.0,,,85-83,,Defensive rebound by J. Clarkson
1:08.0,,,85-83,,J. Clarkson misses 2-pt shot from 1 ft (block by K. Durant)
1:06.0,,,85-83,,Offensive rebound by J. Randle
1:04.0,,,85-83,,Turnover by J. Randle (lost ball; steal by D. Waiters)
1:00.0,C. Payne makes 2-pt shot at rim (assist by D. Waiters),2,87-83,,
0:41.0,,,87-85,2,J. Clarkson makes 2-pt shot from 7 ft
0:31.0,K. Durant makes 3-pt shot from 25 ft,3,90-85,,
0:05.0,,,90-85,,J. Randle misses 3-pt shot from 23 ft
0:04.0,Defensive rebound by E. Kanter,,90-85,,
0:01.0,A. Morrow misses 3-pt shot from 22 ft (block by A. Brown),,90-85,,
0:00.0,Offensive rebound by Team,,90-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,D. Waiters misses 2-pt shot from 16 ft,,90-85,,
11:41.0,,,90-85,,Defensive rebound by A. Brown
11:27.0,,,90-85,,Offensive charge foul by J. Randle
11:27.0,,,90-85,,Turnover by J. Randle (offensive foul)
11:08.0,A. Morrow makes 2-pt shot from 18 ft (assist by D. Waiters),2,92-85,,
10:51.0,,,92-85,,J. Clarkson misses 2-pt shot from 9 ft
10:49.0,Defensive rebound by A. Morrow,,92-85,,
10:40.0,C. Payne makes 2-pt shot from 19 ft (assist by N. Collison),2,94-85,,
10:24.0,,,94-85,,Turnover by Team (back court)
10:24.0,,,94-85,,L. Williams enters the game for J. Clarkson
10:10.0,C. Payne misses 2-pt shot from 6 ft,,94-85,,
10:09.0,Offensive rebound by N. Collison,,94-85,,
10:04.0,N. Collison misses 2-pt shot from 1 ft,,94-85,,
10:02.0,,,94-85,,Defensive rebound by B. Bass
10:00.0,,,94-85,,Turnover by L. Williams (lost ball; steal by D. Waiters)
9:54.0,D. Waiters misses 2-pt shot from 1 ft,,94-85,,
9:53.0,Offensive rebound by E. Kanter,,94-85,,
9:50.0,E. Kanter makes 2-pt shot at rim,2,96-85,,
9:49.0,,,96-85,,LA Lakers full timeout
9:32.0,,,96-85,,L. Williams misses 3-pt shot from 27 ft
9:31.0,,,96-85,,Offensive rebound by M. Huertas
9:29.0,,,96-85,,M. Huertas misses 3-pt shot from 23 ft
9:29.0,,,96-85,,Offensive rebound by Team
9:29.0,,,96-85,,Turnover by Team (shot clock)
9:19.0,Turnover by C. Payne (bad pass; steal by L. Williams),,96-85,,
9:13.0,,,96-87,2,L. Williams makes 2-pt shot from 1 ft
8:51.0,A. Morrow misses 2-pt shot from 5 ft,,96-87,,
8:51.0,Offensive rebound by Team,,96-87,,
8:51.0,,,96-87,,Loose ball foul by J. Randle (drawn by E. Kanter)
8:45.0,D. Waiters misses 2-pt shot from 21 ft,,96-87,,
8:45.0,,,96-87,,Defensive rebound by Team
8:45.0,Loose ball foul by E. Kanter (drawn by B. Bass),,96-87,,
8:30.0,,,96-89,2,L. Williams makes 2-pt shot from 1 ft (assist by B. Bass)
8:29.0,Oklahoma City full timeout,,96-89,,
8:29.0,K. Durant enters the game for D. Waiters,,96-89,,
8:29.0,R. Westbrook enters the game for N. Collison,,96-89,,
8:29.0,S. Ibaka enters the game for A. Morrow,,96-89,,
8:10.0,E. Kanter misses 2-pt shot at rim (block by A. Brown),,96-89,,
8:09.0,Offensive rebound by Team,,96-89,,
8:05.0,E. Kanter misses 3-pt shot from 24 ft,,96-89,,
8:04.0,,,96-89,,Defensive rebound by Team
7:48.0,,,96-92,3,L. Williams makes 3-pt shot from 25 ft
7:28.0,R. Westbrook misses 2-pt shot from 1 ft,,96-92,,
7:27.0,Offensive rebound by R. Westbrook,,96-92,,
7:22.0,R. Westbrook makes 2-pt shot from 8 ft,2,98-92,,
7:00.0,,,98-94,2,L. Williams makes 2-pt shot from 19 ft
6:33.0,C. Payne misses 3-pt shot from 24 ft,,98-94,,
6:32.0,,,98-94,,Defensive rebound by M. Huertas
6:26.0,,,98-97,3,L. Williams makes 3-pt shot from 25 ft (assist by M. Huertas)
6:04.0,K. Durant misses 2-pt shot from 18 ft,,98-97,,
6:04.0,,,98-97,,Defensive rebound by J. Randle
5:54.0,,,98-97,,L. Williams misses 2-pt shot from 16 ft
5:54.0,,,98-97,,Offensive rebound by B. Bass
5:48.0,,,98-97,,B. Bass misses 2-pt shot from 1 ft
5:47.0,,,98-97,,Offensive rebound by J. Randle
5:44.0,,,98-99,2,J. Randle makes 2-pt shot from 1 ft
5:35.0,R. Westbrook makes 3-pt shot from 25 ft,3,101-99,,
5:14.0,,,101-102,3,L. Williams makes 3-pt shot from 23 ft (assist by A. Brown)
4:50.0,R. Westbrook misses 3-pt shot from 24 ft,,101-102,,
4:49.0,,,101-102,,Defensive rebound by J. Randle
4:36.0,,,101-102,,L. Williams misses 3-pt shot from 26 ft
4:36.0,,,101-102,,Offensive rebound by M. Huertas
4:18.0,,,101-104,2,L. Williams makes 2-pt shot from 1 ft
4:18.0,Oklahoma City full timeout,,101-104,,
4:18.0,S. Adams enters the game for E. Kanter,,101-104,,
4:18.0,A. Roberson enters the game for C. Payne,,101-104,,
4:18.0,,,101-104,,J. Clarkson enters the game for A. Brown
4:18.0,,,101-104,,K. Bryant enters the game for M. Huertas
3:57.0,K. Durant makes 2-pt shot from 10 ft,2,103-104,,
3:57.0,Personal foul by S. Adams (drawn by J. Randle),,103-104,,
3:57.0,,,103-104,,Personal foul by J. Randle
3:41.0,,,103-104,,L. Williams misses 2-pt shot from 15 ft
3:41.0,,,103-104,,Offensive rebound by B. Bass
3:31.0,,,103-104,,K. Bryant misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by A. Roberson,,103-104,,
3:27.0,Shooting foul by B. Bass (drawn by R. Westbrook),,103-104,,
3:27.0,R. Westbrook makes free throw 1 of 2,1,104-104,,
3:27.0,A. Morrow enters the game for S. Adams,,104-104,,
3:27.0,R. Westbrook makes free throw 2 of 2,1,105-104,,
3:07.0,,,105-104,,Shooting foul by A. Roberson (drawn by L. Williams)
3:07.0,,,105-105,1,L. Williams makes free throw 1 of 3
3:07.0,,,105-106,1,L. Williams makes free throw 2 of 3
3:07.0,,,105-107,1,L. Williams makes free throw 3 of 3
3:00.0,R. Westbrook makes 2-pt shot from 1 ft,2,107-107,,
2:45.0,,,107-107,,L. Williams misses 2-pt shot from 1 ft
2:44.0,Defensive rebound by R. Westbrook,,107-107,,
2:40.0,Turnover by R. Westbrook (bad pass; steal by B. Bass),,107-107,,
2:32.0,,,107-107,,L. Williams misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by Team,,107-107,,
2:32.0,,,107-107,,Loose ball foul by J. Randle (drawn by R. Westbrook)
2:32.0,Official timeout,,107-107,,
2:32.0,,,107-107,,A. Brown enters the game for J. Randle
2:10.0,Turnover by R. Westbrook (bad pass; steal by J. Clarkson),,107-107,,
1:58.0,,,107-107,,Shooting foul by S. Ibaka (drawn by L. Williams)
1:58.0,,,107-108,1,L. Williams makes free throw 1 of 3
1:58.0,,,107-109,1,L. Williams makes free throw 2 of 3
1:58.0,S. Adams enters the game for S. Ibaka,,107-109,,
1:58.0,,,107-110,1,L. Williams makes free throw 3 of 3
1:45.0,R. Westbrook makes 2-pt shot at rim,2,109-110,,
1:45.0,Shooting foul by B. Bass (drawn by R. Westbrook),,109-110,,
