time,Miami,pts.away,score,pts.home,Washington
6:41.0,,,29-35,,J. Dudley misses 2-pt shot from 17 ft
6:40.0,,,29-35,,Offensive rebound by M. Gortat
6:37.0,,,29-37,2,J. Dudley makes 2-pt shot from 14 ft (assist by M. Gortat)
6:30.0,Miami full timeout,,29-37,,
6:30.0,J. Richardson enters the game for G. Green,,29-37,,
6:30.0,H. Whiteside enters the game for A. Stoudemire,,29-37,,
6:18.0,Miami full timeout,,29-37,,
6:18.0,L. Deng enters the game for H. Whiteside,,29-37,,
6:13.0,C. Bosh makes 2-pt shot from 17 ft (assist by T. Johnson),2,31-37,,
5:57.0,,,31-37,,G. Neal misses 2-pt shot from 20 ft
5:56.0,Defensive rebound by L. Deng,,31-37,,
5:40.0,J. Richardson misses 2-pt shot from 19 ft,,31-37,,
5:39.0,,,31-37,,Defensive rebound by M. Gortat
5:25.0,,,31-37,,J. Wall misses 2-pt shot at rim
5:24.0,,,31-37,,Offensive rebound by Team
5:24.0,,,31-37,,B. Beal enters the game for G. Neal
5:13.0,,,31-37,,J. Wall misses 3-pt shot from 26 ft
5:12.0,,,31-37,,Offensive rebound by Team
5:12.0,Loose ball foul by J. Richardson (drawn by J. Dudley),,31-37,,
5:06.0,,,31-37,,B. Beal misses 2-pt shot from 2 ft
5:05.0,,,31-37,,Offensive rebound by M. Gortat
5:04.0,,,31-39,2,M. Gortat makes 2-pt shot from 2 ft
4:41.0,Offensive foul by C. Bosh,,31-39,,
4:41.0,Turnover by C. Bosh (offensive foul),,31-39,,
4:24.0,,,31-41,2,G. Temple makes 2-pt shot from 13 ft
4:05.0,Turnover by T. Johnson (lost ball),,31-41,,
3:48.0,,,31-43,2,B. Beal makes 2-pt shot from 1 ft
3:34.0,,,31-43,,Personal foul by M. Gortat (drawn by C. Bosh)
3:34.0,C. Bosh makes free throw 1 of 2,1,32-43,,
3:34.0,C. Bosh makes free throw 2 of 2,1,33-43,,
3:18.0,,,33-43,,Turnover by J. Wall (traveling)
3:08.0,L. Deng misses 2-pt shot from 15 ft,,33-43,,
3:07.0,,,33-43,,Defensive rebound by J. Wall
2:59.0,,,33-43,,J. Dudley misses 3-pt shot from 25 ft
2:58.0,,,33-43,,Offensive rebound by M. Gortat
2:48.0,,,33-43,,M. Gortat misses 2-pt shot from 16 ft
2:48.0,,,33-43,,Offensive rebound by Team
2:48.0,,,33-43,,Washington full timeout
2:48.0,G. Green enters the game for T. Johnson,,33-43,,
2:36.0,,,33-45,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
2:09.0,C. Bosh makes 2-pt shot at rim (assist by J. Winslow),2,35-45,,
1:53.0,,,35-45,,B. Beal misses 2-pt shot from 6 ft
1:52.0,,,35-45,,Offensive rebound by B. Beal
1:46.0,,,35-45,,J. Wall misses 3-pt shot from 25 ft
1:45.0,,,35-45,,Offensive rebound by M. Gortat
1:39.0,,,35-47,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:14.0,Turnover by Team (shot clock),,35-47,,
1:14.0,T. Johnson enters the game for J. Winslow,,35-47,,
0:50.0,,,35-47,,B. Beal misses 2-pt shot from 22 ft
0:49.0,Defensive rebound by L. Deng,,35-47,,
0:41.0,Turnover by L. Deng (lost ball; steal by B. Beal),,35-47,,
0:33.0,,,35-49,2,J. Wall makes 2-pt shot from 9 ft
0:22.0,J. Richardson makes 2-pt shot from 1 ft,2,37-49,,
0:15.0,,,37-49,,Washington full timeout
0:15.0,J. Winslow enters the game for T. Johnson,,37-49,,
0:15.0,,,37-49,,G. Neal enters the game for G. Temple
0:01.0,,,37-51,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,G. Green makes 2-pt shot from 7 ft,2,39-51,,
11:14.0,,,39-53,2,N. Hilario makes 2-pt shot at rim
10:47.0,Shooting foul by K. Oubre (drawn by L. Deng),,39-53,,
10:47.0,L. Deng misses free throw 1 of 2,,39-53,,
10:47.0,Offensive rebound by Team,,39-53,,
10:47.0,L. Deng makes free throw 2 of 2,1,40-53,,
10:32.0,,,40-53,,Turnover by N. Hilario (bad pass)
10:21.0,G. Green misses 2-pt shot from 19 ft,,40-53,,
10:20.0,Offensive rebound by C. Bosh,,40-53,,
10:15.0,L. Deng makes 3-pt shot from 23 ft (assist by C. Bosh),3,43-53,,
10:04.0,,,43-55,2,G. Temple makes 2-pt shot from 18 ft (assist by J. Wall)
9:40.0,T. Johnson makes 3-pt shot from 26 ft (assist by C. Bosh),3,46-55,,
9:20.0,,,46-55,,K. Oubre misses 3-pt shot from 22 ft
9:19.0,Defensive rebound by T. Johnson,,46-55,,
9:07.0,,,46-55,,Personal foul by J. Wall (drawn by G. Green)
8:54.0,C. Bosh makes 2-pt shot from 16 ft (assist by T. Johnson),2,48-55,,
8:39.0,,,48-57,2,J. Wall makes 2-pt shot from 16 ft
8:20.0,T. Johnson makes 2-pt shot from 1 ft,2,50-57,,
8:04.0,,,50-57,,N. Hilario misses 2-pt shot from 1 ft
8:03.0,,,50-57,,Offensive rebound by N. Hilario
8:03.0,,,50-57,,N. Hilario misses 2-pt shot from 1 ft
8:03.0,Defensive rebound by Team,,50-57,,
7:48.0,G. Green misses 3-pt shot from 23 ft,,50-57,,
7:47.0,,,50-57,,Defensive rebound by K. Oubre
7:35.0,,,50-57,,J. Wall misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by C. Bosh,,50-57,,
7:17.0,A. Stoudemire misses 2-pt shot from 1 ft,,50-57,,
7:16.0,,,50-57,,Defensive rebound by M. Gortat
7:12.0,,,50-57,,J. Wall misses 2-pt shot from 1 ft
7:12.0,,,50-57,,Offensive rebound by Team
7:12.0,Loose ball foul by C. Bosh (drawn by K. Oubre),,50-57,,
7:12.0,J. Richardson enters the game for G. Green,,50-57,,
7:07.0,,,50-59,2,G. Temple makes 2-pt shot from 17 ft
6:44.0,Turnover by A. Stoudemire (bad pass; steal by N. Hilario),,50-59,,
6:40.0,,,50-61,2,N. Hilario makes 2-pt shot at rim
6:40.0,Miami full timeout,,50-61,,
6:26.0,J. Winslow enters the game for L. Deng,,50-61,,
6:19.0,Shooting foul by J. Wall (drawn by C. Bosh),,50-61,,
6:19.0,C. Bosh misses free throw 1 of 2,,50-61,,
6:19.0,Offensive rebound by Team,,50-61,,
6:19.0,C. Bosh makes free throw 2 of 2,1,51-61,,
6:04.0,,,51-61,,Turnover by N. Hilario (lost ball; steal by J. Richardson)
5:58.0,J. Winslow misses 2-pt shot at rim,,51-61,,
5:57.0,,,51-61,,Defensive rebound by G. Temple
5:53.0,,,51-61,,K. Oubre misses 3-pt shot from 26 ft
5:50.0,,,51-61,,Offensive rebound by Team
5:50.0,,,51-61,,B. Beal enters the game for K. Oubre
5:38.0,,,51-61,,G. Temple misses 2-pt shot from 17 ft
5:37.0,Defensive rebound by T. Johnson,,51-61,,
5:27.0,T. Johnson makes 2-pt shot from 8 ft (assist by J. Winslow),2,53-61,,
5:17.0,,,53-61,,B. Beal misses 3-pt shot from 23 ft
5:16.0,Defensive rebound by C. Bosh,,53-61,,
5:06.0,C. Bosh makes 3-pt shot from 26 ft (assist by T. Johnson),3,56-61,,
4:53.0,,,56-63,2,N. Hilario makes 2-pt shot at rim (assist by M. Gortat)
4:36.0,T. Johnson misses 2-pt shot from 12 ft,,56-63,,
4:35.0,,,56-63,,Defensive rebound by N. Hilario
4:29.0,,,56-66,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
3:59.0,A. Stoudemire makes 2-pt shot from 20 ft (assist by J. Richardson),2,58-66,,
3:56.0,,,58-66,,Washington full timeout
3:56.0,,,58-66,,J. Dudley enters the game for N. Hilario
3:56.0,U. Haslem enters the game for C. Bosh,,58-66,,
3:56.0,L. Deng enters the game for T. Johnson,,58-66,,
3:56.0,G. Green enters the game for A. Stoudemire,,58-66,,
3:38.0,,,58-69,3,G. Temple makes 3-pt shot from 27 ft (assist by B. Beal)
3:18.0,L. Deng makes 2-pt shot at rim (assist by U. Haslem),2,60-69,,
3:00.0,,,60-71,2,B. Beal makes 2-pt shot from 18 ft
2:43.0,U. Haslem misses 2-pt shot from 21 ft,,60-71,,
2:42.0,,,60-71,,Defensive rebound by M. Gortat
2:33.0,,,60-73,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Dudley)
2:09.0,G. Green misses 2-pt shot from 17 ft,,60-73,,
2:08.0,,,60-73,,Defensive rebound by M. Gortat
2:01.0,,,60-75,2,J. Dudley makes 2-pt shot from 19 ft (assist by J. Wall)
1:38.0,Shooting foul by J. Wall (drawn by L. Deng),,60-75,,
1:38.0,L. Deng makes free throw 1 of 2,1,61-75,,
1:38.0,,,61-75,,R. Sessions enters the game for J. Wall
1:38.0,,,61-75,,G. Neal enters the game for G. Temple
1:38.0,L. Deng makes free throw 2 of 2,1,62-75,,
1:26.0,,,62-77,2,B. Beal makes 2-pt shot from 4 ft (assist by J. Dudley)
1:03.0,,,62-77,,Personal foul by B. Beal (drawn by U. Haslem)
1:03.0,U. Haslem makes free throw 1 of 2,1,63-77,,
1:03.0,U. Haslem makes free throw 2 of 2,1,64-77,,
0:51.0,,,64-79,2,B. Beal makes 2-pt shot at rim
0:28.0,J. Winslow misses 2-pt shot from 14 ft,,64-79,,
0:27.0,,,64-79,,Defensive rebound by M. Gortat
0:10.0,,,64-81,2,R. Sessions makes 2-pt shot from 1 ft
0:03.0,J. Richardson misses 3-pt shot from 24 ft (block by M. Gortat),,64-81,,
0:01.0,,,64-81,,Defensive rebound by R. Sessions
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,64-81,,R. Sessions misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by J. Richardson,,64-81,,
11:33.0,Turnover by J. Richardson (bad pass; steal by N. Hilario),,64-81,,
11:28.0,,,64-81,,Shooting foul by C. Bosh (drawn by R. Sessions)
11:28.0,,,64-82,1,R. Sessions makes free throw 1 of 2
11:28.0,,,64-83,1,R. Sessions makes free throw 2 of 2
11:08.0,J. Richardson makes 2-pt shot at rim (assist by J. Winslow),2,66-83,,
10:50.0,Personal foul by C. Bosh (drawn by N. Hilario),,66-83,,
10:50.0,A. Stoudemire enters the game for C. Bosh,,66-83,,
10:41.0,,,66-83,,N. Hilario misses 2-pt shot from 4 ft
10:40.0,Defensive rebound by A. Stoudemire,,66-83,,
10:23.0,T. Johnson misses 2-pt shot from 19 ft,,66-83,,
10:22.0,,,66-83,,Defensive rebound by G. Neal
10:17.0,,,66-86,3,G. Neal makes 3-pt shot from 27 ft
10:03.0,L. Deng misses 2-pt shot from 18 ft,,66-86,,
10:02.0,,,66-86,,Defensive rebound by G. Neal
9:47.0,,,66-88,2,N. Hilario makes 2-pt shot from 18 ft (assist by R. Sessions)
9:46.0,Miami full timeout,,66-88,,
9:46.0,C. Bosh enters the game for L. Deng,,66-88,,
9:24.0,Offensive foul by A. Stoudemire,,66-88,,
9:24.0,Turnover by A. Stoudemire (offensive foul),,66-88,,
9:13.0,,,66-88,,R. Sessions misses 2-pt shot from 10 ft
9:12.0,Defensive rebound by J. Richardson,,66-88,,
8:58.0,C. Bosh makes 2-pt shot from 18 ft,2,68-88,,
8:33.0,,,68-88,,N. Hilario misses 2-pt shot from 14 ft
8:32.0,,,68-88,,Offensive rebound by B. Beal
8:29.0,,,68-90,2,B. Beal makes 2-pt shot from 6 ft
8:12.0,C. Bosh misses 3-pt shot from 25 ft,,68-90,,
8:11.0,,,68-90,,Defensive rebound by J. Dudley
8:02.0,,,68-92,2,G. Neal makes 2-pt shot from 3 ft (assist by N. Hilario)
7:46.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow),3,71-92,,
7:25.0,,,71-92,,B. Beal misses 3-pt shot from 25 ft
7:24.0,,,71-92,,Offensive rebound by B. Beal
7:11.0,,,71-92,,J. Dudley misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by C. Bosh,,71-92,,
7:00.0,Shooting foul by J. Dudley (drawn by J. Richardson),,71-92,,
7:00.0,J. Richardson makes free throw 1 of 2,1,72-92,,
7:00.0,,,72-92,,M. Gortat enters the game for J. Dudley
7:00.0,G. Green enters the game for T. Johnson,,72-92,,
7:00.0,L. Deng enters the game for C. Bosh,,72-92,,
7:00.0,J. Richardson makes free throw 2 of 2,1,73-92,,
6:44.0,Personal foul by J. Richardson (drawn by B. Beal),,73-92,,
6:44.0,,,73-92,,J. Wall enters the game for B. Beal
6:44.0,,,73-92,,K. Oubre enters the game for N. Hilario
6:39.0,,,73-92,,G. Neal misses 2-pt shot from 16 ft
6:38.0,Defensive rebound by A. Stoudemire,,73-92,,
6:28.0,,,73-92,,Personal foul by J. Wall (drawn by A. Stoudemire)
6:18.0,L. Deng misses 2-pt shot from 11 ft,,73-92,,
6:17.0,,,73-92,,Defensive rebound by J. Wall
6:09.0,,,73-94,2,J. Wall makes 2-pt shot from 19 ft
5:48.0,J. Richardson misses 2-pt shot from 1 ft (block by K. Oubre),,73-94,,
5:47.0,Offensive rebound by L. Deng,,73-94,,
5:45.0,L. Deng misses 2-pt shot at rim (block by M. Gortat),,73-94,,
5:43.0,,,73-94,,Defensive rebound by J. Wall
5:41.0,,,73-94,,M. Gortat misses 2-pt shot from 2 ft (block by J. Richardson)
5:38.0,Defensive rebound by G. Green,,73-94,,
5:35.0,A. Stoudemire makes 2-pt shot at rim (assist by G. Green),2,75-94,,
5:22.0,,,75-94,,R. Sessions misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by L. Deng,,75-94,,
5:12.0,L. Deng misses 2-pt shot from 3 ft,,75-94,,
5:12.0,Offensive rebound by Team,,75-94,,
5:12.0,,,75-94,,Loose ball foul by G. Neal (drawn by A. Stoudemire)
5:12.0,Official timeout,,75-94,,
5:12.0,J. Stokes enters the game for A. Stoudemire,,75-94,,
5:12.0,T. Johnson enters the game for G. Green,,75-94,,
5:04.0,T. Johnson misses 2-pt shot from 8 ft,,75-94,,
5:03.0,Offensive rebound by J. Winslow,,75-94,,
5:01.0,J. Winslow misses 2-pt shot from 5 ft,,75-94,,
5:01.0,Offensive rebound by Team,,75-94,,
5:01.0,,,75-94,,Loose ball foul by M. Gortat (drawn by J. Winslow)
4:54.0,J. Richardson misses 3-pt shot from 24 ft,,75-94,,
4:53.0,Offensive rebound by Team,,75-94,,
4:45.0,J. Stokes makes 2-pt shot from 3 ft (assist by T. Johnson),2,77-94,,
4:19.0,,,77-94,,J. Wall misses 3-pt shot from 29 ft
4:18.0,Defensive rebound by J. Winslow,,77-94,,
4:02.0,J. Stokes misses 2-pt shot from 19 ft,,77-94,,
4:00.0,,,77-94,,Defensive rebound by K. Oubre
3:55.0,,,77-94,,M. Gortat misses 2-pt shot from 1 ft
3:53.0,Defensive rebound by L. Deng,,77-94,,
3:48.0,J. Stokes makes 2-pt shot from 1 ft (assist by T. Johnson),2,79-94,,
3:42.0,,,79-96,2,R. Sessions makes 2-pt shot at rim (assist by J. Wall)
3:19.0,J. Richardson misses 3-pt shot from 25 ft,,79-96,,
3:17.0,,,79-96,,Defensive rebound by J. Wall
3:13.0,,,79-96,,Shooting foul by J. Winslow (drawn by J. Wall)
3:13.0,,,79-98,2,J. Wall makes 2-pt shot from 1 ft
3:13.0,,,79-99,1,J. Wall makes free throw 1 of 1
2:58.0,Turnover by J. Richardson (lost ball),,79-99,,
2:58.0,,,79-99,,Washington full timeout
2:58.0,,,79-99,,G. Temple enters the game for J. Wall
2:58.0,,,79-99,,D. Blair enters the game for M. Gortat
2:41.0,,,79-101,2,D. Blair makes 2-pt shot from 20 ft
2:25.0,,,79-101,,Personal foul by K. Oubre (drawn by L. Deng)
2:25.0,Miami full timeout,,79-101,,
2:25.0,,,79-101,,J. Eddie enters the game for G. Temple
2:25.0,U. Haslem enters the game for L. Deng,,79-101,,
2:25.0,U. Haslem misses free throw 1 of 2,,79-101,,
2:25.0,Offensive rebound by Team,,79-101,,
2:25.0,U. Haslem makes free throw 2 of 2,1,80-101,,
2:10.0,,,80-101,,Offensive foul by D. Blair
2:10.0,,,80-101,,Turnover by D. Blair (offensive foul)
1:55.0,Turnover by J. Winslow (traveling),,80-101,,
1:43.0,,,80-104,3,J. Eddie makes 3-pt shot from 27 ft (assist by R. Sessions)
1:31.0,J. Winslow makes 2-pt shot from 9 ft (assist by U. Haslem),2,82-104,,
1:11.0,,,82-106,2,G. Neal makes 2-pt shot from 13 ft
0:55.0,J. Winslow makes 2-pt shot from 22 ft,2,84-106,,
0:39.0,,,84-106,,R. Sessions misses 2-pt shot from 1 ft (block by J. Richardson)
0:37.0,Defensive rebound by U. Haslem,,84-106,,
0:25.0,J. Stokes misses 2-pt shot from 17 ft,,84-106,,
0:24.0,Offensive rebound by U. Haslem,,84-106,,
0:12.0,J. Winslow makes 3-pt shot from 25 ft (assist by J. Richardson),3,87-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
