time,Brooklyn,pts.away,score,pts.home,Utah
3:15.0,,,11-16,,Defensive rebound by T. Booker
3:08.0,,,11-16,,Shooting foul by T. Young (drawn by R. Gobert)
3:08.0,,,11-16,,R. Gobert misses free throw 1 of 2
3:08.0,,,11-16,,Offensive rebound by Team
3:08.0,,,11-16,,R. Gobert misses free throw 2 of 2
3:07.0,Defensive rebound by T. Robinson,,11-16,,
2:54.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan),3,14-16,,
2:37.0,,,14-18,2,G. Hayward makes 2-pt shot from 2 ft
2:26.0,T. Young misses 2-pt shot from 3 ft,,14-18,,
2:25.0,,,14-18,,Defensive rebound by R. Gobert
2:19.0,Personal foul by T. Robinson (drawn by R. Neto),,14-18,,
2:19.0,,,14-18,,Utah full timeout
2:19.0,,,14-18,,D. Favors enters the game for R. Gobert
2:19.0,,,14-19,1,R. Neto makes free throw 1 of 2
2:19.0,,,14-20,1,R. Neto makes free throw 2 of 2
2:04.0,T. Young misses 2-pt shot from 5 ft,,14-20,,
2:03.0,Offensive rebound by T. Robinson,,14-20,,
2:03.0,T. Robinson makes 2-pt shot from 1 ft,2,16-20,,
1:50.0,,,16-20,,Turnover by G. Hayward (lost ball; steal by M. Brown)
1:48.0,,,16-20,,Personal foul by G. Hayward (drawn by T. Young)
1:48.0,W. Reed enters the game for T. Young,,16-20,,
1:48.0,S. Larkin enters the game for D. Sloan,,16-20,,
1:31.0,W. Ellington misses 3-pt shot from 24 ft,,16-20,,
1:29.0,,,16-20,,Defensive rebound by Team
1:29.0,,,16-20,,J. Ingles enters the game for G. Hayward
1:18.0,,,16-20,,D. Favors misses 2-pt shot from 3 ft
1:16.0,Defensive rebound by W. Ellington,,16-20,,
1:00.0,W. Ellington makes 2-pt shot from 1 ft (assist by T. Robinson),2,18-20,,
0:45.0,,,18-20,,C. Johnson misses 3-pt shot from 23 ft
0:45.0,Defensive rebound by M. Brown,,18-20,,
0:42.0,Turnover by M. Brown (bad pass; steal by R. Neto),,18-20,,
0:40.0,Personal foul by T. Robinson (drawn by R. Neto),,18-20,,
0:40.0,,,18-21,1,R. Neto makes free throw 1 of 2
0:40.0,S. Karasev enters the game for W. Ellington,,18-21,,
0:40.0,,,18-22,1,R. Neto makes free throw 2 of 2
0:27.0,Turnover by M. Brown (bad pass),,18-22,,
0:09.0,,,18-22,,Turnover by D. Favors (bad pass; steal by W. Reed)
0:03.0,M. Brown makes 2-pt shot from 2 ft (assist by T. Robinson),2,20-22,,
0:00.0,,,20-22,,R. Neto misses 2-pt shot from 18 ft
0:00.0,,,20-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,W. Reed misses 2-pt shot from 3 ft,,20-22,,
11:41.0,Offensive rebound by M. Brown,,20-22,,
11:34.0,T. Robinson makes 2-pt shot from 15 ft,2,22-22,,
11:16.0,,,22-22,,R. Neto misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by M. Brown,,22-22,,
11:08.0,Turnover by M. Brown (bad pass; steal by R. Neto),,22-22,,
10:49.0,,,22-22,,R. Hood misses 2-pt shot from 7 ft
10:48.0,Defensive rebound by T. Robinson,,22-22,,
10:40.0,Turnover by S. Larkin (bad pass; steal by R. Neto),,22-22,,
10:35.0,,,22-22,,Turnover by R. Neto (bad pass; steal by M. Brown)
10:35.0,,,22-22,,Personal foul by R. Neto (drawn by M. Brown)
10:35.0,,,22-22,,T. Lyles enters the game for T. Booker
10:23.0,S. Larkin misses 3-pt shot from 24 ft,,22-22,,
10:22.0,Offensive rebound by W. Reed,,22-22,,
10:17.0,M. Brown misses 2-pt shot from 3 ft,,22-22,,
10:16.0,,,22-22,,Defensive rebound by R. Neto
10:05.0,,,22-24,2,D. Favors makes 2-pt shot at rim (assist by J. Ingles)
9:52.0,Turnover by M. Brown (lost ball; steal by R. Hood),,22-24,,
9:45.0,,,22-24,,T. Lyles misses 2-pt shot from 1 ft
9:44.0,Defensive rebound by S. Karasev,,22-24,,
9:25.0,S. Larkin misses 2-pt shot from 19 ft,,22-24,,
9:24.0,Offensive rebound by T. Robinson,,22-24,,
9:21.0,W. Reed makes 2-pt shot at rim (assist by T. Robinson),2,24-24,,
9:01.0,,,24-26,2,T. Lyles makes 2-pt shot from 2 ft (assist by R. Hood)
8:44.0,W. Reed makes 2-pt shot from 2 ft (assist by M. Brown),2,26-26,,
8:44.0,Shooting foul by D. Favors (drawn by W. Reed),,26-26,,
8:44.0,Brooklyn full timeout,,26-26,,
8:44.0,,,26-26,,G. Hayward enters the game for R. Neto
8:44.0,,,26-26,,S. Mack enters the game for J. Ingles
8:44.0,W. Reed makes free throw 1 of 1,1,27-26,,
8:28.0,,,27-28,2,G. Hayward makes 2-pt shot from 1 ft (assist by R. Hood)
8:28.0,,,27-28,,Shooting foul by W. Reed (drawn by G. Hayward)
8:28.0,B. Bogdanovic enters the game for M. Brown,,27-28,,
8:28.0,,,27-28,,R. Gobert enters the game for D. Favors
8:28.0,,,27-29,1,G. Hayward makes free throw 1 of 1
8:09.0,T. Robinson misses 2-pt shot from 14 ft,,27-29,,
8:08.0,,,27-29,,Defensive rebound by R. Gobert
8:04.0,,,27-29,,Turnover by S. Mack (bad pass; steal by S. Larkin)
7:58.0,B. Bogdanovic makes 2-pt shot at rim (assist by S. Larkin),2,29-29,,
7:40.0,,,29-29,,T. Lyles misses 2-pt shot from 2 ft (block by W. Reed)
7:38.0,Defensive rebound by W. Reed,,29-29,,
7:14.0,W. Reed makes 2-pt shot from 2 ft (assist by T. Robinson),2,31-29,,
6:56.0,,,31-32,3,G. Hayward makes 3-pt shot from 23 ft (assist by S. Mack)
6:43.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Larkin),3,34-32,,
6:30.0,,,34-32,,G. Hayward misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by W. Reed,,34-32,,
6:14.0,,,34-32,,Violation by T. Lyles (kicked ball)
6:14.0,B. Lopez enters the game for T. Robinson,,34-32,,
6:14.0,T. Young enters the game for W. Reed,,34-32,,
6:14.0,,,34-32,,C. Johnson enters the game for R. Hood
6:05.0,B. Bogdanovic misses 2-pt shot from 12 ft,,34-32,,
6:05.0,,,34-32,,Defensive rebound by T. Lyles
6:01.0,,,34-32,,Turnover by C. Johnson (traveling)
5:47.0,B. Lopez makes 2-pt shot from 7 ft (assist by S. Karasev),2,36-32,,
5:47.0,,,36-32,,Utah full timeout
5:47.0,,,36-32,,D. Favors enters the game for T. Lyles
5:47.0,,,36-32,,J. Ingles enters the game for C. Johnson
5:29.0,,,36-34,2,D. Favors makes 2-pt shot from 2 ft
5:29.0,,,36-34,,Shooting foul by S. Larkin (drawn by D. Favors)
5:29.0,,,36-34,,D. Favors misses free throw 1 of 1
5:28.0,Defensive rebound by T. Young,,36-34,,
5:19.0,,,36-34,,Personal foul by J. Ingles (drawn by S. Karasev)
5:10.0,S. Larkin misses 2-pt shot from 18 ft,,36-34,,
5:09.0,,,36-34,,Defensive rebound by G. Hayward
5:04.0,,,36-34,,Offensive charge foul by G. Hayward
5:04.0,,,36-34,,Turnover by G. Hayward (offensive foul)
5:04.0,W. Ellington enters the game for S. Karasev,,36-34,,
4:50.0,B. Bogdanovic misses 2-pt shot from 2 ft,,36-34,,
4:49.0,,,36-34,,Defensive rebound by D. Favors
4:44.0,,,36-34,,Shooting foul by B. Lopez (drawn by R. Gobert)
4:44.0,,,36-35,1,R. Gobert makes free throw 1 of 2
4:44.0,,,36-35,,R. Gobert misses free throw 2 of 2
4:44.0,Defensive rebound by Team,,36-35,,
4:28.0,B. Lopez misses 2-pt shot from 19 ft,,36-35,,
4:27.0,,,36-35,,Defensive rebound by S. Mack
4:18.0,,,36-37,2,J. Ingles makes 2-pt shot from 2 ft
4:08.0,Turnover by B. Bogdanovic (lost ball; steal by G. Hayward),,36-37,,
4:02.0,,,36-39,2,J. Ingles makes 2-pt shot from 2 ft (assist by G. Hayward)
4:02.0,Brooklyn full timeout,,36-39,,
4:02.0,D. Sloan enters the game for S. Larkin,,36-39,,
3:43.0,T. Young makes 2-pt shot from 7 ft (assist by D. Sloan),2,38-39,,
3:23.0,,,38-39,,G. Hayward misses 2-pt shot from 6 ft
3:23.0,Defensive rebound by T. Young,,38-39,,
3:10.0,B. Lopez makes 2-pt shot at rim (assist by D. Sloan),2,40-39,,
2:52.0,,,40-39,,D. Favors misses 2-pt shot from 14 ft
2:51.0,,,40-39,,Offensive rebound by D. Favors
2:47.0,,,40-41,2,S. Mack makes 2-pt shot from 5 ft
2:29.0,B. Lopez misses 2-pt shot from 2 ft (block by R. Gobert),,40-41,,
2:28.0,Offensive rebound by T. Young,,40-41,,
2:21.0,B. Lopez makes 2-pt shot from 9 ft,2,42-41,,
2:10.0,,,42-41,,G. Hayward misses 2-pt shot at rim
2:09.0,Defensive rebound by W. Ellington,,42-41,,
2:03.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by W. Ellington),3,45-41,,
1:42.0,,,45-43,2,S. Mack makes 2-pt shot from 2 ft
1:26.0,B. Bogdanovic misses 3-pt shot from 23 ft,,45-43,,
1:26.0,,,45-43,,Defensive rebound by J. Ingles
1:12.0,,,45-43,,R. Gobert misses 2-pt shot from 1 ft
1:12.0,,,45-43,,Offensive rebound by R. Gobert
1:12.0,,,45-43,,D. Favors misses 2-pt shot from 3 ft
1:10.0,Defensive rebound by B. Bogdanovic,,45-43,,
1:04.0,W. Ellington makes 3-pt shot from 23 ft (assist by D. Sloan),3,48-43,,
1:04.0,,,48-43,,Utah full timeout
1:04.0,,,48-43,,R. Hood enters the game for J. Ingles
1:04.0,,,48-43,,T. Booker enters the game for D. Favors
0:47.0,,,48-43,,Turnover by G. Hayward (offensive foul)
0:47.0,,,48-43,,Offensive foul by G. Hayward
0:47.0,,,48-43,,J. Ingles enters the game for G. Hayward
0:31.0,W. Ellington misses 2-pt shot from 3 ft (block by R. Gobert),,48-43,,
0:30.0,Offensive rebound by T. Young,,48-43,,
0:23.0,D. Sloan misses 3-pt shot from 24 ft,,48-43,,
0:23.0,,,48-43,,Defensive rebound by R. Gobert
0:07.0,Personal foul by D. Sloan (drawn by S. Mack),,48-43,,
0:07.0,S. Karasev enters the game for D. Sloan,,48-43,,
0:07.0,S. Larkin enters the game for B. Bogdanovic,,48-43,,
0:01.0,,,48-43,,R. Hood misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by S. Karasev,,48-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,B. Lopez misses 2-pt shot from 2 ft (block by D. Favors),,48-43,,
11:39.0,,,48-43,,Defensive rebound by D. Favors
11:17.0,,,48-45,2,D. Favors makes 2-pt shot from 2 ft
10:57.0,T. Young misses 2-pt shot from 2 ft,,48-45,,
10:56.0,,,48-45,,Defensive rebound by R. Gobert
10:52.0,,,48-45,,S. Mack misses 2-pt shot from 1 ft
10:50.0,Defensive rebound by B. Lopez,,48-45,,
10:42.0,T. Young makes 2-pt shot from 1 ft,2,50-45,,
10:20.0,,,50-45,,D. Favors misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by W. Ellington,,50-45,,
10:03.0,B. Bogdanovic misses 2-pt shot from 19 ft,,50-45,,
10:02.0,,,50-45,,Defensive rebound by D. Favors
9:50.0,,,50-47,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
9:30.0,B. Lopez misses 2-pt shot from 12 ft,,50-47,,
9:29.0,,,50-47,,Defensive rebound by R. Gobert
9:17.0,,,50-47,,Turnover by S. Mack (bad pass; steal by W. Ellington)
9:13.0,W. Ellington makes 2-pt shot from 2 ft,2,52-47,,
9:06.0,,,52-47,,Shooting foul by B. Lopez (drawn by D. Favors)
9:06.0,,,52-48,1,D. Favors makes free throw 1 of 2
9:06.0,,,52-49,1,D. Favors makes free throw 2 of 2
8:58.0,Shooting foul by S. Mack (drawn by D. Sloan),,52-49,,
8:58.0,D. Sloan makes free throw 1 of 2,1,53-49,,
8:58.0,D. Sloan misses free throw 2 of 2,,53-49,,
8:57.0,,,53-49,,Defensive rebound by D. Favors
8:42.0,,,53-49,,Turnover by D. Favors (lost ball; steal by T. Young)
8:36.0,D. Sloan makes 2-pt shot from 2 ft,2,55-49,,
8:20.0,,,55-49,,R. Hood misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by D. Sloan,,55-49,,
8:14.0,,,55-49,,R. Neto enters the game for S. Mack
8:12.0,Turnover by T. Young (lost ball),,55-49,,
7:52.0,,,55-49,,G. Hayward misses 2-pt shot from 14 ft
7:51.0,,,55-49,,Offensive rebound by R. Gobert
7:49.0,,,55-51,2,R. Gobert makes 2-pt shot at rim
7:35.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by D. Favors),,55-51,,
7:34.0,,,55-51,,Defensive rebound by D. Favors
7:25.0,,,55-54,3,G. Hayward makes 3-pt shot from 22 ft (assist by R. Neto)
7:25.0,Brooklyn full timeout,,55-54,,
7:05.0,T. Young makes 2-pt shot from 15 ft,2,57-54,,
6:41.0,,,57-54,,D. Favors misses 2-pt shot from 17 ft
6:40.0,Defensive rebound by B. Bogdanovic,,57-54,,
6:24.0,B. Lopez makes 2-pt shot from 20 ft (assist by D. Sloan),2,59-54,,
6:07.0,,,59-54,,R. Hood misses 2-pt shot from 19 ft
6:06.0,,,59-54,,Offensive rebound by R. Hood
5:57.0,,,59-54,,G. Hayward misses 2-pt shot from 5 ft
5:57.0,,,59-54,,Offensive rebound by R. Gobert
5:55.0,,,59-54,,R. Gobert misses 2-pt shot from 1 ft
5:54.0,,,59-54,,Offensive rebound by D. Favors
5:49.0,,,59-54,,Turnover by D. Favors (bad pass)
5:49.0,,,59-54,,T. Booker enters the game for D. Favors
5:39.0,T. Young misses 2-pt shot from 8 ft,,59-54,,
5:38.0,,,59-54,,Defensive rebound by R. Gobert
5:29.0,,,59-56,2,G. Hayward makes 2-pt shot from 21 ft
5:03.0,D. Sloan makes 2-pt shot from 5 ft,2,61-56,,
4:49.0,,,61-56,,R. Neto misses 2-pt shot from 2 ft
4:48.0,,,61-56,,Offensive rebound by T. Booker
4:48.0,,,61-58,2,T. Booker makes 2-pt shot from 1 ft
4:31.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by R. Gobert),,61-58,,
4:31.0,,,61-58,,Defensive rebound by Team
4:17.0,Violation by D. Sloan (kicked ball),,61-58,,
4:17.0,S. Karasev enters the game for B. Bogdanovic,,61-58,,
4:03.0,,,61-58,,R. Hood misses 3-pt shot from 23 ft
4:02.0,Defensive rebound by W. Ellington,,61-58,,
3:52.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Sloan),2,63-58,,
3:35.0,Personal foul by W. Ellington (drawn by G. Hayward),,63-58,,
3:35.0,,,63-58,,J. Ingles enters the game for R. Hood
3:35.0,,,63-58,,T. Burke enters the game for R. Neto
3:35.0,S. Larkin enters the game for D. Sloan,,63-58,,
3:31.0,Personal foul by B. Lopez (drawn by G. Hayward),,63-58,,
3:25.0,,,63-58,,T. Burke misses 2-pt shot from 3 ft
3:24.0,Defensive rebound by S. Larkin,,63-58,,
3:13.0,S. Larkin misses 2-pt shot from 12 ft,,63-58,,
3:12.0,Offensive rebound by Team,,63-58,,
3:09.0,W. Ellington misses 2-pt shot from 18 ft,,63-58,,
3:09.0,,,63-58,,Defensive rebound by R. Gobert
2:56.0,,,63-58,,Shooting foul by S. Karasev (drawn by R. Gobert)
2:56.0,,,63-58,,Utah full timeout
2:56.0,,,63-59,1,R. Gobert makes free throw 1 of 2
2:56.0,,,63-59,,R. Gobert misses free throw 2 of 2
2:55.0,,,63-59,,Offensive rebound by G. Hayward
2:40.0,,,63-59,,J. Ingles misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by T. Young,,63-59,,
2:39.0,Turnover by T. Young (lost ball),,63-59,,
2:31.0,,,63-59,,G. Hayward misses 2-pt shot from 6 ft (block by B. Lopez)
2:30.0,Defensive rebound by S. Karasev,,63-59,,
2:15.0,B. Lopez misses 2-pt shot from 5 ft (block by R. Gobert),,63-59,,
2:14.0,,,63-59,,Defensive rebound by T. Burke
2:11.0,,,63-59,,Turnover by T. Booker (bad pass)
1:59.0,,,63-59,,Personal foul by G. Hayward (drawn by S. Karasev)
1:59.0,,,63-59,,R. Hood enters the game for G. Hayward
1:59.0,,,63-59,,D. Favors enters the game for R. Gobert
1:43.0,B. Lopez misses 2-pt shot from 5 ft,,63-59,,
1:43.0,,,63-59,,Defensive rebound by D. Favors
1:22.0,,,63-59,,Turnover by R. Hood (lost ball; steal by T. Young)
1:17.0,T. Young makes 2-pt shot at rim,2,65-59,,
0:59.0,,,65-59,,D. Favors misses 2-pt shot from 13 ft
0:58.0,Defensive rebound by T. Young,,65-59,,
0:47.0,W. Ellington makes 3-pt shot from 22 ft (assist by B. Lopez),3,68-59,,
0:30.0,,,68-59,,T. Burke misses 2-pt shot from 14 ft
0:29.0,Defensive rebound by B. Lopez,,68-59,,
0:10.0,S. Larkin makes 2-pt shot from 2 ft,2,70-59,,
0:02.0,,,70-61,2,T. Booker makes 2-pt shot from 19 ft
0:00.0,W. Ellington misses 3-pt shot from 33 ft,,70-61,,
0:00.0,Offensive rebound by Team,,70-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,70-63,2,R. Hood makes 2-pt shot from 3 ft
11:31.0,T. Young makes 2-pt shot from 5 ft (assist by S. Larkin),2,72-63,,
11:16.0,,,72-66,3,R. Hood makes 3-pt shot from 24 ft
10:56.0,T. Young makes 2-pt shot from 13 ft (assist by S. Larkin),2,74-66,,
10:45.0,,,74-66,,T. Burke misses 2-pt shot from 1 ft
10:44.0,,,74-66,,Offensive rebound by D. Favors
10:42.0,,,74-66,,D. Favors misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by T. Robinson,,74-66,,
10:20.0,T. Young makes 3-pt shot from 24 ft,3,77-66,,
10:04.0,,,77-66,,Offensive charge foul by J. Ingles
10:04.0,,,77-66,,Turnover by J. Ingles (offensive foul)
10:04.0,M. Brown enters the game for W. Ellington,,77-66,,
10:04.0,W. Reed enters the game for T. Young,,77-66,,
9:54.0,Turnover by S. Larkin (bad pass; steal by J. Ingles),,77-66,,
9:50.0,,,77-68,2,J. Ingles makes 2-pt shot from 1 ft
9:33.0,S. Karasev makes 3-pt shot from 24 ft (assist by S. Larkin),3,80-68,,
9:15.0,,,80-68,,T. Burke misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by Team,,80-68,,
9:14.0,,,80-68,,R. Gobert enters the game for T. Booker
9:14.0,,,80-68,,S. Mack enters the game for T. Burke
9:02.0,S. Larkin misses 2-pt shot from 14 ft,,80-68,,
9:00.0,,,80-68,,Defensive rebound by Team
8:36.0,,,80-68,,S. Mack misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by S. Karasev,,80-68,,
8:18.0,Turnover by T. Robinson (lost ball; steal by R. Gobert),,80-68,,
8:07.0,Personal foul by T. Robinson (drawn by R. Gobert),,80-68,,
8:07.0,,,80-68,,Utah full timeout
8:07.0,,,80-68,,G. Hayward enters the game for J. Ingles
7:55.0,,,80-68,,R. Gobert misses 2-pt shot from 2 ft
7:54.0,,,80-68,,Offensive rebound by R. Gobert
7:54.0,,,80-68,,Shooting foul by S. Larkin (drawn by R. Gobert)
7:54.0,,,80-69,1,R. Gobert makes free throw 1 of 2
7:54.0,B. Lopez enters the game for W. Reed,,80-69,,
7:54.0,,,80-69,,R. Gobert misses free throw 2 of 2
7:53.0,Defensive rebound by T. Robinson,,80-69,,
7:34.0,M. Brown misses 3-pt shot from 24 ft,,80-69,,
7:33.0,,,80-69,,Defensive rebound by S. Mack
7:25.0,,,80-69,,Turnover by R. Gobert (offensive goaltending)
7:07.0,S. Larkin makes 2-pt shot from 13 ft,2,82-69,,
6:53.0,,,82-71,2,D. Favors makes 2-pt shot at rim (assist by S. Mack)
6:39.0,T. Robinson misses 2-pt shot from 9 ft,,82-71,,
6:38.0,,,82-71,,Defensive rebound by R. Gobert
6:30.0,,,82-71,,R. Hood misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by T. Robinson,,82-71,,
6:23.0,S. Karasev makes 2-pt shot from 1 ft (assist by T. Robinson),2,84-71,,
6:05.0,,,84-71,,Turnover by G. Hayward (lost ball; steal by M. Brown)
6:05.0,,,84-71,,Personal foul by G. Hayward (drawn by M. Brown)
6:05.0,T. Young enters the game for T. Robinson,,84-71,,
6:05.0,,,84-71,,C. Johnson enters the game for G. Hayward
6:05.0,,,84-71,,T. Booker enters the game for R. Gobert
5:45.0,S. Larkin misses 2-pt shot from 21 ft,,84-71,,
5:45.0,Offensive rebound by B. Lopez,,84-71,,
5:38.0,S. Karasev misses 2-pt shot from 1 ft,,84-71,,
5:37.0,,,84-71,,Defensive rebound by T. Booker
5:29.0,,,84-71,,C. Johnson misses 3-pt shot from 22 ft
5:29.0,,,84-71,,Offensive rebound by D. Favors
5:21.0,,,84-73,2,C. Johnson makes 2-pt shot from 2 ft
5:21.0,,,84-73,,Shooting foul by S. Larkin (drawn by C. Johnson)
5:21.0,,,84-73,,Utah full timeout
5:21.0,W. Ellington enters the game for M. Brown,,84-73,,
5:21.0,,,84-74,1,C. Johnson makes free throw 1 of 1
5:03.0,B. Lopez makes 2-pt shot from 3 ft,2,86-74,,
4:54.0,,,86-76,2,R. Hood makes 2-pt shot from 16 ft
4:42.0,Turnover by S. Larkin (bad pass; steal by T. Booker),,86-76,,
4:39.0,,,86-78,2,T. Booker makes 2-pt shot at rim
4:18.0,Shooting foul by D. Favors (drawn by B. Lopez),,86-78,,
4:18.0,B. Lopez misses free throw 1 of 2,,86-78,,
4:18.0,Offensive rebound by Team,,86-78,,
4:18.0,D. Sloan enters the game for S. Larkin,,86-78,,
4:18.0,B. Bogdanovic enters the game for S. Karasev,,86-78,,
4:18.0,,,86-78,,R. Gobert enters the game for D. Favors
4:18.0,,,86-78,,G. Hayward enters the game for S. Mack
4:18.0,B. Lopez makes free throw 2 of 2,1,87-78,,
4:08.0,,,87-80,2,R. Hood makes 2-pt shot from 16 ft
