time,Indiana,pts.away,score,pts.home,San Antonio
7:30.0,,,29-36,2,D. West makes 2-pt shot from 5 ft
7:30.0,,,29-36,,Shooting foul by C. Miles (drawn by D. West)
7:30.0,,,29-36,,T. Parker enters the game for P. Mills
7:30.0,L. Allen enters the game for C. Miles,,29-36,,
7:30.0,,,29-36,,T. Duncan enters the game for B. Diaw
7:30.0,,,29-37,1,D. West makes free throw 1 of 1
7:10.0,C. Budinger misses 2-pt shot from 1 ft,,29-37,,
7:10.0,Offensive rebound by J. Hill,,29-37,,
7:10.0,Shooting foul by T. Duncan (drawn by J. Hill),,29-37,,
7:10.0,J. Hill makes free throw 1 of 2,1,30-37,,
7:10.0,J. Hill misses free throw 2 of 2,,30-37,,
7:09.0,,,30-37,,Defensive rebound by D. West
6:53.0,,,30-40,3,J. Simmons makes 3-pt shot from 22 ft (assist by D. West)
6:32.0,G. Hill makes 3-pt shot from 24 ft,3,33-40,,
6:12.0,,,33-40,,D. Green misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by J. Hill,,33-40,,
6:04.0,R. Stuckey makes 2-pt shot at rim,2,35-40,,
6:04.0,,,35-40,,San Antonio full timeout
6:04.0,,,35-40,,L. Aldridge enters the game for D. West
5:48.0,,,35-40,,J. Simmons misses 2-pt shot at rim
5:48.0,Defensive rebound by J. Hill,,35-40,,
5:44.0,,,35-40,,Personal foul by J. Simmons (drawn by G. Hill)
5:36.0,Turnover by R. Stuckey (bad pass; steal by L. Aldridge),,35-40,,
5:26.0,,,35-42,2,T. Parker makes 2-pt shot from 16 ft
5:08.0,R. Stuckey makes 2-pt shot from 18 ft,2,37-42,,
4:45.0,,,37-42,,K. Leonard enters the game for D. Green
4:45.0,,,37-42,,M. Ginobili enters the game for J. Simmons
4:45.0,P. George enters the game for C. Budinger,,37-42,,
4:45.0,M. Ellis enters the game for G. Hill,,37-42,,
4:45.0,I. Mahinmi enters the game for J. Hill,,37-42,,
4:43.0,,,37-42,,Turnover by T. Duncan (bad pass; steal by I. Mahinmi)
4:32.0,R. Stuckey makes 3-pt shot from 23 ft (assist by P. George),3,40-42,,
4:01.0,,,40-42,,K. Leonard misses 3-pt shot from 24 ft
4:00.0,Defensive rebound by P. George,,40-42,,
3:45.0,Turnover by R. Stuckey (bad pass; steal by L. Aldridge),,40-42,,
3:30.0,,,40-42,,L. Aldridge misses 2-pt shot from 18 ft
3:30.0,Defensive rebound by L. Allen,,40-42,,
3:20.0,Turnover by L. Allen (bad pass; steal by L. Aldridge),,40-42,,
3:10.0,,,40-44,2,T. Parker makes 2-pt shot from 13 ft
2:54.0,L. Allen makes 2-pt shot at rim (assist by P. George),2,42-44,,
2:54.0,Shooting foul by K. Leonard (drawn by L. Allen),,42-44,,
2:54.0,Official timeout,,42-44,,
2:54.0,G. Hill enters the game for R. Stuckey,,42-44,,
2:54.0,L. Allen makes free throw 1 of 1,1,43-44,,
2:39.0,,,43-44,,L. Aldridge misses 2-pt shot from 14 ft
2:39.0,Defensive rebound by P. George,,43-44,,
2:29.0,G. Hill makes 3-pt shot from 24 ft (assist by M. Ellis),3,46-44,,
2:14.0,,,46-46,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
1:59.0,M. Ellis misses 2-pt shot from 18 ft,,46-46,,
1:59.0,,,46-46,,Defensive rebound by T. Duncan
1:42.0,,,46-48,2,K. Leonard makes 2-pt shot from 10 ft
1:22.0,P. George misses 2-pt shot from 17 ft,,46-48,,
1:21.0,Offensive rebound by I. Mahinmi,,46-48,,
1:20.0,,,46-48,,Personal foul by K. Leonard (drawn by P. George)
1:20.0,P. George makes free throw 1 of 2,1,47-48,,
1:20.0,,,47-48,,B. Diaw enters the game for T. Duncan
1:20.0,P. George makes free throw 2 of 2,1,48-48,,
1:12.0,,,48-48,,T. Parker misses 2-pt shot at rim
1:11.0,Defensive rebound by I. Mahinmi,,48-48,,
1:05.0,Turnover by G. Hill (offensive foul),,48-48,,
1:05.0,Offensive foul by G. Hill,,48-48,,
1:05.0,J. Hill enters the game for L. Allen,,48-48,,
0:50.0,,,48-48,,Turnover by B. Diaw (bad pass; steal by G. Hill)
0:48.0,Turnover by P. George (bad pass; steal by K. Leonard),,48-48,,
0:39.0,,,48-48,,B. Diaw misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by P. George,,48-48,,
0:30.0,P. George misses 3-pt shot from 25 ft,,48-48,,
0:29.0,,,48-48,,Defensive rebound by Team
0:09.0,,,48-50,2,T. Parker makes 2-pt shot at rim
0:00.0,G. Hill misses 2-pt shot from 14 ft,,48-50,,
0:00.0,,,48-50,,Defensive rebound by L. Aldridge
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,G. Hill makes 3-pt shot from 24 ft,3,51-50,,
11:18.0,,,51-50,,D. Green misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by L. Allen,,51-50,,
11:06.0,P. George misses 2-pt shot from 19 ft,,51-50,,
11:04.0,,,51-50,,Defensive rebound by D. Green
10:45.0,,,51-50,,L. Aldridge misses 2-pt shot from 2 ft (block by L. Allen)
10:42.0,,,51-50,,Offensive rebound by L. Aldridge
10:40.0,,,51-50,,L. Aldridge misses 2-pt shot from 7 ft
10:39.0,Defensive rebound by I. Mahinmi,,51-50,,
10:26.0,M. Ellis makes 2-pt shot from 18 ft (assist by L. Allen),2,53-50,,
10:05.0,,,53-52,2,K. Leonard makes 2-pt shot from 18 ft
9:47.0,Shooting foul by L. Aldridge (drawn by P. George),,53-52,,
9:47.0,P. George makes free throw 1 of 2,1,54-52,,
9:47.0,P. George makes free throw 2 of 2,1,55-52,,
9:28.0,,,55-54,2,K. Leonard makes 2-pt shot from 4 ft (assist by L. Aldridge)
9:10.0,I. Mahinmi makes 2-pt shot from 4 ft (assist by G. Hill),2,57-54,,
8:58.0,,,57-54,,T. Duncan misses 2-pt shot from 2 ft
8:57.0,Defensive rebound by L. Allen,,57-54,,
8:48.0,L. Allen misses 2-pt shot from 21 ft,,57-54,,
8:47.0,,,57-54,,Defensive rebound by K. Leonard
8:41.0,Violation by G. Hill (kicked ball),,57-54,,
8:27.0,,,57-56,2,T. Duncan makes 2-pt shot from 4 ft (assist by D. Green)
8:27.0,,,57-56,,Shooting foul by P. George (drawn by T. Duncan)
8:27.0,,,57-57,1,T. Duncan makes free throw 1 of 1
8:13.0,P. George misses 2-pt shot from 18 ft,,57-57,,
8:12.0,,,57-57,,Defensive rebound by D. Green
7:52.0,,,57-57,,D. Green misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by P. George,,57-57,,
7:34.0,L. Allen misses 2-pt shot from 11 ft,,57-57,,
7:33.0,Offensive rebound by I. Mahinmi,,57-57,,
7:22.0,I. Mahinmi makes 2-pt shot from 20 ft (assist by M. Ellis),2,59-57,,
7:02.0,,,59-59,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker)
6:57.0,Shooting foul by T. Duncan (drawn by I. Mahinmi),,59-59,,
6:57.0,I. Mahinmi misses free throw 1 of 2,,59-59,,
6:57.0,Offensive rebound by Team,,59-59,,
6:57.0,I. Mahinmi makes free throw 2 of 2,1,60-59,,
6:38.0,,,60-59,,T. Duncan misses 2-pt shot from 5 ft (block by I. Mahinmi)
6:38.0,,,60-59,,Offensive rebound by L. Aldridge
6:38.0,,,60-59,,Shooting foul by L. Allen (drawn by L. Aldridge)
6:38.0,,,60-60,1,L. Aldridge makes free throw 1 of 2
6:38.0,,,60-60,,M. Ginobili enters the game for D. Green
6:38.0,,,60-61,1,L. Aldridge makes free throw 2 of 2
6:27.0,I. Mahinmi misses 2-pt shot from 1 ft (block by L. Aldridge),,60-61,,
6:27.0,Offensive rebound by Team,,60-61,,
6:19.0,Offensive foul by G. Hill,,60-61,,
6:19.0,Turnover by G. Hill (offensive foul),,60-61,,
5:59.0,,,60-61,,M. Ginobili misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by L. Allen,,60-61,,
5:47.0,M. Ellis misses 2-pt shot from 21 ft,,60-61,,
5:46.0,,,60-61,,Defensive rebound by Team
5:46.0,,,60-61,,San Antonio full timeout
5:24.0,,,60-63,2,K. Leonard makes 2-pt shot at rim
5:04.0,P. George misses 2-pt shot from 2 ft (block by T. Duncan),,60-63,,
5:04.0,Offensive rebound by Team,,60-63,,
5:04.0,,,60-63,,B. Diaw enters the game for T. Duncan
5:04.0,,,60-63,,P. Mills enters the game for T. Parker
4:59.0,G. Hill misses 2-pt shot from 19 ft,,60-63,,
4:57.0,Offensive rebound by I. Mahinmi,,60-63,,
4:52.0,G. Hill misses 3-pt shot from 24 ft,,60-63,,
4:51.0,Offensive rebound by L. Allen,,60-63,,
4:49.0,L. Allen makes 2-pt shot from 1 ft,2,62-63,,
4:35.0,,,62-66,3,K. Leonard makes 3-pt shot from 25 ft (assist by M. Ginobili)
4:25.0,P. George misses 2-pt shot from 13 ft,,62-66,,
4:24.0,,,62-66,,Defensive rebound by K. Leonard
4:04.0,,,62-68,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
4:03.0,Indiana full timeout,,62-68,,
4:03.0,J. Hill enters the game for I. Mahinmi,,62-68,,
4:03.0,R. Stuckey enters the game for G. Hill,,62-68,,
3:48.0,Turnover by P. George (bad pass; steal by K. Leonard),,62-68,,
3:43.0,,,62-70,2,P. Mills makes 2-pt shot from 1 ft (assist by K. Leonard)
3:29.0,J. Hill makes 2-pt shot from 10 ft (assist by M. Ellis),2,64-70,,
3:10.0,,,64-70,,P. Mills misses 3-pt shot from 22 ft
3:09.0,Defensive rebound by R. Stuckey,,64-70,,
2:48.0,J. Hill makes 2-pt shot from 8 ft,2,66-70,,
2:35.0,,,66-70,,K. Leonard misses 2-pt shot from 16 ft
2:33.0,Defensive rebound by M. Ellis,,66-70,,
2:28.0,M. Ellis misses 2-pt shot from 1 ft,,66-70,,
2:26.0,,,66-70,,Defensive rebound by B. Diaw
2:19.0,,,66-72,2,M. Ginobili makes 2-pt shot from 2 ft (assist by P. Mills)
2:04.0,R. Stuckey makes 2-pt shot from 18 ft,2,68-72,,
1:53.0,,,68-72,,M. Ginobili misses 2-pt shot from 12 ft
1:52.0,Defensive rebound by P. George,,68-72,,
1:43.0,J. Hill misses 2-pt shot from 18 ft,,68-72,,
1:42.0,,,68-72,,Defensive rebound by L. Aldridge
1:24.0,Personal foul by M. Ellis (drawn by M. Ginobili),,68-72,,
1:24.0,,,68-72,,D. West enters the game for L. Aldridge
1:24.0,C. Miles enters the game for L. Allen,,68-72,,
1:24.0,,,68-72,,D. Green enters the game for M. Ginobili
1:18.0,,,68-72,,P. Mills misses 3-pt shot from 24 ft
1:17.0,,,68-72,,Offensive rebound by K. Leonard
1:03.0,,,68-72,,K. Leonard misses 2-pt shot from 14 ft
1:01.0,,,68-72,,Offensive rebound by B. Diaw
1:00.0,,,68-74,2,B. Diaw makes 2-pt shot from 1 ft
0:51.0,P. George misses 2-pt shot from 2 ft (block by D. West),,68-74,,
0:48.0,,,68-74,,Defensive rebound by D. West
0:45.0,,,68-77,3,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard)
0:34.0,R. Stuckey misses 2-pt shot at rim,,68-77,,
0:32.0,Offensive rebound by M. Ellis,,68-77,,
0:29.0,M. Ellis misses 3-pt shot from 24 ft,,68-77,,
0:28.0,Offensive rebound by J. Hill,,68-77,,
0:28.0,J. Hill makes 2-pt shot at rim,2,70-77,,
0:09.0,,,70-79,2,P. Mills makes 2-pt shot from 2 ft (assist by K. Leonard)
0:00.0,M. Ellis misses 2-pt shot from 1 ft (block by D. West),,70-79,,
0:00.0,,,70-79,,Defensive rebound by D. West
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,70-79,,D. Green misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by J. Hill,,70-79,,
11:26.0,C. Miles misses 3-pt shot from 24 ft,,70-79,,
11:25.0,Offensive rebound by J. Hill,,70-79,,
11:17.0,R. Stuckey makes 3-pt shot from 25 ft (assist by C. Budinger),3,73-79,,
10:57.0,,,73-81,2,B. Diaw makes 2-pt shot from 8 ft
10:35.0,R. Stuckey misses 3-pt shot from 24 ft,,73-81,,
10:34.0,,,73-81,,Defensive rebound by K. Leonard
10:26.0,,,73-83,2,K. Leonard makes 2-pt shot from 10 ft
10:26.0,,,73-83,,Shooting foul by J. Hill (drawn by K. Leonard)
10:26.0,,,73-84,1,K. Leonard makes free throw 1 of 1
10:10.0,C. Miles misses 3-pt shot from 24 ft,,73-84,,
10:09.0,,,73-84,,Defensive rebound by K. Leonard
9:58.0,,,73-84,,B. Diaw misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by R. Stuckey,,73-84,,
9:53.0,Shooting foul by D. Green (drawn by R. Stuckey),,73-84,,
9:53.0,R. Stuckey makes free throw 1 of 2,1,74-84,,
9:53.0,,,74-84,,J. Simmons enters the game for K. Leonard
9:53.0,R. Stuckey misses free throw 2 of 2,,74-84,,
9:53.0,,,74-84,,Defensive rebound by D. West
9:40.0,,,74-86,2,J. Simmons makes 2-pt shot from 2 ft (assist by P. Mills)
9:19.0,J. Hill makes 2-pt shot from 18 ft (assist by R. Stuckey),2,76-86,,
9:07.0,,,76-86,,D. West misses 2-pt shot from 8 ft
9:05.0,,,76-86,,Offensive rebound by B. Diaw
8:57.0,,,76-88,2,B. Diaw makes 2-pt shot at rim (assist by J. Simmons)
8:49.0,,,76-88,,Def 3 sec tech foul by J. Simmons
8:49.0,Official timeout,,76-88,,
8:49.0,R. Stuckey makes technical free throw,1,77-88,,
8:40.0,C. Miles makes 3-pt shot from 24 ft (assist by R. Stuckey),3,80-88,,
8:30.0,Personal foul by G. Hill (drawn by P. Mills),,80-88,,
8:18.0,,,80-90,2,J. Simmons makes 2-pt shot from 2 ft
8:02.0,C. Budinger misses 2-pt shot from 7 ft (block by D. Green),,80-90,,
8:00.0,,,80-90,,Defensive rebound by B. Diaw
7:55.0,,,80-90,,D. Green misses 3-pt shot from 24 ft
7:54.0,,,80-90,,Offensive rebound by Team
7:54.0,,,80-90,,T. Parker enters the game for P. Mills
7:54.0,P. George enters the game for C. Budinger,,80-90,,
7:54.0,,,80-90,,Offensive foul by D. West
7:54.0,,,80-90,,Turnover by D. West (offensive foul)
7:39.0,G. Hill makes 2-pt shot from 5 ft (assist by P. George),2,82-90,,
7:17.0,,,82-92,2,T. Parker makes 2-pt shot at rim (assist by D. Green)
7:04.0,P. George misses 2-pt shot from 19 ft,,82-92,,
7:02.0,,,82-92,,Defensive rebound by D. Green
6:57.0,,,82-94,2,D. West makes 2-pt shot from 14 ft (assist by T. Parker)
6:35.0,G. Hill misses 2-pt shot from 10 ft,,82-94,,
6:33.0,Offensive rebound by J. Hill,,82-94,,
6:33.0,J. Hill makes 2-pt shot from 1 ft,2,84-94,,
6:10.0,,,84-96,2,T. Parker makes 2-pt shot from 1 ft
5:53.0,C. Miles misses 2-pt shot from 21 ft,,84-96,,
5:52.0,,,84-96,,Defensive rebound by J. Simmons
5:49.0,,,84-96,,San Antonio full timeout
5:49.0,,,84-96,,K. Leonard enters the game for J. Simmons
5:49.0,L. Allen enters the game for C. Miles,,84-96,,
5:49.0,I. Mahinmi enters the game for J. Hill,,84-96,,
5:49.0,,,84-96,,Turnover by B. Diaw (bad pass)
5:29.0,R. Stuckey misses 2-pt shot from 19 ft,,84-96,,
5:28.0,,,84-96,,Defensive rebound by D. Green
5:18.0,,,84-96,,T. Parker misses 2-pt shot at rim
5:17.0,Defensive rebound by L. Allen,,84-96,,
5:11.0,R. Stuckey misses 3-pt shot from 24 ft,,84-96,,
5:10.0,,,84-96,,Defensive rebound by B. Diaw
5:02.0,,,84-96,,Offensive foul by B. Diaw
5:02.0,,,84-96,,Turnover by B. Diaw (offensive foul)
5:02.0,,,84-96,,M. Ginobili enters the game for D. Green
4:48.0,L. Allen makes 2-pt shot at rim (assist by R. Stuckey),2,86-96,,
4:29.0,,,86-96,,T. Parker misses 2-pt shot from 19 ft
4:28.0,Defensive rebound by I. Mahinmi,,86-96,,
4:15.0,,,86-96,,Personal foul by T. Parker (drawn by G. Hill)
4:15.0,,,86-96,,T. Duncan enters the game for D. West
4:05.0,P. George misses 3-pt shot from 23 ft,,86-96,,
4:03.0,,,86-96,,Defensive rebound by T. Parker
3:44.0,,,86-98,2,T. Parker makes 2-pt shot from 14 ft
3:33.0,Turnover by P. George (bad pass; steal by K. Leonard),,86-98,,
3:32.0,Personal foul by I. Mahinmi (drawn by K. Leonard),,86-98,,
3:17.0,,,86-98,,Turnover by B. Diaw (bad pass; steal by P. George)
3:14.0,Turnover by P. George (bad pass; steal by T. Duncan),,86-98,,
3:12.0,,,86-101,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Duncan)
3:11.0,Indiana full timeout,,86-101,,
3:11.0,C. Miles enters the game for R. Stuckey,,86-101,,
3:00.0,,,86-101,,Personal foul by T. Duncan (drawn by I. Mahinmi)
3:00.0,Turnover by C. Miles (bad pass),,86-101,,
2:40.0,,,86-104,3,T. Parker makes 3-pt shot from 23 ft (assist by K. Leonard)
2:30.0,G. Hill makes 2-pt shot from 2 ft (assist by P. George),2,88-104,,
2:03.0,,,88-104,,K. Leonard misses 3-pt shot from 24 ft
2:01.0,,,88-104,,Offensive rebound by T. Duncan
1:57.0,,,88-104,,San Antonio full timeout
1:57.0,C. Budinger enters the game for P. George,,88-104,,
1:57.0,G. Robinson enters the game for I. Mahinmi,,88-104,,
1:57.0,J. Young enters the game for G. Hill,,88-104,,
1:57.0,S. Hill enters the game for C. Miles,,88-104,,
1:57.0,,,88-104,,R. Butler enters the game for K. Leonard
1:57.0,,,88-104,,B. Marjanovic enters the game for T. Duncan
1:57.0,,,88-104,,P. Mills enters the game for T. Parker
1:57.0,,,88-104,,K. Anderson enters the game for B. Diaw
1:57.0,,,88-104,,J. Simmons enters the game for M. Ginobili
1:49.0,,,88-104,,Turnover by J. Simmons (bad pass)
1:40.0,J. Young makes 2-pt shot from 17 ft,2,90-104,,
1:26.0,,,90-104,,R. Butler misses 2-pt shot from 2 ft
1:25.0,Defensive rebound by S. Hill,,90-104,,
1:13.0,C. Budinger misses 2-pt shot at rim,,90-104,,
1:12.0,,,90-104,,Defensive rebound by B. Marjanovic
