time,Minnesota,pts.away,score,pts.home,Memphis
1:04.0,Turnover by K. Martin (bad pass),,27-25,,
1:04.0,G. Dieng enters the game for K. Towns,,27-25,,
1:04.0,,,27-25,,J. Green enters the game for B. Wright
0:48.0,,,27-25,,V. Carter misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by G. Dieng,,27-25,,
0:36.0,Turnover by K. Martin (lost ball; steal by M. Chalmers),,27-25,,
0:28.0,,,27-28,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Chalmers)
0:09.0,,,27-28,,Violation by C. Andersen (kicked ball)
0:02.0,A. Payne misses 3-pt shot from 24 ft,,27-28,,
0:01.0,,,27-28,,Defensive rebound by J. Green
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,G. Dieng makes 2-pt shot from 1 ft (assist by T. Jones),2,29-28,,
11:40.0,Shooting foul by V. Carter (drawn by G. Dieng),,29-28,,
11:40.0,G. Dieng makes free throw 1 of 1,1,30-28,,
11:23.0,,,30-28,,Turnover by C. Andersen (lost ball; steal by A. Payne)
11:15.0,Turnover by K. Martin (lost ball; steal by J. Ennis),,30-28,,
11:15.0,Loose ball foul by K. Martin,,30-28,,
11:15.0,,,30-28,,M. Conley enters the game for J. Ennis
10:58.0,,,30-28,,J. Green misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by A. Payne,,30-28,,
10:48.0,,,30-28,,Personal foul by M. Conley
10:39.0,Offensive foul by K. Martin,,30-28,,
10:39.0,Turnover by K. Martin (offensive foul),,30-28,,
10:30.0,Personal foul by A. Payne,,30-28,,
10:30.0,D. Rudez enters the game for A. Payne,,30-28,,
10:25.0,,,30-28,,M. Conley misses 2-pt shot from 19 ft
10:23.0,Defensive rebound by S. Muhammad,,30-28,,
10:11.0,T. Jones misses 2-pt shot from 6 ft,,30-28,,
10:08.0,,,30-28,,Defensive rebound by C. Andersen
9:52.0,,,30-28,,J. Green misses 2-pt shot from 19 ft
9:51.0,,,30-28,,Offensive rebound by M. Chalmers
9:49.0,,,30-28,,Memphis full timeout
9:49.0,,,30-28,,Z. Randolph enters the game for C. Andersen
9:44.0,,,30-28,,Turnover by M. Conley (lost ball; steal by G. Dieng)
9:43.0,Turnover by G. Dieng (lost ball; steal by J. Green),,30-28,,
9:36.0,,,30-28,,M. Conley misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by G. Dieng,,30-28,,
9:21.0,S. Muhammad makes 2-pt shot from 19 ft (assist by D. Rudez),2,32-28,,
9:03.0,,,32-30,2,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley)
8:48.0,D. Rudez makes 3-pt shot from 24 ft (assist by T. Jones),3,35-30,,
8:30.0,,,35-30,,Z. Randolph misses 2-pt shot from 6 ft
8:28.0,Defensive rebound by D. Rudez,,35-30,,
8:26.0,,,35-30,,T. Allen enters the game for V. Carter
8:13.0,K. Martin makes 2-pt shot at rim,2,37-30,,
7:56.0,,,37-30,,M. Chalmers misses 2-pt shot from 3 ft
7:52.0,Defensive rebound by K. Martin,,37-30,,
7:49.0,S. Muhammad makes 3-pt shot from 23 ft (assist by D. Rudez),3,40-30,,
7:41.0,,,40-30,,Memphis full timeout
7:41.0,,,40-30,,M. Barnes enters the game for M. Chalmers
7:41.0,A. Wiggins enters the game for K. Martin,,40-30,,
7:25.0,,,40-30,,Turnover by Z. Randolph (bad pass)
7:13.0,D. Rudez misses 3-pt shot from 23 ft,,40-30,,
7:12.0,,,40-30,,Defensive rebound by T. Allen
7:06.0,Personal foul by D. Rudez,,40-30,,
6:58.0,,,40-30,,T. Allen misses 2-pt shot from 2 ft (block by D. Rudez)
6:56.0,,,40-30,,Offensive rebound by J. Green
6:56.0,,,40-30,,J. Green misses 2-pt shot from 2 ft
6:55.0,,,40-30,,Offensive rebound by J. Green
6:55.0,,,40-32,2,J. Green makes 2-pt shot from 2 ft
6:39.0,S. Muhammad misses 3-pt shot from 24 ft,,40-32,,
6:37.0,,,40-32,,Defensive rebound by T. Allen
6:25.0,,,40-34,2,Z. Randolph makes 2-pt shot from 1 ft
6:16.0,Minnesota full timeout,,40-34,,
6:16.0,R. Rubio enters the game for S. Muhammad,,40-34,,
6:16.0,Z. LaVine enters the game for T. Jones,,40-34,,
6:00.0,R. Rubio misses 3-pt shot from 24 ft,,40-34,,
6:00.0,,,40-34,,Defensive rebound by M. Barnes
5:53.0,,,40-34,,Z. Randolph misses 2-pt shot from 3 ft
5:50.0,,,40-34,,Offensive rebound by Z. Randolph
5:50.0,,,40-36,2,Z. Randolph makes 2-pt shot from 1 ft
5:35.0,R. Rubio misses 3-pt shot from 24 ft,,40-36,,
5:33.0,,,40-36,,Defensive rebound by J. Green
5:30.0,Personal foul by D. Rudez,,40-36,,
5:30.0,K. Towns enters the game for D. Rudez,,40-36,,
5:18.0,,,40-39,3,M. Conley makes 3-pt shot from 23 ft (assist by J. Green)
5:00.0,K. Towns misses 2-pt shot from 20 ft,,40-39,,
4:59.0,,,40-39,,Defensive rebound by Z. Randolph
4:48.0,,,40-41,2,T. Allen makes 2-pt shot from 1 ft
4:30.0,,,40-41,,Personal foul by T. Allen
4:30.0,,,40-41,,B. Wright enters the game for J. Green
4:20.0,Turnover by R. Rubio (lost ball; steal by M. Conley),,40-41,,
4:15.0,,,40-43,2,B. Wright makes 2-pt shot at rim (assist by M. Barnes)
4:14.0,Minnesota full timeout,,40-43,,
4:03.0,K. Towns makes 2-pt shot at rim (assist by G. Dieng),2,42-43,,
3:35.0,,,42-43,,T. Allen misses 2-pt shot from 3 ft
3:35.0,Defensive rebound by G. Dieng,,42-43,,
3:35.0,,,42-43,,Loose ball foul by T. Allen
3:35.0,,,42-43,,M. Chalmers enters the game for M. Conley
3:26.0,Turnover by R. Rubio (lost ball; steal by B. Wright),,42-43,,
3:21.0,,,42-45,2,B. Wright makes 2-pt shot at rim
3:00.0,K. Towns makes 3-pt shot from 24 ft,3,45-45,,
2:44.0,,,45-45,,Shooting foul by Z. LaVine (drawn by M. Barnes)
2:44.0,,,45-46,1,M. Barnes makes free throw 1 of 2
2:44.0,S. Muhammad enters the game for Z. LaVine,,45-46,,
2:44.0,,,45-47,1,M. Barnes makes free throw 2 of 2
2:33.0,G. Dieng misses 2-pt shot from 18 ft,,45-47,,
2:32.0,,,45-47,,Defensive rebound by M. Barnes
2:27.0,Violation by G. Dieng (kicked ball),,45-47,,
2:14.0,,,45-47,,M. Barnes misses 2-pt shot from 1 ft
2:11.0,Defensive rebound by K. Towns,,45-47,,
1:58.0,,,45-47,,Def 3 sec tech foul by Z. Randolph
1:58.0,R. Rubio makes technical free throw,1,46-47,,
1:47.0,R. Rubio misses 2-pt shot from 19 ft,,46-47,,
1:44.0,,,46-47,,Defensive rebound by B. Wright
1:38.0,,,46-47,,M. Barnes misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by K. Towns,,46-47,,
1:33.0,Turnover by K. Towns (bad pass),,46-47,,
1:20.0,,,46-47,,Shooting foul by G. Dieng (drawn by Z. Randolph)
1:20.0,,,46-48,1,Z. Randolph makes free throw 1 of 2
1:20.0,,,46-48,,V. Carter enters the game for T. Allen
1:20.0,,,46-48,,Z. Randolph misses free throw 2 of 2
1:18.0,Defensive rebound by K. Towns,,46-48,,
1:00.0,K. Towns misses 2-pt shot from 21 ft,,46-48,,
0:59.0,Offensive rebound by S. Muhammad,,46-48,,
0:59.0,S. Muhammad makes 2-pt shot from 1 ft,2,48-48,,
0:43.0,,,48-48,,M. Barnes misses 2-pt shot from 2 ft
0:42.0,,,48-48,,Offensive rebound by B. Wright
0:38.0,,,48-48,,Memphis full timeout
0:38.0,A. Payne enters the game for K. Towns,,48-48,,
0:38.0,,,48-48,,M. Conley enters the game for B. Wright
0:27.0,,,48-51,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Conley)
0:02.0,G. Dieng misses 2-pt shot from 2 ft,,48-51,,
0:01.0,,,48-51,,Defensive rebound by Z. Randolph
0:00.0,,,48-51,,Z. Randolph misses 3-pt shot from 51 ft
0:00.0,,,48-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,50-51,,
11:25.0,,,50-53,2,M. Conley makes 2-pt shot from 18 ft (assist by J. Green)
11:08.0,A. Wiggins makes 2-pt shot from 10 ft (assist by R. Rubio),2,52-53,,
10:46.0,,,52-53,,P. Hairston misses 3-pt shot from 25 ft
10:45.0,,,52-53,,Offensive rebound by J. Green
10:45.0,,,52-53,,Shooting foul by G. Dieng (drawn by J. Green)
10:45.0,,,52-53,,J. Green misses free throw 1 of 2
10:45.0,,,52-53,,Offensive rebound by Team
10:45.0,,,52-54,1,J. Green makes free throw 2 of 2
10:37.0,,,52-54,,Personal foul by J. Green
10:35.0,,,52-54,,Personal foul by P. Hairston
10:35.0,,,52-54,,Technical foul by P. Hairston
10:35.0,R. Rubio makes technical free throw,1,53-54,,
10:27.0,G. Dieng makes 2-pt shot from 1 ft (assist by A. Wiggins),2,55-54,,
10:27.0,Shooting foul by Z. Randolph (drawn by G. Dieng),,55-54,,
10:27.0,G. Dieng makes free throw 1 of 1,1,56-54,,
10:11.0,,,56-56,2,M. Barnes makes 2-pt shot from 11 ft
9:49.0,R. Rubio misses 3-pt shot from 24 ft,,56-56,,
9:48.0,,,56-56,,Defensive rebound by J. Green
9:38.0,,,56-58,2,P. Hairston makes 2-pt shot at rim
9:20.0,,,56-58,,Personal foul by J. Green
9:05.0,Turnover by Team (shot clock),,56-58,,
8:55.0,,,56-58,,Turnover by P. Hairston (lost ball; steal by G. Dieng)
8:50.0,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio),2,58-58,,
8:49.0,Violation by Team (jump ball),,58-58,,
8:36.0,,,58-58,,Turnover by M. Barnes (lost ball; steal by G. Dieng)
8:28.0,Turnover by Z. LaVine (lost ball; steal by M. Conley),,58-58,,
8:23.0,,,58-60,2,M. Conley makes 2-pt shot from 1 ft
8:06.0,A. Wiggins misses 2-pt shot from 18 ft,,58-60,,
8:05.0,,,58-60,,Defensive rebound by J. Green
7:51.0,,,58-62,2,M. Conley makes 2-pt shot from 1 ft (assist by Z. Randolph)
7:31.0,K. Towns misses 2-pt shot from 19 ft,,58-62,,
7:30.0,Offensive rebound by G. Dieng,,58-62,,
7:18.0,Z. LaVine makes 3-pt shot from 25 ft,3,61-62,,
7:01.0,,,61-64,2,M. Conley makes 2-pt shot from 2 ft
6:41.0,Z. LaVine misses 2-pt shot from 19 ft,,61-64,,
6:39.0,Offensive rebound by K. Towns,,61-64,,
6:37.0,K. Towns misses 2-pt shot at rim (block by J. Green),,61-64,,
6:33.0,,,61-64,,Defensive rebound by J. Green
6:27.0,,,61-64,,P. Hairston misses 3-pt shot from 22 ft
6:25.0,Defensive rebound by K. Towns,,61-64,,
6:21.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,63-64,,
6:21.0,,,63-64,,Memphis full timeout
6:21.0,,,63-64,,B. Wright enters the game for J. Green
6:02.0,,,63-64,,Z. Randolph misses 2-pt shot from 18 ft
6:02.0,Defensive rebound by K. Towns,,63-64,,
5:45.0,Shooting foul by Z. Randolph (drawn by G. Dieng),,63-64,,
5:45.0,G. Dieng makes free throw 1 of 2,1,64-64,,
5:45.0,G. Dieng makes free throw 2 of 2,1,65-64,,
5:27.0,,,65-66,2,Z. Randolph makes 2-pt shot from 2 ft
5:00.0,Z. LaVine makes 2-pt shot from 18 ft (assist by A. Wiggins),2,67-66,,
4:42.0,,,67-66,,Z. Randolph misses 2-pt shot from 2 ft
4:40.0,Defensive rebound by R. Rubio,,67-66,,
4:39.0,Shooting foul by M. Barnes (drawn by Z. LaVine),,67-66,,
4:39.0,Z. LaVine makes free throw 1 of 2,1,68-66,,
4:39.0,,,68-66,,M. Chalmers enters the game for M. Conley
4:39.0,,,68-66,,V. Carter enters the game for P. Hairston
4:39.0,Z. LaVine makes free throw 2 of 2,1,69-66,,
4:21.0,,,69-66,,M. Barnes misses 2-pt shot from 21 ft
4:21.0,Defensive rebound by A. Wiggins,,69-66,,
4:11.0,Turnover by R. Rubio (lost ball; steal by M. Barnes),,69-66,,
4:08.0,Personal foul by A. Wiggins,,69-66,,
3:57.0,,,69-66,,V. Carter misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by R. Rubio,,69-66,,
3:52.0,,,69-66,,J. Ennis enters the game for M. Barnes
3:45.0,Z. LaVine makes 2-pt shot from 21 ft (assist by R. Rubio),2,71-66,,
3:29.0,,,71-66,,Shooting foul by R. Rubio (drawn by J. Ennis)
3:29.0,,,71-67,1,J. Ennis makes free throw 1 of 2
3:29.0,T. Jones enters the game for R. Rubio,,71-67,,
3:29.0,S. Muhammad enters the game for A. Wiggins,,71-67,,
3:29.0,,,71-67,,J. Ennis misses free throw 2 of 2
3:28.0,Defensive rebound by K. Towns,,71-67,,
3:07.0,Z. LaVine makes 2-pt shot from 19 ft,2,73-67,,
3:07.0,,,73-67,,Memphis full timeout
3:07.0,,,73-67,,J. Green enters the game for Z. Randolph
3:07.0,,,73-67,,M. Conley enters the game for J. Ennis
2:57.0,,,73-67,,Turnover by M. Chalmers (bad pass)
2:38.0,Z. LaVine misses 2-pt shot from 20 ft,,73-67,,
2:37.0,Offensive rebound by K. Towns,,73-67,,
2:36.0,Shooting foul by V. Carter (drawn by T. Jones),,73-67,,
2:36.0,T. Jones makes free throw 1 of 2,1,74-67,,
2:36.0,A. Payne enters the game for G. Dieng,,74-67,,
2:36.0,T. Jones makes free throw 2 of 2,1,75-67,,
2:26.0,Personal foul by A. Payne,,75-67,,
2:26.0,K. Martin enters the game for Z. LaVine,,75-67,,
2:17.0,,,75-69,2,J. Green makes 2-pt shot from 6 ft (assist by M. Conley)
1:55.0,S. Muhammad makes 3-pt shot from 25 ft (assist by K. Towns),3,78-69,,
1:45.0,Personal foul by T. Jones,,78-69,,
1:45.0,,,78-70,1,M. Conley makes free throw 1 of 2
1:45.0,,,78-71,1,M. Conley makes free throw 2 of 2
1:27.0,K. Martin makes 3-pt shot from 24 ft (assist by S. Muhammad),3,81-71,,
1:16.0,,,81-71,,V. Carter misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by K. Martin,,81-71,,
1:08.0,T. Jones misses 2-pt shot from 3 ft,,81-71,,
1:05.0,,,81-71,,Defensive rebound by V. Carter
0:59.0,,,81-71,,V. Carter misses 3-pt shot from 24 ft
0:56.0,,,81-71,,Offensive rebound by M. Conley
0:56.0,,,81-71,,M. Conley misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by A. Payne,,81-71,,
0:50.0,S. Muhammad misses 2-pt shot from 14 ft,,81-71,,
0:48.0,,,81-71,,Defensive rebound by J. Green
0:32.0,,,81-71,,J. Green misses 2-pt shot from 7 ft
0:31.0,Defensive rebound by A. Payne,,81-71,,
0:30.0,Turnover by A. Payne (lost ball),,81-71,,
0:19.0,,,81-73,2,M. Conley makes 2-pt shot from 3 ft
0:03.0,Turnover by T. Jones (lost ball; steal by V. Carter),,81-73,,
0:00.0,,,81-76,3,V. Carter makes 3-pt shot from 72 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:56.0,Personal foul by K. Martin,,81-76,,
11:42.0,,,81-76,,J. Green misses 2-pt shot from 3 ft (block by A. Payne)
11:42.0,Defensive rebound by Team,,81-76,,
11:31.0,,,81-76,,Personal foul by M. Chalmers
11:16.0,G. Dieng misses 3-pt shot from 24 ft,,81-76,,
11:15.0,,,81-76,,Defensive rebound by M. Conley
11:05.0,,,81-76,,M. Conley misses 2-pt shot from 16 ft
11:04.0,,,81-76,,Offensive rebound by C. Andersen
11:04.0,,,81-78,2,C. Andersen makes 2-pt shot from 1 ft
10:38.0,T. Jones makes 3-pt shot from 25 ft (assist by K. Martin),3,84-78,,
10:25.0,,,84-81,3,M. Chalmers makes 3-pt shot from 23 ft
10:05.0,S. Muhammad misses 2-pt shot from 2 ft (block by C. Andersen),,84-81,,
10:04.0,,,84-81,,Defensive rebound by C. Andersen
9:57.0,,,84-83,2,M. Conley makes 2-pt shot at rim
9:57.0,Minnesota full timeout,,84-83,,
9:57.0,D. Rudez enters the game for A. Payne,,84-83,,
9:44.0,K. Martin misses 2-pt shot from 19 ft,,84-83,,
9:42.0,Offensive rebound by G. Dieng,,84-83,,
9:41.0,Turnover by G. Dieng (lost ball; steal by V. Carter),,84-83,,
9:41.0,,,84-83,,Turnover by V. Carter (step out of bounds)
9:34.0,K. Martin misses 3-pt shot from 24 ft,,84-83,,
9:34.0,,,84-83,,Defensive rebound by M. Conley
9:15.0,,,84-85,2,C. Andersen makes 2-pt shot from 2 ft (assist by M. Conley)
8:51.0,D. Rudez misses 3-pt shot from 25 ft (block by J. Green),,84-85,,
8:51.0,Offensive rebound by Team,,84-85,,
8:51.0,Turnover by Team (shot clock),,84-85,,
8:51.0,R. Rubio enters the game for T. Jones,,84-85,,
8:37.0,,,84-87,2,M. Conley makes 2-pt shot from 9 ft
8:22.0,Shooting foul by M. Chalmers (drawn by K. Martin),,84-87,,
8:22.0,K. Martin makes free throw 1 of 2,1,85-87,,
8:22.0,K. Towns enters the game for D. Rudez,,85-87,,
8:22.0,A. Wiggins enters the game for S. Muhammad,,85-87,,
8:22.0,K. Martin makes free throw 2 of 2,1,86-87,,
8:13.0,Personal foul by K. Martin,,86-87,,
8:13.0,Z. LaVine enters the game for K. Martin,,86-87,,
8:04.0,,,86-87,,M. Chalmers misses 2-pt shot from 3 ft
8:03.0,Defensive rebound by G. Dieng,,86-87,,
7:51.0,Turnover by A. Wiggins (lost ball; steal by J. Green),,86-87,,
7:40.0,,,86-87,,Offensive foul by M. Chalmers
7:40.0,,,86-87,,Turnover by M. Chalmers (offensive foul)
7:40.0,,,86-87,,M. Barnes enters the game for V. Carter
7:20.0,Turnover by Z. LaVine (back court),,86-87,,
7:12.0,,,86-90,3,M. Conley makes 3-pt shot from 25 ft
6:50.0,Z. LaVine makes 3-pt shot from 27 ft (assist by A. Wiggins),3,89-90,,
6:37.0,,,89-90,,M. Chalmers misses 2-pt shot from 6 ft (block by K. Towns)
6:36.0,Defensive rebound by Z. LaVine,,89-90,,
6:24.0,A. Wiggins misses 2-pt shot from 14 ft,,89-90,,
6:22.0,,,89-90,,Defensive rebound by M. Chalmers
6:09.0,,,89-90,,M. Conley misses 2-pt shot at rim
6:06.0,Defensive rebound by A. Wiggins,,89-90,,
5:53.0,Shooting foul by M. Chalmers (drawn by A. Wiggins),,89-90,,
5:53.0,Minnesota full timeout,,89-90,,
5:53.0,,,89-90,,V. Carter enters the game for M. Chalmers
5:53.0,,,89-90,,Z. Randolph enters the game for C. Andersen
5:53.0,A. Wiggins makes free throw 1 of 2,1,90-90,,
5:53.0,A. Wiggins makes free throw 2 of 2,1,91-90,,
5:46.0,,,91-90,,Turnover by M. Conley (lost ball)
5:31.0,Z. LaVine misses 3-pt shot from 26 ft,,91-90,,
5:30.0,,,91-90,,Defensive rebound by J. Green
5:10.0,,,91-90,,M. Barnes misses 3-pt shot from 25 ft
5:07.0,,,91-90,,Offensive rebound by Z. Randolph
5:07.0,,,91-92,2,Z. Randolph makes 2-pt shot from 1 ft
4:47.0,Turnover by Z. LaVine (lost ball),,91-92,,
4:30.0,,,91-94,2,V. Carter makes 2-pt shot from 12 ft
4:14.0,K. Towns misses 3-pt shot from 24 ft,,91-94,,
4:14.0,,,91-94,,Defensive rebound by M. Conley
4:08.0,,,91-96,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
4:08.0,Minnesota full timeout,,91-96,,
3:50.0,Z. LaVine misses 2-pt shot from 2 ft,,91-96,,
3:49.0,,,91-96,,Defensive rebound by Z. Randolph
3:44.0,,,91-96,,M. Barnes misses 2-pt shot from 3 ft
3:41.0,,,91-96,,Offensive rebound by J. Green
3:41.0,,,91-98,2,J. Green makes 2-pt shot from 1 ft
3:27.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,91-98,,
3:27.0,A. Wiggins makes free throw 1 of 2,1,92-98,,
3:27.0,,,92-98,,M. Chalmers enters the game for J. Green
3:27.0,A. Wiggins makes free throw 2 of 2,1,93-98,,
3:16.0,,,93-98,,M. Conley misses 2-pt shot from 10 ft (block by G. Dieng)
3:16.0,Defensive rebound by G. Dieng,,93-98,,
3:16.0,Jump ball: M. Conley vs. G. Dieng (K. Towns gains possession),,,,Jump ball: M. Conley vs. G. Dieng (K. Towns gains possession)
3:01.0,Shooting foul by V. Carter (drawn by A. Wiggins),,93-98,,
3:01.0,A. Wiggins makes free throw 1 of 2,1,94-98,,
3:01.0,A. Wiggins makes free throw 2 of 2,1,95-98,,
2:45.0,,,95-98,,Shooting foul by K. Towns (drawn by M. Chalmers)
