time,San Antonio,pts.away,score,pts.home,LA Lakers
10:59.0,D. West misses 2-pt shot from 7 ft (block by B. Bass),,33-30,,
10:57.0,,,33-30,,Defensive rebound by B. Bass
10:54.0,,,33-30,,Offensive foul by L. Nance
10:54.0,,,33-30,,Turnover by L. Nance (offensive foul)
10:35.0,P. Mills makes 3-pt shot from 24 ft (assist by D. West),3,36-30,,
10:23.0,,,36-30,,N. Young misses 2-pt shot from 9 ft
10:21.0,Defensive rebound by J. Simmons,,36-30,,
10:13.0,D. West misses 2-pt shot from 2 ft (block by L. Nance),,36-30,,
10:12.0,Offensive rebound by D. West,,36-30,,
10:09.0,D. West makes 2-pt shot at rim,2,38-30,,
10:09.0,,,38-30,,LA Lakers full timeout
10:09.0,T. Parker enters the game for P. Mills,,38-30,,
9:47.0,,,38-32,2,L. Nance makes 2-pt shot at rim (assist by N. Young)
9:27.0,Turnover by B. Diaw (lost ball; steal by B. Bass),,38-32,,
9:22.0,,,38-34,2,B. Bass makes 2-pt shot at rim (assist by N. Young)
8:58.0,R. Butler makes 3-pt shot from 24 ft (assist by B. Diaw),3,41-34,,
8:48.0,,,41-36,2,B. Bass makes 2-pt shot at rim (assist by D. Russell)
8:32.0,T. Parker makes 2-pt shot from 1 ft,2,43-36,,
8:08.0,,,43-38,2,L. Williams makes 2-pt shot from 3 ft (assist by L. Nance)
7:43.0,J. Simmons makes 3-pt shot from 23 ft (assist by D. West),3,46-38,,
7:25.0,,,46-38,,Turnover by L. Nance (traveling)
7:25.0,,,46-38,,K. Bryant enters the game for B. Bass
7:25.0,,,46-38,,R. Hibbert enters the game for N. Young
7:25.0,,,46-38,,J. Randle enters the game for L. Nance
7:25.0,K. Anderson enters the game for B. Diaw,,46-38,,
7:25.0,T. Duncan enters the game for R. Butler,,46-38,,
7:10.0,J. Simmons misses 2-pt shot from 19 ft,,46-38,,
7:09.0,,,46-38,,Defensive rebound by J. Randle
6:55.0,,,46-38,,K. Bryant misses 3-pt shot from 23 ft
6:54.0,,,46-38,,Offensive rebound by R. Hibbert
6:51.0,,,46-40,2,J. Randle makes 2-pt shot at rim (assist by R. Hibbert)
6:51.0,,,46-40,,Shooting foul by K. Anderson (drawn by J. Randle)
6:51.0,L. Aldridge enters the game for D. West,,46-40,,
6:51.0,,,46-40,,J. Randle misses free throw 1 of 1
6:50.0,Defensive rebound by J. Simmons,,46-40,,
6:28.0,T. Parker misses 2-pt shot from 15 ft,,46-40,,
6:25.0,Offensive rebound by T. Parker,,46-40,,
6:23.0,T. Parker makes 2-pt shot from 9 ft,2,48-40,,
6:03.0,,,48-40,,R. Hibbert misses 2-pt shot from 4 ft (block by T. Duncan)
6:02.0,,,48-40,,Offensive rebound by K. Bryant
5:59.0,,,48-40,,K. Bryant misses 2-pt shot from 9 ft
5:58.0,Defensive rebound by L. Aldridge,,48-40,,
5:50.0,T. Parker misses 2-pt shot from 11 ft,,48-40,,
5:49.0,,,48-40,,Defensive rebound by R. Hibbert
5:28.0,,,48-42,2,J. Randle makes 2-pt shot at rim (assist by K. Bryant)
5:06.0,Official timeout,,48-42,,
5:03.0,P. Mills enters the game for J. Simmons,,48-42,,
4:57.0,P. Mills misses 3-pt shot from 24 ft,,48-42,,
4:56.0,,,48-42,,Defensive rebound by J. Randle
4:48.0,,,48-42,,Turnover by L. Williams (traveling)
4:48.0,,,48-42,,J. Clarkson enters the game for D. Russell
4:32.0,L. Aldridge makes 2-pt shot from 4 ft (assist by K. Anderson),2,50-42,,
4:17.0,,,50-44,2,K. Bryant makes 2-pt shot from 6 ft
4:01.0,,,50-44,,Personal foul by J. Randle
3:57.0,Turnover by T. Parker (bad pass),,50-44,,
3:42.0,,,50-46,2,J. Randle makes 2-pt shot from 10 ft (assist by L. Williams)
3:21.0,P. Mills misses 2-pt shot from 20 ft,,50-46,,
3:20.0,Offensive rebound by T. Duncan,,50-46,,
3:07.0,K. Anderson makes 2-pt shot at rim (assist by T. Parker),2,52-46,,
2:57.0,,,52-46,,Shooting foul by L. Aldridge (drawn by K. Bryant)
2:57.0,San Antonio full timeout,,52-46,,
2:57.0,,,52-46,,K. Bryant misses free throw 1 of 2
2:57.0,,,52-46,,Offensive rebound by Team
2:57.0,,,52-47,1,K. Bryant makes free throw 2 of 2
2:42.0,L. Aldridge misses 2-pt shot from 2 ft,,52-47,,
2:39.0,Offensive rebound by L. Aldridge,,52-47,,
2:37.0,L. Aldridge makes 2-pt shot at rim,2,54-47,,
2:26.0,,,54-47,,L. Williams misses 3-pt shot from 24 ft
2:24.0,Defensive rebound by T. Duncan,,54-47,,
2:08.0,K. Anderson misses 2-pt shot from 19 ft,,54-47,,
2:07.0,,,54-47,,Defensive rebound by J. Randle
1:54.0,,,54-47,,Turnover by J. Randle (lost ball; steal by K. Anderson)
1:47.0,K. Anderson makes 2-pt shot from 1 ft (assist by P. Mills),2,56-47,,
1:33.0,,,56-47,,K. Bryant misses 3-pt shot from 23 ft
1:31.0,Defensive rebound by T. Duncan,,56-47,,
1:26.0,P. Mills misses 3-pt shot from 23 ft,,56-47,,
1:25.0,Offensive rebound by T. Duncan,,56-47,,
1:05.0,K. Anderson makes 2-pt shot from 17 ft (assist by L. Aldridge),2,58-47,,
0:50.0,,,58-47,,Turnover by J. Clarkson (lost ball; steal by P. Mills)
0:39.0,T. Parker makes 2-pt shot from 17 ft (assist by P. Mills),2,60-47,,
0:31.0,,,60-49,2,L. Williams makes 2-pt shot from 12 ft
0:11.0,Turnover by T. Parker (lost ball; steal by J. Clarkson),,60-49,,
0:02.0,,,60-49,,Turnover by L. Williams (lost ball; steal by L. Aldridge)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Anderson misses 2-pt shot from 14 ft,,60-49,,
11:44.0,,,60-49,,Defensive rebound by J. Randle
11:22.0,,,60-49,,K. Bryant misses 3-pt shot from 24 ft
11:21.0,Defensive rebound by D. Green,,60-49,,
11:17.0,K. Anderson makes 2-pt shot at rim (assist by D. Green),2,62-49,,
10:59.0,,,62-51,2,K. Bryant makes 2-pt shot from 9 ft (assist by R. Hibbert)
10:47.0,T. Parker makes 2-pt shot from 6 ft,2,64-51,,
10:36.0,Personal foul by T. Duncan,,64-51,,
10:29.0,,,64-51,,J. Clarkson misses 2-pt shot from 3 ft
10:26.0,,,64-51,,Offensive rebound by J. Randle
10:24.0,,,64-51,,J. Randle misses 2-pt shot from 1 ft (block by T. Duncan)
10:23.0,Defensive rebound by T. Duncan,,64-51,,
10:15.0,K. Anderson misses 3-pt shot from 23 ft,,64-51,,
10:15.0,Offensive rebound by Team,,64-51,,
10:11.0,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson),2,66-51,,
10:00.0,,,66-51,,Turnover by K. Bryant (lost ball; steal by T. Parker)
9:54.0,K. Anderson misses 2-pt shot from 15 ft,,66-51,,
9:49.0,,,66-51,,Defensive rebound by J. Clarkson
9:46.0,,,66-51,,J. Clarkson misses 2-pt shot from 6 ft (block by L. Aldridge)
9:44.0,,,66-51,,Offensive rebound by J. Randle
9:35.0,,,66-53,2,R. Hibbert makes 2-pt shot from 16 ft (assist by K. Bryant)
9:19.0,D. Green misses 2-pt shot from 12 ft,,66-53,,
9:16.0,,,66-53,,Defensive rebound by R. Hibbert
9:04.0,,,66-53,,L. Williams misses 2-pt shot from 21 ft
9:03.0,Defensive rebound by K. Anderson,,66-53,,
8:48.0,K. Anderson misses 2-pt shot from 19 ft,,66-53,,
8:47.0,,,66-53,,Defensive rebound by K. Bryant
8:36.0,,,66-55,2,K. Bryant makes 2-pt shot from 8 ft
8:31.0,San Antonio full timeout,,66-55,,
8:19.0,Turnover by L. Aldridge (lost ball; steal by K. Bryant),,66-55,,
7:58.0,,,66-57,2,J. Clarkson makes 2-pt shot from 6 ft
7:46.0,T. Parker misses 2-pt shot from 19 ft,,66-57,,
7:45.0,,,66-57,,Defensive rebound by J. Randle
7:31.0,,,66-57,,K. Bryant misses 2-pt shot from 2 ft
7:29.0,,,66-57,,Offensive rebound by J. Randle
7:25.0,Personal foul by D. Green,,66-57,,
7:19.0,,,66-57,,R. Hibbert misses 2-pt shot from 17 ft
7:18.0,Defensive rebound by T. Duncan,,66-57,,
7:14.0,Shooting foul by L. Williams (drawn by T. Parker),,66-57,,
7:14.0,T. Parker makes free throw 1 of 2,1,67-57,,
7:14.0,T. Parker makes free throw 2 of 2,1,68-57,,
6:56.0,,,68-57,,J. Randle misses 2-pt shot from 10 ft
6:55.0,Defensive rebound by K. Anderson,,68-57,,
6:44.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,70-57,,
6:33.0,Personal block foul by D. Green,,70-57,,
6:25.0,Personal foul by K. Anderson,,70-57,,
6:12.0,,,70-59,2,K. Bryant makes 2-pt shot from 10 ft
5:42.0,K. Anderson misses 2-pt shot from 17 ft,,70-59,,
5:40.0,,,70-59,,Defensive rebound by R. Hibbert
5:31.0,,,70-59,,J. Clarkson misses 2-pt shot from 11 ft (block by D. Green)
5:30.0,,,70-59,,Offensive rebound by J. Clarkson
5:23.0,,,70-62,3,K. Bryant makes 3-pt shot from 24 ft (assist by R. Hibbert)
5:09.0,L. Aldridge misses 2-pt shot from 6 ft,,70-62,,
5:07.0,Offensive rebound by T. Duncan,,70-62,,
5:07.0,T. Duncan makes 2-pt shot at rim,2,72-62,,
4:46.0,,,72-62,,J. Randle misses 2-pt shot at rim
4:42.0,Defensive rebound by L. Aldridge,,72-62,,
4:39.0,Shooting foul by J. Clarkson (drawn by T. Parker),,72-62,,
4:39.0,T. Parker makes free throw 1 of 2,1,73-62,,
4:39.0,J. Simmons enters the game for K. Anderson,,73-62,,
4:39.0,R. Butler enters the game for T. Duncan,,73-62,,
4:39.0,B. Diaw enters the game for D. Green,,73-62,,
4:39.0,,,73-62,,D. Russell enters the game for L. Williams
4:39.0,,,73-62,,B. Bass enters the game for R. Hibbert
4:39.0,T. Parker makes free throw 2 of 2,1,74-62,,
4:28.0,,,74-62,,K. Bryant misses 3-pt shot from 24 ft
4:27.0,,,74-62,,Offensive rebound by Team
4:27.0,P. Mills enters the game for T. Parker,,74-62,,
4:27.0,D. West enters the game for L. Aldridge,,74-62,,
4:14.0,,,74-64,2,K. Bryant makes 2-pt shot from 4 ft
3:54.0,R. Butler misses 3-pt shot from 24 ft,,74-64,,
3:53.0,,,74-64,,Defensive rebound by J. Randle
3:44.0,,,74-64,,D. Russell misses 2-pt shot from 12 ft
3:43.0,Defensive rebound by D. West,,74-64,,
3:31.0,P. Mills misses 2-pt shot from 18 ft,,74-64,,
3:28.0,,,74-64,,Defensive rebound by J. Randle
3:18.0,,,74-64,,K. Bryant misses 2-pt shot from 12 ft
3:16.0,Defensive rebound by B. Diaw,,74-64,,
3:11.0,P. Mills makes 2-pt shot at rim (assist by R. Butler),2,76-64,,
2:48.0,,,76-64,,Shooting foul by D. West (drawn by J. Clarkson)
2:48.0,,,76-64,,LA Lakers full timeout
2:48.0,,,76-64,,L. Nance enters the game for K. Bryant
2:48.0,,,76-64,,N. Young enters the game for J. Randle
2:48.0,,,76-65,1,J. Clarkson makes free throw 1 of 2
2:48.0,,,76-66,1,J. Clarkson makes free throw 2 of 2
2:35.0,,,76-66,,Personal foul by L. Nance
2:25.0,R. Butler makes 2-pt shot from 17 ft (assist by D. West),2,78-66,,
2:01.0,,,78-66,,Shooting foul by B. Diaw (drawn by N. Young)
2:01.0,,,78-67,1,N. Young makes free throw 1 of 3
2:01.0,,,78-68,1,N. Young makes free throw 2 of 3
2:01.0,,,78-69,1,N. Young makes free throw 3 of 3
1:48.0,P. Mills misses 2-pt shot from 17 ft,,78-69,,
1:47.0,,,78-69,,Defensive rebound by D. Russell
1:39.0,,,78-71,2,D. Russell makes 2-pt shot at rim
1:19.0,B. Diaw makes 2-pt shot from 4 ft (assist by P. Mills),2,80-71,,
0:58.0,,,80-71,,Shooting foul by D. West (drawn by B. Bass)
0:58.0,,,80-72,1,B. Bass makes free throw 1 of 2
0:58.0,,,80-73,1,B. Bass makes free throw 2 of 2
0:42.0,B. Diaw makes 2-pt shot from 3 ft,2,82-73,,
0:33.0,,,82-73,,J. Clarkson misses 3-pt shot from 25 ft
0:32.0,,,82-73,,Offensive rebound by L. Nance
0:28.0,,,82-73,,L. Nance misses 2-pt shot at rim
0:27.0,Defensive rebound by B. Diaw,,82-73,,
0:10.0,P. Mills makes 3-pt shot from 24 ft,3,85-73,,
0:02.0,,,85-75,2,J. Clarkson makes 2-pt shot from 1 ft (assist by D. Russell)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,85-75,,D. Russell misses 3-pt shot from 24 ft
11:45.0,,,85-75,,Offensive rebound by Team
11:45.0,Loose ball foul by D. Green,,85-75,,
11:31.0,Personal foul by R. Butler,,85-75,,
11:25.0,,,85-75,,Shooting foul by B. Diaw (drawn by D. Russell)
11:25.0,,,85-76,1,D. Russell makes free throw 1 of 2
11:25.0,,,85-77,1,D. Russell makes free throw 2 of 2
11:12.0,Shooting foul by B. Bass (drawn by L. Aldridge),,85-77,,
11:12.0,L. Aldridge makes free throw 1 of 2,1,86-77,,
11:12.0,L. Aldridge makes free throw 2 of 2,1,87-77,,
11:00.0,,,87-77,,Offensive foul by D. Russell
11:00.0,,,87-77,,Turnover by D. Russell (offensive foul)
10:44.0,B. Diaw makes 2-pt shot from 1 ft (assist by T. Parker),2,89-77,,
10:23.0,,,89-77,,J. Clarkson misses 2-pt shot from 1 ft (block by L. Aldridge)
10:22.0,,,89-77,,Offensive rebound by J. Clarkson
10:22.0,,,89-77,,Shooting foul by D. Green (drawn by J. Clarkson)
10:22.0,,,89-78,1,J. Clarkson makes free throw 1 of 2
10:22.0,,,89-79,1,J. Clarkson makes free throw 2 of 2
10:09.0,T. Parker misses 2-pt shot from 17 ft,,89-79,,
10:09.0,Offensive rebound by R. Butler,,89-79,,
10:09.0,Shooting foul by J. Clarkson (drawn by R. Butler),,89-79,,
10:09.0,R. Butler makes free throw 1 of 2,1,90-79,,
10:09.0,,,90-79,,L. Williams enters the game for J. Clarkson
10:09.0,P. Mills enters the game for D. Green,,90-79,,
10:09.0,R. Butler makes free throw 2 of 2,1,91-79,,
9:53.0,,,91-81,2,L. Nance makes 2-pt shot from 1 ft (assist by B. Bass)
9:28.0,L. Aldridge makes 2-pt shot from 4 ft (assist by T. Parker),2,93-81,,
9:08.0,,,93-81,,L. Williams misses 2-pt shot at rim
9:04.0,Defensive rebound by R. Butler,,93-81,,
8:59.0,P. Mills misses 3-pt shot from 23 ft,,93-81,,
8:58.0,,,93-81,,Defensive rebound by L. Nance
8:51.0,,,93-84,3,N. Young makes 3-pt shot from 26 ft (assist by D. Russell)
8:51.0,San Antonio full timeout,,93-84,,
8:51.0,J. Simmons enters the game for T. Parker,,93-84,,
8:33.0,L. Aldridge misses 2-pt shot from 13 ft,,93-84,,
8:30.0,,,93-84,,Defensive rebound by N. Young
8:14.0,,,93-84,,N. Young misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by P. Mills,,93-84,,
7:57.0,B. Diaw misses 2-pt shot from 3 ft,,93-84,,
7:54.0,Offensive rebound by L. Aldridge,,93-84,,
7:52.0,L. Aldridge makes 2-pt shot at rim,2,95-84,,
7:49.0,,,95-84,,Shooting foul by L. Aldridge (drawn by L. Williams)
7:49.0,,,95-84,,L. Williams misses free throw 1 of 2
7:49.0,,,95-84,,Offensive rebound by Team
7:49.0,T. Duncan enters the game for B. Diaw,,95-84,,
7:49.0,,,95-85,1,L. Williams makes free throw 2 of 2
7:39.0,P. Mills makes 2-pt shot from 1 ft (assist by T. Duncan),2,97-85,,
7:18.0,,,97-85,,N. Young misses 2-pt shot from 17 ft
7:13.0,,,97-85,,Offensive rebound by L. Nance
7:11.0,,,97-87,2,L. Nance makes 2-pt shot at rim
7:03.0,Turnover by P. Mills (bad pass),,97-87,,
6:51.0,Personal foul by R. Butler,,97-87,,
6:51.0,,,97-88,1,N. Young makes free throw 1 of 2
6:51.0,K. Anderson enters the game for R. Butler,,97-88,,
6:51.0,,,97-89,1,N. Young makes free throw 2 of 2
6:36.0,J. Simmons makes 2-pt shot at rim (assist by L. Aldridge),2,99-89,,
6:16.0,,,99-91,2,B. Bass makes 2-pt shot at rim
5:55.0,T. Duncan misses 2-pt shot from 5 ft (block by B. Bass),,99-91,,
5:53.0,Offensive rebound by J. Simmons,,99-91,,
5:48.0,J. Simmons makes 2-pt shot from 20 ft,2,101-91,,
5:44.0,,,101-94,3,L. Williams makes 3-pt shot from 25 ft
5:44.0,,,101-94,,Shooting foul by K. Anderson (drawn by L. Williams)
5:44.0,Official timeout,,101-94,,
5:44.0,T. Parker enters the game for J. Simmons,,101-94,,
5:44.0,,,101-94,,K. Bryant enters the game for N. Young
5:44.0,,,101-94,,J. Randle enters the game for L. Nance
5:44.0,,,101-95,1,L. Williams makes free throw 1 of 1
5:27.0,P. Mills misses 3-pt shot from 24 ft,,101-95,,
5:25.0,,,101-95,,Defensive rebound by J. Randle
5:11.0,,,101-95,,Offensive foul by B. Bass
5:11.0,,,101-95,,Turnover by B. Bass (offensive foul)
4:55.0,T. Parker misses 2-pt shot from 16 ft,,101-95,,
4:52.0,,,101-95,,Defensive rebound by K. Bryant
4:45.0,,,101-97,2,K. Bryant makes 2-pt shot from 11 ft
4:27.0,T. Parker makes 2-pt shot from 14 ft (assist by P. Mills),2,103-97,,
4:01.0,,,103-97,,K. Bryant misses 2-pt shot from 13 ft
3:58.0,,,103-97,,Offensive rebound by J. Randle
3:58.0,,,103-99,2,J. Randle makes 2-pt shot at rim
3:45.0,T. Parker makes 2-pt shot from 15 ft (assist by P. Mills),2,105-99,,
3:22.0,,,105-99,,K. Bryant misses 2-pt shot from 17 ft
3:21.0,,,105-99,,Offensive rebound by J. Randle
3:12.0,,,105-99,,K. Bryant misses 2-pt shot from 1 ft (block by T. Duncan)
3:10.0,Defensive rebound by T. Duncan,,105-99,,
3:06.0,L. Aldridge makes 2-pt shot at rim (assist by P. Mills),2,107-99,,
3:01.0,,,107-99,,LA Lakers full timeout
3:01.0,,,107-99,,J. Clarkson enters the game for D. Russell
3:01.0,D. Green enters the game for P. Mills,,107-99,,
2:53.0,,,107-99,,Shooting foul by L. Aldridge (drawn by K. Bryant)
2:53.0,,,107-100,1,K. Bryant makes free throw 1 of 3
2:53.0,,,107-101,1,K. Bryant makes free throw 2 of 3
2:53.0,,,107-102,1,K. Bryant makes free throw 3 of 3
2:30.0,L. Aldridge misses 2-pt shot from 19 ft,,107-102,,
2:29.0,Offensive rebound by Team,,107-102,,
2:29.0,Turnover by Team (shot clock),,107-102,,
2:14.0,,,107-102,,K. Bryant misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by Team,,107-102,,
2:10.0,,,107-102,,N. Young enters the game for K. Bryant
1:56.0,Shooting foul by B. Bass (drawn by L. Aldridge),,107-102,,
1:56.0,L. Aldridge makes free throw 1 of 2,1,108-102,,
1:56.0,,,108-102,,K. Bryant enters the game for N. Young
1:56.0,P. Mills enters the game for D. Green,,108-102,,
1:56.0,L. Aldridge makes free throw 2 of 2,1,109-102,,
1:47.0,,,109-105,3,L. Williams makes 3-pt shot from 24 ft (assist by J. Clarkson)
1:35.0,K. Anderson makes 2-pt shot from 2 ft (assist by T. Parker),2,111-105,,
1:23.0,,,111-107,2,K. Bryant makes 2-pt shot from 8 ft (assist by J. Clarkson)
1:03.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Anderson),3,114-107,,
1:03.0,,,114-107,,LA Lakers full timeout
0:54.0,,,114-107,,K. Bryant misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by T. Duncan,,114-107,,
0:52.0,,,114-107,,Personal take foul by J. Randle
0:52.0,T. Duncan misses free throw 1 of 2,,114-107,,
0:52.0,Offensive rebound by Team,,114-107,,
0:52.0,T. Duncan makes free throw 2 of 2,1,115-107,,
0:46.0,,,115-107,,L. Williams misses 2-pt shot at rim
0:43.0,Defensive rebound by T. Duncan,,115-107,,
0:36.0,,,115-107,,Personal take foul by J. Clarkson
0:36.0,T. Parker makes free throw 1 of 2,1,116-107,,
