time,Toronto,pts.away,score,pts.home,Dallas
2:03.0,,,27-18,,J. Barea enters the game for R. Felton
1:57.0,C. Joseph misses 2-pt shot from 9 ft,,27-18,,
1:56.0,,,27-18,,Defensive rebound by C. Villanueva
1:52.0,Personal foul by N. Powell (drawn by D. Harris),,27-18,,
1:52.0,,,27-19,1,D. Harris makes free throw 1 of 2
1:52.0,,,27-19,,D. Nowitzki enters the game for C. Villanueva
1:52.0,,,27-19,,D. Harris misses free throw 2 of 2
1:51.0,Defensive rebound by B. Biyombo,,27-19,,
1:34.0,P. Patterson misses 2-pt shot from 11 ft,,27-19,,
1:33.0,,,27-19,,Defensive rebound by D. Powell
1:29.0,Shooting block foul by T. Ross (drawn by D. Harris),,27-19,,
1:29.0,,,27-19,,D. Harris misses free throw 1 of 2
1:29.0,,,27-19,,Offensive rebound by Team
1:29.0,,,27-20,1,D. Harris makes free throw 2 of 2
1:12.0,N. Powell makes 2-pt shot from 16 ft (assist by C. Joseph),2,29-20,,
1:00.0,,,29-20,,J. Barea misses 2-pt shot from 8 ft
0:59.0,Defensive rebound by N. Powell,,29-20,,
0:50.0,Offensive foul by B. Biyombo,,29-20,,
0:50.0,Turnover by B. Biyombo (offensive foul),,29-20,,
0:34.0,,,29-23,3,D. Nowitzki makes 3-pt shot from 22 ft (assist by D. Harris)
0:13.0,C. Joseph makes 2-pt shot from 6 ft,2,31-23,,
0:03.0,,,31-25,2,J. Barea makes 2-pt shot from 9 ft
0:01.0,T. Ross misses 3-pt shot from 43 ft,,31-25,,
0:00.0,Offensive rebound by Team,,31-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,31-25,,J. Barea misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by P. Patterson,,31-25,,
11:21.0,B. Biyombo misses 2-pt shot from 3 ft (block by D. Nowitzki),,31-25,,
11:20.0,,,31-25,,Defensive rebound by D. Nowitzki
11:06.0,,,31-27,2,D. Nowitzki makes 2-pt shot from 9 ft (assist by J. Barea)
11:06.0,,,31-27,,Shooting foul by P. Patterson (drawn by D. Nowitzki)
11:06.0,,,31-28,1,D. Nowitzki makes free throw 1 of 1
10:54.0,P. Patterson misses 3-pt shot from 25 ft,,31-28,,
10:53.0,,,31-28,,Defensive rebound by D. Nowitzki
10:47.0,,,31-30,2,D. Harris makes 2-pt shot from 2 ft
10:47.0,,,31-30,,Shooting foul by C. Joseph (drawn by D. Harris)
10:47.0,,,31-30,,D. Harris misses free throw 1 of 1
10:46.0,Defensive rebound by D. Carroll,,31-30,,
10:22.0,D. DeRozan misses 2-pt shot from 19 ft,,31-30,,
10:22.0,,,31-30,,Defensive rebound by D. Powell
10:22.0,Loose ball foul by B. Biyombo (drawn by D. Powell),,31-30,,
10:22.0,,,31-30,,C. Parsons enters the game for W. Matthews
10:22.0,J. Valanciunas enters the game for B. Biyombo,,31-30,,
10:03.0,,,31-30,,J. Barea misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by Team,,31-30,,
9:47.0,D. Carroll misses 2-pt shot from 5 ft,,31-30,,
9:46.0,Offensive rebound by D. Carroll,,31-30,,
9:45.0,D. Carroll misses 2-pt shot from 1 ft,,31-30,,
9:44.0,,,31-30,,Defensive rebound by D. Powell
9:35.0,,,31-32,2,D. Powell makes 2-pt shot from 18 ft (assist by J. Barea)
9:28.0,Toronto full timeout,,31-32,,
9:28.0,L. Scola enters the game for C. Joseph,,31-32,,
9:28.0,K. Lowry enters the game for P. Patterson,,31-32,,
9:10.0,J. Valanciunas misses 2-pt shot from 9 ft,,31-32,,
9:09.0,,,31-32,,Defensive rebound by D. Harris
8:55.0,,,31-32,,D. Powell misses 2-pt shot at rim (block by J. Valanciunas)
8:53.0,,,31-32,,Offensive rebound by D. Powell
8:52.0,,,31-32,,D. Powell misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by D. Carroll,,31-32,,
8:43.0,Offensive foul by D. DeRozan,,31-32,,
8:43.0,Turnover by D. DeRozan (offensive foul),,31-32,,
8:43.0,,,31-32,,D. Williams enters the game for D. Harris
8:43.0,T. Ross enters the game for D. DeRozan,,31-32,,
8:28.0,,,31-34,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
8:09.0,,,31-34,,Personal foul by D. Williams (drawn by D. Carroll)
7:58.0,J. Valanciunas makes 2-pt shot from 6 ft,2,33-34,,
7:50.0,,,33-34,,D. Powell misses 2-pt shot from 5 ft (block by J. Valanciunas)
7:49.0,,,33-34,,Offensive rebound by Team
7:46.0,,,33-36,2,D. Williams makes 2-pt shot from 17 ft (assist by D. Powell)
7:32.0,Turnover by K. Lowry (bad pass; steal by D. Powell),,33-36,,
7:25.0,,,33-36,,D. Powell misses 2-pt shot from 1 ft
7:23.0,,,33-36,,Offensive rebound by J. Barea
7:20.0,,,33-39,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
6:57.0,,,33-39,,Personal foul by D. Powell (drawn by J. Valanciunas)
6:57.0,,,33-39,,Z. Pachulia enters the game for D. Powell
6:49.0,K. Lowry misses 2-pt shot from 20 ft,,33-39,,
6:48.0,,,33-39,,Defensive rebound by D. Williams
6:43.0,,,33-39,,Turnover by D. Williams (bad pass; steal by T. Ross)
6:38.0,T. Ross makes 2-pt shot at rim (assist by L. Scola),2,35-39,,
6:23.0,Personal foul by T. Ross (drawn by Z. Pachulia),,35-39,,
6:23.0,,,35-39,,Dallas full timeout
6:23.0,,,35-39,,D. Powell enters the game for D. Nowitzki
6:09.0,,,35-39,,J. Barea misses 3-pt shot from 27 ft
6:08.0,Defensive rebound by K. Lowry,,35-39,,
5:55.0,K. Lowry makes 2-pt shot from 13 ft,2,37-39,,
5:42.0,,,37-41,2,D. Powell makes 2-pt shot from 17 ft (assist by J. Barea)
5:25.0,K. Lowry misses 3-pt shot from 24 ft,,37-41,,
5:24.0,,,37-41,,Defensive rebound by D. Powell
5:13.0,,,37-41,,D. Williams misses 2-pt shot from 6 ft
5:12.0,Defensive rebound by J. Valanciunas,,37-41,,
5:05.0,Turnover by K. Lowry (bad pass; steal by D. Powell),,37-41,,
4:54.0,,,37-41,,D. Powell misses 2-pt shot from 19 ft
4:54.0,Defensive rebound by Team,,37-41,,
4:36.0,J. Valanciunas misses 2-pt shot from 6 ft,,37-41,,
4:35.0,,,37-41,,Defensive rebound by Z. Pachulia
4:30.0,,,37-41,,Shooting foul by K. Lowry (drawn by C. Parsons)
4:30.0,,,37-41,,C. Parsons misses free throw 1 of 2
4:30.0,,,37-41,,Offensive rebound by Team
4:30.0,,,37-42,1,C. Parsons makes free throw 2 of 2
4:17.0,,,37-42,,Personal foul by D. Powell (drawn by L. Scola)
4:17.0,,,37-42,,D. Nowitzki enters the game for D. Powell
4:17.0,,,37-42,,D. Harris enters the game for J. Barea
4:15.0,,,37-42,,Personal foul by D. Nowitzki (drawn by L. Scola)
4:07.0,L. Scola misses 2-pt shot from 8 ft,,37-42,,
4:06.0,,,37-42,,Defensive rebound by D. Williams
4:01.0,,,37-42,,C. Parsons misses 2-pt shot from 2 ft
3:59.0,Defensive rebound by L. Scola,,37-42,,
3:51.0,D. Carroll makes 2-pt shot from 9 ft,2,39-42,,
3:35.0,,,39-42,,C. Parsons misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by J. Valanciunas,,39-42,,
3:26.0,L. Scola makes 2-pt shot from 1 ft (assist by K. Lowry),2,41-42,,
3:25.0,,,41-42,,Dallas full timeout
3:25.0,C. Joseph enters the game for T. Ross,,41-42,,
3:25.0,,,41-42,,W. Matthews enters the game for C. Parsons
3:07.0,,,41-42,,D. Harris misses 3-pt shot from 23 ft
3:06.0,Defensive rebound by L. Scola,,41-42,,
2:57.0,L. Scola makes 2-pt shot from 19 ft (assist by K. Lowry),2,43-42,,
2:37.0,,,43-45,3,D. Williams makes 3-pt shot from 24 ft (assist by D. Nowitzki)
2:26.0,D. Carroll misses 3-pt shot from 24 ft,,43-45,,
2:25.0,,,43-45,,Defensive rebound by W. Matthews
2:18.0,Personal foul by L. Scola (drawn by D. Nowitzki),,43-45,,
2:18.0,Official timeout,,43-45,,
2:18.0,P. Patterson enters the game for L. Scola,,43-45,,
2:18.0,,,43-46,1,D. Nowitzki makes free throw 1 of 2
2:18.0,,,43-47,1,D. Nowitzki makes free throw 2 of 2
1:56.0,P. Patterson misses 2-pt shot from 2 ft,,43-47,,
1:55.0,Offensive rebound by Team,,43-47,,
1:54.0,Shooting foul by Z. Pachulia (drawn by K. Lowry),,43-47,,
1:54.0,K. Lowry makes free throw 1 of 3,1,44-47,,
1:54.0,K. Lowry makes free throw 2 of 3,1,45-47,,
1:54.0,K. Lowry makes free throw 3 of 3,1,46-47,,
1:36.0,,,46-49,2,W. Matthews makes 2-pt shot from 7 ft
1:25.0,Turnover by C. Joseph (lost ball; steal by D. Harris),,46-49,,
1:18.0,,,46-49,,D. Harris misses 3-pt shot from 24 ft
1:17.0,Defensive rebound by P. Patterson,,46-49,,
1:08.0,Shooting foul by D. Williams (drawn by J. Valanciunas),,46-49,,
1:08.0,J. Valanciunas misses free throw 1 of 2,,46-49,,
1:08.0,Offensive rebound by Team,,46-49,,
1:08.0,J. Valanciunas makes free throw 2 of 2,1,47-49,,
0:57.0,,,47-51,2,D. Harris makes 2-pt shot from 1 ft (assist by W. Matthews)
0:45.0,,,47-51,,Personal take foul by D. Harris (drawn by C. Joseph)
0:45.0,C. Joseph makes free throw 1 of 2,1,48-51,,
0:45.0,C. Joseph makes free throw 2 of 2,1,49-51,,
0:31.0,,,49-51,,D. Williams misses 2-pt shot from 9 ft
0:29.0,Defensive rebound by D. Carroll,,49-51,,
0:09.0,P. Patterson misses 3-pt shot from 23 ft,,49-51,,
0:08.0,Offensive rebound by P. Patterson,,49-51,,
0:05.0,P. Patterson misses 2-pt shot from 11 ft,,49-51,,
0:03.0,,,49-51,,Defensive rebound by D. Harris
0:00.0,,,49-51,,D. Williams misses 3-pt shot from 26 ft
0:00.0,,,49-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,49-51,,D. Nowitzki misses 2-pt shot from 8 ft
11:49.0,Defensive rebound by J. Valanciunas,,49-51,,
11:33.0,Turnover by J. Valanciunas (3 sec),,49-51,,
11:23.0,,,49-51,,Turnover by W. Matthews (bad pass; steal by L. Scola)
11:07.0,D. DeRozan misses 2-pt shot from 15 ft,,49-51,,
11:06.0,Offensive rebound by L. Scola,,49-51,,
11:04.0,L. Scola misses 2-pt shot from 2 ft,,49-51,,
11:03.0,,,49-51,,Defensive rebound by Z. Pachulia
10:57.0,,,49-51,,Shooting foul by J. Valanciunas (drawn by W. Matthews)
10:57.0,,,49-52,1,W. Matthews makes free throw 1 of 2
10:57.0,,,49-52,,W. Matthews misses free throw 2 of 2
10:56.0,,,49-52,,Offensive rebound by Z. Pachulia
10:47.0,,,49-52,,Turnover by D. Nowitzki (bad pass; steal by K. Lowry)
10:39.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,51-52,,
10:21.0,,,51-52,,D. Williams misses 2-pt shot from 3 ft
10:19.0,,,51-52,,Offensive rebound by Z. Pachulia
10:15.0,,,51-55,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Nowitzki)
9:57.0,Shooting foul by W. Matthews (drawn by D. DeRozan),,51-55,,
9:57.0,D. DeRozan makes free throw 1 of 2,1,52-55,,
9:57.0,D. DeRozan makes free throw 2 of 2,1,53-55,,
9:47.0,,,53-55,,R. Felton misses 2-pt shot from 20 ft
9:46.0,Defensive rebound by J. Valanciunas,,53-55,,
9:36.0,K. Lowry makes 2-pt shot from 17 ft,2,55-55,,
9:15.0,,,55-55,,Shooting foul by K. Lowry (drawn by D. Williams)
9:15.0,,,55-56,1,D. Williams makes free throw 1 of 2
9:15.0,,,55-57,1,D. Williams makes free throw 2 of 2
8:58.0,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry),2,57-57,,
8:46.0,,,57-59,2,Z. Pachulia makes 2-pt shot at rim (assist by W. Matthews)
8:35.0,D. DeRozan makes 2-pt shot at rim,2,59-59,,
8:15.0,,,59-61,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by D. Williams)
7:50.0,J. Valanciunas makes 2-pt shot from 5 ft,2,61-61,,
7:36.0,,,61-63,2,W. Matthews makes 2-pt shot from 19 ft
7:16.0,L. Scola makes 2-pt shot from 20 ft (assist by K. Lowry),2,63-63,,
6:57.0,,,63-65,2,R. Felton makes 2-pt shot from 18 ft
6:40.0,K. Lowry makes 2-pt shot from 7 ft,2,65-65,,
6:28.0,,,65-67,2,R. Felton makes 2-pt shot from 5 ft
6:08.0,Turnover by D. DeRozan (lost ball; steal by D. Nowitzki),,65-67,,
6:01.0,,,65-67,,W. Matthews misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by L. Scola,,65-67,,
5:56.0,Toronto full timeout,,65-67,,
5:56.0,,,65-67,,D. Powell enters the game for D. Nowitzki
5:56.0,T. Ross enters the game for D. Carroll,,65-67,,
5:56.0,,,65-67,,D. Harris enters the game for W. Matthews
5:43.0,D. DeRozan misses 2-pt shot from 13 ft,,65-67,,
5:42.0,,,65-67,,Defensive rebound by R. Felton
5:29.0,,,65-67,,D. Powell misses 2-pt shot from 16 ft
5:28.0,Defensive rebound by K. Lowry,,65-67,,
5:19.0,K. Lowry misses 2-pt shot from 18 ft,,65-67,,
5:18.0,,,65-67,,Defensive rebound by D. Powell
5:12.0,,,65-67,,Turnover by Z. Pachulia (offensive foul)
5:12.0,,,65-67,,Offensive foul by Z. Pachulia
4:50.0,T. Ross misses 3-pt shot from 23 ft,,65-67,,
4:49.0,Offensive rebound by L. Scola,,65-67,,
4:49.0,,,65-67,,Loose ball foul by Z. Pachulia (drawn by L. Scola)
4:49.0,,,65-67,,C. Villanueva enters the game for Z. Pachulia
4:49.0,,,65-67,,Technical foul by Z. Pachulia (drawn by L. Scola)
4:49.0,D. DeRozan makes technical free throw,1,66-67,,
4:49.0,B. Biyombo enters the game for J. Valanciunas,,66-67,,
4:42.0,Offensive foul by B. Biyombo,,66-67,,
4:42.0,Turnover by B. Biyombo (offensive foul),,66-67,,
4:33.0,,,66-67,,D. Powell misses 2-pt shot at rim (block by K. Lowry)
4:30.0,,,66-67,,Offensive rebound by D. Williams
4:26.0,,,66-67,,R. Felton misses 2-pt shot at rim
4:24.0,Defensive rebound by K. Lowry,,66-67,,
4:11.0,Shooting foul by C. Villanueva (drawn by B. Biyombo),,66-67,,
4:11.0,B. Biyombo misses free throw 1 of 2,,66-67,,
4:11.0,Offensive rebound by Team,,66-67,,
4:11.0,B. Biyombo makes free throw 2 of 2,1,67-67,,
4:00.0,,,67-69,2,C. Villanueva makes 2-pt shot at rim (assist by D. Powell)
3:43.0,D. DeRozan misses 2-pt shot from 13 ft,,67-69,,
3:42.0,Offensive rebound by Team,,67-69,,
3:42.0,P. Patterson enters the game for L. Scola,,67-69,,
3:32.0,T. Ross misses 3-pt shot from 22 ft,,67-69,,
3:31.0,,,67-69,,Defensive rebound by D. Powell
3:23.0,,,67-69,,C. Villanueva misses 3-pt shot from 24 ft
3:22.0,,,67-69,,Offensive rebound by D. Harris
3:18.0,,,67-69,,D. Williams misses 3-pt shot from 25 ft
3:17.0,,,67-69,,Offensive rebound by D. Harris
3:15.0,Personal foul by T. Ross (drawn by D. Harris),,67-69,,
3:09.0,,,67-69,,Turnover by R. Felton (bad pass)
2:59.0,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan),3,70-69,,
2:52.0,,,70-69,,Dallas full timeout
2:52.0,,,70-69,,J. Barea enters the game for D. Williams
2:52.0,,,70-69,,W. Matthews enters the game for R. Felton
2:47.0,,,70-69,,Turnover by D. Harris (bad pass; steal by K. Lowry)
2:43.0,K. Lowry makes 2-pt shot at rim,2,72-69,,
2:21.0,,,72-69,,D. Harris misses 3-pt shot from 23 ft
2:20.0,,,72-69,,Offensive rebound by C. Villanueva
2:20.0,,,72-71,2,C. Villanueva makes 2-pt shot at rim
1:57.0,Turnover by K. Lowry (back court),,72-71,,
1:57.0,C. Joseph enters the game for K. Lowry,,72-71,,
1:46.0,,,72-71,,D. Powell misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by P. Patterson,,72-71,,
1:35.0,B. Biyombo makes 2-pt shot at rim (assist by C. Joseph),2,74-71,,
1:27.0,Personal foul by T. Ross (drawn by W. Matthews),,74-71,,
1:27.0,,,74-71,,D. Nowitzki enters the game for C. Villanueva
1:14.0,,,74-71,,Turnover by W. Matthews (lost ball; steal by P. Patterson)
0:51.0,P. Patterson misses 3-pt shot from 23 ft,,74-71,,
0:50.0,,,74-71,,Defensive rebound by W. Matthews
0:28.0,,,74-73,2,J. Barea makes 2-pt shot from 14 ft
0:11.0,,,74-73,,Personal foul by W. Matthews (drawn by D. DeRozan)
0:11.0,,,74-73,,D. Williams enters the game for W. Matthews
0:01.0,D. DeRozan misses 2-pt shot from 20 ft (block by D. Harris),,74-73,,
0:00.0,Offensive rebound by D. DeRozan,,74-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,74-73,,Shooting block foul by J. Barea (drawn by C. Joseph)
11:48.0,C. Joseph makes free throw 1 of 2,1,75-73,,
11:48.0,C. Joseph makes free throw 2 of 2,1,76-73,,
11:24.0,,,76-73,,D. Williams misses 2-pt shot from 21 ft (block by D. Carroll)
11:23.0,,,76-73,,Offensive rebound by Team
11:23.0,,,76-73,,Turnover by Team (shot clock)
11:08.0,T. Ross misses 2-pt shot from 9 ft,,76-73,,
11:06.0,Jump ball: B. Biyombo vs. D. Harris (J. Barea gains possession),,,,Jump ball: B. Biyombo vs. D. Harris (J. Barea gains possession)
11:06.0,,,76-73,,Defensive rebound by D. Harris
10:58.0,,,76-73,,D. Harris misses 2-pt shot from 1 ft
10:57.0,Defensive rebound by B. Biyombo,,76-73,,
10:47.0,C. Joseph misses 2-pt shot from 20 ft,,76-73,,
10:46.0,,,76-73,,Defensive rebound by D. Powell
10:38.0,,,76-75,2,J. Barea makes 2-pt shot from 7 ft
10:19.0,D. Carroll misses 2-pt shot from 11 ft,,76-75,,
10:18.0,,,76-75,,Defensive rebound by D. Nowitzki
10:03.0,Violation by T. Ross (kicked ball),,76-75,,
10:03.0,,,76-75,,R. Felton enters the game for D. Harris
9:52.0,,,76-75,,J. Barea misses 2-pt shot from 11 ft
9:51.0,Defensive rebound by B. Biyombo,,76-75,,
9:41.0,D. Carroll misses 3-pt shot from 24 ft,,76-75,,
9:40.0,,,76-75,,Defensive rebound by D. Nowitzki
9:34.0,,,76-75,,Shooting foul by T. Ross (drawn by D. Williams)
9:34.0,,,76-76,1,D. Williams makes free throw 1 of 2
9:34.0,D. DeRozan enters the game for T. Ross,,76-76,,
9:34.0,,,76-77,1,D. Williams makes free throw 2 of 2
9:29.0,Toronto full timeout,,76-77,,
9:29.0,J. Valanciunas enters the game for B. Biyombo,,76-77,,
9:23.0,D. DeRozan makes 2-pt shot from 10 ft,2,78-77,,
9:23.0,Shooting foul by R. Felton (drawn by D. DeRozan),,78-77,,
9:23.0,D. DeRozan makes free throw 1 of 1,1,79-77,,
9:10.0,,,79-79,2,R. Felton makes 2-pt shot from 5 ft (assist by D. Williams)
8:47.0,Turnover by J. Valanciunas (traveling),,79-79,,
8:36.0,,,79-81,2,D. Williams makes 2-pt shot from 16 ft
8:22.0,Shooting foul by D. Williams (drawn by D. Carroll),,79-81,,
8:22.0,D. Carroll misses free throw 1 of 2,,79-81,,
8:22.0,Offensive rebound by Team,,79-81,,
8:22.0,K. Lowry enters the game for C. Joseph,,79-81,,
8:22.0,D. Carroll makes free throw 2 of 2,1,80-81,,
8:07.0,,,80-81,,Turnover by D. Nowitzki (traveling)
7:47.0,D. Carroll misses 2-pt shot from 7 ft,,80-81,,
7:45.0,,,80-81,,Defensive rebound by J. Barea
7:40.0,Shooting block foul by D. Carroll (drawn by J. Barea),,80-81,,
7:40.0,,,80-82,1,J. Barea makes free throw 1 of 2
7:40.0,,,80-82,,W. Matthews enters the game for R. Felton
7:40.0,,,80-83,1,J. Barea makes free throw 2 of 2
7:26.0,,,80-83,,Personal foul by W. Matthews (drawn by D. DeRozan)
7:26.0,D. DeRozan makes free throw 1 of 2,1,81-83,,
7:26.0,L. Scola enters the game for P. Patterson,,81-83,,
7:26.0,D. DeRozan makes free throw 2 of 2,1,82-83,,
7:15.0,Personal foul by D. Carroll (drawn by D. Nowitzki),,82-83,,
7:07.0,,,82-83,,D. Williams misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by D. DeRozan,,82-83,,
6:56.0,D. DeRozan misses 2-pt shot from 11 ft,,82-83,,
6:55.0,,,82-83,,Defensive rebound by Team
6:44.0,Violation by D. Carroll (kicked ball),,82-83,,
6:44.0,,,82-83,,Z. Pachulia enters the game for D. Powell
6:37.0,,,82-86,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
