time,Brooklyn,pts.away,score,pts.home,Phoenix
6:47.0,,,6-13,,A. Len enters the game for K. Humphries
6:36.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Larkin),3,9-13,,
6:13.0,,,9-13,,Turnover by A. Len (traveling)
5:59.0,B. Lopez misses 2-pt shot from 9 ft,,9-13,,
5:58.0,,,9-13,,Defensive rebound by T. Chandler
5:52.0,,,9-16,3,D. Booker makes 3-pt shot from 24 ft (assist by P. Tucker)
5:34.0,M. Brown enters the game for W. Ellington,,9-16,,
5:34.0,,,9-16,,M. Teletovic enters the game for T. Chandler
5:30.0,Shooting foul by P. Tucker (drawn by B. Bogdanovic),,9-16,,
5:30.0,B. Bogdanovic makes free throw 1 of 2,1,10-16,,
5:30.0,B. Bogdanovic makes free throw 2 of 2,1,11-16,,
5:17.0,,,11-19,3,M. Teletovic makes 3-pt shot from 26 ft (assist by D. Booker)
5:02.0,T. Young makes 2-pt shot from 5 ft,2,13-19,,
4:48.0,,,13-19,,M. Teletovic misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by B. Bogdanovic,,13-19,,
4:39.0,S. Larkin misses 2-pt shot from 7 ft,,13-19,,
4:36.0,Offensive rebound by T. Young,,13-19,,
4:32.0,B. Lopez misses 2-pt shot from 9 ft,,13-19,,
4:30.0,Offensive rebound by T. Young,,13-19,,
4:30.0,T. Young makes 2-pt shot from 2 ft,2,15-19,,
4:15.0,,,15-19,,Shooting foul by B. Lopez (drawn by A. Len)
4:15.0,,,15-19,,A. Len misses free throw 1 of 2
4:15.0,,,15-19,,Offensive rebound by Team
4:15.0,,,15-19,,A. Goodwin enters the game for P. Tucker
4:15.0,,,15-19,,P. Pressey enters the game for R. Price
4:15.0,,,15-19,,A. Len misses free throw 2 of 2
4:15.0,Defensive rebound by B. Lopez,,15-19,,
4:04.0,,,15-19,,Personal foul by A. Len (drawn by B. Lopez)
4:00.0,S. Larkin misses 2-pt shot from 2 ft,,15-19,,
4:00.0,,,15-19,,Defensive rebound by M. Teletovic
3:51.0,,,15-21,2,M. Teletovic makes 2-pt shot from 1 ft (assist by P. Pressey)
3:34.0,,,15-21,,Def 3 sec tech foul by A. Len
3:34.0,B. Bogdanovic makes technical free throw,1,16-21,,
3:20.0,M. Brown makes 3-pt shot from 24 ft (assist by T. Young),3,19-21,,
3:18.0,,,19-21,,Turnover by M. Teletovic (inbound)
3:12.0,B. Lopez makes 2-pt shot at rim (assist by S. Larkin),2,21-21,,
2:48.0,,,21-23,2,A. Len makes 2-pt shot from 1 ft (assist by A. Goodwin)
2:32.0,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez),2,23-23,,
2:21.0,Personal foul by B. Lopez (drawn by A. Len),,23-23,,
2:21.0,,,23-23,,Phoenix full timeout
2:21.0,T. Robinson enters the game for B. Lopez,,23-23,,
2:16.0,,,23-23,,D. Booker misses 2-pt shot from 17 ft
2:14.0,Defensive rebound by T. Robinson,,23-23,,
1:52.0,B. Bogdanovic makes 2-pt shot from 17 ft,2,25-23,,
1:36.0,,,25-23,,A. Len misses 2-pt shot from 2 ft (block by T. Robinson)
1:35.0,,,25-23,,Offensive rebound by A. Len
1:34.0,,,25-23,,A. Len misses 2-pt shot from 1 ft
1:32.0,Defensive rebound by T. Robinson,,25-23,,
1:26.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Larkin),3,28-23,,
1:10.0,,,28-23,,P. Pressey misses 2-pt shot from 2 ft
1:07.0,,,28-23,,Offensive rebound by M. Teletovic
1:07.0,,,28-25,2,M. Teletovic makes 2-pt shot from 1 ft
1:00.0,S. Larkin makes 2-pt shot at rim,2,30-25,,
0:47.0,,,30-25,,Turnover by P. Pressey (bad pass; steal by T. Young)
0:42.0,M. Brown makes 2-pt shot from 1 ft (assist by T. Young),2,32-25,,
0:21.0,,,32-25,,A. Len misses 2-pt shot from 2 ft (block by T. Robinson)
0:20.0,,,32-25,,Offensive rebound by Team
0:19.0,,,32-25,,Shooting foul by M. Brown (drawn by D. Booker)
0:19.0,,,32-26,1,D. Booker makes free throw 1 of 3
0:19.0,,,32-26,,D. Booker misses free throw 2 of 3
0:19.0,,,32-26,,Offensive rebound by Team
0:19.0,,,32-27,1,D. Booker makes free throw 3 of 3
0:04.0,T. Young makes 2-pt shot from 2 ft (assist by S. Larkin),2,34-27,,
0:01.0,Personal take foul by S. Larkin (drawn by P. Pressey),,34-27,,
0:01.0,,,34-28,1,P. Pressey makes free throw 1 of 2
0:01.0,,,34-29,1,P. Pressey makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,34-29,,M. Teletovic misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by T. Robinson,,34-29,,
11:22.0,Turnover by S. Larkin (bad pass),,34-29,,
11:12.0,,,34-29,,M. Teletovic misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by Team,,34-29,,
10:58.0,S. Larkin makes 2-pt shot at rim,2,36-29,,
10:49.0,,,36-29,,Turnover by P. Pressey (bad pass)
10:37.0,,,36-29,,Personal foul by A. Len (drawn by M. Brown)
10:37.0,,,36-29,,R. Price enters the game for P. Pressey
10:27.0,S. Larkin makes 2-pt shot from 21 ft (assist by T. Robinson),2,38-29,,
10:10.0,,,38-31,2,A. Len makes 2-pt shot at rim
9:52.0,T. Robinson makes 2-pt shot at rim,2,40-31,,
9:40.0,Personal foul by T. Robinson (drawn by A. Len),,40-31,,
9:40.0,,,40-31,,T. Chandler enters the game for A. Len
9:35.0,,,40-31,,Offensive foul by T. Chandler
9:35.0,,,40-31,,Turnover by T. Chandler (offensive foul)
9:29.0,Offensive foul by T. Robinson,,40-31,,
9:29.0,Turnover by T. Robinson (offensive foul),,40-31,,
9:29.0,W. Reed enters the game for T. Robinson,,40-31,,
9:18.0,,,40-34,3,M. Teletovic makes 3-pt shot from 26 ft (assist by A. Goodwin)
9:02.0,C. McCullough misses 2-pt shot from 7 ft (block by S. Weems),,40-34,,
9:00.0,Offensive rebound by M. Brown,,40-34,,
8:53.0,Shooting foul by M. Teletovic (drawn by M. Brown),,40-34,,
8:53.0,Official timeout,,40-34,,
8:53.0,,,40-34,,D. Booker enters the game for S. Weems
8:53.0,M. Brown makes free throw 1 of 2,1,41-34,,
8:53.0,M. Brown misses free throw 2 of 2,,41-34,,
8:52.0,,,41-34,,Defensive rebound by T. Chandler
8:39.0,,,41-34,,M. Teletovic misses 3-pt shot from 27 ft
8:38.0,Defensive rebound by M. Brown,,41-34,,
8:28.0,Turnover by S. Larkin (lost ball),,41-34,,
8:15.0,,,41-34,,A. Goodwin misses 2-pt shot from 19 ft
8:12.0,Defensive rebound by W. Reed,,41-34,,
8:02.0,C. McCullough misses 2-pt shot from 19 ft,,41-34,,
8:02.0,,,41-34,,Defensive rebound by A. Goodwin
7:45.0,,,41-36,2,T. Chandler makes 2-pt shot from 7 ft
7:32.0,Turnover by W. Reed (bad pass),,41-36,,
7:32.0,T. Young enters the game for C. McCullough,,41-36,,
7:18.0,,,41-36,,R. Price misses 3-pt shot from 26 ft
7:17.0,Defensive rebound by W. Reed,,41-36,,
7:04.0,S. Larkin makes 3-pt shot from 25 ft,3,44-36,,
6:52.0,Personal foul by W. Reed (drawn by T. Chandler),,44-36,,
6:52.0,,,44-36,,P. Tucker enters the game for A. Goodwin
6:52.0,,,44-36,,K. Humphries enters the game for M. Teletovic
6:50.0,B. Bogdanovic enters the game for S. Karasev,,44-36,,
6:43.0,,,44-36,,K. Humphries misses 2-pt shot from 1 ft (block by T. Young)
6:42.0,,,44-36,,Offensive rebound by K. Humphries
6:41.0,,,44-36,,K. Humphries misses 2-pt shot from 5 ft (block by W. Reed)
6:40.0,,,44-36,,Offensive rebound by K. Humphries
6:40.0,,,44-36,,K. Humphries misses 2-pt shot from 5 ft
6:38.0,,,44-36,,Offensive rebound by T. Chandler
6:36.0,,,44-38,2,T. Chandler makes 2-pt shot from 1 ft
6:18.0,M. Brown misses 2-pt shot from 15 ft,,44-38,,
6:17.0,Offensive rebound by T. Young,,44-38,,
6:12.0,M. Brown makes 2-pt shot from 3 ft (assist by T. Young),2,46-38,,
5:55.0,,,46-38,,R. Price misses 2-pt shot from 5 ft (block by W. Reed)
5:55.0,,,46-38,,Offensive rebound by Team
5:55.0,,,46-38,,Phoenix full timeout
5:42.0,,,46-41,3,P. Tucker makes 3-pt shot from 22 ft (assist by R. Price)
5:23.0,B. Bogdanovic misses 3-pt shot from 25 ft,,46-41,,
5:21.0,Offensive rebound by M. Brown,,46-41,,
5:18.0,M. Brown misses 2-pt shot at rim,,46-41,,
5:17.0,,,46-41,,Defensive rebound by K. Humphries
5:08.0,,,46-41,,Shooting foul by W. Reed (drawn by T. Chandler)
5:08.0,,,46-42,1,T. Chandler makes free throw 1 of 2
5:08.0,D. Sloan enters the game for S. Larkin,,46-42,,
5:08.0,B. Lopez enters the game for W. Reed,,46-42,,
5:08.0,,,46-42,,T. Chandler misses free throw 2 of 2
5:07.0,,,46-42,,Offensive rebound by K. Humphries
5:02.0,,,46-42,,D. Booker misses 3-pt shot from 25 ft
5:02.0,Defensive rebound by D. Sloan,,46-42,,
4:52.0,Shooting foul by R. Price (drawn by D. Sloan),,46-42,,
4:52.0,D. Sloan makes free throw 1 of 2,1,47-42,,
4:52.0,D. Sloan makes free throw 2 of 2,1,48-42,,
4:37.0,,,48-42,,Offensive charge foul by K. Humphries
4:37.0,,,48-42,,Turnover by K. Humphries (offensive foul)
4:37.0,W. Ellington enters the game for M. Brown,,48-42,,
4:16.0,B. Lopez makes 2-pt shot from 4 ft,2,50-42,,
3:53.0,,,50-44,2,T. Chandler makes 2-pt shot at rim (assist by R. Price)
3:36.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,52-44,,
3:20.0,,,52-44,,T. Chandler misses 2-pt shot at rim
3:19.0,,,52-44,,Offensive rebound by K. Humphries
3:18.0,Personal foul by B. Bogdanovic (drawn by K. Humphries),,52-44,,
3:04.0,,,52-44,,K. Humphries misses 2-pt shot from 21 ft
3:04.0,Defensive rebound by W. Ellington,,52-44,,
2:47.0,D. Sloan misses 3-pt shot from 27 ft,,52-44,,
2:46.0,,,52-44,,Defensive rebound by K. Humphries
2:42.0,,,52-44,,Turnover by K. Humphries (back court)
2:42.0,Brooklyn full timeout,,52-44,,
2:42.0,,,52-44,,A. Len enters the game for K. Humphries
2:28.0,Turnover by B. Lopez (lost ball; steal by T. Chandler),,52-44,,
2:21.0,Technical foul by B. Lopez,,52-44,,
2:21.0,,,52-45,1,D. Booker makes technical free throw
2:12.0,,,52-45,,Turnover by A. Len (bad pass; steal by T. Young)
2:09.0,Shooting foul by D. Booker (drawn by D. Sloan),,52-45,,
2:09.0,D. Sloan makes free throw 1 of 2,1,53-45,,
2:09.0,D. Sloan makes free throw 2 of 2,1,54-45,,
1:57.0,,,54-45,,T. Chandler misses 2-pt shot at rim (block by T. Young)
1:56.0,,,54-45,,Offensive rebound by Team
1:49.0,,,54-45,,D. Booker misses 2-pt shot from 16 ft
1:47.0,Defensive rebound by D. Sloan,,54-45,,
1:47.0,,,54-45,,Personal block foul by P. Tucker (drawn by D. Sloan)
1:47.0,D. Sloan makes free throw 1 of 2,1,55-45,,
1:47.0,D. Sloan makes free throw 2 of 2,1,56-45,,
1:29.0,,,56-45,,A. Len misses 2-pt shot at rim
1:29.0,,,56-45,,Offensive rebound by A. Len
1:23.0,,,56-45,,Turnover by Team (shot clock)
1:16.0,,,56-45,,Personal foul by A. Len (drawn by T. Young)
1:16.0,T. Young makes free throw 1 of 2,1,57-45,,
1:16.0,T. Robinson enters the game for B. Lopez,,57-45,,
1:16.0,,,57-45,,K. Humphries enters the game for A. Len
1:16.0,T. Young makes free throw 2 of 2,1,58-45,,
0:58.0,,,58-45,,K. Humphries misses 2-pt shot from 20 ft
0:57.0,,,58-45,,Offensive rebound by P. Tucker
0:48.0,,,58-45,,K. Humphries misses 2-pt shot from 5 ft
0:46.0,Defensive rebound by T. Young,,58-45,,
0:41.0,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Sloan),3,61-45,,
0:29.0,,,61-45,,D. Booker misses 2-pt shot from 20 ft
0:28.0,Defensive rebound by D. Sloan,,61-45,,
0:22.0,W. Ellington makes 3-pt shot from 22 ft (assist by D. Sloan),3,64-45,,
0:07.0,,,64-45,,D. Booker misses 2-pt shot from 1 ft
0:06.0,Defensive rebound by T. Young,,64-45,,
0:02.0,B. Bogdanovic makes 2-pt shot at rim (assist by W. Ellington),2,66-45,,
0:02.0,,,66-45,,Phoenix full timeout
0:02.0,M. Brown enters the game for T. Robinson,,66-45,,
0:02.0,,,66-45,,A. Goodwin enters the game for P. Tucker
0:01.0,,,66-45,,D. Booker misses 3-pt shot from 60 ft
0:00.0,,,66-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,66-45,,P. Tucker misses 2-pt shot at rim
11:46.0,Defensive rebound by B. Lopez,,66-45,,
11:30.0,B. Bogdanovic misses 3-pt shot from 23 ft,,66-45,,
11:30.0,,,66-45,,Defensive rebound by M. Teletovic
11:20.0,,,66-45,,Turnover by M. Teletovic (lost ball; steal by T. Young)
11:16.0,Turnover by T. Young (lost ball; steal by P. Tucker),,66-45,,
11:08.0,,,66-45,,R. Price misses 3-pt shot from 26 ft
11:04.0,,,66-45,,Offensive rebound by M. Teletovic
11:04.0,,,66-47,2,M. Teletovic makes 2-pt shot at rim
10:51.0,D. Sloan misses 2-pt shot at rim (block by R. Price),,66-47,,
10:51.0,Offensive rebound by Team,,66-47,,
10:48.0,W. Ellington misses 3-pt shot from 24 ft,,66-47,,
10:47.0,,,66-47,,Defensive rebound by M. Teletovic
10:42.0,,,66-47,,D. Booker misses 2-pt shot at rim
10:39.0,Defensive rebound by W. Ellington,,66-47,,
10:34.0,D. Sloan makes 2-pt shot at rim,2,68-47,,
10:24.0,,,68-49,2,R. Price makes 2-pt shot from 8 ft
10:05.0,B. Bogdanovic misses 3-pt shot from 25 ft,,68-49,,
10:04.0,,,68-49,,Defensive rebound by T. Chandler
9:52.0,,,68-52,3,M. Teletovic makes 3-pt shot from 25 ft (assist by P. Tucker)
9:34.0,T. Young misses 2-pt shot from 6 ft,,68-52,,
9:33.0,,,68-52,,Defensive rebound by M. Teletovic
9:26.0,,,68-52,,Turnover by M. Teletovic (bad pass; steal by T. Young)
9:23.0,,,68-52,,Personal block foul by M. Teletovic (drawn by B. Bogdanovic)
9:02.0,Turnover by Team (shot clock),,68-52,,
8:47.0,,,68-55,3,M. Teletovic makes 3-pt shot from 24 ft (assist by D. Booker)
8:27.0,,,68-55,,Personal foul by M. Teletovic (drawn by T. Young)
8:19.0,W. Ellington makes 2-pt shot from 8 ft (assist by D. Sloan),2,70-55,,
8:08.0,,,70-57,2,P. Tucker makes 2-pt shot at rim
7:42.0,B. Lopez misses 2-pt shot from 20 ft,,70-57,,
7:41.0,,,70-57,,Defensive rebound by P. Tucker
7:37.0,,,70-57,,Turnover by R. Price (bad pass; steal by T. Young)
7:33.0,Shooting foul by D. Booker (drawn by D. Sloan),,70-57,,
7:33.0,D. Sloan misses free throw 1 of 2,,70-57,,
7:33.0,Offensive rebound by Team,,70-57,,
7:33.0,D. Sloan misses free throw 2 of 2,,70-57,,
7:31.0,,,70-57,,Defensive rebound by P. Tucker
7:15.0,,,70-59,2,M. Teletovic makes 2-pt shot from 17 ft
7:13.0,Brooklyn full timeout,,70-59,,
6:58.0,Shooting foul by T. Chandler (drawn by B. Lopez),,70-59,,
6:58.0,B. Lopez makes free throw 1 of 2,1,71-59,,
6:58.0,B. Lopez makes free throw 2 of 2,1,72-59,,
6:47.0,,,72-59,,M. Teletovic misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by D. Sloan,,72-59,,
6:34.0,T. Young makes 2-pt shot from 5 ft (assist by D. Sloan),2,74-59,,
6:15.0,Personal foul by W. Ellington (drawn by D. Booker),,74-59,,
6:06.0,,,74-59,,T. Chandler misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by D. Sloan,,74-59,,
5:53.0,Shooting foul by T. Chandler (drawn by B. Lopez),,74-59,,
5:53.0,,,74-59,,Technical foul by T. Chandler (drawn by B. Lopez)
5:53.0,W. Ellington makes technical free throw,1,75-59,,
5:53.0,,,75-59,,A. Len enters the game for T. Chandler
5:53.0,B. Lopez makes free throw 1 of 2,1,76-59,,
5:53.0,,,76-59,,A. Goodwin enters the game for D. Booker
5:53.0,B. Lopez makes free throw 2 of 2,1,77-59,,
5:31.0,,,77-61,2,A. Len makes 2-pt shot from 5 ft
5:13.0,T. Young makes 2-pt shot from 4 ft (assist by B. Lopez),2,79-61,,
4:57.0,,,79-61,,A. Goodwin misses 2-pt shot from 4 ft
4:55.0,Defensive rebound by D. Sloan,,79-61,,
4:50.0,W. Ellington misses 2-pt shot at rim,,79-61,,
4:47.0,,,79-61,,Defensive rebound by A. Len
4:39.0,,,79-61,,A. Goodwin misses 2-pt shot from 6 ft
4:37.0,,,79-61,,Offensive rebound by A. Len
4:37.0,,,79-61,,A. Len misses 2-pt shot from 2 ft
4:36.0,Defensive rebound by T. Young,,79-61,,
4:33.0,D. Sloan makes 2-pt shot at rim,2,81-61,,
4:26.0,,,81-61,,Phoenix full timeout
4:26.0,,,81-61,,J. Jenkins enters the game for P. Tucker
4:26.0,,,81-61,,P. Pressey enters the game for R. Price
4:26.0,,,81-61,,J. Leuer enters the game for M. Teletovic
4:12.0,Personal foul by T. Young (drawn by A. Goodwin),,81-61,,
4:06.0,,,81-61,,Turnover by J. Jenkins (bad pass; steal by B. Lopez)
4:01.0,W. Ellington misses 2-pt shot at rim,,81-61,,
4:00.0,Offensive rebound by B. Bogdanovic,,81-61,,
3:55.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,83-61,,
3:50.0,,,83-61,,J. Leuer misses 2-pt shot from 18 ft
3:49.0,Defensive rebound by T. Young,,83-61,,
3:31.0,T. Young misses 2-pt shot from 1 ft,,83-61,,
3:29.0,Offensive rebound by B. Lopez,,83-61,,
3:27.0,B. Lopez makes 2-pt shot at rim,2,85-61,,
3:13.0,,,85-63,2,J. Leuer makes 2-pt shot from 7 ft
3:04.0,,,85-63,,Personal foul by A. Len (drawn by B. Lopez)
3:04.0,B. Lopez misses free throw 1 of 2,,85-63,,
3:04.0,Offensive rebound by Team,,85-63,,
3:04.0,T. Robinson enters the game for T. Young,,85-63,,
3:04.0,B. Lopez misses free throw 2 of 2,,85-63,,
3:03.0,,,85-63,,Defensive rebound by A. Len
2:54.0,,,85-65,2,P. Pressey makes 2-pt shot from 10 ft
2:36.0,W. Ellington misses 2-pt shot from 1 ft,,85-65,,
2:35.0,,,85-65,,Defensive rebound by A. Len
2:35.0,Personal foul by T. Robinson (drawn by A. Len),,85-65,,
2:35.0,M. Brown enters the game for B. Lopez,,85-65,,
2:35.0,W. Reed enters the game for W. Ellington,,85-65,,
2:25.0,,,85-65,,J. Leuer misses 3-pt shot from 26 ft
2:24.0,Defensive rebound by D. Sloan,,85-65,,
2:16.0,D. Sloan makes 2-pt shot from 10 ft,2,87-65,,
2:10.0,,,87-65,,Turnover by P. Pressey (bad pass)
2:10.0,S. Larkin enters the game for D. Sloan,,87-65,,
1:50.0,B. Bogdanovic misses 2-pt shot from 11 ft,,87-65,,
1:48.0,,,87-65,,Defensive rebound by A. Goodwin
1:45.0,,,87-65,,Turnover by A. Goodwin (bad pass; steal by M. Brown)
1:40.0,B. Bogdanovic misses 3-pt shot from 25 ft,,87-65,,
1:35.0,Offensive rebound by W. Reed,,87-65,,
1:35.0,W. Reed misses 2-pt shot at rim,,87-65,,
1:33.0,,,87-65,,Defensive rebound by J. Jenkins
1:24.0,,,87-67,2,J. Jenkins makes 2-pt shot at rim
1:24.0,Brooklyn full timeout,,87-67,,
1:18.0,S. Larkin misses 2-pt shot from 13 ft,,87-67,,
1:17.0,Offensive rebound by W. Reed,,87-67,,
1:16.0,Shooting foul by J. Leuer (drawn by W. Reed),,87-67,,
1:16.0,W. Reed misses free throw 1 of 2,,87-67,,
1:16.0,Offensive rebound by Team,,87-67,,
1:16.0,W. Reed makes free throw 2 of 2,1,88-67,,
1:00.0,,,88-69,2,A. Len makes 2-pt shot from 6 ft
0:45.0,Turnover by B. Bogdanovic (bad pass),,88-69,,
0:32.0,,,88-69,,Shooting foul by B. Bogdanovic (drawn by A. Len)
0:32.0,,,88-69,,A. Len misses free throw 1 of 2
0:32.0,,,88-69,,Offensive rebound by Team
0:32.0,,,88-69,,A. Len misses free throw 2 of 2
0:31.0,,,88-69,,Offensive rebound by J. Leuer
0:12.0,,,88-69,,P. Pressey misses 2-pt shot from 19 ft
0:12.0,Defensive rebound by Team,,88-69,,
0:12.0,,,88-69,,Loose ball foul by A. Len (drawn by B. Bogdanovic)
0:12.0,B. Bogdanovic makes free throw 1 of 2,1,89-69,,
0:12.0,,,89-69,,K. Humphries enters the game for A. Len
0:12.0,C. McCullough enters the game for W. Reed,,89-69,,
0:12.0,B. Bogdanovic makes free throw 2 of 2,1,90-69,,
0:02.0,,,90-69,,J. Jenkins misses 2-pt shot from 10 ft
0:01.0,,,90-69,,Offensive rebound by J. Leuer
0:01.0,,,90-71,2,J. Leuer makes 2-pt shot at rim
0:01.0,,,90-71,,Shooting foul by C. McCullough (drawn by J. Leuer)
0:01.0,,,90-71,,J. Leuer misses free throw 1 of 1
0:00.0,,,90-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Brown misses 2-pt shot from 19 ft,,90-71,,
11:46.0,,,90-71,,Defensive rebound by A. Goodwin
11:29.0,,,90-71,,Turnover by T. Chandler (bad pass; steal by C. McCullough)
11:19.0,T. Robinson misses 2-pt shot from 8 ft,,90-71,,
11:19.0,,,90-71,,Defensive rebound by M. Teletovic
11:12.0,Personal foul by M. Brown (drawn by D. Booker),,90-71,,
11:05.0,,,90-73,2,D. Booker makes 2-pt shot from 7 ft
10:45.0,S. Karasev makes 3-pt shot from 25 ft (assist by S. Larkin),3,93-73,,
10:27.0,,,93-73,,R. Price misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by C. McCullough,,93-73,,
10:18.0,M. Brown makes 3-pt shot from 24 ft (assist by S. Karasev),3,96-73,,
10:16.0,,,96-73,,Phoenix full timeout
10:03.0,,,96-73,,D. Booker misses 2-pt shot from 4 ft
10:02.0,Defensive rebound by S. Karasev,,96-73,,
9:50.0,Shooting foul by M. Teletovic (drawn by C. McCullough),,96-73,,
9:50.0,C. McCullough makes free throw 1 of 2,1,97-73,,
9:50.0,C. McCullough makes free throw 2 of 2,1,98-73,,
9:42.0,,,98-73,,Shooting foul by S. Karasev (drawn by A. Goodwin)
9:42.0,,,98-73,,A. Goodwin misses free throw 1 of 2
9:42.0,,,98-73,,Offensive rebound by Team
9:42.0,,,98-73,,P. Tucker enters the game for D. Booker
9:42.0,,,98-73,,A. Goodwin misses free throw 2 of 2
9:41.0,,,98-73,,Offensive rebound by M. Teletovic
9:38.0,,,98-75,2,M. Teletovic makes 2-pt shot at rim
9:38.0,,,98-75,,Shooting foul by C. McCullough (drawn by M. Teletovic)
9:38.0,,,98-75,,P. Pressey enters the game for A. Goodwin
9:38.0,,,98-76,1,M. Teletovic makes free throw 1 of 1
9:21.0,T. Robinson misses 2-pt shot from 2 ft,,98-76,,
9:21.0,,,98-76,,Defensive rebound by T. Chandler
9:14.0,,,98-76,,Turnover by R. Price (bad pass; steal by C. McCullough)
9:10.0,C. McCullough makes 2-pt shot from 1 ft,2,100-76,,
8:53.0,,,100-76,,R. Price misses 2-pt shot from 21 ft
8:52.0,Defensive rebound by T. Robinson,,100-76,,
8:40.0,Turnover by T. Robinson (traveling),,100-76,,
8:24.0,,,100-76,,M. Teletovic misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by T. Robinson,,100-76,,
8:09.0,Turnover by S. Larkin (bad pass; steal by R. Price),,100-76,,
8:08.0,,,100-76,,Turnover by T. Chandler (bad pass; steal by S. Larkin)
8:08.0,Turnover by S. Larkin (bad pass; steal by R. Price),,100-76,,
7:54.0,,,100-78,2,M. Teletovic makes 2-pt shot at rim (assist by P. Pressey)
7:41.0,Turnover by S. Larkin (lost ball; steal by P. Pressey),,100-78,,
7:30.0,,,100-81,3,M. Teletovic makes 3-pt shot from 27 ft (assist by R. Price)
7:29.0,Brooklyn full timeout,,100-81,,
7:29.0,D. Sloan enters the game for S. Larkin,,100-81,,
7:29.0,B. Lopez enters the game for S. Karasev,,100-81,,
7:29.0,B. Bogdanovic enters the game for C. McCullough,,100-81,,
