time,Sacramento,pts.away,score,pts.home,Golden State
2:33.0,,,22-17,,F. Ezeli enters the game for A. Bogut
2:33.0,,,22-18,1,S. Curry makes free throw 1 of 2
2:33.0,,,22-19,1,S. Curry makes free throw 2 of 2
2:08.0,D. Collison misses 3-pt shot from 25 ft,,22-19,,
2:08.0,,,22-19,,Defensive rebound by D. Green
2:01.0,Personal foul by D. Collison (drawn by S. Curry),,22-19,,
2:01.0,,,22-20,1,S. Curry makes free throw 1 of 2
2:01.0,,,22-21,1,S. Curry makes free throw 2 of 2
1:53.0,D. Collison makes 2-pt shot from 1 ft,2,24-21,,
1:53.0,Shooting foul by S. Curry (drawn by D. Collison),,24-21,,
1:53.0,D. Collison makes free throw 1 of 1,1,25-21,,
1:35.0,,,25-23,2,S. Livingston makes 2-pt shot from 6 ft
1:23.0,M. Belinelli misses 3-pt shot from 23 ft,,25-23,,
1:22.0,Offensive rebound by Team,,25-23,,
1:22.0,R. Gay enters the game for O. Casspi,,25-23,,
1:05.0,R. Gay makes 2-pt shot from 9 ft,2,27-23,,
0:57.0,,,27-26,3,S. Curry makes 3-pt shot from 25 ft (assist by F. Ezeli)
0:43.0,M. Belinelli makes 2-pt shot from 19 ft,2,29-26,,
0:35.0,,,29-26,,Shooting foul by R. Gay (drawn by S. Curry)
0:35.0,,,29-27,1,S. Curry makes free throw 1 of 2
0:35.0,,,29-28,1,S. Curry makes free throw 2 of 2
0:16.0,D. Collison misses 2-pt shot from 14 ft,,29-28,,
0:15.0,,,29-28,,Defensive rebound by D. Green
0:06.0,,,29-30,2,F. Ezeli makes 2-pt shot from 1 ft (assist by D. Green)
0:00.0,R. Gay misses 2-pt shot from 19 ft,,29-30,,
0:00.0,Offensive rebound by Team,,29-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,29-30,,Personal foul by L. Barbosa (drawn by Q. Acy)
11:34.0,M. Belinelli misses 3-pt shot from 25 ft,,29-30,,
11:33.0,Offensive rebound by D. Collison,,29-30,,
11:25.0,D. Collison misses 2-pt shot from 18 ft,,29-30,,
11:24.0,Offensive rebound by Q. Acy,,29-30,,
11:13.0,Q. Acy makes 3-pt shot from 23 ft (assist by M. Belinelli),3,32-30,,
10:56.0,,,32-30,,S. Livingston misses 2-pt shot from 17 ft
10:56.0,,,32-30,,Offensive rebound by S. Livingston
10:50.0,,,32-33,3,L. Barbosa makes 3-pt shot from 25 ft (assist by S. Livingston)
10:32.0,R. Gay misses 2-pt shot from 8 ft,,32-33,,
10:32.0,,,32-33,,Defensive rebound by F. Ezeli
10:24.0,,,32-35,2,M. Speights makes 2-pt shot from 2 ft (assist by L. Barbosa)
10:20.0,Sacramento full timeout,,32-35,,
10:20.0,R. Rondo enters the game for Q. Acy,,32-35,,
10:20.0,K. Koufos enters the game for W. Cauley-Stein,,32-35,,
10:08.0,R. Gay misses 2-pt shot from 16 ft,,32-35,,
10:07.0,,,32-35,,Defensive rebound by L. Barbosa
9:52.0,,,32-35,,S. Livingston misses 2-pt shot from 9 ft
9:51.0,,,32-35,,Offensive rebound by F. Ezeli
9:51.0,,,32-35,,F. Ezeli misses 2-pt shot from 3 ft
9:49.0,,,32-35,,Offensive rebound by F. Ezeli
9:49.0,,,32-37,2,F. Ezeli makes 2-pt shot from 1 ft
9:40.0,M. Belinelli misses 3-pt shot from 25 ft,,32-37,,
9:39.0,,,32-37,,Defensive rebound by M. Speights
9:28.0,,,32-39,2,M. Speights makes 2-pt shot from 5 ft
9:14.0,Turnover by M. Belinelli (bad pass; steal by L. Barbosa),,32-39,,
9:08.0,,,32-39,,D. Green enters the game for F. Ezeli
9:08.0,B. McLemore enters the game for M. Belinelli,,32-39,,
9:00.0,,,32-41,2,M. Speights makes 2-pt shot from 6 ft (assist by S. Livingston)
8:45.0,R. Gay makes 2-pt shot from 4 ft,2,34-41,,
8:31.0,,,34-41,,M. Speights misses 2-pt shot from 10 ft
8:31.0,Defensive rebound by R. Gay,,34-41,,
8:21.0,R. Gay misses 2-pt shot from 1 ft,,34-41,,
8:21.0,Offensive rebound by Team,,34-41,,
8:07.0,R. Rondo makes 2-pt shot from 16 ft,2,36-41,,
7:53.0,O. Casspi enters the game for R. Gay,,36-41,,
7:47.0,,,36-41,,A. Iguodala misses 3-pt shot from 22 ft
7:47.0,Defensive rebound by O. Casspi,,36-41,,
7:40.0,R. Rondo misses 2-pt shot from 19 ft,,36-41,,
7:36.0,,,36-41,,Defensive rebound by S. Livingston
7:34.0,,,36-41,,L. Barbosa misses 2-pt shot from 2 ft
7:33.0,Defensive rebound by O. Casspi,,36-41,,
7:28.0,D. Collison makes 2-pt shot from 1 ft,2,38-41,,
7:12.0,,,38-41,,D. Green misses 3-pt shot from 23 ft
7:12.0,,,38-41,,Offensive rebound by M. Speights
7:06.0,,,38-43,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
6:41.0,,,38-43,,F. Ezeli enters the game for M. Speights
6:41.0,,,38-43,,K. Thompson enters the game for A. Iguodala
6:38.0,B. McLemore misses 2-pt shot from 18 ft,,38-43,,
6:36.0,,,38-43,,Defensive rebound by F. Ezeli
6:30.0,,,38-43,,Turnover by L. Barbosa (bad pass; steal by D. Collison)
6:09.0,R. Rondo misses 2-pt shot from 6 ft (block by D. Green),,38-43,,
6:09.0,,,38-43,,Defensive rebound by F. Ezeli
6:03.0,,,38-43,,L. Barbosa misses 2-pt shot from 6 ft
6:01.0,Defensive rebound by B. McLemore,,38-43,,
5:55.0,K. Koufos makes 2-pt shot at rim (assist by O. Casspi),2,40-43,,
5:48.0,,,40-43,,Golden State full timeout
5:48.0,,,40-43,,S. Curry enters the game for S. Livingston
5:35.0,,,40-45,2,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson)
5:16.0,,,40-45,,Personal foul by L. Barbosa (drawn by O. Casspi)
5:16.0,,,40-45,,Personal foul by D. Green (drawn by O. Casspi)
5:16.0,R. Gay enters the game for D. Collison,,40-45,,
5:01.0,R. Rondo misses 3-pt shot from 25 ft,,40-45,,
5:00.0,,,40-45,,Defensive rebound by F. Ezeli
4:51.0,,,40-45,,Turnover by Team (turnover)
4:44.0,R. Gay misses 3-pt shot from 26 ft,,40-45,,
4:44.0,,,40-45,,Defensive rebound by D. Green
4:37.0,,,40-48,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
4:24.0,O. Casspi misses 3-pt shot from 25 ft,,40-48,,
4:23.0,Offensive rebound by R. Gay,,40-48,,
4:19.0,R. Gay misses 2-pt shot from 6 ft,,40-48,,
4:19.0,Offensive rebound by O. Casspi,,40-48,,
4:19.0,O. Casspi misses 2-pt shot from 1 ft,,40-48,,
4:19.0,,,40-48,,Defensive rebound by Team
4:19.0,Loose ball foul by K. Koufos (drawn by F. Ezeli),,40-48,,
4:19.0,W. Cauley-Stein enters the game for K. Koufos,,40-48,,
4:05.0,,,40-48,,Shooting foul by O. Casspi (drawn by F. Ezeli)
4:05.0,,,40-49,1,F. Ezeli makes free throw 1 of 2
4:05.0,,,40-50,1,F. Ezeli makes free throw 2 of 2
3:54.0,O. Casspi misses 3-pt shot from 25 ft,,40-50,,
3:53.0,,,40-50,,Defensive rebound by D. Green
3:50.0,,,40-50,,Shooting foul by W. Cauley-Stein (drawn by D. Green)
3:50.0,,,40-50,,D. Green misses free throw 1 of 2
3:50.0,,,40-50,,Offensive rebound by Team
3:50.0,M. Belinelli enters the game for B. McLemore,,40-50,,
3:50.0,,,40-51,1,D. Green makes free throw 2 of 2
3:34.0,R. Gay makes 2-pt shot from 6 ft (assist by R. Rondo),2,42-51,,
3:26.0,Personal foul by R. Rondo (drawn by D. Green),,42-51,,
3:26.0,D. Collison enters the game for R. Rondo,,42-51,,
3:19.0,,,42-51,,Turnover by K. Thompson (bad pass; steal by W. Cauley-Stein)
3:11.0,D. Collison misses 2-pt shot from 16 ft,,42-51,,
3:09.0,,,42-51,,Defensive rebound by F. Ezeli
2:59.0,,,42-51,,K. Thompson misses 3-pt shot from 22 ft
2:59.0,Defensive rebound by W. Cauley-Stein,,42-51,,
2:54.0,M. Belinelli misses 3-pt shot from 23 ft,,42-51,,
2:52.0,Offensive rebound by D. Collison,,42-51,,
2:47.0,Shooting foul by F. Ezeli (drawn by R. Gay),,42-51,,
2:47.0,Official timeout,,42-51,,
2:47.0,,,42-51,,A. Bogut enters the game for F. Ezeli
2:47.0,,,42-51,,I. Clark enters the game for L. Barbosa
2:47.0,R. Gay makes free throw 1 of 2,1,43-51,,
2:47.0,R. Gay makes free throw 2 of 2,1,44-51,,
2:36.0,,,44-53,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
2:14.0,Shooting foul by D. Green (drawn by R. Gay),,44-53,,
2:14.0,R. Gay makes free throw 1 of 2,1,45-53,,
2:14.0,R. Gay makes free throw 2 of 2,1,46-53,,
1:56.0,,,46-53,,Turnover by D. Green (lost ball)
1:42.0,R. Gay misses 2-pt shot from 2 ft (block by A. Bogut),,46-53,,
1:41.0,,,46-53,,Defensive rebound by I. Clark
1:30.0,,,46-55,2,A. Bogut makes 2-pt shot at rim (assist by I. Clark)
1:13.0,M. Belinelli misses 3-pt shot from 26 ft,,46-55,,
1:12.0,Offensive rebound by O. Casspi,,46-55,,
1:04.0,O. Casspi misses 2-pt shot at rim,,46-55,,
1:03.0,,,46-55,,Defensive rebound by S. Curry
1:01.0,,,46-55,,Shooting foul by W. Cauley-Stein (drawn by D. Green)
1:01.0,,,46-56,1,D. Green makes free throw 1 of 2
1:01.0,,,46-56,,D. Green misses free throw 2 of 2
1:00.0,Defensive rebound by M. Belinelli,,46-56,,
0:39.0,R. Gay misses 2-pt shot from 8 ft,,46-56,,
0:37.0,,,46-56,,Defensive rebound by D. Green
0:13.0,,,46-56,,Turnover by Team (shot clock)
0:13.0,B. McLemore enters the game for W. Cauley-Stein,,46-56,,
0:13.0,,,46-56,,A. Iguodala enters the game for A. Bogut
0:02.0,M. Belinelli misses 2-pt shot from 20 ft,,46-56,,
0:00.0,Offensive rebound by Team,,46-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,Turnover by R. Rondo (bad pass),,46-56,,
11:41.0,,,46-56,,B. Rush misses 3-pt shot from 26 ft
11:36.0,Defensive rebound by B. McLemore,,46-56,,
11:17.0,Turnover by Team (shot clock),,46-56,,
11:04.0,,,46-58,2,B. Rush makes 2-pt shot at rim (assist by A. Bogut)
10:49.0,Turnover by B. McLemore (lost ball; steal by S. Curry),,46-58,,
10:47.0,Personal foul by R. Rondo (drawn by S. Curry),,46-58,,
10:35.0,,,46-61,3,B. Rush makes 3-pt shot from 24 ft (assist by D. Green)
10:34.0,Sacramento full timeout,,46-61,,
10:23.0,,,46-61,,Personal foul by D. Green (drawn by K. Koufos)
10:17.0,R. Rondo misses 2-pt shot from 3 ft,,46-61,,
10:15.0,Offensive rebound by K. Koufos,,46-61,,
10:13.0,K. Koufos makes 2-pt shot from 4 ft,2,48-61,,
9:57.0,,,48-61,,K. Thompson misses 2-pt shot from 12 ft
9:57.0,Defensive rebound by R. Gay,,48-61,,
9:46.0,K. Koufos misses 2-pt shot from 9 ft,,48-61,,
9:46.0,,,48-61,,Defensive rebound by D. Green
9:34.0,,,48-63,2,D. Green makes 2-pt shot from 4 ft
9:22.0,K. Koufos misses 2-pt shot from 2 ft (block by A. Bogut),,48-63,,
9:20.0,,,48-63,,Defensive rebound by S. Curry
9:17.0,,,48-66,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
9:04.0,K. Koufos makes 2-pt shot from 5 ft,2,50-66,,
8:53.0,,,50-69,3,B. Rush makes 3-pt shot from 23 ft (assist by D. Green)
8:40.0,Offensive foul by K. Koufos,,50-69,,
8:40.0,Turnover by K. Koufos (offensive foul),,50-69,,
8:33.0,,,50-72,3,B. Rush makes 3-pt shot from 22 ft (assist by S. Curry)
8:31.0,Sacramento full timeout,,50-72,,
8:31.0,M. Belinelli enters the game for B. McLemore,,50-72,,
8:09.0,M. Belinelli misses 3-pt shot from 26 ft,,50-72,,
8:08.0,Offensive rebound by R. Rondo,,50-72,,
8:04.0,O. Casspi misses 2-pt shot from 10 ft (block by D. Green),,50-72,,
8:03.0,Offensive rebound by K. Koufos,,50-72,,
8:00.0,K. Koufos misses 2-pt shot from 2 ft,,50-72,,
7:56.0,Offensive rebound by K. Koufos,,50-72,,
7:55.0,K. Koufos misses 2-pt shot from 3 ft,,50-72,,
7:53.0,Offensive rebound by R. Gay,,50-72,,
7:53.0,R. Gay makes 2-pt shot at rim,2,52-72,,
7:45.0,,,52-75,3,B. Rush makes 3-pt shot from 25 ft
7:29.0,O. Casspi misses 2-pt shot from 7 ft,,52-75,,
7:29.0,Offensive rebound by Team,,52-75,,
7:29.0,,,52-75,,Loose ball foul by A. Bogut (drawn by R. Gay)
7:18.0,Turnover by M. Belinelli (lost ball; steal by K. Thompson),,52-75,,
7:07.0,,,52-75,,B. Rush misses 2-pt shot from 2 ft
7:06.0,,,52-75,,Offensive rebound by B. Rush
7:04.0,,,52-75,,Turnover by B. Rush (3 sec)
6:54.0,R. Gay makes 2-pt shot from 15 ft (assist by R. Rondo),2,54-75,,
6:44.0,,,54-75,,S. Curry misses 3-pt shot from 26 ft
6:43.0,Defensive rebound by K. Koufos,,54-75,,
6:37.0,Turnover by R. Rondo (bad pass; steal by D. Green),,54-75,,
6:36.0,Personal foul by O. Casspi (drawn by D. Green),,54-75,,
6:36.0,D. Collison enters the game for O. Casspi,,54-75,,
6:21.0,,,54-78,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
5:57.0,D. Collison misses 2-pt shot from 9 ft,,54-78,,
5:56.0,,,54-78,,Defensive rebound by A. Bogut
5:46.0,,,54-80,2,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson)
5:46.0,,,54-80,,Shooting foul by M. Belinelli (drawn by D. Green)
5:46.0,,,54-81,1,D. Green makes free throw 1 of 1
5:24.0,R. Gay misses 2-pt shot from 17 ft,,54-81,,
5:22.0,,,54-81,,Defensive rebound by S. Curry
5:07.0,,,54-83,2,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green)
4:53.0,K. Koufos makes 2-pt shot from 2 ft (assist by R. Rondo),2,56-83,,
4:40.0,,,56-83,,D. Green misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by R. Rondo,,56-83,,
4:29.0,,,56-83,,Personal foul by A. Bogut (drawn by R. Gay)
4:29.0,R. Gay makes free throw 1 of 2,1,57-83,,
4:29.0,,,57-83,,F. Ezeli enters the game for A. Bogut
4:29.0,,,57-83,,A. Iguodala enters the game for B. Rush
4:29.0,W. Cauley-Stein enters the game for K. Koufos,,57-83,,
4:29.0,R. Gay makes free throw 2 of 2,1,58-83,,
4:15.0,,,58-85,2,F. Ezeli makes 2-pt shot from 1 ft (assist by D. Green)
3:53.0,R. Rondo makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,61-85,,
3:40.0,,,61-87,2,D. Green makes 2-pt shot from 4 ft (assist by S. Curry)
3:26.0,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by R. Rondo),2,63-87,,
3:17.0,,,63-87,,K. Thompson misses 3-pt shot from 24 ft
3:16.0,,,63-87,,Offensive rebound by F. Ezeli
3:15.0,,,63-87,,Shooting foul by W. Cauley-Stein (drawn by F. Ezeli)
3:15.0,,,63-88,1,F. Ezeli makes free throw 1 of 2
3:15.0,Q. Acy enters the game for R. Gay,,63-88,,
3:15.0,,,63-88,,F. Ezeli misses free throw 2 of 2
3:15.0,Defensive rebound by Team,,63-88,,
3:15.0,,,63-88,,Loose ball foul by D. Green (drawn by Q. Acy)
2:50.0,D. Collison makes 2-pt shot from 11 ft,2,65-88,,
2:38.0,Personal foul by Q. Acy (drawn by D. Green),,65-88,,
2:38.0,,,65-89,1,D. Green makes free throw 1 of 2
2:38.0,,,65-90,1,D. Green makes free throw 2 of 2
2:28.0,R. Rondo misses 2-pt shot from 5 ft,,65-90,,
2:25.0,Offensive rebound by W. Cauley-Stein,,65-90,,
2:25.0,W. Cauley-Stein misses 2-pt shot at rim,,65-90,,
2:24.0,Offensive rebound by W. Cauley-Stein,,65-90,,
2:21.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,65-90,,
2:19.0,,,65-90,,Defensive rebound by D. Green
2:13.0,,,65-90,,Turnover by S. Curry (lost ball; steal by D. Collison)
2:08.0,D. Collison makes 2-pt shot from 2 ft (assist by Q. Acy),2,67-90,,
2:08.0,,,67-90,,Golden State full timeout
2:08.0,,,67-90,,S. Livingston enters the game for D. Green
2:08.0,,,67-90,,M. Speights enters the game for K. Thompson
2:01.0,B. McLemore enters the game for R. Rondo,,67-90,,
1:47.0,,,67-90,,M. Speights misses 2-pt shot from 3 ft
1:47.0,Defensive rebound by W. Cauley-Stein,,67-90,,
1:40.0,Q. Acy misses 2-pt shot from 2 ft (block by A. Iguodala),,67-90,,
1:39.0,,,67-90,,Defensive rebound by S. Curry
1:25.0,,,67-90,,Turnover by F. Ezeli (bad pass; steal by D. Collison)
1:20.0,Turnover by D. Collison (lost ball; steal by S. Curry),,67-90,,
1:12.0,,,67-90,,Shooting foul by W. Cauley-Stein (drawn by S. Curry)
1:12.0,,,67-91,1,S. Curry makes free throw 1 of 2
1:12.0,,,67-92,1,S. Curry makes free throw 2 of 2
0:59.0,M. Belinelli makes 2-pt shot from 13 ft (assist by D. Collison),2,69-92,,
0:59.0,Shooting foul by A. Iguodala (drawn by M. Belinelli),,69-92,,
0:59.0,M. Belinelli makes free throw 1 of 1,1,70-92,,
0:45.0,,,70-92,,M. Speights misses 2-pt shot at rim (block by W. Cauley-Stein)
0:43.0,Defensive rebound by B. McLemore,,70-92,,
0:30.0,B. McLemore misses 2-pt shot from 9 ft,,70-92,,
0:30.0,Offensive rebound by Team,,70-92,,
0:27.0,Shooting foul by F. Ezeli (drawn by W. Cauley-Stein),,70-92,,
0:27.0,W. Cauley-Stein makes free throw 1 of 2,1,71-92,,
0:27.0,W. Cauley-Stein misses free throw 2 of 2,,71-92,,
0:26.0,,,71-92,,Defensive rebound by F. Ezeli
0:03.0,,,71-92,,F. Ezeli misses 2-pt shot at rim (block by B. McLemore)
0:02.0,Defensive rebound by Q. Acy,,71-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,71-92,,Turnover by A. Iguodala (bad pass; steal by B. McLemore)
11:34.0,B. McLemore misses 3-pt shot from 26 ft,,71-92,,
11:33.0,,,71-92,,Defensive rebound by Team
11:14.0,,,71-95,3,A. Iguodala makes 3-pt shot from 25 ft (assist by S. Livingston)
10:48.0,B. McLemore misses 2-pt shot from 15 ft,,71-95,,
10:47.0,,,71-95,,Defensive rebound by M. Speights
10:39.0,,,71-95,,L. Barbosa misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by Q. Acy,,71-95,,
10:36.0,,,71-95,,Personal foul by L. Barbosa (drawn by D. Collison)
10:36.0,O. Casspi enters the game for W. Cauley-Stein,,71-95,,
10:36.0,,,71-95,,D. Green enters the game for F. Ezeli
10:22.0,D. Collison misses 3-pt shot from 25 ft,,71-95,,
10:22.0,,,71-95,,Defensive rebound by D. Green
10:15.0,,,71-95,,Shooting foul by Q. Acy (drawn by M. Speights)
10:15.0,,,71-97,2,M. Speights makes 2-pt shot from 1 ft (assist by D. Green)
10:15.0,,,71-98,1,M. Speights makes free throw 1 of 1
10:00.0,Turnover by M. Belinelli (bad pass),,71-98,,
9:45.0,,,71-98,,M. Speights misses 2-pt shot from 7 ft
9:43.0,Defensive rebound by O. Casspi,,71-98,,
9:34.0,Q. Acy misses 2-pt shot from 1 ft,,71-98,,
9:33.0,Offensive rebound by Q. Acy,,71-98,,
9:33.0,Q. Acy misses 2-pt shot from 1 ft,,71-98,,
9:31.0,Offensive rebound by Q. Acy,,71-98,,
9:31.0,Q. Acy makes 2-pt shot at rim,2,73-98,,
9:23.0,,,73-100,2,S. Livingston makes 2-pt shot from 1 ft
9:23.0,,,73-100,,Shooting foul by M. Belinelli (drawn by S. Livingston)
9:23.0,S. Curry enters the game for B. McLemore,,73-100,,
9:23.0,,,73-101,1,S. Livingston makes free throw 1 of 1
9:11.0,O. Casspi makes 3-pt shot from 24 ft (assist by D. Collison),3,76-101,,
8:52.0,,,76-101,,Shooting foul by O. Casspi (drawn by M. Speights)
8:52.0,Official timeout,,76-101,,
8:52.0,E. Moreland enters the game for M. Belinelli,,76-101,,
8:52.0,,,76-102,1,M. Speights makes free throw 1 of 2
8:52.0,,,76-102,,M. Speights misses free throw 2 of 2
8:51.0,Defensive rebound by D. Collison,,76-102,,
8:38.0,O. Casspi makes 3-pt shot from 25 ft (assist by S. Curry),3,79-102,,
8:18.0,,,79-102,,D. Green misses 2-pt shot from 1 ft
8:16.0,,,79-102,,Offensive rebound by D. Green
8:16.0,,,79-102,,D. Green misses 2-pt shot from 1 ft
8:15.0,,,79-102,,Offensive rebound by D. Green
8:15.0,,,79-102,,D. Green misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by Q. Acy,,79-102,,
8:02.0,D. Collison misses 2-pt shot from 20 ft,,79-102,,
8:00.0,,,79-102,,Defensive rebound by A. Iguodala
7:51.0,,,79-102,,M. Speights misses 2-pt shot at rim (block by E. Moreland)
7:50.0,Defensive rebound by D. Collison,,79-102,,
7:43.0,Q. Acy makes 2-pt shot at rim (assist by D. Collison),2,81-102,,
7:24.0,,,81-104,2,M. Speights makes 2-pt shot at rim (assist by D. Green)
7:14.0,D. Collison makes 2-pt shot from 2 ft,2,83-104,,
6:53.0,,,83-107,3,A. Iguodala makes 3-pt shot from 26 ft (assist by M. Speights)
6:41.0,S. Curry misses 2-pt shot from 7 ft,,83-107,,
6:41.0,,,83-107,,Defensive rebound by M. Speights
6:23.0,,,83-107,,D. Green misses 3-pt shot from 24 ft
